year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00
2015,Argenton 132_11kV,1-May-14,MW,15.28843,14.592,13.95053,14.25499,14.15061,13.4477,12.86986,13.15958,12.30709,11.57216,11.21811,10.55286,10.1164,10.06037,9.82509,9.51373,9.41231,9.38223,9.6591,9.95851,10.72175,11.42436,12.04771,12.74417,13.81438,14.29976,15.3817,15.55946,16.04109,16.5036,16.90459,17.49578,17.6615,17.85979,17.85377,17.43011,17.14754,16.89054,17.00641,17.15719,16.90554,16.68692,16.86498,16.60544,16.77027,16.5796,16.65962,17.04258,16.89506,16.75029,16.34472,16.47406,16.98716,16.98126,16.87415,16.87775,16.75894,16.68631,16.46404,16.24723,16.10521,15.93742,15.98155,15.90998,15.5699,15.28232,15.26994,15.99773,16.23183,16.94528,17.63021,17.79617,17.7292,17.7478,17.45584,17.16618,16.96626,16.43795,15.99085,15.9664,15.68212,15.5635,14.97713,14.67897,14.06652,13.57279,14.06025,13.66915,15.51049,14.75984,14.24674,13.53847,14.41632,13.74262,14.12931,14.45792
2015,Argenton 132_11kV,2-May-14,MW,15.15532,14.43852,13.64929,14.1256,14.17692,13.29209,12.63606,13.06313,12.48275,11.73121,10.88842,10.73745,10.66174,10.12726,9.64145,9.4458,9.4658,9.18678,9.835,10.53,11.12823,11.5057,12.08373,12.95971,14.12903,14.67608,15.32026,15.28149,15.64812,16.66985,17.25559,17.36184,17.37803,17.07454,17.07704,17.01551,16.87497,16.8574,16.98834,16.98691,16.90692,17.03033,16.9524,17.07452,16.97184,16.55168,16.65012,16.65765,16.68161,16.38249,15.9141,16.51051,16.36104,16.44767,16.21318,16.22252,16.4343,15.84791,15.12605,14.74059,14.51119,14.66111,14.51456,14.53671,14.90092,14.90686,15.04791,15.34846,15.61493,16.20911,16.5123,15.96709,15.93034,15.80204,15.47943,15.54035,15.41817,14.9234,14.55558,14.11698,13.85111,13.5283,13.20187,12.96337,12.72302,12.20505,12.61003,12.36346,14.41067,13.78933,13.24034,12.60677,13.45375,12.86618,13.07211,13.44578
2015,Argenton 132_11kV,3-May-14,MW,13.66615,13.36193,13.0057,13.53885,13.02538,12.26808,11.44639,10.76966,11.02916,10.72698,10.25068,9.62093,9.2658,8.96709,8.71064,8.56801,8.39211,8.29573,8.37827,8.5815,8.99255,9.0404,9.24098,9.50934,9.8461,10.24644,10.56091,10.8117,11.51964,12.28305,12.91857,13.24664,14.01148,14.42055,14.5525,14.5859,14.88829,14.90873,14.84652,14.68673,14.73927,14.46518,13.94195,13.73775,13.58572,13.34791,13.20463,13.11689,12.88413,12.6034,12.50036,12.47747,12.34291,12.2565,12.81856,13.14395,12.4375,12.35163,12.3393,12.67941,12.74248,13.04952,13.06458,13.39927,13.61368,14.13385,14.46516,14.26574,14.86052,15.53365,16.10057,16.06922,16.17006,15.95095,15.80547,15.42321,15.19686,15.25817,14.95732,14.5966,14.26135,13.909,13.77777,13.65982,13.48357,13.01893,15.31678,14.67969,14.02093,13.24787,13.34721,12.81091,14.36958,13.98582,12.63017,12.27909
2015,Argenton 132_11kV,4-May-14,MW,12.93929,11.76344,11.31123,12.58774,11.81519,10.80939,10.11126,9.73617,9.97162,9.64121,9.23608,8.93805,8.79594,8.67974,8.70414,8.51436,8.62482,8.67668,8.66461,8.87668,8.94272,9.02802,9.19653,9.24814,9.31186,9.61113,10.05794,10.35401,10.94955,11.19293,11.774,12.33329,13.06669,13.7643,14.05519,14.61522,14.8098,14.93362,14.74131,14.24705,14.17047,13.82214,13.38524,13.139,12.8964,12.70842,12.58531,12.40836,12.27514,12.11666,11.75282,11.71974,11.50605,11.41732,11.28024,11.1553,11.25079,11.26263,11.48304,11.3894,11.60571,11.7822,11.85136,12.13308,12.25599,12.59424,13.17908,13.09199,13.95447,15.14766,15.96885,15.96972,16.11135,16.00271,15.94047,15.58037,15.27189,15.24083,14.86192,14.62858,14.45347,14.13526,13.90691,13.62782,13.30884,12.86423,14.99417,14.28208,13.687,13.19404,13.42606,12.87289,14.41745,13.64514,12.86567,12.69346
2015,Argenton 132_11kV,5-May-14,MW,13.37905,12.34395,11.76407,13.08648,12.44512,11.48912,10.91915,10.87956,10.61022,10.30478,10.14636,9.64747,9.85327,9.70311,9.47301,9.44197,9.44104,9.37399,9.82914,10.57954,11.29854,11.60912,12.4349,13.69035,14.91853,15.72392,16.8675,17.28686,18.07208,18.96081,19.63582,19.72824,19.43594,19.81124,19.76213,19.40293,18.84874,18.79911,18.93937,18.65719,18.26038,18.28347,17.8622,17.65498,17.55116,17.28476,16.75217,16.73123,16.39131,16.60752,16.72676,16.99609,17.36329,17.13791,17.01504,16.87832,16.60281,16.05351,16.04179,16.30626,16.04135,16.25161,16.31,16.41273,16.26087,16.7182,16.86396,17.40613,18.55738,19.17442,20.17842,20.3371,19.91193,19.40546,19.55948,19.31355,18.73628,18.76893,17.96074,18.04513,17.86922,17.34174,16.65684,16.18134,15.68158,15.34767,15.6413,15.11456,16.87608,16.48881,15.47171,15.18278,15.62547,15.09307,15.35166,15.7539
2015,Argenton 132_11kV,6-May-14,MW,16.25335,15.65701,15.26518,15.85964,15.15129,14.36138,13.72211,14.15546,13.63096,12.81943,12.07257,11.51881,11.17512,10.48042,10.38798,10.40136,10.31091,10.26382,10.72008,11.22892,11.81155,12.45566,13.22338,14.35988,15.49028,16.45275,17.61288,18.14811,19.16324,19.98784,20.44991,20.3399,20.45055,20.57792,20.329,20.41318,20.32169,19.82856,19.75605,19.22694,19.02025,18.77557,18.31896,18.27911,18.19497,18.14142,17.78171,17.07059,17.03017,17.21572,17.29407,17.23456,17.27708,16.94363,16.46154,16.53395,16.60814,16.85933,16.99654,16.93513,16.94783,16.726,16.31401,16.52665,16.42503,16.744,16.78275,17.27866,17.74805,18.50547,19.11344,18.66791,18.91445,18.83611,18.40026,18.20439,18.20019,18.18137,17.7605,17.59819,17.22684,16.71942,16.40823,15.96683,15.30454,15.24312,15.65976,15.03943,17.2622,16.62325,15.57565,14.69439,14.9502,14.4284,14.83952,15.17193
2015,Argenton 132_11kV,7-May-14,MW,15.70389,15.13081,14.55043,15.10471,14.7004,14.19041,13.36772,13.79072,12.81128,12.09999,11.78013,11.26165,10.85211,10.03243,9.7276,10.02748,9.94049,9.90923,10.19588,10.6314,11.27785,11.75978,12.63148,13.51219,14.05739,14.97009,15.82528,16.22957,16.75689,17.53511,18.23837,18.01762,17.98986,18.03856,18.0853,17.80909,17.90807,17.66566,17.36669,17.2986,17.11058,17.20933,17.27865,17.15005,17.03275,17.05945,16.98765,16.74636,16.33203,16.518,16.63362,16.59745,16.42788,16.8072,16.94097,16.72449,16.63292,16.48817,16.5236,16.60131,16.2834,16.01204,15.78845,16.25168,16.48168,16.63967,16.8057,16.96618,17.53226,18.5659,19.04346,18.71481,18.50835,18.121,17.90159,17.74946,17.05822,17.24445,17.12185,17.02693,16.50865,16.12814,15.65715,15.24446,14.90618,14.28972,14.86768,14.54611,16.72462,16.21153,15.3045,14.37307,14.97871,14.56311,14.82048,15.06792
2015,Argenton 132_11kV,8-May-14,MW,15.52789,14.7996,14.35431,14.94646,14.40741,13.63494,12.7569,13.10625,12.52021,11.72094,11.45447,10.97716,10.5298,10.10399,9.52739,9.55039,9.68289,9.38697,9.50928,9.88215,11.04924,11.4078,11.95595,12.95102,13.90941,14.75529,15.51752,16.12547,16.82591,17.20621,17.60099,17.97785,18.28501,18.34527,18.29312,18.22483,17.85265,17.84117,17.81156,17.92196,18.13029,17.87578,17.13568,17.44349,17.7772,17.87036,17.75526,18.57784,18.37775,17.76937,17.80706,17.95019,18.18573,18.19109,18.10293,18.10462,18.25781,18.09464,17.94874,17.87307,17.7433,17.39587,16.67902,16.93055,17.14365,17.45372,17.17465,17.62584,18.47949,19.22025,19.66081,19.30846,18.94512,19.29305,19.05286,18.74703,18.76392,18.64746,17.90317,17.53246,17.54718,17.15545,16.6064,16.31285,15.81758,15.10436,15.49899,14.99983,17.24112,16.28901,15.21135,14.63653,15.747,15.04862,15.25535,14.94093
2015,Argenton 132_11kV,9-May-14,MW,16.01893,14.87713,14.71749,15.39831,14.59445,13.79722,13.06536,13.73039,12.93485,12.1511,11.55235,11.01634,10.68789,10.47981,10.37866,10.19676,10.11879,9.95339,10.34389,10.62786,11.22064,11.75222,12.23043,12.85164,14.05997,14.56977,15.40392,15.94282,16.81855,17.60326,18.34681,18.63607,18.75427,18.59008,18.37124,18.4866,18.22049,18.02725,18.08771,17.76025,17.88204,18.15965,17.93244,17.77597,17.68278,17.30049,17.34264,16.99993,17.05331,17.19215,16.95257,16.96419,16.98602,16.55022,16.23803,16.28331,15.93192,15.09863,14.84779,14.9151,14.80724,14.73553,14.96706,14.92474,15.041,15.11134,15.25889,15.51502,15.87135,16.62205,16.66661,16.61333,16.48754,16.15794,16.07306,15.79236,15.50746,15.50438,14.92893,14.51506,14.29448,14.15768,13.87882,13.4878,13.28354,13.02575,13.59005,13.39783,15.60698,15.02171,14.25231,13.71076,14.49203,13.83206,13.97372,14.43641
2015,Argenton 132_11kV,10-May-14,MW,14.71219,14.06822,13.62906,14.24948,13.85297,12.99098,12.16877,11.4343,11.75751,11.637,11.08512,10.52964,10.03046,9.65669,9.40414,9.09467,8.95429,8.99764,9.00637,9.03382,9.23006,9.3702,9.72332,9.9928,10.42574,10.74268,11.11843,11.98005,12.52204,13.21468,13.7146,14.01475,14.43661,14.35061,14.4728,14.54561,14.80568,15.00627,14.87397,14.37744,13.93348,13.85913,13.64509,13.23765,12.93894,13.04218,13.31716,13.1896,12.771,12.97989,13.06512,13.17185,12.97335,12.80024,12.70667,12.98176,12.79546,12.53539,12.30527,12.19352,12.42479,12.65608,12.57634,12.85027,13.08885,13.60401,14.27769,13.99418,14.38511,15.12391,15.2229,15.00773,15.06573,14.73463,14.53537,14.06662,13.66103,13.62633,13.22729,12.81674,12.55513,12.3446,12.14751,11.94467,11.83854,11.54597,13.79642,13.13839,12.60063,11.95042,12.22346,11.67059,13.30085,12.69503,11.57729,11.11076
