year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Argenton 132_11kV,01MAY2016,MW,11.65972,10.89682,10.28617,11.06022,10.95592,9.72340,9.12949,8.86836,9.03189,9.06695,8.56389,8.25500,8.16156,8.10336,8.06406,7.95052,7.80310,7.79200,7.85499,8.09494,8.06934,8.05422,8.23598,8.28756,8.57571,8.56845,8.64488,9.10827,9.79717,10.49248,10.72158,11.05683,11.72330,12.09865,12.72500,13.30962,13.78640,14.12299,14.30623,14.44967,14.35511,14.43087,14.29026,14.06381,13.98487,14.06042,13.94290,14.03690,13.88933,13.90511,13.87064,13.73913,13.26908,13.08155,12.78876,12.91779,12.94441,13.13791,12.95541,13.19047,13.52724,13.61112,13.56422,13.79317,13.80858,13.98735,14.21115,14.08431,14.22150,14.58781,15.15334,15.06416,15.24001,14.91309,14.51207,14.11664,13.43383,13.37260,13.48830,13.20832,12.87279,12.63501,12.37445,12.01243,11.69247,11.37175,13.05924,13.33387,12.53238,11.78482,11.68926,11.49606,12.68054,12.72946,11.63875,10.95311
2017,Argenton 132_11kV,02MAY2016,MW,11.73475,10.93345,10.35606,10.98470,10.80763,9.80197,9.16940,9.10416,9.03730,8.58403,8.18478,7.99975,8.07698,8.16229,8.07071,8.01501,7.99654,8.04515,8.26175,8.66400,9.10328,9.34981,9.81432,10.85012,11.71069,12.68161,13.59849,14.16080,14.56291,15.05217,15.42866,15.43153,15.38530,15.18761,15.16963,14.84896,14.76410,14.77259,14.70745,14.58157,14.79777,14.76921,14.97797,15.32727,15.29216,15.49388,15.42518,15.42504,15.87209,15.62803,15.44902,15.80011,16.22101,16.26882,16.37781,16.22718,16.34117,16.30653,16.02639,15.69109,15.90250,15.85175,15.84114,15.85223,15.76839,15.98190,16.12938,16.36662,16.67899,17.44504,17.54900,17.53480,17.34948,17.25553,16.78901,16.06846,15.62462,15.71935,15.42960,14.85708,14.46216,13.81830,13.40510,13.07789,12.80705,12.30529,12.55090,12.35942,14.09436,14.60731,13.75851,12.94651,13.79446,13.12776,13.13297,13.39963
2017,Argenton 132_11kV,03MAY2016,MW,14.35624,13.50919,12.96796,12.90719,12.69990,12.08759,11.32372,11.38754,11.11013,10.34555,9.93680,9.33408,9.22545,8.91717,8.72758,8.67593,8.73228,8.68602,8.93565,9.18587,9.61008,9.93641,10.37329,11.15414,12.28493,13.23481,13.91538,14.66246,14.32623,14.86826,15.18383,15.24567,15.21774,15.08585,14.98314,15.02249,14.90249,14.88887,14.82754,14.72133,14.90013,15.34455,15.14964,15.13471,15.53969,15.55040,15.49891,15.39468,15.38798,15.55068,15.35447,15.52564,15.50270,15.65915,15.72202,15.82303,15.87032,15.69269,15.39767,15.28579,15.44198,15.37737,15.38991,15.46884,15.57159,15.73472,15.64743,15.51631,15.37255,16.06681,16.58446,16.74219,16.61209,16.72605,16.40893,16.06769,15.68689,15.72565,15.39262,14.71224,14.38209,14.01545,13.63198,13.17750,12.79103,12.50671,12.74002,12.08569,13.47976,13.95281,13.25444,12.65220,13.63699,12.88332,12.72645,12.77894
2017,Argenton 132_11kV,04MAY2016,MW,13.73707,13.08749,12.55437,12.50123,12.35089,11.48365,10.74111,10.89984,10.79502,9.99063,9.52209,9.13543,8.90701,8.58418,8.27491,8.40930,8.43054,8.35275,8.59540,8.96047,9.31792,9.56986,10.20383,10.95930,12.03246,13.14585,13.91402,14.33809,14.26058,14.76754,15.14707,15.42487,15.41687,15.06330,15.34931,15.18079,14.88778,14.86512,14.81645,14.75094,14.57434,14.61802,14.65592,14.74520,14.88276,14.82588,14.84471,14.94139,14.96484,14.88665,15.17311,15.49741,15.79752,15.89421,15.79858,15.62457,15.88575,15.93013,15.79911,15.72444,15.56547,15.70303,15.77184,15.87356,15.65730,15.66591,15.66245,15.85322,15.93680,16.47672,16.52330,16.23530,16.14253,16.15007,15.91457,15.51352,15.35888,15.59658,15.22520,14.83957,14.32066,13.91895,13.53979,13.07198,12.65091,12.31928,12.40846,12.17217,13.58260,14.17418,13.37015,12.80090,13.50243,12.96299,12.75890,13.11406
2017,Argenton 132_11kV,05MAY2016,MW,14.08719,13.45517,12.90870,12.78591,12.73091,11.94602,11.03457,10.91719,10.89056,10.19162,9.55911,9.10470,8.82528,8.59584,8.50646,8.29691,8.21623,8.29134,8.44622,8.71325,9.28632,9.71216,10.21475,10.94238,12.50194,13.38287,13.91547,14.45334,14.68350,15.22909,15.51052,15.40608,15.27449,15.24643,15.03800,15.04246,14.92463,15.06039,14.85101,14.76401,14.77446,14.59249,14.64009,14.72583,14.81340,14.75361,15.03269,14.91123,15.03574,15.01579,15.24653,15.32767,15.46233,15.46859,15.49046,15.49459,15.37062,15.25339,15.01431,15.30164,15.30168,15.08571,15.07545,15.17634,15.16116,15.26819,15.29191,15.40569,15.47206,16.06018,16.44641,16.47956,16.34928,16.20760,16.14551,15.97643,15.58994,15.65086,15.27487,15.04052,14.60448,14.36955,14.12800,13.82351,13.06181,12.66574,13.25888,12.69020,13.93554,14.28095,13.40216,12.67942,13.65093,13.20261,13.14772,13.25212
2017,Argenton 132_11kV,06MAY2016,MW,14.03392,13.36029,12.96079,13.00979,12.97327,12.19774,11.33177,11.51890,11.35646,10.62249,10.11427,9.73801,9.38713,9.12615,8.91833,8.71086,8.65327,8.74395,8.84817,8.98294,9.59059,9.97118,10.29493,11.27527,12.03798,12.81434,13.94554,14.59629,14.68078,15.17652,15.53372,15.54842,15.49146,15.28211,14.86725,14.43280,14.52437,14.57447,14.41888,14.45779,14.55078,14.53891,14.43100,14.45473,14.39995,15.23816,15.32100,14.52154,14.52903,14.71919,14.59112,14.68187,14.62728,14.68632,14.62284,14.62661,14.75442,15.06033,14.73544,14.59419,14.57878,14.49277,14.53637,14.81970,14.68831,14.72306,14.84040,15.22677,14.91892,15.39298,15.78861,15.54490,15.35447,15.16730,14.99246,14.63177,14.36413,14.39983,13.91875,13.43321,12.96052,12.67917,12.47699,12.22113,11.91464,11.43940,11.92781,11.63525,13.12378,13.77252,12.91070,12.38150,13.37687,12.90334,12.89997,13.27960
2017,Argenton 132_11kV,07MAY2016,MW,14.07384,13.47034,13.06280,13.15530,13.00608,12.10450,11.24004,10.48803,10.42049,10.61459,10.12633,9.58549,9.19103,8.83401,8.64214,8.40683,8.30059,8.29258,8.27567,8.43974,8.59209,8.65375,8.77890,9.14053,9.37848,9.55489,10.12007,10.81825,11.66747,12.02411,12.52857,12.91880,13.13295,13.03077,12.99037,12.78182,12.97006,12.99290,13.00053,12.93001,12.68560,12.77109,12.49279,12.61278,12.57537,12.51218,12.16504,11.93040,11.69960,11.56342,11.81832,11.67023,11.46099,11.53503,11.68044,11.55997,11.61971,11.97566,12.12507,12.45148,12.73603,12.67533,12.53172,12.82775,12.78586,12.93120,13.23921,13.11673,12.99963,13.59030,14.12364,14.26755,14.17953,13.94729,13.40548,13.16679,12.95436,13.08795,12.61121,12.29627,12.24590,11.89611,11.61275,11.60498,11.45271,11.25241,12.65869,12.56477,12.09398,11.39178,11.32530,11.19783,12.37626,12.49657,11.49935,10.83720
2017,Argenton 132_11kV,08MAY2016,MW,11.65845,10.86410,10.42201,11.19217,11.12877,9.94768,9.29265,8.74970,8.74440,8.76369,8.38855,8.22097,7.95545,7.86880,7.85400,7.74104,7.75413,7.78088,7.83825,7.86048,8.03384,8.08518,8.01119,8.30619,8.49808,8.64320,8.93501,9.27809,9.85360,10.09447,10.41354,11.07036,11.80897,12.19273,12.67660,12.68807,13.26319,13.39995,13.37063,13.59926,13.55388,13.21589,13.06692,13.14597,12.96170,12.90170,12.61415,12.59786,12.64935,12.55683,11.40293,11.18771,11.54791,11.24012,11.51170,11.89655,11.82118,11.63385,11.59286,11.58006,11.63229,11.73882,11.77555,12.10672,12.20515,12.39224,12.86370,12.93949,13.22043,13.84975,13.96312,13.88454,13.83794,13.64593,13.32968,13.10156,12.85954,12.85923,12.57537,12.45765,12.26258,12.04737,11.78594,11.65206,11.64805,11.29392,12.85863,13.08935,12.32131,11.56225,11.41270,11.15388,12.48676,12.41154,11.36841,10.72583
2017,Argenton 132_11kV,09MAY2016,MW,11.63121,10.75526,10.17225,10.88569,10.78334,9.56122,8.95027,8.95376,8.90532,8.43536,8.25688,8.13854,8.17503,8.05493,7.99366,7.90903,7.93533,8.08085,8.26994,8.69299,9.09562,9.41627,9.77559,10.63742,11.63560,12.42145,13.31000,14.19664,14.48794,15.13837,16.01363,16.21344,16.24293,16.28232,16.49517,16.40324,16.30192,16.34658,16.42698,16.83055,17.04163,17.06361,17.18026,17.18798,17.11791,16.89788,16.98756,17.01571,16.69401,16.57459,16.70872,16.83461,16.82482,16.86335,16.55077,16.60402,16.45368,16.19891,15.86793,15.92310,15.83180,15.88271,15.80083,15.98046,15.81494,16.17246,16.40328,16.87530,16.90859,17.70975,17.78211,17.63532,17.37020,17.04859,16.62607,16.39040,15.97458,16.00731,15.51934,14.72297,14.10654,13.67257,13.23339,12.93542,12.84297,12.46157,12.66496,12.19533,13.58858,14.27055,13.40377,12.85287,13.74654,13.04730,13.06398,13.33244
2017,Argenton 132_11kV,10MAY2016,MW,14.19652,13.47762,12.80425,12.78166,12.68202,11.82886,11.02248,11.08598,10.85583,10.20633,9.73562,9.24718,8.91461,8.59347,8.38757,8.24087,8.19986,8.20846,8.37909,8.59598,8.87344,9.32286,9.74739,10.55280,11.80892,12.84943,13.51701,14.18863,14.13559,14.55233,15.59263,15.98336,16.25865,15.61649,15.43391,15.42870,15.34842,15.33092,15.32012,15.25445,15.06112,15.10192,15.10883,14.97638,15.09613,15.08175,14.91766,14.98164,14.94967,15.02551,15.23737,15.18610,15.38531,15.26450,15.22408,14.87447,15.21097,15.20614,15.00537,14.51575,14.73209,14.80118,14.44407,14.56760,14.54729,14.68254,14.67736,14.76846,15.09348,16.14254,16.86219,16.56311,16.51293,16.58497,16.12214,15.79958,15.52412,15.68297,15.31567,14.87455,14.47084,13.82105,13.41443,13.18365,12.82848,12.52334,12.77595,12.25561,13.51461,13.96641,13.23803,12.71861,13.53852,12.82529,12.94995,13.37436
