year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Arncliffe 33_11kV,01MAY2015,MW,9.26167,8.94927,8.58174,8.21422,7.84669,7.49754,7.14839,6.98300,6.57872,6.41334,6.19282,6.04581,5.78854,5.78854,5.78854,5.78854,5.78854,5.78854,5.78854,5.78854,5.88042,6.22957,6.72573,7.11164,7.69968,8.37960,8.93089,9.48218,10.27237,10.60314,10.97067,10.80528,10.80528,10.65827,10.41938,10.63989,10.34587,10.47451,10.29074,10.05185,9.86809,9.88646,9.99672,9.66595,9.84971,9.86809,9.86809,9.86809,9.86809,9.73945,9.75783,9.44543,9.40868,9.24329,9.50056,9.64757,9.55569,9.24329,9.16979,8.89414,8.89414,9.11466,9.28004,9.33517,9.62919,9.90484,9.90484,10.01510,10.12535,10.56639,10.91554,11.31982,11.35657,11.66897,11.77922,11.59546,11.35657,11.20956,11.06255,10.98904,10.67664,10.67664,10.67664,10.51126,10.30912,10.30912,10.30912,10.08860,10.01510,10.18048,9.84971,9.84971,9.39030,9.05953,9.42705,9.26167
2016,Arncliffe 33_11kV,02MAY2015,MW,9.51894,9.35355,8.80226,8.34285,8.12234,7.79156,7.42404,7.05651,6.67061,6.52360,6.26633,6.13769,6.13769,5.78854,5.75179,5.75179,5.75179,5.75179,5.75179,5.75179,5.75179,5.86205,6.15607,6.15607,6.30308,6.56035,6.83599,6.98300,7.18514,7.51592,7.86507,8.26935,8.39798,8.83901,8.93089,9.13303,9.11466,9.28004,9.26167,9.18816,9.18816,9.33517,9.73945,9.73945,9.62919,9.62919,9.59244,9.33517,9.07790,9.22492,9.05953,9.22492,9.09628,8.80226,8.98602,9.24329,9.11466,8.89414,8.89414,8.89414,9.37193,9.61082,9.61082,9.62919,9.83133,9.50056,9.50056,9.73945,9.97834,10.45613,11.02579,11.15443,11.31982,11.31982,11.20956,11.02579,10.63989,10.63989,10.63989,10.49288,10.23561,10.23561,10.23561,10.23561,9.92322,9.84971,9.84971,9.84971,9.99672,9.95997,9.84971,9.64757,9.26167,8.76551,9.24329,9.40868
2016,Arncliffe 33_11kV,03MAY2015,MW,9.33517,9.39030,8.78388,8.45311,8.17746,7.58942,7.44241,7.07489,7.00138,6.48684,6.28470,6.26633,5.89880,5.89880,5.89880,5.89880,5.89880,5.89880,5.89880,5.89880,5.65991,5.84367,5.89880,5.89880,6.10094,6.28470,6.28470,6.30308,6.72573,6.72573,6.96463,7.13001,7.64455,7.80994,8.14071,8.23259,8.52661,8.72875,8.91252,9.05953,9.48218,9.29842,9.13303,9.46381,9.46381,9.46381,9.46381,9.11466,9.05953,9.35355,9.31680,9.05953,9.05953,9.05953,8.69200,8.69200,8.52661,8.39798,8.39798,8.39798,8.39798,8.45311,8.69200,8.69200,8.98602,9.39030,9.75783,9.86809,10.36425,10.54801,11.02579,11.20956,11.20956,11.20956,11.20956,11.35657,11.24631,11.22793,10.97067,10.82366,10.82366,10.75015,10.82366,10.69502,10.05185,10.01510,10.01510,9.72108,9.77620,9.83133,9.24329,9.09628,8.76551,8.58174,8.80226,8.76551
2016,Arncliffe 33_11kV,04MAY2015,MW,8.83901,8.71038,8.28772,7.97532,7.49754,7.22190,6.81762,6.70736,6.45009,6.02743,5.89880,5.89880,5.89880,5.89880,5.89880,5.89880,5.82529,5.51290,5.51290,5.71504,5.89880,6.22957,6.59710,6.81762,7.47916,8.14071,8.50824,9.02278,9.40868,9.92322,10.27237,10.30912,10.40100,10.10698,10.01510,9.88646,9.83133,9.84971,9.83133,9.83133,9.83133,9.68432,9.59244,9.73945,9.72108,9.66595,9.66595,9.75783,9.46381,9.57407,9.62919,9.62919,9.70270,9.50056,9.79458,9.66595,9.70270,9.61082,9.28004,9.28004,9.22492,9.22492,9.46381,9.59244,9.92322,9.92322,9.92322,10.05185,10.01510,10.49288,11.13605,11.43007,11.68734,11.77922,11.54033,11.79760,11.54033,11.54033,11.28306,11.13605,11.13605,10.84203,10.84203,10.65827,10.40100,10.08860,10.08860,9.79458,9.81296,10.03347,9.77620,9.48218,9.13303,8.58174,8.87576,8.83901
2016,Arncliffe 33_11kV,05MAY2015,MW,9.00440,8.82064,8.34285,7.82831,7.58942,7.20352,6.74411,6.39496,6.39496,6.11932,5.99068,5.99068,5.77017,5.60478,5.60478,5.60478,5.60478,5.60478,5.60478,5.77017,5.99068,6.17445,6.79924,6.85437,7.66293,8.32448,8.54499,9.18816,9.79458,10.25399,10.25399,10.25399,10.16211,9.83133,9.83133,9.83133,9.62919,9.75783,9.59244,9.50056,9.37193,9.72108,9.51894,9.28004,9.46381,9.44543,9.37193,9.46381,9.50056,9.37193,9.37193,9.37193,9.37193,9.37193,9.37193,9.24329,9.44543,9.31680,9.20654,9.20654,9.20654,9.20654,9.20654,9.29842,9.62919,9.62919,9.66595,9.95997,9.75783,10.21724,11.06255,11.19118,11.30144,11.33819,11.41170,11.33819,11.33819,11.20956,11.00742,10.62152,10.62152,10.62152,10.47451,10.16211,9.84971,10.01510,10.05185,9.62919,9.73945,9.68432,9.18816,8.72875,8.37960,8.04883,7.82831,7.75481
2016,Arncliffe 33_11kV,06MAY2015,MW,7.44241,7.44241,7.11164,6.78086,6.65223,6.39496,6.26633,6.02743,5.86205,5.86205,5.80692,5.45777,5.45777,5.45777,5.45777,5.45777,5.45777,5.45777,5.45777,5.45777,5.78854,6.21120,6.61548,6.89112,7.55267,7.90182,8.48986,8.93089,9.50056,10.01510,10.10698,10.08860,10.16211,10.12535,9.70270,9.48218,9.24329,9.28004,9.28004,9.28004,9.26167,9.16979,9.13303,9.15141,9.28004,9.28004,9.02278,8.89414,8.89414,8.98602,8.96765,9.04115,8.98602,8.98602,8.98602,8.98602,8.98602,8.98602,8.65525,8.72875,8.61850,8.76551,8.76551,9.13303,9.26167,9.55569,9.55569,9.66595,9.88646,10.38262,11.02579,11.33819,11.74247,11.74247,11.74247,11.94461,12.03649,11.68734,11.63221,11.63221,11.57708,11.52196,11.37495,11.06255,10.76853,10.76853,10.52963,10.29074,10.27237,10.34587,9.81296,9.31680,8.78388,8.48986,8.12234,7.97532
2016,Arncliffe 33_11kV,07MAY2015,MW,7.73643,7.71806,7.33215,7.11164,6.92787,6.61548,6.45009,6.11932,6.11932,6.04581,5.73341,5.73341,5.73341,5.73341,5.73341,5.73341,5.73341,5.73341,5.73341,5.73341,6.00906,6.28470,6.81762,7.13001,7.97532,8.34285,8.85739,9.55569,10.05185,10.60314,10.82366,10.82366,10.60314,10.41938,10.21724,10.05185,9.77620,9.55569,9.64757,9.57407,9.39030,9.51894,9.42705,9.42705,9.35355,9.35355,9.35355,9.35355,9.31680,9.07790,9.07790,8.98602,8.98602,8.98602,9.02278,9.09628,9.16979,8.98602,8.98602,8.96765,8.69200,8.80226,8.69200,9.02278,9.16979,9.50056,9.55569,9.95997,10.16211,10.63989,11.41170,11.74247,11.88948,11.88948,11.88948,12.03649,12.29376,11.98136,11.92623,11.92623,11.92623,11.92623,11.85273,11.57708,11.57708,11.57708,11.43007,11.06255,10.82366,10.82366,10.43775,9.70270,9.26167,8.91252,8.74713,8.37960
2016,Arncliffe 33_11kV,08MAY2015,MW,7.99370,7.99370,7.55267,7.44241,7.05651,7.05651,6.76249,6.59710,6.26633,6.26633,6.26633,6.26633,5.91718,5.86205,5.86205,5.86205,5.86205,5.86205,5.86205,5.86205,6.02743,6.39496,6.98300,7.20352,7.84669,8.63687,9.15141,9.92322,10.54801,10.87878,10.93391,11.09930,11.09930,10.80528,10.60314,10.34587,10.25399,9.86809,9.73945,9.62919,9.61082,9.61082,9.61082,9.28004,9.31680,9.39030,9.39030,9.13303,9.05953,8.85739,8.93089,9.05953,8.94927,8.91252,9.05953,8.78388,8.76551,8.76551,8.76551,8.76551,8.45311,8.60012,8.76551,8.83901,9.16979,9.16979,9.48218,9.75783,10.19886,10.51126,11.17281,11.43007,11.68734,11.81598,11.77922,11.77922,11.77922,11.77922,11.77922,11.77922,11.77922,11.77922,11.77922,11.50358,11.31982,11.04417,11.04417,10.82366,10.71340,10.67664,10.27237,9.83133,9.57407,9.26167,8.76551,8.67363
2016,Arncliffe 33_11kV,09MAY2015,MW,8.39798,8.39798,8.01208,7.69968,7.49754,7.14839,6.78086,6.78086,6.43171,6.39496,6.39496,6.39496,6.19282,5.99068,5.99068,5.99068,5.99068,5.99068,5.99068,5.99068,5.99068,6.08256,6.39496,6.48684,6.76249,6.98300,7.18514,7.36891,7.86507,8.15909,8.54499,8.72875,9.13303,9.50056,9.59244,9.77620,9.64757,9.46381,9.46381,9.42705,9.37193,9.50056,9.44543,9.15141,9.09628,9.07790,8.96765,9.02278,8.89414,8.67363,8.78388,8.61850,8.41636,8.32448,8.32448,8.32448,8.32448,8.08558,8.01208,8.08558,8.26935,7.95695,8.17746,8.25097,8.54499,8.61850,8.80226,9.35355,9.72108,10.10698,10.76853,10.82366,11.08092,11.22793,11.22793,11.22793,11.19118,10.93391,10.93391,10.93391,10.93391,10.93391,10.63989,10.52963,10.52963,10.52963,10.40100,9.83133,9.90484,10.21724,9.83133,9.66595,9.33517,9.00440,9.16979,9.16979
2016,Arncliffe 33_11kV,10MAY2015,MW,9.26167,9.22492,8.67363,8.26935,7.84669,7.60780,7.38728,7.05651,7.01976,6.63385,6.24795,6.24795,6.24795,6.24795,6.04581,5.84367,5.84367,5.84367,5.84367,5.84367,5.84367,6.06419,6.26633,6.26633,6.26633,6.26633,6.50522,6.67061,7.05651,7.22190,7.44241,7.64455,7.82831,7.84669,8.23259,8.23259,8.45311,8.61850,8.61850,8.61850,8.61850,8.61850,8.61850,8.61850,8.61850,8.61850,8.71038,8.93089,8.93089,8.93089,8.72875,8.34285,7.86507,7.99370,7.86507,7.64455,7.64455,7.64455,7.64455,7.64455,7.73643,7.95695,7.95695,8.23259,8.56337,8.91252,9.13303,9.39030,9.94159,10.38262,10.97067,11.13605,11.22793,11.43007,11.55871,11.72410,11.72410,11.39332,11.35657,11.06255,11.22793,11.35657,11.06255,11.04417,10.73177,10.67664,10.65827,10.32749,10.45613,10.30912,9.57407,9.44543,9.09628,8.67363,9.02278,8.93089
