year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Auburn 33_11kV,01MAY2016,MW,5.89137,5.65425,5.65425,5.65425,5.65425,5.65425,5.65425,5.65425,5.65425,5.65425,5.65425,5.45362,5.18003,5.18003,5.18003,5.18003,5.18003,5.18003,5.18003,5.47186,5.49010,5.49010,5.49010,5.83665,5.90961,5.74545,6.43855,7.05870,6.71215,6.71215,6.93102,6.93102,7.31405,7.98891,8.28075,8.28075,8.28075,8.77321,9.06505,9.48456,9.92230,10.32357,10.15942,10.36005,10.43301,10.28709,10.56069,10.41477,10.19590,10.04998,9.86759,10.37829,10.21414,10.32357,10.63365,10.63365,11.01668,11.07139,10.87076,10.87076,10.70660,10.54245,10.54245,10.54245,10.54245,10.72484,10.28709,10.37829,10.04998,9.19272,9.42984,8.95561,8.80969,8.20779,8.04363,7.71532,8.08011,8.02539,7.95244,7.80652,7.69708,7.69708,7.47821,7.13166,7.13166,7.13166,7.13166,6.69391,6.63919,6.63919,6.63919,6.63919,6.63919,6.63919,6.25616,6.16496
2017,Auburn 33_11kV,02MAY2016,MW,6.16496,6.16496,6.16496,6.16496,6.14672,6.05552,5.90961,5.90961,5.83665,5.61778,5.61778,5.61778,5.96433,6.00081,6.16496,6.27440,6.27440,6.31088,6.52975,6.80334,7.09518,7.44173,7.86124,8.37194,8.80969,9.32040,9.84935,10.57893,11.32675,11.83745,12.12929,12.60352,13.40605,13.69789,13.69789,13.67965,14.17211,14.46395,14.77402,15.23001,15.28473,15.39416,15.43064,15.44888,15.57656,15.48536,15.79543,15.30297,15.43064,15.37592,15.43064,15.46712,15.55832,15.72247,15.59480,15.66776,15.43064,15.32121,15.26649,14.95641,14.86522,14.48219,14.19035,14.19035,14.22683,13.95324,13.31486,13.16894,13.15070,12.80415,12.22049,11.58210,11.08963,10.70660,10.76132,10.48773,10.32357,9.95878,9.83111,9.59399,9.32040,8.99209,8.84617,8.66378,8.51786,8.31723,8.04363,7.62412,7.51469,7.51469,7.18637,7.49645,7.38701,7.25933,6.89454,6.89454
2017,Auburn 33_11kV,03MAY2016,MW,6.49327,6.78511,6.87630,6.63919,6.54799,6.11024,6.11024,6.29264,6.58447,6.54799,5.94609,5.94609,6.07376,5.94609,6.00081,6.27440,6.34736,6.67567,6.87630,7.13166,7.47821,7.77004,8.29899,8.46314,9.44808,10.45125,10.68836,11.05316,11.70978,11.70978,12.38464,12.54880,13.66141,14.39099,14.53691,14.86522,14.91994,14.37275,14.90170,15.06585,15.04761,15.06585,15.23001,15.48536,15.94135,15.75895,15.52184,15.26649,15.41240,15.55832,15.70424,16.05079,16.05079,15.75895,15.75895,15.85015,15.63128,16.03255,16.05079,15.68600,15.30297,15.30297,15.19353,15.32121,14.48219,14.29979,13.97148,13.71613,13.16894,12.47584,12.40288,11.81922,11.36323,10.87076,10.88900,10.46949,10.23238,10.19590,10.30533,10.10470,10.25062,9.66695,9.11976,8.40842,8.33547,8.33547,8.08011,8.08011,7.93420,7.78828,7.56940,7.47821,7.44173,7.05870,7.16814,7.25933
2017,Auburn 33_11kV,04MAY2016,MW,7.22285,6.85806,6.63919,6.42031,6.63919,6.63919,6.56623,6.38384,6.07376,6.07376,6.07376,6.07376,5.98257,6.01904,6.31088,6.00081,6.43855,6.73039,6.76687,7.13166,7.58764,7.80652,8.40842,8.70026,9.26568,9.86759,10.57893,10.88900,11.78274,12.14753,12.47584,12.60352,13.66141,14.04444,14.20859,14.71930,15.32121,15.02937,15.43064,15.68600,15.81367,15.88663,15.83191,15.68600,15.68600,15.94135,15.86839,16.23318,15.94135,15.79543,15.75895,15.97783,16.48854,16.61621,16.37910,16.48854,16.28790,16.65269,16.34262,16.26966,16.14198,16.06903,15.92311,16.06903,15.43064,14.95641,14.71930,14.20859,13.22366,12.95007,12.49408,12.07457,11.36323,10.98020,10.48773,10.17766,10.03174,9.57575,9.72167,9.50280,9.28392,9.28392,9.26568,8.80969,8.55434,8.53610,8.17131,8.17131,7.98891,7.91596,7.86124,7.05870,7.02222,7.04046,7.05870,7.05870
2017,Auburn 33_11kV,05MAY2016,MW,6.80334,6.65743,6.51151,6.32912,6.36560,6.36560,6.36560,6.36560,6.12848,6.11024,6.11024,5.92785,5.87313,5.94609,6.21968,6.31088,6.43855,6.69391,6.69391,7.16814,7.62412,7.77004,7.97067,8.15307,9.11976,9.94054,10.41477,11.21731,11.72802,12.01985,12.38464,13.16894,13.44253,13.91676,14.53691,14.48219,14.66458,14.91994,14.97465,15.04761,14.97465,14.64634,15.08409,14.99289,15.01113,14.88346,14.99289,15.41240,15.30297,15.44888,15.37592,15.54008,15.70424,15.66776,15.74071,15.74071,16.17846,15.90487,15.68600,15.75895,15.52184,15.10233,15.06585,15.12057,14.64634,14.40923,14.22683,13.77085,13.36958,13.53373,13.11422,12.80415,11.92865,11.94689,11.94689,12.01985,11.49090,11.34499,11.21731,11.23555,11.05316,10.88900,10.46949,10.12294,9.59399,8.90089,8.79145,8.60906,8.35370,8.11659,8.04363,7.25933,7.53293,7.33229,7.22285,7.07694
2017,Auburn 33_11kV,06MAY2016,MW,6.96750,6.96750,6.96750,6.94926,6.47503,6.47503,6.47503,6.47503,6.34736,6.11024,6.16496,6.52975,6.69391,6.69391,6.69391,6.69391,6.96750,7.13166,7.20461,7.31405,7.78828,7.89772,8.02539,8.04363,9.08329,9.90406,10.28709,10.56069,10.81604,11.36323,11.27203,11.91041,12.84063,13.27838,13.71613,14.00796,13.95324,14.06268,14.39099,14.20859,14.48219,14.57338,14.88346,15.01113,14.86522,15.12057,15.41240,15.46712,15.28473,15.17529,15.50360,15.79543,15.55832,15.95959,16.39734,16.19670,15.54008,15.43064,15.57656,15.21177,14.95641,14.99289,14.68282,14.20859,14.15388,13.62493,13.73437,13.16894,12.62175,12.25696,11.65506,10.94372,10.68836,10.46949,10.08646,9.75815,9.57575,9.26568,8.93737,8.79145,8.60906,8.49962,8.37194,7.89772,7.87948,7.89772,7.87948,7.78828,7.73356,7.42349,7.42349,7.42349,7.42349,7.00398,6.98574,6.80334
2017,Auburn 33_11kV,07MAY2016,MW,6.80334,6.76687,6.54799,6.43855,6.38384,6.16496,6.16496,6.16496,6.16496,6.16496,6.16496,6.16496,5.85489,6.14672,6.27440,6.27440,6.32912,6.32912,6.18320,6.12848,6.23792,6.38384,6.73039,6.76687,6.96750,7.38701,7.18637,7.18637,7.33229,7.38701,7.49645,7.62412,8.51786,8.91913,9.08329,9.17448,9.32040,9.83111,10.28709,10.15942,10.04998,9.97702,10.01350,10.19590,10.10470,10.19590,10.04998,10.26886,10.23238,10.19590,10.01350,10.03174,10.30533,10.39653,10.34181,10.34181,10.34181,10.34181,10.21414,10.10470,9.88583,9.88583,9.88583,9.88583,9.84935,9.32040,9.32040,9.32040,9.26568,8.86441,8.73673,8.28075,7.91596,7.71532,7.71532,7.47821,7.45997,7.45997,7.45997,7.04046,6.96750,6.96750,6.96750,6.96750,6.89454,6.58447,6.43855,6.40207,6.25616,6.14672,6.14672,6.14672,6.14672,6.14672,6.14672,6.14672
2017,Auburn 33_11kV,08MAY2016,MW,5.70897,5.67249,5.67249,5.67249,5.67249,5.67249,5.45362,5.23475,5.16179,5.16179,5.16179,5.16179,5.16179,5.16179,5.16179,5.16179,5.16179,5.16179,5.36242,5.41714,5.43538,5.59954,5.67249,5.69073,6.00081,6.00081,6.00081,6.36560,6.47503,6.47503,6.31088,6.42031,7.14990,7.18637,7.18637,7.20461,7.67884,7.93420,8.46314,8.77321,9.02857,9.22920,9.53927,9.28392,9.28392,9.28392,9.28392,9.11976,9.02857,9.02857,9.37512,9.48456,9.39336,9.48456,9.48456,9.42984,9.42984,9.50280,9.64871,9.42984,9.42984,9.42984,9.42984,9.13800,9.44808,9.44808,9.44808,9.44808,9.37512,8.90089,8.51786,8.37194,8.08011,8.02539,7.55117,7.55117,7.55117,7.55117,7.18637,7.02222,7.02222,7.27757,7.09518,7.09518,6.73039,6.56623,6.56623,6.49327,6.23792,6.23792,6.29264,6.27440,6.27440,6.27440,6.27440,6.27440
2017,Auburn 33_11kV,09MAY2016,MW,6.27440,6.01904,5.80017,5.50834,5.50834,5.50834,5.50834,5.50834,5.50834,5.50834,5.78193,5.98257,5.78193,5.61778,5.65425,5.67249,6.31088,6.23792,6.31088,6.60271,6.98574,7.18637,7.78828,8.17131,8.90089,9.55751,10.14118,10.48773,11.03492,11.69154,12.29344,12.56704,13.00478,13.36958,14.26331,14.55514,14.68282,15.28473,14.97465,14.93817,15.21177,15.32121,15.55832,15.63128,15.33944,15.50360,15.57656,15.46712,15.28473,14.86522,14.71930,15.01113,15.08409,15.39416,15.83191,16.05079,15.64952,15.23001,15.23001,14.86522,14.91994,14.95641,14.86522,14.75578,14.46395,14.09916,13.64317,13.20542,13.07774,13.02302,12.60352,11.81922,11.39971,10.88900,10.72484,10.70660,10.39653,10.37829,10.14118,9.94054,9.83111,9.61223,9.02857,8.59082,8.57258,8.57258,8.57258,8.31723,8.02539,7.33229,7.18637,7.36877,7.45997,7.45997,7.45997,7.45997
2017,Auburn 33_11kV,10MAY2016,MW,7.13166,6.56623,6.52975,6.52975,6.62095,6.56623,6.56623,6.56623,6.36560,5.98257,6.09200,6.20144,6.20144,6.20144,6.01904,6.31088,6.83982,7.22285,7.45997,7.16814,7.56940,8.24427,8.66378,8.77321,9.08329,9.48456,9.68519,9.97702,10.90724,11.23555,11.45442,12.01985,12.42112,13.44253,13.82556,14.06268,14.57338,14.79226,14.75578,14.75578,15.17529,14.95641,14.93817,15.13881,15.17529,15.26649,15.33944,15.41240,15.01113,15.32121,15.61304,15.66776,15.23001,15.50360,15.64952,15.90487,16.10550,15.64952,15.61304,15.46712,15.15705,15.21177,15.21177,14.44571,14.06268,13.86204,13.86204,13.26014,12.65823,11.91041,11.52738,10.96196,10.56069,10.25062,10.25062,10.12294,9.97702,9.97702,9.64871,9.39336,9.04681,8.75497,8.71850,8.48138,8.49962,8.46314,8.33547,7.97067,7.97067,7.97067,7.97067,7.58764,7.45997,7.02222,7.02222,7.02222
2017,Auburn 33_11kV,11MAY2016,MW,7.02222,7.02222,7.02222,6.32912,6.05552,6.31088,6.12848,5.81841,5.81841,5.81841,5.81841,5.81841,6.09200,6.16496,6.11024,5.98257,6.05552,6.09200,6.76687,7.11342,7.55117,7.93420,8.33547,8.73673,9.42984,10.03174,10.36005,10.59717,11.03492,11.32675,11.63682,11.83745,12.54880,12.91359,13.47901,13.58845,13.75261,14.08092,14.39099,14.29979,14.51867,14.17211,14.46395,14.46395,14.50043,14.64634,14.90170,14.70106,14.64634,14.64634,14.93817,14.88346,14.64634,14.42747,15.08409,14.91994,14.75578,14.77402,14.77402,14.28155,14.20859,13.93500,14.15388,14.09916,13.29662,12.93183,12.87711,12.62175,12.01985,12.00161,11.34499,10.74308,10.46949,10.56069,9.95878,10.15942,10.15942,9.75815,9.75815,9.55751,9.08329,9.11976,8.93737,8.86441,8.64554,8.37194,7.97067,7.78828,7.60588,7.47821,7.47821,7.47821,7.47821,7.47821,7.22285,7.00398
2017,Auburn 33_11kV,12MAY2016,MW,6.76687,6.76687,6.29264,6.80334,6.80334,6.80334,6.34736,6.31088,6.12848,6.00081,6.00081,6.00081,6.00081,6.23792,6.09200,6.05552,6.54799,6.74863,6.87630,7.13166,7.42349,7.73356,8.26251,8.48138,9.11976,9.57575,10.19590,10.37829,11.14435,11.52738,12.29344,12.89535,13.33310,13.88028,14.28155,14.79226,14.51867,14.24507,14.40923,14.73754,14.79226,14.91994,14.86522,15.17529,15.06585,15.32121,15.10233,15.06585,14.82874,15.12057,15.26649,15.44888,15.13881,15.28473,15.41240,15.77719,15.17529,15.26649,15.19353,14.73754,14.44571,14.57338,14.22683,14.08092,13.95324,13.78908,13.66141,13.26014,13.05950,12.76767,12.76767,12.45760,11.80098,11.81922,11.91041,11.83745,11.54562,11.25379,11.03492,11.03492,10.98020,10.76132,10.46949,9.97702,8.95561,8.39018,8.20779,7.84300,7.89772,7.80652,7.55117,7.58764,7.58764,7.22285,7.16814,6.80334
