year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Avoca 66_11kV,01MAY2016,MW,16.23291,18.81848,17.08215,15.14437,14.24300,14.08370,15.67108,14.37241,12.77063,11.65411,10.66074,9.77093,9.65845,8.88509,8.88509,8.88509,8.88509,8.86668,8.00304,8.00304,8.00304,8.00304,8.50404,8.91360,8.91360,9.59469,9.76903,10.60294,10.64348,11.11446,11.85908,12.56187,13.26680,14.11568,14.18686,14.81329,15.74801,16.00798,16.00798,16.00798,16.00798,15.59643,15.13734,15.13734,15.13734,15.13734,14.74235,14.26671,14.26671,14.26671,14.26671,13.54219,13.26110,13.26110,12.62773,12.49311,13.15628,13.31052,12.88011,13.28581,13.28581,13.28581,13.28581,13.46350,14.16405,15.10199,15.20604,16.09543,16.09543,17.10555,18.46166,18.83831,19.73006,19.73006,19.47801,18.84612,18.44734,17.55512,17.08203,16.69502,17.49432,16.59453,16.49463,15.90157,16.38811,15.18033,14.74760,13.95594,13.09952,15.27229,16.18893,14.69343,15.99652,15.06299,17.35479,16.36599
2017,Avoca 66_11kV,02MAY2016,MW,15.56952,18.38650,16.67367,14.78953,14.11968,13.96775,15.43484,14.08780,12.56601,11.59028,10.76224,9.95649,9.64357,8.97732,8.76533,8.76533,8.76533,8.76533,8.76533,8.76533,8.76533,8.76533,9.57838,10.52885,11.24369,12.33153,13.35226,14.08769,13.45119,13.45119,13.45119,13.99555,14.31043,13.94466,13.34377,12.55774,12.55774,12.55774,12.55774,12.55774,12.55774,12.55774,12.55774,12.55774,12.55774,12.55774,12.55774,12.55774,12.55774,11.90002,11.14424,10.87159,10.87159,10.87159,10.87159,10.87159,10.87159,10.87159,10.87159,10.87159,10.87159,10.87159,10.87159,10.87159,11.29021,13.57285,14.21941,14.85350,16.00420,16.24180,16.24180,16.24180,16.24180,16.24180,16.24180,16.24180,16.24180,16.24180,16.24180,16.24180,16.24180,16.24180,16.24180,16.24180,16.24180,16.24180,16.24180,14.42522,14.04239,15.50318,16.29625,14.89122,15.98209,14.88721,17.38540,16.21387
2017,Avoca 66_11kV,03MAY2016,MW,15.13544,18.24763,16.70245,14.67401,14.06826,13.71168,15.20256,14.71913,14.71913,14.71913,14.71913,14.71913,14.71913,14.71913,14.71913,14.71913,14.71913,14.71913,14.71913,14.71913,14.71913,9.62056,9.42686,9.94905,11.04237,12.08886,12.95161,13.63873,12.89231,13.23241,13.78196,13.78196,12.93207,12.91132,12.73020,12.01217,12.01217,12.01217,12.01217,12.01217,12.01217,12.01217,12.01217,12.01217,12.01217,12.01217,12.01217,12.01217,12.01217,12.01217,12.01217,12.01217,12.01217,12.01217,12.01217,12.01217,12.01217,12.01217,12.01217,12.01217,12.01217,12.01217,12.01217,12.08191,12.18515,13.00327,13.07480,13.07480,13.07480,13.07480,13.07480,13.07480,13.07480,13.07480,13.07480,13.07480,13.07480,13.07480,13.07480,13.07480,13.07480,14.11962,17.37282,16.36089,16.63012,15.53418,15.08792,14.66004,14.16976,15.37063,16.15098,14.78985,15.93614,16.00038,16.00038,16.00038
2017,Avoca 66_11kV,04MAY2016,MW,16.00038,16.00038,16.00038,16.00038,16.00038,16.00038,16.00038,15.47194,12.57242,11.62314,10.79593,9.63019,9.36793,9.05985,8.50299,8.50299,8.50299,8.50299,8.50299,8.50299,8.81464,9.39645,9.61122,10.30130,11.03237,12.21889,13.32890,14.10972,12.95964,13.54346,13.62315,13.90933,13.90933,13.11136,12.98926,12.51787,12.12813,12.12813,12.12813,12.12813,12.12813,12.12813,12.12813,12.12813,12.12813,12.12813,12.12813,12.12813,12.12813,12.12813,12.12813,12.12813,12.12813,12.12813,12.12813,12.12813,12.12813,12.12813,12.12813,12.12813,12.12813,12.12813,12.12813,12.12813,12.12813,12.12813,12.12813,12.12813,13.73036,15.60525,17.39824,18.67762,19.16738,19.16738,19.16738,18.59750,18.30815,17.43264,17.32915,16.84676,17.57163,16.88433,16.88433,16.29046,16.83405,15.61691,15.19916,14.27051,14.15663,15.37894,16.36572,14.73095,16.06382,15.04781,17.14828,16.08267
2017,Avoca 66_11kV,05MAY2016,MW,15.43199,18.05709,16.46005,14.28791,13.80480,13.51593,15.09825,14.11518,12.58024,11.17598,10.67572,9.80352,9.30520,9.01437,8.44216,8.44216,8.44216,8.44216,8.44216,8.44216,8.87055,9.33181,9.77534,10.28039,11.07990,12.53210,13.11618,14.17954,13.00447,13.44615,13.96445,13.96445,13.96445,13.73616,13.11092,12.71364,12.19656,12.19656,12.19656,11.45185,11.27650,11.27650,11.27650,11.27650,11.27650,11.27650,11.27650,11.27650,11.27650,11.27650,11.27650,11.27650,11.27650,11.27650,11.27650,11.27650,11.27650,11.25779,11.23848,11.23848,11.23848,11.23848,11.23848,11.52421,12.09771,12.37940,12.97419,13.84659,14.23249,15.72823,17.14329,18.01034,18.48118,19.25673,19.25673,18.36414,18.15690,17.46982,17.46982,16.78514,18.00363,17.08418,17.60472,17.63711,17.63711,17.63711,17.63711,17.63711,17.63711,17.63711,16.95199,14.95567,16.25309,15.16421,14.62789,13.84398
2017,Avoca 66_11kV,06MAY2016,MW,13.65813,16.79233,15.68538,13.87971,13.38014,13.21022,14.80268,13.69813,12.57314,11.66540,10.54178,10.05988,9.47701,9.16643,8.54073,8.30149,8.30149,8.30149,8.30149,8.30149,8.66296,9.18734,9.25607,10.18848,11.32006,12.13273,13.14538,14.14387,13.59186,13.49336,13.89792,13.89792,13.89792,13.77377,12.98736,12.98736,12.95883,12.10151,12.10151,12.10151,11.34691,11.23848,11.23848,11.23848,11.23848,11.23848,11.23848,11.23848,11.23848,11.23848,10.91253,10.31841,10.31841,10.31841,10.31841,10.31841,10.45376,11.29170,11.29170,11.29170,11.29170,11.29170,11.37766,11.68174,12.10341,12.48475,13.09859,14.16796,14.84372,15.87355,17.33869,18.34426,18.34426,18.34426,18.34426,18.34426,18.15769,17.38808,17.32805,16.27982,17.77890,16.96564,16.95086,16.32408,16.76482,15.70430,15.15445,14.77268,14.29712,15.79716,16.63910,15.45501,16.74907,15.90657,18.14055,17.30739
2017,Avoca 66_11kV,07MAY2016,MW,16.84029,19.36249,18.08050,15.88615,15.09627,14.80452,16.31126,14.86418,13.48269,12.40690,11.27214,10.34693,9.90444,9.44967,8.75140,8.56763,8.56763,8.56763,8.56763,8.56763,8.56763,8.56763,8.56763,9.15935,9.50067,10.29560,10.71571,11.92522,11.28750,11.99886,12.66480,12.98855,13.81047,13.81047,13.81047,13.81047,13.81047,13.81047,13.81047,13.27186,12.94174,12.94174,12.94174,12.05039,11.96464,11.96464,11.96464,11.96464,11.96464,11.96464,11.96464,11.96464,11.96464,11.96464,11.96464,11.96464,11.96464,11.96464,11.96464,12.30787,12.91892,12.91892,12.91892,12.99052,13.94164,13.94164,14.76239,15.48088,15.77074,17.20478,18.15307,18.41650,19.24121,18.38046,18.36708,18.36708,17.51635,17.23393,16.42429,16.42429,17.30866,16.56165,16.96077,16.14012,16.42018,15.63920,15.42166,14.76856,14.76856,16.35610,16.82730,15.82511,16.83682,16.24263,18.42851,17.38891
2017,Avoca 66_11kV,08MAY2016,MW,16.68006,19.33228,17.67583,15.79861,14.89062,14.80968,16.27874,14.74028,13.29238,12.15613,11.15125,10.52014,9.80325,9.34017,8.93451,8.93451,8.93451,8.93451,8.83047,8.06007,8.06007,8.35660,8.95922,8.95922,8.95922,9.70153,9.85268,10.62199,10.78415,11.11635,11.76253,12.58246,13.43790,13.63778,14.41688,14.41688,15.25101,15.43199,15.43199,15.43199,15.43199,15.43199,15.43199,15.43199,15.14100,14.51383,14.51383,14.51383,14.50987,13.55765,12.78956,13.62969,13.63369,13.63369,13.63369,13.29564,12.76114,12.76114,12.76114,12.76114,12.76114,12.76114,12.76114,13.46918,13.64699,13.81818,14.92413,15.86448,16.51505,17.55585,18.11425,18.11425,18.11425,18.11425,18.11425,18.11425,17.66826,17.20179,17.17513,16.30453,17.27449,16.45941,17.04723,16.49653,16.49653,16.49653,16.49653,16.49653,16.49653,16.49653,16.49653,16.49653,16.49653,16.49653,16.49653,16.49653
2017,Avoca 66_11kV,09MAY2016,MW,16.49653,16.49653,16.49653,16.49653,16.49653,14.48852,15.70729,14.23400,12.78703,11.57343,10.67349,10.08269,9.56103,9.22346,9.22346,9.22346,8.52173,8.36422,8.36422,8.36422,8.67377,9.23106,9.36420,10.09220,11.26891,12.04523,12.76305,13.62111,12.77338,13.55194,14.25265,14.47771,14.47771,14.47771,14.47771,14.47771,14.47771,13.72020,13.53484,13.53484,13.53484,13.53484,13.53484,13.53484,13.53484,13.53484,13.53484,13.53484,13.53484,13.53484,13.53484,13.53484,13.53484,13.53484,13.52699,12.66800,12.66800,12.66800,12.66800,12.66800,12.66800,12.66800,12.80876,13.56335,13.56335,14.29069,15.03464,15.92810,16.76908,17.83898,18.96271,20.36532,20.58260,20.01711,20.01711,19.62227,19.10085,18.30523,18.13136,17.33983,18.43449,17.20799,17.33912,16.32698,16.69253,15.74653,15.02899,14.50429,14.11843,15.98163,16.70640,14.89106,16.22903,15.25258,17.64158,16.38697
2017,Avoca 66_11kV,10MAY2016,MW,15.62733,18.40631,16.84307,14.84028,13.90219,13.67433,15.20763,13.86510,12.55942,11.57420,10.64564,10.08079,9.70176,9.18164,8.49693,8.28819,8.28819,8.28819,8.28819,8.28819,8.99015,9.18164,9.45702,10.47029,11.48410,12.42216,13.19488,14.16018,12.98222,13.79717,13.79717,13.79717,13.79717,13.79717,13.00783,12.65782,11.99696,11.99696,11.99696,11.99696,11.89381,11.13963,11.13963,11.13963,11.13963,11.13963,11.13963,11.09629,10.20626,10.20626,10.20626,10.20626,10.20626,10.20626,10.20626,10.20626,10.20626,10.20626,10.53754,11.07119,11.07119,11.07119,11.07119,11.87893,12.02547,12.87115,13.16452,14.04236,15.00422,16.45556,17.74993,18.88999,19.18843,20.03232,19.20616,19.15407,18.75821,17.90487,17.43370,17.43370,18.28206,17.05366,17.45928,16.61733,16.55546,15.99148,15.35957,14.51648,13.90742,15.40500,15.98475,14.88188,16.05332,16.10113,16.10113,16.10113
2017,Avoca 66_11kV,11MAY2016,MW,16.10113,16.10113,16.10113,15.29674,14.15817,13.70856,15.32936,14.13125,12.76982,11.76537,10.87761,10.26395,9.45157,9.16653,8.54291,8.54291,8.54291,8.54291,8.54291,8.54291,9.27538,9.45347,9.67037,10.37544,11.57421,12.57018,13.51611,14.50281,13.56715,14.26511,14.48342,14.48342,14.48342,14.45691,13.60897,12.95659,12.71172,12.48578,11.76884,11.76884,11.76884,11.72839,10.90771,10.90771,10.90771,10.90771,10.90771,10.90771,10.90771,10.90771,10.90771,10.12612,10.29079,10.89060,10.74451,10.00285,10.88987,10.90581,10.90581,10.90581,11.18532,11.79356,11.79356,11.79356,12.57281,12.78947,13.62038,14.30428,15.33009,17.11766,18.84758,19.98844,20.36137,20.91246,20.91246,20.19837,19.39510,18.50765,18.24541,18.14057,18.92876,18.16539,18.57945,17.15449,17.71949,16.43025,15.82713,14.82258,14.27241,16.09897,16.73423,15.26645,16.77961,15.62449,18.09670,16.67484
2017,Avoca 66_11kV,12MAY2016,MW,15.72094,18.75419,17.22428,15.37693,14.69069,14.52317,15.89683,14.32845,13.01598,11.71823,11.04844,10.34883,10.12310,9.48959,9.00742,8.60945,8.60945,8.60945,8.60945,8.60945,9.30646,9.61886,9.89631,10.49520,11.84396,12.79739,14.03029,14.75172,13.83418,14.63739,14.63739,14.63739,14.63739,14.21945,13.69071,13.15788,12.75544,12.34389,11.80116,11.80116,11.80116,11.33046,10.89440,10.89440,10.89440,10.89440,10.89440,10.89440,10.89440,10.89440,10.89440,10.89440,10.89440,10.89440,10.89440,10.89440,10.89440,10.89440,10.89440,10.89440,10.89440,10.89440,11.22170,11.77455,12.35311,12.64519,13.23101,14.00842,14.89452,16.28614,17.67993,18.22462,19.13126,19.13126,19.13126,19.04859,18.25492,17.96108,17.37097,17.37097,18.23572,17.38710,17.96489,16.99447,17.17996,16.23563,15.53274,15.07660,14.65450,16.38398,16.49667,15.36697,16.75232,15.68237,17.62346,16.57649
2017,Avoca 66_11kV,13MAY2016,MW,15.90477,18.57034,17.22981,15.21877,14.18849,14.18639,15.81522,14.31123,13.04151,11.70953,10.77119,9.99715,9.99715,9.56332,9.09609,8.64909,8.21025,8.21025,8.21025,8.55602,9.07328,9.07328,9.56632,10.57238,11.54597,12.65849,13.83669,14.39323,13.76747,14.43399,14.43399,14.43399,14.43399,14.43399,13.75045,13.56905,13.27691,12.70602,12.70602,12.06532,11.83538,11.83538,11.57455,10.96284,10.96284,10.96284,10.96284,10.96284,10.96284,10.96284,10.96284,10.96284,10.96284,10.96284,10.96284,10.96284,10.96284,10.96284,10.96284,10.96284,10.96284,10.96284,11.15610,11.99126,12.43746,12.85619,13.25092,14.16992,14.80306,16.08517,17.53760,18.17128,18.17128,18.17128,18.17128,18.17128,18.17128,17.53210,17.24931,16.60449,18.04380,17.01149,17.52381,16.85645,16.65037,15.80268,15.66282,14.89363,14.07471,15.87364,16.82774,15.46287,16.74376,16.08104,18.05834,16.96868
2017,Avoca 66_11kV,14MAY2016,MW,16.18470,18.73224,17.44771,15.41061,14.54237,14.57489,15.90924,14.71660,13.40621,12.14145,11.00552,10.15873,9.75999,9.28239,9.28239,9.28239,9.28239,8.79104,8.41745,8.41745,8.41745,9.03653,9.29950,9.29950,9.46226,10.52727,11.33580,12.17283,11.98936,12.46247,12.88090,13.65769,13.74964,13.89215,14.62789,14.62789,14.62789,13.94379,13.76295,13.76295,13.30739,12.82958,12.82958,12.82958,12.55631,11.93233,11.93233,11.93233,11.93233,11.93233,11.93233,11.89005,11.04838,11.04838,11.70380,11.39028,11.07309,11.42355,11.94373,11.94373,11.94373,11.94373,12.36673,12.83718,13.40709,13.74584,14.62253,15.42653,16.00961,17.49734,18.83918,19.26243,19.26243,19.26243,19.26243,18.60718,18.29984,17.50784,17.50784,16.84485,18.10087,16.94342,17.40819,16.55920,16.96005,15.83106,15.27421,14.88121,14.33514,16.45387,17.29357,16.17130,17.41001,16.22288,18.78373,17.70745
2017,Avoca 66_11kV,15MAY2016,MW,17.06833,19.55127,18.48476,16.26532,15.42595,15.15262,16.59505,15.05358,13.66826,12.48518,11.25152,10.62005,10.05038,9.78012,9.11130,9.11130,9.11130,9.04671,8.25207,8.25207,8.25207,8.25207,8.27939,9.11510,9.11510,9.69199,10.15377,10.88490,10.88490,11.13575,11.78785,12.64423,13.22926,13.54434,13.79931,14.50623,14.50623,14.50623,14.50623,14.23077,14.36508,13.62988,13.62988,13.62988,13.09375,12.66039,12.51664,11.78405,11.78405,11.90460,12.66420,11.97212,12.64584,12.70031,12.70031,12.70031,12.70031,12.70031,12.70031,12.70031,12.70031,12.70031,12.71546,13.63939,14.05555,14.73692,16.02610,16.98961,17.58175,18.63839,19.32958,19.99240,19.99240,19.91916,19.11415,19.11415,18.33595,17.64327,17.27446,16.40338,17.77558,16.90225,16.88623,16.45920,16.70100,15.38710,15.03077,14.04816,13.36565,15.47193,15.67175,14.68746,16.14118,15.37102,17.69903,16.56989
2017,Avoca 66_11kV,16MAY2016,MW,16.03350,18.72288,17.74162,15.80196,14.84069,14.40200,16.05667,14.78572,13.19210,12.13789,11.37996,10.58667,9.98004,9.74041,9.08659,9.08659,9.08659,9.08659,9.08659,9.08659,9.08659,9.08659,9.89242,10.39070,11.61057,12.54819,13.52691,14.86721,14.24199,14.24199,14.24199,14.24199,14.24199,14.24199,13.83533,14.12644,13.42078,13.34236,12.56345,12.56345,12.56345,12.56345,12.16447,11.66239,11.66239,11.66239,11.66239,11.66239,11.66239,11.66239,11.66239,11.66239,11.66239,11.66239,11.66239,11.66239,11.66239,12.06383,12.53113,12.53113,12.06091,12.27052,12.66990,12.66990,12.69720,13.55385,14.21386,15.12762,15.85512,17.59531,18.91408,19.86495,20.02091,20.02091,20.02091,19.50915,19.03167,18.28724,17.80220,17.42420,18.27257,17.45347,17.74370,16.77021,17.13387,16.17771,15.41679,14.58035,13.56145,15.58069,16.29808,14.90348,16.44705,15.09343,17.53578,16.41424
2017,Avoca 66_11kV,17MAY2016,MW,15.77030,18.52609,17.09164,15.22575,14.36461,14.04545,15.54310,14.05418,12.90329,11.55638,10.77654,10.34480,9.86028,9.03233,8.99154,8.99154,8.99154,8.99154,8.99154,8.99154,8.99154,9.03429,9.86598,10.29384,11.37971,12.16356,13.34692,13.87395,13.34854,13.90581,14.23819,14.23819,14.23819,14.17650,13.37515,13.04379,12.39996,12.04244,11.52742,11.52742,11.52742,11.52742,11.52742,11.52742,10.79244,10.60926,10.60926,10.60926,10.60926,10.60926,10.60926,10.60926,10.60926,10.60926,10.60926,10.60926,10.60926,10.60926,10.60926,10.60926,10.89084,11.56924,11.56924,11.56924,12.40651,12.43038,13.22477,13.75821,14.79278,16.52796,17.50558,18.56333,19.29920,19.13376,18.90505,18.38436,18.02557,17.10864,17.10864,17.10864,18.08823,17.04795,17.16118,16.62435,16.88313,15.83404,15.18356,14.41118,14.41118,15.32592,16.08490,14.90180,16.31914,15.03689,16.78240,16.19186
