year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Avondale 33_11kV,01MAY2016,MW,3.82231,3.45542,3.55134,3.69498,3.26595,2.97801,2.80195,2.64220,2.77359,2.67674,2.51113,2.45095,2.40842,2.39229,2.43363,2.31558,2.31614,2.32946,2.35595,2.39043,2.41343,2.44694,2.54204,2.60277,2.71255,2.77390,2.88828,3.05381,3.33359,3.57486,3.58698,3.78461,3.94091,4.25446,4.38326,4.34972,4.57597,4.56457,4.46739,4.33811,4.28266,4.28496,4.21759,4.18679,4.18468,4.08998,3.97049,3.90194,3.95643,4.06301,4.01592,3.76063,3.34061,3.40880,3.42702,3.40719,3.53825,3.60055,3.61854,3.75508,3.87256,3.85230,3.77141,3.85473,3.85741,3.99075,4.13514,4.17337,4.28089,4.42229,4.65823,4.69219,4.72418,4.64782,4.52409,4.44170,4.30018,4.30844,4.19770,4.00849,3.94659,3.82384,3.78190,3.66145,3.67419,3.57534,4.45732,4.18861,4.02328,3.80214,3.79433,3.60979,4.14560,4.01956,3.65347,3.76721
2017,Avondale 33_11kV,02MAY2016,MW,3.87131,3.54638,3.65632,3.85287,3.42566,3.17638,3.05324,3.15515,3.01622,2.98712,2.98292,2.92398,2.91166,2.98162,3.02120,3.12747,3.24805,3.31310,3.50943,3.81814,3.96012,4.19308,4.31842,4.61798,4.78438,4.89837,5.14148,5.05852,5.05156,5.17915,5.37257,5.33186,5.26399,5.14755,4.93233,4.78438,4.66296,4.52070,4.38711,4.36394,4.34033,4.25899,4.27154,4.28179,4.36729,4.27439,4.30307,4.30062,4.49162,4.50042,4.57197,4.56671,4.51926,4.50737,4.66837,4.73943,4.82671,4.88690,4.96664,4.90075,4.95590,5.03858,5.06016,5.06878,5.17332,5.21972,5.43587,5.48693,5.75402,6.10061,6.43419,6.43641,6.42769,6.37388,6.29829,6.17342,6.05374,6.03830,5.85369,5.75670,5.56216,5.39586,5.28683,5.11585,4.95557,4.94438,5.09110,5.03741,6.11266,5.80139,5.43094,5.13619,5.42857,5.28770,5.40662,5.72132
2017,Avondale 33_11kV,03MAY2016,MW,5.92660,5.54937,5.52971,5.49348,5.36117,5.00992,4.91954,4.88660,4.59147,4.39778,4.27214,4.14904,4.02015,3.96014,3.89249,3.83967,4.00005,4.05445,4.00052,4.00522,4.08635,4.24723,4.38947,4.52682,4.72927,4.98623,5.21810,5.10818,5.11246,5.27296,5.27032,5.24324,5.12530,4.97689,4.85816,4.81504,4.73046,4.62278,4.58003,4.42476,4.45080,4.61810,4.68209,4.65612,4.30022,4.31637,4.51358,4.33710,4.23045,4.37704,3.99259,3.94001,4.26793,4.34127,4.39484,4.32658,4.43947,4.38646,4.54219,4.61721,4.59721,4.71774,4.83718,4.85121,4.99210,5.10162,5.18361,5.27838,5.49958,5.83718,6.00436,6.03023,6.08334,6.09517,6.04559,5.90169,5.86097,5.76484,5.63421,5.47700,5.52679,5.39562,5.28332,5.14711,4.98706,4.98204,5.02517,4.96053,5.96083,5.73885,5.47498,5.17754,5.46085,5.39573,5.50141,5.56894
2017,Avondale 33_11kV,04MAY2016,MW,5.78062,5.45051,5.42609,5.46928,5.26774,4.86321,4.67317,4.75964,4.48781,4.26762,4.09255,3.97197,3.94842,3.88333,3.81338,3.70873,3.70026,3.67249,3.71119,3.73704,3.90426,4.01601,4.13334,4.32846,4.59656,4.79862,4.93835,4.90371,4.94167,5.07452,5.15989,5.15633,5.13157,5.01672,4.97067,4.76222,4.63370,4.51158,4.40359,4.42041,4.25621,4.23581,4.11075,4.21531,4.14737,4.07598,4.14978,4.18369,4.22849,4.16924,4.28068,4.35398,4.25866,4.32894,4.28870,4.28338,4.29212,4.40560,4.53869,4.43593,4.54332,4.61333,4.71818,4.85649,5.00547,5.05287,5.16556,5.34946,5.40680,5.69532,5.92832,5.88775,5.84548,5.77173,5.76091,5.73927,5.60912,5.63227,5.54200,5.44205,5.24016,5.09485,5.08484,4.93978,4.85758,4.73601,4.78667,4.76336,5.74450,5.42022,5.16249,4.88452,5.24725,5.09693,5.22766,5.40969
2017,Avondale 33_11kV,05MAY2016,MW,5.58770,5.23991,5.27592,5.33707,5.07038,4.74124,4.56201,4.64152,4.35858,4.13842,4.05010,3.85566,3.64653,3.58182,3.52858,3.53321,3.54599,3.49370,3.51163,3.60577,3.66445,3.74650,3.88701,4.12512,4.32130,4.52904,4.67293,4.71745,4.72699,4.92250,5.04409,4.92644,4.94499,4.67262,4.47815,4.42841,4.30985,4.22694,4.14862,4.03448,3.99301,4.04204,3.96200,3.86321,3.93774,3.86103,3.78817,3.73426,3.83121,3.79874,3.85220,3.84428,3.85881,3.77024,3.72414,3.83369,3.82575,3.84372,3.88213,3.98345,3.98089,4.06728,4.17358,4.27981,4.41087,4.51171,4.75407,4.96326,4.99519,5.30520,5.64755,5.70831,5.61778,5.46905,5.41096,5.29963,5.15582,5.23688,5.08366,4.96301,4.82234,4.75309,4.67236,4.65529,4.62679,4.57345,4.61305,4.49782,5.47914,5.11448,4.85386,4.56855,4.82018,4.58315,4.79880,5.06725
2017,Avondale 33_11kV,06MAY2016,MW,5.23853,4.90410,4.90262,4.87041,4.61232,4.22699,4.03762,4.12456,3.87572,3.63006,3.49066,3.41070,3.18440,3.01778,3.03294,2.96961,3.03958,3.05626,3.06000,3.12746,3.22868,3.35727,3.41803,3.53357,3.73762,3.85243,4.18787,4.10756,4.25642,4.37868,4.35538,4.23666,4.19463,3.93409,3.67996,3.63921,3.62052,3.40449,3.27714,3.19694,3.29916,3.27357,3.03654,3.02090,3.00484,2.86356,2.86550,2.86141,2.79315,2.77898,2.79865,2.85730,2.89084,2.87289,2.88229,2.95763,2.87528,2.92169,2.96903,3.05663,3.15396,3.10588,3.05808,3.08918,3.25761,3.40860,3.56523,3.71337,3.87816,4.20511,4.37221,4.42255,4.52668,4.46078,4.32898,4.33319,4.27900,4.30683,4.09748,3.96395,3.90115,3.78949,3.77596,3.71230,3.68493,3.59312,3.71826,3.68280,4.78593,4.58781,4.23938,3.95312,4.25090,4.12925,4.27292,4.45157
2017,Avondale 33_11kV,07MAY2016,MW,4.64548,4.42706,4.37373,4.45514,4.22824,3.90318,3.61898,3.33392,3.53506,3.32888,3.08650,2.99658,2.84949,2.69757,2.68127,2.70561,2.67104,2.63767,2.64726,2.60252,2.65847,2.70368,2.71344,2.80609,2.94396,3.06728,3.31835,3.50859,3.55439,3.72311,3.83199,3.88401,4.17589,4.19842,4.07835,3.94080,3.90547,3.84251,3.67118,3.48663,3.36271,3.12434,3.02632,2.91683,2.83516,2.78084,2.81174,2.76924,2.65709,2.61223,2.91695,2.91679,2.78184,2.88000,2.69213,2.69910,2.71767,2.85291,2.94282,3.08018,3.11503,3.12295,3.03285,3.09393,3.27395,3.35679,3.46042,3.42457,3.61397,4.00045,4.24655,4.27319,4.34693,4.33770,4.27011,4.14218,4.01251,4.12171,4.06123,3.91150,3.79929,3.73669,3.69998,3.62614,3.58769,3.47267,4.18509,3.91791,3.79766,3.63591,3.78247,3.55916,4.14331,4.06161,3.70099,3.72874
2017,Avondale 33_11kV,08MAY2016,MW,3.84534,3.48412,3.56424,3.68593,3.24471,3.01807,2.86280,2.75518,2.84974,2.70042,2.64886,2.56484,2.45999,2.39702,2.40423,2.40604,2.35724,2.35496,2.38412,2.40526,2.45663,2.49988,2.53207,2.54871,2.62672,2.77361,2.87504,2.90984,3.14408,3.28343,3.41209,3.65452,3.82223,4.04734,4.17222,4.15258,4.24149,4.44163,4.23916,4.13822,4.21512,4.08975,4.03933,4.02912,3.97781,3.81307,3.72671,3.59316,3.69793,3.56077,3.21797,3.30230,3.30496,3.28991,3.12258,3.22171,3.34703,3.21797,3.31744,3.27483,3.20850,3.38863,3.51647,3.52749,3.75105,3.74498,3.92166,3.99223,4.09639,4.30944,4.51655,4.57261,4.59673,4.47225,4.34274,4.25176,4.24084,4.24046,4.07999,4.03155,3.95489,3.88266,3.77405,3.70860,3.68932,3.57897,4.38057,4.04110,3.93334,3.76098,3.77167,3.51109,4.10841,3.95051,3.64868,3.68779
2017,Avondale 33_11kV,09MAY2016,MW,3.80266,3.56103,3.61549,3.76930,3.39997,3.09149,3.02094,2.99172,2.89670,2.77206,2.73136,2.66021,2.71418,2.73658,2.67353,2.66026,2.71783,2.72808,2.80908,2.86275,3.11715,3.37575,3.58798,3.74335,4.14530,4.38663,4.58313,4.50947,4.59268,4.82718,4.96955,5.13032,5.18631,5.10402,5.08456,5.03003,4.92860,4.90046,4.87909,4.86697,4.94636,4.83992,4.90798,4.83979,4.85348,4.85215,4.74796,4.74890,4.91449,4.82659,4.94494,4.98776,4.88089,4.79664,4.72254,4.55040,4.56917,4.66084,4.55392,4.46765,4.46878,4.46799,4.61336,4.69939,4.79070,4.94857,5.11044,5.28188,5.51816,5.79697,6.06590,6.02878,6.05441,5.91281,5.81110,5.77706,5.69792,5.69803,5.47578,5.34788,5.20267,5.04027,4.92778,4.84232,4.76031,4.66168,4.73207,4.76116,5.72711,5.47114,5.11741,4.88626,5.25420,5.11295,5.27770,5.65451
2017,Avondale 33_11kV,10MAY2016,MW,5.86985,5.44814,5.34289,5.36084,5.09625,4.78817,4.57477,4.66258,4.44358,4.14822,3.94983,3.77696,3.67742,3.56230,3.50228,3.43787,3.44189,3.54839,3.57923,3.54161,3.67759,3.89477,4.02196,4.10036,4.49851,4.76184,4.96999,4.85159,4.95080,5.05094,5.24869,5.19827,4.89635,4.77316,4.69224,4.61768,4.49314,4.32233,4.32902,4.33817,4.29830,4.23013,4.06155,3.92803,3.87971,3.88607,3.86576,3.94669,3.96641,3.99223,4.01238,4.07087,4.03254,3.99228,3.96308,3.92978,3.93164,3.97673,4.05918,4.09539,4.10441,4.25270,4.35019,4.50635,4.67013,4.72309,4.93331,5.10927,5.32535,5.59391,5.89664,5.90639,6.03488,5.90802,5.81132,5.70564,5.63031,5.56014,5.37456,5.29963,5.14197,5.07659,5.01382,4.94548,4.73510,4.73849,4.78222,4.70877,5.64565,5.42201,5.13161,4.89310,5.19280,5.07136,5.18450,5.44546
