year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Baerami 33_11kV,01MAY2014,MW,0.21819,0.20807,0.20680,0.22151,0.20829,0.19361,0.18947,0.18453,0.17957,0.17752,0.18255,0.18087,0.17441,0.17248,0.17537,0.18235,0.17662,0.19995,0.20180,0.18715,0.20477,0.20119,0.20179,0.19659,0.20512,0.22103,0.24928,0.28621,0.30067,0.31671,0.30323,0.31899,0.30860,0.26949,0.25650,0.23650,0.21588,0.20718,0.20123,0.20131,0.19922,0.19333,0.19158,0.19454,0.18355,0.19266,0.19395,0.19261,0.19367,0.21747,0.21362,0.21667,0.22015,0.22246,0.22354,0.21107,0.22676,0.21852,0.21546,0.21951,0.21046,0.20528,0.21672,0.22432,0.22152,0.21399,0.21674,0.21317,0.23669,0.24900,0.26086,0.29087,0.34053,0.31987,0.30173,0.29542,0.28527,0.30819,0.30120,0.30114,0.30293,0.29457,0.28793,0.27761,0.28353,0.26889,0.31110,0.28746,0.28562,0.26220,0.23770,0.21178,0.25154,0.24686,0.23903,0.22180
2015,Baerami 33_11kV,02MAY2014,MW,0.19304,0.18926,0.18720,0.18937,0.18261,0.17820,0.18340,0.16859,0.16617,0.16328,0.15154,0.15178,0.15143,0.14917,0.16081,0.16692,0.15800,0.17180,0.16503,0.16700,0.17891,0.18208,0.19250,0.19933,0.20748,0.21723,0.23309,0.25885,0.24094,0.25356,0.23326,0.25075,0.25531,0.24323,0.21983,0.19679,0.19601,0.18170,0.17807,0.17746,0.18397,0.17526,0.17063,0.17315,0.17694,0.17040,0.17776,0.16877,0.16823,0.18608,0.19170,0.19493,0.19937,0.17696,0.17041,0.17420,0.16625,0.16783,0.17479,0.16117,0.15535,0.15668,0.18457,0.20742,0.20121,0.20702,0.20360,0.21389,0.24464,0.25218,0.27926,0.30999,0.32392,0.33381,0.32214,0.28246,0.27705,0.28357,0.27527,0.29147,0.29320,0.27629,0.27385,0.27131,0.28014,0.28799,0.32966,0.31428,0.31564,0.30801,0.29913,0.27514,0.29635,0.29564,0.27228,0.25797
2015,Baerami 33_11kV,03MAY2014,MW,0.25478,0.24413,0.23994,0.22820,0.22481,0.21271,0.19241,0.21681,0.20504,0.19562,0.19140,0.19185,0.19291,0.19675,0.20009,0.19746,0.19201,0.19541,0.20439,0.19712,0.20927,0.20704,0.19643,0.20035,0.23057,0.26184,0.26304,0.26784,0.28049,0.26958,0.29438,0.29692,0.28374,0.27462,0.28084,0.27358,0.26689,0.25819,0.25473,0.26467,0.24363,0.23518,0.24457,0.24578,0.24640,0.22941,0.23983,0.23461,0.22591,0.23823,0.23793,0.24899,0.24894,0.23939,0.23396,0.25287,0.26363,0.26448,0.25954,0.27283,0.24690,0.23922,0.23384,0.24664,0.26753,0.27669,0.28100,0.27362,0.30004,0.31882,0.32112,0.33946,0.35553,0.36758,0.37586,0.37456,0.37805,0.36529,0.36987,0.35503,0.33477,0.32894,0.31966,0.31144,0.31154,0.30403,0.31228,0.31220,0.30317,0.29067,0.28602,0.25892,0.28687,0.27794,0.25117,0.24094
2015,Baerami 33_11kV,04MAY2014,MW,0.24276,0.22416,0.22176,0.22677,0.22329,0.20940,0.21218,0.20057,0.20146,0.20535,0.20692,0.20737,0.20637,0.20662,0.21145,0.21470,0.21662,0.21109,0.20992,0.19620,0.19767,0.21039,0.22399,0.21428,0.22953,0.25956,0.23872,0.24470,0.24779,0.25286,0.26458,0.26364,0.27567,0.28097,0.26904,0.26624,0.26113,0.24821,0.25648,0.26564,0.26876,0.25525,0.25224,0.24862,0.26122,0.26329,0.25364,0.24784,0.25403,0.24251,0.24605,0.25213,0.24099,0.24671,0.24214,0.24301,0.24706,0.26089,0.25546,0.25987,0.25738,0.26230,0.26390,0.26949,0.27743,0.26686,0.25815,0.27354,0.26087,0.28786,0.30135,0.33139,0.32684,0.36069,0.35959,0.34843,0.35723,0.33774,0.33123,0.31537,0.30297,0.31600,0.31854,0.30322,0.31588,0.28532,0.30055,0.28261,0.28484,0.28365,0.26716,0.25011,0.28176,0.28207,0.25613,0.24467
2015,Baerami 33_11kV,05MAY2014,MW,0.22720,0.21716,0.21487,0.21291,0.20613,0.20730,0.19871,0.19680,0.18855,0.18152,0.18703,0.18575,0.19109,0.19739,0.18739,0.19109,0.19662,0.21365,0.20893,0.21275,0.21356,0.22121,0.22828,0.22207,0.24332,0.25405,0.25765,0.29401,0.29073,0.29032,0.29355,0.30344,0.29327,0.28819,0.27650,0.25749,0.24287,0.23920,0.26038,0.26485,0.25021,0.23968,0.23307,0.23689,0.24784,0.23182,0.22410,0.23503,0.22580,0.23058,0.22615,0.22929,0.23829,0.22052,0.21155,0.21048,0.21416,0.23161,0.21612,0.20302,0.20144,0.19875,0.18679,0.18062,0.18495,0.19766,0.20652,0.21387,0.23329,0.26991,0.28335,0.32869,0.37747,0.43272,0.42606,0.38421,0.36670,0.35426,0.36817,0.36718,0.36685,0.36862,0.36290,0.34948,0.35158,0.34725,0.36702,0.33929,0.32991,0.32797,0.31606,0.29769,0.32826,0.32823,0.31279,0.28388
2015,Baerami 33_11kV,06MAY2014,MW,0.26478,0.25924,0.26219,0.24652,0.25225,0.23531,0.22150,0.21663,0.22618,0.23749,0.22411,0.21046,0.22522,0.20704,0.20259,0.21051,0.21794,0.21581,0.23685,0.23191,0.23333,0.25032,0.26684,0.26441,0.25855,0.27524,0.30644,0.31181,0.33986,0.34849,0.32085,0.29799,0.28749,0.27256,0.26977,0.26678,0.26698,0.26716,0.27466,0.23826,0.22933,0.21011,0.21910,0.19752,0.18715,0.18973,0.18217,0.20454,0.20530,0.20536,0.21965,0.22472,0.23848,0.24617,0.22844,0.23933,0.22060,0.22363,0.22370,0.23439,0.22297,0.21511,0.19917,0.20896,0.21584,0.20684,0.20673,0.22982,0.24812,0.28480,0.32229,0.34965,0.35412,0.38438,0.39268,0.39614,0.39150,0.36111,0.36073,0.35762,0.34310,0.32902,0.32869,0.33323,0.32677,0.30594,0.33984,0.34869,0.33169,0.32998,0.31777,0.29086,0.30689,0.29960,0.29253,0.26860
2015,Baerami 33_11kV,07MAY2014,MW,0.25431,0.23451,0.23013,0.20960,0.22250,0.22405,0.21950,0.21476,0.20424,0.20013,0.21266,0.19809,0.20109,0.18950,0.18215,0.18004,0.19301,0.21392,0.20693,0.20237,0.22789,0.22083,0.23446,0.23126,0.24224,0.26247,0.31232,0.31163,0.31595,0.28815,0.27934,0.26386,0.27635,0.26931,0.26764,0.24691,0.23939,0.22942,0.22608,0.22350,0.21838,0.22258,0.22281,0.22512,0.24395,0.22693,0.23161,0.24489,0.22195,0.20441,0.21480,0.20774,0.21287,0.19713,0.19233,0.19313,0.19641,0.18952,0.18881,0.19056,0.18915,0.19894,0.19894,0.20519,0.19666,0.21140,0.21713,0.23076,0.24205,0.26360,0.30088,0.33663,0.35343,0.37283,0.38767,0.37801,0.38283,0.35511,0.36515,0.36393,0.34540,0.34740,0.35581,0.34710,0.34142,0.32688,0.36583,0.35238,0.33343,0.32864,0.30884,0.29094,0.32040,0.31775,0.28820,0.25870
2015,Baerami 33_11kV,08MAY2014,MW,0.23605,0.22025,0.20906,0.20389,0.21031,0.19934,0.20437,0.19102,0.18253,0.18404,0.18296,0.18169,0.17745,0.18621,0.19132,0.19404,0.20169,0.20212,0.20522,0.20168,0.20279,0.20697,0.22549,0.22882,0.23761,0.26157,0.28828,0.28823,0.29640,0.28103,0.28816,0.28972,0.28913,0.27719,0.26867,0.24792,0.23981,0.22195,0.23239,0.22187,0.21954,0.21063,0.21981,0.21850,0.20522,0.21019,0.22511,0.21660,0.21981,0.20928,0.22318,0.23101,0.22018,0.21911,0.21698,0.21583,0.19771,0.20322,0.18899,0.19419,0.20367,0.21915,0.21958,0.22334,0.22353,0.24213,0.25208,0.24612,0.24759,0.25930,0.29698,0.32507,0.33375,0.33266,0.33116,0.33088,0.33341,0.31881,0.33261,0.33662,0.33952,0.33080,0.31529,0.31148,0.31286,0.29988,0.33606,0.33670,0.30630,0.29112,0.27219,0.27299,0.29022,0.28835,0.29075,0.27397
2015,Baerami 33_11kV,09MAY2014,MW,0.25959,0.25544,0.24991,0.23216,0.22885,0.22342,0.21062,0.21051,0.20295,0.19277,0.18495,0.19025,0.19873,0.19621,0.18777,0.19063,0.18195,0.18197,0.19611,0.19829,0.21927,0.22859,0.22746,0.22644,0.23282,0.25619,0.25749,0.29526,0.26577,0.27952,0.29072,0.27562,0.27303,0.24229,0.22863,0.21866,0.22459,0.20562,0.20589,0.21031,0.19718,0.20946,0.21364,0.20210,0.18993,0.18524,0.18869,0.18244,0.18363,0.18551,0.19712,0.23769,0.23994,0.22010,0.21407,0.22033,0.19572,0.19820,0.18683,0.18784,0.19652,0.20123,0.20681,0.19609,0.20054,0.20568,0.20887,0.19317,0.21499,0.25453,0.27717,0.29314,0.30262,0.30396,0.32380,0.32741,0.29670,0.27449,0.27022,0.29322,0.30639,0.29345,0.27402,0.26634,0.25813,0.27170,0.28929,0.26317,0.25403,0.25592,0.25016,0.22586,0.27742,0.27690,0.27412,0.26650
2015,Baerami 33_11kV,10MAY2014,MW,0.23819,0.21349,0.21358,0.19021,0.19969,0.19696,0.18826,0.18083,0.17313,0.17473,0.16749,0.17381,0.17435,0.16644,0.16504,0.17524,0.16844,0.17316,0.19203,0.18371,0.17596,0.18269,0.19525,0.20107,0.20573,0.20086,0.21598,0.23735,0.24569,0.25164,0.23281,0.22648,0.23939,0.25308,0.23798,0.23054,0.23074,0.24489,0.23568,0.23179,0.24261,0.23143,0.22229,0.22375,0.23764,0.21719,0.19626,0.18022,0.17786,0.18018,0.19354,0.20998,0.21401,0.19948,0.18490,0.18354,0.19150,0.18999,0.18842,0.19281,0.19673,0.20508,0.21201,0.21782,0.21499,0.23974,0.22512,0.25453,0.26864,0.28985,0.32053,0.31802,0.29138,0.28244,0.28076,0.26475,0.26053,0.27121,0.27738,0.26948,0.24707,0.24393,0.25035,0.25088,0.24422,0.23893,0.24657,0.23105,0.22568,0.22535,0.22405,0.22992,0.25464,0.23513,0.23232,0.22408
2015,Baerami 33_11kV,11MAY2014,MW,0.20287,0.19143,0.18805,0.18401,0.17349,0.17555,0.17674,0.17405,0.17059,0.16856,0.16629,0.15364,0.16995,0.16537,0.16374,0.16648,0.17671,0.17735,0.16977,0.18058,0.17106,0.19081,0.18238,0.18986,0.18061,0.18185,0.19433,0.19928,0.21888,0.22931,0.24118,0.22504,0.23324,0.22075,0.20421,0.22401,0.21824,0.22543,0.21244,0.21637,0.20826,0.20972,0.21616,0.20318,0.20285,0.19639,0.21644,0.22236,0.21619,0.20407,0.20192,0.20023,0.19319,0.20325,0.20621,0.20983,0.20374,0.21736,0.23251,0.22853,0.22156,0.20177,0.22224,0.23199,0.21996,0.23310,0.22997,0.23814,0.25494,0.25560,0.27755,0.30459,0.33565,0.33774,0.31443,0.30600,0.26063,0.26475,0.28357,0.28365,0.26708,0.25282,0.25821,0.25031,0.26417,0.24876,0.26953,0.26957,0.25233,0.23817,0.22899,0.21871,0.25979,0.24513,0.20537,0.22116
2015,Baerami 33_11kV,12MAY2014,MW,0.20551,0.19146,0.18398,0.18641,0.17089,0.17961,0.16743,0.16829,0.16484,0.17269,0.15961,0.16415,0.16739,0.17359,0.17691,0.16969,0.16048,0.16308,0.17230,0.17786,0.18064,0.18165,0.17686,0.17685,0.19960,0.19031,0.21021,0.27036,0.26093,0.26800,0.28777,0.28105,0.26351,0.24876,0.22610,0.21510,0.21539,0.20123,0.21489,0.20642,0.19704,0.17243,0.15591,0.16574,0.16800,0.17186,0.16798,0.16447,0.16346,0.16982,0.19301,0.20180,0.20270,0.18017,0.16824,0.16863,0.17756,0.17683,0.17579,0.19652,0.17528,0.19267,0.20979,0.21881,0.21969,0.21137,0.20634,0.21656,0.23523,0.24739,0.29177,0.31509,0.31903,0.34320,0.33325,0.32921,0.32093,0.32334,0.31764,0.30945,0.31549,0.31062,0.32627,0.32795,0.34331,0.31826,0.32968,0.31868,0.30423,0.30899,0.29209,0.27462,0.30096,0.29998,0.28265,0.26158
2015,Baerami 33_11kV,13MAY2014,MW,0.22847,0.23043,0.23000,0.20910,0.20823,0.18495,0.18018,0.18229,0.18471,0.17717,0.18263,0.17542,0.16751,0.16792,0.16097,0.16578,0.17095,0.17833,0.17224,0.17207,0.17963,0.17676,0.18209,0.18571,0.18807,0.22264,0.27084,0.29148,0.27720,0.27828,0.27224,0.24693,0.24225,0.22579,0.21979,0.20314,0.19767,0.19191,0.20236,0.20940,0.20426,0.18406,0.18361,0.18969,0.20679,0.19576,0.20192,0.21146,0.20700,0.21432,0.19892,0.19517,0.20060,0.20375,0.19570,0.19446,0.19765,0.19531,0.20844,0.20000,0.20712,0.19216,0.19163,0.20109,0.21750,0.22219,0.23294,0.23815,0.25173,0.28456,0.31460,0.33552,0.34320,0.34804,0.34623,0.35681,0.34781,0.32380,0.32148,0.31605,0.32041,0.32686,0.31907,0.31019,0.29962,0.30732,0.33433,0.32750,0.31361,0.31967,0.28413,0.28104,0.31013,0.31462,0.29029,0.26768
2015,Baerami 33_11kV,14MAY2014,MW,0.27265,0.24746,0.24232,0.23910,0.22835,0.22891,0.20784,0.20133,0.19613,0.18964,0.19177,0.18260,0.19197,0.19098,0.19066,0.19709,0.19816,0.19879,0.20227,0.20487,0.20767,0.21710,0.21071,0.21149,0.22626,0.25214,0.27615,0.29831,0.29292,0.28218,0.28999,0.28572,0.27739,0.28683,0.26061,0.24208,0.23727,0.23322,0.22627,0.22366,0.21175,0.17071,0.17472,0.16245,0.17264,0.17827,0.16502,0.16904,0.17452,0.17726,0.16753,0.17697,0.17760,0.17963,0.17539,0.16073,0.16661,0.16227,0.16842,0.18326,0.18044,0.19790,0.20772,0.17942,0.18806,0.18804,0.18338,0.21001,0.24805,0.26372,0.28128,0.29375,0.32219,0.30521,0.28989,0.29368,0.29086,0.27059,0.27968,0.29605,0.29092,0.27367,0.27940,0.26974,0.27402,0.28226,0.30026,0.29470,0.28872,0.29080,0.26588,0.24907,0.27440,0.27582,0.26821,0.24963
2015,Baerami 33_11kV,15MAY2014,MW,0.23886,0.24055,0.22370,0.22373,0.21812,0.22869,0.20291,0.18304,0.18617,0.18135,0.19234,0.19034,0.18897,0.19423,0.19010,0.19202,0.20039,0.19140,0.18922,0.19003,0.20410,0.22263,0.23948,0.22576,0.23139,0.23108,0.24327,0.25730,0.25102,0.23689,0.25286,0.24334,0.23741,0.24842,0.24953,0.23422,0.22628,0.20902,0.22370,0.22296,0.20755,0.19534,0.18761,0.18677,0.17911,0.17287,0.15886,0.15644,0.16666,0.18724,0.17584,0.17034,0.17307,0.18027,0.16908,0.16867,0.17199,0.17794,0.17586,0.17203,0.15916,0.16889,0.16913,0.16698,0.16749,0.17764,0.18394,0.18934,0.21746,0.25364,0.27942,0.28205,0.27982,0.28180,0.31126,0.30600,0.29259,0.29626,0.29068,0.28342,0.27796,0.25573,0.27169,0.27224,0.27817,0.27278,0.29406,0.28778,0.28681,0.28055,0.25573,0.24148,0.27538,0.28454,0.26295,0.23394
2015,Baerami 33_11kV,16MAY2014,MW,0.20224,0.20048,0.20987,0.20455,0.18108,0.19086,0.18542,0.17677,0.17564,0.16701,0.18284,0.16279,0.16680,0.16476,0.16784,0.16050,0.16191,0.16444,0.17177,0.17407,0.18646,0.17953,0.18809,0.19216,0.18910,0.20270,0.22381,0.24899,0.26796,0.27387,0.28866,0.28958,0.27832,0.27392,0.25394,0.25386,0.23849,0.22325,0.22176,0.21826,0.21128,0.19606,0.19097,0.19052,0.18762,0.17916,0.17750,0.17804,0.19246,0.18057,0.19769,0.22610,0.21967,0.20916,0.19904,0.18794,0.17946,0.18998,0.19910,0.19562,0.19611,0.18572,0.18715,0.19035,0.18765,0.16940,0.17068,0.17455,0.18894,0.19908,0.24493,0.25505,0.25214,0.26967,0.27739,0.26657,0.26876,0.28752,0.27588,0.27845,0.27050,0.27702,0.28183,0.25990,0.26759,0.26251,0.28613,0.27777,0.26346,0.25666,0.24691,0.22466,0.27902,0.27720,0.25665,0.24342
2015,Baerami 33_11kV,17MAY2014,MW,0.23187,0.21269,0.21104,0.21083,0.19207,0.19544,0.19119,0.17928,0.16037,0.16323,0.16723,0.16017,0.15490,0.15858,0.16593,0.15564,0.17297,0.17098,0.16582,0.16577,0.16831,0.17166,0.17351,0.20017,0.20524,0.21215,0.25463,0.26312,0.25662,0.25228,0.25562,0.23991,0.23511,0.21847,0.21786,0.22008,0.21283,0.20124,0.20314,0.19622,0.20613,0.20595,0.21094,0.19279,0.19003,0.16733,0.16444,0.16944,0.17819,0.17895,0.16923,0.18113,0.19792,0.19640,0.18756,0.18090,0.17721,0.18146,0.16991,0.17865,0.18827,0.17419,0.18197,0.19184,0.18540,0.18338,0.20758,0.22775,0.23445,0.24748,0.27159,0.28931,0.30083,0.30152,0.31599,0.28960,0.31258,0.31280,0.31881,0.31449,0.32025,0.30749,0.28979,0.26840,0.24699,0.24328,0.25415,0.25505,0.25500,0.25954,0.25376,0.23895,0.27476,0.26094,0.24252,0.20578
2015,Baerami 33_11kV,18MAY2014,MW,0.19771,0.20356,0.18911,0.20244,0.18342,0.18806,0.16896,0.14847,0.17547,0.16779,0.16696,0.16380,0.15683,0.15299,0.15783,0.15619,0.16260,0.15924,0.16335,0.17623,0.17973,0.17780,0.18784,0.18350,0.19374,0.20172,0.21181,0.21742,0.20517,0.21709,0.21569,0.22810,0.26872,0.24944,0.23894,0.23199,0.23375,0.23124,0.21172,0.21732,0.21706,0.23598,0.23234,0.22846,0.22014,0.20500,0.21037,0.20574,0.20271,0.19729,0.20201,0.22992,0.23511,0.21632,0.22025,0.21592,0.22680,0.19930,0.19858,0.20188,0.21306,0.23610,0.22070,0.21438,0.22009,0.21580,0.22106,0.24309,0.26973,0.28633,0.31603,0.31615,0.33127,0.32758,0.33341,0.34744,0.32666,0.31610,0.31367,0.29662,0.29738,0.28094,0.29049,0.28198,0.28109,0.28080,0.30241,0.29182,0.28256,0.27160,0.25831,0.24330,0.26755,0.27179,0.25102,0.22356
2015,Baerami 33_11kV,19MAY2014,MW,0.21401,0.20343,0.20899,0.21507,0.21360,0.20872,0.19442,0.19153,0.19734,0.19860,0.19604,0.19905,0.18577,0.18880,0.19259,0.17941,0.18499,0.17699,0.19960,0.18851,0.19697,0.20572,0.22662,0.24409,0.24749,0.23654,0.25721,0.24952,0.26903,0.25626,0.24240,0.24262,0.23798,0.21608,0.22154,0.20931,0.17847,0.17989,0.18164,0.18854,0.19179,0.18588,0.17981,0.18697,0.16602,0.16306,0.15770,0.16677,0.17894,0.19785,0.18829,0.18243,0.19105,0.17783,0.17704,0.19087,0.18940,0.18473,0.16998,0.16924,0.17076,0.16911,0.16026,0.15893,0.16610,0.16502,0.17971,0.18986,0.17958,0.21416,0.26184,0.30307,0.31214,0.30669,0.29785,0.30412,0.31111,0.29962,0.29064,0.28024,0.28333,0.29739,0.29800,0.31804,0.30818,0.28992,0.32086,0.30624,0.28756,0.28718,0.25780,0.23202,0.26905,0.27933,0.24754,0.23051
2015,Baerami 33_11kV,20MAY2014,MW,0.22524,0.21920,0.19771,0.19284,0.19379,0.18925,0.18749,0.17466,0.17506,0.17958,0.18634,0.16615,0.17325,0.16937,0.17605,0.16916,0.17121,0.18114,0.18540,0.19209,0.18043,0.19134,0.18106,0.19032,0.19792,0.22632,0.25720,0.25178,0.29569,0.27539,0.28177,0.27050,0.25666,0.24492,0.22099,0.20626,0.18505,0.19015,0.17630,0.16776,0.16744,0.17746,0.16630,0.17303,0.15939,0.15503,0.14754,0.15967,0.17913,0.18554,0.17779,0.19110,0.17755,0.16598,0.16254,0.16844,0.16697,0.16294,0.16451,0.16376,0.16626,0.15248,0.17049,0.17044,0.15846,0.16830,0.17123,0.18986,0.21238,0.23737,0.25621,0.30061,0.32161,0.32118,0.31732,0.30699,0.31859,0.31206,0.30156,0.29613,0.28625,0.27006,0.28120,0.26621,0.26596,0.25322,0.29018,0.28384,0.28727,0.26729,0.25799,0.23636,0.26191,0.26557,0.23866,0.22103
2015,Baerami 33_11kV,21MAY2014,MW,0.19948,0.20056,0.19865,0.18897,0.18076,0.18631,0.17133,0.16353,0.15486,0.16015,0.16361,0.15145,0.16027,0.15082,0.15624,0.16090,0.16409,0.16539,0.15991,0.18134,0.22189,0.21908,0.21123,0.18188,0.20893,0.24262,0.26096,0.29933,0.29715,0.27793,0.28096,0.26184,0.22549,0.20918,0.20384,0.19012,0.19069,0.19410,0.17634,0.17021,0.15814,0.16238,0.14640,0.16210,0.15610,0.15175,0.15198,0.16621,0.16814,0.16678,0.16558,0.16576,0.17686,0.17575,0.18674,0.19774,0.18770,0.18318,0.19242,0.20024,0.18469,0.16868,0.15676,0.15078,0.16053,0.19358,0.19934,0.21400,0.24356,0.27024,0.30753,0.33320,0.32517,0.33076,0.33358,0.32436,0.31894,0.31788,0.32088,0.32556,0.32016,0.31987,0.31363,0.31351,0.32060,0.31897,0.32739,0.32990,0.31843,0.30515,0.30642,0.28608,0.33272,0.34082,0.31701,0.28437
2015,Baerami 33_11kV,22MAY2014,MW,0.26589,0.25108,0.22917,0.22999,0.22417,0.21712,0.22358,0.20910,0.21777,0.22183,0.19832,0.19325,0.20022,0.18962,0.19651,0.19535,0.20996,0.20074,0.21689,0.21361,0.21978,0.22774,0.24637,0.26209,0.26488,0.29627,0.30345,0.30624,0.30431,0.32083,0.32682,0.30575,0.28556,0.28589,0.27332,0.26852,0.26884,0.25478,0.25679,0.24420,0.22488,0.21554,0.19165,0.19415,0.19435,0.20576,0.20359,0.20238,0.21313,0.21727,0.22356,0.22414,0.21848,0.21886,0.21801,0.22039,0.23615,0.21792,0.20455,0.22402,0.23288,0.22536,0.22970,0.22122,0.22097,0.20427,0.22337,0.22233,0.21710,0.21577,0.25176,0.28803,0.30734,0.29782,0.28672,0.29832,0.29978,0.29304,0.28792,0.28598,0.28846,0.29857,0.29560,0.26487,0.27105,0.28698,0.31696,0.29898,0.29226,0.28774,0.25706,0.23745,0.26950,0.26650,0.25686,0.23290
2015,Baerami 33_11kV,23MAY2014,MW,0.20714,0.20657,0.21659,0.20409,0.18983,0.18502,0.18629,0.18228,0.18277,0.17345,0.16868,0.16876,0.16842,0.16654,0.16917,0.17050,0.16474,0.18631,0.19081,0.19687,0.19181,0.19865,0.22156,0.19605,0.19915,0.22551,0.26399,0.28941,0.29582,0.26904,0.26897,0.26308,0.26559,0.25683,0.23947,0.22777,0.22860,0.23303,0.22292,0.22683,0.22091,0.21523,0.20720,0.21617,0.20386,0.20001,0.20557,0.20573,0.21465,0.21901,0.22734,0.23685,0.24364,0.23291,0.23605,0.23891,0.23959,0.24715,0.23350,0.23252,0.20847,0.20032,0.18436,0.17462,0.18737,0.17956,0.19462,0.20775,0.21265,0.24361,0.26638,0.28493,0.29336,0.27499,0.28472,0.31481,0.31566,0.32028,0.31784,0.30162,0.29686,0.30194,0.31983,0.32735,0.32968,0.31611,0.31884,0.30296,0.30510,0.28744,0.28153,0.27765,0.31411,0.30897,0.29538,0.28388
