year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Bass Hill 33_11kV,01MAY2016,MW,9.71223,9.10865,8.96232,9.38300,9.10865,8.66968,8.24900,7.64541,7.37105,6.80405,6.29192,6.14559,6.03585,6.18217,6.07243,5.96269,5.98098,5.90782,5.96269,5.92611,5.94440,6.16388,6.03585,5.85295,6.21876,6.03585,6.10901,6.21876,5.81637,5.94440,5.99927,6.07243,6.58456,6.71260,6.91379,6.85892,7.02354,7.06012,7.22473,7.27960,7.46251,7.62712,7.66370,7.49909,7.38934,7.48080,7.60883,7.60883,7.70028,7.59054,7.22473,7.18815,7.18815,7.22473,7.11499,7.13328,7.33447,7.35276,7.24302,7.06012,7.24302,7.29789,7.35276,7.40763,7.53567,7.55396,7.71857,7.88319,7.99293,8.24900,8.45019,8.43190,8.46848,8.68797,8.61481,8.63310,8.48677,8.50506,8.32216,8.46848,8.15754,8.19412,7.99293,8.24900,8.32216,8.19412,7.95635,7.55396,7.70028,8.35874,8.70626,9.87685,9.41959,8.85258,10.20607,9.80368
2017,Bass Hill 33_11kV,02MAY2016,MW,9.45617,8.92574,8.41361,9.25497,8.74284,8.01122,7.71857,7.15157,6.82234,6.43824,6.21876,6.07243,6.41995,6.32850,6.25534,6.10901,5.99927,6.18217,6.38337,6.40166,6.36508,6.49311,7.00524,7.02354,7.46251,7.88319,8.12096,8.57822,9.21839,10.15120,10.31582,10.26095,9.78539,9.74881,9.71223,9.73052,9.71223,9.89514,9.93172,10.02317,9.80368,9.71223,10.04146,10.00488,9.82198,10.33411,10.68163,10.59017,10.37069,10.42556,10.46214,10.24266,10.29753,10.20607,9.96830,10.22437,10.53530,10.38898,10.49872,10.53530,10.46214,10.49872,10.64505,11.04744,10.75479,10.62676,10.60846,10.82795,11.06573,11.04744,11.01085,11.26692,11.85222,11.88880,11.76076,11.68760,11.50470,11.30350,11.10231,11.04744,10.75479,10.59017,10.49872,10.26095,10.09633,9.78539,9.95001,9.82198,10.02317,10.53530,10.69992,11.96196,11.32179,10.88282,11.59615,11.04744
2017,Bass Hill 33_11kV,03MAY2016,MW,10.71821,10.05975,9.65736,10.75479,10.59017,10.09633,9.30984,8.79771,8.35874,8.28558,7.99293,7.77344,7.71857,7.75515,7.73686,7.53567,7.60883,7.60883,7.64541,7.68199,7.68199,8.26729,8.41361,8.83429,9.38300,9.49275,9.91343,10.24266,10.09633,10.57188,10.91940,10.91940,11.44983,11.43154,10.99256,10.80966,10.55359,10.42556,10.44385,10.33411,10.13291,9.95001,10.05975,10.15120,9.91343,9.78539,9.71223,9.82198,9.84027,9.76710,10.16949,10.02317,10.29753,9.89514,10.33411,10.40727,10.42556,10.69992,10.75479,10.91940,10.68163,10.49872,10.71821,10.91940,11.41324,11.26692,11.37666,11.24863,11.21205,11.50470,11.76076,12.01683,11.99854,12.21802,11.83393,11.76076,11.59615,11.50470,11.13889,11.12060,10.59017,10.55359,10.11462,10.26095,10.27924,10.07804,10.07804,9.93172,9.96830,10.40727,10.80966,11.85222,11.57786,11.01085,11.92538,11.21205
2017,Bass Hill 33_11kV,04MAY2016,MW,10.86453,10.64505,10.29753,10.90111,10.37069,9.74881,9.30984,8.83429,8.50506,8.19412,8.41361,8.02951,7.66370,7.66370,7.49909,7.38934,7.57225,7.46251,7.55396,7.66370,7.60883,8.17583,8.13925,8.57822,9.09036,9.21839,9.62078,9.67565,9.60249,10.13291,10.79137,11.32179,10.91940,10.57188,10.53530,10.79137,10.71821,10.71821,10.68163,10.55359,10.55359,10.55359,10.37069,10.62676,10.57188,10.64505,10.71821,10.57188,10.64505,10.68163,10.80966,10.95598,11.19376,10.99256,10.79137,10.69992,10.79137,10.68163,10.59017,10.88282,10.90111,11.30350,11.35837,11.30350,11.43154,11.59615,11.34008,11.35837,11.15718,11.04744,11.30350,11.92538,11.96196,12.14486,12.03512,11.83393,11.68760,11.37666,11.32179,11.32179,11.10231,10.99256,10.73650,10.59017,10.40727,10.24266,10.26095,10.11462,10.24266,10.66334,11.10231,12.07170,11.24863,10.62676,11.52299,11.21205
2017,Bass Hill 33_11kV,05MAY2016,MW,10.88282,10.77308,10.15120,11.15718,10.53530,9.98659,9.45617,8.94403,8.76113,8.23071,7.82832,7.66370,7.68199,7.79173,7.73686,7.79173,7.66370,7.49909,7.53567,7.42593,8.04780,7.97464,8.32216,8.76113,9.07207,9.25497,9.71223,9.85856,9.93172,10.37069,11.26692,11.01085,10.75479,10.68163,10.59017,10.22437,10.64505,10.49872,10.42556,10.57188,10.69992,10.33411,10.18778,10.37069,10.38898,10.33411,10.22437,10.42556,10.62676,10.95598,10.66334,10.62676,10.42556,10.48043,10.27924,10.57188,10.16949,10.35240,10.49872,10.88282,10.69992,10.95598,10.86453,10.79137,10.82795,10.29753,10.49872,10.68163,10.75479,10.99256,11.66931,11.87051,11.72418,11.65102,11.43154,11.08402,10.90111,10.90111,10.64505,10.59017,10.53530,10.38898,10.37069,10.09633,10.27924,9.78539,10.00488,9.80368,10.04146,10.38898,10.73650,11.90709,11.41324,10.73650,11.37666,10.93769
2017,Bass Hill 33_11kV,06MAY2016,MW,10.57188,10.22437,9.96830,10.88282,10.73650,10.04146,9.45617,8.99890,8.65139,8.46848,7.97464,7.46251,7.70028,7.64541,7.71857,7.59054,7.51738,7.35276,7.60883,7.79173,7.57225,8.10267,8.41361,8.59651,9.21839,9.14523,9.51104,9.87685,9.80368,10.38898,11.08402,10.79137,10.77308,10.53530,10.46214,10.40727,10.26095,10.35240,10.35240,10.13291,9.95001,10.09633,10.18778,10.00488,10.07804,10.48043,10.31582,10.49872,10.35240,10.71821,10.22437,10.33411,10.38898,10.27924,10.29753,10.26095,10.09633,10.20607,10.02317,10.37069,10.60846,10.79137,10.66334,10.91940,10.86453,11.23034,11.26692,11.10231,10.84624,11.15718,11.52299,11.61444,11.37666,11.35837,11.19376,11.06573,10.91940,10.46214,10.38898,10.16949,10.07804,9.96830,9.71223,9.65736,9.85856,9.78539,9.43788,9.58420,9.49275,9.98659,10.09633,10.77308,10.46214,10.04146,10.88282,10.55359
2017,Bass Hill 33_11kV,07MAY2016,MW,10.24266,10.07804,9.73052,10.33411,9.87685,9.30984,8.79771,8.35874,8.21241,7.75515,7.48080,7.20644,7.31618,7.15157,7.24302,7.04183,6.84063,6.85892,6.89550,6.93208,6.63944,6.73089,7.15157,6.95037,7.31618,7.48080,7.29789,7.22473,7.16986,7.24302,7.82832,8.26729,8.04780,7.99293,8.01122,7.97464,7.84661,7.95635,7.97464,7.97464,7.91977,7.93806,7.73686,7.62712,7.59054,7.44422,7.60883,7.81002,7.53567,7.90148,7.91977,8.17583,7.88319,7.81002,7.60883,7.68199,7.49909,7.55396,7.68199,8.04780,8.01122,7.64541,7.95635,7.93806,7.84661,8.17583,8.37703,8.57822,8.57822,9.07207,9.30984,9.27326,9.25497,9.16352,9.21839,9.03549,8.81600,8.76113,8.46848,8.54164,8.26729,8.19412,7.99293,8.10267,8.08438,7.88319,7.99293,7.99293,8.02951,8.45019,8.63310,9.45617,9.12694,8.72455,9.45617,8.92574
2017,Bass Hill 33_11kV,08MAY2016,MW,8.55993,8.45019,7.97464,8.90745,8.45019,7.86490,7.37105,7.15157,6.67602,6.34679,5.99927,5.57859,5.34081,5.54201,5.52372,5.35910,5.41398,5.34081,5.32252,5.32252,5.21278,5.08475,5.30423,4.99329,5.26765,5.32252,5.15791,5.30423,5.21278,5.34081,5.45056,5.76149,5.90782,6.03585,6.27363,6.36508,6.45653,6.56627,6.49311,6.76747,6.78576,6.85892,6.71260,6.87721,6.87721,6.87721,6.71260,6.62115,6.69431,6.43824,6.52969,6.56627,6.52969,6.18217,6.03585,6.27363,6.54798,6.54798,6.52969,6.58456,6.65773,6.65773,6.82234,6.93208,6.52969,6.74918,6.85892,7.29789,7.62712,7.84661,8.08438,7.79173,7.68199,7.91977,8.08438,7.95635,7.99293,7.93806,7.84661,7.82832,7.60883,7.60883,7.66370,7.62712,7.55396,7.48080,7.29789,7.04183,6.91379,7.40763,7.68199,9.09036,9.03549,8.57822,9.41959,9.20010
2017,Bass Hill 33_11kV,09MAY2016,MW,8.77942,8.19412,7.64541,8.43190,8.10267,7.70028,7.70028,7.38934,6.80405,6.31021,6.29192,5.87124,5.65175,5.87124,5.87124,6.05414,6.16388,6.45653,6.54798,6.45653,6.52969,6.80405,6.62115,6.85892,7.59054,7.71857,8.02951,8.32216,8.74284,9.16352,9.43788,10.66334,10.69992,10.48043,10.38898,10.31582,10.20607,10.44385,10.62676,10.71821,11.06573,11.26692,11.01085,10.75479,10.86453,10.84624,10.93769,10.90111,11.02915,11.21205,11.24863,10.93769,11.15718,11.24863,11.19376,11.12060,10.93769,11.32179,11.23034,11.21205,11.24863,11.21205,11.50470,11.26692,11.24863,11.39495,11.41324,11.72418,11.44983,11.79734,12.08999,12.27290,12.18144,12.29119,12.14486,11.94367,11.83393,11.81563,11.46812,11.39495,11.06573,10.86453,10.66334,10.59017,10.69992,10.35240,10.37069,10.07804,10.15120,10.48043,10.71821,11.77905,11.26692,10.82795,11.81563,11.37666
2017,Bass Hill 33_11kV,10MAY2016,MW,11.12060,10.77308,10.48043,11.12060,10.95598,9.96830,9.85856,9.38300,8.57822,8.17583,7.88319,7.64541,7.55396,7.82832,7.70028,7.68199,7.60883,7.66370,7.75515,8.06609,8.06609,8.12096,8.43190,8.59651,8.99890,9.49275,9.45617,9.87685,10.95598,10.75479,10.84624,10.97427,11.04744,11.24863,11.10231,10.90111,10.68163,10.69992,10.57188,10.75479,10.55359,10.55359,10.82795,10.86453,10.86453,10.75479,10.90111,11.19376,10.93769,10.69992,10.66334,10.37069,10.79137,10.80966,10.82795,10.79137,10.73650,10.84624,10.73650,10.77308,10.53530,10.53530,10.80966,11.26692,11.26692,11.28521,11.15718,11.34008,11.37666,11.66931,11.85222,11.76076,12.01683,11.96196,11.96196,11.50470,11.50470,11.28521,11.15718,10.95598,10.77308,10.68163,10.59017,10.44385,10.33411,10.00488,10.07804,9.96830,10.05975,10.49872,10.88282,11.87051,11.37666,10.46214,10.46214,10.46214
