year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Beacon Hill 33_11kV,01MAY2014,MW,7.54481,7.42478,7.04754,6.92751,7.75058,7.51052,7.08184,6.79033,6.48168,6.36165,5.93297,5.91582,5.91582,5.77864,5.69290,5.77864,5.81294,5.81294,5.81294,5.84723,6.19018,6.43024,6.65315,7.09898,8.23071,9.00233,10.06547,10.85424,12.12314,12.62042,12.70615,12.74045,12.91192,13.15198,13.32345,12.96336,12.94621,12.77474,12.70615,12.79189,12.75759,12.67186,12.24317,12.44894,12.36321,12.20888,12.32891,12.24317,12.24317,12.20888,12.17459,12.29462,12.17459,12.31176,12.29462,12.14029,12.05455,12.00311,11.91738,12.12314,11.96882,12.17459,12.20888,12.08885,12.19173,12.17459,12.41465,12.46609,12.44894,12.65471,13.03195,13.16913,12.67186,11.86593,12.08885,11.79734,11.42010,11.30007,10.97427,10.66562,10.59703,10.69992,11.02572,10.51130,10.20265,9.65393,9.31099,9.08807,9.48246,9.46531,8.98519,8.55650,8.60795,7.93920,7.95635,7.59626
2015,Beacon Hill 33_11kV,02MAY2014,MW,7.54481,7.20187,6.94466,6.96181,7.59626,7.49337,7.11613,6.79033,6.49883,6.25877,6.25877,5.96726,5.95011,5.89867,5.89867,5.65861,5.71005,5.77864,5.96726,6.00156,6.20732,6.32735,6.67030,7.13328,8.21356,8.91660,9.77396,10.37412,11.54013,12.17459,12.46609,12.44894,12.74045,12.84333,12.79189,12.79189,12.65471,12.60327,12.60327,12.51753,12.39750,12.38035,12.31176,12.38035,12.26032,12.38035,12.39750,12.24317,12.20888,12.31176,12.26032,12.38035,12.27747,12.24317,12.17459,12.17459,12.07170,12.08885,12.03741,12.00311,11.91738,11.90023,12.05455,12.05455,11.90023,12.07170,12.26032,12.26032,12.19173,12.58612,12.96336,13.11769,12.14029,11.93452,11.62587,11.43725,11.11145,10.90568,10.66562,10.33982,10.21979,10.18550,10.47700,9.94544,9.51675,9.15666,9.12237,8.83086,9.29384,9.43102,8.95089,8.60795,8.72798,8.17926,8.26500,7.87061
2015,Beacon Hill 33_11kV,03MAY2014,MW,7.73343,7.32190,7.03039,7.11613,7.93920,7.59626,7.21901,6.79033,6.53312,6.12159,5.91582,5.91582,5.91582,5.91582,5.65861,5.60717,5.46999,5.46999,5.48714,5.84723,5.84723,5.84723,5.96726,6.10444,6.34450,6.63601,7.01325,7.52767,7.61340,7.83632,8.19641,8.57365,8.81371,8.81371,9.07092,9.12237,9.31099,9.15666,9.03663,9.01948,8.84801,8.76227,8.67654,9.01948,9.29384,9.27669,8.89945,9.00233,9.24240,9.07092,8.81371,8.83086,8.84801,8.74512,8.62509,8.50506,8.38503,8.48791,8.41933,8.76227,8.84801,8.62509,8.83086,8.84801,8.96804,9.19095,9.65393,10.03117,10.15120,10.83710,11.59158,11.84879,11.76305,11.71161,11.55728,11.14575,10.97427,10.73421,10.63133,10.40841,10.20265,10.16835,10.52844,10.11691,9.82540,9.46531,9.39672,9.13951,9.80826,9.96258,9.53390,9.13951,9.29384,8.69368,8.52221,8.19641
2015,Beacon Hill 33_11kV,04MAY2014,MW,7.97350,7.68199,7.39049,7.44193,8.26500,7.95635,7.63055,7.28760,6.97895,6.72174,6.51598,6.37880,6.37880,6.19018,6.08729,5.98441,5.76149,5.84723,5.84723,5.84723,5.84723,6.01870,6.08729,6.08729,6.24162,6.48168,6.68745,6.94466,7.13328,7.45908,7.88776,8.14497,8.50506,8.77942,9.00233,9.00233,9.00233,9.22525,9.13951,9.00233,9.01948,8.81371,8.55650,8.57365,8.48791,8.21356,8.17926,8.02494,7.90491,7.97350,7.87061,7.80202,7.78488,7.95635,7.80202,7.64770,7.68199,7.64770,7.56196,7.56196,7.64770,7.80202,7.80202,8.00779,8.21356,8.50506,8.91660,9.46531,9.82540,10.52844,11.24863,11.71161,12.05455,12.07170,11.96882,11.71161,11.31722,11.12860,10.83710,10.52844,10.45985,10.54559,10.88854,10.49415,10.03117,9.72252,9.53390,9.01948,9.63678,9.84255,9.39672,8.93374,9.05378,8.50506,8.40218,8.04209
2015,Beacon Hill 33_11kV,05MAY2014,MW,7.88776,7.59626,7.30475,7.33905,8.12782,7.92205,7.64770,7.18472,6.97895,6.82463,6.56742,6.49883,6.32735,6.22447,6.07015,6.07015,5.95011,5.91582,6.19018,6.22447,6.44739,6.68745,7.13328,7.56196,9.07092,9.87685,11.18004,12.26032,13.49493,14.33515,14.62665,14.62665,14.83242,14.67809,14.72953,14.59235,14.43803,14.16367,14.18082,13.75214,13.68355,13.56352,13.44349,13.40919,13.11769,13.13483,13.20342,12.98051,12.99766,12.94621,12.87762,12.86048,12.80904,12.74045,12.53468,12.46609,12.44894,12.34606,12.29462,12.24317,12.27747,12.39750,12.68900,12.68900,12.72330,12.92907,13.08339,13.30631,13.34060,13.92361,14.47232,14.91815,14.00935,13.92361,13.56352,13.39204,12.84333,12.58612,12.46609,12.22603,12.00311,11.96882,12.29462,11.66017,11.23148,10.90568,10.64848,10.18550,10.40841,10.30553,9.79111,9.20810,9.20810,8.65939,8.53936,7.99064
2015,Beacon Hill 33_11kV,06MAY2014,MW,7.90491,7.57911,7.21901,7.23616,7.92205,7.78488,7.54481,7.18472,6.96181,6.65315,6.43024,6.43024,6.24162,6.17303,6.41309,6.25877,6.19018,6.05300,6.44739,6.37880,6.67030,6.99610,7.25331,7.83632,8.74512,9.67108,11.06001,11.90023,13.46063,14.06079,14.60950,14.69524,14.79812,14.54091,14.57521,14.28370,14.14652,13.85502,13.80358,13.51207,13.37490,13.18628,13.10054,12.89477,12.63756,12.68900,12.65471,12.60327,12.60327,12.70615,12.70615,12.50038,12.55183,12.60327,12.51753,12.58612,12.51753,12.65471,12.50038,12.41465,12.29462,12.43179,12.67186,12.62042,12.77474,12.99766,12.99766,13.13483,13.30631,13.63211,14.04364,14.28370,13.51207,13.22057,13.04910,12.72330,12.43179,12.05455,11.84879,11.71161,11.48869,11.52299,11.81449,11.26578,10.85424,10.39127,10.21979,9.75682,10.01402,10.04832,9.60249,9.10522,9.20810,8.53936,8.48791,8.02494
2015,Beacon Hill 33_11kV,07MAY2014,MW,8.00779,7.81917,7.49337,7.44193,8.21356,7.90491,7.54481,7.13328,6.87607,6.72174,6.39594,6.36165,6.07015,6.05300,6.05300,6.05300,6.05300,6.05300,6.22447,6.34450,6.55027,6.67030,6.96181,7.45908,8.67654,9.46531,10.69992,11.55728,12.82618,13.61496,14.86671,15.22681,15.46687,15.15822,15.07248,14.57521,14.38659,14.06079,13.92361,13.64925,13.42634,13.40919,13.34060,13.44349,13.44349,13.46063,13.52922,13.28916,13.42634,13.35775,13.46063,13.34060,13.10054,13.15198,12.91192,12.89477,12.91192,12.05455,12.20888,12.26032,12.15744,12.08885,12.36321,12.43179,12.53468,12.48324,12.55183,12.80904,13.11769,13.49493,14.11223,14.43803,13.70070,13.37490,13.03195,12.75759,12.38035,12.17459,11.95167,11.81449,11.66017,11.57443,11.96882,11.36866,11.00857,10.78565,10.37412,9.94544,10.18550,10.13406,9.67108,9.19095,9.25954,8.57365,8.67654,8.26500
2015,Beacon Hill 33_11kV,08MAY2014,MW,7.99064,7.64770,7.35619,7.30475,8.05923,7.87061,7.59626,7.20187,6.94466,6.84177,6.53312,6.27591,6.22447,6.15588,6.29306,6.08729,5.89867,5.89867,5.98441,6.34450,6.58456,6.77318,7.08184,7.49337,8.69368,9.46531,10.66562,11.57443,12.89477,13.49493,14.04364,14.23226,14.62665,14.50662,14.33515,13.92361,13.34060,12.92907,12.63756,12.43179,12.22603,12.05455,12.05455,12.10600,12.00311,11.93452,11.83164,11.83164,11.86593,11.67731,11.81449,11.72876,11.67731,11.33437,11.48869,11.43725,11.42010,11.50584,11.43725,11.50584,11.42010,11.43725,11.35151,11.40296,11.54013,11.64302,11.72876,12.03741,12.17459,12.63756,13.03195,13.04910,12.27747,11.95167,12.68900,12.92907,12.27747,11.95167,11.66017,11.52299,11.42010,11.48869,11.86593,11.23148,10.85424,10.54559,10.51130,10.03117,10.33982,10.25409,9.68823,9.19095,9.31099,8.48791,8.43647,8.12782
2015,Beacon Hill 33_11kV,09MAY2014,MW,7.93920,7.61340,7.25331,7.47622,8.04209,7.92205,7.49337,7.01325,6.80748,6.67030,6.55027,6.44739,6.25877,6.17303,6.24162,6.07015,6.05300,6.07015,6.20732,6.12159,6.41309,6.82463,7.01325,7.35619,8.57365,9.24240,10.42556,11.11145,12.53468,13.06624,13.37490,13.46063,13.76928,13.76928,13.64925,13.32345,13.40919,13.04910,12.89477,12.87762,12.92907,12.67186,12.32891,12.38035,12.41465,12.08885,11.96882,12.03741,12.32891,12.41465,12.34606,12.26032,12.32891,12.24317,12.07170,12.19173,12.20888,12.10600,12.10600,11.83164,11.88308,12.07170,12.41465,12.36321,12.56897,12.51753,12.72330,12.92907,13.15198,13.82073,14.12938,14.07794,13.13483,13.03195,12.74045,12.44894,12.07170,11.72876,11.48869,11.23148,11.04286,11.12860,11.33437,10.85424,10.35697,10.01402,9.85970,9.55105,9.89399,10.01402,9.68823,9.32813,9.49961,8.89945,8.79657,8.45362
2015,Beacon Hill 33_11kV,10MAY2014,MW,8.16212,7.75058,7.42478,7.44193,8.19641,7.83632,7.47622,7.09898,6.82463,6.51598,6.29306,6.17303,5.93297,6.12159,6.12159,5.93297,6.03585,6.01870,5.84723,5.74435,5.74435,5.96726,6.17303,6.29306,6.49883,6.61886,7.20187,7.68199,7.87061,8.12782,8.41933,8.53936,8.88230,9.03663,9.03663,9.08807,9.10522,8.84801,8.71083,8.79657,8.88230,8.65939,8.59080,8.55650,8.45362,8.23071,8.29929,8.29929,8.47077,8.11067,8.23071,8.40218,8.14497,8.16212,8.04209,8.02494,8.00779,8.00779,8.12782,8.05923,8.19641,8.09353,8.23071,8.21356,8.23071,8.67654,8.98519,9.15666,9.25954,10.03117,10.47700,10.71706,10.75136,10.71706,10.59703,10.18550,9.94544,9.77396,9.51675,9.51675,9.24240,9.34528,9.58534,9.22525,8.88230,8.67654,8.59080,8.33359,9.00233,9.20810,8.96804,8.67654,8.88230,8.36788,8.29929,7.95635
