year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Berkeley Vale 132_11kV,01MAY2014,MW,19.17235,20.08123,19.80262,19.15851,18.46561,18.16121,19.05923,19.05923,18.61589,18.30531,17.49266,17.15588,17.15588,17.15588,17.15588,16.61520,16.80503,16.75383,16.97583,16.97583,17.49953,17.39183,17.49556,18.04247,19.43694,19.78685,20.30773,20.54322,20.09753,20.07612,20.96002,21.09118,21.47864,21.68276,21.77216,22.12672,22.28560,23.32891,23.32891,23.40395,23.42291,23.38035,23.38035,23.90980,23.92049,23.73979,23.94621,23.94621,23.94621,23.94621,24.30673,24.53779,24.53779,24.32417,23.98245,24.02555,24.12626,24.12626,23.82700,24.04909,24.04909,23.86131,23.29206,23.28950,23.26687,23.12314,23.28361,23.68900,23.68900,24.27233,24.78947,25.00077,24.38974,24.33202,24.33202,23.70587,23.12964,22.27230,22.22290,22.22290,22.22290,22.22290,21.94714,21.57986,20.85889,20.46403,19.27291,18.56196,18.41745,20.44321,21.06546,20.49381,20.42244,20.12672,20.48733,20.04788
2015,Berkeley Vale 132_11kV,02MAY2014,MW,19.31298,20.46281,20.06786,19.35126,18.48838,18.24042,18.79058,18.01286,17.14281,16.70550,16.17848,16.17848,15.86299,15.61262,15.61262,15.47465,14.99532,14.99532,14.99532,15.41261,16.09535,16.61232,16.56265,16.98918,18.03773,18.76331,19.72192,19.90825,19.39665,19.47158,19.88532,20.37260,20.85969,20.85969,21.05806,21.45128,21.45128,21.45128,21.45128,21.45128,21.37260,21.21587,21.30721,21.41282,22.10417,22.41355,22.20781,22.37420,22.53156,22.63165,22.34829,21.63161,21.61300,21.94662,21.52844,21.52844,21.52844,21.52844,21.22811,21.07389,21.00104,20.70537,20.70537,20.70537,20.70537,20.42648,20.64195,20.78253,21.20027,21.55787,21.25552,20.73123,20.60248,20.44317,20.03662,20.03662,19.60131,19.13804,18.77630,18.77630,18.77630,18.77630,18.62773,17.86211,18.16433,17.63266,17.46620,16.35560,15.77837,17.71022,18.07099,17.46937,17.25876,16.77065,17.42698,16.91459
2015,Berkeley Vale 132_11kV,03MAY2014,MW,16.44093,17.28042,17.44042,16.46699,16.09458,15.62168,16.43569,15.69956,15.40853,15.04676,14.54754,14.42946,14.02894,14.02680,13.45155,13.36669,13.96648,13.96648,13.60323,13.34918,13.34918,13.34918,13.34918,13.69662,13.96648,13.96648,14.28730,14.14557,14.09508,14.70049,15.08599,15.70931,16.47010,16.59002,16.64873,17.27998,17.85034,17.85034,18.29693,18.70371,18.85005,18.97778,18.31332,18.89723,18.95634,18.51395,18.31332,18.31332,18.46932,17.60669,17.02611,16.46141,16.46141,15.85118,16.40441,16.11477,17.62961,18.11211,18.19115,17.93823,18.31751,18.30367,18.33783,18.27388,18.41620,18.64759,19.35225,20.08798,20.09795,20.19330,20.72136,21.32267,21.32267,20.82094,20.16026,19.88230,19.40057,19.26499,18.85253,18.72485,18.72485,18.72485,18.72485,18.72485,18.44858,17.06378,16.69290,16.68153,16.12704,16.80125,17.25876,16.81293,17.04102,16.58974,16.92311,16.84368
2015,Berkeley Vale 132_11kV,04MAY2014,MW,16.43569,17.45650,16.96921,16.34397,15.83801,15.47370,16.45373,15.94699,15.55344,14.78924,14.35229,13.89361,13.81215,13.81215,13.13396,13.01480,13.01480,13.01480,13.01480,13.01480,13.01480,13.01480,13.01480,13.01480,13.01480,13.01480,13.01480,13.19978,13.68355,14.25879,14.37801,14.97604,15.97115,16.35853,16.35853,16.58457,16.97583,17.28981,17.91335,18.77871,18.80202,18.80202,18.80202,18.98922,19.30191,18.82774,18.38506,18.08183,18.08183,18.08183,18.08183,18.08183,18.08183,18.08183,18.08183,18.08183,18.48628,18.58271,18.84132,18.96944,19.18783,19.18783,19.18783,19.36299,19.77941,19.77941,20.26429,20.75568,20.12533,20.33391,20.87961,21.01402,21.01402,21.01402,20.55492,20.21667,20.21667,19.97437,19.49648,19.49648,20.04169,19.59937,20.16417,19.79111,20.06509,19.35043,18.77856,18.44286,17.92751,18.80377,19.39360,18.93767,18.94337,18.69890,19.07681,18.88147
2015,Berkeley Vale 132_11kV,05MAY2014,MW,18.09613,19.07917,19.06839,18.44759,17.82076,17.74977,18.55037,17.95323,17.30241,16.49872,15.93793,15.32849,15.27825,15.68175,16.12199,15.84411,16.19544,16.40997,16.40997,16.49960,16.70761,17.09836,17.43881,17.76855,19.28502,20.04650,21.36235,22.02368,21.77500,22.71596,23.14230,23.50895,24.00599,23.94621,23.92107,24.02337,24.02446,23.97193,23.97193,24.02747,23.99765,23.99765,23.41133,23.30318,23.49106,23.45751,23.27681,23.22124,23.06324,23.09742,23.65004,23.55879,23.47407,23.27746,23.58205,23.81760,23.70339,23.09742,23.42664,23.21457,23.35981,23.17458,23.05094,22.78370,23.01200,23.26791,23.62159,23.89390,24.14600,25.02338,25.25798,25.25798,25.11151,24.58492,24.18214,23.96350,23.42766,22.89165,22.89165,22.45588,22.54593,22.24005,22.16515,21.53116,21.49659,20.88542,20.52219,19.70192,19.81928,20.87030,21.20783,20.60383,20.85468,20.33736,20.78119,20.35071
2015,Berkeley Vale 132_11kV,06MAY2014,MW,19.74694,20.54297,20.16028,18.71535,18.37937,18.00253,18.82196,18.23260,17.24959,16.78193,16.51285,15.98599,15.89555,15.31409,15.14964,15.14964,15.14964,15.14964,15.59664,15.81839,16.36588,16.83543,18.16206,18.48773,19.57804,20.45594,21.40381,22.46432,22.62825,23.40607,23.40607,23.61169,24.14728,24.34132,24.07481,24.68563,24.50648,24.10053,24.16511,23.99765,23.99765,24.18100,23.97437,23.50895,23.50895,23.99919,23.67878,23.35463,23.12983,23.40108,23.35463,23.35891,24.02337,23.46731,22.77089,22.95604,23.13107,23.06172,22.84021,22.84021,22.68411,22.47055,22.50817,22.22290,22.44473,23.04598,23.04598,23.39107,24.08215,25.18123,25.30942,25.30942,24.97958,24.74356,24.74356,24.29691,23.71491,23.46136,23.12314,22.73846,23.02931,22.43385,22.70911,21.98512,21.81165,21.50272,21.16937,20.47872,20.03904,20.25458,20.38043,19.83933,20.03451,19.48952,19.96138,19.49272
2015,Berkeley Vale 132_11kV,07MAY2014,MW,18.41519,19.38551,19.02915,18.07989,17.70146,17.57546,18.47358,17.77318,16.76794,15.93428,15.64634,15.12392,15.12392,14.64883,14.58378,14.58378,14.58378,14.58378,14.58378,14.58378,15.07477,15.49191,15.82303,16.46141,17.60278,18.49337,19.12996,20.04008,21.02231,22.00757,22.27435,22.98685,23.54938,23.67361,23.71472,23.91769,24.17079,24.36537,24.21432,24.38346,24.38454,24.30867,24.46063,24.46063,24.46063,24.35950,24.33202,24.33202,24.33202,24.33202,24.33202,23.60297,23.75757,23.77900,23.85213,24.37771,23.93252,24.28734,24.31729,24.02337,23.69802,23.66290,23.86905,23.21928,23.09742,23.21147,23.63756,23.82399,24.27790,24.94933,25.40385,25.31973,24.34915,23.81760,23.34395,22.63223,21.91010,21.81137,21.22035,20.69958,21.27837,20.94647,20.08807,19.65098,20.00585,19.36222,18.84756,18.33369,18.90260,20.23180,20.78253,20.23241,20.68859,20.48763,20.76837,20.43820
2015,Berkeley Vale 132_11kV,08MAY2014,MW,19.24227,20.35028,19.56790,18.67210,18.25043,18.12218,19.28203,18.67728,17.85923,17.52817,16.87295,16.55515,16.29861,16.20420,16.10925,15.52424,15.11009,15.21507,15.61262,15.85705,16.40513,16.95375,16.92662,17.66510,18.04212,19.62599,20.47388,20.89793,20.84673,21.39983,22.19756,22.71160,23.39284,23.48323,23.97194,24.15198,24.15198,24.15198,24.15198,23.92590,23.62935,24.17770,24.17770,24.17770,24.10077,23.81683,24.02337,24.02337,23.44117,23.27215,23.74044,23.74044,24.63229,24.27913,24.61495,24.61495,24.93882,24.18095,24.12106,24.46063,24.46063,24.46063,24.08434,23.74044,23.74044,23.74044,23.74044,23.74044,24.48092,25.85520,26.51337,26.74344,25.51519,25.58720,26.57069,26.41542,25.95895,25.45914,24.83495,23.25687,23.33623,24.23426,24.23535,23.69778,23.24222,21.77455,20.59002,19.41935,19.59289,21.18580,21.64349,20.76771,20.11974,18.96624,19.56468,19.16102
2015,Berkeley Vale 132_11kV,09MAY2014,MW,18.21181,18.84368,18.34770,18.38975,17.95323,18.13452,18.88247,18.48097,16.58887,16.22992,16.22992,15.78106,15.51322,14.99532,14.45437,14.37801,14.37801,14.37801,14.37801,14.50106,14.91815,14.91998,15.63834,15.94211,17.29062,18.38488,19.53165,19.56782,19.57587,19.91093,20.08807,20.66642,21.29695,21.29695,22.22912,22.78877,22.92653,23.45751,23.17997,23.23881,22.92907,22.71160,22.71160,22.71160,22.44083,22.56274,22.63444,22.52050,21.72067,21.71988,21.60435,21.33950,20.90559,20.83397,20.83397,20.83397,21.09864,20.85822,20.35008,19.90802,19.47615,19.24448,19.37258,19.35164,19.88476,20.42244,20.67230,21.27422,21.73421,22.08374,21.64930,21.34484,20.88542,20.88542,20.51162,19.94974,19.59407,18.65019,18.54481,18.54481,18.54481,18.54481,18.54481,17.80275,18.12652,17.59796,17.09540,17.05029,17.23260,18.17408,18.77836,17.78990,18.01551,17.46453,17.48694,16.47986
2015,Berkeley Vale 132_11kV,10MAY2014,MW,15.88933,16.89121,16.48626,15.48537,14.48976,14.54038,15.99475,15.36290,14.75363,14.26713,13.86359,13.75920,13.32345,13.10744,12.54031,12.21745,11.70102,11.91935,11.83006,11.96864,12.21745,12.21745,12.32256,12.78331,13.13899,13.32345,13.35715,14.06091,14.48090,14.72059,15.43475,15.76695,16.42668,16.83156,16.88344,17.23971,17.74746,17.43508,18.27766,18.34374,18.23616,18.23616,18.23616,18.23616,18.23616,18.28448,18.15899,18.37063,18.15899,18.42080,18.74218,18.36476,18.48046,18.23616,18.23616,18.18229,18.05457,18.31332,18.28345,18.31568,18.36476,18.36476,18.76776,18.90490,18.90490,19.07614,19.54793,19.23280,18.36414,19.11505,18.77630,18.87253,18.50172,17.77539,17.82775,17.87606,17.84012,17.31020,17.31020,17.31020,17.31020,17.31020,17.45305,16.98872,17.34143,16.93141,16.68562,16.11287,15.61262,16.43005,16.97583,16.44839,16.84832,16.45007,17.32671,16.75829
