year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Berowra 132_11kV,01MAY2015,MW,13.84226,14.50757,13.38023,14.15643,14.80327,13.34327,12.27137,11.01467,9.85036,8.74150,8.09467,7.17062,6.93037,6.52379,6.32050,6.06176,6.06176,5.82151,5.89543,6.33898,6.67163,6.83796,7.18910,8.05771,9.29593,10.40479,11.58758,11.14403,10.36783,10.64505,11.01467,11.08859,10.77441,10.53416,10.77441,10.53416,10.68201,10.68201,10.51568,10.29391,10.18302,10.14606,9.68403,9.48074,9.51771,9.59163,9.77644,9.33290,9.18505,8.87087,8.96328,8.87087,8.88935,8.64910,8.22404,8.16859,8.37188,8.26100,8.18708,8.40885,8.48277,8.63062,8.85239,8.85239,8.94480,9.09264,9.20353,9.62859,10.34935,11.03315,12.08656,12.77036,13.04757,12.86276,12.73340,12.69643,12.65947,12.25289,12.08656,11.64302,11.18099,10.33087,10.10910,9.92429,9.51771,9.29593,9.22201,8.96328,9.86884,10.40479,10.07214,9.72100,9.18505,10.70049,11.95720,11.51365
2016,Berowra 132_11kV,02MAY2015,MW,12.67795,13.25086,12.21593,12.88124,13.21390,12.12352,11.19948,9.99821,8.92631,7.92834,7.15214,6.54227,6.09872,5.76607,5.24860,5.06379,4.89746,5.10075,4.95290,5.28556,5.39645,5.39645,5.39645,5.58126,6.02480,6.57923,6.83796,6.87493,6.59771,6.80100,7.20758,7.41087,7.41087,7.41087,7.66961,7.89138,8.39037,8.44581,8.37188,8.44581,8.44581,8.63062,8.72302,8.50125,8.05771,8.09467,8.26100,8.26100,8.40885,8.09467,8.09467,8.09467,8.09467,8.02075,7.76201,7.76201,7.94682,8.66758,8.77847,8.77847,8.68606,8.44581,8.44581,8.74150,8.74150,8.94480,9.20353,9.57315,9.88733,10.44175,11.07011,11.47669,11.49517,11.66150,11.49517,11.27340,10.90378,10.51568,10.18302,10.03517,9.73948,9.35138,9.09264,9.01872,8.96328,8.68606,8.68606,8.46429,9.24049,10.05365,9.77644,9.40682,8.90783,10.16454,11.55061,11.29188
2016,Berowra 132_11kV,03MAY2015,MW,12.54859,13.32479,12.38226,13.23238,13.54656,12.51162,11.27340,10.01669,9.00024,8.24252,7.42935,6.89341,6.19113,5.89543,5.67366,5.45189,5.45189,5.11923,5.30404,5.47037,5.56278,5.71062,5.41493,5.41493,5.48885,5.76607,5.89543,5.89543,5.74759,6.08024,6.54227,6.89341,7.15214,7.66961,7.94682,8.15011,8.44581,8.77847,8.79695,8.79695,8.90783,9.12961,9.11112,8.79695,8.79695,8.79695,8.79695,8.79695,8.79695,8.79695,8.77847,8.46429,8.46429,8.46429,8.46429,8.31644,8.40885,8.22404,8.31644,8.37188,8.37188,8.37188,8.40885,8.94480,9.12961,9.40682,9.73948,10.09062,10.34935,11.05163,11.49517,11.99416,12.34530,12.12352,12.12352,12.06808,11.73542,11.12555,10.79289,10.51568,10.38631,9.88733,9.49922,9.49922,9.27745,9.07416,8.81543,8.61214,9.38834,9.92429,9.72100,9.18505,8.64910,9.92429,11.29188,11.27340
2016,Berowra 132_11kV,04MAY2015,MW,12.58555,13.21390,12.30833,13.15846,13.62048,12.25289,11.38428,10.33087,9.18505,8.24252,7.22606,6.57923,6.19113,5.87695,5.63670,5.34100,5.34100,5.23012,5.00835,5.00835,5.41493,6.08024,6.59771,7.41087,8.50125,9.57315,10.10910,9.48074,8.68606,8.94480,9.00024,9.01872,8.90783,8.77847,8.75999,8.75999,8.53821,8.46429,8.20556,8.22404,8.26100,8.39037,8.09467,7.92834,7.70657,7.70657,7.78049,7.72505,7.72505,7.72505,7.83594,7.85442,8.02075,7.90986,7.81746,8.11315,8.11315,8.05771,7.76201,7.90986,7.96530,8.07619,7.94682,8.09467,8.09467,8.09467,8.18708,8.59366,9.05568,9.61011,10.53416,11.23644,11.66150,11.66150,11.64302,11.38428,11.38428,11.01467,10.66353,10.34935,10.09062,9.96125,9.70252,9.46226,9.36986,9.18505,8.81543,8.68606,9.35138,9.97973,9.88733,9.29593,8.74150,10.07214,11.53213,11.43973
2016,Berowra 132_11kV,05MAY2015,MW,12.78884,13.43567,12.45618,13.12150,13.67593,12.49314,11.21796,9.83188,8.75999,7.98378,7.17062,6.57923,5.96936,5.63670,5.61822,5.30404,5.30404,5.30404,5.10075,5.35948,5.95088,6.61619,7.00429,7.31847,8.37188,9.42530,10.20150,9.73948,8.79695,9.05568,8.90783,8.90783,8.77847,8.63062,8.26100,8.16859,8.05771,7.66961,7.66961,7.54024,7.50328,7.55872,7.18910,7.02277,6.94885,6.72708,6.94885,7.09670,6.85644,6.56075,6.87493,6.85644,6.76404,6.85644,6.85644,7.07822,7.02277,7.17062,7.20758,7.20758,7.26303,7.28151,7.59568,7.59568,7.59568,7.59568,7.59568,7.66961,8.22404,9.00024,9.86884,10.44175,10.58960,10.58960,10.58960,10.51568,10.29391,10.27543,9.94277,9.79492,9.57315,9.29593,9.12961,8.96328,8.64910,8.63062,8.27948,8.15011,8.88935,9.62859,9.31441,8.92631,8.53821,9.83188,10.99618,10.53416
2016,Berowra 132_11kV,06MAY2015,MW,11.90175,12.47466,11.49517,12.23441,12.67795,11.45821,10.46024,9.38834,8.42733,7.74353,6.93037,6.24657,5.91391,5.67366,5.34100,5.37797,5.15619,5.15619,5.19316,5.45189,5.96936,6.30201,6.74556,7.35543,8.48277,9.72100,10.84834,10.10910,9.16657,9.16657,9.16657,9.16657,9.16657,8.94480,8.44581,8.16859,8.16859,7.87290,7.52176,7.52176,7.41087,7.02277,6.91189,7.02277,6.87493,6.94885,6.94885,6.94885,6.59771,6.37594,6.57923,6.61619,6.61619,6.80100,6.85644,6.85644,6.85644,6.85644,6.89341,7.17062,7.17062,7.17062,7.18910,7.61416,7.85442,7.89138,7.90986,8.24252,8.90783,9.75796,10.81137,11.51365,11.77239,12.08656,12.08656,12.08656,11.99416,12.06808,11.75390,11.55061,11.42125,11.25492,11.08859,10.88530,10.55264,10.18302,9.97973,9.73948,10.47872,10.79289,10.40479,9.77644,9.31441,10.44175,11.64302,11.62454
2016,Berowra 132_11kV,07MAY2015,MW,12.93669,13.34327,12.40074,13.28783,13.87922,12.58555,11.53213,10.53416,9.31441,8.50125,7.63265,7.00429,6.56075,6.33898,5.89543,5.67366,5.69214,5.95088,5.95088,5.95088,6.19113,7.07822,7.65113,8.42733,9.86884,11.01467,11.86479,11.25492,10.29391,10.49720,10.68201,10.51568,10.34935,10.20150,9.59163,9.07416,8.79695,8.53821,8.22404,7.98378,7.79897,7.81746,7.39239,7.29999,7.22606,6.94885,6.94885,6.94885,6.63467,6.59771,6.59771,6.65315,6.56075,6.59771,6.91189,6.91189,6.94885,6.91189,6.91189,7.13366,7.13366,7.24454,7.35543,7.55872,7.61416,7.89138,8.09467,8.70454,9.22201,10.25695,11.36580,12.30833,12.75188,13.02909,12.89973,13.10302,13.17694,12.95517,12.80732,12.58555,12.51162,12.30833,12.17897,11.82783,11.75390,11.34732,11.08859,10.81137,11.29188,11.73542,11.40277,10.62656,9.86884,11.14403,12.01264,11.58758
2016,Berowra 132_11kV,08MAY2015,MW,13.10302,13.82377,12.82580,13.60200,14.08251,12.97365,11.55061,10.64505,9.68403,8.90783,8.05771,7.59568,6.96733,6.56075,6.17265,6.17265,5.89543,5.76607,5.74759,6.28353,6.85644,7.17062,7.57720,8.57518,9.86884,11.03315,12.01264,11.82783,11.01467,11.23644,11.14403,11.03315,11.03315,10.75593,10.23846,9.72100,9.31441,8.94480,8.46429,8.22404,8.15011,8.18708,7.72505,7.48480,7.31847,7.24454,6.98581,6.98581,6.69012,6.65315,6.70860,6.69012,6.83796,6.83796,6.59771,6.59771,6.74556,6.80100,6.63467,6.63467,6.81948,6.69012,6.98581,7.24454,7.46632,7.79897,7.98378,8.40885,8.92631,10.09062,11.07011,11.93871,12.30833,12.43770,12.36378,12.43770,12.43770,12.34530,12.14201,12.01264,11.84631,11.66150,11.58758,11.32884,11.08859,10.79289,10.66353,10.33087,10.95922,11.36580,10.99618,10.40479,9.62859,10.99618,12.23441,11.93871
2016,Berowra 132_11kV,09MAY2015,MW,13.15846,13.69441,12.67795,13.28783,13.84226,12.73340,11.66150,10.57112,9.61011,8.85239,8.09467,7.46632,6.98581,6.59771,6.39442,5.87695,5.59974,5.59974,5.65518,5.89543,6.06176,6.22809,6.22809,6.56075,6.93037,7.35543,7.85442,8.07619,7.78049,8.27948,8.72302,8.88935,9.29593,9.48074,9.48074,9.48074,9.31441,8.94480,8.50125,8.29796,7.96530,7.68809,7.52176,7.22606,6.87493,6.85644,6.52379,6.50531,6.50531,6.50531,6.43138,6.41290,6.43138,6.43138,6.43138,6.43138,6.43138,6.43138,6.43138,6.50531,6.78252,6.78252,6.98581,7.28151,7.46632,7.81746,8.26100,8.96328,9.49922,10.36783,11.34732,11.95720,12.10504,12.40074,12.27137,12.01264,11.77239,11.42125,11.34732,11.14403,10.86682,10.68201,10.68201,10.42327,10.34935,10.07214,9.97973,9.66555,10.42327,11.08859,10.77441,10.20150,9.72100,11.03315,12.34530,12.01264
2016,Berowra 132_11kV,10MAY2015,MW,13.30631,13.99010,12.95517,14.02707,14.65542,13.49112,12.53011,11.47669,10.42327,9.66555,8.92631,8.13163,7.42935,6.81948,6.52379,5.96936,5.80303,5.52581,5.52581,5.52581,5.59974,6.19113,6.19113,6.19113,6.28353,6.65315,6.94885,7.00429,7.02277,7.63265,7.89138,8.55669,8.74150,8.96328,9.07416,9.07416,9.07416,8.92631,8.72302,8.37188,8.03923,7.89138,7.65113,7.33695,7.33695,7.28151,7.28151,7.57720,7.65113,7.65113,7.65113,7.22606,6.65315,6.72708,6.74556,6.67163,6.61619,6.39442,6.69012,6.98581,7.18910,7.31847,7.33695,7.46632,8.00227,8.37188,8.68606,9.25897,9.90581,10.84834,11.42125,11.88327,12.28985,12.30833,12.38226,12.34530,12.21593,11.86479,11.58758,11.43973,10.92226,10.84834,10.49720,10.25695,9.99821,9.77644,9.55467,9.07416,9.59163,10.27543,9.94277,9.53619,8.87087,10.16454,11.45821,11.40277
