year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Blakehurst 33_11kV,01MAY2014,MW,8.74919,8.23988,7.82152,7.34859,7.13031,6.83928,6.73014,6.42092,6.07532,5.78429,5.69334,5.45687,5.32955,5.07489,5.07489,5.07489,4.87481,4.87481,4.87481,4.87481,5.12946,5.49325,5.78429,6.14808,6.54825,7.00299,7.56686,8.22169,8.47634,8.76738,9.13117,9.38582,9.16755,8.98565,8.78557,8.45815,8.56729,8.45815,8.25807,8.22169,8.07617,7.96704,8.00341,7.85790,7.76695,7.87609,7.82152,7.82152,7.58505,7.62143,7.69419,7.53049,7.71238,7.54868,7.58505,7.51230,7.60324,7.60324,7.78514,7.67600,7.56686,7.80333,7.80333,7.83971,8.11255,8.40359,8.60367,8.94927,8.91289,9.54953,10.29530,10.87737,10.95013,10.89556,10.89556,10.89556,10.62271,10.36806,10.36806,10.18616,10.36806,10.58633,10.75004,10.45901,10.53177,10.73185,10.27711,9.76780,10.40444,10.36806,9.93151,9.20393,8.80376,8.38540,8.82195,8.47634
2015,Blakehurst 33_11kV,02MAY2014,MW,8.80376,8.38540,7.87609,7.40316,7.11213,6.87566,6.43911,6.09351,5.83885,5.58420,5.29317,5.00213,4.98394,4.85662,4.76567,4.76567,4.76567,4.76567,4.76567,4.89300,5.23860,5.51144,5.72972,5.98437,6.31178,6.91204,7.40316,8.23988,8.47634,8.94927,9.05841,9.14936,9.27669,9.13117,8.91289,8.67643,8.56729,8.49453,8.56729,8.49453,8.36721,8.14893,8.27626,7.93066,7.93066,7.93066,7.93066,7.82152,7.83971,7.74876,7.93066,7.69419,7.83971,7.76695,7.71238,7.82152,7.67600,7.69419,7.71238,7.76695,7.76695,7.76695,7.98523,7.96704,8.34902,8.65824,8.84014,9.38582,9.51315,10.24073,10.53177,10.65909,10.65909,10.69547,10.89556,10.69547,10.42263,10.18616,10.02246,9.87694,10.18616,10.29530,10.38625,9.94970,10.31349,10.33168,9.82237,9.51315,10.33168,10.13160,9.85875,9.25850,8.91289,8.49453,9.13117,8.71281
2015,Blakehurst 33_11kV,03MAY2014,MW,9.24031,8.65824,8.16712,7.74876,7.36678,7.02118,6.71195,6.32997,5.94799,5.71153,5.32955,5.27498,5.09308,4.96575,4.96575,4.96575,4.78386,4.76567,4.76567,4.76567,4.76567,5.09308,5.09308,4.98394,5.23860,5.60239,5.74791,6.05713,6.11170,6.47549,6.78471,7.38497,7.94885,8.36721,8.54910,8.54910,8.69462,8.87651,9.11298,8.84014,8.96746,8.85832,8.82195,8.93108,8.85832,8.69462,8.69462,8.69462,8.62186,8.56729,8.11255,8.13074,8.18531,8.18531,8.18531,8.18531,8.18531,8.02160,8.18531,8.20350,8.33083,8.22169,8.54910,8.89470,9.14936,9.36763,9.64048,10.16797,10.25892,10.89556,11.56857,11.73228,11.73228,11.87779,11.95055,11.67771,11.38668,11.15021,10.93194,10.76823,10.82280,11.31392,11.44125,11.07745,11.25935,11.36849,11.07745,10.71366,11.35030,11.31392,10.87737,10.18616,9.80418,9.44039,9.98608,9.62229
2015,Blakehurst 33_11kV,04MAY2014,MW,10.02246,9.60410,9.13117,8.56729,8.16712,7.60324,7.36678,6.98480,6.69376,6.32997,6.07532,5.71153,5.60239,5.42049,5.25679,5.12946,5.12946,5.12946,5.12946,5.12946,5.12946,5.12946,5.12946,5.20222,5.45687,5.69334,5.65696,6.03894,6.07532,6.36635,6.78471,7.13031,7.69419,8.11255,8.18531,8.33083,8.62186,8.85832,9.00384,9.00384,8.87651,8.73100,8.73100,8.73100,8.51272,8.51272,8.23988,8.23988,8.23988,8.03979,7.91247,7.71238,7.63962,7.49411,7.38497,7.25764,7.23945,7.09394,7.11213,7.00299,7.13031,7.31221,7.45773,7.60324,8.05798,8.34902,8.89470,9.38582,9.44039,10.14978,11.13202,11.93236,12.15064,12.27797,12.25978,12.02331,11.76866,11.65952,11.75047,11.45943,11.80504,12.22340,12.20521,11.80504,11.96874,12.24159,11.76866,11.11383,11.84142,11.71409,11.20478,10.24073,9.65867,9.07660,9.53134,8.85832
2015,Blakehurst 33_11kV,05MAY2014,MW,9.25850,8.96746,8.58548,7.94885,7.67600,7.31221,6.91204,6.63920,6.29359,6.02075,5.74791,5.56601,5.42049,5.20222,5.11127,5.11127,5.11127,5.11127,5.11127,5.29317,5.54782,5.83885,6.18446,6.34816,6.94842,7.47592,8.20350,9.34944,9.56772,10.20435,10.33168,10.25892,10.18616,10.13160,9.62229,9.51315,9.14936,9.04022,8.80376,8.85832,8.69462,8.62186,8.51272,8.36721,8.43996,8.20350,8.14893,8.07617,8.23988,8.25807,7.93066,8.03979,8.00341,7.98523,7.98523,7.98523,7.98523,7.98523,7.94885,8.00341,8.05798,7.98523,8.18531,8.38540,8.56729,8.98565,9.44039,9.54953,9.76780,10.84099,11.82323,12.33253,12.56900,12.65995,12.78727,12.89641,12.67814,12.44167,12.38710,12.13245,12.47805,12.71452,12.76908,12.18702,12.38710,12.56900,12.25978,11.58676,12.05969,11.82323,11.24116,10.36806,9.78599,9.27669,9.73142,9.14936
2015,Blakehurst 33_11kV,06MAY2014,MW,9.33125,8.76738,8.43996,7.96704,7.67600,7.34859,6.85747,6.56644,6.27540,6.00256,5.71153,5.63877,5.51144,5.34774,5.32955,5.03851,5.02032,5.03851,5.32955,5.47506,5.63877,5.96618,6.16627,6.65739,7.14850,7.83971,8.18531,9.31306,9.56772,10.24073,10.49539,10.40444,10.27711,10.09522,10.02246,9.80418,9.47677,9.25850,9.14936,9.14936,9.00384,8.84014,8.58548,8.42177,8.22169,8.36721,8.14893,8.16712,8.09436,8.25807,8.05798,8.02160,7.89428,7.85790,7.85790,8.11255,8.05798,8.02160,8.18531,8.14893,8.14893,8.22169,8.33083,8.40359,8.85832,9.24031,9.58591,10.00427,10.05884,11.22297,11.82323,12.47805,12.60538,12.91460,12.76908,12.69633,12.42348,12.16883,12.11426,12.11426,12.07788,12.42348,12.62357,12.09607,12.24159,12.33253,11.73228,11.24116,11.80504,11.64133,11.04107,10.29530,9.87694,9.14936,9.38582,8.96746
2015,Blakehurst 33_11kV,07MAY2014,MW,9.33125,8.74919,8.36721,7.93066,7.62143,7.23945,6.85747,6.49368,6.18446,5.91161,5.78429,5.62058,5.32955,5.32955,5.14765,5.02032,5.02032,5.02032,5.11127,5.32955,5.52963,5.82067,6.02075,6.36635,6.98480,7.53049,7.96704,8.94927,9.20393,9.91332,9.96789,10.05884,9.93151,9.85875,9.40401,9.13117,9.13117,8.78557,8.96746,8.60367,8.51272,8.47634,8.34902,8.18531,8.16712,8.02160,8.14893,7.98523,8.00341,8.03979,7.93066,7.82152,7.73057,7.83971,7.65781,7.74876,7.96704,7.73057,7.69419,7.62143,7.80333,8.00341,8.07617,8.56729,8.67643,8.85832,9.13117,9.76780,9.91332,10.95013,12.00512,12.15064,12.38710,12.44167,12.69633,12.42348,12.40529,12.22340,12.13245,11.91417,12.16883,12.31434,12.35072,12.04150,12.27797,12.64176,12.27797,11.44125,11.75047,11.42306,11.00470,10.36806,9.84056,9.27669,9.76780,9.02203
2015,Blakehurst 33_11kV,08MAY2014,MW,9.36763,8.91289,8.51272,8.11255,7.94885,7.49411,7.27583,6.82109,6.29359,6.14808,5.85704,5.51144,5.51144,5.32955,5.20222,5.20222,5.11127,5.11127,5.11127,5.20222,5.45687,5.74791,6.09351,6.62101,6.98480,7.60324,8.20350,9.24031,9.65867,10.16797,10.29530,10.34987,10.24073,9.94970,9.67686,9.47677,9.09479,8.94927,8.91289,8.98565,8.64005,8.56729,8.42177,8.31264,8.27626,8.36721,8.20350,8.05798,8.11255,8.45815,8.27626,8.34902,8.05798,8.25807,8.23988,8.14893,8.07617,7.87609,7.96704,7.73057,7.93066,7.96704,8.14893,8.22169,8.43996,8.85832,9.22212,9.51315,9.64048,10.60452,11.38668,11.60495,11.84142,12.02331,11.91417,11.96874,11.67771,11.60495,11.42306,11.38668,11.69590,12.18702,12.27797,11.89598,11.85961,12.07788,11.67771,11.07745,11.62314,11.49581,10.98651,10.27711,9.73142,8.94927,9.40401,8.96746
2015,Blakehurst 33_11kV,09MAY2014,MW,9.44039,8.93108,8.54910,7.98523,7.82152,7.42135,6.96661,6.71195,6.36635,6.07532,5.78429,5.63877,5.43868,5.14765,5.27498,5.27498,5.05670,5.05670,5.05670,5.05670,5.52963,5.82067,6.12989,6.38454,6.93023,7.43954,8.03979,8.89470,9.13117,9.76780,10.00427,10.25892,9.96789,9.54953,9.51315,9.18574,8.96746,9.14936,9.09479,9.04022,8.84014,8.51272,8.51272,8.43996,8.27626,8.18531,8.02160,8.13074,8.03979,7.89428,8.02160,7.96704,7.98523,7.82152,7.91247,7.80333,7.87609,7.87609,7.78514,7.91247,8.00341,8.20350,8.20350,8.33083,8.51272,8.98565,9.29487,9.64048,9.93151,10.84099,11.38668,11.75047,11.75047,11.75047,11.75047,11.71409,11.56857,11.31392,11.16840,11.07745,11.20478,11.53219,11.45943,10.93194,11.11383,11.40487,11.04107,10.53177,11.18659,10.89556,10.53177,10.00427,9.53134,9.24031,9.69505,9.34944
2015,Blakehurst 33_11kV,10MAY2014,MW,9.65867,9.31306,8.76738,8.29445,7.98523,7.58505,7.27583,6.78471,6.40273,6.02075,5.78429,5.49325,5.47506,5.18403,5.18403,5.18403,5.14765,4.91119,4.91119,4.92938,5.22041,5.22041,5.22041,5.54782,5.63877,5.85704,6.20265,6.40273,6.58463,7.03937,7.49411,7.89428,8.38540,8.54910,8.91289,9.13117,8.98565,9.02203,8.80376,8.76738,8.64005,8.69462,8.62186,8.58548,8.42177,8.27626,8.05798,8.05798,8.09436,7.71238,7.83971,7.63962,7.60324,7.34859,7.60324,7.62143,7.54868,7.65781,7.85790,7.85790,7.85790,8.09436,8.16712,8.20350,8.51272,8.96746,9.11298,9.53134,9.82237,10.34987,10.89556,11.16840,11.09564,11.02288,10.96832,10.76823,10.51358,10.18616,9.96789,9.96789,10.02246,10.24073,10.20435,9.82237,10.20435,10.60452,10.18616,9.74961,10.45901,10.34987,10.07703,9.56772,9.27669,8.93108,9.29487,8.91289
