year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Botany 33_11kV,01MAY2017,MW,11.91329,11.83883,11.46654,11.26178,11.13148,10.94533,10.68473,10.66612,10.62889,10.38690,10.05184,10.03322,10.03322,10.07045,10.16352,10.34967,10.34967,10.55443,10.68473,10.88949,11.09425,11.61546,11.78299,12.39727,13.23492,13.62582,14.24010,14.94745,15.46866,15.59896,16.00848,16.23186,16.19463,16.26908,16.23186,16.13878,16.17601,16.41800,16.52969,16.12017,16.10155,16.13878,16.08294,16.10155,16.34354,16.73445,16.28770,16.02710,16.28770,16.36216,16.51107,16.51107,16.32493,16.69722,16.60415,16.62276,16.80891,16.56692,16.54830,16.51107,16.26908,16.38077,16.32493,16.34354,16.21324,16.25047,15.87818,15.87818,16.04571,16.26908,16.67860,16.75306,16.47384,16.41800,16.17601,15.76649,15.50589,15.17083,15.04053,14.87300,14.55655,14.20287,14.09119,13.73751,13.64444,13.29076,13.10462,12.97432,12.78817,12.43449,12.45311,11.91329,11.76437,11.54100,11.41070,11.41070
2018,Botany 33_11kV,02MAY2017,MW,11.55961,11.61546,11.24317,11.15009,11.15009,11.15009,10.72196,10.47997,10.31244,10.16352,10.16352,10.16352,9.86569,9.82846,9.84708,9.95876,10.20075,10.23798,10.23798,10.44274,10.85226,11.22455,11.50377,11.72714,12.75094,13.17908,13.40245,14.05396,14.63101,14.89161,15.56173,15.43143,15.84095,15.89679,15.74788,15.54312,15.33836,15.65481,15.61758,15.58035,15.80372,15.78511,15.89679,16.06433,15.91541,15.98987,15.89679,15.91541,16.04571,15.93402,15.71065,15.82234,15.76649,15.76649,16.06433,16.26908,16.17601,16.12017,16.04571,16.06433,15.93402,15.89679,15.48728,15.59896,15.33836,15.28252,15.13360,15.07776,15.17083,15.31974,15.78511,16.08294,15.80372,15.67342,15.35697,15.18944,14.92884,14.64962,14.50071,14.44486,14.24010,14.20287,13.83058,13.47691,13.10462,13.06739,12.91847,12.75094,12.60203,12.45311,12.08082,11.78299,11.63407,11.41070,11.41070,11.41070
2018,Botany 33_11kV,03MAY2017,MW,11.41070,11.26178,10.83365,11.01979,10.85226,10.61027,10.12630,10.14491,9.97738,9.82846,9.82846,9.58647,9.47479,9.47479,9.47479,9.47479,9.66093,9.73539,9.79123,9.94015,10.20075,10.64750,11.09425,11.52238,12.26696,12.65787,13.30938,13.92366,14.59378,14.94745,15.37559,15.69203,16.00848,15.76649,15.72926,15.89679,15.72926,15.76649,15.45005,15.59896,15.69203,15.72926,15.76649,15.97125,15.87818,15.97125,15.63619,16.10155,15.80372,15.89679,16.30631,16.39939,16.23186,16.06433,16.32493,16.32493,16.32493,16.43662,16.45523,16.60415,16.32493,16.45523,16.47384,16.36216,16.15740,16.08294,16.06433,15.91541,16.15740,16.28770,16.65999,16.80891,16.34354,16.30631,16.30631,16.12017,15.84095,15.67342,15.48728,15.33836,15.15221,14.92884,14.70547,14.70547,14.29595,13.96089,13.71890,13.45829,13.53275,13.21630,12.86263,12.67648,12.45311,12.22974,11.96913,11.96913
2018,Botany 33_11kV,04MAY2017,MW,11.96913,11.72714,11.65269,11.39208,11.35485,11.15009,10.87088,10.40551,10.38690,10.38690,10.27521,10.07045,10.01461,9.82846,10.07045,10.36828,10.27521,10.23798,10.33105,10.64750,10.96395,11.33624,11.54100,12.13666,13.08600,13.38384,13.90504,14.38902,15.20806,15.72926,16.04571,16.04571,16.39939,16.38077,16.43662,16.43662,16.15740,15.98987,16.19463,16.06433,16.41800,16.23186,16.30631,16.25047,16.25047,16.47384,16.45523,16.47384,16.52969,16.41800,16.45523,16.25047,16.23186,16.41800,16.15740,16.41800,16.08294,16.04571,16.15740,16.21324,15.87818,15.72926,15.63619,15.71065,15.76649,15.52450,15.31974,15.37559,15.72926,16.02710,16.49246,16.34354,16.13878,16.08294,16.28770,16.28770,15.85957,15.61758,15.46866,15.35697,15.15221,15.05914,14.74269,14.51932,14.18426,14.12842,13.81197,13.56998,13.51414,13.27215,13.10462,12.86263,12.69510,12.47172,12.30419,12.17389
2018,Botany 33_11kV,05MAY2017,MW,12.17389,11.82022,11.82022,11.82022,11.78299,11.54100,11.42931,10.90810,10.83365,10.74057,10.70335,10.64750,10.55443,10.44274,10.42413,10.70335,10.61027,10.61027,10.70335,10.94533,11.31762,11.63407,11.98775,12.43449,13.30938,13.77474,13.94227,14.50071,15.28252,15.58035,15.87818,16.30631,15.89679,15.87818,15.71065,15.69203,15.76649,16.02710,15.95264,16.04571,15.80372,15.69203,15.80372,16.06433,16.17601,16.25047,16.26908,16.30631,16.21324,16.08294,16.21324,16.15740,16.08294,15.95264,15.91541,15.91541,15.69203,15.65481,15.63619,15.43143,15.17083,15.17083,15.15221,15.09637,15.15221,15.24529,15.17083,15.02191,15.31974,15.69203,16.17601,16.45523,15.98987,15.93402,15.91541,15.59896,15.20806,15.00330,14.89161,14.76131,14.51932,14.31456,14.09119,13.88643,13.81197,13.66305,13.53275,13.14185,13.17908,13.08600,12.62064,12.26696,12.24835,11.96913,11.93190,11.87606
2018,Botany 33_11kV,06MAY2017,MW,11.96913,11.80160,11.55961,11.37347,11.37347,11.16871,11.22455,10.85226,10.81503,10.74057,10.68473,10.47997,10.47997,10.47997,10.29383,10.16352,10.40551,10.49859,10.44274,10.79642,10.62889,10.64750,10.92672,10.92672,10.96395,11.29901,11.22455,11.44793,11.42931,11.91329,12.22974,12.47172,12.78817,12.75094,12.76956,12.76956,12.50895,12.54618,12.56480,12.58341,12.32281,12.24835,12.34142,12.41588,12.11805,12.22974,12.22974,12.19251,12.09943,12.17389,12.21112,12.41588,12.41588,12.41588,12.41588,12.37865,12.34142,12.45311,12.43449,12.37865,12.37865,12.37865,12.56480,12.43449,,,,,,,,13.92366,13.92366,13.84920,13.64444,13.51414,13.30938,13.23492,12.82540,12.65787,12.63925,12.43449,12.34142,12.34142,12.19251,12.04359,12.04359,11.82022,12.02498,11.82022,11.85745,11.70853,11.35485,11.35485,11.35485,11.35485
2018,Botany 33_11kV,07MAY2017,MW,11.35485,11.35485,10.96395,10.75919,10.70335,10.70335,10.47997,10.25660,10.14491,9.84708,9.84708,9.80985,9.64232,9.69816,9.53063,9.53063,9.27003,9.36310,9.23280,9.02804,9.28864,9.28864,9.30726,9.54925,9.54925,9.54925,9.38171,9.47479,9.73539,9.80985,10.08907,10.33105,10.49859,10.66612,10.70335,10.70335,10.94533,11.09425,11.26178,11.37347,11.15009,11.37347,11.39208,11.24317,11.20594,11.20594,11.20594,11.46654,11.20594,11.18732,11.01979,11.15009,11.18732,11.18732,10.94533,11.15009,11.15009,11.05702,11.15009,11.05702,11.28040,11.54100,11.80160,11.80160,11.93190,12.08082,12.24835,12.41588,12.91847,13.29076,13.92366,14.18426,14.44486,14.44486,14.42625,14.18426,13.99811,14.01673,13.70028,13.70028,13.81197,13.75613,13.64444,13.58859,13.27215,13.21630,13.21630,13.03016,13.03016,12.95570,12.76956,12.28558,12.28558,12.28558,12.06220,11.91329
2018,Botany 33_11kV,08MAY2017,MW,11.96913,11.96913,11.83883,11.67130,11.24317,11.00118,10.77780,10.40551,10.40551,10.40551,10.40551,10.29383,10.10768,10.33105,10.23798,10.40551,10.40551,10.53581,10.72196,10.85226,11.09425,11.52238,11.87606,12.39727,13.47691,14.12842,14.55655,15.30113,16.10155,16.38077,16.56692,16.69722,16.80891,16.82752,16.97644,16.92059,16.82752,17.06951,16.86475,16.82752,16.71583,16.67860,16.71583,16.69722,16.69722,16.95782,16.84613,16.86475,16.88336,16.79029,16.73445,16.67860,16.41800,16.45523,16.52969,16.49246,16.43662,16.41800,16.60415,16.34354,16.32493,16.26908,16.19463,16.30631,16.17601,16.04571,16.00848,16.25047,16.41800,16.92059,17.40457,17.59072,17.25565,17.25565,17.14397,17.21842,16.84613,16.62276,16.19463,15.91541,15.91541,15.76649,15.45005,15.04053,14.57516,14.38902,13.99811,13.75613,13.70028,13.58859,13.16046,12.75094,12.82540,12.58341,12.58341,12.32281
2018,Botany 33_11kV,09MAY2017,MW,12.24835,12.24835,12.24835,11.93190,11.91329,11.72714,11.57823,11.31762,11.31762,11.20594,11.01979,10.85226,10.74057,10.74057,10.70335,10.83365,10.90810,10.90810,10.90810,11.11286,11.50377,11.57823,12.08082,12.84401,13.60721,14.66824,15.20806,15.67342,16.58553,17.23704,17.64656,17.64656,17.68379,17.66517,17.42318,17.38596,17.34873,17.23704,17.21842,17.21842,16.99505,16.93921,16.88336,17.03228,17.05089,17.05089,16.93921,16.99505,17.05089,17.14397,16.86475,16.90198,16.82752,16.65999,16.86475,16.71583,17.01367,16.51107,16.69722,16.75306,16.47384,16.56692,16.56692,16.54830,16.49246,16.65999,16.51107,16.64138,16.84613,17.29288,17.77686,17.94439,17.60933,17.60933,17.27427,17.03228,16.75306,16.69722,16.79029,16.49246,16.17601,16.00848,15.46866,15.13360,14.96607,14.51932,14.25872,14.10980,14.10980,13.92366,13.38384,12.97432,12.97432,12.86263,12.84401,12.54618
2018,Botany 33_11kV,10MAY2017,MW,12.41588,12.50895,12.32281,12.19251,12.11805,11.82022,11.70853,11.55961,11.28040,10.98256,11.13148,11.07564,11.07564,10.96395,10.74057,11.01979,11.09425,11.09425,11.09425,11.11286,11.41070,11.89467,12.45311,12.91847,14.01673,14.72408,15.46866,15.91541,16.77168,16.88336,17.16258,17.49764,17.36734,17.25565,16.93921,16.84613,16.84613,16.86475,16.77168,16.51107,16.52969,16.49246,16.47384,16.34354,16.28770,16.43662,16.39939,16.49246,16.73445,16.62276,16.62276,16.65999,16.49246,16.10155,16.51107,16.45523,16.45523,16.67860,16.51107,16.26908,16.17601,16.28770,15.98987,16.15740,16.28770,16.23186,15.85957,15.85957,16.15740,16.65999,17.16258,17.27427,17.21842,17.31150,17.19981,16.86475,16.54830,16.30631,16.23186,16.10155,15.74788,15.63619,15.59896,15.41282,15.17083,14.77992,14.55655,14.25872,14.03534,13.88643,13.43968,13.30938,13.23492,13.01154,12.89986,12.71371
