year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Branxton 66_11kV,01MAY2017,MW,3.30510,3.09142,3.21466,2.99041,2.92294,2.78767,2.69182,2.59965,2.59900,2.53339,2.50893,2.48525,2.42070,2.43521,2.50270,2.44336,2.59147,2.59796,2.61005,2.76060,2.80659,2.93465,2.98349,3.13809,3.42810,3.66445,3.96215,4.07494,3.80106,3.77584,3.72171,3.77155,3.78546,3.59338,3.40973,3.39419,3.33312,3.48000,3.30967,3.13796,3.05546,2.93257,2.94919,2.92550,2.74892,2.48009,2.09520,2.03626,2.08824,2.03072,2.26500,2.31465,2.20433,2.10805,1.99952,1.92482,1.99966,2.03280,2.16323,2.19236,2.40109,2.46654,2.61660,2.68179,2.92004,3.14238,3.40873,3.58778,3.86838,4.35258,4.78773,4.93366,4.98659,5.01911,4.97277,4.82871,4.68885,4.53266,4.38482,4.34825,4.22539,4.08157,3.99831,3.94538,3.72789,3.68840,4.05006,3.80680,3.79489,3.70618,3.68679,4.07829,5.00197,4.72678,4.93310,5.59360
2018,Branxton 66_11kV,02MAY2017,MW,5.29727,4.91358,4.63017,4.34956,3.97644,3.55122,3.40688,3.13945,2.89339,2.85593,2.70086,2.60068,2.59536,2.58084,2.56638,2.50767,2.69956,2.69546,2.70835,2.82408,2.89835,3.04537,3.21533,3.26298,3.48468,3.68243,3.80258,3.99088,3.87933,3.49947,3.34905,3.30112,3.22857,3.21000,3.12382,2.97551,2.74995,2.55324,2.40415,2.27015,2.13200,2.34071,2.02246,1.98209,1.92268,1.82277,1.80711,1.88443,1.83421,1.87139,1.74982,1.86777,1.83458,1.90310,1.91231,2.04309,2.00403,2.07308,2.16995,2.30439,2.45590,2.45245,2.56338,2.68362,2.92918,3.12444,3.29773,3.50716,3.74139,4.06320,4.52226,4.74031,4.89789,4.81902,4.73828,4.71270,4.60217,4.36072,4.26492,4.15131,3.97062,3.86719,3.88213,3.78205,3.69566,3.60165,3.82120,3.67471,3.62974,3.59286,3.51324,3.97333,4.85331,4.63339,4.90390,5.58579
2018,Branxton 66_11kV,03MAY2017,MW,5.29796,4.98201,4.56827,4.14874,3.78598,3.50686,3.23474,2.95907,2.79444,2.78495,2.67802,2.67851,2.65404,2.58899,2.44942,2.49549,2.47476,2.57424,2.60314,2.68698,2.75817,2.86331,2.89875,3.11444,3.15458,3.40769,3.58656,3.70103,3.68305,3.45147,3.48187,3.41977,3.31345,3.30578,3.15931,3.02226,2.93129,2.93128,2.93797,2.94616,2.83738,2.94306,2.96568,2.90854,2.86045,3.01678,2.97446,3.09429,3.11667,3.04201,2.86355,2.74362,2.77044,2.93477,3.03350,3.03615,3.11857,3.03295,3.01890,2.93997,2.93701,3.03478,3.23411,3.31842,3.47975,3.67875,3.96939,4.28002,4.53803,4.88194,5.18446,5.30995,5.35674,5.21020,5.19023,5.18127,5.01561,4.97243,4.74771,4.69019,4.53770,4.43679,4.20142,4.13973,3.99504,3.93808,4.27423,4.09385,4.14019,4.06280,3.96430,4.37452,5.17256,5.01671,5.23201,6.19565
2018,Branxton 66_11kV,04MAY2017,MW,5.78196,5.28934,4.92878,4.61934,4.15279,3.78702,3.59824,3.34257,3.16944,3.11116,2.89918,2.83924,2.69472,2.69805,2.75170,2.68710,2.68236,2.68504,2.78284,2.86067,2.94904,3.02697,3.13268,3.33252,3.52659,3.76707,3.98609,3.09088,3.68773,3.41508,3.41508,3.20645,3.20505,3.04779,3.03054,2.81743,2.55364,2.37522,2.45560,2.37747,2.29278,2.34179,2.26590,2.18550,2.45854,2.43051,2.40361,2.60784,2.65571,2.65348,2.56874,2.47879,2.51844,2.48066,2.48353,2.52625,2.38036,2.57805,2.67379,2.73328,2.81580,2.83731,2.94154,3.04310,3.22544,2.82680,3.02800,3.85888,4.04850,4.44917,4.90731,5.07061,5.10989,5.19721,5.27494,5.17640,4.91954,4.83126,4.79192,4.71434,4.63401,4.45435,4.33920,4.25487,4.17560,4.08276,4.45314,4.23755,4.16884,4.14899,4.00076,4.51182,5.31427,5.27364,5.41403,6.20458
2018,Branxton 66_11kV,05MAY2017,MW,5.86735,5.45767,5.12563,4.63071,4.24747,3.99529,3.62615,3.40470,3.24775,3.06921,3.03674,2.86945,2.88243,2.86610,2.92318,2.87444,2.87802,2.87440,2.94470,2.96152,3.06135,3.23411,3.31780,3.52448,3.70172,3.98313,4.32863,4.46979,4.31739,3.98801,3.96008,3.96682,3.80529,3.64318,3.34172,3.18904,2.94462,2.73938,2.56809,2.48206,2.36410,2.21396,2.19251,2.10804,2.08872,2.07997,2.06462,1.94145,2.05828,2.01618,2.00939,1.99027,2.00122,2.07374,2.08060,2.11314,2.17466,2.19050,2.26775,2.40313,2.53618,2.50193,2.70952,2.84421,3.02074,3.15953,3.40795,3.68008,3.93450,4.18790,4.59133,4.74130,4.88175,4.84829,4.89283,4.80904,4.64282,4.58980,4.53716,4.47000,4.42296,4.25962,4.14700,4.08370,4.09343,4.02502,4.26709,4.07332,4.07218,4.08452,4.04789,4.56817,5.54821,5.23096,5.53518,6.14872
2018,Branxton 66_11kV,06MAY2017,MW,5.84945,5.38918,5.02686,4.63505,4.34365,4.05071,3.69281,3.50759,3.24167,3.08596,3.02683,2.89878,2.86823,2.92714,2.87306,2.89542,2.84420,2.81479,2.83795,2.81517,2.86900,2.93733,2.96127,3.05158,3.22078,3.32386,3.54927,3.85599,3.98970,4.15598,4.09652,4.25012,4.43935,4.16264,4.18254,4.50916,4.45174,3.97537,3.59994,3.66974,3.41252,3.24308,2.94706,2.85083,2.72235,2.84462,2.68652,2.55539,2.53386,2.47877,2.47365,2.47606,2.46584,2.56504,2.48114,2.52203,2.48290,2.56886,2.64751,2.76081,2.85554,3.08515,3.04898,3.12963,3.28763,3.42010,3.69406,3.87984,4.16012,4.63174,5.00346,5.16713,5.26864,5.10320,5.01645,5.00645,4.90013,4.81111,4.81393,4.70124,4.53392,4.38558,4.30838,4.20027,4.13419,3.97252,4.07263,3.90790,3.88146,3.83908,3.69415,3.52353,4.07941,3.96127,3.77695,3.60616
2018,Branxton 66_11kV,07MAY2017,MW,3.43085,3.33929,3.32461,3.22366,3.15727,2.95924,2.86111,2.76104,2.68248,2.70345,2.74050,2.62238,2.65588,2.61710,2.65389,2.68721,2.60970,2.60935,2.67155,2.68525,2.69404,2.75121,2.63204,2.83059,2.87360,2.87378,2.98668,3.20679,3.18551,3.38823,3.43481,3.45898,3.66682,3.61535,3.60032,3.53607,3.65773,3.61865,3.40059,3.32387,3.22849,3.19685,2.96971,2.84634,2.73841,2.72360,2.63630,2.57026,2.58955,2.61618,2.49590,2.53425,2.55785,2.56294,2.65461,2.66578,2.82484,2.91924,2.86297,2.92481,3.18368,3.32021,3.33762,3.66489,3.77852,3.95222,4.17659,4.52612,4.99226,5.38649,5.76787,6.18956,6.25360,6.23168,6.18916,6.05109,5.93858,5.67532,5.54731,5.31479,5.19844,5.08768,5.01519,4.95915,4.64802,4.51516,4.44037,4.16659,4.09650,3.96737,3.85128,3.68607,4.10285,4.03449,3.82038,3.77253
2018,Branxton 66_11kV,08MAY2017,MW,3.59427,3.43076,3.50496,3.39683,3.15520,3.05187,2.95321,2.87236,2.92686,2.79911,2.84134,2.85573,2.71938,2.77004,2.77831,2.76440,2.85286,2.86773,3.05426,3.14126,3.28984,3.32615,3.51820,3.70282,3.86917,4.22456,4.43502,4.70596,4.56285,4.53314,4.50729,4.32696,4.25273,3.97915,3.85003,3.67687,3.48578,3.12029,3.02366,2.87216,2.65622,2.47828,2.35101,2.21164,2.27462,2.25771,2.19590,2.25218,2.12600,2.05521,1.93272,2.01683,2.08575,2.12462,2.28401,2.37915,2.46706,2.52270,2.49786,2.55673,2.58718,2.82479,2.86944,3.03019,3.21267,3.40002,3.67471,3.96107,4.34589,4.92495,5.47032,5.58460,5.73590,5.64218,5.51238,5.44466,5.37954,5.11295,4.91748,4.90357,4.69152,4.62365,4.53360,4.43826,4.26729,4.15940,4.42404,4.07415,4.06618,3.90390,3.88312,4.36276,5.26274,4.94349,5.25887,5.96877
2018,Branxton 66_11kV,09MAY2017,MW,5.76527,5.39087,5.17111,4.64952,4.34210,3.98237,3.61728,3.43294,3.24301,3.12809,2.98456,2.92897,2.90040,2.86794,2.84383,2.81316,2.86255,2.86608,2.97263,3.11221,3.17287,3.30890,3.35169,3.65109,3.91214,4.06499,4.40503,4.62365,4.43731,4.15549,4.15093,3.96716,3.77923,3.50939,3.21002,3.01340,2.87592,2.73516,2.55514,2.46576,2.45669,2.30473,2.28052,2.24746,2.11385,2.16188,2.18786,2.16392,2.10119,2.10735,2.16850,1.99996,2.10034,2.19696,2.26679,2.45117,2.38299,2.43424,2.37488,2.40576,2.55449,2.65450,2.90905,3.01622,3.14441,3.37944,3.60921,3.86917,4.24909,4.80984,5.26954,5.47021,5.47214,5.47175,5.48521,5.38006,5.27607,5.16821,5.08578,5.03245,4.90106,4.81516,4.69761,4.54615,4.44681,4.32360,4.61954,4.34237,4.25038,4.17675,4.13364,4.54778,5.41522,5.27592,5.55093,6.31954
2018,Branxton 66_11kV,10MAY2017,MW,5.85263,5.41388,5.11329,4.78494,4.36266,4.07358,3.80684,3.60513,3.34624,3.22739,3.13242,3.05361,3.03243,2.88955,2.96389,2.95709,3.02829,3.13052,3.16825,3.22548,3.42527,3.57429,3.71160,3.85294,4.06615,4.37422,4.70692,4.98830,4.83958,4.51958,4.34358,4.24476,4.13720,3.87824,3.64925,3.33594,3.19296,3.02038,2.84333,2.66429,2.61716,2.45437,2.39890,2.35533,2.33335,2.27399,2.18510,2.18600,2.18120,2.15746,2.28069,2.39889,2.35251,2.12388,2.17725,2.25551,2.26698,2.22868,2.41565,2.40902,2.56083,2.64588,2.83987,3.01222,3.13195,3.37761,3.50288,3.79574,4.30661,4.73758,5.28029,5.39949,5.63454,5.57704,5.47444,5.45223,5.36562,5.19470,5.08379,5.03133,4.89005,4.73179,4.72070,4.70431,4.52686,4.35519,4.62452,4.43449,4.34374,4.27862,4.16179,4.60366,5.47300,5.32583,5.56934,6.19786
