year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Broadmeadow 33_11kV,01MAY2015,MW,4.32310,4.08944,4.00428,4.04989,3.98422,3.81856,3.76566,3.77969,3.62042,3.52256,3.43899,3.38328,3.44377,3.38683,3.31836,3.34948,3.42034,3.55723,3.56382,3.65517,3.81961,4.09372,4.25057,4.50333,4.63346,4.77329,5.07502,5.25315,5.85100,6.21673,6.49780,6.74321,6.91432,6.87831,6.72034,6.64515,6.81646,6.77635,6.76248,6.76559,6.82869,6.75284,6.71931,6.64014,6.52331,6.63156,6.41659,6.53916,6.54928,6.38560,6.37086,6.27469,6.15162,6.41287,6.23474,6.34039,6.29453,6.36653,6.26916,6.25567,6.20795,6.21305,6.12094,6.16054,6.06533,6.08226,6.14661,6.07500,5.92042,6.08878,6.20742,6.10475,5.97282,5.97867,5.95445,5.82265,5.76316,5.71415,5.58202,5.50251,5.31559,5.18215,5.08521,4.98270,4.79792,4.71888,4.78452,4.76910,5.24220,5.05824,4.89347,4.61416,4.68997,4.53248,4.52137,4.48902
2016,Broadmeadow 33_11kV,02MAY2015,MW,4.38140,4.22221,4.04864,3.99719,3.82259,3.72176,3.61751,3.47696,3.54226,3.50188,3.40786,3.37765,3.33178,3.23130,3.24143,3.29191,3.31869,3.31308,3.27814,3.36047,3.39448,3.40623,3.61926,3.65219,3.78754,3.82253,3.91854,3.97625,4.20077,4.36553,4.34604,4.43984,4.50122,4.73085,4.80427,5.10833,5.12225,4.99288,5.02702,5.08844,5.09450,5.16828,5.11549,5.08398,5.17023,5.22029,4.98269,4.64975,4.64849,4.79420,4.64497,4.70438,4.74935,4.67275,4.63253,4.66331,4.75056,4.65133,4.59699,4.59060,4.53786,4.65087,4.70213,4.67415,4.79747,4.88370,4.87461,4.76500,4.98538,5.20519,5.21076,5.15461,5.14406,5.12414,4.99977,4.95920,4.88790,4.97205,4.78696,4.67646,4.59821,4.47720,4.41078,4.34937,4.33172,4.25082,4.71173,4.46812,4.29636,4.17218,4.28894,4.12644,4.35759,4.21123,4.01973,3.85391
2016,Broadmeadow 33_11kV,03MAY2015,MW,3.78860,3.57606,3.59424,3.70770,3.47530,3.32310,3.27610,3.19938,3.21807,3.18146,3.16226,3.13170,3.09939,3.07187,3.11420,3.07579,3.11034,3.15408,3.13471,3.11699,3.14798,3.19629,3.18399,3.23318,3.37138,3.49575,3.50294,3.57119,3.69744,3.79422,3.75212,3.93032,4.07345,4.15743,4.33514,4.35152,4.34709,4.49278,4.53233,4.52768,4.56561,4.56462,4.58780,4.59687,4.66959,4.74694,4.58878,4.62361,4.59111,4.60613,4.57196,4.65631,4.66690,4.63567,4.63417,4.55500,4.49032,4.56672,4.49718,4.40888,4.51387,4.53557,4.47515,4.53476,4.61594,4.75444,4.85937,4.82269,4.97332,5.15641,5.34189,5.33993,5.35292,5.34331,5.27050,5.19854,5.14315,5.19055,4.97066,4.89989,4.76624,4.68006,4.59657,4.52487,4.48266,4.34735,4.77332,4.60052,4.35408,4.21403,4.12553,3.96748,4.22423,4.08595,3.84023,3.80886
2016,Broadmeadow 33_11kV,04MAY2015,MW,3.72722,3.55081,3.51804,3.59557,3.45553,3.27632,3.18085,3.23687,3.09688,3.08648,3.08397,3.11816,3.10100,3.09216,3.08461,3.07446,3.11107,3.09253,3.23314,3.28158,3.47723,3.63918,3.91501,4.07738,4.26297,4.53963,4.83363,5.04847,5.41233,5.77360,5.91839,6.14315,6.32041,6.42960,6.38373,6.32638,6.44616,6.38483,6.32570,6.40609,6.53008,6.57393,6.59084,6.59789,6.66458,6.59891,6.56749,6.59405,6.40824,6.45577,6.55638,6.62973,6.64098,6.64868,6.73961,6.63508,6.57034,6.60874,6.55251,6.59633,6.50233,6.41686,6.33652,6.31930,6.23675,6.22845,6.28457,6.32103,6.31730,6.41153,6.42438,6.26822,6.10661,5.99811,5.92770,5.88090,5.81913,5.75504,5.66524,5.49301,5.30542,5.30952,5.10839,5.01516,4.89520,4.84852,4.78692,4.79889,5.28709,5.13524,4.89489,4.70676,4.63614,4.43491,4.46769,4.40471
2016,Broadmeadow 33_11kV,05MAY2015,MW,4.32400,4.13590,4.10301,4.12054,4.01031,3.82082,3.75538,3.70980,3.50973,3.46573,3.37579,3.32569,3.32025,3.31348,3.34095,3.30676,3.27800,3.34093,3.36930,3.39557,3.61602,3.74019,3.89253,4.10759,4.39369,4.68630,4.85836,5.18673,5.45577,5.60746,5.81940,5.92216,6.16871,6.08254,6.38890,6.22566,6.19200,6.13694,6.16557,6.17593,6.28450,6.29879,6.29899,6.29928,6.33450,6.33047,6.37689,6.48400,6.40490,6.39288,6.41007,6.55637,6.76140,6.74570,6.71917,6.66557,6.73515,6.77942,6.81309,6.77625,6.66602,6.54713,6.59887,6.56760,6.40851,6.31165,6.25614,6.13949,6.13573,6.17513,6.23018,6.08580,6.07362,6.10090,6.00312,5.89981,5.79405,5.83098,5.75573,5.61498,5.45126,5.28173,5.21945,5.12694,4.96265,4.85429,4.85355,4.76651,5.24485,5.05425,4.79771,4.51601,4.52936,4.36519,4.33772,4.38567
2016,Broadmeadow 33_11kV,06MAY2015,MW,4.34365,4.12363,3.95521,3.96363,3.83260,3.66790,3.54768,3.55807,3.49336,3.40547,3.36436,3.28731,3.25685,3.25053,3.25481,3.33251,3.37575,3.39452,3.45039,3.55268,3.75118,3.91095,4.06578,4.25078,4.53213,4.75770,4.96202,5.09116,5.49010,5.67279,5.83149,5.97492,6.05316,6.08716,5.97611,5.98992,5.99881,5.95985,5.90260,5.92989,5.94355,5.90578,6.09270,6.03329,6.11391,6.11124,6.13502,6.17251,6.16481,6.11450,6.27696,6.31120,6.24291,6.30490,6.19766,6.25468,6.21143,6.14027,6.24194,6.04132,6.11282,6.08268,6.06876,6.00851,6.02838,6.04124,5.84223,5.90520,5.78553,6.04829,6.08304,6.00301,5.92142,5.94721,5.87182,5.82577,5.70408,5.76328,5.55102,5.49166,5.30850,5.22701,5.14621,5.07081,4.90579,4.81029,4.92767,4.80300,5.26169,5.06528,4.86672,4.58980,4.63107,4.52154,4.45264,4.46439
2016,Broadmeadow 33_11kV,07MAY2015,MW,4.39992,4.24252,4.08080,4.12538,4.08837,3.84953,3.74037,3.78131,3.61206,3.51899,3.46317,3.41327,3.45061,3.42653,3.37395,3.37103,3.45216,3.49370,3.53587,3.70925,3.91132,4.10513,4.32980,4.53275,4.68398,5.05005,5.38324,5.57498,5.93997,6.24056,6.43461,6.38203,6.56412,6.61076,6.43618,6.28339,6.33563,6.45982,6.26713,6.26226,6.23581,6.29421,6.20905,6.20596,6.23751,6.12839,6.06968,6.09604,5.93744,5.96584,6.12647,6.07112,6.17029,6.16039,6.13425,6.05863,6.07781,5.98861,6.00565,5.94098,5.87990,6.02788,5.89970,5.75806,5.83789,5.88124,5.81706,5.83273,5.82699,5.96954,6.15503,6.13246,6.06528,6.08838,6.01781,6.04233,5.90125,5.93552,5.83755,5.76818,5.61972,5.49313,5.36155,5.30592,5.21746,5.09162,4.98706,4.88416,5.31908,5.20056,4.94152,4.70598,4.69125,4.53809,4.50768,4.49545
2016,Broadmeadow 33_11kV,08MAY2015,MW,4.39336,4.23873,4.07285,4.06983,4.05759,3.84477,3.79811,3.79580,3.64024,3.56797,3.45159,3.43842,3.44471,3.38622,3.36570,3.44675,3.51089,3.54797,3.67862,3.76294,3.97980,4.24642,4.47991,4.63178,4.96001,5.14819,5.45145,5.69825,6.10358,6.43515,6.65639,6.86372,6.80326,6.69578,6.51225,6.41065,6.28917,6.40778,6.34348,6.35966,6.44341,6.29774,6.28797,6.33252,6.41801,6.32155,6.13528,6.26800,6.15883,6.01500,6.16442,6.10899,6.08071,6.05622,5.99996,6.01925,6.10141,6.11730,6.06944,5.98910,5.94575,5.82467,5.82333,5.85707,5.81056,5.74473,5.60690,5.74824,5.76492,6.05273,6.22876,6.11016,6.09005,6.05585,5.95724,5.94972,5.88133,5.93347,5.76997,5.74232,5.51566,5.32963,5.25025,5.20693,5.09829,5.02435,4.98928,4.93406,5.44275,5.20684,4.87701,4.75804,4.82670,4.66732,4.57538,4.47148
2016,Broadmeadow 33_11kV,09MAY2015,MW,4.45048,4.28726,4.17134,4.13006,4.00123,3.90577,3.76172,3.61178,3.65817,3.57706,3.54503,3.45542,3.43699,3.37921,3.38558,3.35997,3.40979,3.41324,3.41304,3.49467,3.60223,3.62968,3.69121,3.84772,3.89981,3.98284,4.09621,4.24523,4.50170,4.68575,4.81249,4.91923,4.90281,4.95319,4.97421,4.96099,4.90590,4.84039,4.84524,4.73096,4.66253,4.67784,4.61863,4.54376,4.42349,4.44852,4.33677,4.21752,4.07441,4.08987,4.06594,4.05042,4.04170,3.94049,3.99703,3.98664,3.93107,3.87917,3.91359,3.98690,4.05725,4.08138,4.16250,4.19360,4.31493,4.43890,4.54657,4.69642,4.85601,5.06170,5.28156,5.22127,5.30172,5.27873,5.26427,5.18293,5.11798,5.17013,5.11454,4.98355,4.90389,4.81073,4.79613,4.72203,4.66086,4.53661,5.02888,4.83729,4.59120,4.46745,4.50962,4.32338,4.58527,4.37719,4.11868,4.00666
2016,Broadmeadow 33_11kV,10MAY2015,MW,3.96142,3.75869,3.76281,3.84807,3.63956,3.47745,3.43703,3.32227,3.30374,3.25268,3.21908,3.22288,3.25170,3.24271,3.23785,3.24974,3.22743,3.27873,3.28076,3.31233,3.34718,3.33710,3.41609,3.39006,3.48116,3.61583,3.76161,3.82863,4.02694,4.09638,4.26573,4.34767,4.43471,4.54688,4.52334,4.45446,4.41587,4.46617,4.38967,4.39368,4.32371,4.28952,4.16742,4.15407,4.21008,4.07032,4.04538,4.01198,3.97186,3.89584,3.83761,3.69603,3.77570,3.78228,3.69495,3.89555,3.83344,3.77294,3.65726,3.77505,3.80604,3.97431,4.03108,4.06527,4.20175,4.41039,4.53889,4.54480,4.70663,4.92636,5.14820,5.15323,5.18143,5.18995,5.23985,5.15708,5.10579,5.15614,5.09934,4.99519,4.91242,4.81237,4.69916,4.61298,4.61667,4.49911,4.92519,4.71163,4.44536,4.30432,4.31353,4.07563,4.32429,4.11073,3.84452,3.83553
