year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Brookvale 33_11kV,01MAY2015,MW,13.68191,13.19858,12.54795,12.56654,13.12422,12.88256,12.51077,12.10180,11.80437,11.71142,11.33963,11.33963,11.33963,11.33963,11.33963,11.33963,11.33963,11.33963,11.33963,11.46975,11.97167,12.67807,13.51460,14.27678,15.63381,17.28828,18.96134,20.29979,21.73119,23.27412,24.03629,25.15166,26.17409,27.12216,27.32664,28.03304,28.60932,29.07406,29.52021,29.42726,30.13366,30.46827,30.65417,30.31956,30.02213,29.78046,29.76187,30.07789,29.76187,29.07406,29.14842,29.63174,29.37149,28.70227,28.25612,28.62791,28.57214,28.55355,28.59073,28.64650,28.31189,28.16317,27.28946,27.45677,27.06639,26.84331,26.58306,26.58306,26.08114,26.08114,25.70935,25.44910,24.31513,23.49719,22.95810,22.66066,22.17733,21.76836,21.35939,20.78312,20.33697,20.35556,20.48569,19.63057,19.11006,18.51519,18.16199,17.62289,17.62289,16.99085,16.43316,15.81971,15.59663,14.83446,14.61139,14.40690
2016,Brookvale 33_11kV,02MAY2015,MW,14.03511,13.34730,12.91974,13.06845,13.38448,12.95692,12.77102,12.47359,12.04603,12.02744,11.56270,11.45116,11.45116,11.45116,11.33963,10.93066,10.93066,10.93066,10.93066,11.24668,11.43257,11.43257,11.43257,11.95308,12.67807,13.34730,13.79345,14.59280,15.16907,16.15432,17.00944,17.64148,18.94275,19.63057,20.59722,21.89849,23.12540,23.40424,23.57155,24.09206,24.51962,24.76128,24.81705,24.59398,24.40808,24.48244,24.83564,24.68692,24.31513,23.99911,23.94334,23.34848,23.81322,23.60873,23.18117,23.47860,23.66450,23.99911,24.12924,23.53437,23.14399,23.05104,23.05104,22.86515,23.06963,22.62348,22.82797,23.12540,23.12540,23.12540,22.73502,22.66066,22.08439,21.28504,21.15491,20.76453,20.35556,19.57480,19.38890,18.97993,18.60814,18.47801,18.70109,18.42225,18.12481,17.38123,17.36264,16.80495,16.87931,16.99085,16.22868,15.61522,15.59663,14.85305,14.66716,14.62998
2016,Brookvale 33_11kV,03MAY2015,MW,14.18383,13.53319,12.91974,12.65948,13.21717,12.91974,12.69666,12.28769,12.13898,11.78578,11.39539,11.39539,11.39539,11.39539,11.39539,11.00501,10.91207,10.91207,10.91207,10.91207,11.07937,11.35822,11.17232,11.41398,11.97167,12.45500,12.91974,13.23576,13.40307,13.99793,14.77869,15.44792,16.07996,16.76778,17.12098,18.06904,19.01711,19.81646,20.74594,21.28504,22.04721,22.90233,22.88374,22.67925,23.06963,22.80938,22.88374,23.03245,23.03245,23.03245,22.92092,23.21835,22.71643,22.34464,22.19592,22.10298,22.10298,22.10298,22.01003,21.76836,21.65683,21.86131,22.21451,22.58630,22.19592,22.60489,22.58630,23.10681,22.45618,22.19592,22.19592,22.19592,21.74977,21.17350,20.85748,20.67158,20.41133,19.70492,19.11006,18.81263,18.66391,18.47801,18.86839,17.95751,17.49277,16.86072,16.80495,16.07996,16.26586,15.81971,15.42933,14.94600,14.61139,13.97934,13.58896,13.08704
2016,Brookvale 33_11kV,04MAY2015,MW,12.65948,12.39923,11.99026,11.87872,12.19475,12.02744,11.71142,11.71142,11.41398,11.28386,11.28386,11.26527,10.74476,10.74476,10.74476,10.74476,10.74476,11.17232,11.28386,11.28386,11.65565,12.25051,13.06845,14.25819,15.55945,16.95367,18.49660,20.00236,21.26645,22.71643,23.90616,24.79846,25.78371,26.71319,27.04780,27.73561,28.05163,28.16317,28.99970,29.29713,29.35290,29.25995,29.57598,29.63174,29.46444,29.65033,29.96636,29.61316,29.85482,30.05930,29.87341,29.81764,29.37149,29.37149,29.53880,29.85482,29.74328,29.66892,29.27854,28.94393,28.90675,28.86957,28.46060,28.46060,28.10740,28.21894,27.73561,27.66125,27.04780,26.84331,26.63883,25.67217,24.81705,24.22219,23.72027,23.29271,22.53054,22.02862,21.74977,21.24786,20.74594,20.82030,21.00619,20.15107,19.07288,18.62673,18.40366,17.77161,17.52995,16.76778,16.19150,15.41074,15.20625,14.36972,14.07229,13.97934
2016,Brookvale 33_11kV,05MAY2015,MW,13.55178,12.88256,12.34346,12.17616,12.69666,12.62231,12.06462,11.76719,11.43257,11.37681,11.00501,11.00501,11.00501,11.00501,11.00501,11.00501,11.00501,11.00501,11.00501,11.30245,11.91590,12.25051,13.29153,14.40690,15.81971,17.17675,18.44083,19.79787,21.06196,22.28887,23.66450,24.64974,25.78371,26.24845,26.73177,27.15933,27.80997,28.05163,29.05547,29.74328,29.61316,29.89200,29.76187,29.96636,30.07789,29.91059,30.35674,30.33815,30.37533,30.33815,29.98495,30.00354,30.00354,30.22661,30.30097,30.39392,30.63558,30.74712,30.61699,30.24520,30.05930,29.78046,29.76187,29.55739,28.99970,28.73945,28.40483,27.97727,27.49395,27.06639,26.13691,25.78371,25.00295,24.12924,23.55296,23.38566,22.17733,21.60106,21.21068,20.78312,20.07672,20.02095,20.48569,19.53762,18.86839,18.16199,17.92033,17.25110,16.80495,16.41457,15.72676,15.09472,14.70433,14.03511,13.64473,13.27294
2016,Brookvale 33_11kV,06MAY2015,MW,13.03128,12.58513,12.00885,12.15757,12.49218,11.91590,11.86013,11.74860,11.73001,11.33963,11.30245,11.20950,11.20950,11.11655,11.04219,10.78194,10.78194,10.78194,10.87489,11.30245,11.74860,12.34346,13.32871,14.46267,15.65240,17.00944,18.40366,19.59339,21.00619,21.95426,22.84656,23.64591,24.66833,25.69076,26.04396,26.49011,27.27087,27.54971,27.86574,28.10740,28.29330,28.40483,28.14458,28.49778,28.20035,28.42342,28.55355,28.14458,28.53496,28.46060,28.27471,28.44201,28.59073,28.60932,28.81380,28.62791,28.86957,28.79521,28.53496,28.53496,28.07022,27.95868,27.95868,27.95868,27.58689,27.19651,26.88049,26.62024,26.06255,25.72794,25.43051,25.20743,24.48244,23.92475,23.34848,23.06963,22.40041,22.28887,21.67542,21.28504,20.89466,20.95042,21.08055,20.29979,19.55621,18.60814,18.16199,17.71584,17.32546,16.63765,16.02419,15.46651,15.28061,14.38831,14.20242,13.90498
2016,Brookvale 33_11kV,07MAY2015,MW,13.66332,12.99410,12.49218,12.32487,12.71525,12.64089,12.26910,12.25051,11.74860,11.52552,11.17232,11.17232,11.17232,11.17232,11.17232,11.17232,11.17232,11.17232,11.50693,11.69283,12.08321,12.62231,13.45884,14.61139,16.07996,17.13957,18.96134,20.48569,21.50811,23.03245,24.09206,24.66833,25.83948,26.34139,26.78754,27.28946,27.60548,28.16317,28.42342,28.44201,28.40483,28.46060,28.36766,28.20035,28.31189,28.25612,28.25612,28.33048,28.51637,28.16317,28.05163,27.88433,28.42342,28.59073,28.42342,28.42342,28.42342,28.34907,27.90292,27.95868,28.10740,27.84715,27.53113,27.25228,26.95485,26.84331,26.49011,26.60165,26.21127,26.43434,26.67601,27.12216,27.27087,26.95485,26.67601,26.32280,25.87666,25.54204,25.30038,25.04013,24.61257,24.22219,24.59398,23.59014,22.14016,20.46710,19.59339,18.64532,18.12481,17.88315,16.73060,16.22868,15.81971,15.05754,14.92741,14.25819
2016,Brookvale 33_11kV,08MAY2015,MW,13.88639,13.25435,13.06845,12.97551,13.40307,12.91974,12.56654,12.43641,11.99026,11.86013,11.86013,11.37681,11.33963,11.33963,11.33963,11.33963,11.33963,11.33963,11.48834,11.80437,12.15757,12.73384,13.60755,14.76010,16.17291,17.60430,19.05429,20.56004,22.04721,23.42283,24.91000,26.09973,26.52729,26.86190,27.25228,27.56830,27.97727,28.73945,28.36766,28.59073,28.47919,28.64650,28.47919,28.60932,28.68368,28.23753,28.08881,28.34907,28.05163,28.16317,28.01445,27.53113,27.54971,27.17792,27.06639,27.30805,27.43818,27.34523,27.19651,26.91767,26.91767,26.63883,26.62024,26.30421,26.17409,25.74653,25.57922,25.57922,25.11448,25.04013,25.46769,25.48627,24.83564,24.11065,23.36707,22.93951,22.38182,21.63824,21.35939,21.04337,20.54145,20.50427,20.87607,20.03954,19.51903,18.88698,18.47801,17.95751,17.49277,17.34405,16.73060,16.41457,16.15432,15.33638,15.05754,14.68575
2016,Brookvale 33_11kV,09MAY2015,MW,14.12806,13.44025,12.99410,12.93833,13.31012,12.78961,12.43641,12.39923,12.39923,11.78578,11.54411,11.26527,11.26527,11.26527,11.26527,11.26527,10.93066,11.19091,10.89348,10.96784,11.13514,11.30245,11.69283,11.89731,12.80820,13.32871,13.90498,15.09472,15.54086,16.45175,17.47418,18.21776,19.07288,19.87223,20.63440,21.67542,22.23310,22.34464,22.60489,22.60489,22.60489,22.45618,22.34464,22.38182,22.43759,22.12157,22.25169,22.15875,21.84272,21.78695,21.87990,21.58247,21.58247,21.47093,21.61965,21.28504,21.26645,21.09914,20.74594,21.08055,20.83889,20.83889,20.87607,20.91325,20.70876,20.93183,21.24786,21.28504,20.93183,21.48952,22.04721,22.04721,21.54529,21.06196,20.56004,20.37415,19.89082,19.38890,18.88698,18.51519,18.51519,18.34789,18.66391,17.97610,17.52995,16.91649,16.65624,16.39598,16.52611,16.34022,15.70817,15.26202,15.26202,14.85305,14.51844,13.92357
2016,Brookvale 33_11kV,10MAY2015,MW,13.68191,13.17999,12.47359,12.64089,13.21717,12.80820,12.45500,12.32487,11.86013,11.43257,11.43257,11.35822,11.33963,11.48834,11.22809,11.00501,10.74476,10.61463,10.93066,10.57745,11.04219,11.07937,11.07937,11.19091,11.73001,12.19475,12.73384,13.10563,13.51460,14.31395,14.76010,15.72676,16.04278,16.58188,16.84213,17.19533,17.93892,18.25494,18.86839,19.74210,19.98377,19.92800,19.92800,20.13248,20.02095,20.02095,20.02095,20.54145,20.54145,20.48569,20.54145,20.44851,20.00236,19.50044,19.66775,19.48185,19.48185,19.48185,19.70492,19.35172,19.12865,19.53762,19.94659,20.07672,20.54145,20.67158,21.08055,21.45234,21.22927,21.34080,21.67542,21.67542,21.22927,20.76453,20.22543,20.15107,19.57480,19.09147,18.79404,18.79404,18.51519,18.42225,18.71968,18.19917,17.52995,17.19533,16.87931,16.17291,16.00560,15.68958,15.07613,14.33254,14.35113,13.51460,13.51460,12.91974
