year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Burwood 132_11kV,01MAY2015,MW,32.92869,32.26458,30.95481,30.45673,30.05089,28.92559,28.05856,27.39446,26.82258,25.86332,25.69729,25.23610,25.07008,24.66423,24.60889,24.22149,24.40597,24.51665,24.36907,24.77492,25.23610,26.01090,26.45364,27.39446,28.98094,30.69655,32.48595,33.75882,36.48905,38.37068,39.21927,40.17853,40.78730,40.23388,40.80575,41.24849,41.72812,41.39607,41.04556,40.91643,41.00867,41.19314,41.87570,41.48830,41.11935,41.41451,41.61744,41.21159,41.11935,40.80575,40.69506,40.60283,40.16009,40.43680,40.14164,39.84648,40.01251,40.49214,40.47369,41.10091,41.04556,40.82419,40.76885,41.28538,42.00483,42.26310,42.65049,43.09323,43.27771,44.31076,44.90108,45.10400,44.69816,43.94181,43.53597,42.74273,42.39223,41.98638,41.94949,41.54365,40.89798,40.52904,39.92027,39.05324,38.72119,38.27845,37.89105,37.24539,37.26384,37.06092,36.28612,35.38220,34.79188,34.29380,34.20156,33.44522
2016,Burwood 132_11kV,02MAY2015,MW,32.83645,32.55974,31.19463,30.75189,30.36449,28.99938,28.16925,27.00706,26.52743,25.60505,25.16231,25.03318,24.55355,24.16615,24.16615,24.16615,23.74186,23.48360,23.57583,23.57583,23.57583,23.85255,23.83410,24.49821,25.27300,25.93711,26.49053,26.73035,28.07701,28.74112,29.79262,30.73344,32.43061,33.55590,34.44138,35.32686,35.73270,36.48905,37.06092,37.68813,37.83571,37.89105,38.27845,38.18621,38.79498,38.90566,38.86877,37.90950,38.03863,38.16776,38.38913,38.11242,37.90950,37.30073,37.83571,38.07553,37.83571,37.06092,37.15315,37.85416,39.03479,38.92411,39.27461,38.46292,38.05708,38.26000,38.26000,38.75808,39.99406,40.97177,41.58054,41.83880,41.11935,40.45525,40.43680,40.10474,39.47753,39.34840,38.96100,38.38913,38.24155,37.79881,37.11626,36.71041,36.30457,36.04631,36.12010,35.45599,35.45599,35.32686,35.14238,34.14622,33.42677,33.22385,33.24230,32.98403
2016,Burwood 132_11kV,03MAY2015,MW,32.63353,32.17234,30.69655,30.29070,29.90331,28.77801,27.78185,26.89637,26.30606,25.66040,25.25455,24.57200,24.18460,23.57583,23.55739,23.55739,23.63118,23.13310,23.13310,23.13310,23.13310,23.59428,23.77876,24.18460,24.22149,24.71958,25.58661,25.71574,26.61966,27.81875,28.24304,28.99938,30.23536,31.21308,32.31992,33.05782,34.25690,35.01325,35.82494,36.41526,36.93178,37.55900,37.81726,38.07553,38.07553,37.87260,38.00174,37.68813,37.35608,37.76192,37.79881,37.41142,36.85799,36.72886,36.98713,36.56284,36.34147,35.95407,36.39681,36.39681,36.13854,36.02786,36.23078,36.67352,37.22694,37.17160,37.68813,38.85032,39.68045,40.12319,41.24849,41.89415,41.39607,40.73196,40.56593,40.14164,39.68045,39.45908,38.86877,38.79498,38.07553,37.57744,37.52210,37.28229,36.95023,36.34147,35.82494,35.12393,34.73654,34.22001,33.38987,32.57819,31.50824,31.50824,31.30531,30.67810
2016,Burwood 132_11kV,04MAY2015,MW,30.78879,30.14312,28.83336,28.57509,28.20614,27.19153,26.54587,25.73419,24.97784,24.73802,24.20305,23.85255,23.50204,22.80104,22.83794,22.85638,22.85638,22.85638,22.85638,23.09620,23.74186,24.38752,25.21766,25.75263,27.39446,29.25765,30.71500,31.91408,33.66659,35.71425,37.17160,37.87260,38.44447,38.90566,38.85032,39.09014,39.51443,40.32611,40.82419,41.28538,41.06401,40.67662,40.49214,40.97177,41.08246,41.41451,41.37762,41.58054,41.34072,41.56209,41.41451,41.15625,41.06401,41.28538,41.74657,40.93488,40.99022,41.28538,41.10091,40.91643,40.54748,40.95333,41.56209,41.72812,41.91259,42.17086,42.29999,42.68739,43.07478,43.55442,44.25542,44.73505,44.20008,43.48063,43.35149,43.18547,42.53981,42.00483,41.56209,41.11935,40.87954,40.14164,39.20082,38.99790,38.42603,37.63279,37.31918,36.37836,36.52594,36.41526,35.17928,33.94330,32.91024,32.50440,32.44906,31.63737
2016,Burwood 132_11kV,05MAY2015,MW,31.37910,30.99171,29.75573,29.05473,28.92559,27.56048,26.95172,26.17692,25.45747,25.19921,24.86716,24.44286,24.40597,23.94478,23.81565,23.46515,23.28068,23.35446,23.55739,23.87099,24.38752,25.16231,25.67884,26.39829,27.92943,29.57125,31.13929,32.30148,34.16467,35.78804,36.78420,37.07936,38.02018,37.89105,37.85416,38.09397,38.83187,39.75424,40.23388,40.69506,41.17470,41.23004,40.93488,40.89798,41.30383,41.30383,41.37762,41.34072,41.46986,41.37762,41.76501,41.76501,41.61744,41.41451,41.72812,41.59899,41.50675,41.52520,41.72812,41.83880,41.67278,41.69122,42.00483,41.89415,41.78346,41.94949,42.42912,42.83497,43.01944,43.77579,44.20008,44.42145,43.94181,43.55442,43.18547,42.70583,42.00483,41.24849,41.13780,40.60283,40.16009,39.60666,38.96100,38.55516,37.61434,37.17160,36.72886,35.99096,35.82494,35.27151,34.33069,33.27919,32.06166,31.87718,31.71116,30.88102
2016,Burwood 132_11kV,06MAY2015,MW,30.69655,29.86641,27.89254,27.43135,27.28377,26.17692,25.67884,24.97784,24.25839,23.61273,23.28068,23.29912,23.24378,23.04086,22.80104,22.54278,22.65346,22.78259,23.28068,23.83410,23.83410,24.09236,25.27300,26.06624,27.78185,29.23920,30.40139,31.50824,33.79572,35.23462,35.91717,36.59973,37.48521,37.31918,37.26384,37.28229,37.79881,38.14932,38.96100,39.09014,38.79498,38.77653,38.66584,38.48137,38.70274,38.66584,38.94256,38.44447,38.55516,38.77653,38.73963,38.85032,38.90566,38.46292,38.61050,38.51826,38.73963,38.90566,38.90566,38.62895,38.99790,39.25616,39.55132,39.55132,39.62511,39.93872,40.47369,41.26693,41.76501,42.83497,43.96026,44.64282,44.29231,44.01560,43.48063,43.25926,42.50291,42.26310,41.98638,41.41451,41.30383,40.49214,40.25232,39.31150,38.90566,38.44447,38.03863,37.30073,36.69197,36.69197,35.60357,34.64430,33.40832,32.98403,32.83645,32.22769
2016,Burwood 132_11kV,07MAY2015,MW,31.67426,30.99171,29.73728,29.49746,29.22075,28.16925,27.04395,26.54587,26.01090,25.36524,24.84871,24.51665,23.85255,23.85255,23.85255,23.85255,23.68652,24.14771,24.22149,24.22149,24.83026,25.51282,26.01090,27.04395,28.87025,30.10623,31.85874,33.37143,35.49288,37.04247,38.02018,38.75808,39.21927,39.07169,39.45908,38.97945,39.20082,39.21927,39.14548,38.97945,38.96100,39.18237,38.90566,38.96100,38.75808,38.62895,38.24155,38.42603,38.31534,38.62895,38.96100,38.46292,38.75808,38.83187,38.61050,38.20466,38.31534,38.46292,38.11242,38.02018,38.29690,38.44447,38.68429,38.70274,39.42219,39.62511,40.30767,41.19314,41.91259,43.22236,44.62437,45.43606,45.63898,45.63898,45.30692,45.58364,45.06711,44.82729,44.47679,44.51368,43.57286,43.18547,42.52136,42.59515,41.59899,40.73196,39.71735,38.92411,38.38913,38.03863,37.11626,35.80649,34.45983,34.07243,33.96175,32.79956
2016,Burwood 132_11kV,08MAY2015,MW,32.57819,31.95097,30.58586,29.64504,29.58970,28.92559,28.07701,27.09930,26.28761,25.99245,25.49437,24.68268,24.12926,24.38752,24.05547,23.90789,23.90789,23.90789,23.90789,24.35063,25.21766,25.60505,26.34295,27.22843,28.70422,30.18002,32.22769,33.83261,35.75115,37.63279,38.99790,38.73963,39.09014,39.21927,39.10858,39.16392,38.92411,39.53287,39.34840,39.68045,39.18237,38.72119,38.70274,38.62895,38.97945,39.31150,39.07169,38.61050,38.97945,38.99790,38.99790,38.53671,38.81342,38.61050,38.42603,38.64740,38.73963,38.59205,38.55516,38.55516,38.86877,38.85032,38.90566,39.51443,39.84648,40.34456,40.58438,41.35917,41.58054,42.55825,43.77579,44.31076,43.72044,43.64665,43.27771,43.05634,42.89031,42.28154,42.18931,41.76501,41.37762,40.87954,40.03095,39.68045,38.92411,38.72119,38.42603,37.74347,37.61434,37.37452,36.87644,35.65891,34.36759,34.53362,34.45983,33.72193
2016,Burwood 132_11kV,09MAY2015,MW,33.27919,32.55974,31.37910,30.58586,30.01399,29.22075,28.24304,27.50514,26.60122,25.91866,25.43903,24.86716,24.62734,24.23994,24.00013,23.87099,23.83410,23.83410,23.83410,23.83410,24.09236,24.40597,24.40597,25.01473,26.01090,26.80414,27.43135,27.94788,28.85180,29.82952,30.82568,31.24997,32.78111,33.38987,34.12777,34.90257,35.62202,36.02786,36.15699,35.93562,35.89873,35.86183,36.00941,36.19389,35.84338,35.54823,35.40065,35.40065,35.25307,35.01325,35.14238,34.86567,34.79188,34.71809,35.08704,34.71809,34.77343,34.51517,34.60741,34.55206,34.55206,34.75499,34.69964,35.30841,35.52978,36.12010,36.80265,37.79881,38.38913,39.53287,40.80575,41.35917,41.06401,40.60283,40.56593,39.97561,39.56977,39.53287,39.23771,38.66584,38.33379,38.22311,37.89105,37.54055,37.13471,36.95023,36.47060,36.15699,36.06475,36.30457,35.65891,35.03170,33.98019,33.83261,33.94330,33.18695
2016,Burwood 132_11kV,10MAY2015,MW,32.94714,32.20924,30.86257,30.58586,30.14312,29.05473,28.27993,27.17309,26.36140,25.66040,25.14387,24.64579,24.44286,24.12926,23.76031,23.46515,23.74186,23.77876,23.77876,23.77876,23.90789,23.94478,23.96323,24.57200,25.29145,25.84487,26.23227,26.78569,27.85564,28.59354,29.46057,30.51207,31.32376,31.91408,32.78111,32.81800,33.13161,33.66659,34.58896,35.10549,35.28996,35.49288,35.67736,35.56667,35.84338,35.52978,36.21233,36.45215,36.10165,36.30457,34.79188,34.18311,34.31225,34.16467,33.79572,33.51901,33.42677,33.61124,33.53745,33.70348,34.12777,34.34914,34.53362,35.16083,35.67736,35.65891,36.50749,37.42987,38.24155,39.09014,40.60283,41.58054,41.37762,40.86109,40.95333,40.84264,40.10474,40.30767,40.56593,39.97561,39.79114,39.38529,38.97945,38.75808,38.44447,37.89105,37.31918,36.30457,36.04631,35.45599,34.99480,33.72193,32.54129,32.28303,31.98787,31.13929
