year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Camperdown 33_11kV,01MAY2017,MW,7.22898,7.09617,6.92540,6.92540,6.83053,6.62182,6.62182,6.62182,6.62182,6.48901,6.28030,6.28030,6.28030,6.28030,6.28030,6.28030,6.28030,6.28030,6.28030,6.31824,6.60285,6.60285,6.60285,6.88746,7.45667,7.62743,8.40535,8.74688,9.14533,9.60070,9.69556,9.69556,10.09401,10.32170,10.24580,10.03709,10.09401,10.05606,10.16991,10.09401,10.56835,10.13196,10.30272,10.43554,10.58733,10.53041,10.62528,10.39759,10.54938,10.54938,10.54938,10.62528,10.53041,10.77707,10.62528,10.56835,10.64425,10.60630,10.60630,10.60630,10.60630,10.60630,10.73912,10.64425,10.92886,10.72014,10.81501,11.04270,11.06167,11.06167,11.15654,11.40320,11.42217,11.42217,11.30833,11.30833,11.30833,11.13757,11.00475,11.00475,10.75809,10.41656,10.41656,10.26478,10.09401,9.77146,9.44891,9.12635,9.05046,8.80380,8.51919,8.50022,8.25356,7.76025,7.60846,7.51359
2018,Camperdown 33_11kV,02MAY2017,MW,7.32385,7.32385,7.32385,7.24796,6.73567,6.67874,6.67874,6.67874,6.67874,6.67874,6.41311,6.33722,6.33722,6.33722,6.33722,6.33722,6.33722,6.33722,6.35619,6.64080,6.64080,6.64080,6.64080,7.15309,7.58948,8.23459,8.48125,8.87969,9.29712,9.54377,9.71454,9.73351,9.69556,9.96120,10.03709,9.98017,9.98017,10.26478,10.39759,10.28375,10.54938,10.32170,10.34067,10.41656,11.02372,10.90988,10.85296,10.96680,11.15654,10.90988,11.13757,11.06167,10.81501,10.85296,10.83399,10.83399,10.83399,10.83399,10.73912,10.70117,10.79604,10.79604,10.79604,10.54938,10.64425,10.83399,10.66322,10.60630,10.72014,10.90988,11.13757,11.23243,11.06167,11.21346,11.17551,11.15654,11.19449,11.17551,10.87193,10.66322,10.53041,10.24580,10.20785,9.92325,9.92325,9.92325,9.69556,9.60070,9.20225,8.86072,8.68996,8.53817,8.17767,8.08280,8.08280,7.79819
2018,Camperdown 33_11kV,03MAY2017,MW,7.55154,7.45667,7.45667,7.17206,7.11514,7.11514,7.11514,7.11514,7.11514,6.96335,6.52696,6.52696,6.52696,6.52696,6.52696,6.52696,6.67874,6.67874,6.67874,6.67874,6.94438,7.19103,7.21001,7.49461,8.00690,8.34843,8.59509,8.87969,9.24020,9.73351,9.86633,9.94222,10.28375,10.34067,10.37862,10.26478,10.26478,10.15093,10.56835,10.37862,10.45451,10.60630,10.47349,10.41656,10.41656,10.53041,10.68220,10.37862,10.41656,10.41656,10.68220,10.98578,10.81501,10.94783,11.06167,10.83399,10.89091,10.75809,10.92886,10.72014,10.66322,10.98578,11.00475,10.75809,10.83399,10.73912,10.73912,10.73912,10.90988,10.94783,11.27038,11.21346,11.09962,11.32730,11.23243,11.32730,11.28936,11.09962,10.96680,10.75809,10.73912,10.56835,10.43554,10.20785,10.11299,9.92325,9.82838,9.82838,9.35404,9.08841,8.91764,8.67098,8.46227,8.31048,8.21562,7.93101
2018,Camperdown 33_11kV,04MAY2017,MW,7.70332,7.58948,7.39975,7.39975,7.36180,6.79259,6.79259,6.79259,6.79259,6.79259,6.79259,6.79259,6.52696,6.47003,6.47003,6.47003,6.56490,6.58388,6.75464,6.75464,6.75464,7.03925,7.21001,7.68435,8.12075,8.55714,8.82277,8.99354,9.63864,9.98017,10.39759,10.35964,10.32170,10.66322,10.68220,10.45451,10.53041,10.66322,10.81501,10.81501,10.81501,10.81501,10.70117,10.83399,10.83399,10.98578,10.85296,10.85296,10.85296,11.00475,11.04270,10.79604,10.87193,11.02372,10.83399,10.83399,10.83399,10.83399,10.83399,10.79604,10.85296,10.85296,10.85296,10.85296,10.72014,10.58733,10.56835,10.79604,10.85296,11.04270,11.21346,11.25141,11.46012,11.46012,11.46012,11.46012,11.46012,11.34628,11.13757,11.11859,10.83399,10.75809,10.79604,10.62528,10.49246,10.18888,9.88530,9.88530,9.61967,9.58172,9.27814,9.22122,8.95559,8.67098,8.34843,8.08280
2018,Camperdown 33_11kV,05MAY2017,MW,7.94998,7.76025,7.76025,7.76025,7.49461,7.30488,7.13411,7.13411,7.13411,7.13411,6.67874,6.52696,6.52696,6.52696,6.52696,6.52696,6.77361,6.77361,6.90643,7.13411,7.13411,7.13411,7.19103,7.43769,7.96896,8.38638,8.97456,9.16430,9.44891,10.20785,10.45451,10.56835,10.66322,10.83399,10.85296,10.54938,10.66322,10.73912,10.92886,10.72014,10.72014,10.72014,10.72014,10.87193,10.81501,10.96680,10.98578,10.72014,11.09962,10.96680,10.68220,10.81501,10.98578,10.87193,10.75809,10.92886,10.89091,10.94783,10.70117,10.68220,10.68220,10.77707,10.70117,10.45451,10.41656,10.41656,10.43554,10.72014,10.64425,10.73912,11.06167,11.06167,10.68220,10.75809,10.75809,10.75809,10.75809,10.75809,10.70117,10.47349,10.15093,9.86633,9.56275,9.54377,9.31609,8.91764,8.91764,8.91764,8.91764,8.87969,8.63304,8.48125,8.31048,8.31048,8.21562,8.00690
2018,Camperdown 33_11kV,06MAY2017,MW,7.77922,7.68435,7.53256,7.39975,7.39975,7.15309,6.90643,6.77361,6.77361,6.77361,6.62182,6.69772,6.54593,6.54593,6.54593,6.54593,6.45106,6.45106,6.45106,6.45106,6.45106,6.45106,6.45106,6.64080,7.07719,7.19103,7.39975,7.49461,7.74127,8.25356,8.59509,8.68996,8.74688,8.99354,8.99354,8.99354,8.99354,8.99354,9.25917,9.50583,9.27814,9.86633,9.99914,9.94222,9.94222,9.94222,9.79043,9.65762,9.65762,9.90427,9.99914,9.92325,9.75249,9.69556,9.77146,9.84735,9.84735,9.84735,9.84735,9.84735,9.84735,9.84735,9.96120,10.15093,,,,,,,,11.00475,10.79604,10.79604,10.79604,10.79604,10.49246,10.15093,10.15093,10.05606,9.84735,9.84735,9.84735,9.52480,9.52480,9.52480,9.52480,9.31609,9.24020,8.99354,8.91764,8.65201,8.65201,8.42433,8.32946,8.32946
2018,Camperdown 33_11kV,07MAY2017,MW,8.32946,8.32946,7.98793,7.70332,7.53256,7.43769,7.34282,7.34282,7.13411,7.11514,6.92540,6.81156,6.81156,6.81156,6.81156,6.81156,6.81156,6.81156,6.81156,6.81156,6.81156,6.81156,6.81156,6.81156,7.22898,7.38077,7.38077,7.38077,7.53256,7.68435,7.68435,7.74127,7.96896,8.29151,8.31048,8.63304,8.89867,8.89867,8.95559,9.18327,9.18327,9.18327,9.18327,9.18327,9.18327,9.14533,9.10738,8.91764,8.91764,8.91764,8.91764,8.91764,8.91764,9.24020,9.24020,9.24020,9.01251,9.14533,9.24020,9.12635,9.22122,9.16430,9.24020,9.39198,9.24020,9.25917,9.69556,9.86633,10.05606,10.39759,10.60630,10.85296,10.85296,10.85296,10.98578,11.13757,10.85296,10.64425,10.54938,10.22683,10.22683,9.96120,9.90427,9.90427,9.79043,9.61967,9.60070,9.25917,9.25917,9.01251,8.84175,8.46227,8.36740,8.08280,8.04485,7.91204
2018,Camperdown 33_11kV,08MAY2017,MW,7.74127,7.74127,7.45667,7.07719,7.07719,7.07719,7.07719,7.07719,6.98232,6.75464,6.75464,6.75464,6.75464,6.75464,6.75464,6.75464,6.83053,7.05822,7.05822,7.05822,7.05822,7.05822,7.09617,7.49461,8.25356,8.80380,8.89867,9.16430,9.98017,10.34067,10.66322,10.49246,10.72014,10.81501,11.04270,11.04270,10.92886,10.75809,10.96680,10.90988,10.75809,10.64425,10.64425,10.68220,10.90988,11.00475,11.00475,11.27038,10.77707,10.77707,10.79604,11.02372,10.92886,10.73912,10.96680,11.09962,11.04270,10.81501,10.83399,10.98578,10.81501,10.98578,11.00475,10.96680,10.79604,11.02372,10.90988,11.06167,11.19449,11.47909,11.70678,11.99138,11.99138,12.16215,12.08625,12.27599,12.21907,11.97241,11.85857,11.68780,11.42217,11.28936,11.06167,11.04270,10.62528,10.45451,10.45451,10.16991,9.73351,9.33506,9.20225,8.99354,8.65201,8.59509,8.32946,7.81717
2018,Camperdown 33_11kV,09MAY2017,MW,7.68435,7.68435,7.68435,7.62743,7.24796,7.11514,7.11514,7.11514,6.94438,6.83053,6.83053,6.83053,6.83053,6.83053,6.83053,6.83053,6.83053,6.83053,6.83053,6.83053,7.13411,7.45667,7.45667,7.72230,8.55714,8.95559,9.41096,9.71454,10.26478,10.60630,10.72014,11.09962,11.28936,11.23243,11.49807,11.30833,11.63088,11.61191,11.38422,11.51704,11.13757,11.08064,11.04270,11.04270,11.13757,11.28936,11.28936,11.13757,11.09962,11.09962,11.09962,11.09962,11.11859,11.09962,11.15654,11.21346,11.11859,11.11859,11.11859,10.98578,10.92886,10.85296,10.85296,10.85296,10.85296,10.89091,11.11859,11.17551,11.21346,11.70678,11.85857,12.02933,12.12420,12.06728,11.89651,11.95344,11.97241,11.87754,11.74472,11.70678,11.23243,10.90988,10.90988,10.90988,10.64425,10.41656,10.32170,10.30272,9.94222,9.67659,9.37301,9.08841,8.82277,8.63304,8.48125,8.48125
2018,Camperdown 33_11kV,10MAY2017,MW,8.06383,7.85511,7.85511,7.85511,7.57051,7.55154,7.55154,7.55154,7.19103,6.94438,6.94438,6.94438,6.94438,6.94438,6.94438,6.94438,6.94438,6.94438,6.94438,6.94438,7.09617,7.28590,7.49461,7.85511,8.61406,9.08841,9.61967,9.86633,10.45451,10.81501,11.15654,11.27038,11.27038,11.27038,11.27038,11.27038,11.27038,11.19449,11.30833,11.06167,11.30833,11.27038,11.15654,11.25141,11.19449,11.25141,11.25141,11.25141,11.28936,11.34628,11.19449,11.30833,11.17551,11.19449,11.25141,11.21346,11.27038,11.25141,11.21346,11.09962,10.98578,11.00475,11.06167,10.92886,11.08064,11.17551,10.98578,11.17551,11.27038,11.30833,11.53601,11.76370,11.85857,11.85857,11.59293,11.72575,11.87754,11.68780,11.89651,11.76370,11.32730,11.09962,11.02372,10.89091,10.73912,10.64425,10.39759,10.11299,10.07504,9.56275,9.37301,9.08841,8.86072,8.86072,8.38638,7.98793
