year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Campsie 33_11kV,01MAY2017,MW,28.01589,27.77734,26.31704,26.45735,26.22323,24.85641,23.69033,22.71236,21.85031,21.29813,20.52579,20.02774,19.89468,19.65600,19.41873,19.14249,19.17506,19.90653,20.33731,21.21309,22.11064,22.97545,24.03386,24.95805,26.71655,28.09914,29.29239,30.02054,31.15642,32.47873,32.95300,32.73184,32.46059,31.94137,31.54048,30.42226,30.08335,30.59636,30.64618,30.37249,31.03522,30.45760,30.06081,30.01847,30.82472,30.70048,30.10334,29.76529,29.68459,29.59235,29.73154,29.63558,30.33387,30.74710,30.28497,30.41730,29.45859,29.72895,29.83239,29.90792,30.01167,30.37040,30.81463,31.04619,31.84000,32.59137,33.31060,34.07325,35.35783,37.22725,38.93478,39.76335,40.16175,40.40350,40.22022,40.17213,39.52500,38.77461,37.86350,37.44324,36.44201,35.88922,35.20557,34.39213,33.89345,33.03919,32.46017,31.39376,32.17341,32.41568,31.45887,29.99280,29.21882,28.89239,28.25525,27.16220
2018,Campsie 33_11kV,02MAY2017,MW,27.20424,26.55941,25.50581,25.38583,24.97688,24.08914,22.95942,21.85299,21.29488,20.48682,19.75895,19.54459,19.33148,19.07947,18.80755,18.54573,18.79165,19.23436,19.66220,20.13991,21.21815,22.61993,23.60093,24.49783,26.01601,27.33261,28.63634,29.35235,29.98017,30.62398,31.72765,32.40540,31.86825,31.28992,31.03005,30.36009,30.20196,30.30899,29.67506,30.45446,30.12722,29.66008,29.81643,29.47571,29.62029,29.16043,28.88197,28.32744,28.45383,28.57712,28.41960,28.80482,28.62062,30.23366,30.01640,29.71973,29.56468,29.37800,29.54485,29.36202,29.64394,29.93006,29.99636,30.59356,31.47058,32.33617,32.77056,33.58032,35.15303,36.93496,38.52386,39.28152,39.48078,39.71626,39.33540,39.28176,38.46185,38.11403,37.59927,36.89368,36.31599,35.58480,34.87474,34.41679,33.83427,33.23844,32.02467,31.47518,32.35478,32.58787,31.92069,30.54751,29.22631,28.69781,28.69913,27.61754
2018,Campsie 33_11kV,03MAY2017,MW,27.60993,26.82835,25.38089,25.30435,25.16633,23.88971,22.86854,21.95013,21.33323,20.65891,20.14756,19.60160,19.30504,19.14132,18.98549,18.98549,19.18366,19.29894,19.87723,20.41604,21.52499,22.49229,23.51363,24.59246,26.13892,27.53967,29.13391,30.26981,31.14566,31.68432,32.32227,32.43308,32.17249,31.59414,31.47158,30.74603,30.70261,30.14552,30.07229,29.19329,29.82753,30.13337,30.50839,30.30687,30.55512,30.86766,30.41198,30.18419,30.35576,30.22657,29.71335,29.70570,30.07669,30.86861,31.24969,31.29906,31.75277,31.89545,31.74282,31.43105,31.17262,31.42567,32.05473,32.09163,32.31395,33.04585,33.78197,35.10575,36.78121,38.77878,40.73824,41.28865,41.68889,42.12569,41.78403,41.79918,41.06616,40.78984,40.34743,39.71702,38.82862,38.11771,37.97352,36.98748,36.27886,35.81132,34.71602,33.55493,34.22453,34.29331,33.58126,31.69585,30.25570,30.07967,29.82975,28.79454
2018,Campsie 33_11kV,04MAY2017,MW,28.84530,28.28242,26.73618,26.75993,26.16550,24.92655,23.97098,23.01420,22.25936,21.51297,20.87390,20.55289,20.14949,19.62940,19.61712,19.79429,19.83708,19.99923,20.37586,21.30301,22.25906,23.48767,24.38797,25.69341,27.12892,28.74799,29.98643,31.41220,32.13208,32.79661,33.21682,33.14990,33.26265,32.76040,31.67343,30.77077,30.35738,30.69034,30.41739,30.56171,30.43598,30.24455,30.62905,30.96910,31.53384,31.87525,32.03992,32.54838,32.51230,32.60928,32.37752,32.21199,32.10712,31.57337,31.34713,31.11497,31.37803,31.30259,31.24218,31.07768,30.61001,30.70621,31.20126,32.14012,32.63210,33.81472,34.56416,35.37471,37.01802,38.40489,39.75068,40.43244,40.79577,41.23968,40.97591,40.66821,40.13563,39.21576,38.67290,38.68528,38.27421,38.05134,37.32757,36.83528,36.22595,35.53562,34.23852,33.33892,34.34451,34.53227,33.67843,31.86050,30.76019,30.58395,30.37428,29.01740
2018,Campsie 33_11kV,05MAY2017,MW,29.18752,28.40930,26.70300,26.41091,26.33570,24.91627,23.99011,22.99401,22.14526,21.07079,20.73105,20.48087,20.27189,19.89265,19.93354,20.05243,19.92338,20.32088,20.71719,21.32624,22.36844,23.35781,24.33572,25.62356,27.27084,28.55575,30.19604,31.67006,32.15727,33.13657,33.55856,33.41911,33.08367,31.96769,31.59640,31.35566,30.93481,31.04478,30.37797,30.01976,30.09727,29.59597,29.31408,29.48020,29.43333,29.66208,29.80364,29.69286,29.65083,29.74347,29.72153,29.85091,29.97340,29.67205,30.04891,29.42795,29.03356,29.23001,29.07960,29.17353,28.83065,29.07141,29.94077,30.62355,31.44885,32.11699,33.06907,34.19222,35.10736,37.29462,38.91390,39.64418,39.94694,40.32644,40.11892,39.42975,38.55901,38.20615,37.10721,36.92279,36.08808,35.26628,35.00269,34.95281,34.54049,33.80295,32.99758,32.05866,33.30204,33.36027,32.75490,31.45292,30.52663,30.55254,30.60422,29.18867
2018,Campsie 33_11kV,06MAY2017,MW,29.23187,28.80721,27.23607,27.03829,26.65897,25.32353,24.20031,23.23048,22.58510,21.93614,21.04543,20.52121,19.93513,19.59547,19.66945,19.71334,19.84220,19.70123,19.80094,20.10878,20.38784,21.00107,21.36919,22.08446,23.02078,23.08679,23.71204,24.33358,25.01624,26.34173,27.09676,27.61613,28.63395,29.48617,30.39174,29.90435,29.72548,30.14160,29.78076,29.64506,29.82834,29.60412,29.94544,30.08775,29.69020,28.79153,28.90835,28.70089,28.93630,28.66774,28.48244,28.17517,28.18316,28.46285,28.54128,28.04028,27.56033,28.06007,28.04019,27.85492,27.94948,28.28906,28.66070,29.78293,30.30159,30.30159,30.30159,30.30159,30.30159,30.30159,33.42631,37.63482,37.61852,37.33283,36.83588,36.33538,35.57500,35.15093,34.96878,34.20008,33.95919,33.17365,32.75034,32.32913,31.51957,30.87775,30.44477,29.73822,31.03374,31.76223,30.99268,30.19485,29.28960,29.50288,29.81250,28.87131
2018,Campsie 33_11kV,07MAY2017,MW,29.08738,28.57618,27.31304,27.18414,26.87214,25.65050,24.29596,23.12172,22.26935,21.39219,20.70073,20.25879,19.92536,19.62182,19.22985,19.00851,18.91030,18.81508,18.87152,18.65744,18.95044,19.42544,19.54503,20.42039,21.06569,21.26143,21.60534,22.26638,22.50896,23.56289,24.79584,25.16636,26.37378,27.06045,27.40648,28.32590,28.60956,28.70696,28.70747,28.57641,28.31622,28.18518,27.88060,27.63254,27.68487,27.53325,27.06172,27.15339,27.11426,27.25650,26.75755,26.47033,26.43172,26.44106,26.39800,26.20912,26.26567,26.13394,26.52800,26.31905,26.73243,26.97439,27.55446,27.82903,28.72190,29.41797,30.32318,31.74225,33.23385,34.89513,36.99349,38.03173,38.50514,38.88956,38.63276,38.45576,38.06670,37.59241,37.13558,36.78931,36.42083,35.83072,35.65669,35.32763,34.55995,34.03101,33.20212,32.00414,32.18999,32.95743,32.43728,31.27799,30.37274,30.08808,29.83573,28.60359
2018,Campsie 33_11kV,08MAY2017,MW,28.97271,28.29031,26.68733,26.74638,26.51111,25.10172,23.98074,22.86945,22.07460,21.53060,20.70202,20.33445,20.03948,19.88488,19.66134,19.44512,19.63619,19.93887,20.63379,21.16816,22.32741,23.44492,24.74984,25.78506,27.49967,28.82272,30.43406,31.54025,32.41327,33.42408,34.33682,34.37322,34.09370,33.89381,33.00750,32.39788,31.71833,31.60157,31.61236,31.22157,30.77735,30.73023,30.43813,30.40920,30.55450,30.22789,30.55219,30.20374,30.07843,30.07796,30.23625,29.72571,29.82607,29.67209,29.53865,29.86898,30.02408,30.26916,30.21121,30.11403,29.77232,30.35654,30.87759,31.72744,32.26211,33.18403,34.61039,35.98703,37.58570,39.97954,42.21998,43.18674,43.59635,43.89058,43.85222,43.69357,43.17616,42.91553,42.35664,41.57712,40.96250,40.49192,39.67248,38.60980,38.17341,37.48996,36.48229,35.08709,35.91491,35.32722,34.11391,32.73143,31.15546,30.85576,30.90981,29.54259
2018,Campsie 33_11kV,09MAY2017,MW,29.75449,29.13521,27.57967,27.49417,27.16281,26.05409,24.71624,23.67140,22.67260,22.00377,21.33531,20.90182,20.71098,20.50311,20.29918,20.25980,20.37102,20.55450,20.95269,21.75168,23.00000,24.18131,25.28146,26.35730,27.95272,29.86921,31.55493,32.35704,33.51702,34.92640,35.70797,35.41991,35.34330,33.98251,32.94973,32.42540,32.38138,32.66232,32.44358,32.68831,31.78118,31.10185,30.71711,30.53659,30.24821,30.15800,30.25441,30.11875,30.10997,30.25775,30.76762,30.90208,30.76420,30.10888,30.04201,30.00059,29.83973,29.77294,29.81725,30.22889,30.08206,30.35400,31.00511,31.73009,32.34730,33.38527,34.33144,35.37826,36.95782,39.49869,41.58734,42.69308,43.08038,43.65755,43.16979,43.40201,43.13085,42.73997,42.03511,41.90687,41.22272,40.40875,40.04735,39.28345,38.66635,37.32250,36.09408,34.96398,36.10479,36.06275,34.96808,33.14102,31.71669,31.43708,31.54397,30.02935
2018,Campsie 33_11kV,10MAY2017,MW,30.16595,29.53976,27.68877,27.02147,26.76532,25.72848,25.26953,23.94085,23.30029,22.65525,21.89337,21.36819,21.09553,20.63462,20.43941,20.10838,20.29658,20.74603,21.16467,21.45189,23.24576,24.63209,25.78647,26.92347,28.59837,30.66322,32.14318,33.45285,34.31026,35.64968,36.21532,35.80234,35.32060,34.53269,33.42151,32.88000,32.26709,32.04287,31.54756,31.45648,31.32120,30.96216,30.48889,30.64095,29.97014,30.26187,30.16357,30.23109,30.11558,30.37284,30.85551,31.05108,31.42504,31.50366,31.08167,30.95532,30.50573,29.93422,29.49882,29.73935,29.94163,30.34934,31.00556,31.53531,31.84238,32.94092,33.87128,35.08203,36.91504,39.32512,41.85350,43.14394,43.12442,43.56213,43.30235,43.38148,42.69892,42.61109,42.21331,42.08335,41.57349,40.97971,40.11907,39.66379,38.85254,37.95200,37.16710,35.91789,36.56463,35.66624,34.77425,32.98282,31.73453,31.61140,31.57992,30.20072
