year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Cardiff 33_11kV,01MAY2017,MW,5.29040,4.97981,4.96713,5.42425,5.12708,4.58007,4.34124,4.39845,4.16673,3.88812,3.80348,3.66067,3.61648,3.64129,3.63573,3.68016,3.75281,3.75437,3.81300,3.94754,4.11452,4.29723,4.41600,4.80132,5.34727,5.56097,6.09358,6.29238,6.65281,6.80201,6.93846,6.99391,7.10127,6.95401,6.57237,6.28702,6.17314,6.38797,6.28428,6.15400,6.06482,5.82667,5.94603,6.06528,6.00531,5.70499,5.76426,5.74429,5.90200,6.22911,6.07013,5.83516,5.91481,5.95218,6.48700,6.26399,6.32254,5.93334,6.15781,5.88740,5.92270,6.09876,6.24989,6.36484,6.54085,6.66005,6.76634,6.94594,7.07505,7.39277,7.70439,7.69020,7.71802,7.61084,7.50480,7.24362,7.23894,7.36904,7.02101,6.78585,6.60588,6.38061,6.24921,6.00236,5.92524,5.81485,5.91013,5.79391,6.91398,6.82123,6.36866,5.90680,6.17977,5.84027,5.99514,6.34541
2018,Cardiff 33_11kV,02MAY2017,MW,6.53284,6.16078,6.02877,6.15939,5.93467,5.60120,5.39825,5.57915,5.17077,4.84111,4.59896,4.32864,4.23563,4.13105,3.97585,3.96638,3.88541,3.88834,4.02179,3.98784,4.15041,4.15210,4.35557,4.68434,5.23992,5.47870,5.85511,6.05219,6.39136,6.39459,6.57484,6.67547,6.77341,6.67201,6.33089,6.18139,6.39106,5.85917,5.85456,5.83307,5.79482,5.85756,6.00283,6.01089,6.06247,6.06367,6.09554,6.09084,6.13184,6.07661,6.18564,6.30472,6.27642,6.29941,6.48198,6.66250,6.87016,6.84209,6.76632,6.44281,6.48060,6.48353,6.47305,6.64387,6.73289,6.67994,6.75644,6.74629,6.92607,7.49034,7.79320,7.69529,7.60892,7.61214,7.46752,7.24606,7.15024,7.19554,7.11345,6.82441,6.59269,6.45159,6.29947,6.10071,5.96098,5.75590,5.89521,5.73495,6.88143,6.73651,6.30500,5.83182,6.12840,5.86703,5.97511,6.32157
2018,Cardiff 33_11kV,03MAY2017,MW,6.65651,6.22084,6.05775,6.14293,5.90852,5.49266,5.17312,5.40079,5.12898,4.84657,4.54971,4.42821,4.22198,4.17047,4.02132,3.92271,3.92714,3.99822,3.86693,4.01673,4.12244,4.30242,4.50700,4.83386,5.20047,5.41283,5.78909,5.97685,6.29750,6.43173,6.73287,6.80390,6.99746,6.93294,6.91352,6.90696,6.70538,6.77746,6.63566,6.12588,6.16351,6.30774,6.39593,6.62978,6.49384,6.67965,6.89121,6.73795,6.25268,6.34649,6.64069,6.66969,6.84605,6.88627,6.66082,6.58655,6.57440,6.54563,6.51534,6.54070,6.60610,6.60396,6.59849,6.49595,6.69865,6.80584,7.01048,7.13817,7.30827,7.83627,8.22620,7.94223,7.94092,7.98204,7.76299,7.74061,7.60235,7.75680,7.49161,7.46007,7.16388,6.86891,6.66323,6.44550,6.20008,6.17687,6.21989,6.14351,7.28251,7.05520,6.58991,6.09274,6.42596,6.13464,6.22263,6.50251
2018,Cardiff 33_11kV,04MAY2017,MW,6.79128,6.35607,6.15435,6.32540,6.18228,5.82627,5.51662,5.73598,5.34234,4.94454,4.64369,4.39094,4.27554,4.27148,4.14299,3.98690,4.05742,4.01395,4.02461,4.08659,4.14985,4.35643,4.51710,4.83540,5.32348,5.61928,6.04739,6.11385,6.39146,6.76331,6.96570,7.11390,7.19759,7.17923,6.99393,6.86451,6.78034,6.53468,6.38996,6.30570,6.43870,6.52698,6.30627,6.07431,6.12811,6.11783,6.30691,6.41741,6.56314,6.57339,6.53214,6.41610,6.26540,6.29673,6.57429,6.59320,6.43373,6.51530,6.48455,6.50178,6.29337,6.24400,6.33765,6.57728,6.64536,6.61701,6.71631,6.93671,7.15455,7.47866,7.72197,7.73720,7.70732,7.67476,7.54711,7.36878,7.49682,7.68327,7.30716,7.14881,7.08329,6.81819,6.58678,6.46697,6.31708,6.27299,6.49777,6.40360,7.51961,7.31481,6.70086,6.29173,6.44542,6.11003,6.13939,6.54697
2018,Cardiff 33_11kV,05MAY2017,MW,6.84633,6.52316,6.27107,6.50940,6.24297,5.89982,5.53393,5.73141,5.36779,5.06535,4.86766,4.53963,4.38695,4.27606,4.21903,4.07815,4.06617,3.98257,4.00658,4.19987,4.34428,4.46157,4.63023,4.96392,5.52281,5.83824,6.24404,6.28921,6.59253,6.82648,7.17185,7.87146,7.79029,7.63897,7.55552,7.33959,7.19327,7.27004,7.26876,7.01411,6.89553,6.83377,6.81752,6.73449,6.81877,6.86872,6.71258,6.73246,6.77179,6.74617,6.67957,6.64908,6.55770,6.54823,6.57870,6.70698,6.82620,6.88465,7.16625,7.22916,7.12586,7.08636,7.17403,7.08676,7.06926,7.21978,7.27505,7.45902,7.45731,7.89398,8.28995,8.24526,8.30144,8.06386,8.01504,7.92710,7.89316,8.13177,7.84911,7.69827,7.53992,7.33590,7.14441,7.05195,6.79826,5.98515,6.14099,6.04307,7.18958,6.88346,6.40759,5.99046,6.36211,6.08660,6.18633,6.58040
2018,Cardiff 33_11kV,06MAY2017,MW,6.65804,6.38699,6.25153,6.34005,6.06269,5.73316,5.32819,4.96454,5.34997,5.13005,4.86873,4.62608,4.49103,4.33432,4.18440,4.06227,3.94819,3.89950,3.79597,3.84642,3.96961,3.93667,4.01306,4.24086,4.57032,4.72007,4.97447,5.06883,5.42254,5.76430,5.89975,6.13497,5.96375,6.41257,6.26165,6.84726,6.67279,6.29836,6.01346,5.99588,5.92267,5.73630,5.50948,5.55414,5.44954,5.39737,5.56625,5.10731,5.03488,4.87317,4.75900,4.87611,5.03482,4.85504,4.83189,4.86065,4.80854,4.82379,4.80887,4.94138,5.05674,5.11877,5.24886,5.42110,5.45201,5.64115,5.73353,5.81374,5.92460,6.44378,6.81419,6.67774,6.68769,6.72148,6.60305,6.39227,6.34387,6.54286,6.24097,6.08563,5.82693,5.72332,5.73736,5.73996,5.62824,5.46339,6.42959,6.19324,5.83395,5.50162,5.52950,5.35225,6.01517,5.74818,5.20565,5.42281
2018,Cardiff 33_11kV,07MAY2017,MW,5.51548,5.00129,4.99262,5.40785,4.92343,4.59464,4.30748,4.10570,4.22800,4.10810,4.00104,3.81426,3.70856,3.64331,3.62060,3.56488,3.56621,3.50394,3.54093,3.68658,3.68395,3.69254,3.66171,3.68377,3.83037,3.94988,4.05009,4.14371,4.22647,4.38372,4.72713,4.86140,4.99134,5.10646,5.07643,5.15712,5.23256,5.30867,5.26772,5.21467,5.17128,5.19680,5.09195,4.95507,4.92570,4.82204,4.77296,4.84129,4.75964,4.77402,4.69927,4.65070,4.52775,4.68705,4.64084,4.63500,4.63781,4.61749,4.57611,4.77185,4.95585,5.09871,5.11738,5.42204,5.57281,5.81454,6.02452,6.10673,6.37889,6.96509,7.29870,7.34959,7.36689,7.29862,7.13799,6.94694,6.90534,6.92644,6.67414,6.51768,6.37421,6.20341,6.15105,5.89526,5.84779,5.77746,6.78430,6.49296,6.07226,5.53774,5.59397,5.28704,5.90747,5.66075,5.18018,5.33715
2018,Cardiff 33_11kV,08MAY2017,MW,5.41521,5.14511,5.13376,5.48587,4.89153,4.50504,4.33075,4.51648,4.24000,4.02769,4.00034,3.82154,3.77284,3.78506,3.72879,3.68919,3.69482,3.74586,3.78996,3.92195,4.11493,4.28237,4.45128,4.77935,5.32192,5.74989,6.20645,6.43433,6.80541,7.07475,7.22179,7.35327,7.33503,7.36362,7.10881,6.96616,6.83256,6.82096,6.67267,6.58109,6.61206,6.52462,6.34284,6.26021,6.11958,6.24914,6.22146,6.34084,6.30932,6.09768,6.13855,6.16736,6.24386,6.18695,6.21090,6.12724,6.22951,6.32093,6.31864,6.31556,6.41661,6.50278,6.42319,6.38853,6.53089,6.82499,6.96995,7.21525,7.47174,8.01151,8.56579,8.47277,8.57898,8.48041,8.23894,7.99547,7.88226,7.94519,7.76905,7.55094,7.34360,7.08228,6.86049,6.75362,6.64447,6.35109,6.37758,6.31933,7.35083,7.15659,6.68234,6.17470,6.49163,6.19253,6.34523,6.71296
2018,Cardiff 33_11kV,09MAY2017,MW,6.91958,6.50968,6.32503,6.42016,6.18229,5.85636,5.71590,5.89533,5.48560,5.07499,4.79940,4.62419,4.37477,4.26611,4.12464,4.00013,4.05666,4.07185,4.04537,4.19841,4.39901,4.54240,4.75952,5.11861,5.62216,5.93343,6.44592,6.67723,7.10568,7.28031,7.53006,7.64796,7.64745,7.63130,7.06521,6.93669,6.62538,6.60647,6.45552,6.18646,6.23923,6.39603,6.39473,6.13911,6.26882,6.45614,6.41177,6.22206,6.30516,6.41819,6.42709,6.47716,6.20285,6.41677,6.33009,6.32070,6.53087,6.52233,6.09695,6.05369,5.96236,5.95543,6.13417,6.26146,6.34987,6.58768,6.70844,7.03132,7.41178,7.89960,8.20495,8.26704,8.19783,8.03993,8.03362,7.95678,7.87690,8.03131,7.83842,7.71259,7.50871,7.31249,7.05667,6.90570,6.71467,6.58532,6.61408,6.40969,7.50608,7.33191,6.74675,6.30542,6.55241,6.15637,6.29432,6.65430
2018,Cardiff 33_11kV,10MAY2017,MW,6.96597,6.73389,6.52461,6.66256,6.29858,5.85434,5.61664,5.90420,5.55740,5.17392,4.90540,4.62753,4.46305,4.34512,4.20044,4.23368,4.19935,4.15671,4.29327,4.35918,4.43189,4.64133,4.86687,5.21225,5.61353,6.07529,6.69743,7.02217,7.44320,7.65697,7.72145,7.75805,7.65562,7.54280,7.17971,6.95652,6.59721,6.44650,6.35621,6.23328,6.15758,6.13946,6.11008,6.05294,5.95216,5.85286,5.93584,5.84554,5.74680,5.75209,5.86291,5.83646,5.95062,5.91920,5.95412,5.96229,5.78432,5.96873,5.95619,5.99260,5.97285,6.06411,6.18678,6.40803,6.43442,6.46372,6.77188,6.98396,7.19567,7.72150,8.04336,7.87850,7.86322,7.84651,7.82308,7.81586,7.70396,7.87897,7.67916,7.62692,7.39886,7.18167,7.04443,6.90658,6.74789,6.49890,6.45347,6.30862,7.32724,7.22488,6.71623,6.31798,6.58879,6.17888,6.28335,6.67696
2018,Cardiff 33_11kV,11MAY2017,MW,6.94126,6.54499,6.40678,6.48424,6.24896,5.89985,5.61559,5.82012,5.47859,5.13667,4.91266,4.62863,4.50882,4.41293,4.24397,4.17368,4.12209,4.22321,4.21515,4.29131,4.57888,4.70724,4.92145,5.29145,5.73853,6.12118,6.48596,6.70999,7.18020,7.72404,7.83759,7.78006,7.70777,7.57501,7.20101,6.80883,6.58358,6.52978,6.22962,6.19026,6.06954,6.01633,5.99601,5.96114,6.02202,5.90907,5.89599,5.71707,5.61704,5.59562,5.77931,6.03494,6.07290,5.74856,5.74633,5.84799,5.78291,5.92784,5.89766,6.00551,6.03384,6.09936,6.09349,6.12847,6.22605,6.44611,6.56669,6.70400,7.05613,7.54525,7.99207,7.82469,7.77970,7.78781,7.69020,7.52058,7.58861,7.66113,7.51774,7.37536,7.20267,6.85169,6.74682,6.63081,6.41729,6.21982,6.38538,6.27463,7.29389,7.07081,6.63118,6.24891,6.49668,6.08937,6.25329,6.56941
2018,Cardiff 33_11kV,12MAY2017,MW,6.82952,6.34617,6.30338,6.46150,6.15224,5.72389,5.55544,5.68890,5.37426,5.06176,4.81008,4.54629,4.35688,4.20640,4.13293,4.12888,4.09212,4.03632,3.99949,4.13145,4.31009,4.37434,4.68903,4.91997,5.36997,5.79776,6.27915,6.27752,6.46353,6.67359,7.03620,7.33134,7.25049,7.16631,7.17396,6.96527,6.94976,7.05664,6.60696,6.40244,6.62234,6.41427,6.55769,6.15320,6.13866,5.95739,6.66971,6.73121,6.49938,6.50670,6.45427,6.53696,6.26479,6.36109,6.17729,6.10291,6.22609,6.13653,6.12103,5.97747,5.84630,6.04787,6.13791,6.19631,6.32086,6.55184,6.76463,6.87061,7.17157,7.52281,7.65947,7.61091,7.68321,7.65212,7.39028,7.33182,7.18369,7.42601,7.16910,7.01365,6.91233,6.65515,6.46927,6.33807,6.20850,6.10807,6.28234,6.21339,7.29584,7.06934,6.56670,6.12453,6.40822,6.07434,6.22613,6.55936
2018,Cardiff 33_11kV,13MAY2017,MW,6.66359,6.44532,6.25969,6.33850,6.10092,5.72550,5.30645,4.95882,5.22964,5.12493,4.92756,4.62775,4.38660,4.15729,4.05167,3.99686,3.95703,3.87321,3.84876,3.78925,3.85409,3.99944,4.03928,4.24379,4.33833,4.48329,4.74047,5.00462,5.26937,5.67119,5.99880,6.20803,6.31000,6.18963,6.12518,6.16982,6.16013,5.86845,5.79564,5.72294,5.71396,5.61240,5.66364,5.38249,5.18621,5.24538,5.25296,5.28319,5.21489,5.08814,5.03592,5.24953,4.88617,4.90591,5.26656,5.46288,5.23976,5.15869,5.27693,5.25475,5.41854,5.49433,5.49433,5.68091,5.73111,5.95612,6.04331,6.01359,6.37457,6.91399,7.09200,6.89558,6.99712,7.00425,6.77839,6.70209,6.54111,6.56525,6.46779,6.34243,6.21773,6.02900,5.91727,5.77527,5.75289,5.66990,6.58883,6.33475,6.05179,5.63159,5.67780,5.44133,6.13533,5.80006,5.37069,5.50415
2018,Cardiff 33_11kV,14MAY2017,MW,5.64018,5.25188,5.17512,5.57665,5.00826,4.55572,4.35479,4.11682,4.32507,4.14450,4.06542,3.88886,3.77031,3.69892,3.60186,3.55808,3.60694,3.56043,3.59057,3.68875,3.75080,3.70190,3.63903,3.64600,3.82465,3.99303,4.18058,4.36416,4.55839,4.84361,5.23697,5.43775,5.60389,5.90424,6.26874,6.45516,6.40399,6.43268,6.53906,6.51798,6.52891,6.04396,5.71049,5.77907,5.66055,5.71232,5.38072,5.74699,5.77576,5.70759,5.73440,5.75882,5.63007,5.58191,5.35073,5.41927,5.61194,5.44352,5.41551,5.52587,5.67964,5.73103,5.65596,5.81399,6.05943,6.23265,6.45703,6.58442,6.93773,7.32795,7.43667,7.40416,7.43799,7.25984,7.23757,7.16848,7.05678,7.22938,6.89544,6.75259,6.62399,6.36256,6.24571,6.14161,6.06853,5.89654,6.90233,6.54609,6.10766,5.75523,5.81327,5.41624,6.02274,5.72682,5.25798,5.40301
2018,Cardiff 33_11kV,15MAY2017,MW,5.31696,5.11252,5.03508,5.53103,4.90523,4.49392,4.20926,4.39351,4.15658,4.00126,3.93688,3.77346,3.70631,3.69909,3.70946,3.72553,3.69598,3.78148,3.86169,3.91487,4.06807,4.16954,4.47970,4.82193,5.31158,5.73685,6.15008,6.28267,6.57239,6.80561,7.01626,7.19713,7.26556,7.06504,6.95592,7.06350,7.00132,7.01090,6.79053,6.57977,6.90669,6.80677,6.97791,6.99107,7.18637,7.29275,7.21695,7.00452,6.91830,6.91013,7.09712,7.26919,7.18989,6.87075,6.75512,6.57026,6.48105,6.36507,6.77481,6.74884,6.30168,6.29121,6.35062,6.55808,6.62087,6.76403,7.07117,7.27183,7.76205,8.33177,8.76454,8.59374,8.57054,8.49017,8.37460,8.31081,8.22594,8.34908,8.08159,7.86553,7.70697,7.51130,7.32421,7.06673,6.91922,6.69615,6.77617,6.57076,7.79889,7.41716,6.98198,6.53956,6.77217,6.47393,6.55745,6.78038
2018,Cardiff 33_11kV,16MAY2017,MW,7.02272,6.68882,6.49169,6.53488,6.31601,6.02986,5.71435,5.92137,5.65752,5.34052,5.03086,4.79380,4.57414,4.42355,4.25747,4.11257,4.10867,4.08727,4.27592,4.35747,4.52795,4.75175,5.04623,5.29941,5.84399,6.24918,6.63157,6.87562,7.23117,7.63245,7.78387,7.86345,7.73917,7.61774,7.11765,6.81794,6.62355,6.62615,6.49932,6.38178,6.32627,6.21243,6.14652,6.10310,6.00178,5.93893,5.93185,5.82595,5.64685,5.69984,5.77042,5.82975,5.76436,5.82266,5.77028,5.69246,5.79458,5.92180,5.88057,6.02995,6.00324,6.03724,6.20278,6.27268,6.28849,6.48415,6.75872,7.11845,7.38177,8.01671,8.54054,8.37990,8.44187,8.41457,8.20558,8.11384,8.04919,8.24069,8.05671,7.90212,7.77684,7.66008,7.35883,7.13143,6.83176,6.66423,6.72246,6.46592,7.57714,7.46182,6.95516,6.55247,6.69368,6.32399,6.35893,6.77864
2018,Cardiff 33_11kV,17MAY2017,MW,7.00080,6.74205,6.50865,6.56352,6.35975,6.03497,5.72987,5.92537,5.52652,5.21423,4.88765,4.54662,4.32741,4.27614,4.21217,4.23234,4.18503,4.16067,4.22249,4.37469,4.57789,4.80172,5.08088,5.38326,5.87407,6.22336,6.92508,7.30692,7.71973,7.94886,8.15643,8.15204,7.97030,7.70725,7.48002,7.15739,6.82797,6.65219,6.52830,6.42423,6.35621,6.32864,6.17941,6.04087,5.91890,5.94232,6.04512,6.03160,6.20437,6.24159,6.12791,6.27270,6.36524,6.21069,6.11969,5.95692,5.97794,6.01328,6.20299,6.20079,6.13336,6.16002,6.30491,6.44255,6.47272,6.64008,6.91688,7.20968,7.49893,8.18605,8.47595,8.53853,8.44631,8.47156,8.28688,8.22223,8.26242,8.35892,8.22182,7.96535,7.94160,7.59955,7.35778,7.19188,7.06328,6.84786,6.95338,6.61068,7.53401,7.33925,6.88571,6.50328,6.81543,6.37599,6.42780,6.84844
