year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Careel Bay 33_11kV,01MAY2014,MW,4.25253,4.13250,3.97817,4.16679,5.07560,4.78410,4.35541,4.18394,3.87529,3.72096,3.49805,3.41231,3.41231,3.41231,3.30943,3.24084,3.30943,3.30943,3.30943,3.30943,3.41231,3.51520,3.66952,3.99532,4.38971,4.59548,4.98987,5.21278,5.14419,5.52143,5.55573,5.60717,5.74435,5.83008,5.60717,5.48714,5.43570,5.28137,5.16134,5.14419,5.05845,4.95557,4.88698,4.81839,4.83554,4.68121,4.83554,4.83554,4.80124,4.71551,4.66407,4.66407,4.66407,4.64692,4.62977,4.66407,4.68121,4.66407,4.66407,4.66407,4.64692,4.64692,4.64692,4.73266,4.97272,5.19563,5.29852,5.53858,5.72720,6.31021,6.92751,7.49337,7.66484,7.76773,7.87061,7.83632,7.75058,7.61340,7.42478,7.21901,6.99610,6.92751,7.09898,6.65315,6.44739,6.03585,6.07015,5.62432,5.77864,5.74435,5.34996,5.05845,5.04131,4.61262,4.62977,4.42400
2015,Careel Bay 33_11kV,02MAY2014,MW,4.30397,4.16679,3.97817,4.04676,4.86983,4.64692,4.25253,4.11535,3.84100,3.66952,3.56664,3.48090,3.37802,3.34372,3.37802,3.25799,3.30943,3.30943,3.36087,3.37802,3.42946,3.54949,3.72096,3.89244,4.13250,4.52689,4.74980,4.98987,5.16134,5.48714,5.65861,5.64146,5.84723,5.71005,5.60717,5.52143,5.43570,5.45284,5.33281,5.17849,5.10990,5.12704,5.07560,4.93842,4.88698,4.81839,4.80124,4.73266,4.86983,5.05845,4.97272,4.93842,4.93842,4.95557,4.92128,4.95557,5.07560,4.98987,4.95557,4.95557,4.90413,4.90413,4.90413,5.02416,5.14419,5.46999,5.65861,5.83008,6.13873,6.72174,7.25331,7.54481,7.61340,7.71629,7.73343,7.73343,7.63055,7.37334,7.25331,7.06469,6.92751,6.96181,7.01325,6.60171,6.37880,6.15588,6.20732,5.96726,6.08729,6.07015,5.74435,5.36711,5.31566,4.83554,4.86983,4.62977
2015,Careel Bay 33_11kV,03MAY2014,MW,4.54404,4.45830,4.32112,4.35541,5.16134,4.81839,4.40686,4.25253,4.02962,3.78955,3.72096,3.58379,3.46376,3.37802,3.37802,3.37802,3.30943,3.30943,3.30943,3.24084,3.22369,3.36087,3.37802,3.46376,3.68667,4.08106,4.37256,4.69836,4.83554,4.97272,5.28137,5.69290,5.91582,6.07015,6.01870,6.00156,6.17303,6.12159,6.01870,6.01870,6.01870,5.91582,5.84723,5.72720,5.71005,5.57287,5.59002,5.55573,5.43570,5.38425,5.53858,5.50428,5.74435,5.65861,5.45284,5.50428,5.53858,5.45284,5.50428,5.48714,5.76149,5.79579,5.89867,6.03585,6.34450,6.56742,6.84177,7.20187,7.57911,8.07638,8.33359,8.79657,8.88230,8.93374,8.83086,8.74512,8.55650,8.28215,8.09353,7.95635,7.63055,7.59626,7.75058,7.33905,7.04754,6.70460,6.73889,6.53312,6.68745,6.65315,6.24162,5.95011,5.93297,5.48714,5.33281,5.07560
2015,Careel Bay 33_11kV,04MAY2014,MW,5.02416,4.83554,4.62977,4.73266,5.52143,5.26422,4.85269,4.61262,4.37256,4.26968,4.13250,4.06391,3.90959,3.82385,3.72096,3.72096,3.70382,3.61808,3.54949,3.58379,3.53234,3.70382,3.70382,3.70382,3.92673,4.11535,4.21824,4.47545,4.69836,5.00701,5.22993,5.60717,5.83008,6.03585,6.29306,6.31021,6.44739,6.55027,6.53312,6.39594,6.43024,6.27591,6.10444,5.89867,5.81294,5.72720,5.64146,5.64146,5.52143,5.50428,5.34996,5.33281,5.38425,5.38425,5.24707,5.43570,5.28137,5.33281,5.28137,5.31566,5.40140,5.50428,5.50428,5.55573,5.84723,6.10444,6.37880,6.92751,7.16757,7.76773,8.43647,9.01948,9.15666,9.24240,9.05378,8.86516,8.53936,8.26500,8.04209,7.90491,7.71629,7.66484,7.76773,7.37334,7.09898,6.68745,6.55027,6.07015,6.22447,6.13873,5.74435,5.38425,5.46999,4.95557,4.95557,4.73266
2015,Careel Bay 33_11kV,05MAY2014,MW,4.66407,4.49259,4.28683,4.45830,5.29852,5.07560,4.62977,4.44115,4.20109,4.09821,3.96103,3.94388,3.78955,3.77241,3.77241,3.58379,3.72096,3.58379,3.56664,3.68667,3.73811,3.94388,4.11535,4.42400,4.80124,5.05845,5.31566,5.67576,5.76149,6.01870,6.25877,6.51598,6.55027,6.65315,6.39594,6.34450,6.12159,5.98441,5.72720,5.71005,5.57287,5.50428,5.50428,5.46999,5.29852,5.22993,5.14419,5.14419,5.21278,5.02416,4.92128,4.97272,5.07560,4.90413,4.93842,4.86983,4.78410,4.88698,4.85269,4.86983,4.85269,4.92128,5.07560,5.17849,5.34996,5.57287,5.98441,6.22447,6.56742,7.33905,8.16212,8.67654,8.89945,8.93374,9.00233,8.88230,8.76227,8.50506,8.38503,8.11067,7.85346,7.75058,7.92205,7.45908,7.20187,6.89322,6.92751,6.32735,6.39594,6.34450,5.89867,5.57287,5.38425,5.02416,4.90413,4.78410
2015,Careel Bay 33_11kV,06MAY2014,MW,4.68121,4.47545,4.33827,4.35541,5.19563,4.97272,4.68121,4.50974,4.28683,4.02962,3.97817,3.89244,3.77241,3.72096,3.63523,3.61808,3.75526,3.61808,3.61808,3.68667,3.77241,3.90959,4.09821,4.42400,4.69836,5.16134,5.48714,5.79579,5.81294,6.24162,6.48168,6.46453,6.72174,6.60171,6.37880,6.46453,6.53312,6.46453,6.12159,5.83008,5.60717,5.53858,5.31566,5.24707,5.19563,5.24707,5.17849,5.28137,5.16134,5.12704,5.10990,4.93842,4.95557,4.92128,4.83554,4.73266,4.73266,4.88698,4.88698,4.73266,4.85269,4.86983,4.92128,5.14419,5.26422,5.59002,5.91582,6.25877,6.67030,7.09898,7.66484,8.17926,8.47077,8.50506,8.55650,8.48791,8.24785,8.09353,8.05923,7.80202,7.51052,7.45908,7.64770,7.21901,6.97895,6.61886,6.51598,6.15588,6.24162,6.00156,5.64146,5.36711,5.29852,4.81839,4.88698,4.64692
2015,Careel Bay 33_11kV,07MAY2014,MW,4.54404,4.44115,4.16679,4.26968,5.04131,4.86983,4.57833,4.44115,4.25253,4.02962,3.82385,3.68667,3.60093,3.60093,3.60093,3.60093,3.54949,3.54949,3.54949,3.60093,3.60093,3.89244,4.01247,4.25253,4.59548,5.09275,5.26422,5.72720,5.74435,5.95011,6.07015,6.22447,6.24162,6.29306,6.22447,6.22447,6.12159,5.95011,5.67576,5.55573,5.43570,5.24707,5.17849,5.09275,5.09275,5.09275,5.09275,4.98987,4.95557,5.04131,4.95557,4.92128,4.92128,4.81839,4.74980,4.74980,4.68121,4.68121,4.78410,4.85269,4.83554,4.83554,4.93842,5.16134,5.22993,5.55573,5.79579,6.01870,6.51598,7.21901,7.83632,8.19641,8.36788,8.64224,8.64224,8.48791,8.45362,8.19641,8.17926,7.97350,7.64770,7.51052,7.64770,7.25331,7.04754,6.60171,6.55027,6.15588,6.37880,6.25877,5.84723,5.53858,5.53858,4.97272,4.86983,4.61262
2015,Careel Bay 33_11kV,08MAY2014,MW,4.47545,4.40686,4.13250,4.25253,5.17849,5.09275,4.64692,4.35541,4.14965,4.09821,3.99532,3.80670,3.68667,3.68667,3.44661,3.56664,3.49805,3.49805,3.60093,3.60093,3.63523,3.89244,4.09821,4.44115,4.71551,5.09275,5.34996,5.69290,5.79579,6.22447,6.44739,6.61886,6.68745,6.63601,6.46453,6.43024,6.37880,6.46453,6.20732,5.96726,5.74435,5.55573,5.53858,5.53858,5.33281,5.22993,5.16134,5.09275,5.09275,5.09275,5.04131,5.00701,4.90413,4.81839,4.98987,4.88698,4.85269,4.90413,4.93842,5.05845,5.02416,4.92128,4.98987,5.17849,5.36711,5.53858,5.69290,5.98441,6.44739,7.03039,7.66484,8.04209,8.40218,8.41933,8.47077,8.55650,8.36788,8.28215,8.07638,7.81917,7.59626,7.49337,7.61340,7.15043,6.91036,6.53312,6.44739,6.03585,6.19018,6.13873,5.81294,5.46999,5.41855,4.86983,4.85269,4.57833
2015,Careel Bay 33_11kV,09MAY2014,MW,4.57833,4.47545,4.25253,4.44115,5.17849,5.00701,4.61262,4.40686,4.11535,4.06391,3.92673,3.85814,3.72096,3.66952,3.58379,3.58379,3.65238,3.58379,3.56664,3.56664,3.72096,3.84100,4.06391,4.30397,4.66407,5.05845,5.43570,5.59002,5.50428,5.76149,5.98441,5.96726,6.05300,6.15588,6.25877,6.07015,5.89867,5.84723,5.71005,5.71005,5.57287,5.31566,5.33281,5.31566,5.22993,5.14419,5.00701,4.98987,5.05845,5.05845,4.97272,4.95557,4.92128,4.88698,4.92128,5.02416,5.02416,5.02416,4.98987,4.92128,5.02416,5.05845,5.16134,5.31566,5.52143,5.69290,5.98441,6.43024,6.80748,7.32190,7.76773,8.05923,8.12782,8.21356,8.16212,8.07638,7.93920,7.80202,7.57911,7.40763,7.18472,7.06469,7.28760,7.04754,6.77318,6.58456,6.63601,6.15588,6.25877,6.24162,5.86438,5.52143,5.53858,5.02416,4.93842,4.76695
2015,Careel Bay 33_11kV,10MAY2014,MW,4.69836,4.45830,4.32112,4.44115,5.24707,4.97272,4.59548,4.44115,4.28683,4.09821,3.82385,3.75526,3.65238,3.65238,3.49805,3.46376,3.46376,3.46376,3.46376,3.46376,3.49805,3.63523,3.75526,3.78955,3.92673,4.25253,4.42400,4.69836,4.90413,5.04131,5.29852,5.60717,5.74435,5.93297,6.05300,6.01870,6.01870,6.01870,5.89867,6.19018,6.12159,6.00156,5.84723,5.76149,5.76149,5.67576,5.50428,5.50428,5.59002,5.40140,5.36711,5.45284,5.36711,5.31566,5.31566,5.21278,5.26422,5.31566,5.50428,5.57287,5.62432,5.77864,5.71005,5.77864,6.05300,6.22447,6.49883,6.97895,7.15043,7.73343,8.07638,8.24785,8.29929,8.35074,8.28215,8.00779,7.85346,7.56196,7.33905,7.11613,6.97895,6.94466,7.27046,6.82463,6.56742,6.31021,6.29306,5.89867,6.19018,6.24162,5.93297,5.71005,5.74435,5.16134,5.24707,5.07560
