year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Caringbah 33_11kV,01MAY2015,MW,9.60015,9.32138,8.99034,9.28653,9.82665,9.94861,9.58273,9.16457,8.85095,8.92065,8.48507,8.20630,7.85784,7.85784,7.73587,7.63133,7.59649,7.42226,7.59649,7.71845,7.84041,8.22372,8.58961,8.95549,9.63500,10.05315,10.55842,10.55842,11.27277,11.79547,12.10908,12.57951,12.89312,12.87570,13.06735,13.10220,13.29386,13.38097,13.46809,13.78170,13.53778,13.50293,13.39839,13.31128,13.45066,13.45066,13.43324,13.41582,13.36355,13.53778,13.18932,13.11962,13.15447,13.01508,13.15447,13.03251,12.92797,12.68405,12.63178,12.44012,12.12650,12.02197,11.74320,11.79547,11.98712,12.17877,12.14393,12.24847,12.52724,12.75374,12.89312,13.03251,12.71889,12.44012,12.47497,12.28331,11.90000,11.81289,11.63866,11.29019,11.08112,11.08112,10.73265,10.59327,10.41904,10.12284,10.05315,9.84407,9.63500,9.46076,9.11230,8.85095,10.14027,10.00088,10.14027,9.91377
2016,Caringbah 33_11kV,02MAY2015,MW,9.70469,9.32138,8.79869,9.23426,9.65242,9.70469,9.25169,8.92065,8.57218,8.67672,8.36311,7.99722,7.75330,7.40483,7.30030,7.21318,7.36999,7.19576,7.10864,7.26545,7.33514,7.05637,7.38741,7.47453,7.59649,7.75330,8.04949,8.11918,8.41538,8.65930,9.04261,9.39107,9.98346,10.20996,10.40161,10.66296,10.76750,10.75008,10.75008,10.69781,10.66296,10.76750,11.15081,11.25535,11.13339,11.16823,10.87204,10.78492,10.71523,10.40161,10.50615,10.57585,10.62811,10.10542,9.80923,10.01830,10.15769,9.75696,9.80923,9.86150,10.08800,10.29708,10.05315,10.19254,10.41904,10.15769,10.22738,10.45388,10.50615,10.71523,11.35989,11.25535,11.16823,10.92431,10.90689,10.87204,10.45388,10.15769,10.10542,10.10542,9.89634,9.77438,9.70469,9.37365,9.21684,9.09488,8.95549,8.71157,8.67672,8.43280,8.25857,8.17145,9.28653,9.28653,9.63500,9.02519
2016,Caringbah 33_11kV,03MAY2015,MW,8.88580,8.39795,7.94495,8.29341,8.62445,8.78126,8.48507,7.66618,7.30030,7.33514,7.21318,6.95183,6.81245,6.46398,6.28975,6.34202,6.27233,6.20264,6.16779,6.11552,6.16779,6.28975,6.41172,6.28975,6.46398,6.60337,6.62079,6.63822,6.81245,7.33514,7.52680,7.91011,8.25857,8.41538,8.79869,9.18199,9.30396,9.40850,9.39107,9.61757,9.77438,9.82665,9.84407,9.91377,10.08800,9.89634,9.84407,9.70469,9.84407,9.66984,9.42592,9.37365,9.33880,9.14715,9.19942,8.95549,8.95549,9.19942,9.23426,9.11230,9.46076,9.33880,9.35623,9.19942,9.49561,9.47819,9.65242,10.01830,10.15769,10.78492,10.95915,11.11596,11.11596,10.83719,11.06369,10.94173,10.66296,10.36677,10.34934,10.00088,9.86150,9.72211,9.46076,9.32138,8.97292,8.65930,8.36311,8.17145,7.91011,7.80557,7.64876,7.24803,8.53734,8.50249,8.62445,8.31084
2016,Caringbah 33_11kV,04MAY2015,MW,8.01464,7.85784,7.63133,7.99722,8.76384,8.64188,8.34568,7.84041,7.47453,7.47453,7.02153,6.95183,6.69049,6.58595,6.41172,6.30718,6.20264,6.27233,6.25491,6.44656,6.49883,6.77760,7.09122,7.70103,8.64188,9.19942,9.82665,10.12284,10.62811,11.29019,11.67350,11.88258,12.33558,12.50981,12.80601,12.94539,12.99766,12.94539,12.94539,13.04993,12.98024,12.82343,13.06735,13.11962,13.15447,13.18932,12.98024,13.13705,13.22416,13.17189,13.24159,13.31128,13.34612,13.20674,13.11962,13.15447,13.17189,13.20674,12.92797,12.80601,12.50981,12.45754,12.35301,12.40527,12.50981,12.54466,12.61435,12.84085,12.61435,12.64920,13.13705,13.25901,13.20674,13.08478,12.77116,12.47497,12.17877,11.96970,11.90000,11.60381,11.42958,11.34246,10.94173,10.66296,10.61069,10.14027,9.93119,9.60015,9.54788,9.11230,8.99034,8.58961,9.70469,9.61757,9.66984,9.44334
2016,Caringbah 33_11kV,05MAY2015,MW,9.32138,9.04261,8.60703,9.19942,9.61757,9.70469,9.32138,9.06003,8.65930,8.57218,8.18888,8.18888,7.82299,7.77072,7.68360,7.50937,7.56164,7.45710,7.66618,7.75330,7.97980,8.13661,8.36311,8.76384,9.60015,10.38419,10.54100,10.59327,11.01142,11.41216,11.93485,12.17877,12.45754,12.59693,12.80601,12.71889,12.80601,12.75374,13.01508,12.77116,13.01508,13.13705,13.20674,13.31128,13.34612,13.36355,13.59005,13.65974,13.65974,13.53778,13.48551,13.55520,13.46809,13.39839,13.53778,13.29386,13.45066,13.36355,13.59005,13.43324,13.13705,13.17189,13.32870,13.11962,13.08478,12.92797,13.17189,12.96282,12.96282,13.08478,13.04993,12.99766,12.98024,12.84085,12.87570,12.56208,12.17877,12.07424,11.74320,11.55154,11.39473,11.32504,11.16823,10.87204,10.48873,10.34934,9.84407,9.54788,9.49561,9.39107,9.12972,8.62445,9.82665,9.60015,9.89634,9.30396
2016,Caringbah 33_11kV,06MAY2015,MW,9.28653,8.86838,8.64188,8.88580,9.56530,9.49561,8.97292,8.45022,8.10176,8.41538,8.06691,8.04949,7.68360,7.75330,7.54422,7.43968,7.43968,7.43968,7.38741,7.45710,7.87526,7.97980,8.32826,8.79869,9.66984,10.08800,10.66296,10.29708,11.20308,11.48185,11.76062,11.93485,12.31816,12.56208,12.77116,12.63178,12.85828,12.98024,12.82343,12.77116,12.77116,12.84085,12.91055,12.99766,12.91055,12.84085,12.78858,12.87570,12.68405,12.59693,12.78858,12.77116,12.71889,12.78858,12.84085,12.89312,12.71889,12.73631,12.68405,12.54466,12.38785,12.24847,12.23104,12.12650,12.03939,12.16135,12.40527,12.64920,12.75374,12.96282,13.13705,13.25901,13.13705,13.18932,13.04993,12.78858,12.42270,12.37043,12.17877,12.03939,11.69093,11.48185,11.35989,11.29019,11.02885,10.81977,10.47131,10.03573,9.96604,9.54788,9.46076,9.04261,10.22738,10.08800,10.14027,9.84407
2016,Caringbah 33_11kV,07MAY2015,MW,9.56530,9.60015,9.19942,9.42592,9.86150,9.89634,9.54788,9.16457,8.67672,8.71157,8.48507,8.57218,8.13661,8.13661,7.92753,7.71845,7.54422,7.68360,7.77072,7.89268,8.15403,8.32826,8.71157,9.14715,9.80923,10.38419,11.18566,10.85462,11.60381,12.16135,12.40527,12.66662,12.96282,13.13705,13.38097,13.31128,13.36355,13.36355,13.39839,13.50293,13.45066,13.20674,13.20674,13.36355,13.38097,13.31128,13.36355,13.29386,12.87570,12.94539,13.06735,12.92797,12.75374,12.75374,12.70147,12.77116,12.80601,12.89312,12.63178,12.57951,12.44012,12.30074,12.09166,12.14393,12.31816,12.52724,12.73631,12.92797,12.96282,13.20674,13.85140,13.92109,13.67716,13.41582,13.25901,13.18932,12.87570,12.68405,12.64920,12.44012,12.28331,12.28331,11.98712,11.63866,11.25535,11.02885,10.73265,10.40161,10.03573,9.70469,9.61757,9.19942,10.54100,10.15769,10.38419,9.98346
2016,Caringbah 33_11kV,08MAY2015,MW,9.80923,9.51303,9.09488,9.73953,10.08800,10.20996,9.86150,9.33880,8.71157,8.72899,8.55476,8.53734,8.38053,8.18888,7.85784,7.73587,7.63133,7.64876,7.73587,8.08434,8.24114,8.50249,8.74642,9.07746,9.79180,10.48873,11.06369,11.01142,11.53412,12.19620,12.59693,12.64920,13.13705,13.22416,13.22416,13.22416,13.39839,13.32870,13.17189,13.20674,13.25901,13.06735,13.03251,12.94539,12.94539,12.92797,12.89312,13.04993,12.78858,12.59693,12.70147,12.57951,12.38785,12.26589,12.28331,12.35301,12.40527,12.35301,12.16135,12.07424,11.72577,11.70835,11.79547,11.88258,11.91743,11.84773,11.90000,12.23104,12.47497,12.61435,13.46809,13.18932,12.98024,12.96282,12.85828,12.82343,12.47497,12.30074,12.24847,12.21362,11.93485,11.79547,11.53412,11.53412,11.27277,10.71523,10.43646,10.48873,10.36677,9.96604,9.73953,9.39107,10.75008,10.55842,10.71523,10.33192
2016,Caringbah 33_11kV,09MAY2015,MW,10.01830,9.70469,9.46076,9.82665,10.12284,10.12284,9.82665,9.37365,8.81611,8.78126,8.48507,8.58961,8.50249,8.22372,7.92753,7.57907,7.71845,7.59649,7.71845,7.63133,7.61391,7.87526,7.97980,8.11918,8.31084,8.25857,8.39795,8.50249,8.78126,9.32138,9.49561,9.58273,10.05315,10.03573,10.22738,10.29708,10.57585,10.57585,10.55842,10.47131,10.26223,10.36677,10.19254,10.07057,10.17511,9.94861,9.94861,9.77438,9.72211,9.66984,9.58273,9.65242,9.51303,9.25169,9.18199,9.19942,8.99034,8.97292,8.99034,9.02519,9.28653,9.19942,8.90322,9.04261,9.47819,9.44334,9.86150,10.17511,10.40161,10.66296,10.88946,11.04627,11.06369,10.80235,10.83719,10.68038,10.31450,10.26223,10.31450,10.27965,10.15769,9.96604,9.73953,9.60015,9.44334,9.19942,9.02519,8.79869,8.79869,8.58961,8.41538,8.11918,9.33880,9.39107,9.44334,9.14715
2016,Caringbah 33_11kV,10MAY2015,MW,8.99034,8.69415,8.41538,8.81611,9.09488,9.11230,8.83353,8.41538,7.85784,8.06691,7.85784,7.73587,7.52680,7.09122,6.88214,6.72533,6.58595,6.34202,6.62079,6.41172,6.56852,6.60337,6.67306,6.79502,6.82987,6.79502,6.72533,7.05637,7.31772,7.71845,8.20630,8.38053,8.50249,8.90322,9.07746,9.12972,9.25169,9.23426,9.28653,9.06003,9.25169,9.09488,8.85095,9.06003,9.09488,9.16457,9.37365,9.51303,9.32138,9.19942,8.88580,8.60703,8.34568,8.20630,8.18888,8.29341,8.20630,8.13661,8.20630,8.32826,8.39795,8.43280,8.53734,8.93807,8.88580,9.18199,9.40850,9.79180,9.96604,10.24481,10.54100,10.81977,10.80235,10.57585,10.62811,10.76750,10.50615,10.43646,10.12284,10.14027,9.93119,9.73953,9.68727,9.54788,9.28653,8.92065,8.85095,8.48507,8.45022,8.03207,7.94495,7.71845,8.92065,8.76384,8.92065,8.62445
