year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Cessnock 33_11kV,01MAY2016,MW,5.48572,5.26992,5.24586,4.96719,4.73030,4.54248,4.46681,4.45563,4.35473,4.25656,4.25945,4.28212,4.16711,4.09743,4.03085,4.04796,4.17480,4.17047,4.15823,4.18092,4.27319,4.33952,4.43423,4.50635,4.73834,4.78272,4.87498,5.48457,5.78608,6.03389,6.26241,6.49846,6.73878,7.10232,7.17438,7.52597,8.01251,8.11086,7.96395,7.93609,7.69845,7.63023,7.47558,7.55335,7.39027,7.30521,7.33204,7.36212,7.32807,7.32873,7.51787,7.21463,7.02269,6.95069,6.79904,6.87377,6.77840,6.53408,6.61939,6.82881,6.86910,6.88123,6.96209,7.12227,7.35449,7.58639,7.92924,8.17010,8.49977,8.95780,9.35283,9.66566,9.61531,9.55246,9.50916,9.22122,8.84768,8.64822,8.38519,8.01234,7.77929,7.61404,7.41451,7.18504,6.76101,6.64916,6.65805,6.42147,6.28963,6.16489,5.88041,5.72080,6.16832,5.85057,5.69474,5.56551
2017,Cessnock 33_11kV,02MAY2016,MW,5.41500,5.17924,5.21229,4.86774,4.61071,4.57233,4.53899,4.38441,4.35169,4.17804,4.21730,4.16292,4.14051,4.00200,4.06246,4.12927,4.17908,4.19355,4.26138,4.52817,4.76995,5.00722,5.17256,5.33763,5.57729,5.77306,6.09936,6.43915,6.31945,6.27583,6.35729,6.35693,6.34545,6.33445,6.15766,6.09938,5.96452,5.98752,5.89322,5.76375,5.74448,5.72871,5.62811,5.69443,5.72624,5.66569,5.64351,6.11292,6.21837,5.89328,5.92613,6.07171,6.18787,6.23681,6.35902,6.42587,6.47506,6.57473,6.58620,6.55858,6.63874,6.73382,6.86861,7.00431,7.13045,7.28255,7.56210,7.82940,8.32696,8.75314,9.09967,9.06247,9.00801,8.98252,8.72136,8.36414,8.13931,7.83504,7.55915,7.42619,7.23033,7.00922,6.88245,6.66919,6.47341,6.48323,6.75635,6.65386,6.34221,6.16827,5.90685,5.58082,7.80336,7.92229,7.62202,7.24210
2017,Cessnock 33_11kV,03MAY2016,MW,8.21345,7.89295,7.44857,6.74729,6.15816,5.80315,5.36567,5.04196,4.76826,4.54075,4.29602,4.23140,4.27193,4.27535,4.17221,4.26426,4.23241,4.33238,4.33281,4.40279,4.67562,4.86032,5.08747,5.25363,5.49198,5.75645,5.97531,6.31966,6.12082,6.16905,6.33146,6.14087,6.03172,5.89735,5.81270,5.69533,5.70996,5.67286,5.62515,5.54564,5.64238,5.75736,5.71990,5.68054,5.54344,5.61157,5.62518,6.01140,5.92813,5.65236,5.57619,5.75529,5.66126,5.60825,5.56853,5.59840,5.76453,5.69611,5.58301,5.95801,6.14032,6.21310,6.31245,6.39898,6.54777,6.76233,6.97473,7.07711,7.32110,7.85927,8.27486,8.48111,8.45782,8.34658,8.22478,8.06314,7.89166,7.68862,7.47136,7.25134,7.03938,6.75231,6.69367,6.51216,6.36121,6.30433,6.56053,6.44377,6.39253,6.19625,5.85833,5.69514,7.91099,7.90386,7.59252,6.98260
2017,Cessnock 33_11kV,04MAY2016,MW,7.87587,7.62355,7.24464,6.65866,6.18439,5.66170,5.36651,5.07890,4.84588,4.65038,4.53652,4.42770,4.38655,4.36125,4.29002,4.31109,4.31020,4.35157,4.41868,4.60239,4.80945,5.06004,5.16878,5.23774,5.62417,5.85444,6.05540,6.32596,6.09351,6.17211,6.32839,6.34415,6.23325,6.20012,6.08787,5.91399,5.88640,5.66229,5.66144,5.54773,5.50747,5.48785,5.41907,5.36370,5.44638,5.37772,5.37142,5.52079,5.65115,5.66281,5.74968,5.73915,5.81855,5.86734,5.92234,5.92380,6.05172,6.25129,6.45304,6.48680,6.37928,6.52374,6.48047,6.71138,6.68900,6.83872,7.06096,7.15471,7.47936,7.90532,8.40477,8.45663,8.40318,8.29533,8.04825,7.86785,7.73406,7.58082,7.46675,7.34893,7.07605,6.88630,6.77263,6.65671,6.57194,6.54997,6.61012,6.46102,6.33243,6.20076,5.92104,5.59272,7.86022,7.93091,7.55103,7.05297
2017,Cessnock 33_11kV,05MAY2016,MW,7.92478,7.69518,7.40087,6.76263,6.30999,5.84409,5.36805,5.07494,4.84488,4.53420,4.39820,4.33091,4.35317,4.38267,4.32215,4.41852,4.44502,4.46108,4.58580,4.78549,4.95089,5.09811,5.31336,5.48886,5.94901,6.09817,6.38458,6.72421,6.49913,6.68710,6.68215,6.61251,6.55369,6.36458,6.27333,6.05238,6.03882,5.77077,5.71835,5.54705,5.41391,5.42683,5.32677,5.20258,5.12371,5.18810,5.21904,5.25182,5.28437,5.34763,5.35431,5.39096,5.30866,5.42880,5.37889,5.49490,5.52040,5.55776,5.77876,5.85949,5.92859,6.01255,6.17048,6.40319,6.50379,6.72273,6.91255,7.05511,7.41402,7.77926,8.42059,8.59325,8.62751,8.57486,8.49828,8.23723,8.02528,7.76068,7.54041,7.38701,7.21760,7.09170,7.05388,6.83461,6.65403,6.62988,6.99840,6.83774,6.59369,6.30504,5.99766,5.86465,8.07594,8.19958,7.72424,7.26490
2017,Cessnock 33_11kV,06MAY2016,MW,8.19803,8.12566,7.75538,7.00275,6.45494,6.09036,5.67311,5.41904,5.05939,4.79043,4.71348,4.61759,4.45912,4.47108,4.41218,4.36003,4.42620,4.33249,4.47357,4.61336,4.83699,4.97706,5.21992,5.48885,5.84363,6.08639,6.39395,7.03654,6.85976,6.98090,6.85394,6.89905,6.84837,6.64695,6.48542,6.18328,5.93637,5.89930,5.67658,5.53130,5.58676,5.38559,5.38783,5.60382,5.22537,5.18220,5.28503,5.58678,5.59515,5.49765,5.47945,5.47641,5.49580,5.62274,5.67593,5.82568,5.78912,5.83800,5.92140,6.00189,6.08503,6.24612,6.54813,6.57715,6.77834,6.90636,7.06443,7.22241,7.43341,7.70721,8.16273,8.41784,8.42562,8.36109,8.13065,7.97354,7.81228,7.51509,7.29949,7.06445,6.88195,6.77210,6.70054,6.62127,6.64626,6.67843,6.85175,6.68526,6.58727,6.39557,6.17382,5.98660,8.19493,8.14784,7.77656,7.29058
2017,Cessnock 33_11kV,07MAY2016,MW,8.12813,7.92905,7.63837,6.98815,6.36060,5.85573,5.59446,5.29133,5.04030,4.78905,4.62493,4.53059,4.58431,4.45522,4.40759,4.30340,4.36295,4.41319,4.38724,4.52228,4.59652,4.66891,4.71290,4.86135,5.15704,5.36154,5.46284,5.81265,6.08598,6.53107,6.65487,6.86689,7.06619,7.12532,7.12044,7.01147,6.80583,6.71367,6.56085,6.33053,6.06553,6.11984,6.02581,5.93492,6.00955,5.92899,5.79529,5.63265,5.73093,5.90327,5.80552,5.76292,5.64937,5.82320,5.78092,5.87898,5.78695,6.06488,6.04060,6.03734,6.14834,6.13106,6.26633,6.39443,6.48754,6.45829,6.70235,7.07924,7.54304,8.17624,8.77735,8.93457,8.75294,8.65527,8.51939,8.26425,8.06671,8.02064,7.96922,7.79891,7.50649,7.24920,7.21562,6.98499,6.74000,6.58907,6.58137,6.29196,6.11882,6.06310,5.89011,5.70464,6.12272,5.92374,5.85620,5.72001
2017,Cessnock 33_11kV,08MAY2016,MW,5.45124,5.12653,5.22757,5.03987,4.89798,4.77346,4.59517,4.32822,4.22828,4.22001,4.20116,4.13954,4.09952,4.17724,4.18277,4.17877,4.14115,4.15200,4.19379,4.22671,4.34087,4.26823,4.38326,4.52121,4.66853,4.79148,4.73774,5.11073,5.36605,5.78724,6.15985,6.38837,6.94241,7.21787,7.24464,7.31484,7.43508,7.25877,7.44804,7.33714,7.04378,7.11527,6.96744,6.94679,6.84295,6.74919,6.78786,6.75132,6.55581,5.85778,5.75218,5.57651,5.93569,5.90216,5.91810,5.95351,5.79320,5.70356,5.79189,5.75506,5.76500,5.91498,6.09570,6.29905,6.52959,6.84601,7.03047,7.54158,8.09873,8.60096,8.80067,8.89504,8.83071,8.65335,8.52392,8.41892,8.32414,8.19083,8.06930,7.83298,7.63660,7.41392,7.22965,7.04130,6.72904,6.39547,6.28312,6.04585,6.00996,5.88354,5.57876,5.29104,5.91061,5.74295,5.62481,5.31964
2017,Cessnock 33_11kV,09MAY2016,MW,5.10691,4.89738,4.86882,4.56932,4.46602,4.41316,4.28191,4.18588,4.08455,4.07683,4.09218,4.14080,4.27900,4.16779,4.18134,4.28379,4.36477,4.36422,4.46681,4.75911,4.99125,5.07921,5.24763,5.30571,5.58039,5.75848,6.04977,6.28022,6.45935,6.57705,6.74808,6.78377,6.96785,7.14845,7.27523,7.20411,7.27790,7.11425,7.11033,7.09366,7.06537,6.99650,6.93297,6.92258,7.01474,7.02332,6.91767,6.96656,6.97517,6.87606,6.88981,6.74727,6.81213,6.92577,6.83573,6.86256,6.77003,6.94627,7.01624,6.91181,6.89643,7.01845,7.25244,7.31090,7.44157,7.54560,7.86359,8.24571,8.75043,9.15753,9.19271,9.22584,9.25597,9.03828,8.64594,8.36447,8.19134,7.91748,7.73023,7.61068,7.29380,7.07199,6.93976,6.80591,6.61579,6.60595,6.82675,6.62510,6.45268,6.28689,6.05085,5.78459,8.03479,8.23198,8.01284,7.53976
2017,Cessnock 33_11kV,10MAY2016,MW,8.29675,7.97671,7.48634,6.90303,6.44769,5.81430,5.38500,4.99600,4.75919,4.57777,4.38361,4.31039,4.35480,4.30689,4.21036,4.26303,4.31236,4.38143,4.51170,4.64991,4.76742,4.93504,5.03160,5.18947,5.53082,5.77729,6.04862,6.37265,6.32324,6.37255,6.53214,6.88181,6.67899,6.50408,6.41925,6.24701,6.15741,6.05528,5.88325,5.68283,5.85171,5.82525,5.74847,5.81644,5.75160,5.58529,5.70126,5.72623,5.64394,5.62110,5.55040,5.51778,5.68219,5.63182,5.59574,5.56540,5.69463,5.75635,5.83297,5.78424,5.82723,6.02020,6.21746,6.29806,6.54846,6.72164,6.99995,7.32238,7.77523,8.36991,8.83106,8.92732,8.78835,8.83164,8.65939,8.50253,8.44027,8.16862,7.94575,7.68402,7.35476,7.06474,6.97398,6.73562,6.55319,6.43575,6.64516,6.58269,6.47221,6.22346,5.88071,5.62958,7.95899,8.02749,7.70165,7.17113
