year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Charlestown 132_11kV,01MAY2015,MW,12.05280,11.23284,11.03516,11.78335,11.05315,10.39046,10.03459,10.37750,9.61697,9.00562,8.52717,7.90560,7.90560,7.77124,7.25760,7.25760,7.25760,7.25760,7.25760,7.25760,7.25760,7.25760,7.83807,8.28148,8.88793,9.47899,10.31055,10.58100,10.74295,11.32568,11.88226,12.44160,12.44160,12.56698,13.08960,13.08960,13.08960,13.08960,13.08960,13.08960,12.45744,12.44160,12.44160,12.44160,12.44160,12.44160,12.44160,12.44160,12.44160,12.44160,12.25817,11.79360,11.79360,11.79360,11.79360,11.79360,11.79360,12.07466,12.04382,11.79360,11.79360,11.83015,12.44160,12.44160,12.51025,13.08960,13.16911,13.73760,14.05892,14.38560,14.98312,15.03360,14.80352,14.38560,14.27414,13.73760,13.71013,13.79246,13.24265,12.96000,12.72555,12.31200,12.16211,11.66400,11.54693,11.01600,11.01600,11.01600,14.32004,14.24040,13.60800,12.91951,12.74403,12.04497,12.07407,12.23105
2016,Charlestown 132_11kV,02MAY2015,MW,12.38008,11.66672,11.51701,12.14825,11.25236,10.62126,9.91322,9.32644,9.68799,9.18634,8.48164,8.10980,7.77600,7.77600,7.72857,7.12800,7.12800,7.12800,7.12800,7.12800,7.12800,7.12800,7.12800,7.12800,7.57599,8.01762,8.42400,8.42400,9.42197,9.86320,10.36800,10.47860,11.01600,11.37545,12.07715,12.67718,13.10509,13.48617,12.96000,13.26111,12.99477,13.37548,13.36546,12.36052,13.07582,12.96000,12.96000,12.77952,12.31200,12.31200,12.61880,12.31200,12.31200,12.31200,12.65521,12.31200,12.31200,12.31200,12.31200,12.83273,12.96000,12.96000,12.96000,12.96000,12.96000,13.37004,13.57322,13.11798,13.60800,13.76094,14.11044,13.47840,13.75872,13.47840,13.17617,12.83040,12.83236,12.98285,12.44160,11.80492,11.72986,11.14560,11.14560,10.97910,10.49760,10.49760,12.93609,12.18739,11.96462,11.76800,11.99617,11.42628,12.05821,11.16334,10.36312,10.46003
2016,Charlestown 132_11kV,03MAY2015,MW,10.35284,9.39151,9.32332,10.42190,9.24173,8.24172,7.87584,7.38720,7.38720,7.38720,7.38720,7.38720,7.22286,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,7.17710,7.38720,7.51891,8.04090,8.68320,8.81001,9.33120,9.33120,9.77465,10.36454,10.99162,11.34474,12.06854,12.56691,12.18786,12.57120,12.94473,13.21920,13.21920,13.21920,13.21920,13.21920,13.21920,13.21920,13.21920,13.21920,13.21920,13.04169,13.21920,13.21920,12.72356,12.57120,12.57120,12.57120,12.57120,12.57120,12.57120,12.57120,12.57120,12.57120,12.57120,13.09843,13.21920,13.21920,13.62516,14.51520,14.45729,13.92989,14.07442,13.86720,13.86720,13.45526,13.22761,13.34585,12.83040,12.22354,12.00714,11.53440,11.53440,11.25199,10.88640,10.46279,12.93625,12.00280,11.53440,11.24705,11.58794,10.76075,11.52896,10.90581,10.09758,10.20756
2016,Charlestown 132_11kV,04MAY2015,MW,10.03155,9.20972,9.10322,10.43313,9.28743,8.42944,7.90560,7.90560,7.54375,7.25760,7.25760,7.25760,7.21638,6.60960,6.60960,6.60960,6.60960,6.60960,6.60960,6.60960,7.17629,7.25760,7.75286,8.14884,8.75619,9.53020,10.19981,10.47636,10.60549,10.90671,11.27520,11.45718,11.92320,11.92320,11.92320,11.92827,11.92320,11.92320,11.92320,11.92320,11.92320,11.92320,11.92320,11.92320,11.92320,11.92320,11.92320,11.92320,12.46030,12.57120,12.05054,11.92320,11.92320,11.92320,11.92320,11.92320,11.92320,11.92320,11.92320,11.73387,11.73598,11.92320,12.47943,12.57120,12.57120,12.89154,13.21920,13.78805,14.38610,14.65547,15.37085,15.16320,15.16320,15.08852,14.51520,14.15223,13.86720,13.86720,13.30242,13.05812,12.54430,11.92320,11.88164,11.27520,11.10357,10.62720,10.62720,10.62720,13.92997,13.63037,12.74087,12.14962,11.96136,11.29185,11.33181,11.88869
2016,Charlestown 132_11kV,05MAY2015,MW,11.92948,11.27695,11.02838,11.53440,11.04462,10.45217,9.95873,9.92772,9.34072,8.63700,7.87999,7.77600,7.46513,7.12800,7.12800,7.12800,7.12800,7.12800,7.12800,7.12800,7.12800,7.14485,7.77600,8.17172,8.83013,9.60161,10.34672,10.89038,10.69363,11.01600,11.01600,11.01600,11.01600,11.01600,11.01600,11.01600,11.01600,11.01600,11.01600,10.75174,10.36800,10.96526,11.14560,10.50940,10.49760,10.49760,10.64836,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.54535,11.40166,11.79360,11.79360,11.79360,11.79360,11.89853,12.63831,12.86986,13.08960,13.47054,14.13517,14.47407,14.38560,14.38560,13.96172,13.73760,13.50885,13.24165,13.62295,13.08783,12.54133,11.92320,11.81777,11.27520,11.05774,10.62720,10.62720,10.62720,10.34068,13.34617,13.05627,12.53835,11.88557,11.66400,11.28213,11.01600,11.58185
2016,Charlestown 132_11kV,06MAY2015,MW,11.34399,10.85007,10.80393,11.40480,10.88048,9.86288,9.46420,9.63480,8.96072,8.42400,7.98876,7.77600,7.69051,7.12800,7.12800,7.12800,7.12800,7.12800,7.12800,7.12800,7.12800,7.12800,7.59504,8.05977,8.75696,9.51654,10.34829,10.63872,10.39747,11.01600,11.01600,11.62250,11.66400,11.66400,11.66400,11.66093,11.40480,11.40480,11.32172,10.75680,10.75680,10.75680,10.75680,10.75680,10.75680,10.51280,10.60460,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.60696,10.49760,10.49760,10.49760,10.49760,10.49760,10.49760,10.49760,10.89769,11.14560,11.14560,11.29488,11.79360,11.98688,12.59152,13.29292,14.18951,14.45609,14.51342,14.38560,14.38560,14.52238,13.97038,13.86666,14.17199,13.73760,13.25346,13.03594,12.44160,12.44160,11.82260,11.63947,11.14560,11.14560,11.14560,14.23118,13.84009,13.32392,12.61595,12.18240,11.79136,11.53440,12.10397
2016,Charlestown 132_11kV,07MAY2015,MW,11.97856,11.46224,11.22181,11.79360,11.15366,10.58197,10.04867,10.06867,9.34657,8.89306,8.41558,7.90560,7.90560,7.42985,7.25760,7.25760,7.25760,7.25760,7.25760,7.25760,7.25760,7.54333,7.93450,8.55360,9.05617,10.03724,11.29697,11.79360,11.97764,12.44160,12.83667,13.08960,13.08960,12.78287,12.44160,12.45778,11.83281,11.79360,11.51982,11.14560,11.14560,11.11449,10.49760,10.49760,10.49760,10.49760,10.49760,10.49760,10.49760,10.49760,10.49760,10.49760,10.49760,10.49760,10.49760,10.49760,10.49760,10.49760,10.49760,10.49760,10.49760,10.93516,11.04509,11.14560,11.43020,11.79360,12.16410,12.76668,13.33820,14.14947,14.85735,15.03360,15.56353,15.68160,15.68160,15.68160,15.44136,15.55188,15.29280,15.23650,14.64480,14.39050,13.99680,13.69238,13.17711,12.46174,12.05280,11.94647,15.04081,14.89285,13.86720,13.22568,13.04952,12.43004,12.34203,12.62378
2016,Charlestown 132_11kV,08MAY2015,MW,12.31430,11.62312,11.39345,12.05280,11.47577,10.73799,10.29717,10.64466,9.72064,9.23681,8.81280,8.43599,8.16480,7.77863,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.67059,8.29711,8.88741,9.92378,10.59070,11.51546,12.05280,12.44415,13.12387,13.70758,13.99680,13.81085,13.34880,13.22379,12.70080,12.70080,12.70080,12.70080,11.76322,11.40480,11.40480,11.17205,10.75680,10.75680,10.75680,10.75680,10.75680,10.75680,10.42136,10.10880,10.10880,10.67731,10.75680,10.75680,10.23180,10.17960,10.75680,10.75680,10.75680,10.75680,10.75680,11.11662,11.40480,11.54070,12.05280,12.42571,13.04137,13.67854,14.43263,15.25981,15.29280,15.29280,15.29280,15.29280,14.79299,14.77714,15.29280,14.76165,14.22130,13.99680,13.75030,13.34880,13.34880,12.79636,12.70080,12.70080,12.28604,15.44807,15.00281,14.34998,13.69394,13.08960,12.72159,12.62588,12.67126
2016,Charlestown 132_11kV,09MAY2015,MW,12.57428,11.91157,11.82239,12.39183,11.75460,10.89033,10.30115,9.38964,9.82439,9.63441,9.20160,8.65889,8.27314,7.90560,7.90560,7.64546,7.25760,7.25760,7.25760,7.25760,7.25760,7.25760,7.25760,7.62422,7.90560,8.57166,9.20160,10.00050,10.97112,11.37685,12.20519,12.70051,13.08960,13.67085,13.73760,13.73760,13.73760,13.51793,13.08960,12.57810,12.44160,12.19428,11.79360,11.35084,11.14560,11.14560,11.14560,10.85472,10.49760,10.49760,10.49760,10.52759,10.62720,10.62720,10.62720,10.62720,10.26894,10.38092,10.62720,10.62720,10.62720,10.62720,10.62720,10.64462,11.27520,11.82565,12.30732,12.57120,12.89657,13.76947,14.55309,14.56742,14.64480,14.64480,14.64480,14.22223,13.99680,13.99680,13.68895,13.23166,12.70080,12.70080,12.67103,12.05280,12.05280,11.99434,14.13958,13.32981,12.70080,12.31893,12.58108,12.06324,12.43407,12.22795,11.20019,11.19755
2016,Charlestown 132_11kV,10MAY2015,MW,10.78765,9.76641,10.01701,10.96583,9.79716,8.83198,8.55360,8.06044,8.37429,7.90560,7.73079,7.25760,7.25760,7.25760,7.25760,7.25760,7.25760,7.25760,7.25760,7.25760,7.25760,7.25760,7.25760,7.27024,7.90560,7.90560,8.18798,8.95454,9.91613,10.06669,10.54600,11.23316,11.79360,12.02664,12.44160,12.44791,13.08960,13.08960,13.08960,12.83423,12.44160,12.03834,11.79360,11.79360,12.22076,11.79360,11.79360,11.25913,11.14560,11.14560,11.14560,11.14560,10.50348,10.49760,10.49760,11.14389,10.75166,10.92362,10.55375,10.49760,10.99899,11.14560,11.14560,11.14560,11.64457,11.79360,11.84168,11.89883,12.75609,13.54404,14.05498,14.20015,14.25600,14.25600,13.69166,13.60800,13.60800,13.60800,13.36815,12.96000,12.82297,12.31200,12.31200,11.75920,11.66400,11.12445,13.65525,12.84510,12.18240,11.92097,12.10444,11.37072,11.94931,11.52877,10.31921,10.49817
