year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Chatswood 33_11kV,01MAY2017,MW,17.36689,17.04328,16.57585,15.82077,15.82077,15.82077,15.46120,14.90388,14.90388,14.34656,14.16678,14.16678,13.91508,13.39372,13.39372,13.39372,13.39372,13.39372,13.39372,13.39372,14.18476,14.81399,15.15558,15.82077,17.31295,19.12875,20.80071,22.18503,23.58733,24.73793,25.52897,26.30203,25.97842,25.45705,24.91771,24.71995,24.71995,24.71995,24.71995,24.61208,24.46826,24.77388,24.21656,24.01880,24.01880,24.45028,24.73793,24.07274,24.07274,24.07274,23.94689,24.07274,24.07274,24.32443,24.64804,24.07274,24.07274,24.07274,24.07274,24.45028,23.96487,23.96487,23.96487,24.59410,24.70197,24.70197,25.25929,25.54694,26.14022,27.30880,28.38749,28.69312,28.69312,28.69312,28.69312,28.69312,28.60323,27.83017,27.16498,27.05711,26.66159,26.26607,25.45705,25.31323,24.61208,24.03678,23.49744,22.90416,22.77831,22.14907,21.39399,20.35126,19.29055,18.89503,18.89503,18.03208
2018,Chatswood 33_11kV,02MAY2017,MW,17.34891,17.34891,16.70170,16.50394,16.50394,15.76683,15.64099,15.22749,14.81399,14.76006,14.00497,14.00497,14.00497,14.00497,14.00497,14.00497,14.00497,14.00497,14.00497,14.00497,14.00497,14.65219,14.92186,15.82077,17.42082,18.94896,20.35126,21.75356,22.65246,24.48623,24.98962,25.63683,25.47503,24.84580,24.10869,24.10869,24.10869,24.43230,24.18060,24.18060,24.18060,23.87498,24.10869,24.10869,24.10869,24.10869,24.10869,24.10869,23.60530,24.18060,24.18060,24.03678,24.28847,24.28847,24.18060,23.64126,23.55137,23.55137,23.55137,23.55137,23.55137,23.55137,23.55137,23.55137,23.98285,24.36039,24.48623,25.24132,25.79864,26.49979,27.70432,28.44143,27.81219,27.75826,27.75826,27.75826,27.16498,26.87733,26.87733,26.21214,25.60088,25.09749,24.79186,24.34241,23.98285,23.44350,22.79629,21.98727,21.89738,21.23219,20.51306,19.59618,19.09279,18.67929,18.19388,17.61858
2018,Chatswood 33_11kV,03MAY2017,MW,17.13317,16.45000,15.98257,15.53312,15.53312,15.53312,14.79601,14.63421,14.32858,13.82519,13.82519,13.82519,13.30383,12.99820,12.99820,12.99820,12.62066,12.60268,12.60268,12.60268,13.14202,13.89711,14.49038,15.24547,16.46798,18.15793,19.63213,20.85465,22.00525,23.62328,24.64804,24.64804,24.64804,24.64804,24.64804,24.07274,23.71317,23.76711,23.56935,23.89295,23.89295,23.19181,23.33563,23.78509,23.19181,23.19181,23.74913,23.47946,23.71317,23.58733,23.78509,23.78509,23.78509,23.78509,23.78509,23.78509,23.78509,23.78509,23.04798,22.90416,22.90416,22.90416,22.90416,22.90416,23.51541,23.71317,24.41432,24.91771,26.05033,27.45263,28.47738,29.12459,29.75383,29.87968,29.19651,29.19651,28.65716,28.36951,27.81219,27.61443,27.05711,26.76946,26.76946,25.92448,25.85257,25.15142,24.46826,23.94689,23.28170,23.10192,22.22099,21.03443,20.09957,19.11077,19.11077,18.49951
2018,Chatswood 33_11kV,04MAY2017,MW,18.21186,17.52869,16.75563,16.59383,16.59383,15.89268,15.83875,15.51514,15.02973,14.23869,14.22071,14.22071,14.09487,13.48361,13.48361,13.48361,13.28585,13.28585,13.28585,13.28585,14.09487,14.45443,15.15558,15.78481,17.45678,19.05683,20.69284,22.27492,24.21656,25.33121,26.05033,26.44585,26.21214,25.54694,24.79186,24.50421,24.12667,24.88175,24.88175,24.30645,24.28847,24.23454,24.75591,24.23454,24.23454,24.75591,24.43230,24.34241,24.46826,25.16940,25.16940,25.16940,25.16940,24.37836,24.34241,24.34241,24.34241,24.34241,24.34241,24.19858,23.60530,23.60530,23.60530,24.34241,24.46826,24.82782,25.31323,26.21214,26.89530,27.92006,28.83694,29.21449,29.21449,30.00552,30.02350,30.02350,30.02350,29.93361,29.19651,28.45940,28.27962,28.27962,27.74028,27.48858,26.94924,25.97842,25.22334,24.27050,23.96487,23.33563,22.49066,21.44793,20.60295,19.63213,19.38044,18.93099
2018,Chatswood 33_11kV,05MAY2017,MW,18.22984,17.69049,17.29498,16.91743,16.91743,16.30618,15.78481,15.19153,15.19153,14.47241,14.27465,14.27465,14.27465,14.27465,14.27465,14.27465,13.48361,13.46563,13.46563,13.46563,14.23869,14.38252,15.11962,15.80279,17.61858,19.05683,20.56700,22.58055,23.65924,25.22334,25.97842,25.97842,25.97842,25.97842,25.51099,25.13345,24.79186,24.68399,24.32443,24.32443,24.32443,24.32443,24.32443,24.32443,24.32443,23.55137,23.53339,24.07274,23.98285,23.89295,23.69519,23.98285,23.56935,23.56935,23.56935,23.56935,23.56935,23.56935,23.56935,23.56935,23.56935,23.56935,23.56935,23.56935,24.03678,24.36039,24.36039,24.79186,25.52897,26.28405,27.36274,28.27962,28.02793,27.41667,27.41667,27.41667,26.67957,26.67957,26.67957,26.06831,25.27727,24.95367,24.95367,24.64804,24.16263,23.38957,23.15585,22.61651,22.61651,22.61651,22.34683,21.46590,20.36924,19.38044,19.29055,18.66131
2018,Chatswood 33_11kV,06MAY2017,MW,18.51749,18.17590,17.24104,16.77361,16.77361,16.25224,15.62301,15.11962,15.11962,14.40049,14.31060,14.31060,14.31060,14.31060,13.73530,13.48361,13.28585,13.28585,13.28585,13.28585,13.28585,13.28585,14.31060,14.31060,14.67017,15.11962,15.82077,16.64776,17.54667,18.26580,19.56022,20.33328,20.90858,21.48388,21.96929,22.52662,22.52662,22.52662,22.52662,22.52662,22.52662,22.52662,22.45470,22.32886,22.54459,21.69962,21.59175,21.59175,21.59175,21.59175,21.59175,21.59175,21.59175,20.94454,20.78274,20.78274,20.78274,20.78274,20.78274,20.78274,21.08836,21.57377,21.57377,21.57377,,,,,,,,26.32000,26.44585,25.85257,25.70875,25.58290,24.91771,24.23454,24.14465,23.94689,23.37159,23.37159,23.01203,22.52662,22.49066,21.64569,21.64569,20.99847,20.83667,20.83667,20.65689,19.95574,19.18268,18.37366,18.31973,18.22984
2018,Chatswood 33_11kV,07MAY2017,MW,17.90623,17.63656,17.02530,16.62978,16.71967,16.53989,15.65896,14.93984,14.93984,14.40049,14.11284,14.11284,14.02295,13.30383,13.30383,13.30383,13.30383,13.30383,13.30383,13.30383,13.30383,13.30383,13.30383,13.30383,13.68137,14.11284,14.11284,14.86793,15.46120,16.00055,16.93541,17.61858,18.40962,19.20066,19.90181,19.95574,20.35126,20.87263,20.87263,21.68164,21.75356,21.75356,21.75356,21.75356,21.05241,20.87263,20.87263,20.87263,20.87263,20.42317,20.02765,20.02765,20.02765,20.02765,20.02765,20.02765,20.02765,20.02765,20.02765,20.02765,20.02765,20.02765,20.02765,20.89060,20.92656,21.62771,21.77153,22.83224,24.12667,25.61886,27.11104,27.57847,28.33356,28.33356,28.33356,27.93804,27.25487,26.76946,26.26607,25.96044,25.96044,25.45705,25.06153,25.06153,24.43230,24.27050,23.35361,22.67044,22.65246,21.77153,21.35804,20.44115,19.50629,18.51749,18.51749,17.96017
2018,Chatswood 33_11kV,08MAY2017,MW,17.63656,17.43880,16.80957,16.12640,15.98257,15.98257,15.49716,15.19153,15.19153,14.38252,14.38252,14.38252,14.38252,14.04093,13.57350,13.57350,13.57350,13.57350,13.57350,13.60946,14.43645,14.67017,15.40727,16.30618,18.28377,19.97372,21.82547,23.47946,25.09749,26.46383,27.07509,27.61443,27.45263,27.02115,26.64361,26.14022,25.40312,25.33121,25.31323,25.24132,24.91771,24.37836,24.71995,24.41432,24.03678,23.51541,23.51541,23.51541,23.51541,24.28847,23.94689,23.55137,23.55137,23.80306,23.56935,23.53339,24.12667,24.32443,23.87498,23.53339,23.53339,23.53339,23.83902,24.27050,24.52219,25.15142,25.56492,26.44585,27.79421,28.87290,30.11339,31.31793,31.35388,31.83929,31.83929,31.83929,31.13815,30.97634,30.97634,30.36509,30.04148,29.12459,28.38749,28.38749,27.74028,27.00317,26.40989,25.58290,24.34241,24.21656,23.20979,22.22099,20.90858,20.15350,19.95574,19.09279
2018,Chatswood 33_11kV,09MAY2017,MW,18.60738,18.10399,17.70847,16.98935,16.91743,16.61181,16.00055,15.89268,15.17355,15.17355,15.17355,14.40049,14.36454,14.36454,14.36454,14.36454,14.36454,14.36454,14.36454,14.36454,15.08366,15.26344,16.16235,16.70170,18.67929,20.96252,22.49066,24.21656,25.76268,27.23689,27.90208,28.49536,28.49536,27.86612,27.70432,27.14700,26.67957,26.08629,26.08629,26.08629,25.33121,25.24132,24.95367,24.41432,24.32443,24.32443,24.32443,24.32443,24.32443,24.32443,24.32443,23.85700,24.45028,24.45028,23.91093,23.65924,23.65924,23.71317,23.96487,23.60530,23.60530,23.60530,23.74913,24.45028,24.63006,25.18738,25.92448,26.49979,27.74028,28.98077,30.23924,31.12017,31.62356,32.14492,31.78536,31.92919,31.31793,30.79656,30.79656,30.34711,29.95159,29.95159,29.17853,29.12459,28.33356,27.11104,26.62563,25.87055,25.07951,24.68399,23.89295,22.67044,21.60973,20.96252,20.54902,19.74000
2018,Chatswood 33_11kV,10MAY2017,MW,18.82312,18.57142,17.81634,17.11519,16.95339,16.95339,16.23426,16.00055,15.26344,15.26344,15.26344,15.26344,14.58028,14.45443,14.45443,14.45443,14.45443,14.45443,14.45443,14.45443,15.06569,15.69492,16.28820,17.18711,19.12875,21.30410,23.26372,24.57612,26.17618,27.54252,28.09984,28.63918,28.44143,27.84815,27.23689,26.44585,25.58290,26.17618,25.67279,25.25929,24.89973,24.89973,24.89973,24.16263,24.16263,24.16263,24.16263,24.16263,24.16263,24.16263,24.16263,24.16263,24.27050,24.14465,24.14465,24.14465,24.14465,24.14465,24.14465,24.14465,24.14465,24.14465,24.14465,24.14465,24.70197,24.95367,25.54694,26.46383,27.48858,28.72908,30.07744,30.41902,30.81454,30.81454,30.81454,30.81454,30.81454,30.41902,30.00552,29.73585,29.26842,29.26842,28.53132,28.33356,28.02793,27.29082,26.35596,25.45705,25.07951,24.48623,23.38957,22.47268,21.41197,20.44115,20.11754,19.41640
