year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,City Central 132_11kV,01MAY2015,MW,37.93854,37.77540,36.97784,36.37967,36.14402,36.14402,35.21958,34.73016,36.79657,37.06847,36.14402,36.01714,34.47639,33.82384,33.49757,33.49757,33.49757,33.49757,33.49757,33.49757,33.87822,34.42202,35.78150,37.72102,41.21941,43.08643,45.08033,47.25550,54.05290,57.40628,60.81404,64.09492,66.99514,69.71410,71.78051,73.82879,75.20639,74.62635,75.42391,75.09764,76.36648,77.03716,77.20030,77.23655,77.38156,77.12779,77.56283,77.50845,77.97973,77.90723,78.41477,79.04919,79.42984,79.41172,79.52048,79.73799,80.51743,79.90113,79.48422,78.88605,78.84980,78.63228,77.88910,77.65346,76.98278,76.34836,75.00700,74.69886,74.80761,73.37563,72.52369,71.36360,65.12812,61.72036,60.16149,58.72951,56.13743,54.65107,54.28854,53.92601,52.53028,51.53333,50.73577,50.60888,49.19502,48.52435,47.14674,46.83859,45.85977,44.97158,44.15589,43.39458,42.88704,41.60007,40.74813,39.95056
2016,City Central 132_11kV,02MAY2015,MW,39.27989,38.75422,37.95666,37.30411,36.94158,36.07152,36.07152,35.34646,35.23770,34.76642,34.40389,34.40389,33.82384,33.58820,33.58820,33.58820,32.80877,32.71814,32.71814,32.71814,32.71814,33.46132,33.64258,33.64258,34.38576,34.60328,35.02019,36.68781,36.90533,38.19231,38.69984,39.33427,40.43998,42.19824,43.23144,44.13776,45.62413,46.58482,47.54552,48.57873,49.59380,49.59380,49.59380,49.59380,49.77507,50.53638,50.89890,51.02579,51.80522,50.95328,51.27956,50.93516,51.08017,51.73272,51.84148,51.84148,51.13455,50.84453,51.66021,51.18893,50.79015,49.99259,50.59076,50.22823,49.97446,50.50012,49.93821,49.53943,49.53943,49.53943,49.53943,49.53943,48.54247,47.87180,47.87180,47.05611,46.24042,46.11354,45.53349,45.29785,45.13471,44.33715,44.33715,44.33715,44.30090,43.52146,43.52146,43.52146,42.92329,42.56077,41.99885,41.65445,40.69375,40.24059,39.67867,39.67867
2016,City Central 132_11kV,03MAY2015,MW,38.95361,38.30106,37.84790,36.94158,36.86908,36.57906,35.89025,35.05644,35.00206,35.00206,35.00206,34.25888,34.18637,34.18637,34.18637,33.96886,33.31631,33.31631,33.31631,33.31631,33.31631,33.31631,33.31631,33.31631,34.27700,34.36764,34.76642,35.21958,36.01714,36.48842,36.94158,36.94158,37.59413,38.62734,39.56991,40.74813,41.83571,42.97767,43.59397,44.44591,45.42473,45.98665,46.60295,46.60295,46.63920,47.45489,47.45489,47.45489,47.45489,47.45489,47.45489,47.45489,47.45489,47.45489,47.45489,47.98056,47.94430,47.50927,47.50927,47.81742,48.68749,48.74186,48.05306,48.05306,48.05306,47.76304,47.20112,47.20112,47.20112,47.07424,46.47607,47.07424,45.78726,45.31598,45.31598,44.68155,43.93837,43.66648,43.66648,42.97767,42.85079,42.85079,42.45201,41.89009,41.89009,41.89009,41.11065,40.73000,40.13183,39.75117,39.29801,38.71797,38.71797,37.90228,37.41287,36.83283
2016,City Central 132_11kV,04MAY2015,MW,36.32529,35.40084,35.31021,35.27396,34.45827,33.87822,33.58820,33.58820,33.58820,33.58820,33.58820,33.37069,32.68188,32.68188,32.68188,32.68188,32.68188,32.68188,32.68188,32.73626,33.60633,34.51265,35.67274,37.03222,40.47623,43.06830,45.47911,48.08931,54.50606,58.31260,61.81099,66.10695,69.00717,71.20046,72.36055,74.66260,76.45712,76.42086,77.20030,77.78034,77.76222,78.19725,78.95856,79.21233,80.20928,79.86488,80.69869,80.66244,81.07935,81.06122,81.84065,81.96754,82.00379,82.20318,81.76815,81.75002,81.31499,81.13372,80.51743,80.80745,80.68056,80.04614,79.66549,79.62923,79.82862,79.28483,78.28788,77.72596,77.16404,76.27585,74.82574,72.70495,66.08882,62.62668,60.27025,59.20079,55.99242,55.06797,53.34597,52.38527,51.71459,50.84453,49.21315,48.90500,48.16182,47.18299,46.29480,45.69663,44.02900,43.17706,42.37950,41.45506,40.43998,39.51553,39.02612,38.60921
2016,City Central 132_11kV,05MAY2015,MW,37.26786,36.50655,36.50655,36.50655,34.89330,34.53077,34.53077,34.53077,34.53077,34.49452,33.60633,33.60633,33.60633,33.60633,33.60633,33.60633,33.00816,32.64563,32.64563,32.64563,33.11692,33.82384,35.61836,36.88720,40.53061,42.65140,44.84469,47.88992,54.30667,58.63887,61.75661,65.12812,68.68089,71.56299,74.42696,75.94958,77.96161,79.32109,79.68361,80.66244,82.05817,82.07630,83.07325,82.98262,82.92824,83.41765,83.88894,84.68650,85.19404,85.24842,85.23029,85.73783,85.70157,85.70157,86.15473,86.33600,85.84659,85.86471,84.83151,84.63212,84.55961,84.07020,83.74392,83.10950,82.65634,81.69564,81.00684,80.29991,79.77425,78.43289,76.52962,74.75323,67.68394,64.45745,62.86232,61.68411,58.83826,56.42745,55.28549,54.56044,52.53028,51.62396,50.93516,50.13760,49.28566,48.19807,47.14674,46.43981,44.64530,43.53959,42.28887,41.65445,40.87501,39.85993,38.97174,37.92041
2016,City Central 132_11kV,06MAY2015,MW,36.97784,36.54280,35.96276,35.52773,35.52773,34.67579,33.84197,33.78759,33.78759,33.78759,33.78759,33.06254,32.97190,32.97190,32.97190,32.97190,32.97190,32.97190,32.97190,32.97190,33.60633,33.78759,35.02019,36.37967,40.62124,43.01392,45.27972,46.31293,52.94719,56.51809,60.01648,63.20672,66.32446,68.78965,70.58417,72.34242,73.97380,74.40883,74.06443,74.89825,75.33328,76.00396,76.40274,76.74714,77.03716,76.72901,77.21842,77.39969,77.87097,78.72291,79.33921,79.23045,79.86488,79.71987,79.08544,79.10357,79.33921,79.35734,78.99481,78.63228,78.66854,77.92535,77.67158,77.18217,76.47524,76.09459,75.17014,74.95263,74.01005,73.41188,71.72613,69.67785,64.29431,61.04968,59.61770,58.25822,56.06493,54.25229,53.87163,53.38222,52.18588,51.37019,50.48200,49.81132,48.90500,47.70866,46.89297,45.62413,43.97462,43.12268,42.61514,41.45506,40.20433,39.13488,38.42795,37.93854
2016,City Central 132_11kV,07MAY2015,MW,37.01409,36.39779,36.39779,35.43709,34.60328,34.60328,34.13199,33.69696,33.69696,33.69696,33.69696,33.28005,32.68188,32.68188,32.68188,32.68188,32.68188,32.68188,32.68188,32.68188,33.06254,33.71509,35.49147,36.81470,40.29497,42.76016,44.57279,46.43981,52.42152,56.73560,60.36088,62.91670,65.81692,68.15523,70.00412,71.90739,73.70190,74.88012,74.91637,75.11576,76.25773,76.25773,77.03716,77.36344,77.49032,76.81964,77.59908,77.92535,78.79542,78.94043,78.46915,78.59603,78.88605,79.35734,79.55673,79.50235,79.01294,79.28483,79.01294,78.34226,77.88910,77.03716,76.52962,76.23960,75.87707,74.80761,74.57197,73.57502,73.26687,72.65057,71.34547,69.93162,65.01936,62.37291,60.77779,59.87147,57.64192,56.51809,55.73865,54.66919,53.94414,52.98344,51.80522,51.22518,49.59380,48.74186,47.59990,47.00173,45.56975,44.04713,43.14081,41.96259,40.67562,39.20738,38.60921,38.31919
2016,City Central 132_11kV,08MAY2015,MW,36.99596,36.70594,36.19840,35.70899,34.94768,34.94768,34.25888,33.87822,33.53382,32.99003,32.99003,32.99003,32.99003,32.99003,32.93565,32.13809,32.13809,32.55500,32.97190,32.97190,33.84197,34.15012,35.34646,36.76032,40.18621,42.90517,44.86282,46.82047,53.16470,56.30057,59.96210,62.84420,66.36072,68.44525,70.52979,72.34242,73.66565,74.51759,75.00700,75.24265,75.36953,75.80457,74.88012,75.20639,75.85894,76.09459,76.40274,76.56587,77.50845,77.09154,77.21842,77.74409,77.21842,77.70784,78.30601,78.32413,77.54470,77.21842,77.34531,77.38156,76.65651,76.76526,76.31210,75.89520,75.58705,75.17014,74.28195,73.48439,72.77746,71.94364,69.96787,68.49963,62.91670,60.17962,59.00140,57.38815,55.24924,54.27041,53.05595,52.13150,51.09830,50.28261,49.44879,48.95938,48.37934,47.43676,47.07424,45.93227,45.11659,44.28277,42.99580,42.12573,41.43693,40.29497,39.58804,39.15300
2016,City Central 132_11kV,09MAY2015,MW,38.39170,37.53975,37.35849,36.56093,36.10777,35.60023,35.60023,34.76642,34.62141,34.62141,33.73321,33.64258,33.08066,32.70001,32.70001,32.70001,32.70001,32.70001,32.70001,32.70001,32.70001,32.70001,32.70001,32.70001,33.91448,34.45827,34.45827,35.58210,36.86908,37.92041,37.79352,38.22856,39.29801,40.62124,41.67257,42.47013,43.37645,44.15589,44.57279,45.22534,46.04103,46.04103,46.51232,47.25550,47.49114,47.49114,47.49114,47.49114,47.59990,48.48809,49.06814,48.74186,48.36121,48.36121,48.36121,49.15877,48.45184,48.41559,48.41559,48.41559,48.41559,47.90805,47.56365,47.56365,47.90805,47.69053,46.60295,47.18299,47.45489,47.45489,47.45489,47.45489,46.72984,46.63920,45.73288,44.95345,44.75406,44.60905,43.59397,43.59397,43.59397,43.59397,42.90517,42.74203,41.96259,41.76320,41.76320,41.76320,40.98377,40.76625,40.76625,39.95056,39.67867,38.66359,38.11980,37.95666
2016,City Central 132_11kV,10MAY2015,MW,36.74219,36.45217,35.89025,34.82080,34.58515,34.58515,34.58515,34.33138,33.62445,32.80877,32.71814,32.71814,32.71814,32.71814,32.71814,32.71814,32.26498,31.99308,31.79369,31.79369,31.79369,31.79369,31.79369,31.79369,32.40999,32.79064,32.79064,33.26193,34.92955,35.16520,35.36459,34.94768,35.63648,36.63344,37.52163,37.77540,39.09862,39.93244,40.71187,41.43693,42.52451,42.72390,43.50334,43.50334,43.63022,44.40966,44.40966,44.40966,44.53654,45.33410,44.59092,44.59092,44.84469,44.98970,45.20722,45.33410,45.31598,45.31598,45.31598,45.31598,45.29785,44.50029,44.50029,44.50029,44.50029,44.50029,44.50029,44.60905,45.42473,44.69968,44.60905,44.60905,43.90212,42.85079,42.85079,42.85079,42.83266,41.96259,41.23754,40.98377,40.98377,40.98377,40.87501,39.95056,39.95056,39.95056,39.53366,38.98987,38.50045,38.15605,37.55788,37.23161,37.23161,36.68781,36.16215,35.36459
