year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,City East 33_11kV,01MAY2014,MW,12.28802,12.28802,11.62580,11.53382,11.53382,11.53382,11.53382,11.53382,11.53382,11.53382,11.53382,11.53382,11.53382,11.53382,11.53382,11.53382,11.09233,11.09233,11.09233,11.09233,11.09233,11.09233,11.09233,12.04889,13.94360,14.86336,15.70954,16.81325,19.02068,20.12440,21.79837,22.95727,23.95061,24.81519,25.73495,26.45236,27.28015,27.96077,28.03435,27.57447,28.05275,28.32868,28.31028,27.83201,28.38386,28.49424,28.16312,28.36547,28.34707,28.40226,28.51263,29.32202,29.34042,29.08288,29.10128,29.15646,29.17486,29.10128,29.00930,28.64140,28.51263,28.51263,28.51263,28.47584,28.47584,28.40226,27.85040,27.11459,26.70990,26.19483,26.01088,25.62458,23.63789,22.84689,22.29504,21.59602,20.40033,19.07587,18.89192,18.32166,18.06413,18.06413,17.58585,17.29153,17.10758,16.53733,16.39016,16.11424,15.69114,15.26805,14.86336,14.86336,14.12755,14.09076,13.33655,12.71111
2015,City East 33_11kV,02MAY2014,MW,12.47198,12.47198,11.68098,11.60740,11.60740,11.60740,11.60740,11.60740,11.60740,11.40505,10.77961,10.77961,10.77961,10.77961,10.77961,10.77961,10.87159,10.87159,10.87159,10.87159,11.03715,11.53382,11.68098,12.41679,13.77804,14.55064,15.17608,16.77646,19.25982,20.36354,21.74318,22.64455,24.24493,25.33025,26.02927,26.69150,27.74003,27.94238,28.03435,28.08954,28.08954,28.08954,28.51263,28.67819,28.67819,28.67819,28.67819,28.53103,28.69658,28.80695,28.71498,28.95412,28.91733,28.18152,28.32868,28.84375,28.80695,28.25510,28.16312,28.16312,28.49424,28.23670,28.23670,28.23670,28.01596,27.51929,27.33533,27.24336,26.89385,26.23162,25.56939,24.68642,22.99406,22.18467,21.81676,21.06256,19.35180,18.43204,17.71462,17.71462,17.71462,17.43869,16.90523,16.90523,16.15103,16.09584,16.09584,15.52559,14.88175,14.49545,14.49545,14.49545,14.25632,13.53890,12.87667,12.87667
2015,City East 33_11kV,03MAY2014,MW,12.12247,12.12247,11.58900,11.36826,11.36826,11.36826,11.36826,11.36826,11.36826,11.36826,10.87159,10.54048,10.54048,10.54048,10.54048,10.54048,10.79801,10.81640,10.81640,10.81640,10.81640,10.81640,11.22110,11.29468,11.49703,12.15926,12.15926,12.15926,12.15926,12.58235,12.91346,12.91346,13.74125,13.74125,13.81483,14.67941,14.67941,14.67941,14.67941,14.86336,15.43361,15.43361,15.43361,15.43361,15.43361,15.69114,16.18782,16.18782,16.18782,16.18782,16.18782,16.18782,16.18782,16.18782,16.18782,16.18782,16.18782,16.18782,16.18782,16.18782,16.18782,16.18782,16.18782,16.18782,16.18782,16.18782,16.18782,16.18782,15.78312,15.36003,15.36003,15.36003,15.36003,15.36003,15.36003,15.36003,14.82657,14.62422,14.62422,13.90681,13.87002,13.87002,13.87002,13.87002,13.87002,13.87002,13.87002,13.87002,13.87002,13.87002,13.87002,13.20779,13.00544,13.00544,12.58235,12.25123
2015,City East 33_11kV,04MAY2014,MW,12.25123,12.25123,11.60740,11.49703,11.49703,11.49703,11.49703,11.49703,11.49703,11.49703,11.49703,11.49703,11.49703,10.79801,10.74282,10.74282,10.74282,10.74282,10.74282,10.74282,10.74282,10.74282,10.74282,10.74282,11.40505,11.69938,11.69938,11.69938,11.69938,11.69938,12.39840,12.45358,12.45358,12.45358,12.45358,13.11581,14.03557,14.18273,14.18273,14.18273,14.18273,14.18273,14.18273,14.18273,14.18273,14.53224,14.99213,14.99213,14.99213,14.99213,14.99213,14.99213,14.99213,14.99213,14.99213,14.99213,14.99213,14.99213,14.99213,14.99213,14.99213,14.99213,14.99213,14.99213,14.99213,14.99213,14.99213,14.99213,14.95533,14.21952,14.21952,14.21952,14.21952,14.21952,14.21952,14.21952,14.16434,13.48371,13.48371,13.48371,13.48371,13.48371,13.48371,13.48371,13.48371,13.48371,13.48371,13.48371,13.00544,12.67432,12.67432,12.67432,12.25123,11.92012,11.92012,11.29468
2015,City East 33_11kV,05MAY2014,MW,11.14752,11.14752,11.14752,11.05554,10.74282,10.74282,10.74282,10.74282,10.74282,10.74282,10.74282,10.74282,10.74282,10.74282,10.74282,10.74282,10.74282,10.74282,10.74282,10.74282,10.74282,11.14752,11.51542,12.17765,14.23792,14.77138,16.16942,17.21795,19.48057,20.56588,22.44220,23.12282,24.07938,25.01753,25.44062,26.10285,26.91224,27.28015,27.46410,27.55608,27.50089,27.15138,27.24336,27.42731,27.61126,27.07780,27.09620,27.04101,27.11459,27.24336,27.83201,27.99756,27.99756,27.59287,27.40892,27.48250,27.39052,27.48250,27.50089,27.50089,27.59287,27.13299,27.29854,27.42731,26.65471,26.94903,26.56273,26.56273,25.79013,25.60618,24.92556,24.59444,22.73652,21.83516,21.63281,20.86021,19.25982,18.45043,18.00895,18.22969,17.69623,17.69623,17.32832,16.92363,16.55572,16.11424,16.11424,15.61756,15.34163,15.02892,14.38508,13.74125,13.74125,13.24458,12.93186,12.82149
2015,City East 33_11kV,06MAY2014,MW,12.17765,12.17765,12.17765,12.17765,12.17765,11.46024,11.40505,11.40505,11.40505,11.40505,11.40505,11.40505,11.40505,11.40505,11.40505,11.40505,10.85319,10.83480,10.83480,10.83480,10.83480,10.83480,12.06728,12.49037,14.31150,15.17608,16.05905,16.94202,19.44377,20.40033,22.36862,22.93887,24.28172,24.55765,25.31186,25.95569,27.40892,27.88719,27.61126,27.59287,27.59287,27.59287,27.74003,27.62966,27.62966,27.72164,27.83201,27.85040,28.58621,28.75177,28.65979,28.58621,27.99756,28.08954,28.08954,28.23670,28.42065,28.07114,28.31028,28.43905,28.14473,28.14473,28.14473,28.01596,28.05275,27.42731,27.42731,27.39052,26.54434,26.30520,25.99248,25.23828,23.78505,22.42380,21.68799,21.17293,19.77489,19.37019,18.74476,18.56080,18.56080,18.39525,17.82499,17.27314,16.86844,16.29819,16.29819,16.27979,15.17608,14.64262,14.56903,13.81483,13.29976,13.06062,12.45358,12.26963
2015,City East 33_11kV,07MAY2014,MW,12.03049,11.51542,11.51542,11.51542,11.51542,11.51542,11.22110,10.76122,10.76122,10.76122,10.76122,10.76122,10.76122,10.76122,10.76122,10.76122,10.92678,10.92678,10.92678,10.92678,11.44184,11.55221,11.55221,12.28802,13.92520,14.75299,15.72793,17.12597,19.05747,20.43712,21.59602,22.97566,24.26333,25.09111,25.93730,26.41557,27.16978,27.42731,27.42731,27.40892,27.44571,28.08954,28.10794,28.10794,28.10794,28.10794,28.10794,28.10794,28.10794,28.45744,28.69658,28.29189,28.95412,28.56782,28.40226,28.69658,28.62300,28.07114,28.07114,28.16312,28.12633,28.19991,28.31028,27.53768,27.48250,27.48250,27.48250,27.48250,26.76508,26.25002,25.69816,25.42223,23.58270,22.53418,22.20306,21.63281,20.08761,19.49896,19.14945,18.65278,18.65278,17.84339,17.53067,16.99721,16.99721,16.46374,16.24300,16.24300,15.96707,15.39682,14.71620,13.98039,13.72285,13.18939,13.18939,12.56395
2015,City East 33_11kV,08MAY2014,MW,12.23284,12.23284,11.49703,11.46024,11.46024,11.46024,11.46024,11.46024,11.46024,11.46024,11.46024,11.46024,11.46024,11.46024,11.46024,11.46024,10.92678,10.92678,10.92678,10.92678,10.92678,10.92678,11.90172,12.23284,13.85162,15.41522,15.80152,16.81325,18.92871,20.30835,22.01911,23.12282,24.04259,25.05432,25.31186,26.15804,26.94903,27.15138,27.79522,27.79522,27.79522,27.79522,28.03435,28.08954,28.18152,28.05275,28.05275,28.36547,28.40226,28.67819,28.67819,28.45744,28.73337,28.77016,28.67819,28.64140,28.64140,28.27349,28.40226,28.18152,27.74003,27.74003,28.07114,28.25510,27.79522,27.40892,27.40892,27.40892,27.11459,25.99248,25.86372,25.64297,23.65629,22.93887,22.36862,21.72478,20.23477,19.31501,19.18624,19.09426,18.79994,18.08253,17.82499,17.16276,17.05239,16.31658,16.31658,16.31658,15.52559,14.49545,14.44027,14.44027,13.83322,13.50211,12.96865,12.96865
2015,City East 33_11kV,09MAY2014,MW,12.34321,12.06728,11.68098,11.27629,11.27629,11.27629,11.27629,11.27629,11.27629,11.27629,11.27629,11.27629,11.27629,11.27629,11.27629,11.27629,11.01875,11.01875,11.01875,11.01875,11.01875,11.46024,12.04889,12.12247,13.98039,14.90015,15.50719,16.70288,18.83673,20.05082,21.66960,22.73652,23.96900,24.44728,25.27507,25.47742,26.45236,26.78348,27.22496,27.24336,27.22496,26.91224,27.35373,27.42731,27.42731,27.51929,28.23670,28.23670,28.16312,27.96077,28.25510,28.14473,28.71498,28.14473,28.73337,28.58621,28.21831,27.99756,27.88719,27.74003,27.92398,27.62966,27.51929,27.53768,27.15138,27.31694,26.76508,27.05941,26.45236,25.44062,25.34865,24.37370,22.51578,21.90874,21.19132,20.65786,19.03908,18.46883,18.46883,17.84339,17.73302,17.45709,16.96042,16.92363,16.15103,15.91189,15.28645,15.28645,15.28645,15.28645,15.28645,14.93694,14.01718,13.70446,13.00544,12.91346
2015,City East 33_11kV,10MAY2014,MW,12.25123,12.12247,12.12247,11.64419,11.29468,11.29468,11.29468,11.29468,11.29468,11.29468,11.29468,11.29468,11.29468,11.29468,11.29468,11.29468,11.29468,11.29468,11.29468,11.29468,11.29468,11.29468,11.29468,11.29468,11.79135,12.08568,12.08568,12.47198,12.93186,12.93186,12.93186,13.07902,13.75964,13.94360,14.56903,14.56903,15.23126,15.43361,15.43361,15.43361,15.85670,16.16942,16.16942,16.16942,16.16942,16.16942,16.16942,16.50054,16.92363,16.92363,16.92363,16.92363,16.92363,16.92363,16.92363,16.92363,16.92363,16.92363,16.11424,16.04065,16.04065,16.04065,16.04065,16.04065,16.13263,16.79486,16.79486,16.51893,16.26140,16.00386,16.00386,16.00386,15.67275,15.19447,15.19447,15.19447,15.19447,14.75299,14.45866,14.45866,14.45866,14.45866,14.45866,14.45866,14.45866,13.85162,14.20113,14.64262,14.21952,13.68606,13.11581,13.11581,13.11581,13.11581,12.36161,12.17765
