year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,City North 132_11kV,01MAY2014,MW,21.81745,21.52187,21.52187,21.13392,21.09697,21.09697,21.07850,20.63513,20.63513,20.63513,20.63513,20.63513,20.24718,20.50581,20.59818,20.59818,20.32108,20.61665,20.61665,20.67208,21.06002,21.06002,21.68813,22.13150,23.14755,24.03429,25.03187,26.39892,29.22540,30.85109,32.55067,34.19483,35.89441,37.11367,38.09278,38.92410,39.69999,39.88473,40.29115,40.45741,40.99315,41.12247,41.17789,41.99073,41.89836,41.78752,41.71363,41.95378,42.60036,42.58189,42.93289,42.91442,42.85900,42.63731,43.06221,43.21000,43.19152,43.09915,43.02526,42.76663,42.56342,42.24936,41.97226,41.47347,41.23331,41.12247,40.53131,40.14336,39.81083,39.27510,37.96346,36.33778,32.95709,31.86714,31.27598,30.77719,29.76114,29.22540,28.72661,28.52340,27.78445,27.30414,26.99008,26.71298,25.91861,25.34592,25.06882,24.82866,23.83108,23.31382,23.14755,22.46403,22.14997,21.66966,21.63271,21.33713
2015,City North 132_11kV,02MAY2014,MW,21.00460,20.78292,20.59818,20.41344,20.11786,19.93313,19.93313,19.93313,19.93313,19.93313,19.82229,19.54518,19.54518,19.54518,19.54518,19.54518,19.45281,19.45281,19.76686,19.97008,20.22871,20.37650,20.74597,21.42950,22.79655,24.08971,24.99492,26.38045,29.57640,31.59004,32.84625,34.21330,36.18999,37.24299,37.98194,39.10883,39.99557,40.34657,40.78994,41.39957,41.56584,41.62126,41.95378,41.91684,42.17547,42.39715,42.19394,42.23089,42.60036,42.36021,42.21242,42.30478,42.37868,42.28631,42.36021,42.06463,42.10157,41.60278,42.13852,42.19394,42.26784,41.63973,40.90078,40.53131,40.23573,40.58673,40.14336,39.36747,38.86868,38.33294,37.09520,35.94983,32.67998,31.38682,30.61093,30.07519,29.15151,28.39408,27.96919,27.69208,26.87924,26.67603,26.30656,26.01098,25.80777,25.29050,24.88408,24.64392,23.96040,23.48008,23.23992,22.75960,22.40860,22.14997,21.98371,21.42950
2015,City North 132_11kV,03MAY2014,MW,21.15239,20.80139,20.52429,20.28413,20.28413,20.28413,20.13634,19.82229,19.69297,19.48976,19.43434,19.41586,19.41586,19.41586,19.41586,19.41586,19.28655,19.28655,19.28655,19.28655,19.28655,19.28655,19.28655,19.30502,20.09939,20.59818,20.59818,20.74597,21.42950,21.72508,21.79897,22.37166,22.55639,22.81503,22.94434,23.05518,23.48008,23.72024,23.64634,23.90497,24.21903,24.38529,24.62545,24.60698,24.45919,24.42224,24.84713,25.30898,25.43829,25.58608,25.47524,25.38287,25.60456,25.45677,25.34592,25.29050,25.01340,25.12424,25.16119,25.17966,25.16119,25.25355,25.17966,25.19813,25.10577,25.03187,24.90255,24.99492,25.23508,25.47524,25.64150,25.40134,25.17966,25.21661,25.19813,24.93950,24.92103,24.55155,24.42224,24.10819,24.08971,23.70176,23.77566,24.08971,22.94434,22.44555,22.33471,22.31624,22.00218,21.74355,21.50339,21.41102,21.26323,21.37408,21.02308,20.81987
2015,City North 132_11kV,04MAY2014,MW,20.65360,20.65360,20.65360,20.61665,20.21023,20.21023,20.08092,19.87771,19.91465,19.91465,19.91465,19.91465,19.91465,19.61907,19.78534,19.43434,19.43434,19.43434,19.43434,19.43434,19.43434,19.80381,19.82229,19.82229,20.09939,20.19176,20.19176,20.19176,20.28413,20.85681,21.04155,21.04155,21.44797,21.50339,21.66966,21.79897,22.11302,22.20539,22.33471,22.40860,22.75960,22.72266,22.72266,22.68571,22.77808,22.79655,22.88892,22.64876,22.64876,22.81503,22.92587,22.72266,22.59334,22.64876,22.75960,22.77808,22.72266,22.92587,22.72266,22.85197,22.99976,22.92587,22.72266,22.72266,22.59334,22.90739,22.87045,22.81503,22.85197,23.23992,23.35076,23.36924,23.36924,23.36924,23.53550,23.23992,23.23992,23.25839,22.88892,22.94434,22.94434,22.94434,22.98129,22.90739,22.50097,22.35318,22.22387,22.29776,22.18692,21.96524,21.37408,21.28171,21.22629,21.20781,21.20781,21.20781
2015,City North 132_11kV,05MAY2014,MW,21.20781,21.20781,21.20781,21.20781,21.20781,21.20781,21.20781,21.20781,21.20781,21.20781,21.20781,21.20781,21.20781,21.20781,21.20781,21.20781,21.20781,21.20781,21.20781,21.20781,21.20781,21.20781,21.20781,21.20781,21.20781,21.20781,21.20781,21.20781,21.20781,21.20781,32.05188,35.54341,37.31688,38.14820,38.96104,39.21968,39.64457,39.95862,39.90320,39.71847,39.86626,40.03252,40.06947,40.14336,40.40199,40.01405,39.90320,40.12489,40.51284,40.53131,40.67910,40.86384,40.84536,40.90078,41.03010,40.99315,41.06705,40.51284,40.49436,40.36505,40.16183,40.21726,39.86626,39.84778,39.68152,39.21968,38.75783,38.31446,38.48073,37.48315,36.81809,35.43257,32.16272,31.09125,30.46314,30.24146,29.22540,28.65272,28.39408,27.95072,27.63666,27.48887,26.93466,26.82382,26.23266,25.90013,25.32745,25.08729,24.38529,23.81261,23.40618,23.05518,22.61182,22.11302,21.81745,21.48492
2015,City North 132_11kV,06MAY2014,MW,21.04155,20.72750,20.63513,20.41344,20.26565,20.26565,20.39497,20.19176,20.08092,20.08092,20.08092,20.08092,20.08092,20.08092,20.08092,20.08092,19.93313,19.93313,19.93313,19.93313,20.39497,21.00460,21.35560,21.72508,23.31382,24.44071,25.51219,26.56519,29.52098,31.42377,34.23178,35.59883,37.29841,38.18515,38.88715,39.21968,39.82931,39.90320,39.84778,39.82931,40.27268,40.23573,40.53131,40.64215,40.91926,40.99315,41.30720,41.45499,42.06463,42.17547,41.87989,41.93531,42.08310,42.28631,41.95378,41.75057,41.76905,41.73210,41.75057,41.82447,41.56584,41.62126,41.03010,40.99315,40.73452,39.99557,39.44136,39.12731,38.72089,38.33294,37.22452,36.09762,32.88320,31.86714,31.09125,30.29688,29.42861,29.09609,28.89287,28.35714,27.78445,27.13787,26.63908,26.69450,26.43587,25.80777,25.41982,25.21661,24.57003,24.10819,23.46161,23.09213,22.29776,22.03913,21.66966,21.42950
2015,City North 132_11kV,07MAY2014,MW,21.26323,21.26323,20.80139,20.21023,20.04397,20.04397,19.93313,19.69297,20.00702,19.63755,19.84076,20.00702,19.65602,19.65602,19.65602,19.65602,19.32350,19.32350,19.32350,19.32350,20.02550,20.43192,20.91223,21.41102,22.98129,24.20055,25.53066,26.69450,29.70572,31.16514,33.58520,35.11851,36.79962,37.74178,38.38836,38.90562,39.73694,40.16183,40.42047,40.43894,40.60520,40.75299,41.06705,40.90078,41.27026,41.03010,40.97468,41.04857,41.80599,41.30720,41.36263,41.19636,41.93531,41.45499,41.56584,41.51042,41.71363,41.32568,41.43652,41.14094,41.45499,40.82689,40.64215,40.51284,40.16183,39.71847,39.31204,39.03494,38.68394,38.27752,37.42773,35.63578,32.62456,31.46072,30.77719,30.22298,29.28082,28.61577,28.30172,28.11698,27.52582,27.11940,26.87924,26.47282,25.90013,25.36440,25.08729,24.69934,24.05276,23.53550,23.14755,22.40860,22.07608,21.72508,21.59576,21.00460
2015,City North 132_11kV,08MAY2014,MW,20.81987,20.56123,20.43192,20.30260,20.02550,20.02550,19.71144,19.63755,19.63755,19.63755,19.52671,19.26807,19.47129,19.37892,19.21265,19.21265,19.36044,19.56365,19.60060,19.60060,19.72992,20.26565,20.48734,21.09697,22.72266,24.07124,25.16119,26.50977,29.70572,31.20209,33.82535,35.28478,36.70725,37.68636,38.12973,38.61004,39.47831,39.62610,39.97710,40.36505,40.36505,40.42047,40.90078,41.01163,41.38110,41.08552,40.95620,41.21484,41.69515,41.60278,41.43652,41.23331,41.39957,41.25178,41.25178,41.15941,40.99315,40.91926,40.78994,40.64215,40.75299,40.42047,,39.14578,39.07189,39.20120,38.77631,38.59157,38.31446,37.87110,37.15062,36.04220,32.95709,31.75630,31.05430,30.46314,29.53945,29.18845,28.59730,28.46798,27.47040,27.04550,26.86077,26.50977,26.17724,25.65998,25.14271,24.66240,23.86803,23.42466,22.99976,22.75960,22.16845,21.70660,21.61423,21.26323
2015,City North 132_11kV,09MAY2014,MW,20.81987,20.48734,20.17329,19.98855,19.98855,19.82229,19.60060,19.61907,19.85923,19.54518,19.54518,19.54518,19.54518,19.54518,19.54518,19.54518,19.58213,19.60060,19.80381,19.82229,19.98855,20.35802,20.87529,21.41102,22.94434,24.18208,25.56761,26.76840,29.85351,31.20209,33.49283,35.37715,36.74420,37.55704,38.57310,39.14578,39.75541,39.84778,40.29115,40.43894,40.58673,40.62368,41.06705,41.47347,41.25178,41.12247,41.23331,41.36263,41.21484,42.02768,41.71363,41.95378,42.17547,42.17547,41.86142,42.41563,42.36021,41.93531,41.34415,41.52889,41.25178,41.04857,40.60520,39.94015,39.77389,39.38594,39.14578,38.79478,38.92410,38.70241,38.01889,36.11609,32.71693,31.40530,30.66635,30.14909,29.04066,28.72661,28.19087,27.72903,27.17482,26.82382,26.43587,25.99250,25.30898,24.81019,24.51461,24.12666,23.75718,23.16603,22.61182,22.44555,21.90981,21.46645,21.46645,21.28171
2015,City North 132_11kV,10MAY2014,MW,20.32108,20.13634,20.13634,20.15481,20.15481,19.69297,19.67450,19.67450,19.67450,19.67450,19.67450,19.67450,19.67450,19.54518,19.30502,19.30502,19.30502,19.30502,19.30502,19.30502,19.30502,19.48976,19.72992,19.72992,20.22871,20.48734,20.48734,20.48734,21.28171,21.50339,21.74355,21.87287,22.22387,22.53792,22.72266,23.16603,23.51703,23.81261,23.83108,24.21903,24.32987,24.58850,24.51461,24.84713,24.77324,24.71782,24.55155,24.82866,24.88408,24.79171,24.58850,24.69934,24.58850,24.71782,24.77324,24.86561,24.69934,24.71782,24.49613,24.36682,24.53308,24.27445,24.07124,24.05276,23.92345,24.12666,24.08971,23.86803,23.94192,24.20055,24.23750,24.47766,24.08971,24.03429,23.79413,23.77566,23.31382,23.27687,23.27687,23.16603,22.88892,22.55639,22.85197,22.85197,22.55639,22.48250,22.48250,22.24234,21.81745,21.66966,21.94676,21.61423,21.42950,21.18934,21.18934,21.09697
