year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,City South 132_11kV,01MAY2016,MW,45.52133,44.45343,43.45793,42.95114,42.95114,42.57104,42.08234,41.32214,41.03254,40.99634,40.10945,40.10945,40.07325,39.20445,39.20445,39.20445,39.20445,39.20445,39.20445,39.20445,39.47595,40.59815,40.59815,40.59815,40.83344,41.57554,43.00544,43.81993,44.68873,44.88783,45.48513,46.58922,48.65261,49.77481,50.55311,52.03730,53.50340,54.77039,56.68898,57.44918,58.71618,60.01937,60.09177,61.14157,62.08276,62.08276,62.08276,62.08276,62.57146,63.06016,63.82036,64.05566,64.92445,65.25025,65.25025,65.25025,65.25025,65.25025,65.25025,65.25025,64.20046,64.10996,64.10996,64.10996,64.10996,64.10996,64.10996,64.10996,63.24116,63.06016,62.69816,62.13706,61.72076,60.99677,59.49447,59.22297,57.46728,56.45368,55.76589,54.91519,54.01019,53.08710,52.58030,52.58030,51.16850,49.75671,49.41281,48.74311,47.54852,46.66162,45.52133,44.61633,43.98283,43.34933,42.78824,42.69774
2017,City South 132_11kV,02MAY2016,MW,41.81084,40.99634,40.16375,39.60265,39.16825,39.16825,38.38995,38.28135,38.28135,38.28135,38.28135,37.72026,37.34016,37.34016,37.34016,37.34016,37.34016,37.34016,37.61166,38.28135,39.24065,40.63434,41.61174,42.33574,45.41273,47.07792,50.60741,53.23190,58.66188,61.73886,64.76155,68.25484,72.54452,74.01062,76.61701,78.80710,81.01529,82.64428,84.34568,84.70768,86.62627,87.63987,88.72586,89.55846,89.54036,89.39556,90.26436,90.71685,91.45895,91.56755,91.92955,91.92955,92.61735,93.26894,91.91145,91.89335,92.63545,91.83905,91.87525,91.33225,90.35486,90.13766,90.17386,90.42725,89.84806,89.16026,89.12406,89.23266,88.43626,86.64437,84.72578,81.75739,75.73011,72.12822,70.19153,69.59423,66.62585,64.25475,62.55336,62.11896,59.85647,58.86098,58.06458,57.32248,55.98309,53.70250,52.48980,51.15040,49.50331,48.07342,47.53042,46.66162,45.52133,44.61633,43.83803,43.63893
2017,City South 132_11kV,03MAY2016,MW,42.39004,40.99634,40.81534,40.14565,39.91035,39.91035,38.89675,38.86055,38.31755,37.82886,37.82886,37.82886,37.82886,37.82886,37.82886,37.82886,37.82886,37.82886,37.82886,37.82886,39.43975,40.68864,41.66604,43.38553,46.17292,47.29512,50.80651,53.84729,59.11437,62.17326,65.91995,69.17794,73.52192,74.91561,76.99711,78.93380,81.34109,83.15108,84.78008,86.13757,87.83896,87.98376,87.98376,89.01546,89.73946,89.14216,90.11956,91.13315,91.85715,91.69425,92.25535,93.10604,93.52234,93.10604,93.73954,94.21014,94.19204,93.79384,93.16034,92.56305,92.30965,91.94765,91.76665,91.13315,90.82545,90.08336,89.30506,88.32766,87.62177,86.55387,85.25067,81.61259,75.54911,73.37712,71.31373,69.57613,67.27744,64.76155,63.58506,62.55336,60.85197,61.64836,60.09177,59.83837,57.81118,56.07359,54.86089,53.66630,51.45810,49.75671,48.65261,47.83812,46.28152,45.72043,44.88783,44.09143
2017,City South 132_11kV,04MAY2016,MW,43.04164,42.11854,41.75654,41.08684,40.85154,40.14565,39.96465,39.65695,39.07775,38.60715,38.17275,38.17275,38.17275,38.17275,38.17275,38.17275,37.95556,37.93746,37.93746,37.93746,40.01895,41.23164,43.04164,43.89233,46.26342,47.80192,51.80200,54.46269,60.23657,63.80226,67.09644,70.31823,74.49932,76.97901,80.38179,82.48139,85.23257,86.89777,87.82086,89.06976,91.04265,91.35035,92.36395,93.26894,93.06984,93.39564,93.64904,94.66264,95.16944,95.64004,95.82103,96.58123,96.32783,96.99753,97.06993,97.25093,97.35953,96.96133,96.76223,96.05633,95.24184,94.60834,94.48164,93.10604,92.54495,91.96575,91.29605,90.53585,89.28696,88.14666,86.02897,84.01988,78.31840,74.95181,73.66672,72.61692,69.21414,67.56704,66.44485,65.97425,63.83846,62.55336,61.39497,60.41757,59.00577,57.52158,55.74779,54.19119,52.32690,50.62551,49.61191,48.67071,47.72952,46.46252,45.82903,45.23173
2017,City South 132_11kV,05MAY2016,MW,43.96473,42.51674,42.22714,41.59364,40.70674,39.80175,39.80175,39.76555,38.89675,38.89675,38.66145,37.97366,37.97366,37.97366,37.97366,37.97366,37.46686,37.46686,37.46686,37.46686,39.42165,40.47145,41.77464,43.13214,45.68423,47.49422,50.96941,53.52150,58.82478,62.19136,65.66655,68.23674,72.90652,75.51291,77.95640,79.98359,81.59449,83.74838,85.75747,87.09687,88.00186,89.54036,89.82996,90.28246,91.11505,91.47705,91.94765,92.36395,92.85265,93.52234,93.63094,93.90244,94.86174,94.66264,94.78934,94.84364,94.19204,93.28704,93.75764,93.23274,93.32324,92.56305,91.62185,91.31415,91.44085,90.66255,90.26436,89.43176,88.83446,88.40006,86.69867,84.65338,79.24150,76.63511,74.71651,74.35452,72.25492,71.33183,70.22773,68.76164,67.24124,66.02855,65.12355,64.18236,62.01036,59.69357,57.52158,56.12789,53.15950,52.32690,50.89701,49.64811,48.10962,47.11412,46.22722,44.58013
2017,City South 132_11kV,06MAY2016,MW,43.33123,42.71584,41.93754,41.08684,40.70674,40.27235,39.80175,39.36735,38.93295,38.93295,38.26325,38.02795,38.02795,38.02795,38.02795,38.02795,38.02795,38.02795,38.02795,38.02795,39.71125,40.72484,41.97374,43.53033,46.10052,47.74762,50.95131,53.14140,58.93338,62.40856,65.23215,67.89284,72.85222,75.71201,78.10120,80.36369,82.73478,83.74838,85.86607,87.62177,88.81636,89.81186,90.49965,91.36845,92.16485,92.03815,92.61735,92.76215,94.11964,94.30064,94.73504,95.85723,95.74863,96.87083,96.78033,96.41833,96.56313,96.74413,95.67623,94.73504,94.22824,93.72144,92.68975,92.25535,91.78475,91.31415,90.55395,89.70326,88.83446,87.54937,85.39547,83.87508,77.77540,75.02421,73.26852,72.16442,69.52183,68.03764,66.93354,66.68015,64.25475,62.86106,61.90176,61.32257,59.11437,56.85188,55.80209,54.73419,53.08710,51.80200,50.26351,49.30421,48.77931,47.94672,46.20912,45.19553
2017,City South 132_11kV,07MAY2016,MW,44.39913,43.27693,43.27693,42.51674,42.00994,41.28594,40.45335,40.45335,39.74745,39.51215,39.51215,38.98725,38.57095,38.57095,38.57095,38.57095,37.93746,37.91936,37.91936,37.62976,38.06415,39.18635,39.42165,39.42165,40.25425,40.76104,41.88324,42.37194,44.00093,45.23173,45.68423,46.40822,49.28611,50.98751,51.80200,53.06900,55.69349,57.05098,57.70258,59.13247,61.06917,61.88366,62.01036,62.93346,63.20496,64.56245,64.56245,64.56245,64.96065,65.91995,65.95615,66.57155,65.93805,67.06024,66.15525,66.80685,67.06024,66.39055,66.04665,66.04665,65.32265,65.08735,65.61225,64.87015,64.87015,64.12806,63.96516,63.96516,63.96516,63.96516,64.87015,64.14616,63.34976,62.80676,61.37687,60.76147,60.07367,58.35418,57.95598,57.82928,57.50348,56.20029,55.27719,55.53059,54.37219,53.50340,52.74320,52.32690,50.69791,50.62551,50.28161,49.57571,48.16392,46.93312,45.72043,45.66613
2017,City South 132_11kV,08MAY2016,MW,44.68873,43.78373,43.69323,43.00544,42.42624,41.84704,41.64794,40.97824,40.97824,39.81985,39.74745,39.74745,39.74745,39.74745,39.07775,38.69765,38.69765,38.69765,38.69765,38.44425,38.60715,38.69765,39.43975,39.71125,39.96465,41.64794,42.08234,42.95114,43.76563,44.07333,45.03263,46.04622,47.20462,48.12772,49.26801,51.02371,51.60290,53.41290,55.00569,55.78399,56.92428,58.08268,58.57138,59.16867,60.43567,61.03297,61.03297,61.03297,61.03297,61.44927,62.08276,62.08276,62.08276,62.08276,62.08276,62.08276,63.00586,62.78866,62.24566,63.11446,62.15516,62.15516,62.15516,61.32257,61.41307,60.87007,60.87007,60.87007,61.66646,61.81126,61.81126,61.12347,60.14607,59.42207,58.13698,57.93788,57.28628,55.54869,55.54869,55.54869,53.95589,53.32240,53.32240,53.17760,51.25900,50.02821,49.95581,49.66621,48.34492,47.67522,46.39012,45.28603,44.56203,44.36293,43.67513,43.25883
2017,City South 132_11kV,09MAY2016,MW,42.78824,41.91944,41.46694,41.19544,40.45335,40.10945,39.56645,39.56645,39.29495,38.67955,38.67955,38.67955,38.67955,38.64335,37.64786,38.13655,38.57095,38.57095,38.57095,38.57095,40.47145,41.97374,43.22264,44.09143,47.13222,49.68431,54.55319,57.63018,63.80226,66.73445,71.27753,73.81152,79.24150,81.77549,83.63978,86.01087,87.56747,88.16476,89.37746,90.71685,92.12865,92.34585,93.32324,93.16034,92.79835,92.83455,93.01555,93.50424,94.19204,95.00654,95.25994,95.33234,95.82103,96.07443,95.85723,96.25543,96.12873,95.71243,95.58574,93.68524,92.92505,92.94315,92.83455,91.87525,91.47705,91.04265,90.86165,90.73495,89.16026,88.05616,86.24617,83.78458,77.48580,75.00611,73.63052,71.60333,68.88834,66.69825,65.73895,64.25475,62.15516,61.17777,59.62117,58.66188,57.37678,55.87449,54.60749,53.57580,51.31330,49.32231,48.61641,46.89692,45.84713,45.21363,44.41723,44.27243
2017,City South 132_11kV,10MAY2016,MW,42.77014,41.73844,41.73844,41.39454,40.83344,40.83344,40.09135,39.22255,39.02345,39.02345,39.02345,39.02345,38.87865,38.02795,38.02795,38.02795,37.84696,37.84696,37.84696,37.84696,39.71125,40.01895,41.64794,43.00544,45.91952,47.25892,50.84271,54.10069,59.71167,63.56696,66.49915,69.08744,73.32282,75.67581,78.46320,81.03339,82.93388,84.83438,86.11947,86.64437,87.44077,88.87066,89.30506,90.01096,90.51775,91.07885,91.02455,91.87525,92.54495,92.68975,92.90695,93.50424,94.01104,93.83004,93.72144,93.99294,93.75764,92.83455,91.96575,91.96575,91.63995,90.82545,90.62635,89.43176,88.85256,88.43626,87.89326,87.07877,85.34117,83.49498,81.79359,80.14649,74.58982,72.11012,70.28203,69.32274,66.39055,64.27285,63.27736,62.57146,60.68907,59.15057,58.28178,57.41298,55.53059,53.93779,52.32690,51.13230,49.77481,48.67071,47.29512,46.49872,45.64803,45.15933,45.15933,45.15933
