year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Clovelly 132_11kV,01MAY2015,MW,31.04607,29.96506,28.94093,28.08750,27.68923,27.15820,26.58925,25.88753,25.09099,25.03410,24.69272,24.27549,24.27549,23.59274,23.55481,23.55481,23.55481,23.70653,24.23756,24.31342,25.09099,26.05822,27.32889,28.04957,30.76160,33.45466,36.79254,39.88387,42.67176,44.98552,46.54066,46.42687,46.10446,44.79586,44.24587,44.26484,43.63899,43.22175,42.15970,42.08384,42.06487,41.97005,41.81832,41.30626,41.60971,41.62867,41.74246,41.85625,41.59074,41.26833,41.05971,40.71834,41.38212,40.98385,40.60455,40.49076,40.20628,39.90284,39.82697,39.82697,39.82697,39.82697,40.16835,40.87006,40.87006,41.36316,41.85625,42.44418,43.80967,45.64930,48.09581,49.68889,50.25785,50.61819,51.56645,51.60438,50.82681,49.32855,48.34236,47.24238,46.38894,45.81999,44.89069,44.01829,43.39244,42.61486,41.72350,40.75627,40.01663,39.27698,38.34769,36.65978,35.50290,34.83912,34.09948,32.82881
2016,Clovelly 132_11kV,02MAY2015,MW,32.25985,31.21676,30.04092,29.49093,29.20645,28.01164,27.44268,26.70304,26.03926,25.77374,24.74962,24.40825,23.93412,23.93412,23.93412,23.93412,23.93412,23.93412,23.93412,24.31342,24.54100,24.99617,25.14789,25.43237,26.00132,27.59440,28.40991,29.20645,30.66677,32.94260,34.40292,35.54083,37.05805,38.25286,39.35284,40.62351,41.07868,41.66660,42.02694,42.46314,42.53900,42.36831,42.70969,42.89934,42.80452,41.81832,41.74246,41.85625,42.02694,41.43902,41.49591,41.00282,40.58558,40.66144,40.96489,40.22524,40.05456,39.69422,40.73731,41.70453,41.24937,41.07868,41.78039,41.68557,41.64764,41.91315,42.80452,43.82864,45.15620,46.99583,49.04407,50.12509,49.70786,49.48027,49.19580,49.17683,48.89235,47.26134,46.29412,44.96655,43.56312,42.99417,42.25452,41.70453,40.88903,40.16835,39.01147,37.93045,37.81666,37.11495,36.45116,35.65462,34.64947,33.83396,33.37880,32.43054
2016,Clovelly 132_11kV,03MAY2015,MW,31.88054,31.06504,29.73747,29.13059,28.94093,28.14440,27.02545,26.38063,25.90650,25.26168,24.97720,24.52204,23.97205,23.89618,23.89618,23.66860,23.72550,23.82032,23.82032,23.82032,23.82032,23.82032,24.38928,24.57893,25.45133,26.38063,26.83579,27.63233,28.39094,29.71851,31.15987,32.77191,34.74429,36.54599,37.93045,39.39077,40.30111,41.51488,42.31142,43.22175,43.96139,43.82864,44.05622,44.72000,44.37863,44.45449,44.35966,43.62002,43.22175,43.22175,42.69072,42.48211,42.06487,40.81317,40.56662,40.52869,39.86491,39.54250,39.08733,38.51837,38.80285,39.23905,39.65629,40.50972,41.66660,41.89418,43.05106,43.73381,45.28896,47.58375,49.27166,50.61819,51.28197,51.86989,51.88886,51.96472,51.24404,50.04923,49.19580,47.94409,47.10962,46.04757,44.72000,43.69588,42.65279,41.21144,39.92180,39.12526,37.81666,36.86840,35.73049,33.89086,32.46847,31.84261,31.34952,30.15471
2016,Clovelly 132_11kV,04MAY2015,MW,29.69954,28.61853,27.49958,27.25303,26.87373,26.26684,25.43237,25.14789,24.35135,23.89618,23.89618,23.19447,23.08068,22.79620,23.04275,22.81517,23.11861,23.27033,23.70653,23.95308,24.12377,24.80652,25.86857,27.29096,29.20645,32.27881,35.10463,38.34769,41.15454,43.22175,44.37863,44.39759,43.56312,42.99417,42.08384,41.24937,40.75627,40.49076,40.49076,40.49076,40.49076,40.49076,40.39593,40.24421,40.50972,40.50972,40.07352,39.80801,40.09249,40.33904,40.14938,40.01663,40.26317,39.63732,39.67525,39.54250,39.06837,39.06837,38.99250,38.93561,38.65113,38.36665,38.53734,39.48560,39.99766,40.87006,41.11661,42.29245,43.56312,45.64930,48.43719,49.99234,50.61819,51.43369,52.59057,53.34918,52.55264,51.60438,51.54748,50.71301,49.11994,47.65961,46.42687,45.63033,44.58725,43.63899,42.12177,40.75627,39.29595,38.49941,37.11495,35.42704,33.47362,32.52536,31.44434,29.87023
2016,Clovelly 132_11kV,05MAY2015,MW,29.52886,28.69439,27.68923,27.12027,26.91166,26.13408,25.35651,24.74962,24.40825,24.10480,23.68757,23.49792,23.36516,23.55481,23.32723,22.75827,22.77724,23.38412,23.38412,23.70653,24.46514,25.01513,26.19098,27.49958,30.05988,32.80984,35.42704,38.40458,41.07868,42.63383,42.70969,42.61486,42.46314,41.15454,40.30111,39.65629,39.29595,39.73215,39.86491,38.85975,38.89768,38.80285,39.01147,38.46148,37.94942,38.61320,38.59423,38.42355,38.38562,38.29079,38.29079,38.74596,38.91664,38.91664,38.65113,38.72699,38.65113,38.38562,38.38562,38.38562,38.38562,37.77873,38.27183,38.65113,39.01147,39.56146,39.90284,40.77524,41.59074,43.43037,46.23722,47.96306,48.51305,49.66993,50.27681,50.75094,49.93544,49.08200,48.11478,47.35617,46.54066,45.38379,44.70104,43.14589,42.14073,41.74246,40.24421,39.18216,38.21493,36.94426,35.67359,33.81500,32.31675,31.31159,30.51505,29.47196
2016,Clovelly 132_11kV,06MAY2015,MW,28.92197,28.16336,26.81683,26.28580,25.98236,25.47030,24.92031,24.12377,23.64964,23.04275,23.04275,23.04275,22.96689,22.36000,22.36000,22.36000,22.72034,22.79620,23.36516,23.47895,23.93412,24.73065,25.75478,26.93062,29.26334,32.05123,34.66843,37.39943,40.18731,42.33038,42.78555,42.53900,42.38728,41.49591,40.68041,39.82697,39.23905,38.99250,38.70803,38.44251,38.15803,38.06321,37.72183,37.72183,37.89252,37.87356,38.12010,37.38046,37.39943,37.03909,37.03909,37.11495,37.09598,36.94426,36.69771,36.45116,36.75461,36.73564,36.64082,36.35634,36.39427,36.39427,36.39427,36.86840,37.60804,38.04424,39.75111,40.14938,41.60971,43.99932,46.63549,49.23373,50.56129,51.90782,52.72333,52.78022,52.78022,51.79403,51.33887,50.48543,49.53717,48.70270,47.73547,46.55963,45.30792,44.45449,43.37347,42.12177,40.90799,39.16319,37.91149,35.97703,34.19430,33.11328,32.44950,31.08401
2016,Clovelly 132_11kV,07MAY2015,MW,30.21161,29.07369,28.20129,27.27199,27.17717,26.55132,25.79271,25.41340,24.69272,24.06687,23.99101,23.25137,23.25137,23.25137,23.25137,23.25137,23.25137,23.25137,23.68757,24.12377,24.67376,25.75478,26.58925,28.10646,30.45815,33.34087,36.77357,39.31491,41.70453,43.67692,44.15105,44.03725,43.46830,42.61486,41.28730,40.33904,39.92180,39.56146,39.10630,38.59423,38.49941,38.63217,38.72699,38.04424,38.04424,38.08217,37.62701,38.08217,37.93045,37.64597,38.04424,37.70287,37.30460,37.30460,37.02012,37.05805,37.24770,37.13391,36.83047,37.09598,36.50806,36.50806,36.96323,37.26667,38.12010,38.70803,39.58043,40.41490,42.84245,45.13724,47.83030,49.34752,50.82681,52.19230,52.49575,52.62850,53.33022,52.59057,51.71817,51.43369,50.84577,50.73198,49.66993,48.68374,47.64065,46.16136,44.77690,43.73381,42.74762,41.34419,39.71318,37.79770,35.80635,34.68740,33.66328,32.22192
2016,Clovelly 132_11kV,08MAY2015,MW,31.36848,30.40126,29.05473,28.67542,28.48577,27.51854,26.93062,26.38063,25.79271,25.29961,24.78755,24.78755,24.21859,24.16170,24.16170,24.16170,24.37032,24.86341,24.40825,24.90134,25.48926,26.07719,27.21510,28.69439,30.97021,34.32706,37.36150,40.24421,43.12692,45.59240,46.02860,45.30792,44.72000,43.24072,42.14073,41.32523,40.43386,40.45283,40.66144,40.47179,39.94077,39.54250,39.06837,39.33388,38.99250,38.95457,38.68906,38.32872,38.15803,38.02528,37.68390,37.60804,37.60804,38.00631,37.05805,36.81150,36.81150,36.92530,36.81150,37.02012,37.64597,37.41839,37.75976,37.22874,37.58908,38.74596,39.40974,40.94592,42.70969,44.58725,47.45100,49.19580,50.20095,49.99234,50.63715,50.63715,49.91647,49.42338,48.66477,47.81133,46.86307,46.00964,45.15620,44.66311,43.39244,42.42521,42.33038,41.64764,40.45283,39.92180,38.36665,37.17184,35.50290,34.72533,34.08051,32.79088
2016,Clovelly 132_11kV,09MAY2015,MW,32.10813,31.10297,30.09781,29.26334,28.97887,28.08750,27.38579,26.36166,25.73581,25.14789,25.14789,24.61686,24.29445,24.29445,24.29445,24.29445,23.93412,24.18066,24.61686,24.61686,24.61686,24.73065,25.18582,25.69788,27.32889,28.52370,29.54782,30.60987,32.18399,34.17534,35.92014,37.20977,38.06321,39.03044,39.99766,40.33904,40.66144,40.98385,41.09764,40.77524,40.52869,39.97870,39.56146,39.16319,38.89768,38.89768,38.63217,38.21493,37.62701,37.81666,37.22874,37.17184,37.02012,36.86840,36.75461,36.54599,36.07186,36.07186,36.07186,36.62185,36.07186,36.75461,36.92530,36.92530,37.75976,38.23390,39.22009,40.94592,43.14589,45.78206,48.39926,49.61303,50.21992,50.40957,50.58026,50.29578,49.51821,48.11478,47.14755,46.35101,45.13724,44.54932,43.58209,42.63383,41.68557,41.15454,40.30111,39.37181,38.63217,37.93045,37.13391,35.88221,34.82015,34.04258,33.87189,32.71501
2016,Clovelly 132_11kV,10MAY2015,MW,32.52536,31.48228,30.09781,29.47196,29.33920,28.23922,27.44268,26.70304,26.02029,25.64099,24.69272,24.69272,24.69272,24.31342,23.93412,23.93412,24.23756,24.27549,24.27549,24.27549,24.27549,24.46514,24.57893,25.26168,25.81167,26.45649,27.21510,28.06853,29.66161,30.76160,32.05123,33.28397,35.16153,36.18565,37.20977,38.02528,38.78389,39.71318,39.52353,39.54250,39.54250,39.59939,39.22009,38.85975,39.03044,39.71318,39.40974,39.54250,39.20112,39.20112,38.93561,38.49941,37.36150,36.73564,36.64082,36.64082,35.93910,35.74945,35.19946,35.19946,35.19946,35.99600,36.75461,37.74080,38.87871,39.61836,40.24421,42.06487,44.26484,46.71135,49.04407,50.50440,51.60438,52.51471,52.72333,52.81815,52.15437,51.62335,50.73198,50.01130,48.75960,47.73547,46.73032,45.64930,44.43552,43.43037,42.00798,40.18731,39.42870,37.77873,36.16669,34.55464,32.96156,31.72882,31.02711,29.87023
