year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Concord 33_11kV,01MAY2015,MW,14.47252,13.97347,13.73319,13.43745,13.38200,13.08627,12.82750,12.45783,12.18058,11.79243,11.64456,11.51518,11.49669,11.51518,11.51518,11.49669,11.27489,11.49669,11.55214,11.66304,11.88484,12.18058,12.71660,13.49290,14.36162,15.06399,16.20997,17.41139,18.42798,19.22276,19.64788,19.94362,20.05452,19.96210,20.10997,20.27632,20.46115,20.73841,20.73841,20.57205,20.66447,20.86779,21.03414,20.90476,20.86779,21.01566,21.05262,21.05262,20.77537,20.51660,20.40570,20.31329,20.20239,20.79386,20.31329,19.88817,20.07300,20.22087,20.35025,20.07300,20.12845,20.05452,20.01755,19.90665,20.20239,20.70144,20.64599,20.73841,20.66447,21.08959,21.84741,22.03225,21.73651,21.18201,20.68296,20.73841,20.23935,19.98059,19.92513,19.72182,19.29670,19.25973,19.01945,18.76068,18.39101,18.02134,17.59622,17.37442,17.28200,17.07869,16.52418,16.09907,15.82181,15.39670,15.47063,14.91613
2016,Concord 33_11kV,02MAY2015,MW,14.91613,14.54646,14.21376,13.93650,13.71470,13.47442,13.04930,12.84598,12.30996,12.05119,11.84788,11.60759,11.49669,11.51518,11.47821,11.45973,11.51518,11.40427,11.57063,11.49669,11.77394,11.84788,11.97726,12.10664,12.42086,12.66115,12.93840,13.38200,13.47442,13.93650,14.19527,14.65736,14.99006,15.43366,15.71091,15.87726,15.82181,16.06210,16.46873,16.28390,16.74599,16.83840,17.30049,17.20807,17.35594,17.55926,17.28200,17.02324,17.24504,16.81992,16.74599,16.72750,16.46873,16.33935,16.46873,16.63508,16.35783,16.52418,16.48722,17.15262,17.37442,17.20807,17.13414,17.18959,17.42987,17.76257,18.05831,18.39101,18.64978,19.40760,19.81423,19.92513,19.90665,19.57395,19.33367,18.98248,18.79765,18.52039,18.29859,18.15073,18.03983,17.92892,17.54077,17.37442,17.28200,16.96779,16.72750,16.43177,16.54267,16.52418,16.11755,15.76636,15.34124,15.23034,15.28579,14.89764
2016,Concord 33_11kV,03MAY2015,MW,14.87916,14.84219,14.28769,14.04740,13.82560,13.47442,13.12323,12.95688,12.51328,12.12513,12.10664,11.86636,11.73698,11.57063,11.55214,11.75546,11.75546,11.75546,11.75546,11.75546,11.75546,11.94029,12.08816,11.97726,12.29148,12.47631,12.56873,12.80902,12.95688,13.45594,13.75167,14.01044,14.58342,15.13793,15.37821,15.74788,15.96968,16.32087,16.48722,16.61660,16.85689,16.94930,17.15262,17.20807,17.15262,17.07869,17.24504,17.15262,17.02324,16.87537,16.70902,16.67205,16.63508,16.35783,16.35783,16.17300,16.17300,16.19148,16.26542,16.24693,16.20997,16.28390,16.43177,16.56115,16.89385,17.20807,17.67016,18.07679,18.46494,18.87158,19.42608,19.72182,19.62940,19.62940,19.46305,19.44457,18.89006,18.52039,18.22466,18.00286,17.70712,17.63319,17.18959,17.11565,16.78295,16.61660,16.22845,15.91423,15.78485,15.60001,15.13793,14.58342,14.25072,14.17679,14.28769,13.75167
2016,Concord 33_11kV,04MAY2015,MW,13.95499,13.64077,13.28958,13.03082,12.88295,12.49480,12.21755,11.88484,11.66304,11.45973,11.34882,11.23792,11.09006,11.09006,11.16399,11.16399,11.18247,11.20096,11.29337,11.57063,11.90333,12.10664,12.51328,13.03082,13.91802,14.82371,15.48911,16.56115,17.81802,18.42798,18.89006,19.07490,19.37063,19.29670,19.33367,19.44457,19.51850,19.61092,19.90665,19.86968,20.25784,20.25784,20.20239,20.20239,20.62751,20.62751,20.36874,20.44267,20.60902,20.70144,20.40570,20.29480,20.23935,20.57205,20.47964,20.68296,20.60902,20.60902,20.10997,20.22087,20.03604,20.27632,20.38722,20.25784,20.25784,20.40570,20.70144,20.40570,20.79386,21.31139,22.01376,22.27253,21.92134,21.23746,20.94172,20.77537,20.07300,19.96210,19.55547,19.46305,18.98248,18.98248,18.68675,18.29859,18.05831,17.74409,17.37442,16.78295,16.74599,16.65357,15.96968,15.37821,14.99006,14.58342,14.58342,14.23224
2016,Concord 33_11kV,05MAY2015,MW,14.23224,13.91802,13.47442,13.45594,13.10475,12.90143,12.53176,12.40238,12.03271,11.90333,11.68153,11.55214,11.57063,11.45973,11.58911,11.34882,11.31186,11.55214,11.70001,11.77394,12.08816,12.43935,12.86447,13.49290,14.30617,14.89764,15.69243,16.63508,17.59622,18.40949,18.89006,19.05641,19.25973,19.03793,19.11186,19.50002,19.59243,19.81423,20.46115,20.47964,20.49812,20.31329,20.33177,20.33177,20.53509,20.44267,20.68296,20.66447,20.92324,20.68296,20.84931,20.96021,20.73841,20.96021,20.79386,20.84931,20.70144,20.86779,20.81234,20.90476,20.60902,20.60902,20.59054,20.42419,20.64599,20.60902,20.83082,20.66447,20.60902,20.77537,21.34836,21.62561,21.34836,20.62751,20.07300,20.07300,19.74030,19.46305,19.07490,18.83461,18.46494,18.39101,18.33556,18.05831,17.48532,17.15262,16.85689,16.30238,16.33935,16.00665,15.60001,15.00854,14.65736,14.36162,14.26921,13.86257
2016,Concord 33_11kV,06MAY2015,MW,13.77015,13.67774,13.21565,13.06778,12.90143,12.55025,12.32845,12.01423,11.71849,11.44124,11.34882,11.23792,11.23792,11.25641,10.92371,10.94219,11.20096,11.20096,11.20096,11.42276,11.62608,12.14361,12.43935,13.14172,14.17679,14.73129,15.85878,16.57963,17.44836,17.89196,18.18769,18.74220,18.81613,18.96400,18.89006,18.96400,19.03793,19.05641,19.33367,19.31518,19.25973,19.14883,19.05641,19.33367,19.22276,19.11186,19.57395,19.44457,19.35215,19.42608,19.25973,19.31518,19.16731,19.33367,19.44457,19.59243,19.33367,19.37063,19.42608,19.31518,19.18580,19.18580,19.13035,19.18580,19.18580,19.16731,19.31518,19.27821,19.59243,20.23935,20.96021,21.45926,21.20049,20.81234,20.73841,20.81234,20.66447,20.40570,20.20239,20.01755,19.75878,19.55547,19.38912,19.03793,18.61281,18.22466,17.92892,17.31897,17.22655,16.85689,16.15452,15.58153,15.11944,14.67584,14.74978,14.32466
2016,Concord 33_11kV,07MAY2015,MW,14.17679,13.97347,13.60380,13.54835,13.28958,12.95688,12.66115,12.30996,12.06968,11.86636,11.64456,11.38579,11.27489,11.27489,11.27489,11.27489,11.27489,11.27489,11.42276,11.60759,11.97726,12.25451,12.79053,13.43745,14.39859,15.13793,16.52418,17.44836,18.29859,18.79765,19.27821,19.35215,19.48153,19.72182,19.40760,19.42608,19.22276,19.38912,19.29670,19.40760,19.37063,19.00096,19.00096,19.07490,19.38912,19.27821,19.29670,19.27821,19.51850,19.22276,18.92703,19.01945,19.05641,19.14883,19.00096,19.00096,18.96400,18.96400,19.27821,18.81613,18.50191,18.55736,18.72371,18.59433,18.64978,19.01945,19.14883,19.42608,19.57395,20.66447,21.51471,21.95831,21.84741,21.31139,21.05262,20.97869,20.73841,20.60902,20.40570,20.10997,20.07300,19.92513,19.77727,19.53698,19.05641,18.63129,18.42798,17.78106,17.57774,17.13414,16.61660,15.93271,15.45215,15.08248,14.91613,14.67584
2016,Concord 33_11kV,08MAY2015,MW,14.56494,14.52797,13.91802,13.71470,13.64077,13.34503,12.99385,12.73508,12.30996,12.25451,11.79243,11.77394,11.70001,11.51518,11.51518,11.38579,11.53366,11.57063,11.57063,11.82939,12.12513,12.67963,13.06778,13.77015,14.82371,15.65546,17.04172,17.89196,18.81613,19.51850,19.64788,19.86968,20.20239,20.07300,20.01755,19.98059,19.86968,19.57395,19.74030,19.75878,19.66637,19.57395,19.37063,19.66637,19.70333,19.70333,19.53698,19.46305,19.62940,19.62940,19.27821,19.42608,19.44457,19.38912,19.37063,19.20428,19.25973,19.01945,19.31518,19.22276,18.98248,19.01945,19.01945,19.11186,19.20428,19.18580,19.55547,19.70333,19.79575,20.49812,21.31139,21.58864,21.51471,20.96021,20.71992,20.53509,20.36874,20.33177,20.05452,19.99907,19.74030,19.70333,19.50002,19.24125,18.70523,18.26163,18.16921,17.68864,17.59622,17.31897,17.02324,16.24693,15.78485,15.41518,15.41518,15.04551
2016,Concord 33_11kV,09MAY2015,MW,14.89764,14.80523,14.12134,13.86257,13.62229,13.23413,12.90143,12.53176,12.36541,12.06968,11.99574,11.77394,11.70001,11.62608,11.51518,11.42276,11.42276,11.40427,11.34882,11.47821,11.58911,11.86636,11.94029,12.32845,12.58721,12.77205,13.08627,13.60380,13.89954,14.21376,14.58342,15.06399,15.15641,15.32276,15.19338,15.30428,15.24883,15.41518,15.39670,15.41518,15.72940,15.58153,15.39670,15.45215,15.52608,15.41518,15.41518,15.32276,15.41518,15.52608,15.17489,15.26731,15.13793,15.10096,15.21186,15.30428,15.21186,15.23034,15.24883,15.21186,15.23034,15.61850,15.61850,15.69243,15.91423,16.33935,16.61660,17.07869,17.83651,18.63129,19.46305,19.94362,19.81423,19.46305,19.24125,19.00096,19.01945,18.77916,18.40949,18.40949,18.03983,18.03983,17.98437,17.79954,17.48532,17.24504,17.18959,16.93082,16.81992,16.57963,16.30238,15.78485,15.39670,15.26731,15.23034,14.86068
2016,Concord 33_11kV,10MAY2015,MW,14.82371,14.63887,14.13982,13.91802,13.78864,13.38200,12.93840,12.75356,12.40238,12.19906,11.95878,11.60759,11.58911,11.58911,11.51518,11.51518,11.57063,11.62608,11.57063,11.57063,11.77394,11.82939,11.77394,12.05119,12.23603,12.66115,12.80902,12.93840,13.23413,13.75167,14.02892,14.47252,15.04551,15.32276,15.37821,15.61850,15.76636,15.80333,15.67395,15.96968,15.85878,16.02513,15.93271,15.95120,16.13603,16.39480,16.19148,16.43177,16.39480,16.41328,15.74788,15.50760,15.41518,15.54456,15.41518,15.15641,15.21186,15.08248,15.17489,15.04551,15.35973,15.28579,15.43366,15.71091,16.13603,16.50570,16.83840,17.30049,18.03983,18.81613,19.35215,19.83272,19.44457,19.25973,19.03793,19.20428,19.03793,18.81613,18.53888,18.39101,18.20618,18.07679,17.81802,17.57774,17.39291,17.06020,16.70902,16.32087,15.98816,15.95120,15.32276,14.86068,14.38011,14.19527,14.23224,13.78864
