year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Croudace Bay 33_11kV,01MAY2014,MW,7.49948,7.07040,7.07040,7.42486,7.08906,6.64133,6.30553,6.43612,6.19360,5.76452,5.37276,5.14890,4.90638,4.66385,4.51461,4.42133,4.32806,4.10419,4.14150,4.04823,4.45865,4.66385,4.99965,5.27948,5.48469,5.83915,6.41746,6.39881,6.51074,6.86519,6.88385,6.80923,6.47343,6.38015,6.19360,5.89511,5.85780,5.83915,5.65259,5.42873,5.31679,5.05562,5.03696,4.92503,4.71982,4.68251,4.70117,4.83175,4.85041,4.75713,4.75713,4.86906,5.03696,4.86906,4.79444,4.75713,4.88772,4.83175,5.07427,5.29814,5.24217,5.35411,5.52200,5.67125,5.95108,6.19360,6.30553,6.79057,7.07040,7.74200,8.32032,8.54418,8.52553,8.54418,8.50687,8.50687,8.09645,8.17107,8.02183,7.81662,7.46217,7.49948,7.35024,7.10771,6.88385,6.69730,6.92116,6.79057,7.74200,7.61141,7.36889,6.90251,7.16368,6.95847,6.92116,7.20099
2015,Croudace Bay 33_11kV,02MAY2014,MW,7.31292,7.07040,7.07040,7.42486,7.08906,6.64133,6.26822,6.47343,6.19360,5.70856,5.61528,5.18621,5.05562,4.85041,4.57058,4.25344,4.10419,4.27209,4.10419,4.14150,4.42133,4.58923,4.90638,5.18621,5.46604,5.65259,6.06301,6.32419,6.21225,6.65998,6.64133,6.71595,6.71595,6.54805,6.32419,6.06301,5.74587,5.57797,5.37276,5.37276,5.29814,5.11158,4.85041,4.88772,4.86906,4.64520,4.55192,4.57058,4.92503,4.81310,4.66385,4.58923,4.60789,4.60789,4.79444,4.75713,4.92503,4.71982,5.03696,5.09293,5.20486,5.57797,5.68990,5.95108,6.02570,6.30553,6.54805,6.82788,7.10771,7.81662,8.26435,8.22704,8.41359,8.48822,8.15242,8.02183,7.90990,7.89124,7.64872,7.63007,7.53679,7.31292,7.05175,7.03309,6.82788,6.71595,6.80923,6.75326,7.90990,7.63007,7.31292,6.97713,7.21965,6.99578,6.97713,7.33158
2015,Croudace Bay 33_11kV,03MAY2014,MW,7.20099,6.97713,7.07040,7.25696,7.05175,6.58536,6.15629,5.89511,6.13763,6.00705,5.65259,5.50335,5.03696,4.79444,4.62654,4.43999,4.29075,4.17881,4.01092,4.08554,4.34671,4.30940,4.47730,4.45865,4.79444,4.94369,5.07427,5.31679,5.70856,6.24957,6.71595,7.07040,7.03309,7.20099,7.33158,7.14503,7.36889,7.42486,7.63007,7.31292,7.08906,7.18234,6.67864,6.54805,6.49209,6.24957,6.32419,6.26822,6.26822,6.23091,6.64133,6.65998,6.47343,6.60402,6.82788,7.16368,6.47343,6.30553,6.26822,6.28688,6.39881,6.71595,6.77192,6.97713,7.44351,7.87259,8.00317,8.09645,8.65611,9.42099,10.09258,10.26048,10.39107,10.35376,9.99930,9.83141,9.43964,9.53292,9.04788,8.97326,8.63746,8.48822,8.37628,8.24570,8.15242,8.02183,9.19712,8.93595,8.37628,7.74200,7.79797,7.42486,8.00317,7.59276,6.82788,6.79057
2015,Croudace Bay 33_11kV,04MAY2014,MW,6.95847,6.30553,6.56671,7.05175,6.41746,5.91377,5.54066,5.11158,5.37276,5.14890,4.86906,4.64520,4.49596,4.40268,4.40268,4.29075,4.19747,4.16016,4.19747,4.23478,4.43999,4.47730,4.55192,4.75713,5.09293,5.13024,5.22352,5.68990,5.95108,6.26822,6.80923,7.40620,7.94721,8.32032,8.78670,9.02922,9.01057,8.67477,8.39494,7.90990,7.89124,7.63007,7.33158,7.25696,6.90251,6.71595,6.60402,6.30553,6.38015,6.51074,6.26822,6.15629,6.08167,5.72721,5.98839,5.80184,6.00705,5.96973,6.00705,5.89511,6.08167,6.13763,6.08167,6.36150,6.79057,7.23830,7.59276,7.74200,8.43225,9.17847,9.86872,10.01796,10.35376,10.39107,10.26048,9.86872,9.70082,9.66351,9.30905,9.12250,8.97326,8.78670,8.65611,8.41359,8.22704,7.83528,8.84267,8.56284,8.00317,7.48082,7.40620,7.10771,7.57410,7.03309,6.51074,6.54805
2015,Croudace Bay 33_11kV,05MAY2014,MW,6.58536,6.13763,6.28688,6.93982,6.15629,5.70856,5.39142,5.55931,5.22352,4.98100,4.64520,4.40268,4.40268,4.23478,4.12285,4.10419,4.10419,4.19747,4.17881,4.27209,4.77579,5.22352,5.31679,5.57797,6.00705,6.54805,7.14503,7.25696,7.81662,8.39494,8.50687,8.43225,7.96586,7.66738,7.12637,6.73461,6.39881,6.13763,5.96973,5.80184,5.68990,5.55931,5.35411,5.41007,5.31679,5.29814,5.14890,5.26083,5.20486,5.24217,4.98100,5.09293,4.92503,5.01831,4.92503,4.83175,4.85041,4.85041,5.16755,5.13024,5.14890,5.29814,5.46604,5.80184,6.11898,6.47343,6.71595,7.51813,8.22704,9.30905,10.35376,10.72687,11.00670,11.02535,10.74552,10.65224,10.31645,10.18586,9.81275,9.42099,9.21578,9.21578,9.02922,8.69343,8.37628,7.96586,8.00317,7.76065,8.74939,8.73074,8.20838,7.61141,7.89124,7.40620,7.23830,7.59276
2015,Croudace Bay 33_11kV,06MAY2014,MW,7.77931,7.38755,7.51813,7.74200,7.36889,7.01444,6.69730,7.01444,6.58536,6.21225,5.85780,5.70856,5.33545,5.26083,5.11158,4.71982,4.70117,4.55192,4.29075,4.40268,4.81310,5.18621,5.44738,5.87646,6.15629,6.88385,7.23830,7.59276,8.09645,8.52553,8.61880,8.56284,8.18973,8.17107,7.79797,7.10771,7.05175,6.54805,6.30553,5.96973,5.82049,5.42873,5.48469,5.37276,5.16755,4.98100,4.99965,4.75713,4.77579,4.81310,5.11158,4.66385,4.68251,4.70117,4.60789,4.60789,4.77579,4.83175,4.96234,5.11158,5.44738,5.37276,5.54066,5.95108,6.08167,6.41746,6.80923,7.33158,8.02183,8.84267,9.70082,10.03662,10.03662,9.98065,9.92468,9.88737,9.64485,9.55157,9.21578,9.08519,8.91729,8.80536,8.65611,8.18973,7.92855,7.70469,7.63007,7.44351,8.39494,8.33897,7.79797,7.35024,7.74200,7.16368,7.10771,7.48082
2015,Croudace Bay 33_11kV,07MAY2014,MW,7.53679,7.23830,7.05175,7.48082,7.20099,6.73461,6.52940,6.75326,6.34284,5.91377,5.72721,5.46604,5.14890,4.99965,4.60789,4.40268,4.30940,4.25344,4.14150,4.17881,4.45865,5.03696,5.07427,5.33545,5.87646,6.30553,6.67864,6.79057,6.90251,7.23830,7.51813,7.33158,7.20099,6.79057,6.62267,6.21225,5.98839,5.72721,5.54066,5.59663,5.18621,5.16755,4.94369,5.09293,4.99965,4.98100,5.11158,5.05562,4.81310,4.70117,4.83175,4.81310,4.75713,4.68251,4.62654,4.68251,4.79444,4.79444,4.83175,5.01831,5.13024,5.26083,5.46604,5.65259,6.02570,6.23091,6.67864,7.10771,7.66738,8.50687,8.97326,9.45830,9.66351,9.73813,9.53292,9.40233,9.12250,8.99191,8.74939,8.45090,8.22704,8.02183,7.90990,7.87259,7.53679,7.48082,7.49948,7.38755,8.39494,8.22704,7.61141,7.42486,7.59276,7.20099,7.14503,7.38755
2015,Croudace Bay 33_11kV,08MAY2014,MW,7.42486,7.35024,7.31292,7.38755,7.16368,6.71595,6.39881,6.60402,6.30553,5.96973,5.70856,5.44738,5.11158,4.98100,4.73848,4.53327,4.45865,4.21612,4.10419,4.27209,4.60789,4.71982,5.05562,5.29814,5.74587,6.21225,6.49209,6.67864,6.99578,7.42486,7.63007,7.79797,7.77931,7.53679,7.03309,6.67864,6.38015,6.32419,6.11898,6.11898,6.11898,5.76452,5.50335,5.70856,5.82049,5.96973,6.21225,6.30553,6.15629,5.93242,6.10032,5.91377,5.93242,5.95108,5.80184,5.98839,6.19360,6.08167,6.00705,6.24957,6.23091,6.06301,6.24957,6.39881,6.60402,6.93982,7.40620,7.72334,8.26435,9.25309,9.88737,10.03662,10.46569,10.31645,10.01796,9.88737,9.73813,9.81275,9.34637,9.02922,8.89863,8.74939,8.46956,8.26435,7.87259,7.70469,7.85393,7.66738,8.69343,8.52553,7.92855,7.49948,7.87259,7.42486,7.27561,7.59276
2015,Croudace Bay 33_11kV,09MAY2014,MW,7.79797,7.48082,7.29427,7.77931,7.36889,6.88385,6.62267,6.93982,6.51074,6.11898,5.78318,5.54066,5.14890,5.05562,4.71982,4.57058,4.43999,4.53327,4.38402,4.25344,4.62654,5.11158,5.11158,5.37276,5.74587,6.10032,6.54805,6.60402,6.80923,7.20099,7.36889,7.51813,7.44351,7.18234,7.01444,6.65998,6.34284,6.13763,6.02570,5.67125,5.59663,5.57797,5.18621,5.03696,5.20486,5.37276,5.59663,5.63394,5.67125,5.70856,5.39142,4.96234,4.94369,4.99965,5.05562,4.85041,4.94369,4.99965,5.26083,5.31679,5.54066,5.72721,5.85780,6.06301,6.17494,6.62267,6.93982,7.40620,7.96586,8.56284,9.15981,9.23443,9.32771,9.15981,9.01057,8.84267,8.78670,8.69343,8.45090,8.35763,8.13376,7.98452,8.02183,7.87259,7.66738,7.42486,7.72334,7.57410,8.65611,8.28301,7.83528,7.42486,7.72334,7.46217,7.29427,7.57410
2015,Croudace Bay 33_11kV,10MAY2014,MW,7.64872,7.40620,7.53679,7.76065,7.40620,6.86519,6.45478,6.08167,6.26822,6.11898,5.80184,5.61528,5.46604,5.13024,4.85041,4.60789,4.36537,4.30940,4.16016,4.17881,4.45865,4.53327,4.58923,4.73848,5.03696,5.37276,5.63394,5.93242,6.26822,6.60402,7.07040,7.53679,7.57410,7.76065,7.72334,7.85393,7.38755,7.31292,7.20099,7.05175,6.73461,6.64133,6.64133,6.13763,6.15629,6.19360,6.23091,6.28688,6.21225,6.36150,6.43612,6.34284,6.34284,6.49209,6.60402,6.56671,6.67864,6.62267,6.43612,6.45478,6.58536,6.77192,6.75326,6.88385,7.20099,7.59276,7.98452,8.07780,8.63746,9.12250,9.42099,9.32771,9.34637,9.06653,8.99191,8.82401,8.63746,8.32032,8.20838,7.90990,7.77931,7.76065,7.64872,7.40620,7.20099,7.07040,8.13376,7.85393,7.57410,6.99578,7.07040,6.77192,7.48082,7.05175,6.43612,6.49209
