year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Crows Nest 33_11kV,01MAY2015,MW,11.31594,10.67066,10.32441,9.99391,9.99391,9.64766,9.23846,9.15977,8.40432,8.35711,7.74331,7.69610,7.69610,7.69610,7.69610,7.69610,7.69610,7.69610,7.69610,7.69610,7.99513,8.56171,9.55323,9.91521,10.81231,12.07138,13.55079,15.20333,17.06046,18.27232,19.32680,19.92486,20.01929,20.22389,19.95634,19.95634,19.95634,19.84617,19.35828,19.35828,19.35828,19.35828,19.57861,19.48418,19.68878,19.89338,19.59435,19.49992,19.40549,19.62583,19.49992,19.29532,19.29532,19.29532,19.29532,19.21663,18.94908,18.79169,18.79169,18.71300,18.98055,18.99629,19.20089,19.20089,19.20089,19.20089,19.20089,19.76748,20.17668,20.49144,21.04229,21.18394,20.63309,20.53866,20.05077,19.95634,19.95634,19.61009,18.82317,18.02051,18.02051,18.02051,17.54836,17.13916,17.13916,16.79291,16.38371,15.80139,15.48662,14.92004,14.00721,13.34619,13.29898,13.12586,12.40189,11.92973
2016,Crows Nest 33_11kV,02MAY2015,MW,11.50480,11.03264,11.03264,10.22998,10.19851,10.19851,9.91521,9.52175,9.36437,8.57745,8.34137,8.12103,7.88496,7.74331,7.64888,7.64888,7.64888,7.64888,7.64888,7.64888,7.64888,7.64888,7.64888,7.64888,8.48302,9.03386,9.19125,9.82078,10.46606,10.71788,11.42610,12.11860,12.60649,13.39341,13.44062,14.00721,14.33772,14.52658,14.99873,15.14038,15.64401,15.97451,15.99025,16.55683,16.39945,15.78565,15.72270,15.72270,15.72270,15.72270,15.72270,15.72270,15.14038,15.53384,15.37645,15.09316,15.09316,15.09316,15.09316,15.59679,15.80139,15.69122,15.58105,15.34498,14.85708,15.47088,15.48662,15.73844,16.66700,17.18637,17.97329,18.20937,18.55562,18.55562,18.13068,17.94182,17.84739,17.13916,17.13916,16.72996,16.52536,15.81713,15.72270,15.72270,15.72270,15.43941,15.04595,14.51084,14.24328,13.67670,13.61375,13.01569,12.48058,12.11860,11.56775,11.07986
2016,Crows Nest 33_11kV,03MAY2015,MW,10.90674,10.85952,10.19851,10.19851,9.80505,9.52175,9.52175,9.28568,8.84500,8.38859,8.48302,8.46728,8.27842,7.94791,7.49150,7.41280,7.41280,7.41280,7.41280,7.41280,7.41280,7.41280,7.41280,7.41280,7.53871,8.01086,8.01086,8.27842,9.34863,9.77357,10.30868,10.56049,11.03264,11.92973,12.54353,13.12586,13.88130,14.54232,14.54232,14.85708,15.25054,15.25054,15.89582,15.94304,15.94304,15.94304,15.94304,15.94304,15.94304,15.94304,15.78565,15.23481,15.23481,15.12464,14.58953,15.03021,14.68396,14.68396,14.54232,14.11738,14.14885,14.57379,14.79413,14.80987,15.40793,15.43941,15.43941,16.05321,16.68274,17.45393,18.06772,18.58709,18.58709,18.65005,18.80743,18.49266,18.49266,18.39823,17.87886,17.10768,17.09194,16.79291,16.43093,16.43093,15.73844,15.39219,14.87282,14.36919,13.83409,13.29898,12.60649,12.16581,11.44184,11.03264,10.76509,10.29294
2016,Crows Nest 33_11kV,04MAY2015,MW,10.29294,9.96243,9.61618,9.11255,9.17551,8.51449,8.37285,7.79053,7.68036,7.64888,7.64888,7.64888,7.64888,7.64888,7.64888,7.20820,6.97213,6.97213,6.97213,6.97213,7.42854,7.61740,8.84500,9.41158,10.10408,11.20577,12.55927,14.44788,16.28928,17.64279,18.16216,18.74448,19.02777,18.90186,19.07498,19.24811,18.76022,18.63431,18.63431,18.63431,18.63431,18.63431,18.63431,18.63431,18.44545,18.80743,18.41397,18.71300,18.60283,18.66579,19.02777,19.02777,19.02777,18.88612,18.50840,18.98055,18.88612,18.52414,18.79169,18.31954,18.31954,18.72874,18.72874,18.55562,18.63431,18.44545,18.83891,19.07498,19.27958,19.95634,20.57014,20.82195,20.82195,20.82195,20.39701,20.23963,19.78321,19.49992,19.15368,18.77595,18.42971,18.03625,17.61131,17.18637,16.60405,16.22633,15.69122,15.09316,14.73118,14.38493,13.58227,12.54353,12.24450,11.25298,10.81231,10.35589
2016,Crows Nest 33_11kV,05MAY2015,MW,10.19851,10.19851,9.94669,9.52175,8.62466,8.21546,8.08956,7.58593,7.58593,7.58593,7.58593,7.58593,7.38133,6.97213,6.97213,6.97213,6.97213,6.97213,6.97213,7.00360,7.64888,7.90070,9.04960,9.17551,10.04112,11.23724,12.85830,14.32198,16.14764,17.59557,18.33528,18.65005,19.34254,19.32680,18.91760,18.96482,18.77595,18.46119,18.41397,18.96482,19.05925,19.29532,19.21663,19.54714,19.54714,19.54714,19.54714,19.54714,19.54714,19.54714,19.54714,19.54714,19.54714,19.54714,19.54714,19.54714,19.70452,19.73600,19.48418,19.48418,19.48418,19.48418,19.37402,18.99629,19.45271,18.87039,19.12220,19.45271,19.45271,20.08224,20.47571,20.94786,20.63309,20.11372,19.92486,19.64157,19.76748,18.88612,18.77595,18.24085,17.73722,17.87886,17.32802,16.85587,16.32076,15.65974,15.65974,15.28202,14.32198,13.50358,13.09438,12.03990,11.48906,11.23724,10.56049,10.56049
2016,Crows Nest 33_11kV,06MAY2015,MW,10.34015,9.82078,9.58471,8.67188,8.21546,8.21546,7.77479,7.49150,7.49150,7.49150,7.49150,7.49150,7.49150,7.49150,7.49150,6.83048,6.79900,6.79900,6.79900,6.79900,7.49150,7.93217,8.64040,9.12829,10.41884,11.00117,12.63796,14.30624,15.78565,17.13916,18.17789,18.17789,18.44545,18.36676,18.36676,18.36676,18.36676,18.36676,18.30380,18.27232,18.31954,18.58709,18.30380,18.30380,18.16216,18.02051,18.16216,18.16216,18.16216,18.14642,18.06772,18.06772,18.06772,18.39823,18.14642,18.06772,18.06772,18.06772,18.06772,18.06772,18.06772,18.06772,18.06772,18.06772,17.94182,18.36676,18.49266,18.58709,19.12220,19.34254,20.22389,20.57014,20.25537,20.05077,20.14520,20.12946,19.87765,19.87765,19.87765,19.43697,18.85465,18.49266,18.11494,17.54836,16.98177,16.65127,16.35224,15.76991,15.39219,14.60527,13.92852,13.07864,12.46484,12.18155,11.52054,10.78083
2016,Crows Nest 33_11kV,07MAY2015,MW,10.76509,10.32441,10.24572,10.02538,9.49028,9.41158,9.38011,9.25420,8.04234,7.86922,7.86922,7.86922,7.86922,7.86922,7.72757,7.72757,7.72757,7.72757,7.72757,7.72757,8.19973,8.70336,9.44306,9.64766,10.67066,12.03990,13.34619,14.90430,17.10768,18.35102,19.05925,19.07498,19.62583,19.62583,19.15368,19.15368,18.91760,19.10646,18.60283,18.60283,18.60283,18.60283,18.60283,18.94908,18.63431,18.61857,18.19363,18.63431,18.96482,18.47692,18.44545,18.79169,18.66579,18.06772,18.94908,18.30380,18.30380,18.30380,18.08346,18.00477,17.70574,17.70574,17.83165,17.75296,17.98903,18.08346,18.55562,18.55562,19.18515,19.72026,20.93212,21.71904,21.29410,21.19967,21.19967,21.19967,21.13672,20.49144,20.49144,20.05077,19.87765,19.38975,19.26385,18.93334,18.30380,18.06772,17.65853,16.88734,15.99025,15.37645,14.47936,13.78687,13.23602,12.49632,12.08712,11.55201
2016,Crows Nest 33_11kV,08MAY2015,MW,11.23724,10.56049,10.34015,9.89948,9.89948,9.89948,9.14403,9.06534,8.68762,8.53023,8.37285,7.86922,7.97939,7.63314,7.58593,7.94791,7.72757,8.01086,8.29416,8.35711,8.57745,9.01812,9.28568,9.89948,11.11134,11.80383,13.33046,15.26628,17.48540,18.22511,19.09072,19.35828,19.40549,19.51566,19.20089,19.09072,18.93334,18.50840,18.50840,18.50840,18.57135,18.93334,18.50840,18.50840,18.50840,18.50840,18.50840,18.50840,18.50840,18.50840,18.50840,18.50840,18.50840,18.44545,18.13068,18.13068,18.13068,17.89460,17.87886,18.16216,17.56409,17.46966,17.76869,17.86313,17.94182,17.94182,18.17789,18.58709,19.48418,20.01929,20.61735,21.12098,20.61735,20.12946,20.00355,20.00355,19.72026,19.23237,19.20089,19.20089,18.60283,18.46119,17.87886,17.70574,17.24933,17.01325,16.43093,16.03747,15.80139,15.28202,14.69970,13.91278,13.44062,12.73239,12.51206,11.99269
2016,Crows Nest 33_11kV,09MAY2015,MW,11.61497,11.04838,10.51328,10.41884,10.30868,9.82078,9.82078,9.23846,9.06534,9.06534,9.06534,8.67188,8.35711,8.35711,7.96365,7.47576,7.44428,7.47576,7.64888,7.64888,7.64888,7.64888,7.91643,8.89222,9.33289,9.75783,10.04112,10.19851,11.22151,11.55201,12.30746,12.92126,13.42489,13.59801,14.30624,14.33772,14.92004,14.92004,14.92004,15.23481,15.51810,15.51810,15.31350,14.82561,14.52658,14.63675,14.60527,14.57379,14.49510,14.55805,14.00721,14.00721,14.00721,14.00721,13.86556,13.83409,13.31472,13.31472,13.31472,13.31472,13.31472,13.31472,13.31472,13.31472,13.61375,13.78687,14.57379,14.96725,15.21907,16.49388,17.62705,17.84739,18.09920,18.30380,18.30380,18.30380,17.78443,17.54836,17.20211,16.90308,17.35950,16.85587,16.71422,16.24207,16.24207,15.76991,15.51810,14.99873,14.98299,14.30624,13.78687,13.50358,12.82683,12.26024,12.18155,11.81957
2016,Crows Nest 33_11kV,10MAY2015,MW,11.44184,10.90674,10.63918,10.15129,10.15129,9.56897,9.52175,9.52175,9.17551,8.78205,8.78205,8.78205,8.45154,8.19973,8.18399,7.69610,7.42854,7.44428,7.41280,7.46002,7.61740,7.71183,8.27842,8.26268,8.92369,8.86074,9.12829,9.45880,10.05686,10.73361,11.04838,11.45758,12.07138,12.55927,13.22029,13.61375,13.80261,13.97573,14.05442,14.57379,14.57379,14.57379,14.57379,14.57379,14.14885,13.95999,13.95999,14.19607,14.46362,14.66822,14.00721,13.92852,13.92852,13.66096,13.17307,13.17307,13.22029,13.20455,13.20455,13.20455,13.20455,13.20455,13.26750,13.83409,14.30624,14.63675,14.71544,15.40793,16.36797,17.15490,18.27232,18.57135,19.15368,19.15368,19.15368,19.15368,19.15368,19.15368,18.49266,18.41397,18.41397,17.73722,17.69000,17.13916,17.07620,16.71422,15.88008,15.26628,14.76265,14.05442,13.45636,12.57501,11.97695,11.69366,11.07986,11.07986
