year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Dalley St 132_11kV,01MAY2015,MW,36.54781,35.68592,35.46586,34.76901,34.29222,34.01715,34.01715,34.01715,34.01715,34.01715,33.72374,33.10025,33.10025,33.10025,33.10025,33.10025,33.10025,33.10025,33.10025,33.10025,34.36558,34.80569,35.48420,36.60282,41.04064,43.36958,45.44178,48.21083,54.70252,58.11340,61.96440,64.64176,67.30078,68.78617,70.52829,72.54548,73.57241,74.37929,74.58100,75.40622,76.23143,75.69963,76.70822,76.57986,77.18501,77.03831,77.01997,77.36839,77.86352,77.84518,77.80851,78.37699,78.70707,78.68874,79.14719,79.55063,79.69733,79.27555,79.07384,78.89045,78.76209,77.68014,76.50650,76.63487,75.97470,74.43430,74.10421,74.30593,72.49046,71.62857,69.73975,68.18101,60.53403,57.03145,55.16097,53.74894,52.33690,51.21828,50.13633,49.31112,48.00911,47.31227,46.87215,46.06528,45.24006,44.79995,44.32316,43.95640,42.96614,42.17760,41.64580,40.83892,39.86700,39.24351,38.63835,38.10655
2016,Dalley St 132_11kV,02MAY2015,MW,37.20798,36.69451,36.58449,35.79595,35.37417,35.04409,35.04409,34.47561,34.16386,34.16386,33.92546,33.32031,33.32031,33.32031,33.32031,33.32031,33.32031,33.32031,33.32031,33.32031,33.32031,33.32031,33.92546,34.16386,34.60397,35.04409,35.53921,35.88764,36.95125,37.64809,38.36328,38.54666,39.62861,40.94895,41.02230,42.08591,43.07617,43.47961,44.79995,45.80854,46.54207,46.37702,46.98218,46.98218,46.98218,46.98218,46.98218,47.31227,47.78906,47.78906,47.78906,47.78906,47.78906,47.78906,47.78906,47.78906,47.12889,47.01886,47.11055,47.42230,46.92717,46.46872,46.70711,46.26700,46.21198,45.99192,46.28533,46.28533,46.24866,45.75353,45.53347,45.53347,44.72660,44.34150,43.77302,43.77302,43.22287,43.00282,42.67273,42.15926,42.15926,41.71915,42.15926,41.97588,41.37073,41.42574,41.97588,40.93061,40.39881,39.95869,39.95869,39.44523,38.76672,38.21658,37.51973,37.46471
2016,Dalley St 132_11kV,03MAY2015,MW,36.54781,36.18105,35.63091,35.63091,35.50254,34.73234,34.73234,34.73234,34.73234,34.73234,34.73234,34.73234,34.73234,34.36558,33.83377,33.83377,33.83377,33.83377,33.83377,33.83377,33.83377,33.83377,33.83377,33.83377,34.32890,34.75068,34.75068,35.35583,35.94265,37.06128,37.44638,37.44638,38.19824,38.65669,39.07847,39.48190,40.03205,40.76557,40.93061,41.75583,42.63605,43.31456,43.31456,43.31456,43.53462,44.06643,44.06643,44.06643,44.41485,44.10310,44.10310,44.10310,44.10310,44.10310,44.10310,44.10310,44.85496,44.34150,43.99307,43.99307,43.99307,43.99307,43.99307,43.86471,43.60797,43.22287,43.22287,42.70941,42.28763,42.28763,41.60912,41.38906,41.26070,40.56385,40.56385,40.56385,39.84867,39.59193,39.59193,39.59193,38.78506,38.69337,38.69337,38.12489,37.81314,37.81314,37.81314,37.81314,37.55640,37.04294,36.32775,36.29108,36.12603,35.37417,35.37417,35.19079
2016,Dalley St 132_11kV,04MAY2015,MW,34.47561,34.47561,34.40225,33.55870,33.55870,33.55870,33.55870,33.55870,33.55870,33.55870,32.78850,32.66013,32.66013,32.66013,32.66013,32.66013,32.66013,32.66013,32.75183,33.44867,34.14552,34.86071,36.10770,37.17130,41.75583,44.06643,46.35869,49.49450,55.78446,59.83718,63.81655,66.34720,69.88645,72.61883,73.68244,75.24118,76.19476,76.63487,77.31338,77.93687,78.52369,79.58730,79.91739,80.72426,80.57756,80.52254,79.89905,80.54088,81.23773,82.42971,82.90650,83.18157,82.42971,82.09962,82.85148,83.03486,83.03486,82.31968,82.13630,81.49446,81.05435,80.65091,80.30249,80.59590,80.19246,79.03716,78.13859,78.26696,77.86352,76.26811,74.26926,71.73860,63.43145,60.14893,57.83833,56.57300,53.38217,52.04349,51.14493,50.59478,49.14608,47.86241,47.56900,46.87215,45.82688,45.14837,43.97474,43.22287,42.03090,41.60912,40.96729,40.05038,38.73004,38.16156,37.92317,37.24466
2016,Dalley St 132_11kV,05MAY2015,MW,36.51113,35.88764,34.98907,34.98907,34.43893,34.03549,34.03549,34.03549,34.03549,34.03549,33.39366,33.13693,33.13693,33.13693,33.13693,33.13693,33.13693,33.13693,33.13693,33.13693,33.88879,34.78735,36.30941,37.09795,41.29737,43.02115,45.95525,49.16441,55.47272,59.17701,63.57815,66.45723,70.56496,72.78387,74.23258,76.87327,78.41366,79.40392,81.05435,82.96151,83.21824,83.45664,84.57526,85.01538,85.67555,85.07039,84.44690,84.86867,85.43715,85.93228,86.18901,86.44575,86.70248,86.57411,86.70248,86.79417,86.62913,85.62053,84.96036,84.92369,84.22684,83.54833,83.08988,83.08988,82.66810,82.48472,81.36610,80.19246,79.42226,77.68014,75.53458,72.91224,64.47672,60.47901,58.66354,57.04979,55.06928,53.21713,52.06183,51.40166,50.24636,49.32946,48.54092,47.71571,46.70711,45.73519,45.14837,44.32316,42.36098,41.31571,40.39881,39.73864,38.60168,38.36328,37.35469,36.71285
2016,Dalley St 132_11kV,06MAY2015,MW,36.56615,35.74093,35.50254,34.87904,34.54896,34.05383,34.05383,34.05383,33.65039,33.26529,33.26529,33.26529,33.26529,33.26529,33.26529,33.26529,33.26529,33.26529,33.26529,33.26529,33.88879,34.73234,35.63091,36.34609,40.45382,42.28763,45.46012,47.99078,54.00567,57.61827,61.26755,64.09162,67.57585,69.73975,71.50021,73.20565,74.08588,74.01252,74.65436,75.38788,76.28645,76.43315,77.07498,77.00163,77.42341,77.51510,77.57011,77.27670,78.10192,78.41366,78.98215,79.34891,79.80736,79.27555,79.34891,79.09217,79.53229,79.01882,79.33057,79.25722,79.29389,78.32197,77.44175,77.05665,76.89160,76.32312,75.60794,74.23258,73.48072,72.21539,70.93172,68.80451,61.21254,57.59993,56.11455,54.95925,52.61197,51.07158,50.24636,49.54951,48.19250,47.93576,47.27559,46.48705,45.51513,44.76327,44.15812,43.55296,42.34265,41.22402,39.97703,39.22517,38.34494,37.86815,37.02460,36.14437
2016,Dalley St 132_11kV,07MAY2015,MW,35.77761,35.20913,34.64065,34.31056,34.20053,33.19194,32.66013,32.60512,31.76157,31.76157,31.76157,31.76157,32.18334,32.60512,32.60512,32.60512,32.60512,32.60512,32.60512,33.10025,33.85211,34.58563,35.46586,36.25440,40.50884,42.45267,45.29508,48.00911,54.00567,57.45323,60.68073,63.52314,66.97070,68.84118,70.78502,72.54548,73.66410,74.19590,74.39762,75.42456,76.39647,76.79991,76.87327,77.18501,77.36839,77.14834,77.25836,77.38673,78.12026,78.19361,77.82685,78.56037,78.67040,78.96381,79.62398,79.45894,79.82570,78.98215,78.68874,78.85378,78.34031,77.64346,76.54318,76.10307,75.49791,74.83774,74.06754,73.57241,72.67384,71.66525,70.58330,68.40107,61.90939,58.97529,57.28819,55.52773,53.32716,52.02516,51.51169,50.50309,49.18275,48.06413,47.40396,46.89049,46.13863,45.00167,44.65324,43.62631,42.30597,41.48076,40.72889,39.84867,38.71170,37.70311,37.70311,37.04294
2016,Dalley St 132_11kV,08MAY2015,MW,36.25440,35.85096,34.98907,34.98907,34.98907,34.40225,34.23721,34.23721,33.72374,33.44867,33.44867,33.44867,33.44867,33.44867,33.44867,33.10025,32.69681,32.69681,32.86185,33.54036,34.25555,34.93406,35.72260,36.58449,40.72889,42.37932,45.16671,47.67903,54.18905,57.70996,61.01082,63.50480,66.25551,69.00623,71.11511,72.14204,73.53573,73.79247,73.92083,74.67269,75.69963,75.77298,76.15808,76.57986,76.21309,76.56152,76.85493,77.47842,77.42341,77.44175,77.24003,77.33172,77.14834,76.63487,76.87327,77.62513,77.57011,76.52484,76.76324,76.79991,76.41481,75.88301,75.58960,74.78272,74.12255,73.92083,73.66410,72.83889,71.37184,70.23488,68.52944,66.47557,59.30538,56.31627,54.73919,54.00567,51.53003,50.30138,49.80625,48.92602,47.82573,46.78046,46.48705,45.93691,44.87330,44.06643,43.38792,42.67273,41.79250,41.11399,40.65554,39.92202,38.49165,38.17990,37.46471,36.89623
2016,Dalley St 132_11kV,09MAY2015,MW,36.07102,35.77761,35.20913,34.98907,33.92546,33.92546,33.92546,33.59538,33.17360,33.17360,33.17360,33.17360,32.62346,32.31171,32.31171,32.31171,32.31171,32.31171,32.31171,32.31171,32.31171,32.31171,32.31171,32.36673,33.76042,34.03549,34.56730,34.78735,35.64924,36.21772,36.52947,37.28133,37.81314,38.58334,39.31686,39.99537,40.58219,41.86585,41.99422,41.99422,42.72775,42.76442,42.76442,42.76442,43.27789,43.58964,43.58964,44.37817,44.23147,44.41485,43.62631,44.26814,44.52488,44.52488,44.52488,44.52488,44.52488,44.34150,43.62631,43.62631,43.62631,43.69966,43.66299,43.66299,43.66299,43.66299,43.66299,43.66299,43.66299,43.66299,43.46127,43.40625,42.32431,42.28763,41.46242,41.18735,41.18735,40.76557,40.23377,38.73004,39.59193,39.26185,39.26185,38.36328,39.02345,39.02345,39.02345,39.02345,38.50998,37.84981,37.20798,37.17130,36.43778,35.70426,35.68592,35.55755
2016,Dalley St 132_11kV,10MAY2015,MW,34.84237,34.64065,34.07217,34.07217,33.72374,33.15526,33.15526,33.15526,33.15526,33.15526,33.15526,33.15526,32.34839,32.31171,32.31171,32.31171,32.12833,32.10999,32.10999,32.10999,32.10999,32.10999,32.10999,32.10999,32.10999,32.56844,33.15526,33.66873,33.52202,33.32031,33.32031,33.79710,35.02575,36.01600,36.29108,36.95125,37.66643,36.91457,36.85956,36.93291,39.09680,39.73864,39.97703,40.56385,40.56385,40.60053,41.18735,41.00396,40.83892,41.35239,41.35239,41.35239,41.35239,41.35239,41.35239,41.44408,41.82918,41.35239,41.35239,41.35239,41.35239,41.35239,41.35239,41.35239,41.35239,40.96729,40.41715,40.10540,40.74723,40.34379,40.36213,39.77531,39.73864,38.87675,38.87675,38.87675,38.25325,38.03319,38.03319,38.03319,37.18964,37.17130,37.17130,37.17130,37.15297,36.36443,36.36443,36.36443,35.75927,35.53921,35.09910,34.62231,34.09051,33.70541,33.70541,33.70541
