year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Darling Harbour 132_11kV,01MAY2017,MW,22.94309,22.41153,22.22290,21.69134,21.69134,21.46842,21.03974,21.03974,20.79968,20.45673,20.45673,20.45673,20.45673,20.45673,20.45673,20.45673,20.45673,20.45673,20.45673,20.45673,20.86827,21.03974,21.58845,22.13717,23.47466,23.97193,25.06936,25.97816,27.65860,28.96179,29.80201,30.38502,31.12235,31.08806,30.88229,30.93373,30.98518,31.51674,31.44815,32.13405,32.06546,31.68822,31.65392,31.94543,32.47699,32.92282,33.00856,32.61417,32.95712,33.04285,33.02571,33.52298,33.40295,33.40295,33.11144,32.99141,33.38580,33.19718,33.69445,33.69445,33.31721,33.02571,33.02571,32.85423,33.09429,33.42009,32.95712,33.00856,33.02571,33.40295,33.59157,33.59157,33.26577,32.99141,33.07715,33.07715,32.42555,31.89398,31.68822,31.68822,31.17380,30.17925,30.17925,29.92204,29.57910,29.20186,28.44738,27.72719,27.21277,26.59547,26.09820,25.29227,24.79500,24.58923,23.92049,23.90334
2018,Darling Harbour 132_11kV,02MAY2017,MW,23.44036,22.77162,22.15432,21.82852,21.34839,21.34839,21.34839,21.34839,21.21121,20.57676,20.57676,20.57676,20.57676,20.57676,20.57676,20.57676,20.57676,19.80513,20.23382,20.50817,20.88542,21.12548,21.45128,21.93140,23.04598,23.97193,24.70926,25.70381,27.22992,28.29305,29.18471,30.16211,30.83085,30.79656,31.01947,31.01947,31.20809,31.68822,31.70536,31.60248,31.82539,32.11690,32.09975,32.95712,32.92282,32.85423,32.42555,32.68276,32.97426,32.87138,32.93997,33.07715,32.73420,33.06000,33.28292,33.18003,32.99141,32.61417,32.40840,32.35696,32.54558,32.54558,32.45984,32.63132,32.21978,32.16834,32.18549,32.18549,32.30552,32.75135,33.04285,33.26577,32.78564,32.71705,32.30552,32.54558,31.91113,31.53389,31.48245,31.08806,30.95088,30.45361,29.83631,30.02493,29.63054,29.16756,28.61885,27.88151,27.40139,27.04130,26.18393,25.25798,24.76071,24.24629,24.07481,23.52610
2018,Darling Harbour 132_11kV,03MAY2017,MW,23.33748,22.61729,22.58300,22.08573,21.81137,21.43413,21.09118,21.09118,20.93686,20.50817,20.50817,20.50817,20.50817,20.50817,20.50817,20.50817,20.25096,19.89087,19.99376,20.61106,20.97115,21.39983,21.72563,22.12002,23.45751,24.31488,25.15509,25.63522,27.50427,28.56741,29.40762,29.85345,30.89944,30.98518,30.81370,31.01947,30.98518,30.74511,31.20809,30.95088,31.31098,31.31098,31.49960,31.63677,31.63677,31.65392,31.53389,31.65392,31.44815,31.72251,32.09975,32.25408,32.25408,32.06546,32.08260,31.91113,32.13405,32.30552,31.99687,31.84254,31.68822,31.85969,32.04831,32.08260,31.77395,31.84254,32.13405,32.20264,32.40840,33.71160,33.47154,33.71160,32.90567,32.68276,32.59702,32.69991,32.85423,32.23693,32.04831,32.04831,31.73966,31.36242,30.88229,30.69367,30.69367,30.45361,29.95634,29.27045,28.44738,27.40139,26.74979,26.04675,25.32657,24.88074,24.34917,24.00622
2018,Darling Harbour 132_11kV,04MAY2017,MW,23.57754,22.89165,22.49726,22.20576,22.05143,21.43413,21.34839,21.34839,21.10833,20.71394,20.71394,20.54247,19.95946,19.95946,19.95946,20.14808,20.01090,20.01090,20.31955,20.50817,20.50817,21.12548,21.58845,22.20576,23.13171,24.07481,25.00077,26.09820,27.65860,29.04753,30.05922,30.69367,30.91659,30.83085,30.71082,30.71082,31.01947,31.05377,30.67653,30.86515,30.74511,31.17380,31.68822,31.32812,31.72251,31.72251,31.73966,31.63677,31.48245,31.07091,31.25953,31.53389,31.53389,31.03662,30.81370,30.95088,31.07091,30.77941,30.59079,31.00232,30.64223,30.71082,30.57364,30.14496,30.29928,30.60794,31.13950,31.46530,31.60248,32.08260,32.13405,32.13405,32.42555,32.42555,32.61417,32.52843,31.84254,31.46530,31.20809,31.20809,31.17380,30.79656,30.71082,30.28214,30.28214,29.78487,29.32189,28.77317,28.48167,27.84722,27.04130,26.74979,26.16678,25.42945,24.74356,24.21199
2018,Darling Harbour 132_11kV,05MAY2017,MW,23.85190,23.57754,23.02883,22.58300,22.58300,22.25720,21.96570,21.96570,21.45128,21.34839,21.00545,20.69679,20.50817,20.50817,20.50817,20.50817,20.31955,20.31955,20.31955,20.86827,21.07404,21.50272,21.65704,22.29149,23.32033,24.07481,25.36086,26.09820,27.65860,28.72173,29.33904,30.07637,30.52220,30.71082,30.84800,31.01947,30.96803,31.01947,30.86515,30.89944,31.36242,32.44270,32.44270,32.11690,31.91113,31.82539,31.82539,31.99687,32.04831,31.97972,32.33981,32.28837,32.18549,32.44270,32.45984,32.45984,32.52843,32.51129,32.35696,32.45984,32.51129,32.54558,32.33981,32.33981,32.56273,32.30552,32.30552,32.30552,32.35696,32.68276,32.81994,33.04285,32.40840,32.15119,32.18549,32.15119,31.63677,31.49960,30.86515,30.86515,30.53935,30.29928,30.29928,29.75057,29.68198,29.68198,29.25330,28.56741,27.98440,27.50427,27.10989,26.32111,26.20108,25.60092,25.60092,25.03506
2018,Darling Harbour 132_11kV,06MAY2017,MW,24.74356,24.12626,23.57754,23.13171,22.65159,22.22290,22.22290,21.70849,21.60560,21.60560,21.41698,20.83397,20.83397,20.83397,20.83397,20.83397,20.66250,20.26811,20.47388,20.76538,20.76538,20.76538,20.76538,21.02259,21.74278,22.10287,22.10287,22.46297,23.01168,23.66328,24.21199,24.70926,25.18939,25.46374,25.84099,26.11534,26.59547,26.85268,27.31565,27.53857,27.60716,27.64145,27.89866,28.13872,28.34449,28.01869,27.88151,28.31020,28.70459,28.94465,28.94465,28.80747,29.01324,29.11612,28.79032,29.08183,28.77317,28.67029,28.68744,28.96179,28.80747,28.80747,29.21900,28.82462,,,,,,,,31.37956,31.44815,31.51674,31.67107,31.31098,30.79656,30.65938,30.59079,30.59079,30.47076,29.99063,29.99063,29.56195,29.27045,29.27045,28.97894,28.68744,28.32734,28.07014,27.40139,26.78409,26.56117,26.13249,25.73810,25.25798
2018,Darling Harbour 132_11kV,07MAY2017,MW,24.91503,24.31488,23.66328,23.50895,23.33748,22.84021,22.72018,22.08573,21.67419,21.45128,21.45128,21.00545,20.86827,20.86827,20.86827,20.66250,20.30241,20.30241,20.66250,20.62821,20.37100,20.37100,20.69679,21.19407,21.67419,21.53701,21.86281,22.18861,22.78877,23.20030,23.49181,23.92049,24.41776,24.69212,25.20654,25.72095,25.87528,26.47544,26.47544,26.47544,26.50973,26.98985,27.05844,27.24706,27.17848,26.78409,27.07559,27.09274,27.36710,27.34995,27.40139,27.33280,27.45283,26.98985,27.09274,27.40139,27.55572,27.26421,27.83007,27.24706,27.41854,27.72719,27.77863,27.77863,27.77863,27.83007,28.27590,28.63600,28.99609,29.63054,29.85345,30.48790,30.60794,30.60794,30.60794,30.50505,30.40217,30.05922,29.56195,29.66483,29.11612,29.35618,29.06468,28.61885,28.41308,28.39593,27.59001,27.12703,26.80123,26.13249,25.96102,25.25798,24.72641,24.41776,24.02337,23.28604
2018,Darling Harbour 132_11kV,08MAY2017,MW,22.77162,22.34294,21.89711,21.74278,21.69134,21.45128,21.24551,21.03974,20.57676,20.57676,20.57676,20.57676,20.57676,20.57676,20.57676,20.04520,19.94231,19.94231,20.57676,20.57676,20.88542,21.14262,21.60560,22.15432,23.20030,24.14340,25.41230,26.32111,28.17302,29.39048,30.47076,31.17380,31.20809,31.25953,31.25953,31.25953,31.03662,30.98518,31.01947,31.51674,31.61963,31.19094,31.07091,31.07091,31.07091,31.01947,31.05377,31.65392,31.67107,31.67107,31.67107,32.15119,31.97972,31.67107,31.29383,31.29383,31.48245,31.99687,31.84254,31.72251,31.27668,31.01947,31.17380,31.49960,31.56818,31.34527,31.61963,31.61963,32.30552,32.76850,33.06000,33.28292,32.93997,32.68276,32.78564,32.73420,32.13405,32.08260,31.82539,31.55104,31.10521,30.76226,30.53935,30.53935,30.14496,29.52766,28.97894,28.39593,27.52142,26.81838,26.28682,25.60092,24.86359,24.34917,23.76616,23.25174
2018,Darling Harbour 132_11kV,09MAY2017,MW,22.87450,22.41153,22.17146,21.63990,21.63990,21.63990,21.63990,20.86827,20.86827,20.86827,20.86827,20.86827,20.85112,20.14808,20.14808,20.14808,20.50817,20.71394,20.71394,20.71394,21.07404,21.41698,21.96570,22.37723,23.61184,24.74356,25.99531,26.83553,28.37879,29.92204,30.40217,31.08806,32.08260,31.85969,31.53389,31.32812,31.72251,31.85969,31.55104,31.51674,31.70536,31.37956,31.37956,31.37956,31.37956,31.37956,31.37956,32.03116,32.04831,32.01401,31.99687,32.03116,32.03116,32.03116,32.03116,31.89398,31.94543,31.94543,31.94543,31.94543,31.84254,31.37956,31.37956,31.37956,31.37956,31.53389,31.79110,31.89398,32.45984,32.61417,33.28292,33.69445,33.38580,33.12859,33.38580,33.48868,32.99141,32.76850,32.76850,32.06546,31.67107,31.53389,30.98518,30.81370,30.62508,30.00778,30.02493,29.20186,28.55026,27.57286,26.78409,26.16678,25.48089,24.81215,24.38346,23.86905
2018,Darling Harbour 132_11kV,10MAY2017,MW,23.13171,22.63444,22.63444,21.98284,21.89711,21.89711,21.43413,21.09118,20.71394,20.95400,21.02259,21.02259,21.02259,20.98830,20.30241,20.30241,20.30241,20.30241,20.30241,20.30241,20.85112,20.93686,21.29695,22.39438,24.07481,24.94933,25.75525,26.86982,28.46452,29.97349,30.83085,31.46530,32.15119,32.35696,32.09975,31.68822,31.41386,31.41386,31.53389,32.04831,31.97972,31.77395,31.94543,31.92828,31.97972,31.97972,31.97972,32.09975,32.09975,32.16834,32.20264,32.18549,32.45984,32.30552,32.21978,32.23693,32.23693,32.42555,32.39126,32.23693,32.23693,32.23693,32.04831,32.08260,32.08260,32.21978,32.28837,32.28837,32.87138,33.36865,33.57442,33.57442,33.48868,33.59157,33.43724,33.42009,33.11144,32.69991,32.69991,32.69991,32.20264,31.85969,31.48245,31.48245,30.93373,30.74511,30.14496,29.75057,28.75603,27.84722,27.21277,26.21823,25.77240,25.10365,24.57209,24.12626
