year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Darlinghurst 33_11kV,01MAY2014,MW,20.25673,19.59258,19.07601,18.81773,18.65169,17.96909,17.96909,17.96909,17.96909,17.60011,17.21269,17.21269,17.21269,17.21269,17.21269,17.21269,17.10200,17.10200,17.10200,17.10200,17.67391,18.00599,18.17202,18.83618,20.60726,21.32676,22.41524,23.59596,25.53308,27.04588,28.39264,29.53646,30.18217,30.56959,31.21530,30.86477,31.19685,31.19685,31.14150,31.17840,31.56582,31.65807,31.62117,31.93480,32.28532,32.00859,32.10084,32.58050,32.67275,32.48826,32.56205,31.91635,32.56205,32.35912,31.97169,32.48826,32.58050,32.58050,32.58050,32.54361,32.26687,31.87945,31.87945,31.87945,31.84255,30.99391,30.99391,30.99391,30.99391,30.99391,30.99391,31.56582,30.62494,30.31131,30.34820,30.14527,29.33352,29.33352,28.98300,28.55867,28.35574,27.78383,27.76538,27.02743,26.65845,26.27103,26.27103,25.62532,24.73978,24.27856,23.37457,23.00560,22.21230,21.58504,21.21607,20.64416
2015,Darlinghurst 33_11kV,02MAY2014,MW,20.18294,19.88776,19.55568,19.05757,19.05757,18.63324,18.22737,18.22737,18.22737,17.72925,17.45252,17.45252,17.45252,17.45252,17.45252,17.45252,17.08355,17.08355,17.08355,17.08355,17.71081,18.19047,18.39341,19.03912,20.60726,21.49280,22.52593,23.44837,25.62532,27.02743,28.59557,29.13059,29.68405,30.25596,30.86477,31.03081,31.03081,31.03081,31.41823,31.80566,31.80566,31.86100,32.15618,32.54361,32.54361,32.54361,33.18931,32.69120,32.85723,32.63585,32.63585,32.63585,32.63585,32.28532,32.52516,32.63585,32.63585,32.48826,31.84255,31.97169,31.87945,31.87945,31.38133,31.10460,31.10460,31.10460,31.10460,31.08615,30.86477,31.12305,31.12305,31.12305,30.49579,30.16372,29.48111,29.48111,28.59557,28.52178,28.15280,27.78383,27.17502,27.02743,26.43707,26.17879,25.99430,25.38549,24.73978,24.62909,24.22322,23.63286,23.02405,22.41524,22.19385,22.19385,21.69574,21.41901
2015,Darlinghurst 33_11kV,03MAY2014,MW,20.93934,20.60726,20.21984,19.85086,19.79552,19.07601,19.07601,19.07601,19.07601,18.43031,18.31961,18.31961,18.31961,18.02443,17.58166,17.58166,17.23114,17.21269,17.21269,17.21269,17.21269,17.21269,17.21269,17.91374,18.46720,19.14981,19.24205,19.24205,19.44499,20.21984,20.82865,21.21607,22.19385,22.83956,23.02405,23.63286,24.29701,24.53685,25.21945,25.21945,25.88360,25.95740,25.95740,25.95740,25.95740,25.95740,25.95740,25.95740,25.95740,25.95740,25.95740,25.95740,25.95740,25.95740,25.95740,25.95740,25.95740,25.95740,25.95740,25.95740,25.95740,25.47773,25.21945,25.77291,25.97585,25.97585,25.97585,25.97585,26.16034,27.13812,27.67313,28.11590,28.42953,28.42953,28.42953,27.83917,27.65469,27.65469,27.28571,26.82449,26.52931,26.06809,26.06809,25.49618,25.31169,25.27480,24.51840,24.51840,24.14942,23.74355,23.74355,23.59596,22.96870,22.96870,22.41524,22.13851
2015,Darlinghurst 33_11kV,04MAY2014,MW,21.36366,21.36366,20.90244,20.60726,20.60726,19.94311,19.85086,19.85086,19.03912,19.00222,19.00222,18.94687,18.26427,18.26427,18.26427,18.26427,18.13513,17.52632,17.52632,17.52632,17.52632,17.52632,17.52632,18.00599,18.33806,18.94687,19.20516,19.20516,19.20516,19.33430,20.03535,20.49657,21.28986,21.65884,21.80643,22.48903,23.22698,23.89114,24.05718,24.20477,24.37081,24.96117,24.96117,24.96117,24.96117,25.31169,25.77291,25.77291,25.51463,25.03496,25.79136,25.56998,25.09031,25.09031,25.09031,25.09031,24.83203,24.29701,24.29701,24.29701,24.29701,24.29701,24.29701,24.83203,25.03496,25.03496,25.03496,25.03496,25.03496,25.71757,26.62156,27.52554,27.52554,27.52554,28.22660,28.37419,28.37419,28.04211,27.58089,27.58089,26.75070,26.75070,26.49241,26.01275,25.42239,25.20100,25.18255,24.38926,23.66975,23.35613,22.63662,22.04626,21.27142,20.81020,20.49657,20.05380
2015,Darlinghurst 33_11kV,05MAY2014,MW,19.51878,18.89153,18.70704,18.48565,17.93219,17.93219,17.93219,17.93219,17.80305,17.08355,17.08355,17.08355,17.08355,17.08355,17.08355,17.08355,17.08355,17.08355,17.08355,17.08355,17.61856,17.95064,18.15358,19.03912,21.05003,22.13851,23.17164,24.62909,26.64000,28.22660,29.29662,30.75408,31.01236,31.01236,31.14150,30.93856,30.93856,31.52892,31.73186,31.73186,31.73186,31.39978,31.36289,31.75031,31.75031,31.75031,31.87945,32.34067,32.21153,32.52516,32.46981,31.93480,32.50671,32.10084,31.69496,31.76876,32.34067,31.89790,31.84255,31.56582,31.27064,31.15995,31.15995,31.15995,31.23374,31.10460,31.10460,31.10460,30.84632,30.99391,31.62117,31.75031,31.15995,31.15995,31.12305,30.34820,29.92388,29.53646,30.31131,29.64715,28.87230,28.83541,28.79851,28.06056,27.41485,27.28571,26.47397,25.84671,25.16410,24.33391,23.76200,23.07939,22.23075,21.56660,21.01313,20.75485
2015,Darlinghurst 33_11kV,06MAY2014,MW,19.98000,19.38964,19.16826,18.87308,18.37496,18.37496,18.37496,17.83995,17.60011,17.60011,17.60011,17.60011,17.26804,16.80682,16.80682,16.80682,16.67768,16.67768,16.67768,16.67768,17.61856,17.95064,18.55945,18.98377,20.88399,21.88022,23.19009,24.31546,26.52931,27.80228,29.22283,29.83164,30.93856,31.43668,31.01236,31.12305,31.39978,31.47358,31.47358,31.47358,31.47358,31.47358,31.58427,32.04549,32.02704,32.26687,32.00859,31.71341,31.75031,32.10084,32.11928,31.84255,31.84255,31.91635,31.91635,32.35912,32.69120,32.26687,32.02704,32.02704,31.62117,31.51048,31.86100,31.52892,31.04926,31.17840,31.14150,31.14150,31.14150,31.51048,31.95325,31.95325,31.28909,31.17840,31.17840,31.17840,30.88322,30.42200,30.18217,29.64715,29.11214,28.79851,28.28194,27.96831,27.63624,27.19347,26.73225,25.95740,25.44083,24.72133,24.03873,23.13474,22.52593,21.97247,21.52970,20.84709
2015,Darlinghurst 33_11kV,07MAY2014,MW,20.12759,19.46344,19.18671,18.55945,18.55945,18.55945,18.55945,17.78460,17.72925,17.72925,17.72925,17.72925,17.72925,17.36028,16.89906,16.89906,17.23114,17.23114,17.23114,17.67391,17.69236,18.15358,18.52255,19.22360,20.86554,21.86178,22.78421,24.14942,26.45552,27.93142,28.89075,29.88699,30.60649,30.97546,30.97546,31.34444,31.78721,31.78721,31.78721,31.41823,31.62117,31.97169,32.32222,32.24843,32.32222,32.41446,32.32222,32.21153,32.45136,32.70964,32.13773,32.13773,32.02704,32.02704,32.02704,32.06394,31.97169,31.97169,31.97169,31.60272,32.02704,31.60272,31.23374,31.23374,31.23374,31.23374,31.23374,31.23374,31.41823,32.06394,32.28532,32.13773,32.04549,32.04549,31.39978,31.27064,30.62494,30.84632,30.32976,30.32976,29.88699,29.51801,29.46266,28.72471,28.44798,27.67313,26.99053,26.93518,25.95740,25.23790,24.44460,23.52216,22.85801,22.23075,21.47435,21.25297
2015,Darlinghurst 33_11kV,08MAY2014,MW,20.44122,20.42277,19.59258,19.53723,18.83618,18.83618,18.83618,18.30117,18.06133,18.06133,18.06133,18.06133,18.06133,18.06133,17.69236,17.28648,17.37873,17.37873,17.37873,17.37873,17.96909,18.37496,18.79928,19.18671,21.10538,21.99092,23.20854,24.64754,26.82449,28.50333,29.25973,30.16372,31.38133,31.43668,31.69496,31.82410,31.84255,31.84255,31.84255,31.84255,31.84255,31.89790,32.59895,31.97169,32.04549,32.10084,31.87945,32.41446,32.54361,32.63585,32.48826,31.97169,32.08239,32.06394,32.06394,32.06394,32.06394,31.60272,31.76876,31.41823,31.63962,31.39978,31.39978,31.39978,31.39978,31.39978,31.39978,31.39978,31.39978,31.87945,32.21153,32.21153,31.62117,31.86100,31.43668,31.43668,30.88322,29.96078,29.88699,29.86854,29.57336,29.68405,28.79851,28.28194,27.58089,27.39640,26.62156,26.32638,25.60687,24.90582,24.14942,23.50372,22.87646,22.48903,21.69574,20.99468
2015,Darlinghurst 33_11kV,09MAY2014,MW,20.84709,20.05380,20.05380,19.77707,19.26050,19.26050,18.94687,18.48565,18.48565,18.39341,17.69236,17.69236,17.69236,17.69236,17.69236,17.69236,17.15734,17.13889,17.13889,17.13889,17.13889,18.20892,18.63324,19.40809,21.12383,22.00937,22.87646,24.22322,26.51086,27.67313,28.87230,29.81319,30.36665,30.71718,31.28909,31.39978,31.41823,30.92012,31.14150,31.76876,31.80566,31.80566,31.80566,31.80566,31.80566,31.95325,32.34067,32.02704,32.06394,32.26687,32.26687,32.26687,31.91635,32.41446,32.37757,32.00859,31.62117,31.62117,31.62117,31.62117,31.62117,31.62117,31.36289,30.95701,30.82787,30.82787,30.82787,30.82787,30.82787,31.49203,31.63962,31.62117,30.82787,30.66183,30.08992,30.03458,29.29662,28.83541,28.55867,27.78383,27.72848,27.17502,26.91674,26.91674,26.25258,26.14189,25.53308,25.36704,24.55529,24.31546,23.78045,23.35613,23.00560,22.47059,22.21230,21.65884
2015,Darlinghurst 33_11kV,10MAY2014,MW,21.30831,20.64416,20.64416,19.88776,19.85086,19.85086,19.70327,19.05757,19.05757,19.05757,18.83618,18.30117,18.30117,18.30117,18.30117,17.72925,17.47097,17.47097,17.47097,17.47097,17.47097,17.47097,18.04288,18.24582,18.94687,19.05757,19.05757,19.29740,20.10914,20.69950,21.38211,21.65884,22.41524,23.68820,23.96493,24.31546,24.77668,25.01651,25.60687,26.28948,26.36327,26.36327,26.36327,26.36327,26.36327,26.36327,26.36327,26.87984,26.75070,26.41862,26.41862,26.41862,26.41862,26.41862,26.41862,26.03119,25.68067,25.68067,25.68067,24.96117,25.21945,25.23790,25.79136,25.36704,25.01651,25.20100,25.79136,25.84671,26.58466,26.58466,27.39640,27.39640,27.69158,28.15280,27.87607,27.34106,27.00898,26.93518,26.51086,26.30793,25.71757,25.71757,25.71757,25.29324,24.97962,24.97962,24.29701,24.18632,23.44837,23.35613,23.35613,22.74732,22.41524,21.82488,21.82488,21.80643
