year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Dee Why West 33_11kV,01MAY2015,MW,15.65352,14.81593,14.25754,14.14586,15.93271,15.35571,14.66703,13.90390,13.45718,13.08492,12.74989,12.35902,12.09844,11.91231,11.78202,11.72618,11.87508,11.67034,11.81924,11.93092,12.37763,13.17799,14.25754,14.96484,16.21191,17.60788,18.96663,20.49289,21.53522,22.09361,22.74506,22.52171,22.29835,22.37280,22.13083,21.87025,21.77719,21.72135,21.79580,21.85164,21.55383,21.51660,21.53522,21.12573,21.12573,20.49289,20.17647,20.02757,20.04618,19.89728,20.54873,20.58596,20.23231,19.52502,19.35750,19.17137,19.22721,18.63159,18.66882,18.83634,18.94801,19.02247,19.17137,19.89728,19.93450,20.30676,20.82792,21.59106,22.74506,24.28994,25.92788,27.00743,27.30524,27.50998,27.52860,26.93298,26.35598,25.76036,25.29504,24.68081,24.23410,24.45746,25.14614,23.65710,22.85674,21.88886,21.72135,20.58596,21.08851,20.95822,19.76698,19.05969,19.17137,17.64510,17.27285,16.37942
2016,Dee Why West 33_11kV,02MAY2015,MW,15.91410,15.37432,14.51812,14.61119,16.10023,15.57906,14.85316,14.23893,13.71777,12.97325,12.73128,12.35902,12.17289,12.02398,12.02398,11.70756,11.50282,11.46560,11.63311,11.76340,11.83786,12.02398,12.24734,12.47070,13.06631,13.73638,14.42506,15.31848,15.95132,16.54694,17.27285,17.92430,18.68743,19.41334,20.04618,20.82792,20.88376,20.99544,21.33047,21.47938,21.87025,22.37280,22.57754,21.60967,21.03267,21.10712,21.31186,21.03267,20.80931,20.62318,19.93450,19.67392,20.51150,19.99034,19.45056,19.69253,20.47428,21.03267,20.99544,20.60457,20.38121,20.54873,20.92099,21.08851,21.38631,21.83303,22.27974,23.02426,23.67571,24.77388,25.70452,25.92788,25.79759,25.81620,25.61146,25.10891,24.43884,23.78739,23.21039,22.50309,22.03777,22.29835,23.56403,21.98193,21.27464,20.34399,20.38121,19.50640,19.93450,19.84144,19.13414,18.79911,18.91079,17.44036,17.01226,16.10023
2016,Dee Why West 33_11kV,03MAY2015,MW,15.44877,14.87177,14.33199,14.44367,16.11884,15.54184,14.62980,14.12725,13.66193,13.02909,12.48931,12.37763,11.93092,11.72618,11.54005,11.44698,11.29808,11.39114,11.24224,11.24224,11.46560,11.59589,11.85647,11.89369,12.19150,12.63821,13.12215,13.92251,14.38783,15.26264,16.13745,16.82613,17.75678,18.87356,19.63669,20.28815,21.03267,21.34909,21.88886,22.29835,22.14945,22.07499,21.96332,21.88886,21.88886,21.90748,21.83303,21.57244,21.34909,21.33047,21.27464,21.14434,21.06989,20.90238,20.64179,20.43705,20.17647,20.21370,19.95311,19.54363,19.43195,19.41334,19.80421,20.23231,20.79070,22.01915,23.28484,24.25271,24.60636,25.81620,26.67240,27.43553,27.49137,27.19356,27.11911,26.72824,26.02095,25.35088,24.60636,23.95490,23.47097,23.21039,24.08520,22.52171,21.49799,20.64179,20.47428,19.30166,19.46918,19.07830,18.05459,17.49620,17.70094,16.04439,15.78381,14.96484
2016,Dee Why West 33_11kV,04MAY2015,MW,14.59258,14.09003,13.53164,13.71777,15.31848,14.76009,14.07141,13.45718,12.89879,12.35902,12.00537,11.68895,11.44698,11.18640,11.18640,11.18640,11.18640,11.09334,11.18640,11.31669,11.87508,12.58237,13.12215,14.05280,15.35571,16.67723,18.05459,19.41334,19.86005,21.01405,21.70273,21.59106,21.44215,21.42354,21.25602,20.64179,20.19508,20.00895,19.99034,20.00895,19.89728,19.82282,19.46918,19.13414,19.11553,19.13414,19.30166,19.43195,19.69253,19.61808,19.78560,19.65531,19.45056,18.79911,19.00385,18.72466,18.72466,18.78050,18.68743,18.66882,18.70604,18.98524,19.18998,19.43195,20.04618,20.39983,21.31186,22.22390,23.00564,24.81110,26.28153,27.56582,28.10560,28.21728,27.99392,27.69611,27.19356,26.50488,25.79759,25.33227,24.68081,24.40162,25.29504,23.58265,22.42864,21.29325,21.21880,20.06479,20.43705,20.02757,18.96663,18.09182,18.18488,16.54694,16.21191,15.09513
2016,Dee Why West 33_11kV,05MAY2015,MW,14.51812,14.05280,13.34551,13.53164,15.09513,14.61119,13.95973,13.45718,12.80573,12.52654,12.11705,11.87508,11.55866,11.39114,11.52143,11.24224,11.29808,11.29808,11.37253,11.68895,12.19150,12.86157,13.47580,14.49951,15.93271,17.38452,18.59437,19.80421,20.36260,21.10712,21.44215,21.16296,20.82792,20.64179,20.17647,19.63669,19.43195,19.24582,19.05969,18.94801,18.76188,18.70604,18.79911,18.35240,18.31517,18.63159,18.72466,18.50130,18.42685,18.50130,18.48269,18.50130,18.44546,18.46408,18.40824,18.51991,18.51991,18.53853,18.53853,18.65021,18.72466,18.83634,18.94801,19.00385,19.30166,19.69253,20.15786,20.56734,21.53522,23.41513,25.25781,26.20708,27.04466,27.23079,27.00743,26.83992,26.24430,25.57423,25.10891,24.58775,23.82461,23.91768,24.92278,23.19177,22.09361,21.03267,20.93960,20.02757,20.21370,19.72976,18.53853,17.99875,18.01736,16.49110,16.19329,15.09513
2016,Dee Why West 33_11kV,06MAY2015,MW,14.72287,13.90390,13.28967,13.56886,15.15097,14.81593,13.99696,13.36412,12.82434,12.48931,12.17289,11.78202,11.55866,11.50282,11.50282,11.24224,11.37253,11.44698,11.54005,11.72618,12.24734,12.95463,13.71777,14.62980,15.95132,17.31007,18.72466,20.00895,20.62318,21.46077,21.68412,21.79580,21.44215,21.10712,20.43705,19.78560,19.63669,19.39472,19.30166,18.74327,18.50130,18.48269,18.35240,18.09182,17.84985,17.88707,17.68233,17.66372,17.96153,17.75678,17.62649,17.88707,17.98014,17.66372,17.68233,17.83123,17.79401,17.71956,17.44036,17.45897,17.55204,17.86846,18.42685,18.79911,18.85495,19.65531,20.21370,20.93960,22.07499,23.91768,25.94649,27.08189,27.75195,28.19866,28.34757,28.04976,27.49137,27.04466,26.50488,26.09540,25.55562,25.51840,26.24430,24.88555,23.89907,22.65200,22.44725,21.18157,21.44215,21.01405,19.95311,19.11553,19.26443,17.60788,17.31007,16.24913
2016,Dee Why West 33_11kV,07MAY2015,MW,15.67213,15.00206,14.23893,14.49951,15.95132,15.43016,14.74148,14.12725,13.68054,13.32689,12.82434,12.65683,12.47070,12.26595,12.11705,11.87508,11.78202,11.78202,12.02398,12.15428,12.61960,13.36412,14.25754,15.09513,16.80752,18.37101,19.82282,21.03267,21.53522,22.54032,22.78229,22.74506,22.26112,22.00054,21.38631,20.90238,20.49289,20.23231,19.86005,19.67392,19.35750,19.17137,18.94801,18.48269,18.46408,18.27795,18.27795,18.25933,18.07320,18.16627,18.16627,18.01736,17.84985,17.98014,17.75678,18.11043,18.24072,18.31517,18.01736,18.05459,18.37101,18.57575,18.87356,19.07830,19.39472,20.13924,20.77209,21.70273,22.70784,24.82971,26.91437,28.18005,28.70121,29.11070,28.98041,28.53370,28.18005,27.95670,27.45414,27.15634,26.72824,26.70963,27.56582,26.02095,25.18336,23.95490,23.78739,22.54032,22.67061,22.24251,20.92099,20.06479,20.08340,18.22211,17.68233,16.77029
2016,Dee Why West 33_11kV,08MAY2015,MW,16.21191,15.37432,14.66703,14.92761,16.56555,16.02578,15.07651,14.64841,14.05280,13.60609,13.21522,13.01047,12.61960,12.47070,12.34041,12.22873,12.09844,11.94953,12.21011,12.58237,13.02909,13.60609,14.70425,15.82103,17.27285,18.74327,20.26953,21.75857,22.35419,22.96842,23.37790,23.17316,22.91258,22.68922,22.22390,21.51660,21.10712,20.51150,20.51150,20.23231,20.12063,19.65531,19.15276,18.94801,18.66882,18.57575,18.46408,18.57575,18.48269,18.35240,18.25933,18.24072,18.03598,17.66372,17.71956,17.83123,17.68233,17.81262,17.71956,17.57065,17.83123,18.03598,18.25933,18.53853,18.92940,19.82282,20.34399,21.14434,22.26112,24.08520,26.00233,27.19356,27.71473,27.88224,27.65889,27.47276,27.13772,26.93298,26.43043,25.98372,25.49978,25.61146,26.54211,25.05307,24.21549,23.06148,22.78229,21.51660,21.73996,21.27464,20.30676,19.63669,19.71115,18.07320,17.92430,16.97504
2016,Dee Why West 33_11kV,09MAY2015,MW,16.28636,15.67213,15.05790,15.13235,16.67723,15.96994,15.22542,14.59258,13.99696,13.68054,13.27105,12.91741,12.47070,12.30318,12.24734,12.13566,12.06121,11.91231,12.06121,12.09844,12.28457,12.54515,12.89879,13.25244,13.79222,14.72287,15.95132,16.91920,17.81262,19.05969,19.71115,20.34399,20.54873,20.92099,20.84654,20.90238,20.95822,20.80931,20.66041,20.43705,20.04618,19.69253,19.24582,19.17137,18.96663,18.83634,18.46408,18.57575,18.27795,18.20349,17.94291,17.73817,17.62649,17.57065,17.45897,17.62649,17.40314,17.21701,17.29146,17.53343,17.68233,17.83123,17.96153,18.42685,18.91079,19.61808,20.28815,21.18157,21.90748,23.82461,25.53701,26.54211,26.48627,26.48627,26.50488,26.16985,25.46256,24.82971,24.34578,23.82461,23.45235,23.61987,24.71804,23.52681,22.63338,21.94470,21.72135,20.54873,21.08851,20.67902,19.71115,19.18998,19.50640,18.09182,17.77540,17.04949
2016,Dee Why West 33_11kV,10MAY2015,MW,16.39804,15.85826,15.02067,15.31848,16.75168,16.10023,15.41155,14.85316,14.18309,13.77360,13.45718,13.04770,12.88018,12.65683,12.39624,12.15428,12.13566,11.76340,11.93092,12.04260,11.98676,12.04260,12.15428,12.45208,13.08492,13.73638,14.51812,15.50461,16.30497,17.16117,18.03598,18.68743,19.37611,20.00895,20.54873,20.56734,20.86515,20.62318,20.51150,20.25092,20.17647,19.89728,19.59947,19.48779,19.28305,18.85495,18.79911,19.18998,19.30166,18.94801,19.15276,18.89217,18.89217,18.53853,17.71956,17.51481,17.23562,17.03088,17.08672,16.82613,16.91920,17.49620,17.68233,18.25933,19.52502,20.45566,21.14434,22.14945,22.85674,24.36439,25.96511,26.56072,27.08189,27.06327,26.91437,26.70963,26.39321,25.94649,25.40672,24.64358,24.02936,24.45746,25.20197,23.50819,22.29835,21.36770,20.82792,19.56224,19.82282,19.54363,18.44546,17.75678,17.92430,16.45387,16.11884,15.59768
