year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Denman 66_11kV,01MAY2017,MW,1.41958,1.33988,1.33663,1.28756,1.25562,1.19492,1.15543,1.16849,1.20000,1.16606,1.15944,1.10617,1.10662,1.09153,1.09265,1.10780,1.11406,1.12897,1.15667,1.21234,1.26988,1.36041,1.38738,1.43430,1.55970,1.65695,1.79754,1.90638,1.89491,2.03089,2.18951,2.23101,2.18781,2.05917,2.06548,1.99887,1.97657,1.92703,1.91535,1.85661,1.81678,1.73744,1.59817,1.42369,1.35113,1.32669,1.48115,1.46263,1.49290,1.29934,1.26555,1.28973,1.28128,1.26896,1.23959,1.29881,1.43369,1.35365,1.53445,1.56450,1.58176,1.61101,1.69665,1.65566,1.63859,1.70931,1.79985,1.77985,1.80754,1.90883,2.04786,2.21303,2.24573,2.21573,2.19741,2.14861,2.11285,1.99743,1.99683,1.98100,1.95715,1.92223,1.84355,1.76486,1.69877,1.66803,1.67744,1.65103,1.81969,1.76705,1.64105,1.56713,2.35086,2.35308,2.15040,2.12881
2018,Denman 66_11kV,02MAY2017,MW,2.02017,1.85628,1.73711,1.65114,1.55065,1.47188,1.42032,1.34557,1.30590,1.30042,1.25802,1.28285,1.28463,1.27107,1.21340,1.21268,1.22071,1.21959,1.21571,1.25235,1.38427,1.41204,1.46648,1.51065,1.56841,1.63909,1.79791,1.92399,1.86509,1.88225,1.88998,1.89488,1.79094,1.80137,1.76077,1.66493,1.54451,1.40660,1.45487,1.43699,1.36812,1.26875,1.21719,1.21297,1.19256,1.19092,1.18896,1.22967,1.19260,1.19203,1.28714,1.34208,1.33386,1.38707,1.45734,1.51519,1.58013,1.54670,1.48126,1.49397,1.62134,1.70370,1.71243,1.83387,1.92413,1.93591,1.91498,1.87918,1.96934,2.06278,2.25792,2.37129,2.37004,2.36983,2.31496,2.28834,2.16755,2.07331,2.05941,2.05036,2.00900,1.94110,1.89460,1.85544,1.79628,1.70540,1.73811,1.76894,1.87568,1.85898,1.72052,1.60241,2.28319,2.29058,2.16908,2.05635
2018,Denman 66_11kV,03MAY2017,MW,1.90109,1.82660,1.78278,1.65214,1.55641,1.46082,1.36574,1.32966,1.26187,1.26447,1.25830,1.20374,1.20003,1.20734,1.20249,1.20451,1.18721,1.19074,1.24218,1.32879,1.41544,1.51359,1.56963,1.57569,1.64719,1.75233,1.84292,1.94613,1.94207,2.03699,2.12752,2.11780,2.12413,2.10288,2.05737,2.08053,2.01271,1.97127,1.97424,1.97118,1.89783,1.83107,1.75545,1.78209,1.75193,1.58555,1.40191,1.39406,1.48560,1.52882,1.53227,1.54526,1.55000,1.57598,1.68317,1.70649,1.64783,1.65322,1.66555,1.68085,1.67387,1.73700,1.78625,1.92082,1.97045,2.03756,2.09357,1.96299,2.05105,2.22043,2.37485,2.48518,2.57562,2.57655,2.55250,2.54642,2.54454,2.46020,2.44626,2.43359,2.37433,2.30340,2.18408,2.11208,1.99257,1.85423,1.86031,1.86812,2.00210,1.97471,1.88101,1.74376,2.42653,2.43980,2.32384,2.21102
2018,Denman 66_11kV,04MAY2017,MW,2.12849,1.97826,1.89308,1.79229,1.60400,1.50796,1.44477,1.40123,1.32421,1.29261,1.28901,1.23523,1.19275,1.20004,1.22361,1.25877,1.23446,1.21418,1.29280,1.34108,1.41846,1.48793,1.50649,1.58002,1.62530,1.66978,1.77008,1.89145,1.89982,2.02493,1.96394,1.93146,1.87951,1.84957,1.76627,1.69690,1.52529,1.40841,1.39700,1.31417,1.31375,1.32691,1.38123,1.35662,1.41631,1.44059,1.51454,1.57852,1.56871,1.50904,1.33637,1.27722,1.19796,1.16154,1.23218,1.33009,1.52165,1.67024,1.69468,1.63714,1.54843,1.61789,1.68006,1.83722,1.84292,1.96490,2.00006,1.99731,2.17162,2.26393,2.31499,2.36829,2.40348,2.41228,2.40507,2.40258,2.42659,2.43323,2.31232,2.30231,2.19811,2.17898,2.10179,1.98737,1.87554,1.80681,1.71495,1.72791,1.87782,1.85836,1.76934,1.57571,2.33474,2.39795,2.21467,2.11028
2018,Denman 66_11kV,05MAY2017,MW,2.01045,1.91105,1.81354,1.73273,1.60701,1.54767,1.46793,1.43013,1.30829,1.28486,1.27873,1.22762,1.25473,1.20420,1.19113,1.17000,1.19032,1.19270,1.25638,1.33447,1.44682,1.49671,1.54967,1.60714,1.74005,1.80815,1.98623,2.15152,2.14136,2.21549,2.21227,2.25493,2.27233,2.29733,2.08240,1.93950,1.81798,1.80366,1.70381,1.74649,1.69163,1.63674,1.54335,1.44437,1.49304,1.38893,1.38200,1.35072,1.31736,1.44027,1.43171,1.37460,1.30166,1.33640,1.39389,1.41334,1.36532,1.41437,1.45438,1.49057,1.57280,1.52913,1.51530,1.59641,1.63475,1.76031,1.81424,1.94734,1.92791,2.02860,2.12506,2.17782,2.26631,2.30341,2.31186,2.25849,2.33177,2.33430,2.36020,2.36285,2.34223,2.31731,2.21194,2.25648,2.23485,2.15977,2.14593,2.14180,2.29044,2.29737,2.23415,2.07590,2.77507,2.73609,2.58426,2.45402
2018,Denman 66_11kV,06MAY2017,MW,2.33599,2.20252,2.09027,1.97629,1.83539,1.75310,1.66507,1.57444,1.51248,1.51551,1.43423,1.40186,1.40437,1.41047,1.37699,1.38967,1.38548,1.35610,1.38421,1.42829,1.40094,1.45547,1.55032,1.61225,1.57998,1.64780,1.85289,2.05339,2.29060,2.35257,2.41749,2.42121,2.50105,2.63613,2.62068,2.43730,2.37379,2.47804,2.37424,2.16484,2.09169,1.95788,1.94063,1.86130,1.86097,1.68609,1.56726,1.45054,1.43921,1.44341,1.47327,1.46307,1.43285,1.43780,1.46735,1.44499,1.54597,1.57307,1.58197,1.64637,1.59772,1.66523,1.70058,1.76154,1.85923,1.84371,1.84448,1.92754,2.06333,2.14467,2.27515,2.35532,2.38360,2.44605,2.42315,2.43561,2.42083,2.40752,2.45078,2.40737,2.42937,2.41062,2.40707,2.29407,2.21127,2.11517,2.11323,1.98591,1.94638,1.94370,1.91376,1.91708,1.98406,1.83578,1.78035,1.77415
2018,Denman 66_11kV,07MAY2017,MW,1.75930,1.70298,1.67479,1.63992,1.62424,1.57619,1.54757,1.51327,1.48524,1.44129,1.42202,1.43287,1.46214,1.44490,1.43556,1.40819,1.42496,1.47050,1.47336,1.51152,1.54590,1.61453,1.63838,1.65773,1.69956,1.73756,1.84049,1.88978,1.96501,2.06362,2.04839,2.12651,2.06445,2.04911,2.04883,2.09502,2.02027,1.98708,1.85468,1.75518,1.70681,1.58540,1.56480,1.61150,1.50625,1.46362,1.45498,1.47659,1.37872,1.29995,1.36744,1.39165,1.48619,1.53859,1.58468,1.58828,1.62053,1.63438,1.66192,1.67039,1.74838,1.71335,1.72356,1.82779,1.94456,1.94864,1.97454,2.04491,2.26619,2.40287,2.47929,2.62804,2.71313,2.74442,2.70049,2.65998,2.61296,2.60319,2.55310,2.43830,2.40206,2.43850,2.34028,2.33102,2.22669,2.12652,2.09289,2.04977,1.99121,1.95351,1.88176,1.81411,1.93171,1.82076,1.76575,1.71547
2018,Denman 66_11kV,08MAY2017,MW,1.70349,1.67307,1.67898,1.58276,1.56632,1.52027,1.49628,1.48965,1.45971,1.45468,1.43509,1.44173,1.44710,1.46772,1.47159,1.45078,1.48309,1.50330,1.53342,1.63553,1.74270,1.80051,1.90040,1.99452,2.02035,2.13839,2.22860,2.47328,2.33278,2.33359,2.36694,2.38246,2.22138,2.14125,2.02011,1.92419,1.87577,1.80480,1.71806,1.73261,1.54248,1.46408,1.42302,1.35988,1.28801,1.26877,1.28124,1.22062,1.29582,1.30039,1.27687,1.33800,1.40060,1.40265,1.37239,1.42678,1.42925,1.44919,1.47056,1.52049,1.52520,1.54921,1.62611,1.73848,1.82569,1.90103,1.98165,2.10545,2.21462,2.34231,2.48973,2.65457,2.72716,2.65749,2.59394,2.53194,2.52332,2.47479,2.47044,2.39108,2.39886,2.33567,2.27984,2.19230,2.11764,1.97611,1.93495,1.94353,2.14358,2.14320,2.01107,1.91487,2.69611,2.66664,2.50469,2.44847
2018,Denman 66_11kV,09MAY2017,MW,2.35667,2.14006,2.01071,1.92669,1.82483,1.74270,1.65225,1.58613,1.53991,1.51145,1.45075,1.44518,1.43148,1.38720,1.40748,1.43567,1.40364,1.41749,1.48352,1.55973,1.63111,1.70080,1.80989,1.87951,1.96440,2.04111,2.17107,2.35246,2.28222,2.43048,2.44526,2.28567,2.19855,2.05270,1.93018,1.79701,1.76307,1.75419,1.69867,1.61868,1.50368,1.45083,1.40631,1.42696,1.40385,1.53742,1.53388,1.52742,1.45759,1.50880,1.45149,1.45450,1.47736,1.47128,1.48499,1.64362,1.56408,1.58058,1.55141,1.65095,1.75577,1.81747,1.82148,1.92077,1.94614,2.05866,2.12194,2.11598,2.18824,2.40117,2.64556,2.77410,2.75394,2.72888,2.68979,2.69584,2.65650,2.51992,2.48674,2.47485,2.46543,2.38797,2.27789,2.15985,2.10535,2.00382,1.97941,1.95672,2.09183,2.04871,1.94407,1.82458,2.63806,2.58443,2.44644,2.38677
2018,Denman 66_11kV,10MAY2017,MW,2.29819,2.14985,2.10592,2.00489,1.91344,1.84038,1.74565,1.64777,1.56424,1.50738,1.49695,1.49213,1.48001,1.47712,1.48517,1.44391,1.46793,1.49585,1.51314,1.54158,1.71476,1.86044,1.87808,1.98896,2.09792,2.13787,2.23984,2.42767,2.33962,2.59847,2.64239,2.51838,2.42929,2.30339,2.21193,2.16720,2.08255,1.92735,1.76847,1.54208,1.44688,1.48451,1.52646,1.50977,1.42662,1.46833,1.48946,1.47017,1.46585,1.47000,1.44896,1.45579,1.44278,1.42720,1.42386,1.41085,1.36498,1.39920,1.35893,1.46672,1.56187,1.52581,1.66253,1.71140,1.79129,1.95445,2.02789,2.04984,2.16357,2.37790,2.54136,2.63739,2.57317,2.56620,2.58641,2.55847,2.52611,2.51023,2.48386,2.46417,2.39127,2.36785,2.26321,2.24759,2.18892,2.06781,2.14927,2.20887,2.33920,2.27701,2.14409,2.05128,2.76318,2.72184,2.60023,2.51859
