year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Double Bay 132_11kV,01MAY2014,MW,23.31014,22.33577,21.81110,21.56751,21.39886,20.81798,20.42448,19.76865,19.58127,19.33768,19.05661,19.05661,19.05661,19.05661,18.88796,19.16903,18.98165,19.07534,19.24399,19.28146,19.26272,19.80613,20.83672,21.86731,23.32888,25.18395,27.63864,29.30632,31.87344,34.32812,35.97707,36.61417,36.83902,37.25126,37.55107,37.77593,38.78778,39.40614,39.81837,39.76216,39.61226,39.76216,39.21876,39.12507,39.10633,39.20002,39.08759,39.18128,39.21876,38.61914,38.88147,38.80652,38.30059,38.39428,38.15069,38.30059,38.78778,38.48797,37.94457,37.96331,37.92583,37.77593,37.64476,37.79466,37.83214,38.18816,38.03826,38.84399,39.70595,40.79275,42.76025,43.60346,43.67841,43.62220,44.03444,43.86579,43.26618,42.68530,42.42296,41.89830,41.09256,40.53042,40.09944,38.82526,36.83902,34.94648,33.95336,32.49179,31.42372,30.61799,29.53118,28.20078,26.81416,26.10212,25.37133,24.30326
2015,Double Bay 132_11kV,02MAY2014,MW,23.89102,23.36636,22.91665,21.97974,21.75489,21.28643,20.76177,20.46196,20.04972,19.80613,19.63749,19.33768,19.33768,19.15030,18.94418,18.94418,18.94418,19.20651,19.39389,19.39389,19.43137,20.06846,20.72429,21.41760,23.47879,25.37133,27.41378,29.28759,32.32315,34.47803,36.03329,37.04514,37.56981,37.83214,38.18816,38.56292,39.06885,39.57478,40.00575,39.87459,39.93080,40.00575,39.64973,39.64973,39.53730,39.85585,39.51856,39.53730,39.79964,40.08071,39.23749,39.18128,39.38740,39.20002,38.95642,38.76904,38.75030,38.56292,38.46923,38.58166,38.20690,37.85088,38.31933,38.16942,38.50671,38.90021,39.48109,40.41799,41.09256,42.08568,43.32239,43.79084,43.17249,42.96637,42.87268,41.76713,40.32430,38.76904,37.60728,37.15757,36.27688,35.20881,34.89026,34.27191,33.52239,32.67917,32.15451,31.55489,30.61799,30.11206,29.38128,28.36942,26.94533,26.21454,26.08338,24.94036
2015,Double Bay 132_11kV,03MAY2014,MW,24.43443,23.83481,23.29141,22.44819,22.29829,22.05469,21.21148,20.74303,20.48070,19.95603,19.78739,19.78739,19.73118,19.39389,19.39389,19.39389,19.18777,19.18777,19.18777,19.18777,19.18777,19.74991,20.06846,20.48070,21.56751,22.61684,23.29141,23.98471,25.76483,27.22640,28.95030,30.37439,32.17325,33.18510,34.45929,36.03329,37.10136,38.26312,39.25623,39.49983,39.46235,39.42487,39.33118,39.06885,39.20002,39.20002,38.99390,39.06885,39.03138,38.80652,38.45050,38.15069,38.15069,38.43176,37.94457,37.60728,37.49485,37.58854,37.53233,37.40116,37.96331,37.90709,38.07573,38.24438,39.01264,39.27497,40.00575,40.92392,42.27306,44.27803,45.32736,46.07689,45.45853,44.84017,44.22182,43.43482,42.31054,41.03635,39.94954,39.40614,38.37554,37.75719,36.91397,36.05202,35.43367,34.66541,34.19696,33.24132,32.92277,32.24820,31.23634,30.18701,29.40001,28.85661,28.20078,27.39504
2015,Double Bay 132_11kV,04MAY2014,MW,26.81416,25.95221,24.82793,24.49064,24.26579,23.29141,22.78548,22.42946,22.12965,21.84858,21.67993,21.47381,21.36139,21.15527,21.08032,20.68682,20.51817,20.46196,20.38701,20.74303,20.49944,20.70555,20.87420,21.38012,21.99848,22.24208,22.95412,23.46005,24.97783,26.23328,27.18892,28.44437,30.39313,31.16139,32.28567,33.20384,34.27191,35.07765,35.84591,36.48300,37.38243,37.23252,37.15757,36.93271,37.06388,36.59543,36.59543,36.29562,36.08950,36.07076,35.78969,35.73348,35.33998,35.24629,35.07765,34.74036,34.44055,34.32812,34.19696,34.12200,34.29065,34.72162,35.13386,35.04017,34.96522,35.45241,36.23940,37.96331,39.70595,41.42985,43.88453,45.34610,45.60843,45.79581,45.53348,45.02755,43.88453,43.20996,42.59161,41.48606,40.88644,40.11818,39.42487,38.71283,37.81340,36.72659,35.43367,34.29065,33.40996,32.34189,30.71168,29.06273,27.88223,26.92659,26.27076,25.22143
2015,Double Bay 132_11kV,05MAY2014,MW,24.84667,24.20957,23.66617,22.89791,22.63557,22.11091,21.77362,21.38012,21.19274,21.04284,20.72429,20.44322,20.48070,20.38701,20.31206,20.31206,20.27458,20.42448,20.38701,20.68682,21.15527,21.67993,22.42946,23.47879,25.65240,27.73233,30.48682,33.24132,36.18319,38.58166,40.47421,41.31742,41.44858,41.57975,41.63597,41.76713,41.87956,41.91704,42.29180,42.06694,41.97325,41.86082,41.52354,41.50480,41.07382,40.96140,40.51168,40.86771,40.96140,40.49294,39.98702,40.00575,39.78090,39.57478,39.21876,39.53730,39.48109,39.44361,39.14380,39.06885,38.91895,38.56292,38.78778,38.73157,39.25623,39.66847,40.30556,41.03635,42.38549,44.27803,46.50786,47.53845,47.87574,47.91322,48.04438,47.57593,47.51972,46.43291,45.75834,45.08377,44.27803,43.30365,42.76025,41.69218,40.62411,39.59352,38.80652,36.95145,35.39619,34.19696,32.71665,31.04896,28.76292,27.76980,27.07649,26.13959
2015,Double Bay 132_11kV,06MAY2014,MW,25.44628,24.52812,23.92850,23.34762,22.95412,22.46693,22.24208,21.77362,21.34265,21.11779,20.76177,20.76177,20.76177,20.76177,20.76177,20.46196,20.57439,20.68682,20.81798,21.23022,21.73615,21.97974,23.04781,23.85355,25.89600,28.46311,31.14265,33.74724,36.31436,38.65661,40.41799,41.46732,41.89830,41.99199,41.99199,41.42985,41.80461,42.10442,42.19811,42.29180,41.59849,41.78587,41.37363,40.92392,40.77401,40.68032,40.47421,40.49294,40.19314,39.98702,39.79964,39.68721,39.64973,39.44361,38.91895,39.01264,39.48109,39.08759,38.91895,38.84399,38.56292,38.61914,38.33807,38.58166,39.20002,39.64973,40.34304,41.67344,42.72277,44.52163,46.09562,47.12622,47.03253,47.08874,47.12622,46.80767,46.37669,45.19620,44.63405,44.03444,43.15375,41.99199,41.44858,40.53042,39.31245,38.30059,37.56981,36.22067,34.60919,33.50365,31.96713,30.46808,28.46311,27.46999,26.51435,25.48376
2015,Double Bay 132_11kV,07MAY2014,MW,25.12774,24.26579,23.49753,22.93538,22.63557,22.37324,21.96100,21.24896,21.08032,20.83672,20.63060,20.27458,20.25584,20.42448,20.31206,20.21836,20.01225,20.01225,20.61186,20.61186,21.26770,21.71741,22.86043,23.53500,25.70862,27.86349,30.18701,32.84782,35.80843,37.92583,39.91206,40.51168,40.84897,40.56790,40.88644,40.69906,40.77401,41.57975,41.56101,41.31742,40.90518,40.49294,40.49294,40.32430,40.32430,40.11818,39.79964,39.89333,40.00575,39.68721,39.61226,39.48109,39.44361,39.08759,38.76904,39.06885,38.76904,38.91895,38.84399,38.86273,38.52545,38.52545,38.58166,38.69409,39.21876,39.21876,40.00575,40.88644,41.69218,44.09065,45.77708,46.82641,46.11436,46.33922,46.48912,46.30174,45.38358,44.61532,44.31551,43.39734,42.51665,41.76713,40.90518,40.23061,39.12507,38.46923,37.62602,36.42679,34.92774,33.46617,31.91091,30.35565,28.95030,27.78854,27.20766,26.08338
2015,Double Bay 132_11kV,08MAY2014,MW,25.25890,24.50938,23.87229,23.17898,23.02907,22.63557,22.09217,21.81110,21.53003,21.06158,20.68682,20.53691,20.72429,20.46196,20.31206,20.38701,20.46196,20.51817,20.74303,20.57439,21.26770,21.94227,22.69179,23.74112,25.82104,27.73233,30.11206,32.71665,35.69600,38.45050,40.51168,40.98013,41.26120,41.16751,41.20499,40.88644,41.27994,41.69218,41.80461,41.61723,41.27994,41.22373,41.26120,40.96140,40.98013,40.43673,40.39925,40.08071,40.32430,40.30556,40.53042,40.53042,40.77401,39.96828,40.02449,40.19314,40.00575,39.55604,39.42487,39.94954,39.63099,39.55604,40.09944,40.11818,40.90518,41.22373,41.84208,42.55413,43.34113,45.12124,46.80767,47.74457,48.17555,48.43788,48.53157,48.47536,47.83826,47.50098,46.82641,46.47038,45.60843,44.99008,44.07191,42.72277,41.18625,39.10633,38.15069,36.65164,35.17134,34.32812,32.67917,30.65546,29.17516,28.29447,27.48873,26.43940
2015,Double Bay 132_11kV,09MAY2014,MW,25.55871,24.94036,24.22831,23.66617,23.25393,22.86043,22.37324,22.14838,21.47381,21.09905,20.96789,20.59313,20.59313,20.59313,20.42448,20.01225,20.19963,20.33079,20.49944,20.78051,21.21148,21.39886,22.71053,23.60995,25.61493,28.08835,30.58051,32.73539,35.30250,38.01952,39.81837,40.73654,41.29868,41.27994,41.22373,41.37363,41.72966,42.40423,42.46044,42.79773,42.46044,41.99199,42.27306,42.10442,41.84208,41.84208,41.61723,41.11130,41.01761,40.71780,40.71780,40.24935,40.13692,39.91206,39.89333,39.87459,40.00575,40.17440,40.15566,39.85585,39.46235,39.40614,39.79964,40.06197,40.73654,40.75528,41.01761,42.10442,43.39734,45.42105,46.58281,46.88262,46.60155,46.58281,45.96446,45.10251,44.16560,42.53539,41.61723,40.56790,39.96828,39.12507,38.31933,37.64476,36.74533,35.92086,35.09638,34.53424,33.91589,33.26005,31.92965,30.74915,29.73730,28.83787,28.36942,27.37630
2015,Double Bay 132_11kV,10MAY2014,MW,26.60804,25.74609,25.01531,24.39695,24.09714,23.38510,22.76674,22.37324,22.07343,21.19274,20.91167,20.91167,20.87420,20.53691,20.42448,20.14341,20.21836,20.46196,20.53691,20.79924,20.79924,20.91167,21.69867,22.33577,23.21645,23.96598,24.77171,25.95221,27.22640,28.85661,30.41187,31.44246,33.33501,34.08453,34.45929,36.27688,37.40116,37.83214,38.28185,38.39428,38.67535,38.54419,38.39428,38.28185,38.16942,38.01952,37.88835,37.64476,37.64476,37.30747,37.19505,37.02640,36.63290,36.48300,36.53921,36.59543,36.50174,36.48300,36.61417,36.46426,36.50174,36.63290,36.93271,37.12009,37.23252,37.90709,38.56292,39.85585,40.84897,43.04132,44.14687,44.31551,43.50977,42.98511,42.55413,41.65470,40.71780,39.20002,38.09447,37.34495,36.23940,35.78969,35.11512,34.29065,33.54112,32.71665,32.26694,31.55489,31.36751,30.37439,29.90594,28.98778,28.06961,27.56368,27.07649,26.23328
