year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Drummoyne 132_11kV,01MAY2015,MW,20.22128,19.58351,18.51429,18.27044,18.42050,17.65142,16.90109,16.46965,15.71933,15.47547,14.93149,14.72515,14.65011,14.34998,14.34998,14.16240,14.27495,14.16240,14.38750,14.38750,14.96900,15.55050,16.03822,16.97612,18.53305,20.85906,23.29762,25.36102,26.74912,28.64369,29.43153,30.01304,29.86297,29.39402,28.75624,28.43735,28.30604,27.44317,26.67409,26.20513,26.13010,26.13010,26.11134,25.64239,25.36102,25.69866,25.64239,25.58611,24.98585,24.68572,24.77951,24.34808,24.79827,24.81703,24.57317,24.29180,23.97291,23.33514,23.31638,23.63527,23.95415,23.86036,24.51690,25.22971,26.13010,26.65533,27.19931,27.63075,28.79376,31.11977,32.84552,33.89597,34.75885,35.20904,35.13401,35.32159,35.05898,34.27114,33.57708,33.14565,32.35780,31.81382,31.15728,30.18186,29.78794,28.85003,28.45611,27.51820,27.16180,26.76788,25.75494,24.66696,23.56023,22.84742,22.28468,21.36553
2016,Drummoyne 132_11kV,02MAY2015,MW,21.17795,20.27756,19.13331,18.90821,18.72063,18.04534,17.20122,16.67599,16.01946,15.60678,15.38168,15.06279,14.91273,14.34998,14.31247,14.31247,14.31247,14.29371,13.93730,13.93730,14.14364,14.63135,14.68763,14.93149,15.70057,16.30083,17.01364,17.85776,18.72063,19.84612,21.15919,22.52854,23.69154,24.72324,25.58611,26.13010,26.31768,26.89918,26.86167,26.88043,26.88043,27.18056,27.55572,27.29310,27.85585,27.46193,27.08676,26.73036,26.43023,26.22389,26.22389,25.96128,25.64239,25.41729,25.84873,25.60487,25.26722,25.41729,25.62363,27.51820,27.98716,27.87461,27.53696,27.55572,27.79957,28.28729,28.73748,30.03179,31.21356,32.84552,34.15859,35.07774,35.05898,34.89015,34.00852,33.53957,33.38950,32.54539,31.49493,30.23813,29.75042,28.94382,28.47487,27.81833,27.59323,27.06801,26.41147,25.84873,25.47356,25.26722,24.36683,23.54147,22.52854,22.30344,22.32220,21.15919
2016,Drummoyne 132_11kV,03MAY2015,MW,21.19671,20.91533,19.69605,19.22710,19.09579,18.08285,17.68893,16.73227,16.16952,15.68181,15.34416,14.98776,14.81894,14.42502,14.12488,14.12488,13.86227,13.73096,13.80600,14.12488,14.12488,14.12488,14.29371,14.53756,14.85645,15.51299,15.92567,16.30083,16.93861,18.15789,19.22710,20.37135,21.85324,23.14755,24.23553,25.06088,26.35520,27.16180,27.66827,28.24977,28.66245,28.64369,29.07513,29.33774,28.83127,28.56866,28.54990,28.34356,27.83709,27.55572,27.59323,27.04925,26.93670,26.28016,26.05507,25.71742,25.22971,25.21095,25.49232,25.30474,25.39853,25.77369,26.37396,27.08676,27.91212,28.34356,28.96258,30.06931,31.51369,33.12689,34.70257,35.92185,35.95937,36.09068,36.35329,35.99688,35.22780,34.17734,33.29571,32.41408,31.79506,30.96970,30.27565,29.50657,28.58742,27.81833,26.69284,25.69866,25.15468,24.40435,23.59775,22.05958,20.85906,20.16501,19.84612,19.02076
2016,Drummoyne 132_11kV,04MAY2015,MW,18.96449,18.55181,17.52011,17.44508,17.14495,16.60096,16.07573,15.45671,15.13782,14.51881,14.34998,14.03109,14.03109,13.71221,13.63717,13.63717,13.63717,13.63717,13.63717,13.63717,14.12488,14.66887,15.21286,16.11325,17.72645,19.60226,21.44056,23.24134,24.55441,26.37396,26.89918,26.97422,27.01173,26.44899,25.58611,25.41729,24.81703,24.34808,24.29180,24.23553,24.06670,23.71030,23.61651,23.59775,23.61651,23.56023,23.57899,23.59775,23.48520,23.27886,23.48520,23.29762,23.01625,22.79115,22.60357,22.75363,22.39723,22.30344,22.30344,22.30344,22.37847,22.47226,22.97873,23.35389,23.84161,24.57317,24.79827,25.58611,26.59905,28.62493,30.89467,32.41408,33.78342,34.53375,35.13401,35.28408,34.98394,34.30865,33.76467,33.05186,32.37656,31.23232,30.65081,29.97552,29.13140,28.39984,27.48069,26.50526,25.99879,25.13592,23.91664,22.49102,21.19671,20.37135,20.05246,19.02076
2016,Drummoyne 132_11kV,05MAY2015,MW,18.73939,18.43926,17.48259,17.14495,17.27625,16.58220,16.09449,15.38168,14.93149,14.57508,14.29371,13.93730,13.89979,13.56214,13.52462,13.28077,13.35580,13.54338,13.54338,13.59966,14.12488,14.72515,15.34416,16.15076,18.15789,19.75233,22.07834,23.44768,24.49814,25.75494,25.88624,25.77369,25.54860,24.77951,23.76657,23.39141,23.18507,22.82867,22.60357,22.56605,22.56605,22.37847,21.89076,21.89076,21.75945,21.55311,21.55311,21.60939,21.55311,21.49684,21.44056,21.57187,21.57187,21.57187,21.59063,21.49684,21.70318,21.70318,21.90952,21.74069,21.62814,21.77821,21.77821,22.11586,22.52854,22.82867,23.61651,24.29180,25.56735,27.66827,29.71291,30.85715,31.58872,32.22650,32.90179,33.23944,32.80800,32.20774,31.60748,31.11977,30.59454,30.03179,29.24395,28.53114,28.06219,27.06801,26.31768,25.49232,24.83579,24.14174,22.99749,21.57187,20.54017,19.67730,19.50847,18.60808
2016,Drummoyne 132_11kV,06MAY2015,MW,18.38298,17.98906,17.21998,17.12619,16.88233,16.31959,15.81312,15.11907,14.74390,14.44377,14.16240,13.78724,13.78724,13.58090,13.39332,13.39332,13.39332,13.39332,13.39332,13.65593,14.29371,14.83769,15.41920,16.24456,17.83900,19.67730,21.68442,23.41017,24.46062,25.77369,25.94252,25.81121,25.81121,25.21095,24.40435,23.99167,23.61651,23.22259,23.05376,22.67860,22.50978,22.04082,21.75945,21.47808,21.44056,21.17795,21.02788,21.02788,21.10292,21.19671,21.15919,21.14043,21.14043,20.89658,20.87782,21.04664,21.04664,21.04664,21.04664,21.04664,21.04664,21.04664,21.30926,21.68442,22.28468,22.86618,24.01043,24.89206,26.61781,28.68121,30.48199,32.03892,33.40826,34.62754,35.00270,35.45290,35.19028,34.85264,34.43996,33.97100,33.52081,32.77048,31.90761,30.95094,30.42572,29.39402,28.45611,27.40565,26.73036,26.05507,24.72324,23.03500,21.62814,20.95285,20.57769,19.73357
2016,Drummoyne 132_11kV,07MAY2015,MW,19.26462,18.92697,18.06410,17.76397,17.72645,17.27625,16.61972,16.13201,15.56926,15.25037,14.89397,14.66887,14.21868,14.12488,14.12488,14.12488,14.12488,14.12488,14.12488,14.31247,14.74390,15.43796,15.88815,17.10743,19.02076,20.78403,23.01625,24.85455,25.88624,27.25559,27.55572,27.31186,27.10552,26.35520,25.64239,25.06088,24.47938,23.87912,23.52272,23.07252,22.84742,22.54729,22.45350,22.09710,21.92827,21.72193,21.36553,21.15919,21.08416,21.25298,21.45932,21.30926,21.38429,21.25298,21.32801,21.29050,21.32801,21.32801,21.08416,21.34677,21.25298,21.45932,21.74069,22.09710,22.75363,23.61651,24.57317,25.81121,27.57448,30.25689,32.33905,33.68963,35.07774,36.14695,36.74721,36.91603,36.67218,36.57839,36.25950,35.58421,34.96519,34.10231,33.37074,32.93931,32.15146,31.26983,30.66957,29.39402,28.62493,27.61199,26.31768,24.55441,22.99749,22.39723,21.75945,20.65272
2016,Drummoyne 132_11kV,08MAY2015,MW,20.22128,19.75233,18.81442,18.43926,18.32671,17.55763,17.16370,16.22580,16.01946,15.56926,15.41920,15.00652,14.66887,14.57508,14.29371,14.29371,14.29371,14.29371,14.29371,14.59384,15.25037,15.66305,16.35710,17.63266,19.26462,21.12167,23.26010,25.37977,26.99297,28.56866,29.05637,28.86879,28.32480,27.23683,26.33644,25.79245,25.04213,24.64821,24.61069,24.06670,23.86036,23.42893,23.26010,22.86618,22.64108,22.41599,22.41599,22.20965,21.92827,21.85324,21.89076,21.90952,21.77821,21.59063,21.68442,21.57187,21.36553,21.51560,21.34677,21.40305,21.44056,21.66566,21.94703,22.58481,23.12880,23.78533,24.59193,25.82997,27.27435,29.39402,31.60748,32.75173,33.87721,34.60878,35.17153,35.20904,34.66506,34.27114,34.06480,33.44578,32.73297,32.28277,31.43866,31.08225,30.35068,29.46905,29.11264,28.24977,27.72454,27.10552,26.11134,24.72324,23.63527,22.86618,22.65984,21.57187
2016,Drummoyne 132_11kV,09MAY2015,MW,21.12167,20.52141,19.52723,19.11455,19.00200,18.23292,17.48259,16.82606,16.33835,15.79436,15.47547,15.15658,15.08155,14.78142,14.70639,14.55632,14.44377,14.42502,14.33122,14.33122,14.70639,15.04403,15.47547,15.83188,16.73227,17.59514,18.53305,19.37717,20.25880,21.85324,23.26010,24.17925,25.30474,25.99879,26.52402,26.84291,27.04925,26.71160,26.71160,26.46775,25.88624,25.66115,25.22971,25.13592,24.83579,24.55441,24.16049,23.99167,23.57899,23.57899,23.59775,23.41017,23.41017,23.29762,22.77239,22.86618,22.67860,22.58481,22.73487,22.86618,23.01625,23.07252,23.54147,23.71030,24.10422,25.04213,25.98003,27.46193,29.09389,31.30735,33.40826,34.83388,35.19028,35.11525,35.11525,34.60878,33.95225,33.42702,32.73297,31.98264,31.28859,30.65081,30.01304,29.35650,28.85003,28.58742,27.89337,27.25559,27.10552,26.48650,25.54860,24.42311,23.61651,23.05376,22.79115,21.79697
2016,Drummoyne 132_11kV,10MAY2015,MW,21.51560,21.10292,20.14625,19.73357,19.56475,18.92697,18.13913,17.44508,16.99488,16.26331,15.81312,15.43796,15.17534,15.04403,14.68763,14.66887,14.50005,14.48129,14.40626,14.29371,14.50005,14.74390,15.04403,15.21286,16.07573,16.41338,16.90109,17.83900,18.77691,19.80860,21.06540,22.32220,23.57899,24.10422,24.87330,25.51108,25.90500,25.98003,26.33644,26.46775,26.59905,26.39271,25.99879,25.81121,25.45481,25.51108,25.56735,26.07382,26.13010,26.13010,26.03631,24.68572,23.74781,23.41017,23.20383,23.11004,23.03500,22.79115,22.92246,23.16631,23.35389,23.80409,24.02919,24.77951,25.73618,26.20513,27.18056,28.45611,30.08807,32.26401,34.21486,35.54669,35.99688,36.25950,36.57839,36.12819,35.58421,35.15277,34.42120,33.83970,32.73297,32.58290,32.03892,31.10101,30.14434,29.60036,28.53114,27.33062,26.29892,25.39853,24.12298,22.65984,21.25298,20.63396,20.35259,19.47096
