year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Dulwich Hill 33_11kV,01MAY2015,MW,17.91308,17.26203,16.27616,15.66232,15.08567,14.84386,14.47183,14.09980,13.28135,12.87212,12.87212,12.90932,12.64890,12.50009,12.59310,12.42568,12.81631,12.77911,12.61170,12.87212,13.61617,14.17421,14.93686,15.69952,16.74119,18.28510,19.62440,21.05670,22.48900,23.28886,23.66088,23.82830,23.62368,23.27026,23.00984,22.67501,22.82382,22.82382,22.30299,22.13558,21.55893,21.67054,21.83795,21.93096,21.44733,21.52173,21.44733,21.70775,21.81935,21.65194,21.48453,20.66607,20.96369,21.44733,21.48453,20.75908,20.03363,20.05223,20.23824,20.46146,20.55446,20.49866,20.70327,21.09390,21.80075,22.61921,22.87963,23.08424,23.99571,25.57682,26.73010,27.36255,27.41835,27.13933,27.28814,27.12073,27.00912,26.69290,26.00465,25.59542,25.63262,25.22340,24.92577,24.38634,24.07011,23.88410,24.83277,23.99571,24.94438,24.40494,24.64675,23.71669,22.24718,21.24271,20.18244,19.02915
2016,Dulwich Hill 33_11kV,02MAY2015,MW,18.45251,17.65266,16.90860,16.18315,15.75532,15.25309,14.93686,14.21141,13.74638,13.35575,13.03953,13.03953,13.03953,12.61170,12.36988,12.20247,12.48149,12.42568,12.57450,12.50009,12.63030,12.72331,13.05813,13.22554,13.65337,14.08120,14.76945,15.25309,15.77392,16.55518,17.50385,18.30370,18.82454,19.38258,20.48006,20.70327,21.24271,21.70775,21.72635,21.83795,21.78215,22.09837,22.13558,22.35879,22.87963,22.28439,22.17278,21.46593,21.42873,21.31712,21.24271,21.29852,21.07530,20.59167,21.33572,21.74495,21.05670,20.77768,20.74048,21.78215,22.52620,22.41460,22.52620,22.50760,22.41460,22.60061,22.74942,23.27026,23.99571,24.94438,26.45108,27.00912,26.93472,26.86031,26.43248,26.48829,26.41388,26.06046,25.37221,24.42354,23.95851,23.67949,23.28886,22.84243,22.37739,21.91236,23.45627,22.84243,23.32606,22.86103,23.04704,22.04257,21.03810,20.03363,19.36398,18.47112
2016,Dulwich Hill 33_11kV,03MAY2015,MW,17.67126,16.98301,16.40637,15.81113,15.32749,14.99267,14.65784,14.49043,13.93239,13.50456,13.13253,12.85352,12.85352,12.85352,12.59310,12.46289,12.42568,12.63030,12.50009,12.38848,12.38848,12.55589,12.85352,13.28135,13.43016,13.74638,13.59757,14.17421,14.63924,15.08567,15.86693,16.61098,17.57825,18.32230,19.04776,19.77321,20.57306,21.68914,22.22858,22.39599,22.58201,22.43320,22.60061,22.76802,22.67501,22.73082,22.80522,22.37739,22.09837,22.34019,22.22858,21.93096,21.52173,21.20551,20.92649,20.87069,20.49866,20.38705,20.49866,20.44286,20.42425,21.07530,21.27991,21.59614,21.91236,22.30299,23.32606,23.97711,24.66536,26.02325,27.19514,27.92059,28.21821,28.72044,28.46003,27.93919,27.47416,27.12073,26.63710,26.09766,25.50242,24.68396,24.23753,24.31193,23.62368,22.87963,23.77249,22.78662,23.19585,22.67501,22.73082,21.16831,19.82901,18.75013,17.93168,17.02021
2016,Dulwich Hill 33_11kV,04MAY2015,MW,16.53658,15.88553,15.08567,14.76945,14.17421,13.63477,13.02093,12.87212,12.74191,12.61170,12.38848,12.07226,12.07226,12.07226,12.07226,12.07226,12.07226,12.12806,12.29548,12.63030,13.35575,13.78358,13.98820,15.02987,16.51798,17.98748,19.08496,20.10803,21.39152,22.34019,22.50760,22.30299,22.17278,21.54033,21.42873,21.57754,21.03810,20.94509,20.57306,20.31265,20.29404,20.62887,20.44286,20.48006,20.31265,19.97782,20.44286,20.62887,20.38705,20.57306,20.68467,21.11250,20.77768,20.62887,20.49866,19.79181,19.75461,20.16384,20.01502,19.81041,19.81041,19.73601,20.49866,21.27991,21.87516,21.96816,22.24718,22.80522,23.69809,24.88857,26.45108,27.21374,27.21374,27.62297,27.69737,27.54856,27.28814,27.28814,26.99052,26.76731,26.50689,25.61402,25.05598,24.51655,24.08871,23.25166,24.33053,23.38186,24.20032,23.75389,24.12592,22.67501,20.81488,19.58719,18.45251,17.57825
2016,Dulwich Hill 33_11kV,05MAY2015,MW,16.89000,15.94133,15.25309,14.73225,14.63924,14.15561,13.70918,13.20694,12.89072,12.85352,12.92792,12.64890,12.27687,11.70023,11.79324,12.22107,12.25827,12.25827,12.10946,12.36988,12.89072,13.59757,14.06260,14.95546,16.53658,17.78287,19.06636,20.64747,21.59614,21.85656,22.17278,21.68914,21.54033,21.14971,20.96369,20.87069,20.70327,20.61027,20.46146,20.36845,20.44286,20.62887,20.36845,20.07083,19.99642,19.99642,20.10803,20.12663,20.23824,20.12663,19.97782,19.99642,19.75461,19.94062,19.88482,19.75461,20.07083,19.58719,19.69880,19.68020,19.97782,20.25684,20.49866,20.46146,20.87069,20.94509,21.39152,21.98677,22.86103,24.18172,25.76283,26.24647,26.39528,26.84171,26.82311,27.02772,26.48829,26.24647,25.96745,25.39081,25.26060,24.57235,24.07011,23.67949,23.00984,22.61921,23.47487,22.78662,23.23305,22.65641,22.86103,21.52173,20.08943,19.02915,18.04328,16.96441
2016,Dulwich Hill 33_11kV,06MAY2015,MW,16.25756,15.30889,14.80665,14.17421,14.11841,13.70918,13.44876,13.26274,12.85352,12.81631,12.59310,12.51869,12.51869,12.27687,11.86764,11.84904,11.79324,12.14666,12.22107,12.25827,12.83491,13.80218,14.23001,14.58344,16.27616,17.46664,18.82454,20.44286,21.24271,21.67054,21.81935,21.87516,21.46593,20.92649,20.49866,20.33125,20.12663,19.97782,20.03363,19.58719,19.40118,19.21517,19.04776,18.61993,18.67573,18.73153,18.52692,18.56412,18.22930,18.56412,18.69433,18.80594,18.97335,18.60132,18.67573,18.24790,17.85727,17.93168,18.13629,18.09909,18.50832,18.89895,19.36398,19.38258,19.53139,20.10803,20.85208,21.46593,22.74942,23.77249,25.09319,25.89304,26.19066,26.80451,27.10213,26.95332,26.80451,26.76731,26.61850,26.39528,26.26507,25.76283,25.39081,25.09319,24.62815,24.07011,25.18619,24.20032,24.86997,24.70256,24.44214,22.80522,21.33572,20.05223,19.14076,18.06189
2016,Dulwich Hill 33_11kV,07MAY2015,MW,17.39224,16.48077,15.68092,15.47630,14.93686,14.36022,13.72778,13.44876,13.22554,13.09533,12.90932,12.70470,12.42568,12.20247,12.36988,12.40708,12.40708,12.35128,12.68610,13.05813,13.65337,14.26722,14.56484,15.47630,17.15042,18.04328,19.54999,21.24271,22.13558,22.54481,22.91683,22.67501,22.39599,21.96816,21.11250,20.59167,20.10803,19.53139,19.45699,19.15936,18.75013,18.58272,18.65713,18.39671,18.04328,18.19210,17.93168,18.17349,18.35951,18.09909,18.41531,18.32230,18.39671,18.50832,18.39671,17.95028,17.89447,17.54105,17.98748,18.06189,18.15489,18.48972,18.63853,19.08496,19.56859,20.03363,21.39152,22.00537,22.82382,24.83277,26.39528,27.49276,27.54856,27.82758,28.10660,28.68324,28.44142,28.18101,27.92059,27.58576,27.52996,27.21374,26.84171,26.54409,26.17206,25.37221,26.48829,25.55822,26.28367,25.93025,25.66983,24.33053,22.91683,21.59614,20.48006,19.45699
2016,Dulwich Hill 33_11kV,08MAY2015,MW,18.65713,17.82007,17.13182,16.59238,16.18315,15.84833,15.10428,14.56484,14.15561,13.72778,13.13253,12.85352,13.00233,12.85352,12.83491,12.53729,12.70470,13.03953,13.20694,13.65337,13.89519,14.52763,15.16008,16.16455,17.52245,18.52692,19.84761,21.33572,22.97264,23.49347,23.58648,23.71669,23.12145,22.15418,21.80075,21.46593,21.18691,20.77768,20.27544,19.90342,19.95922,19.92202,19.64300,19.17797,18.93615,19.06636,18.95475,18.84314,18.75013,18.95475,18.73153,18.60132,18.58272,18.86174,18.75013,18.04328,18.19210,18.06189,18.28510,18.21070,18.32230,18.41531,18.89895,19.41978,20.07083,20.64747,21.52173,22.50760,23.60508,25.05598,26.22787,27.21374,27.34395,27.58576,27.99499,28.14380,27.41835,27.06493,27.23234,26.89751,26.71150,25.94885,25.66983,25.29780,24.98158,24.40494,25.50242,24.68396,25.72563,25.74423,26.00465,24.47934,22.91683,21.85656,21.03810,20.16384
2016,Dulwich Hill 33_11kV,09MAY2015,MW,19.45699,18.41531,17.63406,16.85280,16.59238,16.16455,15.42050,14.95546,14.56484,14.30442,13.78358,13.33715,13.11393,12.96512,12.81631,12.92792,12.81631,12.81631,12.81631,13.16974,13.63477,13.37435,13.52316,13.67197,14.47183,15.01127,15.64371,16.07154,16.87140,17.91308,18.86174,19.30817,20.20104,20.74048,20.94509,21.41012,21.61474,21.44733,21.48453,21.72635,21.37292,21.35432,21.07530,20.81488,20.36845,20.46146,20.23824,19.84761,19.81041,19.47559,19.34538,19.28957,19.45699,19.69880,19.51279,19.34538,19.27097,19.17797,19.04776,19.38258,19.32678,19.28957,19.45699,19.58719,20.23824,20.96369,21.65194,22.00537,22.93543,24.88857,26.46968,27.25094,27.39975,27.34395,27.19514,26.99052,26.76731,26.45108,26.13486,25.42801,25.09319,25.07459,24.60955,24.18172,23.53068,23.10284,24.38634,23.86550,24.29333,24.18172,24.46074,23.32606,22.32159,21.29852,20.49866,19.45699
2016,Dulwich Hill 33_11kV,10MAY2015,MW,18.75013,17.93168,17.31783,16.62958,15.86693,15.43910,15.12288,14.80665,14.41603,14.00680,13.59757,13.39295,13.56037,13.44876,13.07673,12.77911,12.74191,12.90932,12.90932,12.90932,12.98372,13.09533,13.43016,13.80218,14.13701,14.36022,14.58344,15.56931,16.22035,17.16902,17.63406,18.22930,19.15936,19.81041,20.61027,21.20551,21.26131,21.31712,21.37292,21.33572,21.33572,21.13110,20.87069,20.90789,20.94509,21.00090,21.18691,21.39152,21.09390,21.16831,20.59167,19.92202,19.45699,19.15936,18.60132,18.65713,18.95475,18.73153,18.82454,18.73153,19.15936,19.47559,19.77321,20.64747,20.98229,21.26131,22.00537,22.97264,24.18172,25.44661,26.71150,27.62297,27.93919,28.14380,28.36702,28.10660,27.71597,27.75318,27.77178,27.32535,26.73010,26.20927,25.70703,25.16759,24.73976,24.25613,25.07459,24.34913,24.55375,23.80970,23.82830,22.02397,20.38705,19.19657,18.30370,17.35504
