year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,East Maitland 33_11kV,01MAY2015,MW,10.16754,9.92460,9.34776,8.55350,7.89999,7.32433,6.92482,6.49389,6.16048,5.99255,5.70170,5.60114,5.62741,5.59592,5.37125,5.33028,5.33760,5.57282,5.57309,5.56347,5.70001,5.92953,6.15467,6.44868,6.95365,7.33162,7.61343,8.25820,8.25379,8.69461,9.09960,9.32820,9.64040,9.61793,9.71417,9.67698,9.91843,10.11319,10.25921,10.11338,10.11629,10.13314,10.23901,10.02322,9.80081,9.85766,9.84422,9.91227,9.91261,9.75021,9.81188,9.59099,9.43987,9.48347,9.49145,9.71278,9.55586,9.32788,9.57062,9.45196,9.55470,9.60200,9.64705,9.71862,9.98109,10.44496,10.86415,10.93989,11.13320,11.34308,11.68219,11.90719,11.85363,11.63307,11.52165,11.45138,11.28032,10.92819,10.62056,10.53182,10.18160,9.82267,9.75036,9.53547,9.48332,9.53323,9.59201,9.24484,9.03812,8.76479,8.41490,7.97213,10.57210,10.70064,10.13425,9.54844
2016,East Maitland 33_11kV,02MAY2015,MW,10.58420,10.16442,9.63859,8.81275,8.16576,7.57538,7.02124,6.62101,6.31264,6.09107,5.87815,5.74966,5.67048,5.77111,5.62261,5.36605,5.33139,5.38638,5.39172,5.42645,5.49739,5.66480,5.80323,5.84182,6.15478,6.36250,6.61310,6.73018,6.95839,7.73669,8.20412,8.79168,9.30442,9.74674,10.18162,10.54684,10.54829,10.46871,10.38082,10.47076,10.73014,11.08475,10.56875,10.62370,10.83973,11.05191,10.91846,10.80714,10.61545,10.73040,10.96366,10.47227,10.15352,10.13263,10.34209,10.49021,10.29624,10.39271,10.15816,10.17092,10.31314,10.41438,10.42779,10.44919,10.65493,10.60885,10.73535,10.94668,11.08830,11.75507,12.18590,12.21318,12.04577,12.00981,11.93305,11.55152,11.20540,11.04400,10.88087,10.72728,10.28888,9.98583,9.64626,9.33843,9.07017,9.00668,8.85347,8.66351,8.60455,8.26023,7.88615,7.75544,8.24322,8.04113,7.73653,7.27605
2016,East Maitland 33_11kV,03MAY2015,MW,6.84037,6.60547,6.61060,6.32510,5.99574,5.68704,5.70606,5.66051,5.75760,5.62480,5.52484,5.58936,5.59503,5.52215,5.52254,5.58149,5.58302,5.60068,5.47441,5.47298,5.57925,5.65173,5.65385,5.67548,5.96676,6.09025,6.22067,6.45025,6.71528,7.05112,7.42033,7.79543,8.15971,8.54698,8.81676,9.04969,9.29316,9.71524,10.28691,10.47445,10.67123,10.65390,10.62531,10.50679,10.57673,10.65078,10.48878,10.49227,10.72151,10.84679,10.53959,10.43746,10.36191,10.20511,10.01121,10.36266,10.38249,10.14477,9.86230,9.81864,9.93793,10.11208,10.00532,10.14886,10.13770,10.01626,10.23136,10.61103,10.94092,11.60418,12.15381,12.54281,12.54439,12.26653,12.16176,11.92383,11.76594,11.47868,11.18035,10.78723,10.49291,10.15505,9.83932,9.61290,9.16011,8.83201,8.60238,8.34452,8.09176,7.80048,7.44184,7.31164,7.68885,7.30765,7.08735,6.76386
2016,East Maitland 33_11kV,04MAY2015,MW,6.63014,6.16729,6.11943,5.94969,5.94463,5.66704,5.59828,5.53658,5.47067,5.35722,5.28644,5.29365,5.36739,5.35482,5.37838,5.45109,5.51406,5.59497,5.57104,5.58323,5.80873,5.90814,6.04213,6.32253,6.82272,7.15366,7.71040,8.13148,7.96712,8.28386,8.67342,8.96714,9.07815,9.18831,9.23449,9.21336,9.32605,9.50105,9.41078,9.70044,9.86903,9.85668,9.68016,9.69375,9.71761,9.75998,9.77769,9.92464,9.79745,9.74820,9.80674,9.98592,9.80698,9.88275,9.81432,9.85826,9.72394,9.72594,9.55285,9.54354,9.52343,9.57093,9.54145,9.67869,9.98338,10.34753,10.73855,10.88707,11.28184,11.73980,11.94798,11.82388,11.66978,11.71799,11.47654,11.22395,10.65375,10.41472,10.27017,9.95191,9.81084,9.50799,9.26868,9.10081,8.94760,8.98590,9.03306,8.65355,8.34575,8.09948,7.69387,7.28256,10.11012,10.41335,9.90551,9.24365
2016,East Maitland 33_11kV,05MAY2015,MW,10.21302,9.90548,9.25741,8.36326,7.73584,7.25995,6.87034,6.48167,6.12936,5.90484,5.81353,5.56970,5.35498,5.36561,5.44685,5.54427,5.51710,5.53246,5.51765,5.61153,5.77414,5.98048,6.21681,6.44618,6.83481,7.32172,7.70904,7.94367,7.81153,8.16536,8.43649,8.48935,8.37338,8.22794,8.29366,8.35224,8.43070,8.49714,8.46478,8.58335,8.53527,8.46072,8.59565,8.47314,8.66871,8.62756,8.65479,8.85665,9.00376,8.81937,9.10668,8.98814,9.01695,8.87599,8.93926,8.87674,8.98862,8.94187,9.08987,9.08715,9.21824,9.46147,9.47882,9.69614,9.79293,9.99022,10.13095,10.47407,10.65891,10.99610,11.50453,11.63534,11.63915,11.48245,11.09818,10.87896,10.58471,10.17171,9.97325,9.86546,9.43037,9.31379,8.99319,8.75576,8.65878,8.68631,8.91788,8.55284,8.27588,7.85899,7.42641,7.16604,9.72316,9.89723,9.24283,8.80597
2016,East Maitland 33_11kV,06MAY2015,MW,9.85604,9.51629,9.02976,8.39074,7.72738,7.12842,6.63197,6.25675,6.05113,5.77343,5.60521,5.56550,5.36199,5.31659,5.35143,5.44176,5.40969,5.47720,5.41845,5.48737,5.68158,5.88251,6.19207,6.46619,6.93658,7.29483,7.73304,8.03167,7.86714,8.26741,8.33705,8.36329,8.40676,8.28491,8.24108,8.19632,8.15846,8.06207,8.08366,7.93709,7.86778,7.72590,7.75047,7.72332,7.69982,7.85046,7.76384,7.82386,7.99573,8.00842,7.97219,7.85044,7.78337,7.79385,7.82089,7.80046,7.91717,7.91901,7.90785,7.90426,7.99421,8.11219,8.41812,8.58644,8.89787,9.16983,9.48188,9.89183,10.49077,11.07589,11.49264,11.54653,11.55991,11.62332,11.61276,11.48236,11.33203,10.89842,10.73411,10.58109,10.31470,10.02027,9.75679,9.47871,9.37228,9.58447,9.63413,9.15669,8.85605,8.42917,8.03799,7.56997,10.21325,10.29020,9.67679,9.24946
2016,East Maitland 33_11kV,07MAY2015,MW,10.37558,10.08282,9.61626,8.81845,8.25542,7.59904,7.09352,6.70398,6.39180,6.13966,5.89716,5.84229,5.68731,5.58120,5.58703,5.59980,5.66925,5.62014,5.68699,5.76644,6.03697,6.27062,6.59449,6.93460,7.33669,7.83011,8.33569,9.04728,8.84385,9.28847,9.37100,9.53454,9.51735,9.26451,9.07131,8.86794,8.98045,8.78331,8.67702,8.56136,8.35288,8.23669,8.17297,8.05192,7.97546,8.02768,7.98354,7.90203,7.99955,7.97753,7.98368,7.97092,7.94949,7.69467,7.82698,7.89525,7.94668,8.04295,7.99971,8.06178,8.17498,8.33720,8.46677,8.64570,8.97868,9.20805,9.57624,10.07165,10.51417,11.13847,11.89780,12.29373,12.59953,12.57904,12.60650,12.47493,12.24513,11.98414,11.71264,11.50841,11.36864,11.18541,10.91188,10.68431,10.29708,10.21458,10.17609,9.65406,9.29361,8.79147,8.38254,7.89754,10.50188,10.47911,9.89203,9.37637
2016,East Maitland 33_11kV,08MAY2015,MW,10.44253,10.18546,9.73898,8.87836,8.19313,7.75396,7.24363,6.92993,6.61599,6.30743,6.09743,5.84574,5.82741,5.77001,5.74889,5.75369,5.75507,5.81778,5.89913,5.96875,6.24076,6.48885,6.78961,7.02984,7.66130,8.07073,8.76400,9.43779,9.23305,9.52536,9.84360,10.04924,9.88602,9.71376,9.48820,9.26714,9.27902,9.08291,9.07891,8.73747,8.54369,8.33397,8.32152,8.24817,8.12444,7.98966,7.95541,7.99914,8.04235,7.98070,8.01358,7.92741,7.94795,7.91967,7.87370,7.79714,7.91753,7.93013,8.03572,8.09213,8.11609,8.28379,8.40011,8.50061,8.81215,9.27121,9.54280,10.03624,10.54902,11.27478,11.64188,11.78999,11.87501,11.97710,11.95931,11.58876,11.63313,11.47426,11.45256,11.25046,11.02202,10.97276,10.74032,10.46777,10.34247,10.37321,10.53576,10.07765,9.77344,9.32138,8.85265,8.39909,11.07461,11.19010,10.69817,9.96624
2016,East Maitland 33_11kV,09MAY2015,MW,10.97333,10.64630,10.19587,9.33337,8.60905,8.03738,7.53271,6.98421,6.69837,6.47016,6.25784,6.08058,5.93299,5.66281,5.52252,5.52634,5.47607,5.54396,5.59081,5.58710,5.71008,5.81396,5.92796,6.20101,6.46913,6.89809,7.26465,7.63846,8.24310,8.94999,9.49648,9.99033,10.29333,10.47904,10.61284,10.62878,10.61928,10.45514,10.34017,9.97872,9.86424,9.54826,9.32807,9.03472,9.00410,8.75185,8.75989,8.68776,8.54951,8.32194,8.38844,8.28229,8.17060,8.15805,7.99461,8.01498,8.07463,8.04849,7.99393,8.11147,8.15773,8.38033,8.45375,8.74394,9.08503,9.38436,9.68810,10.01175,10.57871,11.35919,12.21356,12.44489,12.38863,12.32231,12.18652,12.02140,11.57495,11.32721,11.30086,10.91528,10.63695,10.55549,10.34140,10.08859,9.88923,9.72223,9.53271,9.26928,9.02982,8.72586,8.51398,8.29309,8.61991,8.20997,7.93060,7.49138
2016,East Maitland 33_11kV,10MAY2015,MW,7.00741,6.80962,6.67631,6.37785,6.15449,5.89195,5.77247,5.76089,5.64667,5.53623,5.49249,5.47311,5.41839,5.40750,5.28089,5.15876,5.20369,5.31872,5.34414,5.33426,5.44128,5.57574,5.72467,5.79027,5.99492,6.17262,6.51612,7.02513,7.49617,8.03066,8.49182,8.82660,9.21722,9.30266,9.46677,9.56419,9.67916,9.70905,9.78497,9.78064,9.69592,9.40939,9.12541,8.98254,8.79806,8.73583,8.57465,8.51680,8.39551,8.24354,8.28687,8.14553,8.00767,7.91013,7.95441,7.90058,7.86247,7.83970,7.84831,7.99312,8.13705,8.27052,8.36984,8.55959,8.62680,8.82150,9.19423,9.69962,10.46009,11.09045,11.76082,12.12469,12.22065,12.06108,11.97149,11.90467,11.96053,11.63561,11.52221,11.25633,11.10174,10.97775,10.49361,10.13943,9.78082,9.52413,9.27604,8.69833,8.40701,7.98266,7.56787,7.09047,7.50968,7.24123,6.96778,6.55802
