year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Edgeworth 33_11kV,01MAY2015,MW,6.91427,6.49212,6.35084,6.57051,6.25165,5.82608,5.61959,5.68239,5.43963,5.11430,4.76471,4.49066,4.23215,4.15701,4.07612,4.04330,4.05639,4.08691,4.07947,4.17199,4.52651,4.63780,4.75019,5.01074,5.31441,5.62559,5.94066,6.06654,6.18615,6.36215,6.48408,6.79565,6.79028,6.70670,6.45475,6.28269,6.15122,5.90520,5.84503,5.86218,5.79508,5.78657,5.74674,5.77627,5.64061,5.58482,5.64442,5.63529,5.65404,5.63144,5.60167,5.28811,4.92106,5.20062,5.26964,4.90014,5.01241,5.34518,5.50776,5.34825,5.39587,5.56929,5.87534,6.19631,6.49733,6.70303,7.06054,7.39361,7.67767,7.97047,8.35857,8.49891,8.64198,8.41763,8.30727,8.16264,8.00809,7.96732,7.75323,7.58007,7.43455,7.33034,7.14602,6.97084,6.74975,6.60165,6.74449,6.61527,7.55572,7.38589,7.17794,6.88189,7.22310,6.92241,6.97086,7.12712
2016,Edgeworth 33_11kV,02MAY2015,MW,6.94618,6.64688,6.58213,6.65906,6.24165,5.81961,5.48877,5.18037,5.40212,5.22060,4.90940,4.61253,4.41449,4.29385,4.18919,4.10724,4.05288,3.99007,3.95490,3.98852,4.11378,4.18514,4.27999,4.29980,4.60655,4.99515,4.84415,4.77383,5.02635,5.60487,5.84983,5.94510,6.08625,6.26060,6.38540,6.75386,7.21107,6.96163,6.16145,6.39154,6.57291,6.88295,6.78582,6.19657,6.43968,6.78195,6.93522,6.44377,6.11530,6.25194,6.30900,6.19636,6.11936,5.90349,5.96410,6.09187,6.26540,6.44478,6.44433,6.41069,6.53352,6.60165,6.57759,6.76411,6.91842,7.03055,7.14242,7.17877,7.56849,8.06089,8.32786,8.34613,8.36370,8.17037,7.88849,7.66343,7.52856,7.60956,7.39402,7.19722,7.05502,6.86570,6.66746,6.51939,6.45910,6.24299,7.02453,6.79971,6.56269,6.27045,6.48555,6.15566,6.98938,6.56947,5.96212,5.84676
2016,Edgeworth 33_11kV,03MAY2015,MW,5.91240,5.38977,5.38150,5.84376,5.33159,4.92008,4.57193,4.38870,4.44869,4.35116,4.18359,4.11915,4.05530,3.97172,3.96392,4.01474,3.97735,3.93407,3.98734,4.08106,4.05175,4.11689,4.07985,4.15375,4.20986,4.41524,4.49940,4.66773,4.84531,5.09902,5.38231,5.66956,5.75972,5.96492,6.23459,6.41826,6.64580,6.79249,6.62925,6.59372,6.85287,7.08481,7.15902,6.89527,7.15242,7.23237,7.03926,6.76587,6.80958,6.94756,6.99077,7.04108,6.92283,6.75549,6.72552,6.78223,6.80560,6.71937,6.89072,6.98604,6.80787,6.82037,7.00298,7.25598,7.45382,7.63428,7.90127,8.08538,8.36576,8.73752,9.11143,9.13524,9.13702,8.94771,8.84205,8.54276,8.28470,8.21138,7.92551,7.65912,7.37729,7.19078,7.09635,6.90643,6.70271,6.49800,7.18957,6.83941,6.56028,6.25142,6.37234,6.01879,6.80915,6.48141,5.95668,5.85025
2016,Edgeworth 33_11kV,04MAY2015,MW,5.70335,5.25953,5.33603,5.67831,5.16527,4.73967,4.59852,4.57630,4.40165,4.26766,4.14686,4.05306,4.03842,3.99299,3.99196,3.99488,4.00119,3.99811,4.05940,4.12445,4.34814,4.50015,4.72952,4.89229,5.19951,5.37068,5.76600,5.69810,5.79882,5.87356,5.94301,5.97963,6.03910,5.79463,5.52894,5.22603,5.15684,5.22163,5.34780,5.36297,5.34158,5.25291,5.26892,5.26410,5.26482,5.45998,5.50949,5.54352,5.57536,5.46874,5.52224,5.39165,5.34769,5.34260,5.50198,5.50258,5.57256,5.65353,5.66166,5.67340,5.71923,5.75322,5.78251,6.00480,6.22725,6.47327,6.79047,7.12850,7.67684,8.32094,8.56292,8.59689,8.65126,8.59788,8.39011,8.14130,7.90968,7.90382,7.70544,7.48297,7.29584,7.09481,6.90765,6.71178,6.55703,6.38112,6.46521,6.29389,7.25705,7.02321,6.71972,6.49112,6.89425,6.60176,6.73609,6.87534
2016,Edgeworth 33_11kV,05MAY2015,MW,6.93883,6.49290,6.28752,6.48964,6.21024,5.85968,5.58561,5.56918,5.14794,4.89598,4.68943,4.46259,4.35439,4.23817,4.17676,4.09790,4.09517,4.15754,4.16050,4.23859,4.36086,4.45549,4.78789,5.00960,5.25728,5.39774,5.84983,5.84235,5.76502,5.92128,5.88556,5.75277,5.55283,5.40908,5.06138,4.86248,4.59728,4.56186,4.33196,4.21605,4.11384,4.04453,4.02634,4.10199,4.11910,4.14496,4.09290,4.18785,4.19327,4.20183,4.17178,4.20212,4.29510,4.27509,4.39760,4.36490,4.38153,4.41913,4.59862,4.65228,4.71777,4.87133,5.05120,5.37094,5.58444,5.80760,6.11014,6.47566,6.89441,7.45843,8.13479,8.24697,8.31184,8.20616,7.99737,7.82970,7.61212,7.67178,7.39162,7.24294,7.03994,6.87163,6.73619,6.53473,6.32833,6.12472,6.21865,6.12088,6.92476,6.76911,6.49272,6.14343,6.57659,6.36175,6.46398,6.59110
2016,Edgeworth 33_11kV,06MAY2015,MW,6.70509,6.27457,6.11444,6.29185,6.01514,5.59648,5.36674,5.47916,5.08520,4.69183,4.53758,4.40285,4.32654,4.21983,4.15100,4.07839,4.06365,4.01518,4.04604,4.15534,4.41560,4.66300,4.71174,5.00018,5.29936,5.44601,5.77714,5.77485,5.84231,5.91560,5.91237,5.77247,5.63386,5.32541,5.03587,4.88103,4.67345,4.47297,4.39606,4.28558,4.09334,3.95517,3.92243,3.93806,3.90571,3.91871,3.78901,3.80981,3.81136,3.91544,3.92430,3.89827,3.91796,3.91140,3.86334,3.92021,3.86769,3.99746,4.13739,4.18251,4.33217,4.54096,4.70600,4.93153,5.22399,5.48850,5.76449,6.21473,6.87243,7.52466,8.30428,8.50667,8.59887,8.53220,8.42652,8.30723,8.16193,8.13608,8.02766,7.89529,7.76134,7.57737,7.46336,7.17692,6.96917,6.74391,6.78345,6.56438,7.45215,7.24192,6.92272,6.65133,7.06148,6.83537,6.86841,6.92414
2016,Edgeworth 33_11kV,07MAY2015,MW,6.96402,6.51432,6.35555,6.52625,6.20139,5.79998,5.58377,5.67790,5.37385,5.01967,4.78433,4.64646,4.51224,4.34317,4.30813,4.31189,4.26190,4.21895,4.25561,4.39242,4.66809,4.74470,4.93886,5.28695,5.79372,6.10075,6.56489,6.79682,6.82168,6.85531,6.88224,6.61680,6.31945,5.85850,5.52296,5.20885,4.98564,4.81630,4.65999,4.46558,4.23124,4.13210,4.07822,4.07819,3.94922,3.93371,3.88587,3.85442,3.86971,3.88415,3.76899,3.75727,3.78846,3.85982,3.91900,3.94592,4.00778,3.98883,4.15976,4.20901,4.29511,4.36981,4.57567,4.89058,5.13690,5.42147,5.82449,6.39662,6.92085,7.62088,8.22395,8.27683,8.42000,8.41438,8.48228,8.51104,8.35775,8.33757,8.17398,8.07962,8.01502,7.97290,7.88497,7.65703,7.38737,7.21122,7.24118,7.07102,7.96180,7.62351,7.26711,6.83650,7.24111,6.96476,7.01572,7.14705
2016,Edgeworth 33_11kV,08MAY2015,MW,7.17362,6.76834,6.56037,6.71728,6.44291,6.05169,5.88399,5.99645,5.62916,5.33975,5.08689,4.86044,4.66811,4.55055,4.50976,4.46100,4.44023,4.41974,4.41584,4.58256,4.86021,5.10995,5.39119,5.70433,6.13568,6.50409,6.88201,7.10354,7.25907,7.53669,7.47347,7.12327,6.72940,6.37573,5.97926,5.69308,5.49035,5.15990,4.90937,4.75140,4.47108,4.30159,4.19119,4.15795,4.13891,3.94141,3.93747,3.99888,3.96567,3.98452,3.95971,4.04600,3.94836,3.97820,3.97345,4.02580,3.99320,4.06986,4.20755,4.30750,4.34720,4.46950,4.64010,4.93410,5.27984,5.62498,5.94875,6.46794,7.15530,7.96819,8.60923,8.76289,8.94723,9.03351,8.99831,8.89520,8.81671,8.92186,8.69449,8.57542,8.49093,8.49221,8.40175,8.27073,8.01717,7.76953,7.79565,7.64761,8.41317,8.10637,7.71610,7.37996,7.69416,7.38168,7.42608,7.47394
2016,Edgeworth 33_11kV,09MAY2015,MW,7.48107,7.17553,7.09054,7.16047,6.80903,6.30543,5.91735,5.56681,5.71382,5.51094,5.25653,5.10187,4.94757,4.73223,4.60464,4.49443,4.39476,4.32815,4.41032,4.51402,4.58668,4.69648,4.74909,4.92445,5.15007,5.38071,5.69408,6.11725,6.62722,6.88505,7.17331,7.33728,7.19582,7.19550,7.01969,6.79327,6.61091,6.28761,5.93861,5.82671,5.69440,5.54183,5.16337,5.00429,4.93787,4.80246,4.85869,4.66926,4.67523,4.64175,4.61576,4.60854,4.54011,4.54541,4.59165,4.56397,4.51801,4.58167,4.64726,4.71526,4.85858,5.05055,5.19297,5.45218,5.84047,6.15379,6.59963,6.95848,7.52496,8.16455,8.72595,8.71145,8.76280,8.66228,8.53289,8.39101,8.38723,8.33215,8.22727,8.03870,7.84139,7.73541,7.74845,7.59930,7.53160,7.30730,7.84895,7.58620,7.35931,6.94618,7.05668,6.67085,7.42375,7.10885,6.62764,6.42239
2016,Edgeworth 33_11kV,10MAY2015,MW,6.40670,5.86309,5.91393,6.21030,5.62140,5.21711,4.98525,4.83558,4.94005,4.79112,4.63770,4.56340,4.40670,4.35493,4.33931,4.31104,4.27519,4.35430,4.41406,4.36641,4.52121,4.55457,4.56573,4.69160,4.88837,5.02376,5.31324,5.64722,6.14088,6.40648,6.81989,6.98003,7.08615,7.12891,7.14031,7.05265,6.85604,6.67951,6.55346,6.33006,6.19362,5.97013,5.84995,5.66882,5.36757,5.24276,5.25803,5.18188,4.98648,4.85813,4.72275,4.60208,4.49692,4.42722,4.71091,5.06576,4.71067,4.74848,4.64838,4.79145,5.04137,5.28390,5.38816,5.60466,5.93098,6.22506,6.66071,6.93079,7.55311,8.14912,8.63062,8.70418,8.78498,8.79332,8.74300,8.52571,8.32057,8.46306,8.30317,8.13798,8.00742,7.80323,7.69167,7.43945,7.20156,7.02902,7.64659,7.25245,6.99110,6.54599,6.60257,6.21256,6.91808,6.64971,6.01837,5.84470
2016,Edgeworth 33_11kV,11MAY2015,MW,5.65740,5.41008,5.41380,5.75442,5.23026,4.88477,4.72719,4.82030,4.61706,4.41266,4.27970,4.12625,4.12628,4.08025,4.09387,4.05030,4.10795,4.09864,4.26460,4.31005,4.52188,4.80349,5.03069,5.34159,5.69745,6.09929,6.38962,6.70387,6.55182,6.69969,6.65675,6.50320,6.16620,5.86463,5.68809,5.28851,5.06328,4.86550,4.85081,4.61733,4.44163,4.33637,4.30643,4.32939,4.20025,4.10624,4.12996,4.11300,4.14797,4.21570,4.23060,4.17134,4.15373,4.16765,4.23560,4.25170,4.24104,4.24793,4.36925,4.44743,4.56502,4.70448,4.88673,5.18616,5.54902,5.97446,6.38909,6.90228,7.56338,8.35684,8.94232,9.18662,9.12887,8.93491,8.73267,8.52605,8.38778,8.38636,8.22317,8.16345,7.83862,7.55860,7.39890,7.16152,6.91051,6.69509,6.71307,6.50122,7.31318,7.08997,6.88695,6.57034,7.05640,6.73791,6.84075,6.98813
2016,Edgeworth 33_11kV,12MAY2015,MW,7.03217,6.64487,6.55349,6.69054,6.37752,5.97297,5.71475,5.73952,5.46957,5.29124,5.02382,4.83236,4.63009,4.45453,4.42130,4.32863,4.27535,4.23318,4.29306,4.44153,4.63538,4.87789,5.05110,5.33346,5.79379,6.08517,6.33908,6.40563,6.46655,6.60293,6.61323,6.53428,6.26864,5.90514,5.54477,5.22725,5.03332,4.76940,4.60495,4.49892,4.33864,4.22153,4.22818,4.11747,4.09664,4.01367,4.00214,4.02203,4.04292,4.08497,4.01184,4.04810,3.99211,3.99671,4.06731,4.03851,4.04396,4.24335,4.32818,4.38116,4.43991,4.52269,4.76774,5.08164,5.41357,5.72773,6.05778,6.64415,7.25142,7.91004,8.40319,8.72787,8.85938,8.79089,8.64356,8.47958,8.28333,8.28337,8.02347,7.78085,7.56996,7.38464,7.19964,7.05508,6.88293,6.65019,6.65348,6.47087,7.35091,7.05752,6.78885,6.47388,6.83854,6.56894,6.81001,6.91499
2016,Edgeworth 33_11kV,13MAY2015,MW,6.92967,6.55029,6.48274,6.66227,6.34245,6.03630,5.79383,5.88117,5.49364,5.17768,4.94070,4.73442,4.62291,4.50547,4.32677,4.32559,4.23051,4.20711,4.22597,4.43071,4.63900,4.77442,5.04205,5.25773,5.63503,6.08243,6.39955,6.63802,6.70009,6.97639,7.12645,7.07020,6.86457,6.59974,6.33602,6.11902,6.00326,5.89579,5.80770,5.72506,5.72127,5.49372,4.86901,4.56394,4.42279,4.33468,4.32534,4.26245,4.23338,4.19368,4.12412,4.23672,4.12940,4.12836,4.13081,4.25102,4.14276,4.20370,4.57772,4.88862,5.35076,5.69976,5.71735,5.71071,6.06187,6.53034,6.91982,7.64442,8.63642,9.46667,10.23850,10.40634,10.58998,10.54508,10.56276,10.48151,10.37359,10.31061,10.03110,9.79206,9.56945,9.40593,9.28758,8.91809,8.66612,8.32148,8.18964,7.87598,8.76246,8.51132,8.06308,7.51597,7.90076,7.57162,7.56812,7.67029
