year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Empire Bay 66_11kV,01MAY2015,MW,4.97882,4.97882,4.97882,4.97882,4.47439,3.79741,3.79741,3.79741,3.79741,3.79741,3.17486,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,3.10066,3.96618,3.96618,3.96618,3.96618,3.96618,3.96618,3.96618,3.96618,3.96618,3.96618,3.96618,2.80290,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,2.78477,3.08937,3.96618,3.96618,3.96618,3.96618,3.96618,3.96618,3.96618,3.96618,3.96618,3.96618,3.96618,3.96618,3.96618,3.96618,3.96618,3.96618,3.96618,3.96618,3.96618,3.96618,3.96618,3.96618,3.96618,3.96618,3.96618,3.96618
2016,Empire Bay 66_11kV,02MAY2015,MW,3.96618,3.96618,3.96618,3.96618,3.96618,3.96618,3.96618,3.96618,3.96618,3.13541,3.03793,3.03793,3.03793,3.03793,3.03793,2.90506,1.85651,1.85651,1.85651,1.85651,1.85651,1.85651,1.85651,1.85651,1.85651,1.85651,1.85651,1.85651,1.85651,2.13400,3.03793,3.03793,3.03793,3.03793,3.03793,3.03793,3.03793,3.90901,4.21934,4.21934,4.21934,3.20952,3.03793,3.03793,3.03793,3.03793,3.03793,3.03793,3.03793,3.03793,3.03793,3.03793,3.03793,3.03793,3.03793,3.03793,3.03793,3.03793,3.03793,3.03793,3.03793,3.03793,3.03793,3.03793,3.03793,3.03793,3.03793,3.03793,3.03793,4.12807,4.21934,4.21934,4.21934,4.21934,4.21934,4.21934,4.21934,4.21934,4.21934,4.21934,4.21934,4.21934,4.21934,4.21934,4.21934,4.21934,4.21934,3.76889,3.03793,3.84756,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373
2016,Empire Bay 66_11kV,03MAY2015,MW,4.30373,5.28711,5.30353,4.13495,4.13495,4.13495,4.13495,4.13495,3.54117,2.95354,2.95354,2.95354,2.95354,2.95354,2.95354,2.08291,1.77212,1.77212,1.77212,1.77212,1.77212,1.77212,1.77212,1.77212,1.77212,1.77212,1.77212,1.77212,1.77212,1.77212,1.77212,1.77212,2.50882,2.95354,2.95354,2.95354,2.95354,2.95354,2.95354,2.95354,2.95354,2.95354,2.95354,2.95354,2.95354,2.95354,2.95354,2.95354,2.95354,2.95354,2.95354,2.95354,2.95354,2.95354,2.95354,2.95354,2.95354,2.95354,2.95354,2.95354,2.95354,2.95354,2.95354,2.95354,2.95354,2.95354,3.49972,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.03744,2.95354,3.60281,3.96618,3.96618,3.96618,3.96618,4.86978,4.89444
2016,Empire Bay 66_11kV,04MAY2015,MW,4.89444,4.89444,4.89444,4.89444,4.84841,3.99241,4.64128,4.64128,3.87893,3.45986,3.45986,3.12382,2.27844,2.27844,2.27844,2.27844,2.27844,2.27844,2.27844,2.27844,2.27844,2.27844,2.27844,2.27844,2.27844,2.27844,2.52679,3.45986,3.45986,3.45986,3.45986,3.45986,3.45986,3.45986,3.45986,3.45986,3.45986,3.45986,3.45986,3.45986,3.45986,3.45986,3.45986,3.45986,3.45986,3.45986,2.83140,2.27844,2.27844,2.27844,2.27844,2.27844,2.27844,2.27844,2.27844,2.27844,2.27844,2.27844,2.27844,2.27844,2.27844,2.27844,2.27844,2.27844,2.27844,2.27844,2.27844,2.86375,3.45986,3.45986,4.01286,4.64128,4.64128,4.64128,4.64128,4.64128,4.64128,4.64128,4.64128,4.64128,4.64128,4.64128,4.64128,4.24862,3.45986,3.45986,3.45986,3.45986,3.45986,4.04916,4.38811,4.38811,4.38811,4.38811,4.38811,4.38811
2016,Empire Bay 66_11kV,05MAY2015,MW,4.38811,5.54081,5.56953,4.52069,4.38811,4.38811,4.38811,4.38811,4.08946,3.20670,3.20670,3.20670,3.20670,3.20670,2.62419,2.02528,2.02528,2.02528,2.02528,2.02528,2.02528,2.02528,2.02528,2.02528,2.02528,3.13636,3.20670,3.20670,3.20670,3.20670,3.20670,3.20670,3.20670,3.20670,3.20670,3.20670,3.20670,3.20670,3.20670,2.96097,2.02528,2.02528,2.02528,2.02528,2.02528,2.02528,2.02528,2.02528,2.02528,2.02528,2.02528,2.02528,2.02528,2.02528,2.02528,2.02528,2.02528,2.02528,2.02528,2.02528,2.02528,2.02528,2.02528,2.02528,2.02528,2.02528,2.02528,2.02528,2.97249,3.20670,3.20670,3.20670,4.01215,4.47250,4.47250,4.47250,4.47250,4.47250,4.47250,4.47250,4.47250,4.47250,4.47250,4.25017,3.29109,3.29109,3.29109,3.29109,3.29109,3.88588,4.21934,4.21934,4.21934,4.21934,4.21934,4.21934
2016,Empire Bay 66_11kV,06MAY2015,MW,4.21934,5.36545,5.40076,4.28293,4.21934,4.21934,4.21934,4.21934,3.99802,3.12231,3.12231,3.12231,3.12231,2.37752,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,2.19137,3.12231,3.12231,3.12231,3.12231,3.12231,3.12231,3.12231,3.12231,3.12231,3.12231,3.12231,3.12231,3.12231,3.12231,3.12231,3.12231,3.12231,2.77486,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,3.10624,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373
2016,Empire Bay 66_11kV,07MAY2015,MW,4.30373,5.53370,5.56953,4.46067,4.38811,4.38811,4.38811,4.38811,3.79903,3.37547,3.37547,3.37547,3.14050,2.19406,2.19406,2.19406,2.19406,2.19406,2.19406,2.19406,2.19406,2.19406,2.19406,2.19406,2.26496,3.37547,3.37547,3.37547,3.37547,3.37547,3.37547,3.37547,3.37547,3.37547,3.37547,3.37547,3.37547,3.37547,3.37547,3.37547,3.37547,2.49977,2.19406,2.19406,2.19406,2.19406,2.19406,2.19406,2.19406,2.19406,2.19406,2.19406,2.19406,2.19406,2.19406,2.19406,2.19406,2.19406,2.19406,2.19406,2.19406,2.19406,2.19406,2.19406,2.19406,2.19406,2.19406,2.87780,3.37547,3.37547,3.37547,4.55022,4.55689,4.55689,4.55689,4.55689,4.55689,4.55689,4.55689,4.55689,4.55689,4.55689,4.55689,4.55689,4.55689,4.55689,4.55689,4.55689,4.55689,4.55689,4.55689,4.55689,4.55689,4.55689,5.45982,5.48514
2016,Empire Bay 66_11kV,08MAY2015,MW,5.48514,5.48514,5.48514,5.48514,5.34338,4.05057,4.05057,4.05057,4.05057,4.05057,3.51099,3.12231,3.12231,3.12231,3.12231,3.12231,3.12231,3.12231,3.12231,3.12231,3.12231,3.12231,3.12231,3.12231,3.12231,3.12231,3.58764,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.16352,3.12231,3.12231,3.12231,3.12231,3.12231,3.12231,3.12231,3.12231,3.12231,3.12231,3.12231,3.12231,3.12231,2.88371,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,1.94090,2.84868,3.12231,3.12231,3.37485,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,4.30373,5.61538,5.65392
2016,Empire Bay 66_11kV,09MAY2015,MW,5.65392,5.65392,5.65392,5.38313,4.72566,4.72566,4.72566,4.72566,4.45846,3.79741,3.79741,3.79741,3.01274,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,3.00497,3.79741,3.79741,3.79741,3.79741,3.79741,3.79741,3.79741,3.79741,3.79741,3.79741,2.62322,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,2.61599,3.46645,3.79741,3.79741,4.41145,5.06321,5.06321,5.06321,5.06321,5.06321,5.06321,5.06321,5.06321,5.06321,5.06321,5.06321,5.06321,5.06321,4.37671,3.88179,3.88179,3.88179,4.52981,4.89444,4.89444,4.89444,4.89444,4.89444,4.89444
2016,Empire Bay 66_11kV,10MAY2015,MW,4.89444,6.12333,6.16024,5.48069,4.97882,4.97882,4.97882,4.97882,4.43745,4.05057,4.05057,3.66169,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,2.86915,3.83224,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495,4.13495
