year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Enfield 33_11kV,01MAY2015,MW,10.24900,9.95565,9.47895,9.20393,9.11226,8.80057,8.69056,8.54389,8.45222,8.30554,8.28720,7.99385,7.73717,7.81051,7.77384,7.81051,7.77384,8.03052,8.04886,8.03052,8.41555,8.61723,8.83724,9.25893,9.64396,10.04732,10.48735,10.85404,11.56908,11.88077,12.06412,11.97244,11.89911,11.84410,11.91744,11.82577,11.77076,10.92738,9.93731,9.51562,9.42394,9.49728,9.84564,9.57062,9.22227,9.82730,9.84564,9.84564,9.84564,10.39567,11.25740,10.98238,10.63402,10.54235,10.45068,10.48735,10.28567,10.26733,10.12066,10.17566,10.30400,10.48735,10.74403,11.09239,11.25740,11.44074,11.38574,11.73409,11.99078,12.48581,12.81583,12.99918,13.18252,13.14585,12.88917,12.98084,12.68749,12.28413,12.41247,12.21079,12.04578,11.77076,11.89911,11.88077,11.29407,11.01905,12.11912,12.17412,12.72416,12.44914,12.83417,12.28413,11.99078,11.45908,11.18406,10.90904
2016,Enfield 33_11kV,02MAY2015,MW,10.57902,10.01065,9.58896,9.36894,9.24060,8.98392,8.72723,8.56222,8.15886,8.19553,8.12219,7.77384,7.66383,7.49882,7.46215,7.66383,7.53549,7.46215,7.38881,7.38881,7.38881,7.38881,7.38881,7.68217,7.70050,7.75550,7.88384,7.93885,8.12219,8.23220,8.43388,8.80057,8.96558,9.27727,9.35061,9.44228,9.38728,9.57062,9.66229,9.91898,8.69056,8.12219,8.15886,8.12219,8.32387,8.43388,8.30554,8.10386,8.06719,7.93885,8.03052,8.15886,8.03052,7.95718,7.95718,8.21387,7.93885,7.82884,7.68217,7.88384,8.47055,8.54389,8.54389,8.41555,8.48888,8.58056,8.70890,8.80057,9.09392,9.42394,9.82730,9.99232,9.86397,9.91898,9.71730,9.75397,9.40561,9.27727,9.27727,9.20393,8.92891,8.83724,8.76390,8.59889,8.48888,8.47055,9.18560,9.02059,9.49728,9.58896,10.02898,9.69896,9.20393,8.70890,8.39721,7.95718
2016,Enfield 33_11kV,03MAY2015,MW,7.84718,7.49882,7.26047,6.89378,6.61876,6.38041,6.32541,6.08706,6.08706,6.03206,5.77537,5.68370,5.57370,5.57370,5.57370,5.57370,5.57370,5.57370,5.46369,5.40868,5.57370,5.57370,5.57370,5.64703,5.83038,5.83038,5.83038,5.83038,5.99539,6.08706,6.16040,6.38041,6.74710,6.93045,7.09546,7.33381,7.55382,7.81051,7.75550,7.84718,7.79217,7.82884,7.84718,8.10386,8.10386,7.97552,7.82884,7.77384,7.82884,7.82884,7.59049,7.48049,7.51715,7.42548,7.35214,7.31547,7.11379,7.05879,7.02212,7.05879,7.31547,7.31547,7.31547,7.38881,7.60883,7.92051,8.26887,8.30554,8.61723,8.87391,9.29560,9.62562,9.64396,9.64396,9.58896,9.75397,9.55229,9.35061,9.35061,9.27727,9.27727,9.13059,8.83724,8.74557,8.61723,8.59889,9.31394,9.00225,9.53395,9.38728,9.51562,9.02059,8.70890,8.04886,7.71883,7.46215
2016,Enfield 33_11kV,04MAY2015,MW,7.24214,6.91212,6.61876,6.32541,6.12373,6.12373,5.86705,5.81204,5.59203,5.46369,5.46369,5.28034,5.22534,5.22534,5.22534,5.42702,5.48202,5.48202,5.48202,5.51869,5.86705,6.03206,6.21540,7.13213,8.06719,8.69056,9.16726,9.51562,10.04732,9.95565,10.52402,10.67069,10.76237,10.74403,10.50568,9.97398,10.59735,10.57902,10.43234,10.48735,10.46901,10.45068,10.17566,10.28567,10.34067,10.85404,10.94571,10.70736,10.76237,10.56069,10.23066,10.19399,10.13899,10.28567,10.50568,10.72570,10.79903,10.74403,10.70736,10.67069,10.59735,10.56069,10.56069,10.83570,10.98238,10.96404,11.18406,11.20239,11.51408,12.30247,12.43081,12.90750,12.83417,12.94417,12.70582,12.87084,12.81583,12.70582,12.39414,12.17412,12.21079,11.99078,10.89071,10.61569,11.05572,11.14739,12.04578,11.93577,12.43081,12.21079,12.68749,12.22913,11.49575,11.00071,10.45068,10.08399
2016,Enfield 33_11kV,05MAY2015,MW,9.69896,9.33227,8.94725,8.69056,8.56222,8.45222,8.17720,8.10386,7.75550,7.81051,7.81051,7.70050,7.55382,7.64550,7.42548,7.59049,7.62716,7.31547,7.05879,6.96712,7.38881,8.19553,8.41555,8.81891,9.38728,9.42394,9.16726,9.91898,10.48735,10.90904,10.81737,10.68903,10.83570,10.59735,10.26733,10.30400,10.56069,10.81737,10.79903,10.74403,10.79903,10.54235,10.67069,10.68903,10.68903,10.56069,10.35901,10.46901,10.46901,10.65236,10.59735,10.59735,10.56069,10.67069,10.70736,10.46901,10.30400,10.70736,10.63402,10.68903,10.45068,10.68903,10.72570,10.65236,11.00071,11.20239,11.09239,11.40407,11.51408,12.21079,12.59582,12.76083,12.72416,12.54081,12.76083,12.61415,12.54081,12.32080,12.26580,12.00911,11.82577,11.78910,11.53242,11.25740,11.34907,11.31240,11.91744,11.56908,12.13745,12.04578,12.28413,11.66076,11.11072,10.57902,10.17566,9.79064
2016,Enfield 33_11kV,06MAY2015,MW,9.38728,8.91058,8.76390,8.70890,8.48888,8.39721,8.37888,8.19553,7.90218,7.68217,7.42548,7.49882,7.53549,7.64550,7.62716,7.57216,7.55382,7.71883,7.84718,7.97552,8.26887,8.50722,8.78224,9.02059,9.51562,9.97398,10.24900,10.54235,10.83570,10.83570,10.94571,11.01905,10.96404,10.87237,10.74403,10.61569,10.45068,10.48735,10.46901,10.34067,10.48735,10.43234,10.26733,10.43234,10.28567,10.02898,10.23066,9.93731,9.86397,9.66229,9.58896,9.73563,10.04732,10.23066,10.10232,10.17566,10.15733,10.28567,10.15733,10.06565,9.95565,10.32234,10.45068,10.59735,10.57902,10.52402,10.90904,11.29407,11.56908,12.08245,12.65082,12.90750,12.99918,13.05418,13.23753,13.16419,13.25586,13.12752,12.83417,12.72416,12.41247,12.22913,12.10079,12.04578,11.84410,11.77076,12.70582,12.43081,12.70582,12.66916,13.25586,12.52248,11.75243,11.38574,10.67069,10.41401
2016,Enfield 33_11kV,07MAY2015,MW,10.04732,9.66229,9.35061,8.94725,8.85557,8.76390,8.58056,8.34221,8.17720,8.19553,8.08552,7.66383,7.81051,7.88384,7.95718,7.81051,8.01219,8.12219,8.15886,8.14053,8.47055,8.72723,9.02059,9.03892,9.69896,10.08399,10.35901,10.63402,11.09239,11.42241,11.49575,11.42241,11.44074,11.33074,11.18406,11.09239,10.94571,10.65236,10.85404,10.70736,10.50568,10.48735,10.02898,10.32234,10.52402,10.61569,10.61569,10.56069,10.39567,10.52402,10.41401,10.43234,10.39567,10.23066,10.12066,9.86397,10.08399,10.17566,10.15733,10.34067,10.26733,10.34067,10.24900,10.52402,10.37734,11.03738,11.00071,11.25740,11.89911,12.33913,12.81583,13.31086,13.25586,13.43921,13.34753,13.56755,13.47587,13.20086,13.18252,13.16419,12.98084,12.74249,12.65082,12.81583,12.44914,12.15579,12.99918,12.70582,13.40254,13.03585,13.23753,12.61415,11.93577,11.53242,11.11072,10.63402
2016,Enfield 33_11kV,08MAY2015,MW,10.15733,9.86397,9.57062,9.31394,8.91058,8.72723,8.59889,8.26887,8.19553,7.51715,7.02212,7.02212,7.53549,7.86551,7.73717,7.64550,7.68217,7.79217,8.12219,8.15886,8.37888,8.50722,8.78224,8.52555,8.91058,8.83724,8.61723,8.98392,9.35061,9.79064,9.99232,9.95565,9.71730,9.68063,9.40561,9.55229,9.51562,9.53395,9.36894,9.14893,9.05725,8.98392,8.98392,8.98392,8.87391,8.78224,8.80057,8.61723,8.41555,8.28720,8.12219,8.26887,8.34221,8.36054,8.36054,8.41555,8.54389,8.21387,8.15886,8.23220,7.92051,8.04886,8.25054,8.30554,8.36054,8.50722,9.05725,9.29560,9.35061,10.01065,10.87237,11.18406,11.31240,11.40407,11.55075,11.33074,11.40407,11.25740,10.83570,10.87237,10.57902,10.52402,10.32234,10.13899,10.17566,10.15733,11.09239,11.00071,11.18406,11.18406,11.71576,11.23906,10.65236,9.95565,9.40561,9.03892
2016,Enfield 33_11kV,09MAY2015,MW,8.89224,8.52555,8.19553,7.73717,7.62716,7.38881,7.11379,7.05879,6.65543,6.60043,6.36208,6.34375,6.34375,6.34375,6.32541,6.08706,6.08706,6.01372,5.88538,5.88538,5.88538,5.94039,6.05039,6.05039,6.23374,6.34375,6.63710,6.65543,6.91212,7.13213,7.20547,7.44382,7.75550,7.70050,7.81051,7.88384,7.97552,7.84718,7.62716,7.64550,7.49882,7.48049,7.48049,7.42548,7.37048,7.29714,7.20547,7.18713,7.18713,7.18713,7.15046,7.00379,7.02212,6.87545,7.09546,6.87545,6.91212,6.93045,7.02212,7.07713,6.96712,7.00379,7.26047,7.38881,7.60883,7.60883,7.95718,8.17720,8.48888,9.09392,9.58896,9.73563,9.86397,10.01065,10.01065,9.88231,9.75397,9.57062,9.57062,9.60729,9.51562,9.29560,9.14893,9.07559,8.96558,8.83724,9.77230,9.68063,10.17566,10.01065,10.46901,10.15733,9.75397,9.16726,8.92891,8.25054
2016,Enfield 33_11kV,10MAY2015,MW,8.10386,7.77384,7.37048,7.07713,6.87545,6.56376,6.43542,6.43542,6.34375,6.16040,6.08706,5.92205,5.79371,5.70204,5.64703,5.70204,5.53703,5.46369,5.46369,5.53703,5.70204,5.70204,5.70204,5.81204,5.97705,5.97705,6.14207,6.25207,6.39875,6.50876,6.69210,6.78377,7.09546,7.15046,7.22380,7.22380,7.24214,7.48049,7.44382,7.42548,7.26047,7.26047,7.31547,7.26047,7.44382,7.44382,7.64550,7.77384,7.60883,7.68217,7.16880,6.93045,6.83878,6.87545,6.49042,6.47209,6.43542,6.43542,6.69210,6.83878,7.02212,7.13213,7.13213,7.49882,7.60883,7.75550,8.15886,8.32387,8.59889,9.11226,9.51562,9.88231,9.79064,10.01065,10.08399,10.06565,10.10232,9.86397,9.86397,9.86397,9.77230,9.64396,9.57062,9.38728,9.16726,9.11226,10.10232,9.77230,10.45068,10.23066,10.50568,9.90064,9.29560,8.69056,8.43388,8.48888
