year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Epping 66_11kV,01MAY2017,MW,25.53333,25.25220,24.14485,24.04306,23.83953,22.88881,22.38985,21.73318,21.22836,20.62659,20.17787,19.77124,19.30928,19.02039,18.51731,18.51731,18.51731,18.51731,18.54092,18.72462,19.20394,19.51374,20.18755,21.15908,23.62095,25.22620,26.92242,28.18715,30.64654,32.47529,33.10812,33.32926,33.50165,33.42149,32.90039,32.54435,32.18723,32.60172,32.84855,31.94873,32.60112,32.09968,31.87283,32.63080,33.09391,32.46417,31.95363,31.90914,32.48916,32.50525,33.08029,33.16133,33.25909,32.60227,32.23535,31.77677,32.53888,32.65934,33.05444,32.71788,32.56973,32.48020,32.30614,32.60445,32.76616,32.89551,32.97538,33.20701,33.21243,34.46958,35.43764,35.89305,35.38942,34.55404,33.98080,33.46202,33.13113,32.97972,32.43827,32.03400,31.37647,30.79761,30.79761,30.16005,29.68502,29.03156,28.41012,27.80703,27.98432,28.56185,27.74277,26.69741,25.69161,25.40023,25.83197,25.31589
2018,Epping 66_11kV,02MAY2017,MW,25.47949,25.07559,24.12331,23.47198,23.54350,22.68713,22.03809,21.44975,20.66502,20.39183,20.34193,19.81486,19.46363,19.12822,18.82688,18.82688,18.82688,18.82688,18.82688,18.96658,19.27894,19.63974,19.87316,20.78903,22.92888,24.52229,25.87845,27.21579,29.51912,30.93585,31.60264,32.20579,32.43622,32.28173,31.94285,31.38533,31.59501,31.76157,31.86524,32.20112,32.09395,32.26448,32.68019,32.81952,32.67871,33.00727,32.78907,32.46953,32.73132,32.65833,33.12676,32.85288,32.86553,32.47693,32.29327,32.09292,32.06229,31.91232,31.82745,31.93078,32.27011,31.85298,31.63837,31.83493,32.16552,32.14448,32.09927,32.33699,32.81333,34.38759,35.74876,35.99450,35.10151,34.60637,34.06781,33.73685,32.88032,32.57140,32.48191,32.48334,31.49405,30.96183,30.64445,30.77821,30.27821,29.29220,28.53345,27.91491,28.48241,28.70027,27.90164,26.80532,26.01705,26.06263,26.36956,25.96779
2018,Epping 66_11kV,03MAY2017,MW,26.22116,25.73929,24.67781,24.48872,23.94262,23.06200,22.07147,21.38427,20.70391,20.47730,20.11057,19.97602,19.66673,19.30738,19.07013,18.92564,18.92564,18.92564,18.92564,18.92564,19.27443,19.51631,20.14696,21.02629,22.91322,24.41838,25.81437,26.91366,29.47206,31.40145,31.98818,32.66668,33.10020,32.53995,32.39714,31.90441,31.64215,31.55728,32.12176,32.07135,31.93280,31.78187,32.06719,32.11318,32.13936,31.95963,32.01635,32.33548,32.26899,32.02290,32.00924,32.25788,32.81449,32.78780,32.54871,32.31816,32.37694,31.89510,31.49199,31.10168,31.47233,31.36213,31.41104,31.70637,32.12531,32.41506,32.59043,32.98998,34.22338,35.53877,36.63762,37.52620,36.87183,36.24333,35.92194,35.53599,34.62066,34.69972,34.38627,33.87923,33.58426,33.03759,32.82922,32.91100,32.26673,31.44161,30.55617,29.76531,30.16025,30.33632,29.53404,28.45899,27.55937,27.38177,27.31879,26.70194
2018,Epping 66_11kV,04MAY2017,MW,26.75404,26.42938,25.40469,24.90318,24.55128,23.64794,22.72446,21.95018,21.31673,21.02249,20.65936,20.31594,20.00530,19.71571,19.64042,19.68750,19.46237,19.70432,19.63130,19.71381,20.06221,20.32664,20.91580,21.81362,23.66019,25.51164,27.31204,28.41383,31.27786,33.14187,33.77936,33.66712,33.99660,33.87246,33.29941,32.90385,32.51132,32.34888,32.38384,32.58294,32.93371,32.33131,32.45980,32.52202,32.33522,32.46619,32.37471,32.34268,32.59444,32.73662,33.06376,32.81568,32.57204,32.71411,32.36501,31.90228,32.03711,32.17384,32.29517,31.94426,31.47689,30.82509,31.10756,31.38934,31.86706,32.34080,32.56488,33.01750,33.98904,35.31343,36.25050,36.84241,36.66618,36.70896,36.09571,35.68168,35.29318,34.77601,34.72944,34.75544,34.55744,34.00917,33.50009,33.38262,32.68532,31.54858,30.62896,29.79387,30.19520,30.46531,29.70447,28.39871,27.36842,27.45300,27.91070,27.21274
2018,Epping 66_11kV,05MAY2017,MW,27.43925,27.09609,25.89891,25.34794,24.95797,24.03327,23.13461,22.49678,21.85387,21.55790,21.08194,20.89322,20.59172,20.19824,19.94979,19.73471,19.98458,20.12594,19.80328,19.73471,20.28353,20.81842,21.03271,22.24250,24.04223,25.54882,27.01137,28.30654,30.98796,33.02353,33.89847,33.99047,34.14176,33.77273,33.28085,32.80037,32.43549,32.55684,32.64290,32.69561,32.39594,31.98076,32.11659,32.31539,32.62352,32.60311,32.60181,32.26341,32.45345,32.32581,32.34543,32.36729,32.67617,32.66247,32.62564,32.61982,32.67932,32.37969,32.00984,31.29160,31.22152,31.22663,31.17099,31.53523,31.93173,32.13899,32.66972,32.38609,32.87063,33.94792,34.68511,35.03298,34.24728,33.68992,33.20513,33.01491,32.49040,32.32122,32.06333,31.91575,31.29624,30.84718,30.53872,31.65477,29.84540,29.09770,28.41889,28.02890,28.54485,29.08186,28.31245,27.44597,26.60891,26.53011,27.05861,26.34323
2018,Epping 66_11kV,06MAY2017,MW,26.56185,26.35649,25.21371,24.81109,24.59119,23.51397,22.73666,22.01558,21.50652,20.93368,20.37445,20.16867,19.76018,19.50490,19.10888,19.07948,19.07948,19.11912,18.95736,19.09201,19.05140,19.37094,19.47641,19.49660,20.39717,20.95610,21.39712,22.13077,23.33609,24.36469,25.09965,25.87974,26.82465,27.21928,28.06870,28.30560,28.54490,28.56616,28.86602,29.00526,28.80566,28.88620,29.10575,29.37869,28.56308,28.60695,28.04082,28.13266,28.34003,28.34968,28.55988,28.17553,28.02863,28.07486,27.94061,28.32929,28.21377,27.92388,27.84212,27.77702,27.92627,27.93688,27.85937,27.88552,27.80825,27.80825,27.80825,27.80825,27.80825,27.80825,27.80825,31.93513,31.73765,31.43416,30.75977,30.34601,29.71142,29.42736,29.07267,28.78011,28.05311,27.79658,27.70813,27.66786,26.91163,26.59466,26.22893,25.66140,26.40300,26.99158,26.60725,25.59323,25.15692,25.46119,26.12097,25.34706
2018,Epping 66_11kV,07MAY2017,MW,25.86457,25.53734,24.42005,23.82496,23.83479,22.91997,22.09659,21.62438,20.65497,20.05546,19.57061,19.10459,18.91389,18.89284,18.63978,18.25070,18.44582,18.19634,18.19634,17.90243,18.20204,18.53763,18.70138,18.82904,19.45143,19.83086,19.92357,20.46360,21.22500,22.12209,22.68066,23.14587,24.09311,24.83387,25.62605,26.02458,26.45534,26.62458,27.12610,27.13081,27.12107,27.11944,27.13460,27.04619,26.92086,27.07500,26.76320,26.72975,26.88297,26.60666,26.89017,26.46682,26.76010,26.48903,26.22330,26.33989,26.49994,26.40296,26.40158,26.28129,26.27564,26.39872,26.60140,27.02960,27.25878,27.59307,27.70513,28.52692,29.46138,30.71008,32.20321,32.55284,32.77982,32.25162,32.23233,32.06781,31.39965,30.98690,30.86469,30.45217,29.80617,29.79483,29.77326,29.38607,29.17944,28.81885,28.20569,27.53460,28.25580,28.51377,27.80807,26.82179,26.00497,26.05841,26.40477,25.72037
2018,Epping 66_11kV,08MAY2017,MW,26.24558,26.00465,24.94427,24.73970,24.47886,23.45952,22.70931,21.93040,21.24835,20.70747,20.43634,20.21287,20.08506,19.66972,19.41754,19.12622,19.15156,19.19089,19.06293,19.42559,19.95452,20.28358,20.88832,22.21736,24.62802,26.52817,28.44662,29.82020,32.73521,35.38887,35.77112,35.74730,35.97622,35.73629,34.74792,34.41955,34.26477,34.10629,34.17687,33.80703,33.61433,33.27505,32.84400,32.77746,32.41684,32.25209,32.13842,32.57309,32.62959,32.20837,32.06642,32.42132,32.85623,32.27869,31.68600,32.26186,32.03082,31.59118,31.51795,31.65884,31.70264,31.48231,31.47481,32.01574,32.36235,32.80760,33.21669,33.98676,35.18215,36.43055,37.48540,38.49063,38.10753,37.91862,37.78902,37.76678,37.14893,36.69884,36.45214,36.26504,35.85744,35.00552,34.26629,33.82908,33.56567,32.92789,32.08857,31.06954,31.39781,31.47101,30.47085,29.13449,28.12026,28.00270,28.02603,27.37927
2018,Epping 66_11kV,09MAY2017,MW,27.54982,27.06852,25.95259,25.69911,25.46074,24.31971,23.53679,22.82536,22.03257,21.65670,21.34650,20.96350,20.95393,20.32669,20.11873,19.77232,19.94366,20.11835,20.11347,20.12942,20.77030,21.16051,22.01188,23.23072,25.35026,27.33218,29.21404,30.92842,33.72007,35.94495,36.71168,36.73894,36.69798,36.47060,36.09848,35.72700,34.71339,34.71231,34.31370,34.31457,33.70849,32.86823,32.36392,31.87460,32.33456,32.34945,32.05292,31.98628,32.42387,32.35103,32.65116,32.33739,32.57836,32.49562,32.22562,32.17187,31.94652,31.73228,31.70949,31.81398,31.71431,31.98811,32.19378,32.27881,32.49771,32.91397,33.28544,33.87945,34.60688,36.54810,37.43132,38.12683,37.48830,37.34424,37.35957,37.33280,36.84013,36.62722,36.61989,36.37965,35.69187,35.50666,34.88905,34.59711,34.23957,33.14363,32.53452,31.58124,31.53066,31.67889,30.94571,30.16575,29.12806,28.90045,29.42324,28.45718
2018,Epping 66_11kV,10MAY2017,MW,28.69978,28.04440,26.94818,26.57124,26.32469,25.18548,24.27089,23.60485,22.84002,22.29574,21.79867,21.51237,21.20309,20.86225,20.73559,20.54364,20.34625,20.70557,20.73369,20.73369,21.13919,21.55862,22.23062,23.69366,25.75191,27.88557,29.75587,31.07649,34.24087,36.45603,37.22541,36.78450,36.71026,36.21368,35.50633,35.05128,34.45595,34.25666,33.74892,33.52398,33.65712,33.13388,32.81895,32.02578,32.24038,32.42627,32.38314,32.54397,32.16395,32.14761,32.57683,32.84025,32.95009,33.09349,32.38266,32.09474,31.96967,31.82828,31.63387,31.79839,31.57679,31.43865,31.64826,32.22089,32.26986,32.70958,33.35792,33.67818,34.82971,36.20154,37.05787,37.64591,37.17800,36.96539,36.76351,36.68006,35.82531,35.91450,35.57240,35.39374,34.94417,34.24762,33.79890,33.70012,33.38562,32.66738,32.00187,31.34324,31.36985,31.71825,31.12678,29.83201,28.59293,28.38690,28.45289,27.80379
