year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Erina 66_11kV,01MAY2015,MW,11.80379,13.42023,12.76238,11.59703,11.14593,11.05195,12.01054,11.22112,10.43169,9.54829,9.09719,8.47692,8.32656,8.06342,7.98823,7.66870,7.81907,7.91305,7.66870,7.66870,8.13860,8.45813,8.70247,9.02200,9.47310,10.50687,11.08955,11.27750,11.12714,11.54065,12.08573,12.44285,12.85635,13.28866,13.90892,14.75473,15.13065,15.31861,15.24343,15.03667,15.03667,14.86751,15.20583,15.16824,15.13065,15.11186,15.13065,15.43138,15.29981,15.13065,15.26222,14.99908,14.79233,14.98028,14.90510,14.94269,15.01788,14.71714,14.88631,15.22463,15.24343,15.35620,15.54416,15.29981,14.99908,15.35620,15.56296,16.25840,16.69071,17.14181,17.12301,16.99144,16.55914,16.31479,15.82610,15.43138,14.75473,14.24725,13.83374,13.40143,13.70217,13.13829,13.36384,12.61201,12.87515,12.19850,11.95415,11.52185,11.05195,11.97295,12.36766,11.87897,12.46164,12.06693,13.11950,12.51803
2016,Erina 66_11kV,02MAY2015,MW,12.10452,13.53300,12.81876,11.54065,11.10834,10.82640,11.76620,10.99557,10.09337,9.54829,8.90923,8.36415,8.17619,7.96944,7.70629,7.31158,7.46195,7.53713,7.33038,7.63111,7.87546,7.70629,7.95064,8.10101,8.68368,8.92802,9.07839,9.43551,9.34153,9.45431,9.98059,10.65724,11.33389,11.69101,12.21730,13.34505,14.56678,14.75473,14.64196,14.90510,15.05547,14.96149,15.56296,15.97646,15.97646,15.90128,15.46898,15.33741,15.33741,15.76971,15.97646,15.97646,15.92008,16.01406,15.69453,15.39379,15.45018,15.41259,15.33741,15.13065,15.56296,15.71332,15.71332,15.69453,15.24343,15.43138,15.52536,15.86369,15.45018,15.31861,15.07426,15.26222,15.16824,14.79233,14.66076,14.32243,13.70217,13.23227,12.83756,12.57442,12.87515,12.33007,12.72478,12.06693,12.29248,11.78499,11.50305,11.03316,10.90159,11.84138,12.42405,11.87897,12.89395,12.53683,13.70217,12.96913
2016,Erina 66_11kV,03MAY2015,MW,12.36766,13.68337,12.79997,11.93536,11.29630,11.18352,11.78499,11.12714,10.18735,9.69865,9.20996,8.45813,8.10101,8.10101,8.10101,7.91305,7.74389,7.74389,7.57472,7.46195,8.45813,8.68368,8.57090,8.57090,8.74007,9.17237,9.47310,9.51070,9.43551,9.71745,10.14975,10.71363,11.14593,11.69101,12.36766,12.87515,13.25107,13.87133,14.58557,15.58175,15.90128,16.16442,16.33359,16.63432,16.97264,16.63432,16.57793,16.57793,16.52154,16.55914,16.72830,16.82228,16.82228,16.74709,16.89746,16.70950,16.54034,16.35238,16.52154,16.57793,16.57793,16.57793,16.12683,15.65693,15.54416,15.31861,15.45018,15.92008,15.84489,16.14563,16.29599,16.67191,16.33359,16.14563,15.78851,15.33741,15.01788,14.41641,13.98411,13.62698,14.19086,13.64578,13.62698,13.10070,13.06311,12.46164,12.08573,11.65342,11.59703,12.53683,13.32625,12.59321,13.49541,12.95033,14.26604,13.60819
2016,Erina 66_11kV,04MAY2015,MW,13.04431,14.66076,13.96531,12.68719,12.21730,12.06693,12.91274,12.12332,11.22112,10.58206,9.88661,9.45431,8.81525,8.42054,8.34535,8.30776,8.11980,8.08221,8.27017,8.19499,8.66488,9.13478,9.60467,9.67986,10.50687,10.92038,11.57824,12.08573,11.52185,12.16091,12.85635,13.21348,13.70217,14.13447,14.51039,14.82992,15.67573,15.84489,15.88248,15.88248,15.71332,15.65693,16.12683,16.29599,16.25840,16.31479,16.22081,16.33359,16.84107,16.78469,16.69071,16.67191,16.35238,16.38997,16.54034,16.31479,16.69071,16.44636,16.54034,16.27720,16.10803,16.37118,16.55914,16.87866,16.87866,17.06662,17.29217,17.61170,17.51772,17.63050,17.89364,17.48013,17.02903,16.87866,16.48395,16.07044,15.61934,15.05547,14.82992,14.39761,14.81112,14.28484,14.51039,13.83374,13.81494,12.98793,12.63080,12.14211,11.82258,12.72478,13.47662,12.79997,13.45782,12.91274,14.13447,13.55180
2016,Erina 66_11kV,05MAY2015,MW,13.02552,14.77353,13.96531,12.59321,12.06693,11.80379,12.72478,12.10452,10.86400,10.07457,9.58588,9.00321,8.62729,8.51452,8.42054,8.19499,8.19499,8.19499,8.19499,8.27017,8.70247,8.87164,9.22876,9.79263,10.52567,11.14593,11.70981,12.48044,11.67222,12.38646,12.64960,13.02552,13.25107,13.30745,13.90892,14.58557,15.07426,14.98028,15.09306,15.16824,15.16824,15.11186,15.63814,16.12683,16.31479,16.33359,16.29599,16.14563,16.37118,16.27720,16.46516,17.02903,16.91626,16.91626,16.85987,16.76589,16.67191,16.63432,17.17940,17.34856,17.36736,17.29217,17.42374,17.42374,17.42374,17.21699,17.25458,17.29217,16.93505,17.32976,17.34856,16.89746,16.54034,16.07044,15.75091,15.45018,15.07426,14.64196,14.26604,13.94651,14.39761,13.72096,13.75855,13.21348,13.43903,12.68719,12.12332,11.82258,11.44667,12.70599,13.34505,12.55562,13.25107,12.68719,13.94651,13.36384
2016,Erina 66_11kV,06MAY2015,MW,12.79997,14.37882,13.68337,12.27368,11.70981,11.48426,12.49923,11.59703,10.82640,10.01818,9.58588,9.07839,8.70247,8.66488,8.32656,8.17619,8.25137,8.32656,8.32656,8.36415,8.85284,9.04080,9.34153,9.75504,10.54447,11.55944,12.17970,12.64960,12.19850,12.61201,12.81876,13.26986,13.34505,13.81494,14.13447,14.79233,15.39379,15.33741,15.05547,14.84871,14.69835,14.51039,14.58557,14.32243,14.20966,14.24725,14.24725,14.22845,14.47280,14.30363,14.52918,14.58557,14.75473,14.84871,14.94269,15.07426,14.82992,14.82992,15.05547,15.14945,15.24343,15.14945,15.31861,15.33741,15.60055,15.63814,15.92008,16.31479,16.50275,17.14181,17.55531,17.53652,16.95385,16.80348,16.42756,16.25840,15.97646,15.67573,15.60055,15.45018,15.90128,15.05547,15.31861,14.39761,14.66076,13.79615,13.45782,12.87515,12.49923,13.40143,14.11568,13.42023,14.32243,13.47662,14.96149,14.28484
2016,Erina 66_11kV,07MAY2015,MW,13.49541,15.18704,14.28484,13.28866,12.72478,12.55562,13.36384,12.48044,11.65342,10.93918,10.01818,9.54829,9.13478,8.96562,8.72127,8.62729,8.62729,8.62729,8.62729,8.62729,9.00321,9.47310,9.77384,10.41290,11.37148,12.17970,13.04431,13.75855,13.19468,13.85253,14.39761,14.64196,14.75473,14.75473,14.98028,15.86369,16.42756,16.46516,15.88248,15.50657,15.37500,15.18704,15.03667,14.81112,14.77353,14.75473,14.79233,14.73594,14.82992,14.52918,14.41641,14.47280,14.67955,14.82992,14.79233,14.84871,14.64196,14.98028,15.09306,15.14945,15.33741,15.20583,15.26222,15.58175,15.84489,15.76971,15.93887,16.29599,17.08542,17.74327,18.73945,19.19055,19.34092,19.34092,19.32212,19.02139,18.70186,18.43872,17.98762,17.66809,18.19437,17.55531,17.61170,16.72830,16.40877,15.14945,14.79233,13.83374,13.28866,14.26604,14.77353,13.89013,14.86751,14.09688,15.22463,14.34123
2016,Erina 66_11kV,08MAY2015,MW,13.73976,15.50657,14.77353,13.43903,12.87515,12.68719,13.60819,12.64960,11.78499,10.84520,10.28132,9.81143,9.39792,9.13478,8.92802,8.60849,8.58970,8.58970,8.60849,8.92802,9.19117,9.43551,10.09337,10.52567,11.50305,12.42405,13.19468,13.85253,13.83374,14.39761,15.05547,15.29981,15.05547,15.28102,15.61934,16.27720,16.93505,16.70950,16.22081,15.78851,15.75091,15.61934,15.11186,14.98028,14.69835,14.56678,14.51039,14.66076,14.58557,14.56678,14.58557,14.56678,14.73594,14.86751,14.67955,14.73594,14.75473,14.62316,14.82992,14.99908,14.92390,14.94269,15.01788,15.46898,15.52536,15.73212,16.14563,16.50275,16.69071,17.70568,18.45751,18.58909,18.28835,18.28835,17.98762,17.85605,17.17940,16.37118,16.16442,15.90128,16.31479,15.88248,16.12683,15.65693,15.73212,14.92390,14.43521,13.89013,13.70217,14.56678,14.77353,13.90892,14.79233,14.15327,15.45018,14.77353
2016,Erina 66_11kV,09MAY2015,MW,14.02170,15.63814,14.81112,13.70217,13.06311,12.87515,13.68337,12.64960,11.74740,10.93918,10.52567,9.83022,9.37912,9.20996,8.89043,8.89043,8.62729,8.38294,8.30776,8.42054,8.58970,8.92802,8.92802,9.07839,9.64227,10.31892,11.05195,11.50305,11.93536,12.79997,13.40143,13.89013,14.56678,14.82992,15.58175,16.22081,16.97264,16.37118,16.22081,15.84489,15.48777,15.24343,15.18704,14.96149,14.49159,14.07808,14.07808,14.07808,14.11568,13.98411,13.66458,14.00290,13.89013,13.81494,13.70217,13.70217,13.85253,13.89013,14.00290,14.32243,14.32243,14.32243,14.20966,14.47280,14.75473,15.13065,15.16824,15.31861,15.48777,15.76971,16.31479,16.38997,16.25840,16.07044,16.01406,15.92008,15.43138,15.13065,14.96149,14.52918,15.11186,14.47280,14.77353,14.30363,14.75473,14.15327,13.68337,12.95033,12.85635,13.87133,14.52918,13.72096,14.51039,14.15327,15.43138,14.66076
2016,Erina 66_11kV,10MAY2015,MW,14.13447,15.58175,14.94269,13.72096,13.32625,13.10070,13.85253,12.95033,11.95415,11.14593,10.60085,9.86782,9.22876,9.11598,8.72127,8.43933,8.28897,8.27017,8.27017,8.62729,8.58970,8.77766,8.77766,8.79645,9.34153,9.62347,10.13096,10.73242,10.73242,11.35269,12.01054,12.81876,12.98793,13.26986,13.57060,13.49541,14.04049,13.96531,14.32243,15.41259,15.46898,15.11186,14.79233,14.56678,14.20966,13.75855,13.75855,13.45782,13.89013,14.04049,14.17206,14.17206,14.32243,13.90892,13.47662,13.68337,13.23227,13.10070,13.19468,13.92772,14.04049,14.07808,13.94651,13.96531,13.68337,13.45782,13.81494,14.00290,14.24725,15.11186,15.71332,15.99526,15.93887,15.41259,15.73212,15.54416,15.18704,14.94269,14.75473,14.49159,15.11186,14.32243,14.56678,14.24725,14.17206,13.51421,12.87515,12.27368,11.84138,12.93154,13.49541,12.81876,13.68337,13.21348,14.81112,14.07808
