year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Five Dock 33_11kV,01MAY2016,MW,14.23812,13.86877,13.18549,13.00082,12.72382,12.11440,11.74506,11.19105,10.87711,10.61857,10.30463,10.21229,10.13842,9.99069,9.71368,9.56595,9.52901,9.51054,9.51054,9.51054,9.51054,9.65828,9.84295,10.06456,10.37850,10.63704,10.98791,10.89558,11.52346,12.22520,12.87155,13.33323,14.09038,14.75519,15.62315,15.73395,16.02942,16.43570,16.82351,17.19285,17.59912,17.82073,17.91306,17.93153,17.72839,17.67299,17.61759,17.52526,17.37752,17.41445,16.78657,16.62037,16.56497,16.60190,16.32490,16.45417,16.69424,16.41723,16.45417,16.19563,16.12176,16.08482,16.06636,16.34336,16.69424,16.45417,16.52803,16.97124,17.58066,18.43014,19.77824,20.42459,20.94166,21.07093,21.16327,20.90473,20.47999,19.94444,19.57510,19.22423,18.79948,18.43014,18.11620,17.78379,17.54372,17.10051,16.62037,16.02942,15.97402,16.02942,15.36461,14.68133,13.86877,13.77644,13.85031,13.18549
2017,Five Dock 33_11kV,02MAY2016,MW,13.24089,12.83462,12.13287,12.04053,12.15134,11.61579,11.06178,10.60010,10.21229,10.02762,9.75062,9.75062,9.73215,9.49208,9.47361,9.39974,9.19660,9.39974,9.47361,9.75062,10.10149,10.74784,10.96944,11.67119,12.70535,13.72104,14.53359,15.38307,16.36183,17.21132,17.46985,17.26672,17.46985,17.30365,16.80504,16.58343,16.62037,16.58343,16.41723,16.38030,16.28796,16.12176,16.01096,16.01096,16.04789,15.91862,16.23256,16.17716,16.30643,16.50957,16.78657,16.71270,16.56497,16.45417,16.50957,16.50957,16.50957,16.63884,16.87891,16.73117,16.71270,16.74964,17.15591,17.54372,17.80226,18.07927,18.22700,18.63328,19.40890,20.35072,21.45874,21.97582,22.21589,22.25283,22.32670,22.08662,21.82808,21.47721,21.21867,21.03400,20.49845,19.70437,19.39043,18.92875,18.70715,18.00540,17.39599,16.87891,17.00818,16.52803,15.60468,15.03220,14.25658,14.16425,13.94264,13.48097
2017,Five Dock 33_11kV,03MAY2016,MW,13.33323,13.01929,12.31754,12.33601,12.22520,11.67119,11.15411,10.67397,10.45237,9.97222,9.73215,9.62135,9.69522,9.54748,9.38127,9.38127,9.38127,9.63981,9.65828,9.78755,10.32310,10.80324,11.11718,11.98513,13.13009,14.05345,14.95833,15.97402,16.62037,17.43292,17.78379,17.69146,17.61759,17.39599,17.17438,17.17438,16.71270,16.54650,16.73117,16.50957,16.49110,16.49110,16.38030,16.23256,16.01096,16.04789,16.04789,16.14022,16.19563,16.30643,16.17716,16.32490,16.34336,16.38030,16.25103,16.26949,16.23256,16.34336,16.32490,16.49110,16.60190,16.58343,16.73117,17.15591,17.17438,17.52526,17.83920,18.19007,18.72562,19.64897,21.01553,21.66188,21.95735,21.99429,22.23436,22.10509,21.69881,21.42181,21.23714,20.83086,20.35072,19.94444,19.42736,19.02109,18.65175,18.13467,17.52526,16.89737,16.86044,16.62037,15.91862,14.92140,14.20118,14.09038,13.96111,13.40710
2017,Five Dock 33_11kV,04MAY2016,MW,13.20396,12.87155,12.20674,12.07747,11.85586,11.33878,10.96944,10.58163,10.21229,9.84295,9.54748,9.54748,9.63981,9.36281,9.28894,9.34434,9.19660,9.27047,9.52901,9.65828,10.19383,10.76631,11.32032,11.83740,12.92695,13.70257,14.55206,15.32767,16.38030,17.35905,17.93153,17.85766,17.89460,17.59912,17.21132,16.84197,17.24825,16.93431,16.62037,16.84197,16.67577,16.56497,16.60190,16.56497,16.47263,16.41723,16.43570,16.45417,16.34336,16.39876,16.45417,16.45417,16.54650,16.45417,16.67577,16.76811,16.87891,17.13745,17.02664,16.93431,16.73117,16.82351,17.15591,17.30365,17.56219,17.78379,18.00540,18.50401,18.92875,19.90751,21.10787,21.75422,21.95735,21.84655,21.68035,21.71728,21.75422,21.60648,20.84933,20.83086,20.55386,19.90751,19.64897,19.27963,18.87335,18.22700,17.61759,17.19285,16.80504,16.41723,15.75242,14.99527,14.23812,14.31198,14.34892,13.57330
2017,Five Dock 33_11kV,05MAY2016,MW,13.40710,13.16703,12.33601,12.20674,11.91126,11.59732,11.02484,10.56317,10.15689,9.78755,9.76908,9.67675,9.63981,9.49208,9.34434,9.34434,9.38127,9.39974,9.39974,9.80602,10.11996,10.74784,11.28338,11.96667,12.92695,13.75797,14.82906,15.71548,16.45417,17.19285,17.56219,17.70993,17.61759,17.46985,16.97124,16.73117,16.56497,16.69424,16.58343,16.58343,16.28796,16.15869,16.06636,15.95555,15.99249,15.86322,15.84475,16.21409,16.10329,16.08482,16.08482,16.08482,16.17716,16.32490,16.23256,16.23256,16.36183,16.49110,16.45417,16.39876,16.47263,16.47263,16.67577,16.89737,17.28518,17.35905,17.58066,18.00540,18.59635,19.64897,20.75699,21.29254,21.38487,21.55108,21.80962,21.58801,21.53261,21.16327,21.10787,20.75699,20.62772,20.23992,20.12911,19.42736,18.91029,17.95000,17.74686,17.26672,17.19285,16.80504,16.08482,15.38307,14.44125,14.44125,14.27505,13.62870
2017,Five Dock 33_11kV,06MAY2016,MW,13.59177,13.29630,12.52068,12.39141,12.28061,11.56039,11.26492,10.78477,10.52623,10.28616,10.06456,9.76908,9.76908,9.60288,9.52901,9.36281,9.27047,9.32587,9.62135,9.73215,10.15689,10.69244,11.30185,11.80046,13.00082,13.61024,14.60746,15.58621,16.65730,17.28518,17.72839,17.78379,17.96847,17.58066,17.24825,17.13745,16.91584,16.87891,16.62037,16.56497,16.47263,16.39876,16.45417,16.45417,16.41723,16.38030,16.39876,16.30643,16.43570,16.54650,16.58343,16.43570,16.25103,16.15869,16.52803,16.45417,16.54650,16.60190,16.62037,16.54650,16.45417,16.60190,16.82351,16.91584,17.32212,17.32212,17.76533,18.07927,18.63328,19.51970,20.92320,21.27407,21.08940,21.03400,20.97860,20.70159,20.62772,19.92598,19.70437,19.42736,18.94722,18.72562,18.43014,18.07927,17.63606,17.24825,17.11898,16.58343,16.65730,16.49110,15.84475,15.21687,14.68133,14.45972,14.66286,13.99804
2017,Five Dock 33_11kV,07MAY2016,MW,14.10885,13.73950,13.07469,12.85309,12.66841,12.07747,11.67119,11.15411,10.63704,10.28616,9.97222,9.97222,9.87989,9.78755,9.62135,9.38127,9.43668,9.36281,9.52901,9.60288,9.78755,10.06456,10.17536,10.52623,11.11718,11.30185,11.59732,12.29907,12.59455,13.44403,14.12731,14.95833,15.53081,15.97402,16.52803,16.60190,17.22978,17.13745,17.13745,16.97124,17.04511,17.00818,17.06358,16.89737,16.73117,16.62037,16.52803,16.54650,16.47263,16.36183,16.67577,16.50957,16.45417,16.19563,16.12176,15.97402,16.02942,16.15869,15.90015,16.10329,16.32490,16.39876,16.34336,16.52803,16.74964,17.00818,17.43292,18.00540,18.65175,19.66744,20.70159,21.08940,20.92320,20.72006,20.53539,20.20298,19.81517,19.26116,19.00262,18.65175,18.30087,18.15314,17.59912,17.41445,17.08205,16.80504,16.47263,16.25103,16.34336,16.08482,15.56775,15.12454,14.55206,14.73673,14.79213,14.10885
2017,Five Dock 33_11kV,08MAY2016,MW,14.10885,13.68410,13.01929,13.03776,12.90849,12.33601,12.02207,11.37572,10.87711,10.50777,10.37850,10.10149,10.00916,9.87989,9.58441,9.52901,9.43668,9.34434,9.38127,9.65828,9.43668,9.71368,9.93529,9.99069,10.45237,10.85864,10.87711,10.96944,11.50499,12.24367,12.68688,13.48097,14.16425,14.90293,15.43848,15.80782,16.10329,16.60190,16.95278,17.19285,17.52526,17.41445,17.48832,17.35905,17.34058,17.30365,16.97124,16.73117,16.62037,16.56497,16.47263,16.50957,16.10329,15.77088,15.78935,15.84475,15.78935,15.77088,15.69701,15.71548,15.73395,15.64161,15.80782,16.19563,16.30643,16.67577,17.24825,17.69146,18.37474,19.31656,20.07371,20.44305,20.68313,20.72006,20.66466,20.49845,20.14758,19.94444,19.66744,19.20576,19.05802,18.79948,18.43014,18.04233,17.63606,17.35905,16.93431,16.39876,16.26949,16.12176,15.36461,14.82906,14.05345,14.10885,14.05345,13.38863
2017,Five Dock 33_11kV,09MAY2016,MW,13.46250,13.11162,12.40988,12.28061,12.02207,11.59732,11.13565,10.61857,10.28616,10.00916,9.75062,9.67675,9.75062,9.63981,9.56595,9.38127,9.38127,9.58441,9.63981,9.69522,10.11996,10.71090,10.95098,11.83740,12.79768,13.72104,14.81060,15.58621,16.60190,17.65453,18.44861,18.13467,18.07927,18.17160,18.00540,18.09773,18.15314,17.93153,17.70993,17.45139,17.72839,17.54372,17.67299,17.70993,17.56219,17.65453,17.69146,17.67299,17.74686,17.89460,17.85766,17.59912,17.70993,17.35905,16.98971,16.97124,17.10051,17.41445,17.28518,17.10051,17.35905,17.45139,17.63606,17.91306,18.04233,18.13467,18.35627,18.78102,19.64897,20.64619,21.68035,22.41903,22.80684,23.04691,22.95458,22.51137,22.27129,22.10509,21.79115,21.29254,20.72006,20.23992,19.83364,19.26116,18.72562,17.91306,17.85766,17.19285,17.02664,16.49110,15.69701,15.05067,14.16425,14.18271,14.10885,13.20396
2017,Five Dock 33_11kV,10MAY2016,MW,13.31476,12.92695,12.24367,12.07747,11.98513,11.59732,11.20952,10.67397,10.37850,9.93529,9.73215,9.95375,9.62135,9.39974,9.38127,9.28894,9.34434,9.45514,9.51054,9.71368,10.15689,10.65550,11.26492,11.89280,13.05622,13.94264,14.88446,15.71548,16.84197,17.46985,18.07927,17.85766,17.61759,17.43292,17.06358,16.89737,17.08205,16.74964,16.47263,16.50957,16.63884,16.49110,16.56497,16.36183,16.26949,16.15869,16.26949,16.25103,16.25103,16.23256,16.36183,16.32490,16.26949,16.14022,16.15869,15.99249,16.06636,16.26949,16.23256,16.36183,16.39876,16.30643,16.54650,16.89737,17.15591,17.56219,17.69146,18.20854,19.22423,20.09218,20.99707,21.60648,21.82808,22.04969,21.86502,22.19743,21.80962,21.42181,21.36641,20.77546,20.46152,20.16605,19.59357,19.13189,18.59635,18.11620,17.56219,17.21132,16.86044,16.38030,15.86322,15.05067,14.09038,13.73950,13.73950,13.73950
