year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Flemington 132_11kV,01MAY2015,MW,35.46479,34.59626,34.01724,33.76392,33.80011,35.44669,35.82667,35.55526,35.35622,35.10290,34.37913,34.34294,34.59626,35.08481,34.48769,34.86767,34.83149,34.95815,34.90386,35.95333,36.85804,37.36468,38.16083,39.21030,41.38161,42.26823,43.29961,43.75197,44.85572,46.23088,47.02703,47.20797,47.71461,47.55176,48.04031,48.13078,48.49267,49.32500,49.28881,49.50595,49.30691,49.30691,49.45166,49.19834,48.23935,47.20797,46.82799,46.24898,46.50230,45.94137,46.32135,46.59277,46.37564,46.41182,46.42992,46.01375,45.83281,46.23088,45.41664,46.12232,46.08613,46.06803,45.48902,44.83762,44.63858,44.85572,44.40336,43.73387,43.39008,43.44436,44.40336,44.58430,43.33580,43.35389,42.25014,42.12348,41.30924,40.62165,40.06073,39.86170,39.04745,39.60838,39.44553,39.15602,38.35987,37.21993,36.98470,36.45997,35.73620,35.86286,35.39241,35.46479,34.84958,34.56007,34.43341,34.12581
2016,Flemington 132_11kV,02MAY2015,MW,34.30675,33.52870,32.18972,32.02687,32.33448,32.11734,31.88212,31.73736,31.53833,31.26691,30.95931,30.92312,30.74218,30.72408,30.07269,30.09078,30.36220,30.30792,30.34410,30.65171,30.88693,31.10406,30.76027,31.21263,31.52023,32.42495,32.09925,31.95450,32.66017,32.87730,33.02206,33.11253,33.81821,34.07153,34.43341,34.59626,34.79530,35.21147,35.15718,35.28384,35.30194,35.93524,36.20665,36.13427,36.13427,35.88095,36.04380,35.64573,35.75429,35.37431,35.77239,35.08481,34.83149,34.83149,34.52388,34.57817,33.96296,33.83630,33.60107,33.56489,33.83630,32.84112,33.13062,32.94968,33.05825,33.25728,32.91349,33.09444,33.23919,33.61917,34.37913,34.59626,34.70483,35.77239,35.37431,35.35622,34.95815,34.52388,34.72292,34.57817,34.27056,34.28866,33.76392,33.87249,33.87249,33.58298,33.20300,32.87730,32.91349,32.55161,32.37066,32.44304,31.97259,32.09925,32.22591,31.82784
2016,Flemington 132_11kV,03MAY2015,MW,31.61070,31.39357,30.66980,30.59742,30.32601,29.94603,29.92794,29.76509,29.45749,28.95085,28.67943,28.73371,28.51658,28.38992,28.55277,28.64324,28.80609,29.11369,29.07751,29.05941,29.42130,29.98222,30.14507,30.14507,31.08597,31.48404,31.10406,30.70599,30.85074,30.70599,30.94122,31.73736,32.73255,33.05825,33.42013,33.43823,33.89058,34.07153,33.78202,34.10771,34.28866,34.79530,34.88577,35.26575,35.01243,35.33813,35.28384,34.94005,35.10290,35.04862,34.83149,35.04862,34.75911,34.72292,34.95815,34.79530,35.10290,34.61435,34.25247,34.18009,33.70964,34.07153,34.05343,33.80011,33.92677,33.81821,34.10771,34.45151,34.77720,35.30194,35.88095,35.84477,35.97143,35.46479,35.04862,34.88577,34.61435,34.27056,34.46960,34.32485,34.41532,34.23437,34.34294,34.08962,34.12581,34.28866,34.03534,33.94487,34.08962,33.78202,33.34775,33.11253,32.94968,32.94968,32.98587,32.62398
2016,Flemington 132_11kV,04MAY2015,MW,33.04015,33.31157,32.75064,32.37066,32.64208,32.80493,32.15353,32.78683,33.00396,32.75064,32.69636,32.53351,32.85921,32.80493,32.56970,32.49732,33.02206,33.07634,33.45632,33.63726,34.30675,35.39241,36.69520,37.29231,39.49981,40.16930,39.69885,40.58547,42.50346,43.62531,44.38526,45.23570,45.63377,46.08613,46.24898,46.42992,46.84609,47.42510,47.87746,48.00412,47.85937,47.51557,48.09459,48.23935,48.74599,48.67361,49.21644,49.19834,49.23453,48.81836,48.81836,48.51076,49.21644,49.34310,49.90402,49.66879,49.50595,49.32500,48.99931,48.74599,48.36601,48.42029,48.16697,47.93174,48.05840,47.76889,47.67842,47.13560,46.15850,46.26707,45.72424,45.90518,45.07285,45.03666,44.91000,44.71096,43.96910,42.77487,42.44918,41.99682,41.99682,41.79778,41.36352,41.01973,40.22358,40.38643,39.87979,39.21030,38.43225,37.96180,37.23802,36.40569,36.24284,36.51425,35.93524,35.22956
2016,Flemington 132_11kV,05MAY2015,MW,34.77720,34.66864,34.30675,34.08962,34.68673,33.98105,33.70964,33.61917,33.45632,32.91349,33.16681,33.05825,32.94968,33.23919,33.32966,33.07634,33.00396,33.22110,33.81821,34.21628,35.37431,36.74948,36.78567,38.05227,40.65784,41.59875,42.01491,42.35871,43.84244,45.45283,46.30326,47.20797,47.49748,47.47939,47.51557,48.07650,49.19834,49.84974,50.48304,51.13443,51.18871,50.91730,51.00777,51.13443,51.18871,51.64107,51.35156,51.38775,52.43722,52.43722,52.40103,52.32865,52.61816,53.61335,54.04761,53.05242,52.87148,52.27437,52.40103,51.65916,51.87630,51.93058,52.11152,51.27918,50.37447,49.72308,48.87265,49.08978,48.61933,48.07650,47.55176,46.86418,45.86900,45.52520,45.36236,44.53002,44.18623,43.19104,42.61203,42.25014,41.77969,41.85207,41.25495,41.00163,40.47690,40.00645,39.91598,38.97508,38.63128,37.96180,37.21993,36.80376,35.88095,35.28384,34.75911,34.46960
2016,Flemington 132_11kV,06MAY2015,MW,34.68673,34.77720,34.43341,34.08962,34.19819,33.27538,33.13062,33.11253,33.42013,32.94968,33.22110,32.66017,32.47923,32.78683,32.24400,32.75064,32.91349,32.73255,32.85921,33.78202,34.79530,35.50097,36.22475,37.32850,39.49981,40.51309,41.30924,42.08729,43.39008,44.13194,44.83762,45.47092,46.61086,46.61086,46.59277,46.79180,47.67842,48.25744,48.00412,48.60123,48.89074,48.83646,48.61933,49.14406,49.03549,48.72789,48.47457,48.05840,47.89555,47.94984,48.32982,48.51076,47.91365,47.56986,46.91846,47.06322,47.11750,47.22607,46.82799,46.15850,46.35754,46.79180,46.32135,46.39373,46.12232,45.39854,45.18141,45.57949,45.34426,45.30807,45.25379,45.50711,44.60240,44.25860,43.46246,43.24533,42.43108,42.06920,41.36352,40.87497,40.58547,40.40452,39.98836,40.25977,39.82551,39.66266,39.02936,38.73985,38.43225,37.85323,37.36468,36.62282,36.56854,36.64091,35.73620,35.17528
2016,Flemington 132_11kV,07MAY2015,MW,35.12099,34.48769,33.85439,34.10771,33.87249,33.36585,33.11253,32.98587,32.26210,32.49732,32.53351,32.38876,32.58780,32.02687,31.62880,32.02687,32.13544,32.04497,32.55161,33.45632,35.44669,35.50097,36.22475,37.49134,39.28268,41.00163,42.35871,43.37199,45.07285,46.24898,46.52039,46.55658,47.51557,47.87746,47.84127,47.91365,48.25744,47.29844,47.29844,47.53367,48.05840,48.25744,47.80508,47.64223,47.62414,46.93656,46.77371,47.17178,47.78699,47.06322,45.83281,46.52039,47.80508,47.56986,47.85937,48.04031,47.24416,47.11750,47.04512,46.82799,46.66514,46.23088,45.61568,46.32135,45.92328,45.65186,45.10904,44.89190,44.78334,44.49383,45.18141,45.30807,44.83762,43.86053,42.82916,42.66631,42.08729,41.68922,41.41780,40.67594,39.98836,39.68075,39.15602,39.26458,39.13792,38.39606,38.50462,38.30559,37.96180,37.65419,37.07518,36.58663,36.07999,36.17046,35.86286,35.04862
2016,Flemington 132_11kV,08MAY2015,MW,34.95815,35.13909,35.08481,34.74101,34.43341,34.59626,33.58298,33.52870,33.65536,33.67345,33.43823,33.90868,34.07153,33.29347,33.54679,33.14872,33.43823,33.09444,32.93159,33.94487,35.32003,35.91714,36.26093,37.21993,39.53600,40.65784,41.43590,42.59393,44.13194,44.89190,44.98238,45.54330,45.74234,45.99566,45.95947,45.76043,45.32617,45.74234,46.26707,45.65186,45.68805,45.88709,45.50711,45.74234,46.15850,46.46611,46.64705,46.30326,45.72424,45.47092,45.36236,45.74234,45.05475,45.39854,45.01856,44.76524,45.09094,45.12713,45.23570,45.38045,44.43955,44.36717,44.72906,45.00047,44.02338,43.40817,43.89672,43.51674,42.91963,42.66631,42.55774,41.76159,41.20067,40.22358,39.95217,39.86170,39.80741,39.31887,38.25130,37.94370,37.94370,37.78085,37.79895,37.14755,36.42378,36.22475,35.53716,35.15718,34.99433,34.81339,33.92677,33.32966,32.87730,32.78683,32.35257,32.22591
2016,Flemington 132_11kV,09MAY2015,MW,32.02687,31.44786,31.14025,30.92312,30.88693,30.61552,29.98222,29.76509,29.27654,29.02322,28.96894,28.44421,28.29945,28.33564,28.71562,28.60705,28.40802,28.26326,28.58896,29.24035,29.40320,29.40320,29.31273,29.69271,30.63361,30.72408,30.99550,30.74218,30.99550,31.24882,31.33929,31.61070,31.90021,31.95450,31.91831,32.26210,32.06306,32.28019,32.17163,31.80974,32.00878,31.95450,31.93640,32.13544,31.90021,33.23919,33.09444,32.93159,32.87730,32.80493,32.51542,32.46114,32.46114,32.18972,31.86402,32.15353,32.11734,31.64689,31.79165,31.61070,31.21263,30.95931,31.57452,32.24400,32.40685,32.44304,32.20782,32.53351,33.18491,33.85439,34.01724,34.46960,35.01243,34.97624,34.57817,34.57817,34.18009,33.89058,33.87249,33.92677,33.42013,33.52870,33.49251,33.07634,33.16681,33.09444,32.76874,32.42495,32.29829,32.06306,31.86402,31.50214,31.48404,31.57452,31.30310,31.19454
2016,Flemington 132_11kV,10MAY2015,MW,31.01359,30.12697,29.74699,29.45749,29.45749,29.42130,28.80609,28.82419,28.44421,27.62996,27.91947,27.93757,27.62996,27.95566,27.55759,27.55759,27.99185,27.66615,27.79281,27.90138,28.46230,28.08232,28.49849,28.91466,29.47558,29.09560,29.07751,28.96894,29.07751,29.72890,29.40320,29.83746,30.03650,29.90984,30.57933,30.77837,30.76027,31.03169,31.15835,30.76027,30.83265,30.74218,30.32601,30.66980,30.48886,30.61552,30.50695,30.86884,30.56124,30.05460,29.87365,29.72890,30.09078,29.63843,29.63843,29.74699,29.74699,29.36701,29.63843,29.65652,30.34410,30.38029,30.48886,30.56124,31.03169,31.23072,30.94122,31.42976,32.15353,32.60589,33.32966,33.67345,34.03534,34.34294,34.28866,34.03534,34.01724,33.98105,33.85439,33.89058,33.45632,33.52870,33.38394,33.34775,33.25728,32.91349,33.05825,32.69636,33.13062,32.98587,32.89540,33.32966,33.25728,33.09444,33.22110,32.89540
