year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Galston 132_11kV,01MAY2017,MW,4.90947,4.90715,4.73132,4.80628,4.92278,4.67749,4.46444,4.07849,3.90804,3.75005,3.50864,3.43395,3.26600,3.18086,3.04269,3.04269,3.04269,3.04269,3.04269,3.14835,3.16496,3.23809,3.55503,3.71696,4.08669,4.42280,4.75581,4.78136,4.61647,4.68964,4.76660,4.76681,4.76079,4.57499,4.55275,4.56312,4.29059,4.21330,4.22692,4.14338,3.98941,3.91359,3.64561,3.66999,3.56876,3.37766,3.36722,3.26027,3.33151,3.31444,3.37766,3.50091,3.37766,3.42940,3.56390,3.41632,3.49551,3.47644,3.43349,3.43349,3.43349,3.43349,3.57676,3.71693,3.90804,3.90804,4.06681,4.30167,4.41771,4.67390,4.96389,5.32503,5.44334,5.44334,5.44334,5.34452,5.22002,5.22002,5.06044,5.02462,4.78352,4.74736,4.57799,4.57799,4.54377,4.31605,4.13135,4.13135,4.27219,4.30480,4.08025,3.93426,3.71263,4.11620,4.49899,4.42051
2018,Galston 132_11kV,02MAY2017,MW,4.64942,4.82857,4.48775,4.64113,4.67886,4.34820,4.10344,3.97293,3.65681,3.47166,3.28863,3.14324,2.93036,2.82965,2.93560,2.98686,2.98686,2.81606,2.76354,2.76354,2.80900,3.01756,3.29099,3.47917,3.72046,4.25849,4.55592,4.36577,4.19552,4.43841,4.43841,4.43841,4.46162,4.42251,4.19294,4.18718,4.12137,3.90893,3.79638,3.79638,3.79638,3.63791,3.59498,3.64950,3.39536,3.48809,3.57390,3.54515,3.54515,3.39627,3.37233,3.57306,3.47357,3.37766,3.55218,3.47681,3.55552,3.37766,3.39881,3.57306,3.45683,3.37766,3.57368,3.74850,3.82429,3.82429,3.89908,4.13562,4.34345,4.61413,4.89839,5.21060,5.46416,5.49917,5.49917,5.49917,5.49917,5.31682,5.27549,5.08045,5.08045,4.87524,4.74972,4.63381,4.45140,4.43841,4.41902,4.24301,4.41722,4.40395,4.20295,4.01969,3.94472,4.20803,4.47505,4.62394
2018,Galston 132_11kV,03MAY2017,MW,4.76068,4.82920,4.56367,4.62901,4.82922,4.58086,4.21307,3.93802,3.71263,3.56151,3.35606,3.19647,3.07060,3.07060,3.07060,3.02013,2.87520,2.87520,2.87520,2.94522,3.07060,3.21139,3.41321,3.54351,3.94344,4.29293,4.50460,4.54111,4.49831,4.80020,4.85713,4.80167,4.80003,4.71756,4.64915,4.61483,4.27211,4.21510,4.21510,4.42972,4.26256,4.07424,3.85436,4.09080,4.11078,4.07552,4.07118,4.29596,4.12662,4.28511,4.22673,4.10344,3.88455,4.08600,4.29884,4.25266,4.07552,4.07552,4.00714,3.85221,3.85221,4.04440,4.10344,4.14858,4.37462,4.52216,4.64086,4.91470,5.16172,5.42870,5.93702,6.08537,6.08537,6.08537,6.08537,6.10032,6.12085,6.15971,5.86246,5.83414,5.82111,5.56814,5.41542,5.33268,5.19211,5.05928,4.96879,4.84477,4.77339,4.97163,4.71473,4.55007,4.37899,4.61342,5.04259,4.82222
2018,Galston 132_11kV,04MAY2017,MW,4.94552,5.06755,4.77872,4.99388,5.06124,4.80384,4.51460,4.25968,3.91212,3.64752,3.47419,3.37766,3.27851,3.15434,3.15434,2.94971,2.93103,2.93103,2.93103,3.08860,3.33957,3.42951,3.57306,3.77336,3.98353,4.39697,4.90761,4.75917,4.65657,5.00909,5.13628,5.13628,5.02260,4.94087,4.77219,4.71756,4.58005,4.53700,4.32912,4.30037,4.44754,4.29884,4.27602,4.29884,4.21545,4.29081,4.49424,4.49424,4.49424,4.49424,4.38257,4.49396,4.29884,4.29884,4.29198,4.07552,4.17872,4.08867,4.18472,4.18210,3.90543,4.08957,4.14222,4.32675,4.49351,4.55007,4.63986,5.02462,5.40807,5.81377,6.00552,6.04809,6.05746,6.05746,6.05746,6.10814,5.93962,5.83414,5.86719,5.83414,5.71505,5.56580,5.52994,5.38779,5.13676,4.99670,4.97478,4.73623,4.62837,4.78978,4.51807,4.32531,4.15927,4.48174,4.91054,4.90858
2018,Galston 132_11kV,05MAY2017,MW,4.95740,5.06018,4.88505,4.90409,5.00375,4.70805,4.48244,4.22719,4.05568,3.80105,3.68472,3.52985,3.20893,3.19696,3.09851,3.09851,3.09851,2.98983,2.90311,3.03165,3.21987,3.35007,3.59768,3.88565,4.20662,4.53861,4.81881,4.84415,4.83424,4.94087,5.05913,5.04634,4.94559,4.86562,4.71756,4.71191,4.53277,4.39738,4.19439,4.03126,3.96322,3.79835,3.74055,3.67793,3.67457,3.54228,3.51723,3.51723,3.51723,3.51723,3.55815,3.57842,3.51723,3.51723,3.40904,3.41796,3.48932,3.48932,3.48932,3.48932,3.48932,3.49587,3.68472,3.84690,3.90401,4.10344,4.16078,4.26269,4.47632,4.90928,5.23734,5.40494,5.61082,5.61082,5.42190,5.43454,5.35959,5.35959,5.35959,5.26260,5.15296,4.96879,4.96879,4.96879,4.80553,4.69099,4.47462,4.35467,4.43342,4.54459,4.55007,4.36301,4.29021,4.56818,4.94868,5.02340
2018,Galston 132_11kV,06MAY2017,MW,5.04400,5.11343,4.80384,4.98513,5.08280,4.78788,4.42939,4.14936,3.99103,3.78193,3.57306,3.47454,3.34975,3.16031,3.12643,3.12643,3.12643,2.92747,2.90311,2.90311,2.90311,2.90311,2.97969,3.12643,3.32518,3.50131,3.63786,3.66413,3.68292,3.96308,4.01818,4.09097,4.18718,4.09392,4.10729,3.96387,3.96387,3.95641,3.88856,3.87052,3.95031,3.66807,3.38959,3.54515,3.44576,3.32183,3.32183,3.22873,3.09851,3.05035,2.87520,2.87520,2.87520,2.91536,3.06531,3.02284,3.11434,3.04910,3.05642,3.12643,3.12643,3.21699,3.43797,3.57306,3.57306,3.57306,3.57306,3.57306,3.57306,3.57306,4.21246,5.10836,5.13954,5.15112,5.08045,5.08045,4.94582,4.66790,4.66173,4.65327,4.43841,4.25736,4.17241,4.01969,4.01969,3.95084,3.82429,3.82429,4.06851,4.07552,4.18275,4.04761,3.95035,4.35568,4.60934,4.62994
2018,Galston 132_11kV,07MAY2017,MW,4.83704,4.99670,4.70806,4.87150,4.99956,4.58465,4.34143,4.11462,3.83029,3.62548,3.38558,3.25904,3.07060,3.07060,3.07060,2.95211,2.84728,2.84728,2.84728,2.81020,2.62397,2.79015,2.84728,2.84728,3.11958,3.20192,3.26600,3.38053,3.26600,3.48099,3.65681,3.72195,3.81988,3.85221,3.85221,3.85221,3.68209,3.65681,3.65681,3.65681,3.55472,3.46140,3.27131,3.26600,3.06770,3.04269,3.04269,3.04269,2.93678,2.96578,3.01821,2.95302,3.07060,2.96289,2.87520,2.87520,2.87520,2.91691,3.07060,3.07060,3.21206,3.20003,3.33794,3.48932,3.58876,3.78578,4.03185,4.28968,4.66910,4.99367,5.36522,5.60148,5.72416,5.82727,5.83414,5.74937,5.76010,5.62745,5.34553,5.22002,5.17733,5.02462,5.02462,4.89541,4.74182,4.63381,4.49255,4.41050,4.59834,4.61107,4.36221,4.18718,4.13961,4.42937,4.85037,4.81345
2018,Galston 132_11kV,08MAY2017,MW,4.95869,5.10836,4.90471,5.08168,5.16771,4.80645,4.52155,4.19352,3.92267,3.76949,3.56814,3.43349,3.24964,3.21017,3.19801,2.98686,2.98686,3.00658,3.18226,3.18226,3.35956,3.47468,3.84285,4.16532,4.44556,4.80734,5.23124,5.41632,5.46532,5.53456,5.67552,5.62343,5.68630,5.72248,5.61981,5.36238,5.28654,4.92233,4.93339,4.97593,4.74409,4.57549,4.44238,4.15290,4.07552,3.94417,3.81567,3.87759,3.80451,3.90804,3.91684,4.02217,4.06292,3.87113,3.65681,3.65681,3.65681,3.82123,3.88012,3.88012,3.89313,4.10344,4.10344,4.27125,4.55007,4.80483,5.09351,5.33479,5.50198,5.85383,6.23309,6.49202,6.61484,6.84317,6.71660,6.68142,6.57991,6.66225,6.56256,6.50409,6.41415,6.16594,5.82569,5.69781,5.52708,5.33167,5.30376,5.15328,5.18520,5.25058,4.92493,4.66173,4.49947,4.64427,4.99479,5.08701
2018,Galston 132_11kV,09MAY2017,MW,5.25944,5.38511,5.08024,5.15470,5.31488,4.96997,4.66757,4.33994,4.26107,4.04402,3.80732,3.60098,3.45063,3.37766,3.37766,3.37766,3.18433,3.18226,3.18226,3.28684,3.54916,3.68043,3.80957,4.09737,4.50436,4.95903,5.38240,5.44313,5.45243,5.90876,5.96193,5.95998,5.96301,5.99043,5.94580,5.94580,5.82947,5.67452,5.52708,5.36109,5.08005,4.81894,4.59485,4.36022,4.24301,4.16983,3.90685,3.82429,3.82429,3.82429,3.82429,3.75872,3.75959,3.71334,3.65681,3.58890,3.56309,3.65681,3.72431,3.73913,3.74951,3.90804,3.95416,4.10344,4.23312,4.51788,4.75453,5.07743,5.23352,5.65456,6.10218,6.42963,6.44826,6.60045,6.69949,6.69949,6.66994,6.47617,6.47617,6.29185,6.28077,6.17832,6.01010,5.86205,5.78145,5.50602,5.38228,5.22895,5.15113,5.10148,4.91030,4.70479,4.38986,4.73757,5.03940,5.00709
2018,Galston 132_11kV,10MAY2017,MW,5.34368,5.39160,5.22056,5.28478,5.33477,5.13233,4.78576,4.58229,4.21131,3.98001,3.71263,3.59726,3.48932,3.43271,3.26600,3.26600,3.26600,3.26600,3.26600,3.30430,3.48932,3.54481,3.96841,4.30122,4.62737,5.10077,5.47025,5.41864,5.44568,5.77668,5.88997,5.80946,5.79808,5.61008,5.47125,5.32634,5.21750,4.97257,4.72594,4.63010,4.50595,4.35224,4.29625,4.17655,4.07406,3.94850,3.88012,3.68650,3.65681,3.65681,3.65681,3.65681,3.55693,3.60803,3.58620,3.68472,3.52312,3.46140,3.60237,3.65681,3.65681,3.67304,3.68472,3.89996,4.07552,4.25624,4.55326,4.92894,5.15158,5.39553,5.82847,6.07202,6.31923,6.33660,6.49963,6.39203,6.30472,6.33660,6.33660,6.25277,6.12234,5.94580,5.78260,5.65789,5.44287,5.29081,5.13628,4.93417,4.87516,4.88194,4.56537,4.34942,4.16769,4.53747,4.82922,4.82922
