year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Gateshead 33_11kV,01MAY2017,MW,6.16647,5.69017,5.64199,6.23009,5.53771,5.14341,4.88996,5.10744,4.76652,4.59562,4.39606,4.33923,4.23621,4.24703,4.20446,4.33352,4.51367,4.81652,4.66151,4.75027,5.05435,5.44915,5.59076,5.95482,6.62887,6.89202,7.37959,7.52895,7.58053,7.98051,8.14622,8.21300,8.01187,7.98721,7.96577,7.68086,7.47607,7.70195,7.67735,7.56734,7.89631,7.48267,7.19001,7.31042,7.56402,7.01193,7.09288,7.28128,6.90368,7.04163,7.11558,7.02362,7.33116,7.40893,7.50612,7.41486,7.40789,7.27354,7.11072,7.00824,6.91481,6.83425,6.93309,7.06367,7.28479,7.54012,7.50551,7.72845,8.00671,8.51065,8.66720,8.28852,8.29581,8.19230,8.20182,8.15967,8.07324,7.85527,7.68487,7.50331,7.29909,7.06536,6.87690,6.67670,6.58337,6.57211,6.53752,6.33758,7.42287,7.49086,7.36152,7.02726,7.21367,6.88075,7.25924,7.68262
2018,Gateshead 33_11kV,02MAY2017,MW,7.81222,7.29345,6.89366,6.96359,6.75369,6.29254,6.15128,6.41345,5.93114,5.47709,5.20221,4.95767,4.84328,4.79803,4.62434,4.61328,4.72589,5.00348,4.98907,5.14847,5.24441,5.46261,5.62817,6.02812,6.50245,6.93052,7.48899,7.34650,7.41751,7.70792,7.85395,7.98497,8.19777,8.20326,8.30899,8.01201,8.17883,7.82345,7.57443,7.52861,7.57139,7.43786,7.37402,7.41706,7.42232,7.34410,7.44487,7.15476,6.91339,6.81523,7.15368,7.37052,7.40472,7.30337,7.54191,7.91236,7.88568,7.64028,7.31719,7.19317,7.09346,7.06308,7.09933,7.12787,7.13819,7.22216,7.31305,7.52647,7.85557,8.28999,8.69243,8.42934,8.46787,8.42955,8.35319,8.22496,8.04095,7.84867,7.69137,7.50761,7.20370,6.94431,6.78588,6.58958,6.34768,6.34341,6.39844,6.26404,7.42095,7.31826,7.29705,6.98236,6.99740,6.74136,6.95647,7.48297
2018,Gateshead 33_11kV,03MAY2017,MW,7.74772,7.33534,7.08709,7.23654,6.90349,6.44067,6.24396,6.52425,6.15684,5.68382,5.32123,5.10781,5.03874,4.98390,4.77672,4.80388,4.86566,4.95384,5.01888,5.08756,5.33470,5.47861,5.63016,5.81158,6.34202,6.79020,7.22462,7.28674,7.48491,7.83218,8.00922,8.10568,8.03014,8.08925,8.28204,8.21613,8.33662,8.39645,8.25554,8.18008,7.87695,7.42265,7.72955,7.76841,7.47056,7.65672,7.91536,7.78079,7.54215,7.45704,7.56277,7.89946,8.06473,7.98793,7.86612,7.90689,7.76873,7.66208,7.50396,7.52637,7.44970,7.42321,7.37217,7.47746,7.61774,7.83139,7.83798,8.15786,8.39504,8.98942,9.05178,8.77943,8.74067,8.75513,8.63418,8.64130,8.36521,8.45002,8.11867,7.97140,7.71618,7.50217,7.23722,7.05510,6.93988,6.78120,6.77523,6.50662,7.65206,7.53123,7.58184,7.28953,7.47794,7.12813,7.42494,7.74334
2018,Gateshead 33_11kV,04MAY2017,MW,7.95263,7.54163,7.21346,7.35565,7.03096,6.60232,6.34454,6.67791,6.18512,5.86465,5.48506,5.31450,5.12826,5.01192,4.95075,4.86344,4.92314,5.00307,5.06418,5.18537,5.39370,5.62787,5.79071,5.99355,6.55061,7.09683,7.44217,7.39053,7.79257,8.01007,8.01630,8.42676,8.52008,8.47325,8.69676,8.43484,8.10245,8.21456,8.18405,7.97587,7.82681,7.71765,7.58744,7.49585,7.69437,7.69900,7.53097,7.42793,7.52885,7.59608,7.84900,7.63812,7.55418,7.92246,8.00701,8.08695,7.42892,7.49483,7.29566,7.42659,7.44445,7.32965,7.22824,7.19364,7.39202,7.31664,7.52823,7.87078,8.23013,8.72247,8.83553,8.66907,8.66328,8.64701,8.65401,8.69396,8.49018,8.32971,8.03315,7.82221,7.49717,7.31950,7.05126,6.85302,6.78028,6.66632,6.65569,6.44002,7.50817,7.60867,7.53953,7.18084,7.45212,7.14312,7.43618,7.87796
2018,Gateshead 33_11kV,05MAY2017,MW,7.99203,7.53216,7.15368,7.38779,6.93277,6.60250,6.21261,6.58806,6.14612,5.75131,5.43906,5.18801,4.94667,4.78668,4.77137,4.79914,5.00714,5.06557,5.13667,5.26848,5.35091,5.69720,5.77027,6.05977,6.56417,6.74323,7.15883,7.28370,7.47299,7.81203,7.92393,7.99073,7.93749,7.79094,7.96170,7.87367,7.53073,7.66020,7.51128,7.33382,7.15243,7.04870,6.83864,7.00264,7.01946,7.07170,7.23593,7.13910,6.84826,6.72543,6.89542,6.88626,6.98174,6.86311,6.76158,6.81664,6.76183,6.74715,6.67181,6.47623,6.33198,6.41425,6.42740,6.61051,6.65020,6.72078,6.90100,7.10609,7.21996,7.57897,7.78044,7.67677,7.74459,7.73309,7.54382,7.49807,7.37807,7.37211,7.20533,7.05653,6.87131,6.67572,6.49627,6.35142,6.42129,6.26644,6.28922,6.25802,7.29536,7.04849,7.03732,6.73941,6.92220,6.52677,6.91304,7.36063
2018,Gateshead 33_11kV,06MAY2017,MW,7.55447,7.23518,6.95104,6.98444,6.66699,6.26464,5.87450,5.42437,6.06250,5.89617,5.50450,5.15132,4.90853,4.73442,4.48116,4.41205,4.37672,4.43325,4.46399,4.47108,4.55391,4.62947,4.66087,4.85834,5.09433,5.28538,5.52942,5.87721,6.46869,6.78819,6.99330,7.11447,7.09003,7.34978,7.41816,7.70091,7.50611,7.19210,7.02906,6.99807,6.88434,6.86239,6.67284,6.68181,6.60226,6.61714,6.70577,6.15286,6.01644,5.97335,5.85924,5.82114,5.89142,5.71141,5.66408,5.61928,5.59111,5.54330,5.42403,5.51481,5.68548,5.76738,5.76806,5.94350,6.16657,6.36216,6.45835,6.41504,6.48056,6.65468,6.90847,6.83634,6.78345,6.68707,6.62233,6.63129,6.49769,6.53121,6.39971,6.21084,5.95848,5.87333,5.85253,5.75655,5.75872,5.64213,6.51568,6.21645,5.77563,5.55270,5.86142,5.74103,6.45971,6.18332,5.62735,5.78091
2018,Gateshead 33_11kV,07MAY2017,MW,5.88643,5.22195,5.18535,5.94727,5.36794,4.82451,4.59359,4.30805,4.68697,4.53875,4.35622,4.31642,4.14014,4.05235,3.99043,3.95100,3.91487,3.89996,3.92305,3.99272,4.13593,4.09496,4.21158,4.35879,4.43285,4.56081,4.54144,4.74805,4.96353,5.01266,5.26552,5.54991,5.60244,5.79185,5.97098,6.04507,6.04455,6.05498,6.09893,6.06979,6.07222,5.93697,5.84371,5.81406,5.67910,5.64477,5.58353,5.67947,5.50795,5.54461,5.54494,5.48166,5.30565,5.38662,5.27906,5.28676,5.39249,5.36234,5.50815,5.61504,5.74621,5.80631,6.02030,6.10443,6.34835,6.60573,6.77277,6.73498,6.96723,7.23459,7.61206,7.55180,7.52161,7.46196,7.29674,7.22229,7.13575,7.25260,6.96156,6.74816,6.50219,6.39191,6.24503,6.09827,5.98200,5.79731,6.62875,6.39821,6.04587,5.87899,6.29261,6.03353,6.71425,6.26305,5.81771,6.01939
2018,Gateshead 33_11kV,08MAY2017,MW,6.11748,5.67961,5.74877,6.41806,5.81013,5.26444,5.09350,5.23338,4.92649,4.62208,4.50670,4.45778,4.40633,4.26568,4.33713,4.47838,4.62449,4.86541,5.00044,5.08102,5.36850,5.44191,5.62415,6.04695,6.36107,6.89471,7.46510,7.41589,7.82937,8.25132,8.38064,8.49306,8.58246,8.47425,8.53649,8.34059,8.06866,8.29460,8.04552,8.04676,8.00430,7.76920,7.52502,7.47232,7.51437,7.41071,7.58595,7.33294,6.97391,6.94081,7.16448,7.30052,7.34717,7.37041,7.37667,7.29618,7.28366,7.48235,7.33137,7.18266,6.97739,7.07902,7.23167,7.16794,7.36382,7.40999,7.61224,7.91460,8.42175,8.94449,9.07188,8.86900,8.80438,8.74879,8.74671,8.55125,8.32577,8.41977,8.13536,7.97659,7.74026,7.52174,7.31722,7.13139,6.89183,6.83166,6.85362,6.51567,7.54537,7.48987,7.46640,7.14422,7.20973,6.88644,7.20711,7.66403
2018,Gateshead 33_11kV,09MAY2017,MW,7.81252,7.41240,7.13583,7.32908,7.06501,6.58687,6.39182,6.78920,6.38648,5.96969,5.58824,5.39998,5.12418,4.88001,4.85324,4.77012,4.89191,5.03822,5.12518,5.13246,5.35759,5.67728,5.74505,6.08026,6.61788,7.23335,7.50114,7.64752,8.03447,8.54928,8.66387,8.67356,8.85643,8.75188,8.56737,8.29855,8.27620,8.13712,7.74070,7.91097,7.92964,8.05243,7.91411,7.84015,8.03291,7.92567,7.70388,7.76372,7.30332,7.30539,7.63640,7.69775,7.68363,7.33820,7.31056,7.34877,7.36276,7.22595,7.17230,7.20024,7.04896,7.00565,7.03868,7.12759,7.46204,7.63600,7.75358,7.99027,8.29350,8.88161,9.11798,8.93433,8.90572,8.71433,8.87225,8.85786,8.55082,8.53275,8.25116,8.18229,8.03868,7.72130,7.47828,7.24837,7.03123,7.01939,6.93869,6.71696,7.68979,7.65955,7.52365,7.22934,7.40285,7.20627,7.36153,7.67793
2018,Gateshead 33_11kV,10MAY2017,MW,7.91627,7.45988,7.29240,7.45807,7.17251,6.74061,6.44060,6.86712,6.60674,6.13519,5.72398,5.37426,5.22351,4.88813,4.89363,4.83205,4.78770,5.06877,5.11707,5.14609,5.50874,5.72826,5.87439,6.16177,6.73569,7.13087,7.42181,7.65958,8.16240,8.47548,8.64001,8.75737,8.60497,8.38014,8.37620,8.37179,7.94340,7.81077,7.79283,7.46135,7.57289,7.35876,7.22904,7.25444,7.24528,7.24360,7.13863,7.02237,6.86196,6.86271,6.98104,6.87638,7.13003,6.99222,6.90089,7.19897,7.21402,7.30038,7.44934,7.43325,7.42426,7.29350,7.31762,7.27409,7.23013,7.38803,7.66578,7.85825,8.21037,8.66608,8.82725,8.57882,8.50722,8.58975,8.61295,8.66485,8.55066,8.56723,8.33733,8.18175,7.88940,7.55749,7.53053,7.22991,7.12552,7.00730,6.95878,6.74029,7.70035,7.59515,7.44660,7.32576,7.49239,7.11729,7.30898,7.73675
