year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Gore Hill 33_11kV,01MAY2014,MW,23.58635,23.19984,22.84179,21.28027,21.05348,20.77379,20.38470,20.46947,20.41870,20.41870,20.16061,20.46120,20.40688,20.43995,20.43995,20.43995,20.43995,20.69191,20.87522,21.21167,21.46109,21.96926,24.28380,25.26880,26.28701,27.40307,27.44016,28.17653,30.97412,33.90968,33.48241,34.67602,36.06859,36.47185,36.77782,36.84317,37.47529,38.20360,37.32951,37.56282,37.96721,39.36709,39.73987,39.95070,39.88557,38.69335,38.45491,38.55243,40.01010,38.36651,38.94115,38.64298,39.14795,40.51426,40.90755,40.81684,40.36409,39.63081,38.96323,39.32407,37.94226,38.19404,39.79790,40.82967,38.47059,37.64504,37.93195,37.79368,37.22355,34.98258,35.12079,35.45525,35.93183,33.18978,34.30530,33.34684,33.09196,31.77190,32.38570,31.39842,31.13781,30.91414,28.88715,30.58271,27.61563,27.50558,26.98255,27.48203,26.15693,27.94802,27.59124,27.20784,26.90310,24.66250,23.67900,22.75639
2015,Gore Hill 33_11kV,02MAY2014,MW,22.73523,22.24123,21.94033,21.94033,21.88930,21.51286,21.02230,20.74598,20.74598,20.56709,20.38895,20.62177,20.51269,20.53346,20.64608,20.83055,20.55261,20.79957,20.99479,21.01921,21.52587,21.95997,22.40815,23.18020,24.14719,25.02946,26.29326,28.30507,32.59897,34.27929,36.07580,37.48533,37.31269,36.17372,38.03015,39.45790,37.22875,36.83303,38.10545,37.21340,37.55626,38.66420,40.08482,40.29715,41.70912,39.71863,40.22827,41.50365,40.71324,42.14082,41.84637,43.26001,43.08892,41.35631,39.13955,39.50515,40.10760,38.93335,39.62458,39.52191,38.95045,39.64816,40.12309,40.26302,39.74203,39.92828,39.05175,36.74264,39.13248,36.54512,37.10501,35.46529,33.01727,32.72609,32.07880,32.24675,31.94793,31.25673,30.98402,29.20366,30.50991,28.76893,29.96739,28.01300,27.22509,26.91749,26.88977,26.68542,26.21496,25.95180,25.39920,25.03373,24.74178,24.37086,24.05644,23.97294
2015,Gore Hill 33_11kV,03MAY2014,MW,23.50861,23.37028,23.18448,22.86265,22.49504,22.48305,22.38883,22.19543,22.11384,22.01683,22.01683,21.92829,21.84959,22.05007,21.99255,21.80856,21.72916,21.77563,21.82982,21.82982,21.89443,22.20591,22.67410,22.81415,23.55069,24.79554,24.85607,26.75492,28.08500,29.08092,29.54358,28.83325,27.95027,29.40577,30.97202,28.31957,29.81600,28.99970,28.88527,28.68129,28.53073,30.40573,30.99344,31.90547,29.60579,28.53556,31.63767,32.39802,30.17373,28.28164,28.54797,28.13706,27.22859,27.91168,28.96164,28.80615,25.96346,26.29664,26.05866,25.86641,25.78605,25.63631,25.22804,25.35109,25.55076,25.35111,25.39076,25.66831,26.00340,26.29928,26.52521,26.58200,26.39118,26.34369,26.16184,25.99118,26.01556,25.72895,25.39071,25.31370,25.15440,24.78282,24.79025,24.50605,24.33591,24.32927,24.12824,23.93784,23.57434,23.18568,23.18568,22.80320,22.49474,22.00320,21.89396,21.52980
2015,Gore Hill 33_11kV,04MAY2014,MW,21.51495,21.17951,20.98700,20.86357,20.50423,20.47395,20.15640,20.12117,20.02097,19.90180,19.77265,19.88584,19.81515,19.81701,19.71532,19.62813,19.65490,19.66214,19.66214,19.66214,19.82756,20.02767,20.02767,20.23320,20.37195,20.39608,20.77998,20.83856,20.97210,21.26992,21.53468,21.77826,22.35261,22.68380,22.75639,22.95527,23.11767,23.18660,23.51721,23.83182,24.44516,24.38853,24.47091,24.65205,24.44279,24.37108,24.35380,24.16224,24.22362,24.12180,24.36678,24.45228,24.45228,24.38873,24.36081,24.48629,24.47027,24.59021,24.39046,24.38428,24.51691,24.65006,24.71305,24.59498,24.51510,24.68040,26.06705,26.36547,26.59395,26.94640,27.65063,27.89199,28.20115,28.24692,28.25854,28.10544,27.98620,27.62949,27.44319,27.05818,26.92726,26.87917,26.75186,26.59021,26.26394,26.00170,25.71316,25.64026,25.28334,24.85801,24.38007,24.37485,23.94852,23.60606,23.31600,23.02581
2015,Gore Hill 33_11kV,05MAY2014,MW,22.83059,22.91527,22.66084,22.16748,22.06523,22.29833,21.96386,21.91907,21.98985,21.91482,21.91482,21.89010,21.70462,21.78984,21.92553,21.84974,22.05246,22.13083,22.19590,22.66468,23.08049,23.51558,24.50774,25.62286,26.70175,27.92114,30.29249,32.70698,36.43616,38.79921,39.51491,38.32068,42.09481,39.72981,40.18660,39.53840,39.54935,39.35666,39.44656,39.44604,39.74960,40.57995,42.75385,41.07486,41.13832,42.45537,42.32354,39.88708,39.52264,39.07126,42.00138,41.88050,42.14855,42.06018,39.86572,39.93919,40.30253,39.34962,40.30845,39.33195,39.02249,39.63007,40.83645,40.30305,39.22630,40.94318,40.97246,38.30030,37.82292,39.41127,38.98167,36.33010,37.25365,36.87429,36.28254,35.76632,33.46344,31.97295,31.96877,32.65929,33.85668,33.45485,31.62536,30.41254,29.76985,31.97435,30.59032,31.12601,30.56762,28.37143,27.98153,26.59825,26.03104,26.23145,28.05225,27.19951
2015,Gore Hill 33_11kV,06MAY2014,MW,27.03725,26.82823,25.47726,24.46504,24.50296,23.26183,23.10920,22.95739,22.83979,22.52803,22.52529,22.53690,22.57106,22.46972,22.34671,22.40926,22.55125,22.67139,22.73425,23.01239,23.50986,24.03462,24.78501,25.51698,27.18845,28.82319,32.03884,33.82068,36.89669,38.87155,39.27410,38.66381,39.48189,39.77675,41.95532,40.75348,41.02342,40.65028,40.39016,39.92819,40.09182,42.03803,42.28312,41.66866,40.76095,41.22169,41.29587,41.04681,41.05005,42.36953,42.33213,41.74044,41.06472,42.02003,39.76713,40.58001,42.18791,41.35996,41.58994,40.56496,40.24364,40.07210,40.62446,38.96664,36.19361,38.92241,37.18579,36.25914,35.15461,36.93113,37.54030,37.80469,34.59722,33.01750,31.41679,31.27094,30.70638,31.94321,31.80971,31.16846,33.04649,32.26956,31.57737,30.77099,29.48766,29.39069,27.81529,28.02161,29.03309,27.24284,26.12517,25.54857,24.67853,23.29702,25.84147,25.82953
2015,Gore Hill 33_11kV,07MAY2014,MW,24.24520,23.34935,24.18167,22.69578,21.44473,21.27302,21.28823,21.17101,21.07583,20.88801,20.70412,20.72897,20.72897,20.72897,20.72897,20.72897,20.72897,20.72897,21.00503,21.18041,21.74735,22.27262,23.06035,23.77785,24.99291,26.03502,27.36556,29.43920,34.51751,36.48063,38.21908,39.32215,37.10568,37.66571,38.44308,38.86356,38.20436,40.64019,39.30715,39.36046,38.72809,37.74139,40.21898,39.13139,38.88775,38.80749,38.82363,41.75898,41.80927,38.93365,40.16766,41.19469,40.96688,40.11843,40.29113,39.84690,38.40889,38.33811,39.65832,38.01069,37.56463,37.20739,36.99715,36.79674,37.37018,39.33674,37.45831,37.23875,38.61017,37.87620,36.67439,35.17998,33.86730,32.28032,31.63550,31.59329,30.82911,31.35528,31.81713,30.45218,30.49615,30.73261,32.01122,29.05621,29.49499,30.62687,29.36157,29.37561,30.69579,28.93767,29.04506,28.15181,26.10292,24.85197,24.35158,27.34880
2015,Gore Hill 33_11kV,08MAY2014,MW,27.38653,26.99832,25.65900,24.25000,23.49306,22.09294,21.76477,21.72531,22.35261,22.27887,21.42726,21.68027,21.71231,21.26914,20.85332,20.78423,21.13515,21.51219,21.98283,22.07075,22.54231,23.15216,23.71148,24.58081,25.76428,26.69060,27.80033,29.62642,33.90680,36.39503,38.66562,40.27125,40.90508,38.13559,41.04853,39.23534,39.45858,39.10445,38.84436,38.79604,40.49031,42.91678,42.34476,40.38179,40.41846,38.47634,40.82129,39.89161,38.23013,38.64935,38.49217,38.62803,38.26014,39.59380,39.80597,40.45043,39.66711,40.71009,39.43271,40.04542,40.61007,41.38152,39.92518,37.94015,37.31614,37.00288,37.98672,37.46229,37.08530,38.07264,38.18091,37.98993,35.87559,33.19956,35.23112,35.92305,35.06837,33.78140,33.99749,32.25094,32.28897,32.18869,32.48536,31.50559,30.73816,30.32643,30.15650,29.92817,27.20526,26.46816,25.96964,27.57487,25.86935,24.74591,26.91843,24.88842
2015,Gore Hill 33_11kV,09MAY2014,MW,24.56326,23.88973,22.94970,22.65542,22.47008,22.21660,22.21660,22.18121,21.82132,21.64632,21.43348,21.15581,21.43123,21.46262,21.47238,21.38963,21.51104,21.51104,21.75441,21.99887,22.71303,23.01375,23.61431,24.36587,25.71096,26.77691,28.04698,30.47061,34.35074,36.30720,38.48172,39.37670,38.93179,37.63624,39.03330,37.30584,37.95120,38.36012,38.30664,39.72435,39.18416,39.38932,39.69688,39.93368,39.99812,40.36192,39.57400,42.14461,42.19963,39.06310,39.86982,38.83436,40.08898,40.00505,40.64906,40.30770,38.39932,37.88992,38.14702,38.40536,39.94770,38.82397,37.53661,37.86128,38.97672,36.35433,36.65708,38.34347,38.34710,37.59554,36.85493,36.68487,32.94893,30.94161,32.60372,33.14669,32.71450,30.02132,29.04326,31.05968,28.77330,28.33939,28.21404,27.22757,26.50433,26.10651,25.78785,25.44795,25.22882,24.61080,24.43801,23.87209,23.49569,23.29737,22.85569,22.79633
2015,Gore Hill 33_11kV,10MAY2014,MW,22.65167,22.38195,22.02813,21.51694,21.40478,21.23499,21.01800,21.01800,20.72532,20.68954,20.48010,20.44845,20.44845,20.44845,20.44845,20.44845,20.41454,20.61569,22.17702,23.07012,24.31489,25.42285,24.96796,24.10450,26.35653,25.32131,23.29976,23.11178,24.90958,25.49382,24.81200,25.83967,25.65102,25.96911,26.20776,27.48600,27.19082,28.61790,26.75200,28.08182,29.68022,29.54903,27.50958,27.57487,27.48756,27.88408,29.79867,27.58213,27.40892,27.43114,28.27569,29.40581,29.98391,30.17977,30.37778,30.00458,28.13367,27.42563,26.16784,26.03740,26.03805,25.47519,25.22380,25.02906,24.86032,25.11242,25.15847,25.65551,25.60575,25.96372,26.02547,25.89487,25.94841,25.94841,25.94841,25.65257,25.51062,25.37196,25.27394,25.00078,24.73054,24.78073,24.60530,24.36624,24.11918,24.00606,23.82323,23.82323,23.52581,23.19846,23.04336,22.66289,22.29372,21.84257,21.84257,21.64188
2015,Gore Hill 33_11kV,11MAY2014,MW,21.46429,21.31455,21.04071,20.97975,20.67319,20.33553,20.41507,20.18978,19.98516,19.98516,19.98516,19.97460,19.68530,19.82900,19.73386,19.67078,19.67455,19.65871,19.86411,19.77373,19.95132,19.96784,20.09567,20.09567,20.40455,20.41394,20.63122,20.80834,20.97768,21.35446,21.66187,22.02190,22.44563,22.73937,23.01441,22.96822,23.12558,23.50459,23.80956,24.18557,24.37268,24.39194,24.45653,24.46355,24.43953,24.61770,24.69635,24.45483,24.49611,24.44814,24.51604,24.56816,24.56651,24.62713,24.23354,24.16959,23.70851,23.61496,23.98102,23.71035,23.97199,24.02526,23.93374,24.03257,23.91837,24.10300,24.31769,24.64411,25.02141,25.22321,25.72105,26.04356,26.04605,25.85834,25.86286,25.60685,25.46387,25.46387,25.18837,25.07333,24.63954,24.56704,24.44644,24.13722,24.17662,23.84769,23.69572,23.64726,23.38746,22.88809,22.71686,22.20310,22.09323,21.69806,21.58040,21.25849
2015,Gore Hill 33_11kV,12MAY2014,MW,21.25247,20.96993,20.68348,20.69890,20.46545,20.46545,20.39157,20.22102,20.31802,20.02308,20.20905,20.05972,20.23584,20.02767,20.02767,20.17778,20.05628,20.03476,20.22994,20.51317,21.17130,21.42079,22.45592,23.33269,24.37744,25.75307,27.09959,28.39317,31.73642,33.49548,34.97575,35.43824,36.62166,37.70801,38.35441,39.14800,39.25023,39.75755,38.07716,38.06787,40.27428,38.53617,38.00504,37.56744,39.84674,40.98598,42.77728,41.65113,40.87001,42.38407,41.13616,39.07119,38.25574,39.46030,38.83696,39.28876,38.53221,38.46379,39.78528,40.20095,39.93986,39.46827,39.90898,39.62758,39.11214,37.60400,39.54291,38.46870,36.74608,36.77860,38.24048,37.51151,32.95934,32.85980,34.53963,33.26257,33.10954,32.14776,31.87171,31.56462,31.14756,30.68431,31.61465,31.25946,30.12508,28.41911,27.88574,26.55250,26.17966,25.96769,25.54982,23.57077,23.60545,23.06649,22.72110,22.41745
