year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Graving Dock No 1 33_11kV,01MAY2017,MW,4.11535,4.06391,4.04676,4.01247,4.02962,4.06391,4.04676,3.97817,4.08106,4.13250,4.13250,4.08106,3.96103,4.06391,4.01247,4.02962,4.04676,4.11535,4.04676,4.08106,4.18394,4.14965,3.96103,3.73811,3.56664,3.58379,3.49805,3.41231,3.41231,3.53234,3.51520,3.60093,3.73811,3.82385,3.80670,3.82385,3.87529,3.82385,3.90959,3.99532,4.01247,3.96103,3.94388,4.01247,4.25253,4.45830,4.49259,4.01247,4.09821,3.92673,3.94388,3.97817,3.82385,3.99532,4.06391,3.99532,4.01247,3.99532,4.01247,4.04676,3.92673,3.78955,3.77241,3.75526,3.66952,3.51520,3.61808,3.54949,3.48090,3.68667,3.63523,3.58379,3.51520,3.37802,3.30943,3.29228,3.25799,3.24084,3.15510,3.24084,3.08651,3.15510,3.15510,3.15510,3.15510,3.10366,3.03507,3.17225,3.32658,3.24084,3.20655,3.20655,3.12081,3.08651,3.08651,3.17225
2018,Graving Dock No 1 33_11kV,02MAY2017,MW,3.08651,3.17225,3.20655,3.08651,3.08651,3.10366,3.08651,3.12081,3.10366,3.08651,3.17225,3.22369,3.15510,3.10366,3.08651,3.08651,3.12081,3.12081,3.12081,3.08651,3.12081,3.12081,3.13796,3.25799,3.41231,3.29228,3.32658,3.27513,3.39517,3.46376,3.54949,3.60093,3.44661,3.54949,3.68667,3.66952,3.70382,3.63523,3.58379,3.65238,3.65238,3.73811,3.80670,3.85814,3.73811,3.70382,3.78955,3.87529,3.92673,3.97817,4.08106,3.96103,3.84100,3.49805,3.54949,3.77241,3.77241,3.80670,3.77241,3.65238,3.58379,3.63523,3.42946,3.46376,3.29228,3.54949,3.84100,3.84100,3.85814,3.54949,3.65238,3.58379,3.44661,3.58379,3.51520,3.48090,3.48090,3.39517,3.32658,3.41231,3.36087,3.34372,3.39517,3.41231,3.49805,3.58379,3.53234,3.42946,3.41231,3.48090,3.39517,3.41231,3.48090,3.44661,3.41231,3.41231
2018,Graving Dock No 1 33_11kV,03MAY2017,MW,3.36087,3.30943,3.42946,3.36087,3.34372,3.36087,3.41231,3.42946,3.48090,3.42946,3.34372,3.34372,3.32658,3.29228,3.36087,3.41231,3.25799,3.29228,3.39517,3.41231,3.34372,3.44661,3.44661,3.56664,3.73811,3.75526,3.78955,3.97817,3.82385,3.82385,3.89244,3.96103,4.02962,3.56664,1.93765,1.86906,1.83476,1.80047,1.73188,1.73188,2.00623,3.44661,4.28683,4.93842,4.81839,4.81839,4.81839,4.59548,4.68121,4.57833,4.50974,4.42400,4.54404,4.33827,3.87529,3.54949,3.51520,3.53234,3.49805,3.44661,3.36087,3.48090,3.75526,4.02962,3.90959,3.77241,3.68667,3.65238,3.70382,3.61808,3.63523,3.61808,3.54949,3.49805,3.54949,3.49805,3.42946,3.46376,3.46376,3.48090,3.53234,3.53234,3.44661,3.34372,3.41231,3.41231,3.41231,3.39517,3.36087,3.29228,3.36087,3.41231,3.39517,3.41231,3.36087,3.34372
2018,Graving Dock No 1 33_11kV,04MAY2017,MW,3.34372,3.48090,3.48090,3.44661,3.41231,3.36087,3.34372,3.32658,3.37802,3.32658,3.32658,3.32658,3.29228,3.22369,3.37802,3.30943,3.29228,3.30943,3.37802,3.37802,3.42946,3.53234,3.58379,3.51520,3.63523,3.65238,3.63523,3.77241,3.87529,3.87529,3.90959,4.11535,4.06391,4.06391,3.56664,3.63523,3.48090,3.46376,3.44661,3.48090,3.42946,3.58379,3.58379,3.56664,3.68667,3.51520,3.46376,3.41231,3.24084,3.13796,3.08651,3.20655,3.73811,3.87529,3.89244,3.99532,3.89244,3.92673,3.82385,3.90959,3.99532,3.87529,3.73811,3.65238,3.54949,3.66952,3.65238,3.75526,3.72096,3.61808,3.63523,3.56664,3.60093,3.60093,3.46376,3.54949,3.42946,3.56664,3.58379,3.53234,3.49805,3.34372,3.37802,3.41231,3.39517,3.34372,3.32658,3.41231,3.34372,3.29228,3.39517,3.32658,3.30943,3.27513,3.36087,3.36087
2018,Graving Dock No 1 33_11kV,05MAY2017,MW,3.48090,3.51520,3.48090,3.36087,3.42946,3.30943,3.32658,3.32658,3.32658,3.27513,3.30943,3.36087,3.30943,3.25799,3.37802,3.32658,3.34372,3.36087,3.44661,3.44661,3.58379,3.46376,3.46376,3.51520,3.63523,3.65238,3.66952,3.75526,3.82385,3.85814,3.82385,3.89244,3.96103,3.97817,4.04676,4.06391,4.28683,4.04676,3.99532,4.16679,4.18394,4.16679,4.18394,4.13250,4.14965,4.21824,4.08106,4.13250,4.49259,4.52689,4.61262,4.74980,4.76695,4.76695,4.18394,4.14965,4.20109,4.21824,4.16679,4.20109,4.04676,3.97817,3.92673,4.02962,4.49259,4.38971,4.38971,4.28683,4.28683,4.21824,4.26968,4.20109,4.18394,4.18394,4.30397,4.26968,4.23538,4.25253,4.08106,4.09821,4.08106,3.99532,3.97817,4.02962,3.99532,3.96103,3.99532,3.97817,3.97817,3.99532,4.01247,4.01247,4.06391,4.08106,4.08106,4.11535
2018,Graving Dock No 1 33_11kV,06MAY2017,MW,4.08106,4.01247,3.92673,3.96103,4.02962,3.89244,3.96103,3.87529,3.96103,3.96103,3.90959,3.89244,3.96103,3.90959,3.90959,4.02962,3.99532,3.96103,3.97817,3.96103,3.90959,3.92673,3.94388,3.99532,3.99532,3.99532,3.96103,4.02962,3.89244,3.51520,3.49805,3.63523,3.58379,3.46376,3.72096,3.73811,3.72096,3.66952,3.46376,3.51520,3.56664,3.51520,3.60093,3.61808,3.63523,3.56664,3.56664,3.61808,3.56664,3.73811,3.92673,3.96103,4.04676,4.11535,4.23538,4.26968,4.20109,4.18394,4.04676,4.09821,4.18394,4.06391,4.13250,4.13250,,,,,,,,4.18394,4.21824,4.21824,4.14965,4.04676,4.01247,4.02962,4.02962,3.96103,3.96103,3.97817,3.97817,3.90959,3.90959,3.92673,3.96103,3.92673,3.94388,4.04676,4.08106,4.08106,4.04676,3.97817,3.90959,3.92673
2018,Graving Dock No 1 33_11kV,07MAY2017,MW,3.96103,4.04676,3.99532,3.82385,3.82385,3.87529,3.80670,3.87529,3.78955,3.84100,3.78955,3.82385,3.87529,3.99532,4.01247,3.96103,3.92673,3.96103,3.87529,3.84100,3.90959,3.87529,3.85814,3.97817,3.94388,3.87529,3.92673,3.90959,3.96103,4.02962,3.97817,4.06391,4.14965,4.01247,3.94388,3.84100,3.87529,3.94388,3.82385,3.84100,3.89244,4.11535,4.11535,4.13250,4.18394,4.09821,4.11535,4.06391,4.01247,4.02962,4.04676,4.14965,4.11535,4.21824,4.18394,4.06391,4.09821,4.09821,4.04676,4.14965,4.04676,3.97817,4.08106,3.97817,3.90959,3.94388,3.96103,3.84100,3.89244,3.92673,4.01247,4.09821,4.02962,3.97817,3.90959,3.90959,3.85814,3.90959,3.87529,3.89244,3.87529,3.96103,3.85814,3.78955,3.89244,3.82385,3.84100,3.84100,3.90959,3.97817,3.97817,3.99532,3.80670,3.82385,3.78955,3.84100
2018,Graving Dock No 1 33_11kV,08MAY2017,MW,3.80670,3.78955,3.82385,3.82385,3.78955,3.77241,3.82385,3.73811,3.82385,3.77241,3.73811,3.68667,3.94388,3.90959,3.85814,3.82385,3.70382,3.78955,3.78955,3.73811,3.75526,3.82385,3.92673,3.96103,4.13250,4.23538,4.02962,3.94388,3.97817,4.06391,4.14965,4.32112,4.42400,4.40686,4.23538,4.08106,3.65238,3.56664,3.53234,3.49805,3.36087,3.46376,3.51520,3.54949,3.61808,3.60093,3.56664,3.63523,3.56664,3.56664,3.63523,3.53234,3.61808,3.58379,3.54949,3.41231,3.49805,3.75526,3.97817,3.94388,3.92673,3.84100,3.97817,3.75526,3.60093,3.60093,3.58379,3.73811,3.84100,3.78955,3.78955,3.72096,3.65238,3.60093,3.66952,3.66952,3.58379,3.56664,3.53234,3.49805,3.51520,3.44661,3.42946,3.41231,3.46376,3.42946,3.39517,3.30943,3.37802,3.42946,3.30943,3.36087,3.34372,3.27513,3.32658,3.34372
2018,Graving Dock No 1 33_11kV,09MAY2017,MW,3.37802,3.36087,3.37802,3.36087,3.37802,3.29228,3.27513,3.42946,3.39517,3.34372,3.36087,3.39517,3.27513,3.36087,3.36087,3.36087,3.41231,3.41231,3.44661,3.44661,3.41231,3.49805,3.60093,3.65238,3.68667,3.78955,3.73811,3.68667,3.77241,3.68667,3.73811,4.04676,4.23538,4.21824,4.28683,4.21824,4.25253,4.32112,4.25253,4.13250,4.25253,4.18394,4.16679,4.32112,4.28683,4.23538,4.28683,4.25253,4.25253,4.20109,4.18394,4.20109,4.01247,3.80670,3.80670,3.80670,3.84100,3.85814,3.73811,3.77241,3.92673,4.90413,4.97272,4.86983,4.92128,5.09275,5.00701,4.98987,4.97272,4.92128,4.95557,4.97272,4.98987,4.95557,4.97272,5.05845,4.85269,4.90413,4.92128,4.86983,4.78410,4.74980,4.93842,4.71551,4.20109,3.63523,3.44661,3.42946,3.49805,3.44661,3.42946,3.44661,3.44661,3.41231,3.32658,3.27513
2018,Graving Dock No 1 33_11kV,10MAY2017,MW,3.22369,3.30943,3.29228,3.22369,3.36087,3.44661,3.39517,3.30943,3.27513,3.30943,3.24084,3.29228,3.24084,3.22369,3.29228,3.32658,3.42946,3.44661,3.34372,3.27513,3.32658,3.39517,3.46376,3.53234,3.68667,3.87529,3.87529,3.94388,4.06391,3.90959,3.96103,4.42400,4.35541,4.35541,4.37256,4.42400,4.54404,4.38971,4.13250,4.13250,3.96103,4.09821,4.20109,4.20109,4.26968,4.32112,4.37256,4.28683,4.40686,4.33827,4.33827,4.16679,4.21824,4.06391,3.80670,3.94388,3.87529,3.80670,3.78955,3.65238,3.75526,3.87529,3.87529,3.89244,3.77241,3.96103,3.92673,4.09821,4.08106,3.85814,3.78955,3.87529,3.78955,3.75526,3.73811,3.72096,3.78955,3.85814,3.77241,3.73811,3.70382,3.58379,3.56664,3.53234,3.63523,3.51520,3.51520,3.53234,3.75526,3.60093,3.58379,3.72096,3.48090,3.51520,3.53234,3.61808
