year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Greenacre Park 132_11kV,01MAY2016,MW,25.53261,24.47505,24.49393,25.17379,23.98404,23.68187,23.07755,22.01999,21.17016,21.05685,20.54695,20.15037,19.09280,18.84730,18.41294,18.33740,18.18632,18.20520,18.41294,17.84639,17.80862,18.48848,18.79064,18.71510,17.80862,17.39315,17.67642,18.01635,18.84730,19.98040,20.98131,21.52898,21.94445,22.86982,23.20975,23.83295,25.21156,25.94808,26.91122,27.55331,28.28983,28.76196,29.06412,29.06412,29.06412,29.06412,29.06412,29.02635,29.08300,29.06412,28.34649,28.45980,28.62976,28.81861,29.13966,28.96969,29.08300,29.68733,29.32851,28.85638,29.06412,29.12077,29.12077,29.04523,28.38426,28.11987,27.76105,27.79882,27.32669,27.36446,28.45980,28.55422,28.55422,28.21429,27.40223,27.40223,26.64683,26.74126,26.34467,26.13693,25.98585,25.89143,25.49484,25.19268,24.81498,24.85275,24.85275,24.64501,24.22954,23.90850,23.64410,24.49393,23.64410,22.41657,22.92647,23.11532
2017,Greenacre Park 132_11kV,02MAY2016,MW,22.58654,22.20884,21.28347,22.01999,21.37790,20.56584,19.58381,18.54514,18.58291,18.14855,18.01635,17.82750,17.78973,17.99747,17.88416,17.65754,17.94081,17.94081,18.01635,18.62068,18.75287,19.56493,19.81044,21.20793,22.24661,22.71874,23.41748,24.26731,24.94717,25.81589,26.83568,27.81770,28.27095,28.93192,29.51736,29.55513,30.72600,31.06594,31.74580,32.14238,32.14238,32.16127,32.04796,32.48232,32.48232,32.99221,33.14329,33.82316,33.95535,33.80427,34.46525,34.38971,34.89960,34.80518,34.48413,34.01201,34.03089,34.03089,34.03089,33.70985,33.63430,33.42657,33.87981,34.03089,34.25751,34.29528,34.55967,34.86183,34.76741,34.29528,34.03089,33.38880,32.61451,31.63249,31.29256,31.08482,30.23499,29.34739,29.34739,29.32851,29.30962,28.81861,28.25206,27.74216,27.36446,27.02453,26.45798,26.08028,25.70258,25.11714,25.02271,26.04251,24.73944,23.49302,24.07846,24.17289
2017,Greenacre Park 132_11kV,03MAY2016,MW,23.75741,22.75651,21.66117,22.35992,21.88779,20.96242,20.33922,19.86709,19.47050,18.63956,18.75287,18.37517,18.33740,18.69622,18.18632,18.62068,18.52625,18.63956,18.63956,19.01726,19.24388,19.88598,20.39587,21.26459,22.32215,23.09644,23.94627,24.64501,25.47596,26.49575,27.04342,27.64774,28.13875,28.72419,29.10189,29.68733,30.82043,31.38698,31.59472,32.06684,32.35012,32.23681,32.16127,31.99130,32.55786,33.06775,33.08664,33.06775,33.52099,33.35103,33.42657,33.33214,33.65319,34.08755,34.50302,34.44636,34.46525,34.27640,34.52190,34.37082,34.72964,34.57856,34.59744,34.61633,34.84295,35.27731,34.82406,34.71075,34.21974,34.25751,33.91758,34.16309,33.04887,32.14238,31.93465,31.61360,30.97151,30.48050,30.19722,29.47959,29.25297,28.93192,28.38426,27.93101,27.42112,26.83568,26.23136,25.64592,25.47596,25.62704,25.60815,26.70349,25.79700,24.92829,25.66481,25.19268
2017,Greenacre Park 132_11kV,04MAY2016,MW,24.68278,23.75741,22.94536,22.86982,22.51100,21.52898,21.17016,20.54695,20.16925,19.64047,18.92284,19.07392,19.09280,19.09280,19.09280,18.84730,18.69622,18.45071,18.45071,18.96061,19.79155,20.22591,21.20793,21.64229,22.54877,23.36083,24.47505,25.00383,25.58927,26.36355,27.76105,28.55422,29.00746,29.44182,29.98949,30.44273,31.42475,32.08573,32.38789,32.59563,32.91667,32.70894,32.67117,32.97333,33.36991,33.91758,34.10643,34.16309,34.40859,34.33305,34.18197,34.63521,35.08846,35.03180,34.57856,34.99403,34.63521,34.48413,34.80518,34.59744,34.82406,35.22065,35.56058,35.23954,35.44727,34.99403,34.46525,34.88072,34.72964,34.74852,33.97424,33.86093,33.29437,32.95444,32.57674,32.06684,31.29256,30.31053,30.12168,29.59290,29.49848,29.30962,28.49757,28.36537,27.85547,27.42112,27.30781,27.30781,26.96788,26.36355,25.74035,26.72237,25.40042,24.28620,25.02271,24.89052
2017,Greenacre Park 132_11kV,05MAY2016,MW,24.45616,23.96515,22.75651,23.15309,22.66208,21.73671,20.92465,20.16925,19.88598,19.31942,19.09280,18.75287,18.45071,18.45071,18.45071,18.05412,18.39406,18.52625,18.79064,19.39496,19.37608,19.75378,20.86800,21.92556,22.60543,23.03978,23.92738,24.87163,25.57038,26.42021,27.77993,28.21429,28.78084,28.78084,29.59290,30.46161,31.38698,31.72691,31.68914,31.85911,32.61451,32.55786,32.42566,32.95444,33.50211,33.65319,33.80427,33.42657,33.69096,33.78539,33.50211,33.95535,34.57856,34.37082,34.55967,34.69187,34.59744,34.55967,34.76741,34.86183,34.89960,34.95626,35.33396,34.76741,35.18288,35.37173,34.76741,34.97514,34.78629,34.89960,35.63612,35.44727,34.80518,34.20086,33.95535,33.46434,33.14329,32.95444,33.01110,32.44455,32.12350,31.33033,30.83931,30.29165,29.36628,28.91304,28.11987,28.10098,26.96788,27.44000,27.55331,27.62885,25.83477,24.62613,24.92829,24.47505
2017,Greenacre Park 132_11kV,06MAY2016,MW,24.73944,24.47505,23.11532,23.32306,22.69985,22.30326,21.81225,21.09462,20.96242,20.54695,19.73490,19.30054,18.79064,18.69622,18.14855,17.88416,18.45071,18.80953,19.18723,19.35719,19.81044,20.18814,20.71692,21.22682,22.26549,22.69985,23.60633,24.38062,25.28711,26.32578,26.93011,27.30781,28.17652,28.76196,29.46070,30.14057,31.06594,31.06594,31.67026,31.91576,32.21792,32.21792,32.42566,32.69005,32.65228,32.74671,32.99221,33.44545,33.84204,33.86093,33.50211,33.82316,34.25751,34.37082,34.55967,34.29528,34.67298,34.20086,34.16309,33.95535,33.84204,34.06866,34.20086,34.25751,33.99312,34.40859,33.82316,34.14420,33.67207,33.89870,33.91758,33.42657,32.76559,31.84022,31.48141,31.21702,30.44273,29.19631,29.15854,28.95081,28.32760,27.83659,27.85547,27.62885,27.23227,26.91122,26.91122,27.45889,27.06230,27.25115,26.93011,27.81770,27.23227,26.23136,26.19359,24.70167
2017,Greenacre Park 132_11kV,07MAY2016,MW,24.13512,24.15400,23.83295,24.02181,23.73853,23.03978,21.51009,20.28256,19.92375,19.77267,19.28165,18.80953,18.67733,18.58291,18.67733,18.67733,18.48848,18.11078,18.11078,18.14855,18.22409,18.52625,19.16834,19.31942,20.15037,20.50918,20.64138,20.96242,21.26459,21.51009,21.81225,22.68097,23.34194,24.28620,25.09825,25.91031,26.79791,26.98676,27.51554,27.76105,27.64774,27.74216,27.96878,28.00655,27.53443,28.21429,28.45980,28.53534,28.64865,29.00746,28.81861,29.12077,29.13966,28.93192,29.04523,29.10189,29.46070,29.46070,29.46070,29.57402,30.15945,29.42293,29.51736,29.55513,29.85729,29.85729,29.78175,29.78175,29.74398,29.64956,30.00837,29.74398,29.38516,29.38516,28.74307,28.40314,27.81770,27.44000,27.87436,27.74216,27.70439,27.70439,26.96788,26.74126,26.28801,26.06139,25.72146,24.98494,24.83386,24.43728,25.30599,26.66572,26.23136,25.81589,26.40132,25.06048
2017,Greenacre Park 132_11kV,08MAY2016,MW,23.75741,23.47414,24.22954,24.39951,24.11623,23.13421,21.68006,21.79337,20.81134,20.20702,20.22591,19.86709,19.81044,19.28165,18.28075,17.65754,17.94081,17.94081,17.65754,17.65754,18.12966,18.28075,17.80862,17.73308,18.37517,18.84730,18.84730,19.18723,19.16834,19.28165,19.88598,20.26368,21.20793,22.17107,22.58654,23.15309,24.00292,24.85275,25.75923,26.36355,27.00565,27.47777,27.81770,27.79882,27.81770,27.57220,27.87436,28.04432,28.25206,27.93101,27.98767,28.04432,27.96878,27.74216,27.87436,27.85547,28.04432,27.85547,27.85547,27.64774,27.70439,27.70439,27.70439,27.70439,27.49666,27.13784,27.40223,27.08119,27.30781,27.62885,27.62885,27.57220,27.49666,27.00565,27.04342,27.19450,26.70349,26.21247,26.04251,25.60815,25.66481,25.74035,25.41930,25.17379,24.87163,24.39951,24.87163,24.62613,24.96606,24.49393,24.05958,25.07937,24.24843,23.20975,23.32306,22.68097
2017,Greenacre Park 132_11kV,09MAY2016,MW,22.51100,22.58654,21.20793,22.03887,21.71783,21.01908,19.88598,19.71601,19.13057,18.86618,18.60179,18.20520,18.26186,18.29963,18.29963,18.45071,18.86618,18.62068,18.97949,19.56493,19.86709,20.30145,21.32124,21.81225,22.35992,23.45525,24.68278,25.07937,26.06139,27.36446,28.34649,29.19631,30.15945,30.85820,31.70803,32.12350,32.95444,33.16218,33.52099,33.97424,34.21974,34.42748,34.61633,34.86183,34.65410,35.16400,35.29619,35.06957,35.39062,35.44727,35.03180,35.31508,35.46616,34.76741,34.63521,34.86183,34.61633,34.84295,34.76741,34.67298,34.61633,34.12532,34.48413,34.78629,35.35285,35.27731,35.42839,35.80609,36.03271,36.07048,34.91849,34.06866,33.42657,32.38789,32.33124,31.87799,30.89597,30.31053,30.21611,29.91395,30.06503,29.59290,29.06412,28.70530,28.13875,27.49666,27.57220,27.04342,26.83568,26.30690,26.40132,26.51463,25.49484,24.41839,25.02271,24.79609
2017,Greenacre Park 132_11kV,10MAY2016,MW,24.51282,23.85184,23.24752,23.39860,22.52989,21.66117,21.18905,20.37699,20.15037,19.73490,19.39496,19.37608,19.37608,19.14946,18.75287,18.96061,18.67733,18.41294,18.48848,18.90395,19.31942,20.01817,20.83023,21.83114,22.85093,23.85184,24.56947,25.06048,25.81589,26.45798,27.49666,28.62976,28.98858,29.25297,30.44273,30.68823,31.53806,32.21792,32.80336,32.55786,32.69005,33.18106,33.18106,33.04887,33.63430,33.44545,33.82316,33.48322,34.03089,33.84204,33.91758,33.87981,33.86093,34.38971,34.37082,34.57856,34.27640,34.72964,34.71075,34.33305,34.82406,34.84295,35.05068,35.03180,35.16400,35.63612,35.05068,34.95626,35.27731,34.89960,34.80518,34.23863,33.10552,32.40678,31.84022,31.63249,30.99040,30.36719,30.06503,29.57402,29.83841,29.55513,28.59199,28.19541,27.64774,27.47777,26.83568,26.55240,26.91122,26.57129,26.89234,26.64683,25.26822,24.22954,24.22954,24.22954
