year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Harbord 33_11kV,01MAY2017,MW,6.27363,6.03585,5.83466,5.81637,6.45653,6.27363,5.98098,5.81637,5.48714,5.28594,5.15791,4.97500,4.70065,4.57261,4.49945,4.49945,4.49945,4.55432,4.66407,4.71894,4.93842,5.13962,5.59688,5.98098,6.87721,7.46251,8.17583,8.85258,8.83429,9.20010,9.16352,8.92574,8.85258,8.37703,7.95635,7.48080,7.51738,7.13328,7.06012,7.07841,6.78576,6.71260,6.71260,6.84063,6.21876,6.20046,6.21876,6.34679,6.12730,6.18217,6.14559,6.05414,6.52969,6.34679,6.41995,6.47482,6.34679,6.27363,6.20046,6.25534,6.41995,6.54798,6.74918,7.07841,7.20644,7.71857,8.08438,8.50506,8.99890,9.95001,10.93769,11.94367,12.58383,12.98622,13.24229,13.15084,12.83990,12.47409,12.27290,11.81563,11.52299,11.34008,11.92538,11.21205,10.60846,9.95001,9.49275,8.85258,9.07207,8.87087,8.15754,7.73686,7.68199,6.82234,6.58456,6.31021
2018,Harbord 33_11kV,02MAY2017,MW,6.03585,5.76149,5.50543,5.48714,6.23705,6.01756,5.72491,5.52372,5.23107,5.10304,4.90184,4.75552,4.66407,4.37142,4.40800,4.40800,4.40800,4.40800,4.51774,4.64578,4.82868,5.08475,5.54201,6.03585,6.78576,7.42593,8.01122,8.66968,8.63310,8.98061,8.90745,8.96232,8.90745,8.50506,8.04780,7.55396,7.46251,6.95037,6.80405,6.69431,6.52969,6.43824,6.32850,6.38337,6.34679,6.18217,6.14559,6.03585,6.12730,6.01756,6.03585,6.03585,6.38337,6.09072,6.40166,6.60285,6.49311,6.32850,6.45653,6.40166,6.60285,6.71260,6.73089,6.95037,7.29789,7.53567,7.86490,8.30387,8.96232,9.74881,10.95598,11.83393,12.40093,12.74845,12.91306,12.93135,12.69358,12.36435,12.03512,11.72418,11.35837,11.44983,11.94367,11.13889,10.71821,10.07804,9.80368,9.14523,9.14523,8.90745,8.37703,7.86490,7.84661,7.11499,6.91379,6.43824
2018,Harbord 33_11kV,03MAY2017,MW,6.21876,5.98098,5.70662,5.59688,6.23705,6.03585,5.85295,5.57859,5.28594,4.95671,4.77381,4.71894,4.60920,4.57261,4.40800,4.44458,4.49945,4.60920,4.48116,4.60920,4.86526,5.06646,5.41398,5.94440,6.65773,7.55396,8.13925,8.77942,8.98061,9.32813,9.43788,9.36471,9.36471,9.12694,8.88916,8.70626,8.39532,8.10267,8.02951,7.77344,7.68199,7.73686,7.38934,7.53567,7.35276,7.24302,7.57225,7.84661,8.10267,8.13925,8.15754,8.08438,8.13925,8.04780,7.99293,7.97464,7.68199,7.29789,7.13328,7.44422,7.44422,7.42593,7.75515,8.10267,8.23071,8.45019,8.96232,9.58420,10.18778,10.95598,12.19973,13.04110,13.49836,13.73613,13.79100,13.86417,13.86417,13.71784,13.18742,12.85819,12.45580,12.45580,12.73016,11.90709,11.32179,10.73650,10.24266,9.65736,9.73052,9.60249,8.83429,8.26729,8.32216,7.51738,7.09670,6.67602
2018,Harbord 33_11kV,04MAY2017,MW,6.34679,5.99927,5.87124,5.99927,6.60285,6.36508,6.23705,6.01756,5.61517,5.39568,5.15791,4.92013,4.79210,4.79210,4.79210,4.79210,4.60920,4.66407,4.79210,4.88355,5.13962,5.37739,5.94440,6.23705,6.96866,7.79173,8.59651,9.34642,9.56591,10.13291,10.02317,9.67565,9.27326,8.96232,8.48677,8.06609,7.81002,7.57225,7.73686,7.46251,7.42593,7.11499,7.00524,6.73089,7.15157,7.04183,6.98695,7.15157,7.22473,7.51738,7.68199,7.62712,7.48080,7.20644,7.06012,7.26131,7.13328,7.15157,7.16986,7.04183,7.13328,7.13328,7.09670,7.37105,7.64541,8.12096,8.70626,9.27326,9.89514,10.68163,11.66931,12.47409,12.87648,13.18742,13.42520,13.55323,13.26058,13.15084,12.91306,12.60212,12.36435,12.34606,12.58383,11.87051,11.28521,10.68163,10.46214,9.73052,9.67565,9.47446,8.98061,8.37703,8.37703,7.48080,7.27960,6.85892
2018,Harbord 33_11kV,05MAY2017,MW,6.54798,6.34679,6.03585,5.98098,6.76747,6.45653,6.16388,5.94440,5.54201,5.37739,5.17620,5.04817,4.88355,4.81039,4.81039,4.81039,4.81039,4.81039,4.81039,4.81039,5.13962,5.35910,5.70662,6.23705,7.00524,7.77344,8.48677,9.21839,9.34642,9.67565,9.73052,9.43788,9.21839,8.83429,8.52335,8.02951,7.88319,7.57225,7.29789,7.07841,7.00524,6.89550,6.73089,6.80405,6.67602,6.41995,6.87721,6.71260,6.29192,6.34679,6.34679,6.27363,6.16388,6.20046,6.14559,6.03585,6.10901,6.05414,6.07243,6.31021,6.54798,6.58456,6.73089,7.02354,7.24302,7.53567,8.06609,8.66968,9.07207,9.91343,10.95598,11.66931,11.94367,12.19973,12.18144,12.10828,11.83393,11.77905,11.54128,11.35837,10.91940,10.97427,11.34008,10.62676,10.26095,9.78539,9.54762,8.98061,9.27326,9.10865,8.63310,8.21241,8.13925,7.46251,7.20644,6.73089
2018,Harbord 33_11kV,06MAY2017,MW,6.51140,6.23705,5.87124,5.90782,6.56627,6.25534,6.09072,5.81637,5.52372,5.26765,5.06646,4.88355,4.88355,4.71894,4.71894,4.64578,4.55432,4.62749,4.55432,4.55432,4.71894,4.79210,4.97500,5.12133,5.41398,5.77978,6.18217,6.67602,6.98695,7.66370,8.23071,8.21241,8.48677,8.45019,8.54164,8.55993,8.41361,8.21241,8.21241,8.21241,8.12096,8.02951,7.81002,7.84661,7.70028,7.27960,7.13328,7.11499,7.09670,7.02354,7.02354,6.85892,6.73089,6.62115,6.67602,6.74918,6.82234,6.74918,6.82234,6.89550,6.93208,7.16986,7.42593,7.62712,,,,,,,,11.32179,11.46812,11.54128,11.41324,11.24863,10.91940,10.55359,10.33411,9.98659,9.85856,9.85856,10.22437,9.51104,9.14523,8.77942,8.72455,8.37703,8.61481,8.66968,8.37703,8.02951,7.97464,7.31618,7.07841,6.63944
2018,Harbord 33_11kV,07MAY2017,MW,6.41995,6.14559,5.96269,5.96269,6.56627,6.43824,6.16388,5.92611,5.54201,5.30423,5.04817,4.97500,4.81039,4.77381,4.77381,4.68236,4.55432,4.55432,4.55432,4.55432,4.55432,4.55432,4.60920,4.73723,5.12133,5.26765,5.50543,5.83466,6.09072,6.34679,6.69431,7.09670,7.51738,7.90148,7.82832,8.02951,8.45019,8.23071,8.17583,7.88319,7.60883,7.55396,7.57225,7.31618,7.13328,7.09670,7.11499,6.89550,6.84063,6.80405,6.74918,6.73089,6.71260,6.69431,6.76747,6.65773,6.65773,6.74918,6.78576,6.96866,7.16986,7.29789,7.46251,7.71857,8.24900,8.57822,9.16352,9.73052,10.05975,11.08402,12.32777,12.85819,13.09597,13.46178,13.35203,13.04110,12.82161,12.47409,12.08999,11.63273,11.35837,11.41324,11.90709,10.97427,10.51701,10.04146,9.60249,8.98061,9.14523,8.94403,8.28558,7.81002,7.82832,7.13328,6.71260,6.40166
2018,Harbord 33_11kV,08MAY2017,MW,6.25534,5.94440,5.79807,5.81637,6.36508,6.34679,6.09072,5.85295,5.46885,5.24936,5.02988,5.02988,4.97500,4.86526,4.75552,4.53603,4.62749,4.86526,4.86526,4.86526,5.21278,5.54201,5.87124,6.31021,7.20644,8.21241,9.05378,9.91343,9.73052,10.13291,10.26095,10.13291,9.89514,9.78539,9.40129,9.05378,8.63310,8.35874,8.02951,7.70028,7.60883,7.37105,7.15157,6.96866,6.85892,6.71260,6.80405,6.71260,6.71260,6.87721,7.26131,7.13328,6.89550,6.82234,6.73089,6.73089,6.80405,6.93208,6.95037,7.02354,6.95037,7.11499,7.38934,7.81002,8.10267,8.52335,9.12694,9.80368,10.73650,11.87051,13.09597,14.02878,14.63237,14.87014,15.03476,15.14450,15.03476,14.68724,14.43117,14.01049,13.64468,13.51665,13.91904,13.05939,12.43751,11.52299,11.02915,10.29753,10.40727,9.98659,9.18181,8.66968,8.54164,7.75515,7.53567,7.16986
2018,Harbord 33_11kV,09MAY2017,MW,6.87721,6.60285,6.29192,6.20046,6.76747,6.58456,6.36508,6.05414,5.77978,5.72491,5.61517,5.30423,5.19449,4.95671,4.95671,4.82868,4.90184,4.99329,5.12133,5.17620,5.59688,6.01756,6.27363,6.73089,7.68199,8.72455,9.23668,10.04146,10.20607,10.59017,10.46214,10.35240,10.46214,10.27924,9.95001,9.51104,9.34642,9.27326,9.29155,9.03549,8.39532,7.68199,7.40763,7.18815,7.00524,6.78576,6.67602,6.69431,6.87721,6.89550,6.58456,6.74918,6.78576,6.96866,6.87721,6.76747,6.78576,6.85892,6.93208,6.82234,6.96866,7.07841,7.40763,7.73686,8.15754,8.65139,9.03549,9.71223,10.44385,11.59615,13.02281,13.90075,14.44946,14.94330,15.25424,15.07134,14.88843,14.59578,14.32143,14.02878,13.71784,13.62639,14.12023,13.00451,12.40093,11.59615,11.15718,10.33411,10.37069,10.05975,9.36471,8.81600,8.76113,7.88319,7.57225,7.09670
2018,Harbord 33_11kV,10MAY2017,MW,6.82234,6.41995,6.16388,6.12730,6.71260,6.60285,6.36508,6.12730,5.99927,5.68833,5.63346,5.39568,5.28594,5.13962,5.13962,4.99329,4.99329,5.13962,5.13962,5.28594,5.70662,5.85295,6.29192,6.96866,7.81002,8.81600,9.41959,10.18778,10.31582,10.53530,10.40727,10.15120,9.85856,9.56591,9.20010,8.68797,8.34045,8.06609,7.79173,7.35276,7.20644,7.22473,7.07841,6.91379,6.78576,6.63944,6.51140,6.49311,6.49311,6.40166,6.38337,6.73089,7.22473,7.00524,6.82234,6.63944,6.71260,6.54798,6.54798,6.67602,6.82234,6.85892,7.20644,7.51738,7.88319,8.28558,8.74284,9.58420,10.26095,11.21205,12.25461,13.24229,13.91904,14.44946,14.57749,14.43117,14.37630,14.15681,13.84588,13.53494,13.48007,13.49836,13.84588,13.05939,12.30948,11.59615,11.06573,10.40727,10.42556,10.11462,9.45617,8.92574,8.94403,8.04780,7.55396,7.15157
