year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Hornsby 132_11kV,01MAY2017,MW,34.90626,35.01972,33.39353,33.79062,34.69826,32.82626,31.14334,29.66843,28.30697,26.73752,25.84879,24.77097,24.12805,23.59860,22.97460,22.31278,22.38841,22.72878,22.78551,23.05023,23.97678,25.01678,26.79424,28.79861,31.93753,34.69826,37.44008,38.95282,38.93391,40.04955,41.03282,40.73027,41.42991,41.35428,40.91937,40.86264,40.63573,40.54118,41.35428,40.33318,40.08736,39.70918,39.25536,39.19863,39.16082,38.89609,38.85827,38.53681,38.30990,38.32881,38.12081,39.16082,38.44227,38.68809,38.19645,38.08300,38.19645,38.30990,38.55572,38.36663,38.40445,38.30990,38.40445,38.48009,39.27427,39.10409,38.85827,39.29318,39.72809,41.46773,41.92155,43.86919,43.73683,43.77464,43.77464,43.20737,42.52664,41.95937,41.16518,40.57900,39.87936,39.08518,38.93391,38.32881,37.61027,36.41899,35.43572,34.32008,35.00081,35.73826,35.00081,33.45026,32.46698,34.09317,35.51135,34.43353
2018,Hornsby 132_11kV,02MAY2017,MW,35.07644,35.11426,33.05317,33.82844,35.07644,32.82626,31.21898,29.87643,28.09897,27.21024,25.94333,25.35715,24.65751,23.76878,23.48514,23.23933,23.16369,23.37169,22.61532,22.72878,23.42842,24.75206,26.24588,28.66625,31.25680,33.20444,35.66263,36.74045,36.87281,37.87499,38.53681,39.91718,40.06845,39.70918,40.06845,39.19863,39.78482,39.65245,38.72591,38.91500,38.65027,38.42336,38.49900,38.19645,37.81827,38.29100,38.17754,37.64809,38.32881,38.13972,38.49900,38.44227,38.38554,38.34772,38.19645,38.49900,38.13972,37.32663,37.36445,37.40227,37.47790,37.13754,37.26990,37.89390,37.87499,38.63136,38.68809,39.29318,39.86045,41.14628,42.48882,43.58555,43.56664,43.81246,43.28301,43.39646,43.05610,42.41319,41.73246,41.08955,40.27645,39.38773,38.82045,38.17754,37.44008,36.32445,35.32226,34.54699,35.71935,36.77827,35.77608,34.30117,32.95862,34.22553,35.68154,34.81172
2018,Hornsby 132_11kV,03MAY2017,MW,35.47353,34.94408,33.18553,33.79062,34.50917,32.80735,31.18116,29.72516,28.04225,27.15352,26.03788,24.86551,23.95787,23.92005,23.22042,22.95569,22.99351,23.25823,22.86114,23.12587,23.80660,24.56296,27.05897,29.13898,32.10771,34.86844,36.74045,37.96954,38.12081,39.65245,40.65464,40.88155,41.56228,41.05173,40.86264,40.12518,39.21754,39.25536,39.82264,39.76591,40.27645,39.99282,40.38991,40.06845,40.23864,40.18191,40.14409,40.35209,40.40882,40.29536,40.35209,40.59791,40.95718,41.39209,40.35209,40.27645,39.93609,38.57463,37.76154,38.27209,38.30990,37.91281,38.12081,38.30990,38.87718,39.93609,40.73027,41.27864,42.31864,43.68010,45.41974,46.47865,46.40301,46.72447,47.19720,46.85683,46.28956,45.77901,44.62556,43.77464,43.05610,42.54555,42.24300,41.12737,40.04955,39.27427,38.70700,37.68590,38.53681,38.59354,37.21318,35.73826,34.30117,35.66263,37.13754,36.07863
2018,Hornsby 132_11kV,04MAY2017,MW,37.19427,37.36445,34.79281,35.54917,36.11645,34.07426,32.16444,30.50043,29.34698,28.28806,27.05897,25.96224,25.52733,25.30042,24.92224,24.77097,24.73315,24.10915,23.44733,23.99569,24.39278,25.86769,27.05897,29.83861,32.63716,35.81390,37.53463,39.02845,39.61464,40.69246,41.14628,41.16518,41.20300,40.65464,40.86264,40.74918,40.23864,39.52009,39.08518,39.86045,39.76591,39.02845,39.44445,39.91718,40.21973,40.27645,40.48446,40.74918,41.16518,41.31646,41.56228,41.03282,40.80591,40.95718,40.63573,39.93609,40.01173,39.31209,38.95282,38.53681,38.06409,37.51572,38.10190,38.66918,39.57682,40.21973,40.14409,40.65464,42.05391,43.66119,45.24956,47.29174,47.42411,47.48083,47.78338,47.57538,47.15938,46.61101,45.94920,45.23065,45.07937,44.34192,43.68010,42.94264,41.44882,39.40663,38.29100,37.11863,37.83718,38.36663,36.91063,35.09535,33.86626,34.88735,36.70263,35.43572
2018,Hornsby 132_11kV,05MAY2017,MW,36.34336,35.94626,34.30117,35.01972,35.47353,33.46917,31.37025,29.64952,28.36370,27.13461,25.92442,24.88442,24.07133,23.33387,22.99351,23.10696,22.88005,22.88005,22.88005,23.52296,24.39278,25.79206,27.17243,29.57389,32.14553,34.52808,36.60808,38.13972,39.04736,39.82264,40.50336,40.25755,40.38991,39.82264,40.16300,39.89827,39.97391,39.57682,38.91500,38.32881,37.87499,37.74263,37.51572,37.25099,36.83499,36.74045,36.77827,36.66481,36.62699,36.70263,36.22990,36.40008,36.51354,36.21099,36.04081,35.77608,35.81390,35.71935,35.85172,35.79499,35.87063,36.13535,36.24881,36.40008,36.75936,37.93172,37.89390,38.06409,38.63136,39.82264,41.58119,42.48882,42.71573,42.39428,42.41319,41.94046,41.61900,41.12737,40.63573,40.29536,39.67136,39.06627,38.63136,38.91500,37.55354,36.68372,36.41899,35.15208,36.51354,36.96736,36.13535,34.94408,33.60153,34.60371,36.68372,35.73826
2018,Hornsby 132_11kV,06MAY2017,MW,36.57026,36.40008,34.45244,34.77390,35.37899,33.33680,31.59716,29.93316,28.32588,26.83206,26.11351,25.26260,24.61969,24.14696,23.67424,22.82332,22.97460,22.38841,22.02914,22.02914,22.35060,22.53969,23.40951,24.67642,25.98115,26.81315,27.89097,28.83643,29.72516,30.89752,31.91862,33.07207,34.24444,34.96299,35.70044,35.96517,35.81390,36.21099,35.94626,35.98408,36.15426,35.96517,35.26553,35.43572,35.05753,34.39571,34.01753,34.09317,33.73389,33.03426,32.80735,32.95862,32.61826,32.54262,32.22116,32.08880,31.72953,32.10771,32.18335,32.75062,33.20444,32.75062,33.24226,33.67717,,,,,,,,39.57682,39.91718,39.91718,39.61464,38.82045,38.21536,36.96736,36.28663,35.66263,34.92517,34.47135,34.26335,34.05535,33.16662,32.78844,32.41026,31.63498,32.93971,34.03644,33.67717,32.54262,31.74844,33.43135,35.43572,34.75499
2018,Hornsby 132_11kV,07MAY2017,MW,35.88954,35.68154,34.05535,34.26335,35.00081,33.28008,31.40807,29.42261,28.13679,27.11570,25.75424,24.92224,24.09024,23.31496,22.48296,22.08587,21.68878,21.51859,21.17823,20.87568,21.29168,21.42405,21.65096,22.02914,22.88005,23.40951,24.07133,24.67642,25.16806,26.32151,27.73970,28.91207,29.68734,30.36807,31.04880,31.63498,32.44807,33.05317,32.58044,32.65607,32.82626,32.93971,32.90189,32.59935,32.33462,32.41026,32.24007,31.86189,32.44807,32.20225,31.67280,31.18116,31.37025,30.97316,31.02989,30.78407,30.87862,30.85971,31.06771,31.55934,31.86189,32.37244,33.31789,33.43135,33.94190,35.13317,35.43572,35.83281,37.13754,38.89609,41.56228,43.39646,43.45319,43.75574,43.09392,42.84810,42.14846,42.35646,41.80809,40.84373,40.52227,40.18191,39.29318,38.65027,37.89390,36.87281,36.66481,35.71935,36.58917,37.13754,35.88954,34.28226,32.86407,34.11208,35.62481,34.49026
2018,Hornsby 132_11kV,08MAY2017,MW,35.49244,35.64372,34.22553,34.58481,35.71935,33.71499,31.95644,30.57607,29.08225,27.53170,26.64297,25.47060,24.52515,24.33606,23.82551,23.42842,24.03351,23.90115,23.65533,24.10915,24.97897,26.49170,28.45825,31.04880,33.67717,36.89172,39.74700,41.20300,41.67573,43.18846,43.81246,43.60446,43.98265,44.41756,44.03937,43.73683,43.92592,43.18846,42.65901,42.31864,41.35428,40.27645,39.65245,39.14191,39.50118,39.44445,39.55791,39.48227,38.91500,38.76372,38.85827,38.85827,39.14191,39.08518,38.34772,37.93172,37.96954,38.63136,38.80154,38.55572,38.78263,38.59354,39.57682,40.01173,40.59791,41.01391,41.20300,42.22410,43.81246,45.70338,47.87793,49.05029,49.74993,50.10920,50.07139,49.59866,49.48520,49.18266,48.55866,48.02920,47.15938,46.36520,45.55210,44.85247,43.52883,42.50773,41.50555,39.99282,40.18191,40.95718,39.55791,37.38336,36.28663,37.59136,39.14191,37.64809
2018,Hornsby 132_11kV,09MAY2017,MW,38.38554,38.13972,36.32445,36.79717,37.28881,35.51135,33.60153,31.82407,30.50043,29.19570,27.96661,26.37824,25.79206,25.56515,25.09242,25.09242,24.84660,24.35496,24.33606,24.78987,25.73533,27.02115,28.85534,31.65389,34.81172,37.83718,40.65464,41.80809,42.96155,43.73683,44.60665,44.73901,45.36301,45.21174,44.79574,44.53101,44.47428,44.32301,43.77464,42.98046,41.63791,40.88155,40.40882,40.08736,39.61464,38.78263,38.78263,38.65027,38.44227,38.34772,38.21536,38.27209,38.32881,38.13972,37.61027,37.66699,37.42118,37.36445,37.38336,36.98627,37.13754,36.98627,37.51572,38.21536,39.06627,40.04955,40.44664,41.08955,42.62119,44.45537,46.70556,47.66993,48.33175,48.78557,48.86120,49.08811,48.76666,48.82338,47.93465,47.44302,46.62992,45.74119,44.68228,44.19065,43.15064,42.14846,41.22191,39.63354,40.54118,40.97609,39.57682,37.59136,36.43790,37.49681,39.16082,37.45899
2018,Hornsby 132_11kV,10MAY2017,MW,38.40445,38.19645,36.83499,37.15645,37.49681,35.39790,33.69608,32.14553,30.27352,29.29025,28.11788,27.21024,26.49170,25.84879,25.56515,25.31933,25.26260,24.77097,24.26042,24.54406,25.94333,27.28588,28.91207,31.71062,35.28444,38.97172,41.27864,43.03719,43.86919,44.89028,45.13610,45.28738,45.00374,44.28519,44.00155,43.68010,43.09392,42.16737,41.31646,40.82482,40.16300,39.48227,39.21754,38.93391,38.13972,37.59136,37.59136,38.25318,37.76154,37.51572,37.66699,38.04518,37.25099,37.21318,36.98627,36.91063,36.58917,36.72154,36.74045,36.60808,36.34336,36.38117,36.83499,37.25099,37.68590,38.80154,39.55791,40.69246,41.88373,43.22628,45.62774,46.85683,47.51865,47.74556,48.29393,48.10484,47.76447,47.14047,46.62992,45.91138,45.11719,44.72010,43.88810,43.20737,42.98046,41.78919,40.93827,39.55791,40.38991,41.12737,39.80373,37.93172,36.62699,37.81827,39.33100,38.04518
