year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Hurstville North 132_11kV,01MAY2016,MW,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962
2017,Hurstville North 132_11kV,02MAY2016,MW,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962
2017,Hurstville North 132_11kV,03MAY2016,MW,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,13.46962,10.47637,12.95811,12.95811,12.95811,12.95811,12.95811,12.95811,12.95811,12.95811,12.95811,12.95811,12.95811,12.95811,12.95811,12.95811,12.95811,12.95811,13.60223,14.07585,14.07585,14.07585,13.16651,13.12862,13.12862,13.12862,13.12862,12.10561,11.97299,11.97299,11.97299,11.97299,11.97299,11.08260,11.08260,11.08260,11.08260,11.08260,11.08260,10.53320,9.92698,9.92698,9.92698,9.92698
2017,Hurstville North 132_11kV,04MAY2016,MW,9.92698,9.92698,9.83225,8.82819,8.82819,8.12724,7.93779,7.93779,7.08529,7.02845,7.02845,6.61167,6.13805,6.13805,6.13805,6.13805,6.17594,6.17594,6.17594,6.17594,6.17594,6.95267,7.19895,7.35051,8.29774,8.99869,9.26392,9.92698,10.26798,10.83632,10.83632,10.94999,11.72672,11.72672,11.72672,11.72672,11.72672,11.72672,11.72672,11.72672,12.73078,12.88234,12.88234,12.88234,12.88234,12.88234,12.88234,12.88234,12.88234,12.88234,12.88234,12.88234,12.88234,12.88234,12.88234,12.88234,12.88234,12.88234,12.88234,12.88234,12.88234,12.88234,12.88234,12.88234,12.88234,12.88234,12.88234,12.88234,12.88234,13.39384,13.81062,13.81062,13.81062,13.81062,13.81062,13.81062,13.29912,12.82550,12.82550,12.82550,12.82550,12.82550,12.54133,11.93511,11.93511,11.93511,11.78355,10.74160,10.74160,10.74160,10.74160,10.74160,10.74160,9.87014,10.62793,10.23009
2017,Hurstville North 132_11kV,05MAY2016,MW,9.75648,9.75648,9.75648,8.77136,8.69558,8.69558,8.01357,7.80518,7.80518,6.91478,6.91478,6.91478,6.91478,6.91478,6.91478,6.91478,6.32750,6.30856,6.30856,6.30856,6.30856,6.30856,6.89584,7.80518,8.58191,8.69558,9.60492,9.96487,10.53320,10.53320,11.44255,11.68883,11.68883,11.68883,11.68883,11.68883,11.68883,11.68883,11.68883,11.87827,12.78761,12.78761,12.78761,12.78761,12.78761,12.78761,12.78761,12.78761,12.78761,12.78761,12.78761,12.78761,12.78761,12.78761,12.78761,12.78761,12.78761,12.78761,12.78761,12.78761,12.78761,12.78761,12.78761,12.78761,12.78761,12.78761,12.78761,12.97706,13.77273,13.77273,13.77273,13.77273,13.77273,13.77273,13.77273,13.77273,13.20439,12.82550,12.82550,12.82550,12.82550,12.82550,12.69289,11.93511,11.93511,11.93511,11.93511,11.93511,11.93511,11.66988,10.77948,10.77948,10.77948,10.41954,10.59004,10.43848
2017,Hurstville North 132_11kV,06MAY2016,MW,9.71859,9.71859,9.71859,9.43442,8.65769,8.60085,7.71046,7.71046,7.44523,6.82006,6.82006,6.82006,6.82006,6.82006,6.82006,6.82006,6.82006,6.82006,6.82006,6.82006,6.82006,6.82006,6.82006,7.69151,8.25985,8.79030,9.43442,9.71859,10.47637,11.53727,11.55621,11.55621,11.55621,11.59410,12.44661,12.44661,12.44661,12.44661,12.44661,12.44661,12.44661,12.44661,12.44661,12.44661,12.44661,12.44661,13.05284,13.33701,13.33701,13.33701,13.33701,13.33701,13.33701,13.33701,13.33701,13.33701,13.33701,13.33701,13.33701,13.33701,13.33701,13.33701,13.33701,13.33701,13.33701,13.33701,13.33701,13.33701,13.33701,13.33701,13.33701,13.33701,13.33701,13.33701,13.33701,13.33701,13.31806,12.27611,12.27611,12.27611,12.27611,12.21927,11.38571,11.38571,11.38571,11.38571,11.38571,11.25310,10.49532,10.49532,10.49532,10.49532,10.49532,10.49532,10.49532,10.49532
2017,Hurstville North 132_11kV,07MAY2016,MW,10.49532,10.45743,9.58597,9.58597,9.33969,8.69558,8.48719,7.80518,7.80518,7.78624,6.91478,6.91478,6.91478,6.91478,6.91478,6.91478,6.70639,6.68745,6.68745,6.68745,6.68745,6.68745,6.68745,6.68745,6.68745,6.68745,6.68745,6.68745,7.72940,8.01357,8.01357,8.44930,8.90397,8.96080,9.81331,9.81331,9.81331,9.81331,9.81331,9.81331,9.81331,9.81331,9.81331,9.81331,10.21115,10.77948,10.77948,10.77948,10.77948,10.77948,10.77948,10.77948,10.77948,10.77948,10.77948,10.77948,10.77948,10.77948,10.77948,10.77948,10.77948,10.77948,10.77948,10.77948,10.77948,10.77948,10.77948,10.77948,10.77948,11.55621,11.85933,11.85933,11.85933,11.85933,11.85933,11.85933,11.85933,11.85933,11.85933,11.85933,11.85933,11.85933,11.57516,10.91210,10.91210,10.91210,10.91210,10.91210,10.91210,10.91210,10.91210,10.91210,10.53320,9.75648,9.75648,9.75648
2017,Hurstville North 132_11kV,08MAY2016,MW,9.75648,9.75648,9.75648,9.75648,9.47231,8.65769,8.65769,8.16513,7.76729,7.76729,7.76729,7.25579,6.61167,6.61167,6.61167,6.61167,6.61167,6.61167,6.61167,6.61167,6.61167,6.61167,6.61167,6.61167,6.61167,6.61167,6.61167,7.52101,7.63468,7.63468,7.63468,7.63468,7.63468,8.14618,8.61980,8.61980,8.61980,9.51020,9.75648,9.75648,9.75648,9.75648,9.75648,9.75648,10.59004,10.70371,10.70371,10.70371,10.70371,10.70371,10.70371,10.70371,10.70371,10.70371,10.70371,10.70371,10.70371,10.70371,10.70371,10.70371,10.70371,10.70371,10.70371,10.70371,10.70371,10.70371,10.70371,10.70371,10.70371,11.46149,11.72672,11.72672,11.72672,11.72672,11.72672,11.72672,11.72672,11.72672,11.72672,11.72672,11.72672,11.72672,11.72672,11.72672,11.72672,11.46149,10.66582,10.66582,10.66582,10.66582,10.66582,10.66582,10.47637,9.71859,9.71859,9.71859
2017,Hurstville North 132_11kV,09MAY2016,MW,9.71859,9.71859,9.71859,8.86608,8.73347,8.37352,7.84307,7.84307,7.42629,6.95267,6.95267,6.95267,6.95267,6.95267,6.95267,6.95267,6.95267,6.95267,6.95267,6.95267,6.95267,6.95267,6.95267,7.78624,8.27880,8.79030,9.33969,9.81331,10.55215,10.74160,11.51832,11.63199,11.63199,11.63199,11.78355,12.61711,12.61711,12.61711,12.61711,12.61711,12.61711,13.28017,13.50751,13.50751,13.50751,13.50751,13.50751,13.50751,13.50751,13.50751,13.50751,13.50751,13.50751,13.50751,13.50751,13.50751,13.50751,13.50751,13.50751,13.50751,13.50751,13.50751,13.50751,13.50751,13.50751,13.50751,13.50751,13.50751,13.50751,13.50751,13.50751,13.50751,13.50751,13.50751,13.50751,13.50751,13.50751,12.97706,12.54133,12.54133,12.54133,12.54133,12.29505,11.59410,11.59410,11.59410,11.59410,11.59410,11.59410,11.51832,10.49532,10.49532,10.49532,10.36270,10.38165,10.24904
2017,Hurstville North 132_11kV,10MAY2016,MW,9.51020,9.51020,9.51020,9.09341,8.61980,8.61980,7.95674,7.71046,7.71046,7.71046,7.02845,6.82006,6.82006,6.82006,6.82006,6.82006,6.30856,6.30856,6.30856,6.30856,6.30856,6.30856,6.30856,7.63468,8.07040,8.69558,8.94186,9.68070,10.19220,10.60898,10.94999,11.51832,11.51832,11.51832,11.51832,11.51832,11.51832,11.63199,12.44661,12.44661,12.44661,12.44661,12.44661,12.44661,12.44661,12.44661,12.44661,12.63606,13.60223,13.60223,13.60223,12.78761,12.88234,13.60223,13.28017,12.65500,11.91616,13.16651,13.16651,13.16651,13.16651,13.16651,13.16651,13.16651,13.16651,13.16651,13.16651,13.16651,13.16651,13.31806,14.07585,14.07585,14.07585,14.07585,14.07585,13.96218,13.12862,13.12862,13.12862,13.12862,13.12862,12.29505,11.97299,11.97299,11.97299,11.97299,11.78355,10.77948,10.77948,10.77948,10.77948,10.77948,10.77948,10.77948,10.77948,10.77948
2017,Hurstville North 132_11kV,11MAY2016,MW,10.77948,10.77948,10.77948,9.45336,8.67663,8.56296,8.16513,7.67257,7.67257,7.23684,6.74428,6.74428,6.74428,6.74428,6.74428,6.74428,6.74428,6.74428,6.74428,6.74428,6.74428,6.85795,7.63468,7.63468,8.35457,8.61980,9.47231,10.11642,10.40059,10.45743,11.34782,11.34782,11.34782,11.34782,11.34782,11.34782,11.34782,11.34782,11.46149,12.27611,12.27611,12.27611,12.27611,12.27611,12.27611,12.27611,12.27611,12.27611,12.27611,12.27611,13.03389,13.16651,12.88234,12.27611,12.27611,12.27611,12.27611,12.27611,12.27611,12.27611,12.27611,12.27611,12.27611,12.27611,12.27611,12.27611,12.27611,12.27611,12.80656,13.29912,13.29912,13.29912,13.29912,13.29912,13.29912,13.29912,13.29912,13.29912,13.29912,13.29912,13.29912,13.29912,12.84445,12.14350,12.14350,12.14350,11.89722,11.25310,11.25310,11.25310,11.25310,11.25310,10.53320,10.09748,10.09748,10.09748
2017,Hurstville North 132_11kV,12MAY2016,MW,10.09748,10.09748,9.88909,9.13130,9.13130,8.24091,8.22196,7.82412,7.33156,7.33156,7.33156,7.33156,7.12317,6.44117,6.44117,6.44117,6.44117,6.44117,6.44117,6.44117,6.44117,6.63061,7.33156,7.35051,8.22196,8.94186,9.56703,10.15431,10.87421,11.12049,11.12049,11.12049,11.42360,12.06772,12.06772,12.06772,12.06772,12.06772,12.06772,12.06772,12.06772,12.06772,12.06772,12.06772,12.06772,12.06772,12.06772,12.99600,13.05284,13.05284,13.05284,13.05284,13.05284,13.05284,13.05284,13.05284,13.05284,13.05284,13.05284,13.05284,13.05284,13.05284,13.05284,13.05284,13.05284,13.05284,13.05284,13.05284,13.05284,13.28017,14.01901,14.01901,14.01901,14.01901,13.90535,13.12862,13.12862,13.12862,13.12862,13.12862,13.12862,13.12862,13.12862,12.20033,12.14350,12.14350,12.14350,11.48044,11.25310,11.25310,11.25310,11.02576,10.15431,10.15431,10.15431,10.15431
2017,Hurstville North 132_11kV,13MAY2016,MW,10.15431,10.15431,10.09748,8.99869,8.99869,8.82819,8.05146,8.05146,7.69151,7.16106,7.16106,7.16106,7.16106,7.16106,7.16106,6.80112,6.27067,6.27067,6.27067,6.27067,7.00951,7.16106,7.16106,7.78624,8.29774,8.99869,9.28286,9.92698,10.49532,10.87421,10.87421,11.51832,11.85933,11.85933,11.85933,11.85933,11.85933,11.85933,11.85933,11.85933,12.38978,12.82550,12.82550,12.82550,12.82550,12.82550,12.82550,12.82550,12.82550,12.82550,12.82550,12.82550,12.82550,12.82550,12.82550,12.82550,12.82550,12.82550,12.82550,12.82550,12.82550,12.82550,12.82550,12.82550,12.82550,12.82550,12.82550,12.82550,12.82550,13.37490,13.77273,13.77273,13.77273,13.77273,13.77273,13.77273,12.61711,12.61711,12.61711,12.61711,12.52239,11.72672,11.72672,11.72672,11.72672,11.72672,11.65094,10.83632,10.83632,10.83632,10.83632,10.83632,10.83632,10.55215,10.72265,10.34376
2017,Hurstville North 132_11kV,14MAY2016,MW,9.85120,9.85120,9.85120,9.41547,8.96080,8.96080,8.39246,8.05146,8.05146,7.25579,7.16106,7.16106,7.16106,7.16106,7.16106,7.02845,6.27067,6.27067,6.27067,6.27067,6.27067,6.27067,6.27067,6.27067,6.74428,7.19895,7.19895,7.19895,7.95674,8.18407,8.18407,8.18407,9.07447,9.20708,9.20708,9.20708,9.77542,10.15431,10.15431,10.15431,10.15431,10.15431,10.15431,10.15431,10.15431,10.15431,10.15431,10.15431,10.15431,10.15431,10.15431,10.15431,10.15431,10.15431,10.15431,10.15431,10.15431,10.15431,10.15431,10.15431,10.15431,10.15431,10.15431,10.15431,10.15431,10.15431,10.15431,10.15431,10.60898,11.29099,11.29099,11.89722,12.20033,12.20033,12.20033,12.20033,12.20033,11.48044,11.29099,11.29099,11.29099,11.29099,11.29099,11.29099,11.29099,11.29099,11.10154,10.40059,10.40059,10.40059,10.40059,10.40059,10.40059,10.23009,10.30587,10.40059
