year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Jannali 33_11kV,01MAY2017,MW,13.02021,12.47895,11.54017,12.55214,14.17490,14.78145,13.69556,12.47290,11.28483,12.38869,10.74448,10.73300,9.27860,8.44443,7.66968,7.22321,6.80185,6.29931,6.30776,6.24611,6.60797,6.87788,7.42588,8.26586,9.18326,10.65811,11.65061,11.31027,11.11855,11.54931,11.38248,11.01374,10.60032,10.10229,9.60445,9.23667,8.74196,8.52845,8.21864,8.23078,7.85915,7.61391,7.18208,6.82831,6.72860,6.51907,6.80760,6.56430,6.24185,6.48114,6.41477,6.40320,6.58978,6.63766,6.69479,6.26486,6.89275,6.90783,6.66825,6.92078,6.89991,7.08405,7.43749,7.88205,8.35347,8.72437,9.07544,9.85185,10.98107,12.17701,13.53479,14.55327,14.98026,15.53430,15.52756,15.03548,14.58862,14.27491,13.82423,13.27109,12.86230,12.35264,11.99611,11.72608,11.40769,10.88546,10.68410,10.19347,10.41722,9.86174,9.71092,9.07821,14.25468,13.93364,14.28918,13.34170
2018,Jannali 33_11kV,02MAY2017,MW,12.58684,11.86964,10.68584,11.40959,13.11161,13.50310,12.46642,11.23249,10.18469,11.42026,9.95975,9.72718,8.55403,7.60322,7.07942,6.75591,6.53038,6.35873,6.17691,6.27432,6.54200,6.93391,7.22561,8.11649,9.17957,10.56544,11.17510,10.96661,10.76038,10.81564,10.62990,10.42604,9.91043,9.24303,9.19683,8.62642,8.39898,8.22568,8.14084,7.98337,7.23399,7.02546,6.96549,6.88967,6.71211,6.74984,6.43613,6.46764,6.38794,6.27021,6.27975,6.38846,6.37265,6.65205,6.90189,6.95083,7.08088,6.97330,6.89126,6.66844,7.03445,7.43103,7.32032,8.02167,8.44260,9.10166,9.45115,10.29545,11.24778,12.48157,13.67740,14.42897,15.25982,15.41706,15.53666,15.29964,14.61049,14.21823,13.93072,13.51808,13.43599,12.86744,12.57204,12.29533,11.82127,11.28631,11.16670,10.77620,10.80376,10.22681,10.03600,9.42595,14.48993,14.34600,14.75819,13.60037
2018,Jannali 33_11kV,03MAY2017,MW,12.86065,12.18623,11.19408,12.19298,13.97365,14.42399,12.98151,11.68483,10.33479,11.35246,9.81317,9.77933,8.45899,7.63995,7.12713,6.70877,6.35778,6.22311,5.99035,6.41388,6.37085,6.68429,7.26744,7.95345,9.13288,10.53586,11.48909,11.01762,10.81417,11.33068,11.19052,10.66219,10.25114,9.70879,9.22914,8.95664,8.62943,8.71127,8.18770,8.13420,7.88044,7.33899,7.14036,7.49488,7.29872,7.38011,7.66599,7.54385,7.04708,6.58625,6.62409,6.83043,6.79945,6.64522,7.32062,7.55676,7.55716,7.87450,8.34455,8.55891,8.97864,8.90664,9.28425,9.94657,10.17611,10.60672,11.22633,11.97195,12.95964,14.32013,15.62960,16.46726,17.02068,17.45133,17.45091,17.07542,16.66097,16.10019,15.67989,15.20267,14.78892,14.47937,13.86252,13.56060,13.10541,12.53442,12.22181,11.63953,11.72726,11.13979,10.73281,9.87490,15.05212,14.74040,15.38603,14.43984
2018,Jannali 33_11kV,04MAY2017,MW,13.55316,12.72311,11.64834,12.53453,14.20107,14.74193,13.59857,12.26072,10.88506,11.83333,10.05354,10.28726,8.81694,7.98520,7.45389,6.93378,6.75266,6.57238,6.52995,6.44691,6.71347,7.04225,7.41183,8.46335,9.55914,10.74536,11.96854,11.60543,11.79605,12.11444,12.14893,12.13750,11.63695,10.91490,10.45857,9.67343,8.78858,8.26642,8.21564,7.97497,7.79265,7.69415,7.52859,7.30773,6.99304,7.34470,7.26300,7.18943,6.73849,7.29258,7.72999,7.93153,7.79966,7.86546,7.48456,7.43372,7.44450,7.56084,7.45618,7.72661,7.75113,7.41720,7.88577,8.51916,9.22180,9.79164,10.52347,11.22374,11.96163,13.12057,14.23089,15.07733,15.54730,15.91727,15.77137,15.90927,15.49924,15.17017,14.75969,14.52812,14.20277,13.66497,13.16720,12.77124,12.45519,11.83970,11.67632,11.29597,11.51480,10.78473,10.57159,9.84791,14.97514,14.66568,15.16924,14.24509
2018,Jannali 33_11kV,05MAY2017,MW,13.53659,12.69283,11.59571,12.41501,14.18624,14.57532,13.41534,12.23692,11.12119,11.91621,10.29114,10.36339,8.92287,8.04124,7.46077,7.05739,6.91333,6.60501,6.44469,6.37541,6.66571,6.97677,7.38963,8.21711,9.37441,10.75722,11.30153,11.16594,11.56242,11.92948,11.72679,11.34642,11.01593,10.38255,10.02317,9.30484,8.93992,8.59812,8.32783,8.08181,7.73657,7.55177,7.49115,7.28352,7.02200,6.66967,6.58588,6.73751,6.91890,6.78796,6.60825,6.54569,6.55808,6.70553,6.56940,6.82955,7.06865,6.97387,6.96477,7.11188,7.18527,7.36792,7.68292,7.98077,8.57122,8.92250,9.38616,9.86566,10.66568,11.70666,12.98405,13.84062,14.22423,14.59960,14.44947,14.23113,13.91890,13.71819,13.30598,13.17914,12.98063,12.45602,12.19227,11.85456,11.53997,11.13260,11.14598,10.66971,11.02785,10.56344,10.40283,9.84247,14.99754,14.71639,14.99388,13.99255
2018,Jannali 33_11kV,06MAY2017,MW,13.28522,12.61462,11.41994,12.34335,13.90909,14.34216,13.07733,11.65910,10.52120,11.47698,9.87872,9.84816,8.64660,7.84713,7.09391,6.80050,6.54702,6.32556,6.27834,6.17019,6.24121,6.21775,6.28865,6.65458,7.18300,7.67834,8.20956,8.38743,8.62656,9.43159,9.85488,10.23603,10.61351,10.55479,10.60274,10.89058,10.32061,10.26336,9.85975,9.49386,9.62864,9.39555,9.34580,8.93304,8.59705,8.17134,8.17652,7.76692,7.73726,7.77042,7.79519,7.77131,7.68976,7.54995,7.61480,7.56289,7.66974,7.57727,7.76875,7.85167,7.83442,8.14372,8.32808,8.64837,8.93177,8.93177,8.93177,8.93177,8.93177,8.93177,9.57298,14.01902,14.02280,13.76911,13.54883,13.15144,12.70380,12.33193,11.74257,11.41129,11.24877,10.95596,10.86259,10.51314,10.20442,9.84343,9.91962,9.53706,10.07324,9.58520,9.52468,9.22305,14.52814,14.38727,14.81742,14.04988
2018,Jannali 33_11kV,07MAY2017,MW,13.20101,12.52265,11.67772,12.73606,14.36742,14.78090,13.60052,12.28243,11.00066,11.74435,10.22734,10.22931,9.05440,8.14188,7.40632,6.80800,6.40179,6.34933,6.09860,5.97912,5.82008,5.82170,5.91019,6.08236,6.31236,6.79910,7.16122,7.07254,7.31482,7.94208,8.59597,8.95228,9.43102,9.86376,10.08498,10.19552,10.19133,10.03132,9.89077,9.67111,9.41519,9.29810,8.97854,8.66248,8.53773,8.41738,8.16933,8.02924,8.03089,7.87201,7.99237,7.75190,7.75027,7.57801,7.45931,7.53008,7.63446,7.60653,7.88046,7.92832,8.18482,8.38761,8.75912,9.08629,9.64665,10.36419,11.04725,12.12717,13.06891,14.19694,15.62500,16.28748,16.40295,16.73329,16.32301,15.89192,15.34348,15.14157,14.55288,14.20778,13.78534,13.57566,13.15572,12.86265,12.45602,12.15768,11.76385,11.14433,11.49088,10.87149,10.46081,9.70065,14.94011,14.70438,15.02188,14.25261
2018,Jannali 33_11kV,08MAY2017,MW,13.75588,13.30747,12.15542,13.04964,14.77204,15.21864,14.24067,12.90096,11.81431,12.73604,10.97774,10.96961,9.66969,8.74765,7.94073,7.50647,7.07031,6.83855,6.70132,6.59927,6.89044,7.40190,7.99275,8.78849,9.90506,11.23328,12.52782,12.11296,12.27820,12.88742,13.02280,12.78954,12.17665,11.78053,10.87222,10.33082,9.67077,9.04160,8.74852,8.51962,8.10933,7.71170,7.46707,7.49952,7.21632,7.07288,7.01693,7.03641,6.90231,7.15578,6.82365,6.71202,6.78637,6.82648,7.27772,7.09939,7.20974,7.22278,7.18130,7.22558,7.34866,7.61565,8.20038,8.67496,9.41344,9.91449,10.60184,11.62041,13.06547,14.69852,16.08910,17.24713,17.98896,18.53838,18.55876,18.60113,18.06277,17.54239,17.29527,16.54703,16.09907,15.70478,15.23988,14.74872,14.20239,13.55710,13.11279,12.55291,12.47656,11.86568,11.24517,10.37703,15.53506,15.28948,15.83825,14.71567
2018,Jannali 33_11kV,09MAY2017,MW,13.84215,13.46805,12.40800,13.10626,14.72669,15.05008,13.90882,12.63947,11.54909,12.56623,10.97266,11.07969,9.75435,8.80117,8.24347,7.66967,7.10478,6.75680,6.75512,6.88490,7.05242,7.55981,8.05807,9.25563,10.24640,11.78636,13.11640,12.55524,12.75798,13.12667,12.88405,12.26536,11.70439,11.13827,10.60061,9.84118,9.31423,8.82259,8.57452,8.45026,7.97893,7.80790,7.41025,7.39830,7.12298,6.83444,6.78645,6.89234,6.85344,7.31716,7.33852,6.94816,7.01989,6.97378,6.76255,6.72879,6.75783,6.95103,7.03387,7.17565,7.20671,7.45226,7.77711,8.33559,8.99219,9.60547,10.18577,11.09010,12.38578,14.08976,15.34470,16.40176,17.09692,17.64517,17.84933,17.54398,17.13675,16.75545,16.35517,15.84977,15.40507,15.16563,14.68484,14.17158,13.64116,13.23568,12.78168,12.01912,12.14610,11.64677,11.06812,10.22788,15.35736,15.09915,15.36339,14.63755
2018,Jannali 33_11kV,10MAY2017,MW,14.01236,13.42562,12.22497,13.04289,14.61356,15.01706,13.98894,12.79388,11.43785,12.30024,10.69023,10.89148,9.63844,8.65470,8.11960,7.63205,7.02840,6.93842,6.77165,6.92400,7.10976,7.67936,8.21044,9.24217,10.59753,11.92930,13.34466,12.96274,13.07854,13.34140,13.32831,12.90477,12.38868,11.65436,10.96591,10.22541,9.54399,9.05328,8.71363,8.46038,8.12598,7.91851,7.57191,7.55073,7.34792,6.98563,6.80961,6.93583,7.13378,7.31771,7.39833,7.55585,7.49573,7.44058,7.24102,7.09212,7.09288,7.38051,7.22970,7.27348,7.33942,7.54311,7.89982,8.46218,8.99206,9.52808,10.32409,11.18942,12.23067,13.87310,15.40977,16.21943,16.89808,17.35080,17.58994,17.46322,16.84976,16.65430,16.39393,16.15955,15.76163,15.23903,14.78943,14.42080,14.05442,13.33813,12.86894,12.47096,12.74033,11.89869,11.28952,10.44799,15.63324,15.14352,15.66027,14.78455
