year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Jesmond 132_11kV,01MAY2015,MW,19.42217,18.03568,17.40838,17.62655,16.82683,15.83706,15.51811,15.99237,15.29819,14.51200,13.81851,13.34670,12.88865,12.65805,12.26214,12.08509,11.93980,11.94669,12.09920,12.17289,12.25951,12.52037,13.10500,13.69383,14.42243,15.25419,16.07682,16.08572,16.93393,18.19532,19.22209,19.63907,19.90100,20.04552,20.03639,19.79766,19.96260,19.74071,19.77816,19.74524,19.55215,19.47911,19.59340,19.54498,19.20865,19.30484,19.43937,19.36960,19.26877,19.18012,19.10343,18.69329,18.33701,18.95020,18.83962,18.32212,18.33105,18.42624,18.42729,18.67747,18.81400,18.90104,19.31055,19.65408,19.93532,20.34197,20.57981,20.70486,21.06301,21.80732,22.39449,22.46805,22.39629,22.17414,21.82481,21.32226,21.04042,20.94046,20.18584,19.76200,19.39691,18.72921,18.31901,18.15861,17.62795,17.28859,17.63383,17.68347,21.14337,19.73359,19.49048,18.62476,19.21115,18.66107,18.92300,19.42268
2016,Jesmond 132_11kV,02MAY2015,MW,19.39413,18.55130,17.97366,17.78751,16.85035,15.96761,15.16486,14.36123,15.18328,14.52723,13.68140,13.10183,12.80270,12.45719,12.18719,11.83296,11.59418,11.45335,11.56477,11.64005,11.65990,11.64759,11.81588,11.94245,12.88320,13.18312,13.01516,13.12145,14.11383,15.42695,15.34875,15.80192,16.66938,17.30518,17.88778,18.71838,19.04310,18.65042,18.70313,18.71697,18.84216,19.21873,19.23918,18.88526,19.28398,19.70640,19.27410,18.35697,18.34505,18.68126,18.55747,18.33391,18.16651,18.13634,18.16699,18.25094,18.90223,18.91616,18.54095,18.74895,18.60195,18.36615,18.60248,19.08633,19.41986,19.34166,19.33885,19.41793,19.61114,20.47332,20.96027,20.89072,20.63547,20.17882,19.75881,19.11023,19.14336,19.17671,18.75451,18.26292,17.89501,17.39539,17.23893,16.92849,16.93715,16.74545,19.57383,17.62427,17.19474,16.78643,17.74646,16.95757,18.58589,17.35046,16.17641,16.32529
2016,Jesmond 132_11kV,03MAY2015,MW,16.23585,14.87008,15.14125,16.21010,14.75661,13.55433,13.03073,12.63249,12.83234,12.43557,12.24366,11.94154,11.99906,11.93705,11.88128,11.78659,11.57229,11.50115,11.54852,11.61592,11.61726,11.53575,11.72068,11.88234,12.09445,12.39420,12.53790,12.84000,13.23288,13.80676,14.26458,14.75614,15.65923,16.36930,17.01529,17.42411,17.54837,18.52992,18.50956,18.82263,19.22278,19.51152,19.55899,19.38922,19.57084,19.58353,19.26054,19.17823,19.48780,19.37822,19.14087,18.97473,19.07700,18.91782,18.92866,18.82340,18.54444,18.40822,18.48247,18.55171,18.43845,18.61828,18.70592,19.09907,19.34716,19.67845,19.68785,19.79441,20.14966,20.76271,21.31500,21.15359,21.28563,20.89249,20.55380,20.06128,19.97920,19.95883,19.16878,18.66558,18.28010,17.94035,17.76947,17.30011,17.16033,17.03629,19.78487,18.04258,17.37496,16.92069,17.85290,16.87062,18.49458,17.39287,16.07198,16.01464
2016,Jesmond 132_11kV,04MAY2015,MW,16.04678,14.84689,14.78260,15.52415,14.42459,13.26970,13.12382,13.14540,12.48905,12.18504,11.89330,11.62563,11.66760,11.67332,11.56452,11.53810,11.45416,11.48355,11.56317,11.84879,12.18080,12.39522,12.93690,13.47690,14.27412,14.92229,15.46102,15.50678,16.31621,16.95773,17.65883,18.11991,18.44410,18.63984,18.53666,18.71702,18.60998,18.02902,18.05234,18.52348,18.73965,18.86327,18.79329,18.74872,18.93826,18.75779,18.88366,19.19184,19.47854,19.25471,18.98782,18.94240,18.93023,19.18167,19.39372,19.49530,19.26124,19.21258,19.29037,19.20691,19.23271,19.37832,19.62959,19.44409,19.57531,20.06509,20.55843,21.35731,21.51715,22.37511,23.22906,23.02798,22.92537,22.41678,21.93419,21.67881,21.19726,21.09262,20.38536,19.69598,19.13817,18.54363,18.27510,18.00141,17.45109,17.22157,17.56262,17.64602,21.01914,19.55279,19.05108,18.21545,18.86247,18.14591,18.42086,18.86550
2016,Jesmond 132_11kV,05MAY2015,MW,18.86600,17.77869,17.27852,17.19172,16.66596,15.78415,15.39312,15.54798,14.77185,13.98705,13.46770,12.89975,12.46385,12.07995,11.94942,11.79977,11.77751,11.83215,11.92445,12.01199,12.28597,12.51640,13.05293,13.60138,14.44355,15.16495,16.09870,15.85769,16.65825,17.07220,17.23443,17.49326,17.71381,17.93580,17.99175,18.02593,17.79959,17.53700,17.67347,17.52120,17.67028,17.51344,17.47780,17.40697,17.44635,17.50212,17.67859,18.07128,18.02623,18.08089,18.18629,17.88335,17.92538,18.12881,18.13446,18.14862,18.11757,18.13568,18.21690,18.35387,18.42131,18.60495,18.79982,18.89725,19.20717,19.37088,19.47931,20.09771,20.47860,21.17622,21.85730,21.94148,22.07773,21.74178,21.55664,21.07897,20.77403,20.55111,19.79993,19.42163,18.82162,18.30783,17.97985,17.38387,16.92387,16.76751,17.20223,17.17096,20.39306,18.95456,18.45068,17.64023,18.29282,17.74041,18.11068,18.33076
2016,Jesmond 132_11kV,06MAY2015,MW,18.34609,17.33548,16.79288,16.95629,16.33645,15.29341,14.99764,15.27052,14.53898,13.80193,13.18896,12.69151,12.42796,12.24237,11.96651,11.74472,11.56434,11.45849,11.63850,11.83346,12.14009,12.54077,13.00661,13.33196,14.42626,15.12977,15.81373,16.02556,16.74124,17.54447,17.74414,17.79019,17.88831,17.75448,17.62384,17.46857,17.28860,17.15388,17.20221,16.69147,16.54464,16.35140,16.20514,16.13230,16.04140,16.04329,16.20937,16.43069,16.59708,16.63107,16.72984,16.77820,16.65407,16.59406,16.53395,16.64466,16.58384,16.44281,16.47818,16.55480,16.80382,16.93100,17.29297,17.34677,17.62845,18.17340,18.61208,19.22090,19.90952,21.04754,21.91740,22.23741,22.16961,22.44987,22.23067,21.87232,21.69904,21.67362,21.21483,20.84757,20.52929,19.97486,19.64639,19.39964,18.87526,18.60532,18.62491,18.50585,21.93969,20.47151,19.97115,19.05947,19.57252,18.76511,19.04504,19.47953
2016,Jesmond 132_11kV,07MAY2015,MW,19.42056,18.58285,18.03959,18.00638,17.43554,16.50000,16.13459,16.27551,15.42367,14.46625,13.89650,13.36044,13.10942,12.66568,12.38646,12.20587,12.12053,12.20152,12.26836,12.23425,12.70766,13.17340,13.78987,14.51641,15.67756,16.61183,17.47477,17.68380,18.40996,19.36090,20.01248,19.86235,19.82749,19.58604,19.23330,18.66676,18.40201,18.14802,17.98945,17.54643,17.23866,17.13634,16.90173,16.89178,16.60106,16.51294,16.40264,16.56722,16.66385,16.69309,16.80405,16.65097,16.61129,16.71158,16.72743,16.61424,16.47965,16.45008,16.46745,16.39531,16.51762,16.77638,17.24106,17.55137,17.80357,18.16922,18.72014,19.27116,20.11413,21.27957,22.37562,22.44464,22.61488,22.48923,22.46064,22.25846,22.11856,22.27168,21.83471,21.63455,21.49536,20.97789,20.58990,20.09283,19.72154,19.34608,19.53457,19.57388,22.71365,21.21421,20.59880,19.71076,20.22160,19.62824,19.73667,19.99891
2016,Jesmond 132_11kV,08MAY2015,MW,19.99022,18.96827,18.49810,18.46383,17.66690,16.55626,16.02924,16.51915,15.65132,14.98991,14.47484,13.97233,13.53635,13.24736,12.96480,12.63684,12.46681,12.55353,12.65816,12.89199,13.27251,13.69205,14.23180,14.96615,16.29618,17.41771,18.30878,18.46578,19.49998,20.14498,20.78426,20.80915,20.55710,20.37851,19.92738,19.63680,19.27877,18.78916,18.79299,18.23656,17.79283,17.22957,17.10945,16.97587,16.73878,16.64418,16.61234,16.63654,16.55430,16.57559,16.36508,16.40343,16.24195,16.25994,16.43763,16.59373,16.43963,16.20091,16.30732,16.24649,16.25834,16.66875,17.02064,17.17503,17.59210,17.94447,18.43171,19.23667,20.01444,21.49316,22.46895,22.76434,22.73248,22.61471,22.74646,22.42299,22.03392,22.18245,21.70091,21.27736,20.62553,20.29267,20.12573,19.98588,19.45876,19.17640,19.46441,19.66142,22.93497,21.03298,20.49505,19.80962,20.70350,19.85037,20.19998,20.58339
2016,Jesmond 132_11kV,09MAY2015,MW,20.29134,19.42517,18.96873,19.08619,18.10013,17.05187,16.10026,15.22393,16.06967,15.63881,15.00670,14.19473,13.77214,13.60363,13.25594,12.73268,12.39625,12.42330,12.47487,12.50317,12.62133,12.74156,12.89594,13.04885,13.55167,14.04114,14.61684,15.43591,16.65391,17.39804,17.89960,18.68431,18.95923,19.38886,19.67859,19.57459,19.42183,19.05397,18.68847,18.14810,17.67615,17.48510,17.09241,16.74923,16.60548,16.57775,16.32889,15.98135,15.56503,15.54773,15.45266,15.38929,15.22827,15.25910,15.32795,15.24787,15.36718,15.13124,15.17843,15.29668,15.49611,15.65585,15.68077,16.10680,16.55623,16.88835,17.52713,17.93004,18.60937,19.94635,21.00248,21.26500,21.17002,21.12956,20.93937,20.47002,20.47094,20.45863,19.80538,19.53107,19.32592,18.93491,19.01726,18.67212,18.67583,18.44025,21.11937,19.38661,18.75675,18.20447,18.95116,18.09674,19.80696,18.56168,17.26149,17.49201
2016,Jesmond 132_11kV,10MAY2015,MW,17.40670,16.30893,16.11599,16.80207,15.56701,14.31134,13.69674,13.27292,13.64042,13.12566,12.73732,12.55174,12.23546,11.93894,11.89451,11.65352,11.73925,11.74072,11.82526,11.78663,11.85025,11.95807,12.01083,12.32454,12.97669,13.29767,13.67932,14.23623,14.94806,15.66284,16.32085,17.04636,17.73191,18.28323,18.76841,18.81235,18.70638,18.49178,18.42817,18.29899,18.17376,17.94942,17.55265,17.30683,16.81214,16.52834,16.31924,16.01220,15.65978,15.50046,15.53293,15.12264,15.06742,14.88426,14.73182,15.46856,14.81661,14.87443,14.76937,15.20646,15.53149,15.47705,15.64229,16.22491,16.77716,17.33801,17.74699,18.03307,18.81407,19.96793,20.66068,20.87554,21.05004,20.98636,20.74517,20.61033,20.60442,20.52411,19.99350,19.77300,19.50161,19.22716,19.30965,18.79746,18.55615,18.41516,21.05222,19.33011,18.67443,17.79066,18.27215,17.51422,19.32507,18.16235,16.79258,16.66755
