year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Jewells 33_11kV,01MAY2016,MW,5.30072,4.76121,5.00976,5.35879,4.64762,4.14860,3.81893,3.58427,3.82705,3.50713,3.33442,3.27630,3.20366,3.15800,3.14527,3.11834,3.10814,3.10088,3.19320,3.15360,3.22823,3.30745,3.39809,3.44516,3.43659,3.45212,3.62063,3.81133,4.25302,4.68420,5.13161,5.42602,5.53527,5.75026,6.12761,6.16261,6.46557,6.64553,6.72085,6.78026,6.77366,6.67431,6.55589,6.33891,6.18826,6.14200,6.00860,6.08385,6.08750,5.96414,5.93018,5.74757,5.44819,5.32938,5.34880,5.38088,5.33765,5.50664,5.50670,5.62407,5.61854,5.73029,5.63216,5.74467,5.95587,6.16178,6.24406,6.31702,6.67742,6.96492,7.27466,7.24623,7.31442,7.13757,6.86245,6.62776,6.41516,6.36819,6.05948,5.81494,5.61641,5.36028,5.38508,5.17172,5.12529,4.86305,6.64418,6.12465,5.69213,5.25848,5.49906,5.08595,5.96937,5.54637,4.97912,5.23587
2017,Jewells 33_11kV,02MAY2016,MW,5.16326,4.63652,4.88927,5.28047,4.52637,4.16941,4.02792,3.99862,3.69676,3.42756,3.31825,3.24042,3.25530,3.19956,3.16845,3.16014,3.24705,3.25097,3.23873,3.23579,3.45726,3.60378,3.73813,4.01648,4.34153,4.72887,5.02390,4.86615,4.89606,5.17209,5.29016,5.29174,5.25047,5.06214,4.87576,4.69423,4.65697,4.58846,4.46180,4.42375,4.30811,4.34005,4.24620,4.29736,4.31021,4.30533,4.42736,4.31813,4.51982,4.41864,4.43290,4.50037,4.62469,4.65656,4.74750,4.87142,4.89842,4.97122,5.04315,5.10679,5.13478,5.18081,5.18078,5.32258,5.44700,5.57084,5.80003,6.09267,6.53697,7.12634,7.52127,7.39339,7.35338,7.33326,7.06251,6.84004,6.60196,6.52552,6.32420,6.09621,5.90634,5.65775,5.53235,5.33702,5.08195,5.07416,5.47659,5.29805,6.79672,6.42251,6.17726,5.72939,6.04608,5.73859,6.24316,6.81790
2017,Jewells 33_11kV,03MAY2016,MW,6.84918,6.26146,6.27029,6.36499,5.97953,5.47098,5.23343,5.48123,4.92378,4.39669,4.06000,3.79063,3.51910,3.36726,3.30042,3.26812,3.34232,3.27342,3.34725,3.34186,3.43405,3.68194,3.91935,4.14636,4.46512,4.80347,5.14936,5.00985,5.01544,5.23213,5.20783,5.16121,5.15244,4.99814,4.86689,4.68468,4.54820,4.49078,4.42348,4.40683,4.57021,4.42864,4.47955,4.37511,4.27765,4.50244,4.62857,4.46802,4.43808,4.40117,4.41022,4.22709,4.31343,4.33315,4.41299,4.42886,4.38531,4.38206,4.45686,4.59626,4.67440,4.78629,4.88459,5.07403,5.24090,5.36770,5.67204,5.96738,6.25671,6.70736,7.12682,7.24557,7.30421,7.21175,7.02268,6.88453,6.72701,6.70316,6.39583,6.08788,5.87262,5.69212,5.45836,5.26509,5.11410,5.01068,5.33117,5.22665,6.78835,6.38139,6.15917,5.68192,5.98812,5.78298,6.17555,6.67914
2017,Jewells 33_11kV,04MAY2016,MW,6.78793,6.24284,6.19097,6.25021,5.89072,5.37155,5.18053,5.42173,4.82360,4.40833,4.15271,3.86036,3.63778,3.41233,3.28700,3.39242,3.28560,3.26546,3.28501,3.37712,3.60565,3.68009,3.95427,4.16896,4.52098,4.85076,5.29312,5.01075,5.09824,5.36323,5.40727,5.32902,5.28739,5.03201,4.90077,4.65762,4.53688,4.44658,4.46674,4.38230,4.35592,4.38536,4.25898,4.25445,4.23181,4.16956,4.23898,4.34488,4.36290,4.29734,4.29571,4.48786,4.45172,4.41124,4.36052,4.51546,4.55848,4.61893,4.87299,4.81636,4.81685,4.97091,5.12357,5.13548,5.14057,5.31806,5.55966,5.89074,6.10880,6.60410,7.15098,7.22339,7.18694,6.95587,6.77023,6.66862,6.50336,6.49227,6.25859,6.11234,5.98674,5.74895,5.50394,5.33125,5.14832,5.06831,5.44929,5.37176,6.86239,6.44822,6.22315,5.69177,5.95280,5.73447,6.07026,6.55992
2017,Jewells 33_11kV,05MAY2016,MW,6.72739,6.27126,6.26847,6.17324,5.82989,5.37807,5.15243,5.26603,4.75903,4.33553,4.02017,3.82344,3.57836,3.47293,3.33844,3.22385,3.20503,3.20844,3.24991,3.33715,3.52106,3.70726,3.91580,4.10880,4.49595,4.79692,5.15192,4.99388,5.03523,5.25274,5.36080,5.42577,5.26086,5.12316,4.89206,4.58893,4.49610,4.51114,4.49694,4.37379,4.33268,4.31320,4.31819,4.25408,4.29909,4.20211,4.34695,4.42721,4.33605,4.35852,4.23504,4.32958,4.26590,4.19001,4.29329,4.30166,4.44070,4.53515,4.62358,4.52859,4.57776,4.69639,4.75495,4.93481,5.06571,5.19962,5.32122,5.72409,6.06777,6.55304,6.94769,7.00016,7.02322,6.93683,6.82877,6.77134,6.59511,6.49228,6.23629,6.05411,5.92093,5.70940,5.54742,5.39817,5.25898,5.16434,5.53416,5.34889,6.84511,6.46976,6.21955,5.67646,6.10522,5.80740,6.14141,6.66180
2017,Jewells 33_11kV,06MAY2016,MW,6.80434,6.25298,6.19694,6.35246,5.97391,5.48803,5.23714,5.36922,4.86116,4.45644,4.06329,3.82813,3.63949,3.49773,3.30303,3.29262,3.26465,3.23595,3.33920,3.29245,3.54418,3.73092,3.84271,4.07319,4.50131,4.84140,5.16120,4.97544,5.13091,5.43962,5.58461,5.61870,5.43794,5.27697,5.02983,4.82799,4.78520,4.58155,4.53325,4.47294,4.47439,4.48190,4.43335,4.37385,4.40794,4.44305,4.88284,4.61839,4.29581,4.33575,4.43225,4.40720,4.49658,4.41990,4.43425,4.46290,4.48103,4.54170,4.55957,4.57148,4.66585,4.70762,4.75760,4.94335,5.05991,5.37347,5.44060,5.66489,6.09766,6.35356,6.72956,6.66303,6.71853,6.61750,6.36643,6.22037,6.18696,6.22222,5.93226,5.78495,5.66043,5.48197,5.35743,5.19861,5.12410,5.04343,5.42397,5.31356,6.81815,6.36180,6.20455,5.81009,6.19204,5.87634,6.17833,6.78977
2017,Jewells 33_11kV,07MAY2016,MW,6.91318,6.39246,6.22510,6.32831,6.02580,5.55946,5.06544,4.67175,5.20090,4.73871,4.39753,4.11668,3.89623,3.60468,3.44187,3.40739,3.32031,3.23524,3.22306,3.26202,3.32891,3.43296,3.47827,3.60535,3.80122,3.87369,4.09314,4.35873,4.60784,5.03576,5.26413,5.51224,5.66729,5.73814,5.76951,5.65630,5.68117,5.52834,5.54727,5.28396,5.16344,4.99259,4.83826,4.64313,4.78939,4.73356,4.59049,4.54447,4.50293,4.38775,4.52572,4.56514,4.42407,4.52390,4.50746,4.56654,4.46139,4.57323,4.77858,5.03274,5.06780,5.20489,5.16648,5.30432,5.48769,5.69223,5.70020,5.66874,5.96150,6.54680,6.75769,6.66829,6.69200,6.55335,6.41465,6.12221,6.00799,5.94961,5.76024,5.58682,5.45680,5.26533,5.24714,5.11663,5.14632,4.86408,6.43472,5.83963,5.48441,5.08896,5.47575,5.00646,5.81709,5.36817,4.95835,5.24485
2017,Jewells 33_11kV,08MAY2016,MW,5.32292,4.72758,4.86066,5.21803,4.57547,4.09249,3.84900,3.60463,3.90401,3.63621,3.47941,3.28574,3.20814,3.16415,3.12608,3.07732,3.04516,3.08645,3.11522,3.10444,3.03806,3.12850,3.18150,3.24988,3.39979,3.45199,3.57120,3.87231,4.11155,4.50420,4.81968,5.25323,5.58908,5.75298,6.02926,6.16247,6.40274,6.32925,6.26005,6.24071,6.15263,6.02607,6.04075,5.94475,5.92628,5.72442,5.52960,5.38217,5.37924,5.25233,5.07225,4.68599,4.78712,4.73786,4.74838,4.73987,5.00770,5.02874,4.94187,4.92041,4.86792,5.03998,5.16082,5.21206,5.46249,5.72908,5.85422,5.90695,6.21714,6.60437,6.87088,6.78062,6.70016,6.56806,6.37461,6.27699,6.16417,6.18463,5.85647,5.59376,5.48435,5.30935,5.29168,5.05651,5.08183,4.83012,6.53953,5.99055,5.65944,5.25795,5.47507,4.95480,5.89755,5.36731,4.92200,5.24947
2017,Jewells 33_11kV,09MAY2016,MW,5.24743,4.68130,5.01112,5.26394,4.53065,4.12741,4.00371,4.01914,3.75730,3.46533,3.31464,3.31065,3.23577,3.21983,3.18606,3.14485,3.15232,3.20238,3.22217,3.29545,3.45538,3.61464,3.76654,4.06156,4.48652,4.83103,5.11382,4.99599,5.21328,5.60470,5.77285,5.78267,5.87322,5.80180,5.57627,5.58362,5.68187,5.63289,5.49690,5.66860,5.71014,5.71862,5.58874,5.56920,5.57888,5.53765,5.50931,5.60520,5.67843,5.60333,5.54384,5.57173,5.44827,5.44645,5.45475,5.43517,5.41523,5.35435,5.36370,5.39205,5.41124,5.39702,5.47583,5.63840,5.76148,5.87221,6.09130,6.54189,6.85444,7.36466,7.67575,7.64699,7.56146,7.46914,7.24276,6.90861,6.80400,6.78019,6.41022,6.29759,6.04884,5.80557,5.68420,5.53709,5.28303,5.22137,5.76871,5.51772,7.14517,6.73694,6.54645,5.99174,6.35471,5.96399,6.26607,6.96184
2017,Jewells 33_11kV,10MAY2016,MW,7.01750,6.37298,6.44404,6.66563,6.25353,5.66517,5.41161,5.61337,4.99468,4.44688,4.15112,3.89638,3.62776,3.53593,3.38488,3.31534,3.33498,3.37045,3.30143,3.45900,3.60603,3.67208,3.86078,4.16000,4.46847,4.83754,5.24594,5.13832,5.26132,5.48716,5.57382,5.70352,5.82647,5.55147,5.15620,4.81242,4.81014,4.66346,4.52547,4.47476,4.49579,4.41900,4.33029,4.38226,4.25919,4.26854,4.36909,4.42635,4.47188,4.47861,4.33666,4.35468,4.39241,4.32094,4.37962,4.52044,4.45222,4.52931,4.59376,4.66105,4.67009,4.74923,4.91846,5.01592,5.23112,5.44821,5.58055,5.95278,6.37291,6.88993,7.50108,7.48192,7.48924,7.44098,7.31720,7.12618,6.83052,6.80533,6.48207,6.18771,5.93754,5.82121,5.56183,5.32874,5.18026,5.09316,5.44902,5.25110,7.00210,6.64747,6.35192,5.91089,6.24173,5.87105,6.18829,6.70399
