year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Killarney 33_11kV,01MAY2016,MW,5.58278,5.30271,4.91061,4.98529,5.71348,5.41474,5.15334,4.72389,4.42515,4.14507,3.90235,3.79032,3.67829,3.58493,3.43556,3.39821,3.36087,3.34220,3.34220,3.30486,3.30486,3.36087,3.45423,3.45423,3.39821,3.80899,3.75297,3.93969,4.08906,4.42515,4.68655,4.83592,5.17201,5.37739,5.60145,5.75082,5.78817,5.88152,5.90020,5.91887,6.04957,6.01223,5.86285,5.90020,5.82551,5.58278,5.47075,5.54544,5.48942,5.45208,5.20935,4.83592,4.94795,4.87326,4.96662,4.92928,4.76123,4.79858,5.02264,5.05998,5.07865,5.09732,4.94795,5.13466,5.43341,5.48942,5.60145,5.76950,6.06824,6.60971,7.26322,7.58063,7.73000,7.69266,7.67399,7.41259,7.18853,6.87111,6.70307,6.51636,6.29230,6.34831,6.79643,6.34831,6.18027,5.86285,5.88152,5.63880,6.57237,6.81510,6.34831,6.08691,6.14293,5.45208,5.67614,5.26537
2017,Killarney 33_11kV,02MAY2016,MW,5.41474,5.11599,4.83592,4.91061,5.60145,5.28404,4.98529,4.63053,4.35046,4.14507,3.86500,3.79032,3.69696,3.62227,3.56626,3.43556,3.36087,3.41689,3.37954,3.39821,3.52891,3.58493,3.58493,3.86500,4.23843,4.85459,5.34005,5.73215,5.60145,5.99355,5.95621,5.63880,5.71348,5.56411,5.32138,5.09732,4.94795,4.92928,4.91061,4.77991,4.61186,4.51850,4.46249,4.36913,4.25710,4.07039,4.08906,4.21976,4.21976,4.38780,4.72389,4.51850,4.49983,4.48116,4.59319,4.63053,4.66788,4.70522,4.63053,4.76123,4.66788,4.83592,4.89194,5.22802,5.28404,5.48942,5.76950,6.03090,6.34831,6.88979,7.35657,7.61798,7.80469,7.89805,7.78602,7.58063,7.35657,7.18853,6.94580,6.70307,6.49768,6.62839,7.02049,6.47901,6.29230,6.03090,6.06824,5.76950,6.62839,6.87111,6.57237,6.34831,6.31097,5.60145,5.76950,5.41474
2017,Killarney 33_11kV,03MAY2016,MW,5.50809,5.15334,4.83592,4.89194,5.63880,5.24669,4.96662,4.66788,4.25710,4.07039,4.01437,3.84633,3.65962,3.54759,3.51024,3.45423,3.41689,3.36087,3.37954,3.47290,3.56626,3.65962,3.82766,4.05172,4.51850,5.35872,5.82551,6.14293,5.78817,6.01223,6.12425,5.99355,5.76950,5.65747,5.30271,4.94795,4.87326,4.81725,4.83592,4.77991,4.72389,4.53718,4.49983,4.38780,4.33179,4.29445,4.27578,4.16375,4.12640,4.08906,4.14507,4.14507,4.12640,4.14507,4.21976,4.14507,4.16375,4.20109,4.31312,4.27578,4.31312,4.49983,4.51850,4.70522,4.87326,4.98529,5.28404,5.52677,5.78817,6.27363,6.88979,7.26322,7.31923,7.48727,7.59930,7.44993,7.31923,7.03916,6.90846,6.70307,6.44167,6.64706,7.02049,6.59104,6.40433,6.01223,6.03090,5.82551,6.68440,6.98314,6.59104,6.27363,6.29230,5.71348,5.86285,5.48942
2017,Killarney 33_11kV,04MAY2016,MW,5.48942,5.17201,4.79858,4.79858,5.54544,5.26537,4.89194,4.57452,4.42515,4.20109,4.01437,3.82766,3.75297,3.67829,3.60360,3.49157,3.41689,3.41689,3.45423,3.51024,3.28619,3.41689,3.60360,3.84633,4.21976,4.81725,5.39607,5.69481,5.75082,5.97488,5.86285,5.71348,5.71348,5.58278,5.19068,4.98529,4.94795,4.85459,4.72389,4.72389,4.61186,4.51850,4.49983,4.44382,4.23843,4.14507,4.18242,4.14507,4.07039,4.10773,4.08906,4.18242,4.18242,4.21976,4.14507,4.10773,4.07039,4.14507,4.21976,4.38780,4.38780,4.42515,4.51850,4.64921,4.72389,4.96662,5.17201,5.39607,5.62012,6.34831,6.85244,7.11384,7.31923,7.43126,7.37525,7.26322,7.15119,7.03916,6.90846,6.77776,6.62839,6.60971,7.05783,6.59104,6.32964,6.01223,5.97488,5.76950,6.70307,6.83377,6.53503,6.31097,6.29230,5.62012,5.82551,5.45208
2017,Killarney 33_11kV,05MAY2016,MW,5.43341,5.15334,4.81725,4.92928,5.65747,5.41474,4.98529,4.61186,4.31312,4.12640,3.99570,3.82766,3.79032,3.67829,3.54759,3.45423,3.51024,3.58493,3.51024,3.49157,3.52891,3.69696,3.80899,4.12640,4.57452,5.15334,5.71348,6.06824,5.99355,6.18027,6.32964,5.93754,5.76950,5.48942,5.17201,5.04131,4.96662,4.87326,4.79858,4.77991,4.63053,4.57452,4.59319,4.48116,4.40648,4.29445,4.31312,4.29445,4.23843,4.20109,4.18242,4.16375,4.18242,4.14507,4.20109,4.29445,4.21976,4.33179,4.29445,4.25710,4.40648,4.49983,4.61186,4.70522,4.81725,4.91061,5.07865,5.35872,5.63880,6.16160,6.75909,7.09517,7.28189,7.44993,7.48727,7.31923,7.22587,6.98314,6.85244,6.68440,6.53503,6.59104,6.96447,6.64706,6.23628,5.97488,6.01223,5.76950,6.75909,7.03916,6.70307,6.40433,6.40433,5.73215,5.93754,5.58278
2017,Killarney 33_11kV,06MAY2016,MW,5.54544,5.13466,4.83592,4.96662,5.76950,5.45208,5.17201,4.77991,4.44382,4.20109,4.01437,3.95836,3.73430,3.65962,3.64094,3.54759,3.45423,3.45423,3.54759,3.54759,3.56626,3.73430,3.67829,3.88367,4.18242,4.85459,5.24669,5.84418,5.65747,5.84418,5.86285,5.78817,5.67614,5.60145,5.30271,5.04131,4.89194,4.91061,4.83592,4.77991,4.66788,4.53718,4.48116,4.42515,4.40648,4.29445,4.20109,4.16375,4.12640,4.16375,4.18242,4.14507,4.10773,4.16375,4.14507,4.12640,4.23843,4.16375,4.21976,4.29445,4.33179,4.44382,4.51850,4.68655,4.77991,4.94795,5.19068,5.43341,5.73215,6.16160,6.70307,7.07650,7.16986,7.13252,7.13252,7.00182,6.92713,6.74041,6.60971,6.42300,6.31097,6.44167,6.77776,6.34831,6.12425,5.95621,5.97488,5.69481,6.66573,7.00182,6.68440,6.47901,6.57237,5.86285,5.97488,5.63880
2017,Killarney 33_11kV,07MAY2016,MW,5.63880,5.30271,4.96662,5.00396,5.71348,5.43341,5.07865,4.68655,4.46249,4.21976,3.99570,3.88367,3.84633,3.65962,3.58493,3.54759,3.49157,3.45423,3.37954,3.51024,3.54759,3.56626,3.67829,3.67829,3.82766,4.14507,4.46249,4.46249,4.49983,4.85459,5.07865,5.24669,5.32138,5.58278,5.58278,5.56411,5.52677,5.58278,5.41474,5.41474,5.26537,5.19068,5.22802,5.20935,4.98529,4.89194,4.85459,4.92928,4.85459,4.87326,4.83592,4.81725,4.85459,4.70522,4.74256,4.68655,4.68655,4.63053,4.57452,4.74256,4.96662,4.98529,5.04131,5.17201,5.20935,5.37739,5.67614,5.95621,6.08691,6.64706,7.13252,7.20720,7.20720,7.15119,7.02049,6.72174,6.70307,6.55370,6.23628,6.10558,5.95621,6.10558,6.49768,6.18027,5.97488,5.63880,5.73215,5.56411,6.49768,6.79643,6.60971,6.47901,6.53503,5.91887,6.01223,5.75082
2017,Killarney 33_11kV,08MAY2016,MW,5.75082,5.47075,5.07865,5.13466,5.90020,5.50809,5.20935,4.91061,4.63053,4.33179,4.10773,4.03305,3.77164,3.58493,3.47290,3.41689,3.45423,3.37954,3.32353,3.34220,3.37954,3.43556,3.43556,3.52891,3.67829,3.90235,3.97703,4.10773,4.18242,4.46249,4.68655,4.92928,5.13466,5.30271,5.50809,5.56411,5.80684,5.90020,6.04957,6.08691,6.10558,5.97488,5.95621,5.86285,5.73215,5.67614,5.50809,5.56411,5.48942,5.28404,5.22802,5.28404,5.20935,5.17201,5.19068,5.15334,5.13466,5.02264,4.94795,5.04131,5.09732,5.05998,5.22802,5.37739,5.56411,5.73215,6.03090,6.36698,6.62839,7.11384,7.35657,7.56196,7.58063,7.43126,7.35657,7.26322,7.20720,7.00182,6.88979,6.70307,6.49768,6.64706,7.00182,6.51636,6.25496,5.91887,5.95621,5.73215,6.66573,6.92713,6.55370,6.25496,6.32964,5.65747,5.82551,5.45208
2017,Killarney 33_11kV,09MAY2016,MW,5.48942,5.20935,4.72389,4.81725,5.65747,5.45208,5.07865,4.79858,4.49983,4.33179,4.07039,3.90235,3.75297,3.67829,3.58493,3.56626,3.45423,3.39821,3.41689,3.45423,3.51024,3.64094,3.69696,3.97703,4.48116,4.94795,5.32138,5.63880,5.65747,6.06824,6.10558,6.04957,6.03090,5.88152,5.84418,5.65747,5.67614,5.58278,5.50809,5.62012,5.54544,5.56411,5.43341,5.48942,5.52677,5.45208,5.45208,5.50809,5.41474,5.41474,5.32138,5.13466,5.15334,5.09732,5.09732,5.09732,5.09732,5.05998,5.15334,5.20935,5.13466,4.12640,3.90235,3.95836,4.07039,4.18242,4.44382,4.59319,4.81725,5.20935,5.65747,5.91887,6.04957,6.08691,6.16160,5.91887,5.78817,5.58278,5.30271,5.20935,5.04131,5.17201,5.48942,5.04131,4.92928,4.70522,4.66788,4.44382,4.92928,5.17201,4.91061,4.64921,4.70522,4.16375,4.21976,3.97703
2017,Killarney 33_11kV,10MAY2016,MW,4.03305,3.69696,3.51024,3.62227,4.20109,3.97703,3.73430,3.47290,3.19283,2.89408,2.78205,2.68870,2.65135,2.52065,2.42730,2.42730,2.31527,2.37128,2.35261,2.42730,2.53933,2.63268,2.65135,2.83807,3.13681,3.64094,4.12640,4.42515,4.29445,4.48116,4.40648,4.40648,4.21976,4.16375,3.97703,3.80899,3.67829,3.47290,3.49157,3.43556,3.37954,3.28619,3.28619,3.24884,3.11814,3.04346,3.00611,3.04346,3.04346,2.96877,2.96877,2.93143,2.95010,2.95010,2.91276,2.91276,3.00611,3.06213,3.08080,3.09947,3.09947,3.19283,3.28619,3.41689,3.49157,3.71563,3.88367,4.05172,4.33179,4.79858,5.19068,5.34005,5.52677,5.71348,5.76950,5.58278,5.50809,5.39607,5.26537,5.00396,4.85459,5.00396,5.37739,4.94795,4.74256,4.61186,4.57452,4.42515,4.96662,5.11599,4.87326,4.66788,4.68655,4.29445,4.29445,4.29445
