year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Kirrawee 132_11kV,01MAY2014,MW,15.03145,14.21062,13.18459,14.43293,16.14299,16.17720,15.21956,13.90281,12.70577,13.08198,11.69683,11.26931,10.53399,10.19198,9.74736,9.18304,9.01203,9.01203,9.01203,9.28564,10.00387,10.63659,11.21801,12.38086,13.42399,14.74074,16.22850,15.95489,16.63891,17.49394,17.78465,17.75045,17.97276,17.78465,17.51104,17.03223,16.82702,16.70731,16.45081,16.00619,16.16009,16.16009,15.98909,16.04039,15.90359,15.88648,15.73258,15.78388,15.52737,15.49317,15.69838,15.78388,15.85228,15.76678,15.73258,15.52737,15.54447,15.59577,15.45897,15.61287,15.42477,15.30506,15.13406,15.03145,15.30506,15.57867,15.68128,16.31400,16.91252,17.92146,19.58022,20.29845,20.50365,20.70886,20.81147,20.50365,20.23004,19.85383,19.23821,18.81069,18.38318,18.10957,17.57945,16.91252,16.57051,16.16009,15.57867,15.01435,14.96305,14.12512,13.59500,12.85967,16.80992,16.55341,16.80992,15.83518
2015,Kirrawee 132_11kV,02MAY2014,MW,15.15116,14.62104,13.71470,14.72364,16.14299,16.38240,15.51027,14.26192,13.15038,13.37269,12.03884,11.86784,10.85890,10.12357,9.84996,9.54215,9.16594,9.13174,9.13174,9.30274,9.83286,10.51689,11.06411,11.91914,13.25299,14.72364,16.04039,16.05749,16.80992,17.40844,17.83596,17.95566,17.98986,17.87016,17.49394,17.04933,16.55341,16.21140,16.17720,15.97199,15.80098,15.68128,15.83518,15.68128,15.73258,15.80098,15.44187,15.56157,15.76678,15.54447,15.40767,14.96305,14.82625,14.82625,14.46713,14.68944,14.89465,15.04855,14.82625,14.58684,14.77494,14.53553,14.60394,14.67234,15.18536,15.40767,16.12589,16.87832,17.28874,18.62259,19.58022,20.24714,19.90513,19.85383,19.85383,19.44342,18.98170,18.55418,18.29767,17.73335,17.37424,16.87832,16.41660,16.27980,15.83518,15.35637,14.98015,14.51843,14.46713,14.00542,13.68050,13.13328,16.91252,16.86122,17.10063,16.21140
2015,Kirrawee 132_11kV,03MAY2014,MW,15.35637,14.92885,13.93701,15.06565,16.57051,16.70731,15.76678,14.36453,13.18459,13.50950,12.14145,11.90204,10.99570,10.39718,9.90126,9.40535,8.97783,8.96073,8.82392,8.82392,8.99493,9.23434,9.54215,9.59345,10.22618,11.02991,11.59423,11.62843,11.95334,12.97938,13.57790,14.24482,15.21956,16.02329,16.50211,16.92962,16.94672,16.98092,17.11773,16.92962,17.01513,16.89542,17.01513,17.13483,17.18613,17.34004,17.25453,17.18613,16.74152,16.48501,15.93779,15.83518,15.54447,15.52737,15.23666,15.47607,15.51027,15.59577,15.47607,15.47607,15.68128,15.83518,16.22850,16.57051,16.92962,17.75045,18.57128,19.59732,20.46945,21.73490,22.76094,23.18845,23.25686,23.17135,23.10295,22.50443,22.02561,21.35869,20.94827,20.33265,19.71703,19.35791,19.06720,18.62259,17.90436,17.30584,16.94672,16.48501,16.21140,15.64708,15.25376,14.67234,18.75939,18.74229,18.91330,18.07537
2015,Kirrawee 132_11kV,04MAY2014,MW,17.34004,16.60471,15.68128,16.39950,17.95566,18.29767,17.51104,16.43370,15.13406,15.37347,13.95411,13.62920,12.44926,11.52582,10.84180,10.26038,9.74736,9.52505,9.52505,9.38825,9.50795,9.54215,9.54215,9.62765,10.14067,10.51689,10.84180,10.72209,11.20091,11.90204,12.56896,13.42399,13.95411,14.86045,15.33926,15.51027,16.04039,16.38240,16.29690,15.97199,15.93779,15.81808,15.47607,14.87755,14.84335,14.70654,14.39873,14.10802,14.10802,13.90281,13.68050,13.42399,13.42399,13.20169,13.04778,12.87677,12.72287,12.77417,12.85967,12.85967,13.08198,13.42399,13.80021,14.07382,14.55264,15.16826,16.22850,17.34004,18.67389,20.64046,22.43603,23.68437,23.82118,24.09479,24.21449,23.51337,22.91484,22.19662,21.71780,21.06798,20.76016,20.57206,20.16164,19.52892,18.89620,18.12667,17.27164,16.45081,16.09169,15.16826,14.62104,13.64630,17.92146,17.59655,17.54525,17.13483
2015,Kirrawee 132_11kV,05MAY2014,MW,16.57051,16.16009,15.16826,15.90359,17.51104,17.80176,16.94672,15.64708,14.43293,15.09986,13.88571,13.57790,12.56896,12.05594,11.20091,10.51689,10.34588,10.00387,9.98677,10.15777,10.67079,11.40612,12.03884,13.01358,14.91175,16.69021,18.34898,18.36608,19.61442,20.76016,21.25608,21.18768,20.76016,20.55496,20.12744,19.56312,19.15270,18.65679,18.29767,18.21217,17.87016,17.64785,17.13483,17.23743,17.16903,16.92962,16.79282,16.75862,16.60471,16.19430,16.16009,16.24560,16.26270,16.22850,15.95489,15.80098,15.78388,16.02329,15.92069,15.88648,15.27086,15.39057,15.62998,15.78388,16.14299,16.63891,17.20323,18.00696,19.13560,21.01667,22.79514,24.02638,24.29999,25.10372,24.98402,24.83011,24.04348,23.63307,23.12005,22.43603,21.73490,21.32448,20.76016,20.14454,19.40921,18.87909,18.29767,17.44264,16.96382,16.10879,15.37347,14.46713,18.43448,18.02406,18.02406,17.22033
2015,Kirrawee 132_11kV,06MAY2014,MW,16.60471,15.71548,14.84335,15.81808,17.37424,17.61365,16.63891,15.42477,14.31323,14.70654,13.32139,13.04778,11.86784,11.33772,10.73920,10.08937,10.07227,10.08937,10.08937,10.14067,10.77340,11.47452,12.10725,13.21879,14.80914,16.80992,18.60548,18.51998,19.30661,20.55496,20.70886,20.93117,20.57206,20.12744,19.59732,19.05010,18.96460,18.57128,18.21217,17.83596,17.71625,17.54525,17.23743,17.08353,16.89542,16.53631,16.34820,16.27980,16.00619,16.41660,16.29690,16.05749,16.19430,16.31400,16.53631,16.19430,16.26270,16.09169,15.85228,15.93779,15.62998,15.52737,15.93779,16.45081,16.86122,17.45974,17.87016,18.26347,19.22111,20.65756,22.26502,23.37656,23.70147,23.82118,24.12899,23.92378,23.47916,22.96615,22.36762,21.54679,21.18768,20.50365,20.07614,19.46052,18.79359,18.24637,17.73335,16.86122,16.36530,15.47607,14.68944,13.98831,17.90436,17.71625,17.83596,16.86122
2015,Kirrawee 132_11kV,07MAY2014,MW,16.17720,15.44187,14.55264,15.37347,16.87832,17.39134,16.50211,15.08275,14.00542,14.65524,13.28719,12.89387,11.86784,11.20091,10.41428,9.96967,9.67896,9.67896,9.67896,9.88416,10.39718,11.08121,11.86784,12.92808,14.91175,16.50211,17.87016,17.47684,18.26347,19.20401,19.68282,19.56312,19.54602,19.06720,18.60548,18.19507,17.80176,17.51104,17.30584,17.06643,16.99803,16.70731,16.48501,16.36530,16.22850,16.17720,16.16009,15.95489,15.88648,15.74968,15.57867,15.81808,15.85228,15.74968,15.59577,15.59577,15.32216,15.52737,15.56157,15.61287,15.44187,15.16826,15.40767,15.64708,15.81808,16.16009,16.87832,17.49394,18.72519,20.23004,21.94011,23.03455,23.54757,23.97508,24.16319,23.92378,23.30816,22.57283,22.26502,21.90591,21.34159,20.91407,20.33265,19.73413,19.18691,18.62259,17.87016,16.92962,16.75862,15.85228,15.28796,14.17642,18.04116,17.47684,17.71625,16.96382
2015,Kirrawee 132_11kV,08MAY2014,MW,16.38240,15.52737,14.62104,15.51027,17.27164,17.40844,16.41660,15.21956,14.00542,14.53553,13.30429,13.03068,11.91914,11.30352,10.53399,10.29458,10.00387,9.66186,9.64475,9.88416,10.46559,11.21801,11.97044,12.84257,14.72364,16.34820,18.07537,17.98986,18.70809,19.58022,19.73413,19.61442,19.56312,18.98170,18.31477,17.87016,17.80176,17.81886,17.32294,17.01513,17.10063,16.72442,16.55341,16.60471,16.51921,16.65601,16.39950,16.34820,16.45081,16.14299,16.33110,16.50211,16.34820,16.41660,16.07459,16.05749,15.57867,15.73258,15.88648,15.76678,15.52737,15.11696,15.20246,15.30506,15.73258,16.34820,16.89542,17.63075,18.48578,19.80253,21.47839,22.38472,22.52153,22.89774,22.58993,22.55573,22.41892,22.11111,21.54679,21.08508,20.67466,20.26425,19.73413,19.20401,18.57128,17.97276,17.27164,16.62181,16.36530,15.54447,15.13406,14.17642,18.12667,17.71625,17.97276,16.94672
2015,Kirrawee 132_11kV,09MAY2014,MW,16.10879,15.59577,14.38163,15.45897,16.98092,17.30584,16.17720,15.01435,13.86861,14.38163,13.28719,13.15038,12.03884,11.13251,10.51689,9.98677,9.74736,9.42245,9.61055,9.79866,10.34588,11.02991,11.66263,12.56896,13.95411,15.73258,16.87832,17.03223,18.00696,19.01590,19.49472,19.49472,19.59732,19.30661,18.58838,18.29767,18.09247,17.85306,17.59655,17.35714,17.52814,17.04933,16.75862,16.48501,16.75862,16.72442,16.38240,16.00619,15.93779,15.95489,15.71548,15.56157,15.33926,15.18536,15.03145,15.18536,15.13406,14.98015,15.06565,14.80914,14.80914,15.08275,15.27086,15.52737,15.51027,15.88648,16.34820,17.08353,18.04116,19.30661,20.38395,21.05087,21.05087,21.30738,21.32448,20.91407,20.58916,20.34975,19.80253,19.25531,18.63969,18.16087,17.95566,17.44264,17.01513,16.29690,15.95489,15.68128,15.44187,14.99725,14.51843,13.76601,18.09247,17.90436,18.12667,16.99803
2015,Kirrawee 132_11kV,10MAY2014,MW,16.12589,15.40767,14.53553,15.51027,17.10063,17.39134,16.41660,14.96305,13.73181,14.09092,12.63736,12.56896,11.64553,10.58529,10.10647,9.83286,9.59345,9.47375,9.33694,9.18304,9.30274,9.61055,9.84996,10.07227,10.53399,11.28642,11.76523,11.76523,12.44926,13.08198,13.76601,14.45003,14.92885,15.23666,15.88648,16.24560,16.02329,16.00619,15.80098,15.59577,15.32216,15.23666,14.87755,14.70654,14.63814,14.31323,14.17642,14.05672,14.02252,13.50950,13.25299,13.03068,12.97938,12.97938,13.23589,13.37269,13.21879,13.32139,13.32139,13.16748,13.69760,13.95411,14.24482,14.41583,14.94595,15.66418,16.39950,16.99803,17.63075,18.96460,19.71703,20.11034,19.92223,19.83673,19.52892,19.08430,18.74229,18.29767,17.69915,17.28874,16.63891,16.24560,15.95489,15.78388,15.28796,15.08275,14.99725,14.55264,14.36453,13.88571,13.85151,13.21879,17.61365,17.32294,17.56235,16.79282
