year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Kogarah 132_11kV,01MAY2016,MW,25.27388,24.80752,24.34115,23.57391,22.55092,21.54297,20.59520,20.03858,19.24124,18.56427,18.09790,17.69172,17.43597,16.86430,16.65368,16.80412,16.81916,16.51829,16.63864,16.54837,16.81916,17.27048,17.43597,17.73685,18.54922,18.95541,19.60230,20.14388,20.36954,21.54297,22.11464,23.19781,24.10045,25.27388,25.78537,26.19156,27.13933,27.89153,28.61364,29.42602,30.25343,30.59945,31.41182,31.51713,31.38173,31.39678,31.50208,31.36669,30.71980,30.23839,29.32071,29.15522,28.91452,28.58355,28.53842,28.40303,28.68886,28.59860,28.77913,28.37294,28.20745,28.34285,28.43311,29.03487,28.67382,28.65877,28.79417,28.86939,28.70391,29.84725,31.23129,31.92332,31.83305,31.33660,31.39678,31.15607,30.44901,30.01273,29.68176,29.39593,29.24549,29.89238,29.84725,28.97470,28.61364,28.74904,28.04197,26.89863,27.36499,27.44021,26.26678,25.22875,24.23584,22.70136,23.37834,22.97215
2017,Kogarah 132_11kV,02MAY2016,MW,23.25799,22.62614,22.06951,21.22705,20.67042,19.90318,18.92532,18.21825,17.67667,16.95456,16.62359,16.15723,16.14219,15.73600,15.64573,15.64573,15.64573,15.64573,16.05192,16.14219,16.77403,18.14303,18.71471,19.54212,20.83591,22.17482,23.18277,24.38628,25.49954,26.61279,27.57561,27.50039,27.72605,27.68091,27.47030,28.52338,28.82426,29.26053,29.11009,28.91452,29.14018,29.30566,28.65877,28.86939,28.65877,28.58355,28.56851,29.08000,28.98974,29.24549,29.63663,29.89238,30.01273,29.69681,29.66672,29.68176,29.86229,29.74194,29.63663,29.48619,29.59150,29.63663,30.41892,30.79502,30.94546,31.39678,32.05871,32.28437,33.15692,33.33745,34.10469,34.27018,33.39763,33.02153,32.78082,32.67551,32.22420,31.45695,30.88528,30.55431,30.52423,31.33660,31.08085,30.16317,29.89238,29.71185,29.08000,27.80127,27.87649,28.05701,26.95880,25.75529,24.35620,23.18277,23.39338,23.13763
2017,Kogarah 132_11kV,03MAY2016,MW,23.18277,22.59605,21.85890,21.01643,20.24919,19.22620,18.51913,17.76694,17.34570,16.57846,16.24749,16.11210,16.11210,15.87139,15.67582,16.11210,15.88644,15.64573,15.64573,16.05192,16.78908,17.61650,18.41383,19.51204,20.74564,22.08456,23.25799,24.80752,26.16147,27.12429,28.04197,28.29772,28.43311,28.14728,28.88443,29.15522,29.14018,28.98974,28.64373,28.50833,28.73399,28.20745,28.32781,28.38798,28.40303,28.80921,28.71895,29.00478,29.17027,29.26053,28.92956,28.98974,28.85435,28.67382,28.61364,28.59860,28.89948,29.32071,29.29062,29.32071,29.20036,29.44106,29.93751,30.07291,30.52423,30.65962,30.94546,31.48704,31.29147,32.22420,33.44276,33.95425,33.56311,33.18701,33.48789,32.85604,32.29942,31.71270,31.33660,30.71980,30.65962,31.63748,31.38173,30.34370,30.11804,30.10300,29.47115,28.29772,28.29772,28.56851,27.60570,26.31191,24.77743,23.49869,24.01018,23.10755
2017,Kogarah 132_11kV,04MAY2016,MW,23.12259,22.21995,21.54297,20.85095,20.12884,19.15098,18.71471,17.97755,17.24040,16.72890,16.38289,15.91653,16.11210,16.02183,15.70591,15.84131,15.70591,15.88644,16.18732,16.18732,16.81916,18.20321,18.98550,19.66248,21.36245,22.56596,23.42347,24.88274,26.37209,27.28977,28.01188,28.17737,28.85435,29.72690,29.54637,29.48619,29.60654,30.02778,29.92247,30.05786,29.63663,29.48619,29.30566,29.39593,29.48619,29.56141,29.84725,30.23839,30.40387,29.89238,29.69681,29.78707,29.78707,29.74194,30.05786,29.96760,30.14813,30.14813,30.13308,30.34370,30.31361,30.29857,30.93041,31.20121,31.24634,31.50208,31.89323,32.37464,32.25428,33.08170,34.27018,34.55601,34.42062,33.77373,34.01443,33.68346,33.06666,32.46490,31.89323,31.44191,31.54722,32.57021,32.44986,31.66757,31.35164,31.03572,30.04282,28.94461,29.08000,28.77913,26.95880,25.93581,24.71725,23.49869,22.88189,21.90403
2017,Kogarah 132_11kV,05MAY2016,MW,21.04652,20.20406,19.48195,18.91028,18.51913,18.05277,17.69172,17.21031,16.71386,16.45811,16.08201,15.87139,15.87139,15.87139,15.79617,15.57051,15.73600,15.87139,15.87139,16.20236,16.81916,17.90233,18.53418,19.58726,20.59520,22.21995,23.37834,25.01813,26.26678,27.56056,28.23754,28.29772,29.00478,29.20036,29.36584,29.26053,29.39593,29.80212,29.39593,29.35080,29.60654,29.54637,28.73399,29.06496,29.26053,29.42602,29.18531,29.21540,29.18531,29.47115,29.59150,29.32071,29.21540,29.14018,29.24549,29.39593,29.86229,29.96760,29.98264,29.80212,29.65168,29.93751,30.16317,30.61449,30.47909,30.85519,31.38173,31.98349,32.43481,33.24719,34.21000,34.82680,34.64628,34.51088,34.36044,34.48079,33.83390,33.14188,32.46490,32.05871,32.20915,33.23214,33.63833,32.57021,32.02862,31.47200,30.37379,29.20036,29.50124,29.44106,27.80127,26.13139,24.92787,23.90488,23.25799,22.28013
2017,Kogarah 132_11kV,06MAY2016,MW,21.93412,21.04652,20.41467,20.17397,19.75274,19.10585,18.33861,17.87224,17.61650,16.81916,16.36785,16.11210,15.96166,15.64573,15.64573,15.64573,15.64573,15.64573,15.88644,16.33776,17.07491,18.33861,18.74479,19.39168,20.64033,21.97925,23.19781,24.58186,25.27388,26.61279,27.48534,28.02693,28.26763,28.65877,28.92956,29.11009,29.03487,29.29062,29.14018,29.51628,29.48619,29.32071,29.33575,29.33575,29.01983,28.97470,28.95965,29.06496,29.38088,29.54637,29.54637,29.72690,29.60654,29.29062,29.24549,29.08000,29.20036,28.91452,29.35080,29.09505,28.88443,29.09505,29.77203,30.50918,30.58440,30.81006,31.29147,31.53217,31.66757,32.25428,33.44276,33.90912,32.99144,32.37464,32.05871,31.62244,31.14103,30.76493,30.20830,30.04282,30.10300,31.03572,30.88528,29.96760,30.04282,29.77203,29.08000,27.65083,28.20745,28.35789,27.45526,26.40218,25.49954,24.73230,25.52963,24.34115
2017,Kogarah 132_11kV,07MAY2016,MW,24.62699,23.87479,23.27303,22.20491,21.37749,20.33945,19.49699,18.85010,18.27843,17.46606,17.33066,16.81916,16.51829,16.51829,16.51829,16.51829,16.18732,15.97670,16.14219,16.17227,16.59350,16.96960,17.40588,17.67667,18.20321,19.18107,19.85805,20.56511,21.75359,22.67127,23.43851,24.28098,25.21370,26.13139,26.88358,27.63578,28.55347,29.44106,29.48619,29.65168,29.60654,29.83220,29.47115,29.93751,29.63663,29.03487,28.74904,28.55347,28.55347,28.79417,29.08000,28.98974,29.03487,28.98974,28.70391,28.61364,28.11719,27.81631,27.89153,28.08710,28.58355,28.40303,28.67382,28.64373,29.06496,29.50124,30.07291,30.53927,31.50208,31.75783,32.41977,32.63038,32.19411,31.63748,31.27643,31.14103,30.52423,29.51628,29.06496,28.64373,28.98974,30.11804,30.17821,29.36584,29.39593,29.04992,28.40303,27.44021,27.84640,28.04197,27.07916,25.99599,25.22875,24.20576,25.42432,24.74734
2017,Kogarah 132_11kV,08MAY2016,MW,24.28098,23.48365,22.85180,21.79872,20.92617,20.11380,19.19611,18.80497,18.09790,17.57136,16.98465,16.75899,16.75899,16.50324,16.75899,16.75899,16.69881,16.27758,16.27758,16.27758,16.41298,17.01474,16.93952,17.43597,18.02268,18.68462,19.07576,19.97840,20.33945,21.27218,21.84385,22.92702,23.81461,24.44646,25.52963,26.25174,27.03402,27.92162,28.16232,28.65877,29.93751,30.04282,30.04282,30.46405,30.53927,30.38883,30.05786,29.44106,29.30566,29.18531,28.95965,28.71895,28.26763,28.11719,28.10215,27.98179,27.81631,27.87649,27.45526,27.75613,27.72605,27.78622,28.01188,27.93666,28.31276,28.77913,29.45610,29.87734,30.28352,30.84015,31.41182,31.89323,31.57730,31.23129,30.93041,30.50918,30.31361,29.96760,29.56141,29.08000,29.41097,30.56936,30.43396,29.44106,29.47115,29.48619,28.70391,27.71100,28.20745,28.07206,27.00394,25.49954,23.93497,22.70136,23.66417,23.42347
2017,Kogarah 132_11kV,09MAY2016,MW,23.84470,23.28807,22.94206,22.09960,21.03148,20.23415,19.39168,18.62444,18.14303,17.55632,16.90943,16.81916,16.72890,16.35280,16.35280,16.35280,16.35280,16.35280,16.50324,16.78908,17.36075,18.17312,18.92532,19.76778,21.25714,22.73145,24.10045,25.10840,25.90573,27.39508,28.31276,28.89948,29.11009,29.47115,29.71185,29.90742,30.20830,31.02068,31.35164,31.29147,31.47200,31.81801,31.53217,31.06581,31.60739,31.92332,31.80296,31.53217,31.78792,31.96845,31.81801,31.35164,31.29147,30.87024,30.73484,30.81006,30.76493,31.06581,31.36669,31.15607,30.90033,31.29147,31.92332,32.02862,32.07376,32.70560,32.94631,33.42771,34.25513,34.33035,35.14273,35.62413,34.88698,34.66132,34.28522,33.89408,33.21710,33.00648,32.43481,31.90827,31.59235,32.17906,32.05871,31.27643,31.08085,30.93041,29.98264,28.65877,28.88443,28.97470,27.62074,26.70306,25.36414,23.69426,24.17567,23.61904
2017,Kogarah 132_11kV,10MAY2016,MW,23.70931,23.25799,22.68632,21.81376,20.97130,19.75274,18.97045,18.23330,17.66163,17.40588,16.92447,16.72890,16.60855,16.14219,16.14219,16.14219,15.91653,15.91653,15.91653,16.17227,16.90943,17.70676,18.48905,19.57221,21.18192,22.59605,23.60400,25.19866,25.95086,26.79332,27.86144,28.11719,28.34285,28.41807,29.20036,29.35080,29.62159,30.11804,29.87734,29.90742,29.57646,29.15522,29.42602,29.36584,29.69681,29.66672,29.60654,29.56141,29.54637,29.29062,29.44106,29.66672,29.57646,29.42602,29.38088,29.41097,28.17737,29.81716,29.86229,29.50124,29.18531,29.74194,30.19326,30.38883,30.55431,31.05077,31.36669,32.13393,32.11889,33.17197,34.04452,34.63123,33.75868,33.59320,33.42771,33.21710,32.47994,31.75783,31.36669,30.94546,30.77997,31.32156,31.48704,30.44901,30.22335,30.37379,29.56141,28.40303,28.52338,28.82426,27.50039,26.26678,25.01813,24.02523,23.99514,23.99514
