year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Kotara 33_11kV,01MAY2014,MW,6.62544,6.11197,5.76259,5.86837,5.71367,5.36497,5.07234,5.22515,5.00479,4.73518,4.50588,4.36177,4.23308,4.14934,4.04932,4.06027,4.09235,3.98714,4.14416,4.29943,4.56981,4.54701,4.74964,5.00016,5.47228,5.84138,6.48993,6.73946,7.48587,7.92049,8.11070,8.34504,8.70888,8.99030,9.51206,9.64680,9.81240,9.91769,10.20026,10.32852,10.25112,10.02549,10.17548,10.23448,10.08889,10.28147,10.30519,10.36414,10.49509,10.63153,10.70168,10.47802,10.29582,10.43074,10.21337,10.25871,10.35497,10.51011,10.35921,10.56260,10.69537,10.64136,10.84367,10.68451,10.85352,10.93428,11.12365,11.31300,11.47119,11.98006,12.42718,12.41164,12.55104,12.49193,12.33837,12.25753,12.10083,12.34668,12.21292,11.99039,11.64575,11.45690,10.91563,10.31391,9.19956,7.86953,7.38222,6.96957,7.83167,7.36858,6.93367,6.55572,6.51279,6.05719,6.21089,6.49461
2015,Kotara 33_11kV,02MAY2014,MW,6.65971,6.22381,5.92410,6.00453,5.80288,5.36185,5.20520,5.39621,5.07520,4.76939,4.53831,4.42425,4.34467,4.26736,4.25423,4.28732,4.27670,4.21466,4.18080,4.24506,4.38128,4.54397,4.70604,5.05771,5.37556,5.72643,6.32329,6.52198,6.93971,7.33980,7.83177,8.30895,8.63684,8.98608,9.53191,9.88180,10.09891,10.05564,10.13371,10.30625,10.32913,10.23902,10.19323,10.25753,10.13209,10.24009,10.22643,10.27857,10.34559,10.31452,10.35760,10.38497,10.38777,10.32721,10.19631,10.07357,10.09532,10.20749,10.38272,10.13859,10.23828,10.22737,10.29096,10.43276,10.45416,10.61188,10.67286,10.71157,10.86749,11.30526,10.83370,9.88764,9.36247,9.14274,8.82320,8.60000,8.25577,8.16478,7.93315,7.78697,7.29170,7.14177,6.96320,6.72093,6.63057,6.48666,6.70739,6.46261,7.56934,7.20933,6.89484,6.49744,6.34917,5.88425,6.21235,6.51750
2015,Kotara 33_11kV,03MAY2014,MW,6.51409,6.11009,5.81554,5.91307,5.68041,5.32183,4.98367,4.64208,5.10674,5.04682,4.84048,4.53790,4.44499,4.25479,4.15376,4.10902,4.00776,4.02724,3.99597,4.02479,4.09803,4.04517,4.21450,4.43014,4.47326,4.66631,5.07576,5.47842,6.00520,6.53841,6.87809,7.42074,8.28122,8.96160,9.59678,9.95889,10.73083,10.85726,10.92942,10.76097,10.88829,10.85384,10.59269,10.53539,10.40695,10.28902,10.37713,10.41600,10.37773,10.37398,10.18938,10.37208,10.48178,10.27091,10.15366,10.53771,10.72901,10.52748,10.53206,10.46222,10.38422,10.29108,10.22698,10.25950,10.44173,10.72564,10.78410,10.78313,10.47649,10.34224,10.23024,10.03882,9.83191,9.49509,9.17116,9.10809,8.90446,9.01866,8.69958,8.34364,8.04639,7.93565,7.73248,7.45037,7.33448,7.03040,8.30751,7.85831,7.30568,6.87594,6.87183,6.56843,7.03769,6.68653,6.03856,6.00098
2015,Kotara 33_11kV,04MAY2014,MW,5.92433,5.32506,5.26189,5.65494,5.23992,4.88203,4.59791,4.44934,4.67019,4.46569,4.20942,4.15136,4.14728,4.11659,4.11839,4.12248,4.31689,4.23115,4.27957,4.23110,4.27181,4.34731,4.35488,4.56723,4.63603,4.76550,4.90807,5.31643,5.79684,6.18623,6.80388,7.36161,7.89393,8.16646,8.47773,8.76779,9.33065,10.05307,10.73256,11.05618,11.30966,11.21267,11.06716,10.95605,10.83419,10.57137,10.61760,10.54682,10.34972,10.20093,10.20206,10.08339,10.03983,10.05942,9.93024,9.89358,9.82357,9.86125,9.85119,9.94531,10.11422,10.18327,9.85126,9.84043,9.44242,8.96219,8.75408,8.71279,8.92517,9.26184,9.79349,9.66987,9.48612,9.18145,9.06565,8.86086,8.77907,8.74030,8.54384,8.29953,7.95223,7.80249,7.64512,7.30137,7.31745,7.02050,8.26873,7.68254,7.18820,6.63862,6.58077,6.18799,6.58714,6.26034,5.63679,5.64508
2015,Kotara 33_11kV,05MAY2014,MW,5.73987,5.32759,5.20211,5.47729,5.03289,4.78073,4.63927,4.84191,4.62051,4.38007,4.16249,4.13433,4.20971,4.20011,4.05386,4.09269,4.16751,4.16767,4.20246,4.64164,4.91930,4.96864,5.26847,5.46908,5.86469,6.40726,7.06361,7.64169,8.37247,8.93865,8.80801,9.59247,9.93018,9.86543,10.01974,10.10348,10.34412,10.20015,10.34299,10.16899,9.17495,10.31164,10.15206,10.26277,10.08269,10.02789,10.04461,10.00928,9.95057,9.64529,9.61808,9.54667,9.63122,9.59032,9.60289,9.64983,9.57827,9.56480,9.61204,9.78321,9.67157,9.75343,9.91161,10.09646,10.25421,10.44386,10.64117,10.94014,11.27312,12.04353,11.91967,11.35814,11.02784,10.66859,10.53368,10.22477,9.85444,9.87180,9.62850,9.42722,9.30719,8.93370,8.80410,8.39456,8.10590,7.83376,7.83534,7.44020,8.60260,8.08608,7.49139,6.98687,6.81307,6.51294,6.52489,6.65460
2015,Kotara 33_11kV,06MAY2014,MW,6.60360,6.22489,6.09004,6.32395,6.04255,5.68813,5.51624,5.82205,5.69649,5.34296,5.09705,4.87317,4.67537,4.54785,4.50833,4.50780,4.51578,4.35245,4.42341,4.45546,4.89424,5.07029,5.25379,5.56275,6.05455,6.44827,7.33447,7.82405,8.50334,9.27058,9.77711,9.83287,10.06356,10.35002,10.77559,10.89896,11.40312,11.21120,11.01246,10.88720,10.50388,10.31246,10.13938,9.92618,9.80598,9.82784,9.82807,9.86606,9.84131,9.78132,9.69114,9.85113,9.89213,9.89318,9.85841,9.77683,9.82100,9.80482,9.74925,9.77499,10.00189,9.91540,10.06781,10.14717,10.23912,10.51482,10.62811,10.98334,11.34011,11.99177,11.86199,11.23667,10.86161,10.32658,10.18611,9.89170,9.59749,9.70633,9.45385,9.26994,9.01148,8.67124,8.41657,8.09586,7.73789,7.50862,7.55501,7.20537,8.18048,7.67451,7.27210,6.87857,6.78611,6.38320,6.53731,6.81627
2015,Kotara 33_11kV,07MAY2014,MW,6.84637,6.50623,6.13297,6.11632,5.84484,5.57255,5.38284,5.79291,5.50726,5.09897,4.89345,4.72006,4.58554,4.43730,4.42165,4.38333,4.38066,4.32986,4.30906,4.51025,4.71241,4.79933,5.10769,5.30771,5.84120,6.28401,6.93789,7.40076,7.79920,8.18127,8.74638,8.98787,9.32434,9.86853,9.49423,9.80177,10.44767,10.41874,10.35192,10.26837,10.49030,10.33273,10.25886,10.21862,10.09351,10.20627,10.12524,10.15460,10.20408,10.14408,10.29030,10.09968,10.04016,9.93891,10.15149,10.05048,10.01443,10.13401,10.25602,10.16693,10.24765,10.30999,10.37648,10.54468,10.71748,10.97401,11.13421,10.86345,11.39657,11.86005,11.50331,10.79060,10.14793,9.79553,9.64646,9.52675,9.29046,9.39738,9.04405,8.83094,8.54714,8.19078,8.00270,7.74915,7.44738,7.25107,7.37829,7.09937,8.10883,7.72967,7.28877,6.97513,6.91216,6.52919,6.44236,6.65648
2015,Kotara 33_11kV,08MAY2014,MW,6.80686,6.46732,6.14683,6.21854,6.03002,5.71060,5.46197,5.73215,5.47174,5.11319,4.97600,4.65508,4.43788,4.28766,4.17258,4.23974,4.29482,4.27446,4.16168,4.38000,4.75520,4.80701,5.06664,5.22667,5.63434,5.80851,6.04968,6.08360,6.55214,7.09847,7.47734,7.63123,8.06696,8.28761,8.57943,8.64318,9.23475,9.47809,9.46400,9.42519,9.68730,9.63434,9.26600,9.31229,9.48632,9.53004,9.61975,9.71650,9.73848,9.61432,9.59063,9.72280,9.75890,9.60607,9.73073,9.63493,9.49348,9.41639,9.29368,9.58865,9.65523,9.42323,9.55788,10.81357,10.80115,11.02370,11.32890,11.55189,12.17000,12.92170,13.35771,13.54712,13.57607,13.49046,13.53488,13.43385,13.35625,13.44895,13.23818,12.92186,12.64363,12.26162,11.82659,11.33453,10.19002,8.74107,8.26930,7.68724,8.70644,8.15213,7.64628,7.17602,7.10542,6.59260,6.60608,6.84523
2015,Kotara 33_11kV,09MAY2014,MW,7.05255,6.64953,6.38225,6.58686,6.34237,5.90604,5.71752,5.89065,5.52887,5.11568,4.88073,4.71944,4.53480,4.40572,4.27013,4.38123,4.51230,4.40588,4.43529,4.68987,4.85485,5.09783,5.37059,5.37276,5.80577,6.31658,6.90418,7.20865,7.78658,8.28378,8.71749,8.58327,8.79396,9.58429,9.74261,9.29901,9.81002,10.23938,10.48588,10.30447,10.35982,10.48895,10.41024,10.35245,10.44157,10.53468,10.49509,10.43075,10.60691,10.69347,10.40815,10.26555,10.18262,10.22474,10.36821,10.13044,10.23747,10.22758,10.29680,10.16227,10.15807,10.33527,10.44960,10.64789,10.60892,10.67906,10.89316,11.26299,11.39988,11.72821,11.29770,10.51702,10.09174,9.86770,9.44187,9.34740,8.93082,8.64878,8.40795,8.20131,8.01817,7.82003,7.56052,7.39200,7.17888,6.92921,6.95513,6.86180,8.22311,7.80631,7.50037,7.03213,6.98310,6.54497,6.72186,6.89153
2015,Kotara 33_11kV,10MAY2014,MW,6.77432,6.40082,6.20787,6.23667,6.04900,5.68896,5.38035,4.97010,5.46688,5.32606,5.14609,4.88929,4.57421,4.34610,4.27669,4.22134,4.12790,4.01681,4.02708,4.10708,4.22796,4.41591,4.41819,4.64913,4.85242,4.84036,5.25319,5.69157,6.45590,7.06080,7.57587,8.08329,8.82797,9.39927,10.10525,10.42879,10.88683,11.05432,11.07941,10.98659,11.06450,10.96490,10.67175,10.55272,10.40086,10.51678,10.47031,10.68408,10.65186,10.52370,10.46747,10.53247,10.70681,10.61746,10.49780,10.60735,10.54041,10.44836,10.55666,10.59593,10.61406,10.71936,10.69279,10.73117,10.89270,11.07990,10.92810,10.85202,10.46355,10.10820,9.72598,9.33884,8.91119,8.58740,8.38217,8.14818,7.84849,7.82443,7.45258,7.11142,6.93329,6.79482,6.77426,6.67214,6.53131,6.33047,7.47703,6.98232,6.54146,6.15632,6.42582,6.05446,6.53645,6.17821,5.71812,5.76511
